url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.nordeclair.fr/info-locale/bethune-enfin-le-retour-des-toilettes-publiques-en-ville-jna46b0n345379?xtor=RSS-2,nordeclair.fr,2014-01-16,France,sanisettes/NOM/sanisette,"Depuis  le  démontage  des sanisettes  Decaux  ,  voilà  plus  de  dix  ans  ,  dans  plusieurs  quartiers  de  la  ville  ,  il  n'  y  avait  plus  de  toilettes  publiques  .",sanisettes,nom,sanisette,des,du,ADP DET,démontage,démontage,NOUN,le,le,DET,Depuis,depuis,ADP,,,,Decaux,Decaux,ADJ,",",",",PUNCT,voilà,voilà,ADV,plus,plus,ADV,de,de,ADP,2014-01-16,2014,2010,NOUN ADP DET Sanisette ADJ PUNCT,ADP DET Sanisette ADJ,NOUN ADP DET Sanisette,DET NOUN ADP DET Sanisette,ADP DET NOUN ADP DET Sanisette,Sanisette ADJ PUNCT,Sanisette ADJ PUNCT ADV,Sanisette ADJ PUNCT ADV ADV,"démontage du Sanisette Decaux ,",du Sanisette Decaux,démontage du Sanisette,le démontage du Sanisette,depuis le démontage du Sanisette,"Sanisette Decaux ,","Sanisette Decaux , voilà","Sanisette Decaux , voilà plus"
http://www.leparisien.fr/espace-premium/essonne-91/des-sanitaires-gratuits-et-ecolos-13-02-2014-3584945.php,leparisien.fr,2014-02-13,France,sanisettes/NOM/sanisette,"Et  contrairement  aux  anciennes sanisettes  ,  leur  accès  est  gratuit  :  ""  On  ... </doc>",sanisettes,nom,sanisette,anciennes,ancien,ADJ,aux,au,ADP DET,contrairement,contrairement,ADV,Et,et,CONJ,,,,",",",",PUNCT,leur,leur,DET,accès,accès,NOUN,est,être,VERB,gratuit,gratuit,ADJ,2014-02-13,2014,2010,ADP DET ADJ Sanisette PUNCT DET,ADJ Sanisette PUNCT,ADP DET ADJ Sanisette,ADV ADP DET ADJ Sanisette,CONJ ADV ADP DET ADJ Sanisette,Sanisette PUNCT DET,Sanisette PUNCT DET NOUN,Sanisette PUNCT DET NOUN VERB,"au ancien Sanisette , leur","ancien Sanisette ,",au ancien Sanisette,contrairement au ancien Sanisette,et contrairement au ancien Sanisette,"Sanisette , leur","Sanisette , leur accès","Sanisette , leur accès être"
http://www.metronews.fr/municipales-2014/municipales-les-candidats-au-chevet-des-nuits-parisiennes/mncb%21B9TrIgYY1tk/,metronews.fr,2014-03-04,France,sanisettes/NOM/sanisette,"Danielle  Simonnet  veut  généraliser  les  ""  bals  de  quartier  ""  et  Anne  Hidalgo  promet  des  horaires  d'  ouverture  prolongés  pour  ""  les sanisettes  publiques  ""  .",sanisettes,nom,sanisette,les,le,DET,"""","""",PUNCT,pour,pour,ADP,prolongés,prolonger,VERB,ouverture,ouverture,NOUN,publiques,publique,ADJ,"""","""",PUNCT,.,.,PUNCT,,,,,,,2014-03-04,2014,2010,PUNCT DET Sanisette ADJ PUNCT,DET Sanisette ADJ,PUNCT DET Sanisette,ADP PUNCT DET Sanisette,VERB ADP PUNCT DET Sanisette,Sanisette ADJ PUNCT,Sanisette ADJ PUNCT PUNCT,,""" le Sanisette publique """,le Sanisette publique,""" le Sanisette","pour "" le Sanisette","prolonger pour "" le Sanisette","Sanisette publique ""","Sanisette publique "" .",
http://www.lunion.presse.fr/accueil/carte-ces-villes-ou-le-fn-est-en-embuscade-ia0b0n309511?xtor=RSS-2,presse.fr,2014-03-04,France,sanisettes/NOM/sanisette,"Le  candidat  frontiste  ne  se  contente  pas  de  militer  également  pour  la  vidéosurveillance  ou  ""  l'  installation  de sanisettes  ""  .",sanisettes,nom,sanisette,de,de,ADP,installation,installation,NOUN,l',le,DET,"""","""",PUNCT,ou,ou,CONJ,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-03-04,2014,2010,NOUN ADP Sanisette PUNCT PUNCT,ADP Sanisette PUNCT,NOUN ADP Sanisette,DET NOUN ADP Sanisette,PUNCT DET NOUN ADP Sanisette,Sanisette PUNCT PUNCT,,,"installation de Sanisette "" .","de Sanisette """,installation de Sanisette,le installation de Sanisette,""" le installation de Sanisette","Sanisette "" .",,
http://www.europe1.fr/Insolite/Un-petit-coin-de-France-en-Norvege-1904233/,europe1.fr,2014-03-04,France,sanisettes/NOM/sanisette,L'  Etat  norvégien  a  installé  des sanisettes  brocardées  aux  couleurs  bleu  blanc  rouge  emblématiques  de  la  France  à  proximité  du  Parlement  .,sanisettes,nom,sanisette,des,du,ADP DET,installé,installer,VERB,a,avoir,VERB,norvégien,norvégien,ADJ,Etat,Etat,PROPN,brocardées,brocarder,VERB,aux,au,ADP DET,couleurs,couleur,NOUN,bleu,bleu,ADJ,blanc,blanc,ADJ,2014-03-04,2014,2010,VERB ADP DET Sanisette VERB ADP DET,ADP DET Sanisette VERB,VERB ADP DET Sanisette,VERB VERB ADP DET Sanisette,ADJ VERB VERB ADP DET Sanisette,Sanisette VERB ADP DET,Sanisette VERB ADP DET NOUN,Sanisette VERB ADP DET NOUN ADJ,installer du Sanisette brocarder au,du Sanisette brocarder,installer du Sanisette,avoir installer du Sanisette,norvégien avoir installer du Sanisette,Sanisette brocarder au,Sanisette brocarder au couleur,Sanisette brocarder au couleur bleu
http://www.europe1.fr/Insolite/Un-petit-coin-de-France-en-Norvege-1904233/,europe1.fr,2014-03-04,France,sanisettes/NOM/sanisette,"Durant  leurs  passages  ,  les  usagers  de  ces sanisettes  épéhmères  pourront  également  des  discours  de  personnalités  politiques  ,  de  Charles  de  Gaulle  à  Franklin  Roosevelt  en  passant  par  Haakon  II  ,  un  roi  norvégien  .",sanisettes,nom,sanisette,ces,ce,PRON,de,de,ADP,usagers,usager,NOUN,les,le,DET,",",",",PUNCT,épéhmères,épéhmères,ADJ,pourront,pouvoir,VERB,également,également,ADV,des,du,ADP DET,discours,discours,NOUN,2014-03-04,2014,2010,ADP PRON Sanisette ADJ VERB,PRON Sanisette ADJ,ADP PRON Sanisette,NOUN ADP PRON Sanisette,DET NOUN ADP PRON Sanisette,Sanisette ADJ VERB,Sanisette ADJ VERB ADV,Sanisette ADJ VERB ADV ADP DET,de ce Sanisette épéhmères pouvoir,ce Sanisette épéhmères,de ce Sanisette,usager de ce Sanisette,le usager de ce Sanisette,Sanisette épéhmères pouvoir,Sanisette épéhmères pouvoir également,Sanisette épéhmères pouvoir également du
http://www.franceinter.fr/emission-ca-va-mieux-en-le-disant-le-pays-des-lumieres-et-de-la-sanisette,franceinter.fr,2014-03-07,France,sanisette/NOM/sanisette,<doc uri=http://www.franceinter.fr/emission-ca-va-mieux-en-le-disant-le-pays-des-lumieres-et-de-la-sanisette website=franceinter.fr date=2014-03-07 source_country=France> /The/ADJ /country/NOM /of/VER:subi /enlightenment/NOM /and/VER:subi sanisette ,sanisette,nom,sanisette,and,and,VER:subi,enlightenment,enlightenment,NOUN,of,of,VER:subi,country,country,NOUN,The,The,ADJ,,,,,,,,,,,,,,,,2014-03-07,2014,2010,,,NOUN VER:subi Sanisette,VER:subi NOUN VER:subi Sanisette,NOUN VER:subi NOUN VER:subi Sanisette,,,,,,enlightenment and Sanisette,of enlightenment and Sanisette,country of enlightenment and Sanisette,,,
http://www.franceinter.fr/emission-ca-va-mieux-en-le-disant-le-pays-des-lumieres-et-de-la-sanisette,franceinter.fr,2014-03-07,France,sanisette/NOM/sanisette,"Je  m'  aperçois  que  pour  les  Danois  ,  vous  êtes  la  France  est  le  pays  des  Lumières  et  de  la sanisette  . </doc>",sanisette,nom,sanisette,la,le,DET,de,de,ADP,et,et,CONJ,Lumières,Lumières,PROPN,des,du,ADP DET,.,.,PUNCT,</doc>,,,,,,,,,,,,2014-03-07,2014,2010,,DET Sanisette PUNCT,ADP DET Sanisette,CONJ ADP DET Sanisette,PROPN CONJ ADP DET Sanisette,,,,,le Sanisette .,de le Sanisette,et de le Sanisette,Lumières et de le Sanisette,,,
http://www.lanouvellerepublique.fr/France-Monde/Actualite/24-Heures/n/Contenus/Articles/2014/03/09/AUSTRALIE-Serpent-1-Croco-0-1823161,lanouvellerepublique.fr,2014-03-09,France,sanisettes/NOM/sanisette,"<doc uri=http://www.lanouvellerepublique.fr/France-Monde/Actualite/24-Heures/n/Contenus/Articles/2014/03/09/AUSTRALIE-Serpent-1-Croco-0-1823161 website=lanouvellerepublique.fr date=2014-03-09 source_country=France> /peindre/VER:pper /en/PRP /bleu/ADJ /,/PUN /blanc/ADJ /et/KON /rouge/ADJ /et/KON /surmonter/VER:pper /de/PRP /le/DET:ART /devise/NOM /français/ADJ /""/PUN:cit /Liberté/NAM /,/PUN /égalité/NOM /,/PUN /fraternité/NOM /""/PUN:cit /,/PUN /trois/NUM sanisettes  importées  de  Paris  devraient  trouver  place  près  du  Parlement  norvégien  d'  ici  au  17  mai  .",sanisettes,nom,sanisette,trois,trois,ADJ,",",",",PUNCT,"""","""",PUNCT,Fraternité,fraternité,NOUN,",",",",PUNCT,importées,importer,VERB,de,de,ADP,Paris,Paris,PROPN,devraient,devoir,VERB,trouver,trouver,VERB,2014-03-09,2014,2010,PUNCT ADJ Sanisette VERB ADP,ADJ Sanisette VERB,PUNCT ADJ Sanisette,PUNCT PUNCT ADJ Sanisette,NOUN PUNCT PUNCT ADJ Sanisette,Sanisette VERB ADP,Sanisette VERB ADP PROPN,Sanisette VERB ADP PROPN VERB,", trois Sanisette importer de",trois Sanisette importer,", trois Sanisette",""" , trois Sanisette","fraternité "" , trois Sanisette",Sanisette importer de,Sanisette importer de Paris,Sanisette importer de Paris devoir
http://www.lanouvellerepublique.fr/France-Monde/Actualite/24-Heures/n/Contenus/Articles/2014/03/09/AUSTRALIE-Serpent-1-Croco-0-1823161,lanouvellerepublique.fr,2014-03-09,France,sanisettes/NOM/sanisette,"Les  usagers  de  ces sanisettes  pourront  aussi  y  entendre  des  discours  de  personnalités  historiques  dont  Charles  De  Gaulle  ,  ainsi  que  l'  hymne  national  de  ces  trois  pays  .",sanisettes,nom,sanisette,ces,ce,PRON,de,de,ADP,usagers,usager,NOUN,Les,le,DET,,,,pourront,pouvoir,VERB,aussi,aussi,ADV,y,y,PRON,entendre,entendre,VERB,des,du,ADP DET,2014-03-09,2014,2010,ADP PRON Sanisette VERB ADV,PRON Sanisette VERB,ADP PRON Sanisette,NOUN ADP PRON Sanisette,DET NOUN ADP PRON Sanisette,Sanisette VERB ADV,Sanisette VERB ADV PRON,Sanisette VERB ADV PRON VERB,de ce Sanisette pouvoir aussi,ce Sanisette pouvoir,de ce Sanisette,usager de ce Sanisette,le usager de ce Sanisette,Sanisette pouvoir aussi,Sanisette pouvoir aussi y,Sanisette pouvoir aussi y entendre
