url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lemonde.fr/economie/article/2014/04/22/traitement-du-cancer-le-laboratoire-novartis-rachete-l-activite-de-gsk_4405173_3234.html,lemonde.fr,2014-04-22,France,Sensodyne/NAM/Sensodyne,GSK  apportera  à  l'  ensemble  des  produits  phares  comme  Nicorette  (  des  pastilles  à  la  nicotine  )  ou  les  marques  de  dentifrice Sensodyne  et  Aquafresh  .,sensodyne,nam,sensodyne,dentifrice,dentifrice,NOUN,de,de,ADP,marques,marque,NOUN,les,le,DET,ou,ou,CONJ,et,et,CONJ,Aquafresh,Aquafresh,PROPN,.,.,PUNCT,,,,,,,2014-04-22,2014,2010,ADP NOUN Sensodyne CONJ PROPN,NOUN Sensodyne CONJ,ADP NOUN Sensodyne,NOUN ADP NOUN Sensodyne,DET NOUN ADP NOUN Sensodyne,Sensodyne CONJ PROPN,Sensodyne CONJ PROPN PUNCT,,de dentifrice Sensodyne et Aquafresh,dentifrice Sensodyne et,de dentifrice Sensodyne,marque de dentifrice Sensodyne,le marque de dentifrice Sensodyne,Sensodyne et Aquafresh,Sensodyne et Aquafresh .,
http://www.gaboneco.com/nouvelles_africaines_36797.html,gaboneco.com,2016-02-26,Gabon,Sensodyne/NAM/Sensodyne,"Des  marques  bien  connues  du  milieu  de  la  beauté  sont  sur  la  liste  noire  :  Dark  and  Lovely  ,  l'  Oréal  ,  Roc  ,  Colgate  ,  Garnier  ,  Dove  ,  Oral  B  ,  Rexona  ,  Roger  Cavaillès  , Sensodyne  ,  Signal  ,  etc  .",sensodyne,nam,sensodyne,",",",",PUNCT,Cavaillès,Cavaillès,PROPN,Roger,Roger,PROPN,",",",",PUNCT,Rexona,Rexona,PROPN,",",",",PUNCT,Signal,Signal,PROPN,",",",",PUNCT,etc,etc,ABR,.,.,PUNCT,2016-02-26,2016,2010,PROPN PUNCT Sensodyne PUNCT PROPN,PUNCT Sensodyne PUNCT,PROPN PUNCT Sensodyne,PROPN PROPN PUNCT Sensodyne,PUNCT PROPN PROPN PUNCT Sensodyne,Sensodyne PUNCT PROPN,Sensodyne PUNCT PROPN PUNCT,Sensodyne PUNCT PROPN PUNCT ABR,"Cavaillès , Sensodyne , Signal",", Sensodyne ,","Cavaillès , Sensodyne","Roger Cavaillès , Sensodyne",", Roger Cavaillès , Sensodyne","Sensodyne , Signal","Sensodyne , Signal ,","Sensodyne , Signal , etc"
http://www.lelezard.com/communique-11173422.html,lelezard.com,2016-08-31,===NONE===,Sensodyne/ADJ/Sensodyne,"Parmi  les  30  produits  et  plus  qui  ont  fait  sa  renommée  figurent  Voltaren  ®  Emulgel  ®  ,  Aquafresh  ®  , Sensodyne  ®  et  TUMS  ®  ,  lesquels  sont  des  marques  de  commerce  détenues  ou  autorisées  sous  licence  par  le  groupe  d'  entreprises  GlaxoSmithKline  .",sensodyne,adj,sensodyne,",",",",PUNCT,®,®,NOUN,Aquafresh,Aquafresh,PROPN,",",",",PUNCT,®,®,ADJ,®,®,NOUN,et,et,CONJ,TUMS,TUMS,NOUN,®,®,ADJ,",",",",PUNCT,2016-08-31,2016,2010,NOUN PUNCT Sensodyne NOUN CONJ,PUNCT Sensodyne NOUN,NOUN PUNCT Sensodyne,PROPN NOUN PUNCT Sensodyne,PUNCT PROPN NOUN PUNCT Sensodyne,Sensodyne NOUN CONJ,Sensodyne NOUN CONJ NOUN,Sensodyne NOUN CONJ NOUN ADJ,"® , Sensodyne ® et",", Sensodyne ®","® , Sensodyne","Aquafresh ® , Sensodyne",", Aquafresh ® , Sensodyne",Sensodyne ® et,Sensodyne ® et TUMS,Sensodyne ® et TUMS ®
http://bamada.net/commune-v-le-marche-de-torokorobougou-au-coeur-dune-grogne-sociale-imminente,bamada.net,2016-09-20,===NONE===,Sensodyne/ADJ/Sensodyne,Il  s'  agit  de  Sékou  Sylla  et  Baissa  Djigué  qui  détiennent  respectivement  le  monopole  des  dentifrices Sensodyne  et  les  stations  d'  essence  Sodies  .,sensodyne,adj,sensodyne,dentifrices,dentifrice,NOUN,des,du,ADP DET,monopole,monopole,NOUN,le,le,DET,respectivement,respectivement,ADV,et,et,CONJ,les,le,DET,stations,station,NOUN,d',de,ADP,essence,essence,NOUN,2016-09-20,2016,2010,ADP DET NOUN Sensodyne CONJ DET,NOUN Sensodyne CONJ,ADP DET NOUN Sensodyne,NOUN ADP DET NOUN Sensodyne,DET NOUN ADP DET NOUN Sensodyne,Sensodyne CONJ DET,Sensodyne CONJ DET NOUN,Sensodyne CONJ DET NOUN ADP,du dentifrice Sensodyne et le,dentifrice Sensodyne et,du dentifrice Sensodyne,monopole du dentifrice Sensodyne,le monopole du dentifrice Sensodyne,Sensodyne et le,Sensodyne et le station,Sensodyne et le station de
http://www.lesechos.fr/industrie-services/pharmacie-sante/0211309821021-une-nouvelle-patronne-a-la-tete-du-laboratoire-glaxosmithkline-2028770.php#xtor%3DRSS-2055,lesechos.fr,2016-09-20,France,Sensodyne/NAM/Sensodyne,"Cette  stratégie  est  critiquée  par  certains  actionnaires  ,  qui  préféreraient  une  cession  de  la  division  sans  ordonnance  ,  connue  pour  ses  dentifrices  Aquafresh  et Sensodyne  ,  les  produits  de  sevrage  tabagique  Nicotinell  ou  encore  les  antalgiques  Voltarène  et  Synthol  .",sensodyne,nam,sensodyne,et,et,CONJ,Aquafresh,Aquafresh,PROPN,dentifrices,dentifrice,NOUN,ses,son,DET,pour,pour,ADP,",",",",PUNCT,les,le,DET,produits,produit,NOUN,de,de,ADP,sevrage,sevrage,NOUN,2016-09-20,2016,2010,PROPN CONJ Sensodyne PUNCT DET,CONJ Sensodyne PUNCT,PROPN CONJ Sensodyne,NOUN PROPN CONJ Sensodyne,DET NOUN PROPN CONJ Sensodyne,Sensodyne PUNCT DET,Sensodyne PUNCT DET NOUN,Sensodyne PUNCT DET NOUN ADP,"Aquafresh et Sensodyne , le","et Sensodyne ,",Aquafresh et Sensodyne,dentifrice Aquafresh et Sensodyne,son dentifrice Aquafresh et Sensodyne,"Sensodyne , le","Sensodyne , le produit","Sensodyne , le produit de"
http://www.elle.fr/Beaute/News-beaute/Soins/Voici-pourquoi-vous-avez-les-levres-gercees-3419981#utm_source%3DRSS-ELLE%26utm_medium%3DFlux-Rss%26utm_campaign%3DRSS_Le_fil_info_de_ELLE%26xtor%3DRSS-21,elle.fr,2017-01-30,France,Sensodyne/NAM/Sensodyne,Un  jour  j'  ai  acheté  en  format  voyage  le Sensodyne  Pronamel  pour  les  dents  sensibles  que  j'  ai  appliqué  en  complément  d'  une  couche  de  vaseline  sur  mes  lèvres  deux  fois  par  jour  .,sensodyne,nam,sensodyne,le,le,DET,voyage,voyager,VERB,format,format,NOUN,en,en,ADP,acheté,acheter,VERB,Pronamel,Pronamel,PROPN,pour,pour,ADP,les,le,DET,dents,dent,NOUN,sensibles,sensible,ADJ,2017-01-30,2017,2010,VERB DET Sensodyne PROPN ADP,DET Sensodyne PROPN,VERB DET Sensodyne,NOUN VERB DET Sensodyne,ADP NOUN VERB DET Sensodyne,Sensodyne PROPN ADP,Sensodyne PROPN ADP DET,Sensodyne PROPN ADP DET NOUN,voyager le Sensodyne Pronamel pour,le Sensodyne Pronamel,voyager le Sensodyne,format voyager le Sensodyne,en format voyager le Sensodyne,Sensodyne Pronamel pour,Sensodyne Pronamel pour le,Sensodyne Pronamel pour le dent
http://www.lelezard.com/communique-12766252.html,lelezard.com,2017-02-22,===NONE===,Sensodyne/NAM/Sensodyne,"GlaxoSmithKline  regroupe  plus  de  30  marques  réputées  dont  Voltaren  Emulgel  ,  Aquafresh  , Sensodyne  ,  et  TUMS  -  toutes  des  marques  de  commerce  détenues  et  /  ou  sous  licence  par  le  groupe  d'  entreprises  GlaxoSmithKline  .",sensodyne,nam,sensodyne,",",",",PUNCT,Aquafresh,Aquafresh,PROPN,",",",",PUNCT,Emulgel,Emulgel,PROPN,Voltaren,Voltaren,PROPN,",",",",PUNCT,et,et,CONJ,TUMS,TUMS,PROPN,-,-,PUNCT,toutes,tout,PRON,2017-02-22,2017,2010,PROPN PUNCT Sensodyne PUNCT CONJ,PUNCT Sensodyne PUNCT,PROPN PUNCT Sensodyne,PUNCT PROPN PUNCT Sensodyne,PROPN PUNCT PROPN PUNCT Sensodyne,Sensodyne PUNCT CONJ,Sensodyne PUNCT CONJ PROPN,Sensodyne PUNCT CONJ PROPN PUNCT,"Aquafresh , Sensodyne , et",", Sensodyne ,","Aquafresh , Sensodyne",", Aquafresh , Sensodyne","Emulgel , Aquafresh , Sensodyne","Sensodyne , et","Sensodyne , et TUMS","Sensodyne , et TUMS -"
https://www.senenews.com/2017/03/23/astuce-voila-comment-vous-pouvez-obtenir-des-dents-blanches-et-petillantes-en-seulement-7-jours_185143.html/,senenews.com,2017-03-23,===NONE===,Sensodyne/NAM/Sensodyne,"Beaucoup  de  gens  considèrent  les  dents  jaunes  comme  un  problème  sévère  ,  fréquent  chez  une  grande  partie  de  la  population  et  essayent  plusieurs  dentifrices  de  marque  comme  :  '  Colgate  optique  blanc  '  ,  '  Close-up  '  , Sensodyne  et  beaucoup  plus  ...",sensodyne,nam,sensodyne,",",",",PUNCT,',',PUNCT,Close-up,Close-up,PROPN,',',PUNCT,",",",",PUNCT,et,et,CONJ,beaucoup,beaucoup,ADV,plus,plus,ADV,...,...,PUNCT,,,,2017-03-23,2017,2010,PUNCT PUNCT Sensodyne CONJ ADV,PUNCT Sensodyne CONJ,PUNCT PUNCT Sensodyne,PROPN PUNCT PUNCT Sensodyne,PUNCT PROPN PUNCT PUNCT Sensodyne,Sensodyne CONJ ADV,Sensodyne CONJ ADV ADV,Sensodyne CONJ ADV ADV PUNCT,"' , Sensodyne et beaucoup",", Sensodyne et","' , Sensodyne","Close-up ' , Sensodyne","' Close-up ' , Sensodyne",Sensodyne et beaucoup,Sensodyne et beaucoup plus,Sensodyne et beaucoup plus ...
http://www.lefigaro.fr/societes/2017/03/31/20005-20170331ARTFIG00307-une-femme-pour-diriger-le-geant-britannique-gsk.php,lefigaro.fr,2017-03-31,France,Sensodyne/NAM/Sensodyne,"Elle  a  pris  en  charge  cette  activité  chez  GSK  ,  logée  dans  la  coentreprise  créée  avec  Novartis  et  partagée  entre  l'  automédication  (  Synthol  ,  Activir  ,  Nicotinell  ...  )  et  l'  hygiène  dentaire  ( Sensodyne  ...  )  ,  avec  des  résultats  appréciés  .",sensodyne,nam,sensodyne,(,(,PUNCT,dentaire,dentaire,ADJ,hygiène,hygiène,NOUN,l',le,DET,et,et,CONJ,...,...,PUNCT,),),PUNCT,",",",",PUNCT,avec,avec,ADP,des,du,ADP DET,2017-03-31,2017,2010,ADJ PUNCT Sensodyne PUNCT PUNCT,PUNCT Sensodyne PUNCT,ADJ PUNCT Sensodyne,NOUN ADJ PUNCT Sensodyne,DET NOUN ADJ PUNCT Sensodyne,Sensodyne PUNCT PUNCT,Sensodyne PUNCT PUNCT PUNCT,Sensodyne PUNCT PUNCT PUNCT ADP,dentaire ( Sensodyne ... ),( Sensodyne ...,dentaire ( Sensodyne,hygiène dentaire ( Sensodyne,le hygiène dentaire ( Sensodyne,Sensodyne ... ),"Sensodyne ... ) ,","Sensodyne ... ) , avec"
http://www.lelezard.com/communique-13396482.html,lelezard.com,2017-04-27,===NONE===,Sensodyne/NAM/Sensodyne,"Parmi  les  30  produits  et  plus  qui  ont  fait  sa  renommée  figurent  Voltaren  Emulgel  ,  Aquafresh  , Sensodyne  et  TUMS  ,  lesquels  sont  des  marques  de  commerce  détenues  ou  autorisées  sous  licence  par  le  groupe  d'  entreprises  GlaxoSmithKline  .",sensodyne,nam,sensodyne,",",",",PUNCT,Aquafresh,Aquafresh,PROPN,",",",",PUNCT,Emulgel,Emulgel,PROPN,Voltaren,Voltaren,PROPN,et,et,CONJ,TUMS,TUMS,PROPN,",",",",PUNCT,lesquels,lequel,PRON,sont,être,VERB,2017-04-27,2017,2010,PROPN PUNCT Sensodyne CONJ PROPN,PUNCT Sensodyne CONJ,PROPN PUNCT Sensodyne,PUNCT PROPN PUNCT Sensodyne,PROPN PUNCT PROPN PUNCT Sensodyne,Sensodyne CONJ PROPN,Sensodyne CONJ PROPN PUNCT,Sensodyne CONJ PROPN PUNCT PRON,"Aquafresh , Sensodyne et TUMS",", Sensodyne et","Aquafresh , Sensodyne",", Aquafresh , Sensodyne","Emulgel , Aquafresh , Sensodyne",Sensodyne et TUMS,"Sensodyne et TUMS ,","Sensodyne et TUMS , lequel"
