url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.7sur7.be/7s7/fr/1524/Cuisine/article/detail/2071384/2014/09/30/Cinq-raisons-de-dire-adieu-au-soda-pour-de-bon.dhtml,7sur7.be,2014-09-30,Belgium,Seven_Up/_/Seven_Up,Pepper  et Seven_Up  .,seven_up,_,seven_up,et,et,CONJ,Pepper,Pepper,PROPN,,,,,,,,,,.,.,PUNCT,,,,,,,,,,,,,2014-09-30,2014,2010,,CONJ Seven Up PUNCT,PROPN CONJ Seven Up,,,,,,,et Seven Up .,Pepper et Seven Up,,,,,
http://www.sudinfo.be/1272044/article/2015-04-25/un-passager-demande-11000-euros-de-dommages-et-interets-a-une-compagnie-aerienne,sudinfo.be,2015-04-25,Belgium,Seven_up/_/Seven_up,"Michael  Thibodeau  ,  de  son  prénom  ,  avait  demandé  un  "" Seven_up  ""  mais  avait  reçu  un  Sprite  à  la  place  .",seven_up,_,seven_up,"""","""",PUNCT,un,un,DET,demandé,demander,VERB,avait,avoir,VERB,",",",",PUNCT,"""","""",PUNCT,mais,mais,CONJ,avait,avoir,VERB,reçu,recevoir,VERB,un,un,DET,2015-04-25,2015,2010,DET PUNCT Seven Up PUNCT CONJ,PUNCT Seven Up PUNCT,DET PUNCT Seven Up,VERB DET PUNCT Seven Up,VERB VERB DET PUNCT Seven Up,Seven Up PUNCT CONJ,Seven Up PUNCT CONJ VERB,Seven Up PUNCT CONJ VERB VERB,"un "" Seven Up "" mais",""" Seven Up ""","un "" Seven Up","demander un "" Seven Up","avoir demander un "" Seven Up","Seven Up "" mais","Seven Up "" mais avoir","Seven Up "" mais avoir recevoir"
http://www.lapresse.ca/debats/chroniques/nathalie-petrowski/201504/15/01-4861252-goodbye-paul.php,lapresse.ca,2015-04-19,Canada,Seven_Up/_/Seven_Up,"Sans  oublier  son  apport  précieux  aux  premières  heures  des  dramatiques  à  la  CBC  et  son  célèbre  documentaire Seven_Up  !  ,  tourné  en  1964  en  Angleterre  avec  une  bande  de  jeunes  de  7  ans  issus  de  toutes  les  classes  sociales  .",seven_up,_,seven_up,documentaire,documentaire,NOUN,célèbre,célèbre,ADJ,son,son,DET,et,et,CONJ,CBC,CBC,PROPN,!,!,PUNCT,",",",",PUNCT,tourné,tourner,VERB,en,en,ADP,1964,@card@,ADJ,2015-04-19,2015,2010,ADJ NOUN Seven Up PUNCT PUNCT,NOUN Seven Up PUNCT,ADJ NOUN Seven Up,DET ADJ NOUN Seven Up,CONJ DET ADJ NOUN Seven Up,Seven Up PUNCT PUNCT,Seven Up PUNCT PUNCT VERB,Seven Up PUNCT PUNCT VERB ADP,"célèbre documentaire Seven Up ! ,",documentaire Seven Up !,célèbre documentaire Seven Up,son célèbre documentaire Seven Up,et son célèbre documentaire Seven Up,"Seven Up ! ,","Seven Up ! , tourner","Seven Up ! , tourner en"
http://www.radiotelevisioncaraibes.com/nouvelles/haiti/les_prix_des_produits_s_accroissent_grogne_des_consommateurs.html,radiotelevisioncaraibes.com,2015-06-21,===NONE===,seven_up/_/seven_up,"S'  agissant  des  boissons  gazeuses  ,  le  prix  d'  un  coca-cola  ,  d'  un  "" seven_up  ""  embouteillé  varie  de  22  à  23  gourdes  alors  que  le  prix  initial  était  de  20  gourdes  .",seven_up,_,seven_up,"""","""",PUNCT,un,un,DET,d',de,ADP,",",",",PUNCT,coca-cola,coca-cola,NOUN,"""","""",PUNCT,embouteillé,embouteiller,VERB,varie,varier,VERB,de,de,ADP,22,@card@,ADJ,2015-06-21,2015,2010,DET PUNCT Seven Up PUNCT VERB,PUNCT Seven Up PUNCT,DET PUNCT Seven Up,ADP DET PUNCT Seven Up,PUNCT ADP DET PUNCT Seven Up,Seven Up PUNCT VERB,Seven Up PUNCT VERB VERB,Seven Up PUNCT VERB VERB ADP,"un "" Seven Up "" embouteiller",""" Seven Up ""","un "" Seven Up","de un "" Seven Up",", de un "" Seven Up","Seven Up "" embouteiller","Seven Up "" embouteiller varier","Seven Up "" embouteiller varier de"
http://www.lexpress.fr/culture/cinema/lolo-julie-delpy-nous-fait-une-comedie_1728172.html,lexpress.fr,2015-10-28,France,Seven_Up/_/Seven_Up,"Dans Seven_Up  ,  un  documentaire  de  Michael  Apted  qui  court  sur  plusieurs  chapitres  et  plusieurs  décennies  ,  on  réalise  comment  les  filles  qu'  il  filme  de  sept  ans  en  sept  ans  abandonnent  leurs  rêves  .",seven_up,_,seven_up,Dans,dans,ADP,,,,,,,,,,,,,",",",",PUNCT,un,un,DET,documentaire,documentaire,NOUN,de,de,ADP,Michael,Michael,PROPN,2015-10-28,2015,2010,,ADP Seven Up PUNCT,,,,Seven Up PUNCT DET,Seven Up PUNCT DET NOUN,Seven Up PUNCT DET NOUN ADP,,"dans Seven Up ,",,,,"Seven Up , un","Seven Up , un documentaire","Seven Up , un documentaire de"
http://www.rewmi.com/ndiaga-thiam-directeur-du-marche-aux-poissons-nous-allons-installer-des-cameras-de-surveillance.html,rewmi.com,2016-01-26,France,Seven_Up/_/Seven_Up,"Aujourd  '  hui  ,  devant  la  fermeture  des  usines  ,  comme  Sade  , Seven_Up  ,  Sotiba  ,  Icotaf  ,  les  jeunes  de  la  banlieue  se  tournent  vers  cette  structure  qui  ne  ferme  pas  ses  portes  .",seven_up,_,seven_up,",",",",PUNCT,Sade,Sade,PROPN,comme,comme,CONJ,",",",",PUNCT,usines,usine,NOUN,",",",",PUNCT,Sotiba,Sotiba,PROPN,",",",",PUNCT,Icotaf,Icotaf,PROPN,",",",",PUNCT,2016-01-26,2016,2010,PROPN PUNCT Seven Up PUNCT PROPN,PUNCT Seven Up PUNCT,PROPN PUNCT Seven Up,CONJ PROPN PUNCT Seven Up,PUNCT CONJ PROPN PUNCT Seven Up,Seven Up PUNCT PROPN,Seven Up PUNCT PROPN PUNCT,Seven Up PUNCT PROPN PUNCT PROPN,"Sade , Seven Up , Sotiba",", Seven Up ,","Sade , Seven Up","comme Sade , Seven Up",", comme Sade , Seven Up","Seven Up , Sotiba","Seven Up , Sotiba ,","Seven Up , Sotiba , Icotaf"
http://www.contrepoints.org/2016/03/07/241884-ma-vie-dexpat-au-quebec,contrepoints.org,2016-03-07,===NONE===,seven_up/_/seven_up,"Hot  dog  ,  hamburger  ,  poutine  ,  club  sandwich  ,  coke  , seven_up  ,  café  .",seven_up,_,seven_up,",",",",PUNCT,coke,coke,NOUN,",",",",PUNCT,sandwich,sandwich,NOUN,club,club,NOUN,",",",",PUNCT,café,café,NOUN,.,.,PUNCT,,,,,,,2016-03-07,2016,2010,NOUN PUNCT Seven Up PUNCT NOUN,PUNCT Seven Up PUNCT,NOUN PUNCT Seven Up,PUNCT NOUN PUNCT Seven Up,NOUN PUNCT NOUN PUNCT Seven Up,Seven Up PUNCT NOUN,Seven Up PUNCT NOUN PUNCT,,"coke , Seven Up , café",", Seven Up ,","coke , Seven Up",", coke , Seven Up","sandwich , coke , Seven Up","Seven Up , café","Seven Up , café .",
http://www.lexpress.fr/culture/musique/ces-rappeurs-francais-qui-boivent-de-la-codeine-comme-du-jus-de-pomme_1789275.html,lexpress.fr,2016-05-05,France,Seven_up/_/Seven_up,"C'  est  lui  qui  s'  est  préparé  ce  cocktail  maison  ,  avec  beaucoup  de  glaçons  ,  une  paille  ,  du Seven_up  Cherry  ,  et  ...  deux  bouchons  d'  Euphon  ,  un  sirop  pour  la  toux  contenant  de  la  codéine  .",seven_up,_,seven_up,du,du,ADP DET,",",",",PUNCT,paille,paille,NOUN,une,un,DET,",",",",PUNCT,Cherry,Cherry,PROPN,",",",",PUNCT,et,et,CONJ,...,...,PUNCT,deux,deux,ADJ,2016-05-05,2016,2010,PUNCT ADP DET Seven Up PROPN PUNCT,ADP DET Seven Up PROPN,PUNCT ADP DET Seven Up,NOUN PUNCT ADP DET Seven Up,DET NOUN PUNCT ADP DET Seven Up,Seven Up PROPN PUNCT,Seven Up PROPN PUNCT CONJ,Seven Up PROPN PUNCT CONJ PUNCT,", du Seven Up Cherry ,",du Seven Up Cherry,", du Seven Up","paille , du Seven Up","un paille , du Seven Up","Seven Up Cherry ,","Seven Up Cherry , et","Seven Up Cherry , et ..."
http://www.journaldequebec.com/2016/06/19/jaime-les-bars-gais,journaldequebec.com,2016-06-19,Armenia,Seven_Up/_/Seven_Up,"Autrement  ,  c'  était  du Seven_Up  avec  une  cerise  .",seven_up,_,seven_up,du,du,ADP DET,était,être,VERB,c',ce,PRON,",",",",PUNCT,Autrement,autrement,ADV,avec,avec,ADP,une,un,DET,cerise,cerise,NOUN,.,.,PUNCT,,,,2016-06-19,2016,2010,VERB ADP DET Seven Up ADP DET,ADP DET Seven Up ADP,VERB ADP DET Seven Up,PRON VERB ADP DET Seven Up,PUNCT PRON VERB ADP DET Seven Up,Seven Up ADP DET,Seven Up ADP DET NOUN,Seven Up ADP DET NOUN PUNCT,être du Seven Up avec un,du Seven Up avec,être du Seven Up,ce être du Seven Up,", ce être du Seven Up",Seven Up avec un,Seven Up avec un cerise,Seven Up avec un cerise .
http://www.dhnet.be/sports/football/diablesrouges/martinez-interdit-la-cigarette-57d0484535701f2d117136f7,dhnet.be,2016-09-08,Belgium,Seven_Up/_/Seven_Up,Il  avait  mélangé  l'  alcool  avec  du Seven_Up  .,seven_up,_,seven_up,du,du,ADP DET,avec,avec,ADP,alcool,alcool,NOUN,l',le,DET,mélangé,mélanger,VERB,.,.,PUNCT,,,,,,,,,,,,,2016-09-08,2016,2010,,ADP DET Seven Up PUNCT,ADP ADP DET Seven Up,NOUN ADP ADP DET Seven Up,DET NOUN ADP ADP DET Seven Up,,,,,du Seven Up .,avec du Seven Up,alcool avec du Seven Up,le alcool avec du Seven Up,,,
