url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://fr.canoe.ca/divertissement/musique/nouvelles/2014/01/20/21411391-qmi.html,canoe.ca,2014-01-21,Canada,Musicor/NAM/Musicor,"Dick  Rivers  a  repris  contact  avec  la  Belle  Province  à  l'  occasion  de  sa  venue  au  Colisée  Pepsi  de  Québec  ,  l'  an  dernier  ,  pour  le  spectacle-événement  Le  retour  de  nos  idoles  (  la  formule  a  depuis  été  rebaptisée  Les  idoles  )  ,  une  initiative  de Musicor  Spectacles  .",musicor,nam,musicor,de,de,ADP,initiative,initiative,NOUN,une,un,DET,",",",",PUNCT,),),PUNCT,Spectacles,Spectacles,PROPN,.,.,PUNCT,,,,,,,,,,2014-01-21,2014,2010,NOUN ADP Sicor PROPN PUNCT,ADP Sicor PROPN,NOUN ADP Sicor,DET NOUN ADP Sicor,PUNCT DET NOUN ADP Sicor,Sicor PROPN PUNCT,,,initiative de Sicor Spectacles .,de Sicor Spectacles,initiative de Sicor,un initiative de Sicor,", un initiative de Sicor",Sicor Spectacles .,,
http://voir.ca/joel-martel/2014/01/30/a-la-rescousse-de-mario/,voir.ca,2014-01-30,Canada,Musicor/NAM/Musicor,T'  as  juste  à  aller  écouter  tout  ce  qui  a  moindrement  pogné  en  2013  et  qui  n'  a  pas  été  produit  par  des  grosses  maisons  de  disques  comme Musicor  par  exemple  .,musicor,nam,musicor,comme,comme,CONJ,disques,disque,NOUN,de,de,ADP,maisons,maison,NOUN,grosses,gros,ADJ,par,par,ADP,exemple,exemple,NOUN,.,.,PUNCT,,,,,,,2014-01-30,2014,2010,NOUN CONJ Sicor ADP NOUN,CONJ Sicor ADP,NOUN CONJ Sicor,ADP NOUN CONJ Sicor,NOUN ADP NOUN CONJ Sicor,Sicor ADP NOUN,Sicor ADP NOUN PUNCT,,disque comme Sicor par exemple,comme Sicor par,disque comme Sicor,de disque comme Sicor,maison de disque comme Sicor,Sicor par exemple,Sicor par exemple .,
http://tvanouvelles.ca/lcn/artsetspectacles/general/archives/2014/01/20140130-232532.html,tvanouvelles.ca,2014-01-31,Canada,Musicor/NAM/Musicor,"Les  idoles  2014  ,  un  spectacle  de  vedettes  de  la  francophonie  qui  devait  être  présenté  les  2  et  3  mai  prochain  au  Colisée  Pepsi  de  Québec  a  été  annulé  ,  a  fait  savoir  à  regret  le  promoteur Musicor  Spectacles  ,  jeudi  ,  par  voie  de  communiqué  .",musicor,nam,musicor,promoteur,promoteur,ADJ,le,le,DET,regret,regret,NOUN,à,à,ADP,savoir,savoir,VERB,Spectacles,Spectacles,PROPN,",",",",PUNCT,jeudi,jeudi,NOUN,",",",",PUNCT,par,par,ADP,2014-01-31,2014,2010,DET ADJ Sicor PROPN PUNCT,ADJ Sicor PROPN,DET ADJ Sicor,NOUN DET ADJ Sicor,ADP NOUN DET ADJ Sicor,Sicor PROPN PUNCT,Sicor PROPN PUNCT NOUN,Sicor PROPN PUNCT NOUN PUNCT,"le promoteur Sicor Spectacles ,",promoteur Sicor Spectacles,le promoteur Sicor,regret le promoteur Sicor,à regret le promoteur Sicor,"Sicor Spectacles ,","Sicor Spectacles , jeudi","Sicor Spectacles , jeudi ,"
http://www.liberation.fr/sports/2014/02/12/sotchi-deux-gagnantes-pour-une-descente_979611,liberation.fr,2014-02-12,France,aussiCorruption/NOM/aussiCorruption,"A  lire aussiCorruption  ,  atteintes  à  l'  écologie  ,  un  opposant  à  Poutine  a  listé  les  petites  et  grosses  dérives  des  JO  de  Sotchi  ,  Les  sommets  de  la  gloire  pour  Poutine",aussicorruption,nom,aussicorruption,lire,lire,VERB,A,à,ADP,,,,,,,,,,",",",",PUNCT,atteintes,atteindre,VERB,à,à,ADP,l',le,DET,écologie,écologie,NOUN,2014-02-12,2014,2010,ADP VERB Sicor PUNCT VERB,VERB Sicor PUNCT,ADP VERB Sicor,,,Sicor PUNCT VERB,Sicor PUNCT VERB ADP,Sicor PUNCT VERB ADP DET,"à lire Sicor , atteindre","lire Sicor ,",à lire Sicor,,,"Sicor , atteindre","Sicor , atteindre à","Sicor , atteindre à le"
http://voir.ca/nouvelles/2014/02/26/angele-arsenault-la-porte-parole-du-bonheur-seteint-a-70-ans/,voir.ca,2014-02-26,Canada,Musicor/NAM/Musicor,"Son  tout  dernier  album  ,  un  greatest  hits  ,  était  sorti  en  2013  via  l'  étiquette Musicor  .",musicor,nam,musicor,étiquette,étiquette,NOUN,l',le,DET,via,via,ADP,2013,@card@,ADJ,en,en,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-02-26,2014,2010,,NOUN Sicor PUNCT,DET NOUN Sicor,ADP DET NOUN Sicor,ADJ ADP DET NOUN Sicor,,,,,étiquette Sicor .,le étiquette Sicor,via le étiquette Sicor,@card@ via le étiquette Sicor,,,
http://www.centre-presse.fr/article-306265-le-muguet-c-est-l-affaire-du-comite.html,centre-presse.fr,2014-04-27,France,Musicora/NAM/Musicora,"Comme  il  l'  avait  fait  voilà  3  ans  avec  le  concours  de  la  municipalité  ,  Pierre  Bergerault  ,  musicien  originaire  du  village  ,  présentera  aussi  un  concert  exceptionnel  où  seront  réunis  l'  orchestre  d'accord  éons  de  Ditzingen  en  Allemagne  et  la  chorale  du Musicora  orchestra  de  Poitiers  .",musicora,nam,musicora,du,du,ADP DET,chorale,chorale,NOUN,la,le,DET,et,et,CONJ,Allemagne,Allemagne,PROPN,orchestra,orchestrer,VERB,de,de,ADP,Poitiers,Poitiers,PROPN,.,.,PUNCT,,,,2014-04-27,2014,2010,NOUN ADP DET Sicor VERB ADP,ADP DET Sicor VERB,NOUN ADP DET Sicor,DET NOUN ADP DET Sicor,CONJ DET NOUN ADP DET Sicor,Sicor VERB ADP,Sicor VERB ADP PROPN,Sicor VERB ADP PROPN PUNCT,chorale du Sicor orchestrer de,du Sicor orchestrer,chorale du Sicor,le chorale du Sicor,et le chorale du Sicor,Sicor orchestrer de,Sicor orchestrer de Poitiers,Sicor orchestrer de Poitiers .
http://www.centre-presse.fr/article-307744-la-fete-du-muguet-rendez-vous-incontournable.html,centre-presse.fr,2014-05-05,France,Musicora/NAM/Musicora,"Le  choeur  et  l'  orchestre  du Musicora  Orchestra  de  Poitiers  ,  dirigés  par  l'  enfant  du  pays  ,  Pierre  Bergerault  ,  ont  donné  un  aperçu  de  leur  répertoire  .",musicora,nam,musicora,du,du,ADP DET,orchestre,orchestre,NOUN,l',le,DET,et,et,CONJ,choeur,chœur,NOUN,Orchestra,Orchestra,PROPN,de,de,ADP,Poitiers,Poitiers,PROPN,",",",",PUNCT,dirigés,diriger,VERB,2014-05-05,2014,2010,NOUN ADP DET Sicor PROPN ADP,ADP DET Sicor PROPN,NOUN ADP DET Sicor,DET NOUN ADP DET Sicor,CONJ DET NOUN ADP DET Sicor,Sicor PROPN ADP,Sicor PROPN ADP PROPN,Sicor PROPN ADP PROPN PUNCT,orchestre du Sicor Orchestra de,du Sicor Orchestra,orchestre du Sicor,le orchestre du Sicor,et le orchestre du Sicor,Sicor Orchestra de,Sicor Orchestra de Poitiers,"Sicor Orchestra de Poitiers ,"
http://www.lapresse.ca/arts/musique/entrevues/201405/12/01-4765815-marie-mai-sortir-de-sa-zone-de-confort.php,lapresse.ca,2014-05-13,Canada,Musicor/NAM/Musicor,Marie-Mai  a  fait  sursauter  son  label Musicor  en  présentant  un  nouvel  album  de  compositions  originales  .,musicor,nam,musicor,label,label,NOUN,son,son,DET,sursauter,sursauter,VERB,fait,faire,VERB,a,avoir,VERB,en,en,ADP,présentant,présenter,VERB,un,un,DET,nouvel,nouveau,ADJ,album,album,NOUN,2014-05-13,2014,2010,DET NOUN Sicor ADP VERB,NOUN Sicor ADP,DET NOUN Sicor,VERB DET NOUN Sicor,VERB VERB DET NOUN Sicor,Sicor ADP VERB,Sicor ADP VERB DET,Sicor ADP VERB DET ADJ,son label Sicor en présenter,label Sicor en,son label Sicor,sursauter son label Sicor,faire sursauter son label Sicor,Sicor en présenter,Sicor en présenter un,Sicor en présenter un nouveau
http://www.lapresse.ca/le-soleil/arts-et-spectacles/sur-scene/201408/16/01-4792238-pepe-et-sa-guitare-engage-et-occupe.php,lapresse.ca,2014-08-18,Canada,Musicor/NAM/Musicor,"Pépé  a  lancé  il  y  a  près  d'  un  an  son  sixième  album  ,  Engagé  !  ,  entouré  d'  une  nouvelle  équipe  (  celle  de  l'  étiquette  Ste-  4  ,  une  filiale  de Musicor  )  et  ,  selon  ses  dires  ,  porté  par  un  nouveau  point  de  vue  sur  l'  industrie  de  la  musique  .",musicor,nam,musicor,de,de,ADP,filiale,filiale,NOUN,une,un,DET,",",",",PUNCT,4,@card@,ADJ,),),PUNCT,et,et,CONJ,",",",",PUNCT,selon,selon,ADP,ses,son,DET,2014-08-18,2014,2010,NOUN ADP Sicor PUNCT CONJ,ADP Sicor PUNCT,NOUN ADP Sicor,DET NOUN ADP Sicor,PUNCT DET NOUN ADP Sicor,Sicor PUNCT CONJ,Sicor PUNCT CONJ PUNCT,Sicor PUNCT CONJ PUNCT ADP,filiale de Sicor ) et,de Sicor ),filiale de Sicor,un filiale de Sicor,", un filiale de Sicor",Sicor ) et,"Sicor ) et ,","Sicor ) et , selon"
http://www.lapresse.ca/le-soleil/arts-et-spectacles/sur-scene/201409/28/01-4804414-vent-de-changement-pour-marie-elaine-thibert.php,lapresse.ca,2014-10-08,Canada,Musicor/NAM/Musicor,"Elle  a  quitté  les  disques Musicor  pour  créer  la  compagnie  MET  Productions  ,  en  plus  de  poser  les  premières  pierres  d'  un  développement  de  carrière  en  France  .",musicor,nam,musicor,disques,disque,NOUN,les,le,DET,quitté,quitter,VERB,a,avoir,VERB,Elle,elle,PRON,pour,pour,CONJ,créer,créer,VERB,la,le,DET,compagnie,compagnie,NOUN,MET,MET,PROPN,2014-10-08,2014,2010,DET NOUN Sicor CONJ VERB,NOUN Sicor CONJ,DET NOUN Sicor,VERB DET NOUN Sicor,VERB VERB DET NOUN Sicor,Sicor CONJ VERB,Sicor CONJ VERB DET,Sicor CONJ VERB DET NOUN,le disque Sicor pour créer,disque Sicor pour,le disque Sicor,quitter le disque Sicor,avoir quitter le disque Sicor,Sicor pour créer,Sicor pour créer le,Sicor pour créer le compagnie
