url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.femmeactuelle.fr/deco/maison-pratique/bois-granit-quartz-plan-de-travail-cuisine-26942,femmeactuelle.fr,2016-01-20,France,Silestone/NOM/Silestone,Il  est  apparu  à  la  fin  des  années  80  (  le Silestone  de  l'  Espagnol  Consentino  est  né  en  1995  )  et  a  peu  à  peu  conquis  le  marché  de  la  cuisine  .,silestone,nom,silestone,le,le,DET,(,(,PUNCT,80,@card@,ADJ,années,année,NOUN,des,du,ADP DET,de,de,ADP,l',le,DET,Espagnol,Espagnol,PROPN,Consentino,Consentino,PROPN,est,être,VERB,2016-01-20,2016,2010,PUNCT DET Silestone ADP DET,DET Silestone ADP,PUNCT DET Silestone,ADJ PUNCT DET Silestone,NOUN ADJ PUNCT DET Silestone,Silestone ADP DET,Silestone ADP DET PROPN,Silestone ADP DET PROPN PROPN,( le Silestone de le,le Silestone de,( le Silestone,@card@ ( le Silestone,année @card@ ( le Silestone,Silestone de le,Silestone de le Espagnol,Silestone de le Espagnol Consentino
http://www.femmeactuelle.fr/deco/maison-pratique/bois-granit-quartz-plan-de-travail-cuisine-26942,femmeactuelle.fr,2016-01-20,France,Silestone/NAM/Silestone,"Il  existe  diverses  qualité  de  quartz  ,  les  fabricants  les  baptisant  chacun  différemment  ( Silestone  ,  quartzstone  ,  etc  .  )",silestone,nam,silestone,(,(,PUNCT,différemment,différemment,ADV,chacun,chacun,PRON,baptisant,baptiser,VERB,les,la|le,PRON,",",",",PUNCT,quartzstone,quartzstone,NOUN,",",",",PUNCT,etc,etc,ABR,.,.,PUNCT,2016-01-20,2016,2010,ADV PUNCT Silestone PUNCT NOUN,PUNCT Silestone PUNCT,ADV PUNCT Silestone,PRON ADV PUNCT Silestone,VERB PRON ADV PUNCT Silestone,Silestone PUNCT NOUN,Silestone PUNCT NOUN PUNCT,Silestone PUNCT NOUN PUNCT ABR,"différemment ( Silestone , quartzstone","( Silestone ,",différemment ( Silestone,chacun différemment ( Silestone,baptiser chacun différemment ( Silestone,"Silestone , quartzstone","Silestone , quartzstone ,","Silestone , quartzstone , etc"
http://www.lametropole.com/article/tendances/design/manon-leblanc-dans-griffintown,lametropole.com,2016-05-02,Canada,Silestone/NOM/Silestone,"Cuisines  Manon  Leblanc  travaille  en  ĂŠtroite  collaboration  avec  des  fournisseurs  reconnus  pour  la  qualitĂŠ  irrĂŠprochable  de  leurs  produits  ,  incluant  Miralis  pour  les  armoires  et Silestone  pour  les  comptoirs  ,  donc  ceux  de  Dekton  ,  une  exclusivitĂŠ  de  Cosentino  .",silestone,nom,silestone,et,et,CONJ,armoires,armoire,NOUN,les,le,DET,pour,pour,ADP,Miralis,Miralis,NOUN,pour,pour,ADP,les,le,DET,comptoirs,comptoir,NOUN,",",",",PUNCT,donc,donc,ADV,2016-05-02,2016,2010,NOUN CONJ Silestone ADP DET,CONJ Silestone ADP,NOUN CONJ Silestone,DET NOUN CONJ Silestone,ADP DET NOUN CONJ Silestone,Silestone ADP DET,Silestone ADP DET NOUN,Silestone ADP DET NOUN PUNCT,armoire et Silestone pour le,et Silestone pour,armoire et Silestone,le armoire et Silestone,pour le armoire et Silestone,Silestone pour le,Silestone pour le comptoir,"Silestone pour le comptoir ,"
http://www.lesoir.be/143011/article/2018-03-01/black-new-black-la-nouvelle-tendance-deco,lesoir.be,2018-03-01,Belgium,Silestone/NAM/Silestone,"Et  puis  ,  la  cuisine  noire  peut  aussi  revêtir  un  style  brillant  avec  des  solutions  comme  le  plan  de  travail  en  quartz  Negro  Stellar  de Silestone  qui  est  doté  de  petits  miroirs  pour  créer  des  jeux  de  lumière  .",silestone,nam,silestone,de,de,ADP,Stellar,Stellar,PROPN,Negro,Negro,PROPN,quartz,quartz,PROPN,en,en,ADP,qui,qui,PRON,est,être,VERB,doté,doter,VERB,de,de,ADP,petits,petit,ADJ,2018-03-01,2018,2010,PROPN ADP Silestone PRON VERB,ADP Silestone PRON,PROPN ADP Silestone,PROPN PROPN ADP Silestone,PROPN PROPN PROPN ADP Silestone,Silestone PRON VERB,Silestone PRON VERB VERB,Silestone PRON VERB VERB ADP,Stellar de Silestone qui être,de Silestone qui,Stellar de Silestone,Negro Stellar de Silestone,quartz Negro Stellar de Silestone,Silestone qui être,Silestone qui être doter,Silestone qui être doter de
https://www.bastamag.net/Des-plans-de-travail-pour-cuisine-accuses-de-rendre-malades-les-ouvriers-qui,bastamag.net,2018-09-20,===NONE===,Silestone/NAM/Silestone,"Les  échantillons  de Silestone  qui  ont  été  analysés  par  le  laboratoire  de  Strasbourg  ,  et  ci-dessous  ,  les  substances  cancérogènes  trouvées  dans  ces  échantillons  .",silestone,nam,silestone,de,de,ADP,échantillons,échantillon,NOUN,Les,le,DET,,,,,,,qui,qui,PRON,ont,avoir,VERB,été,être,VERB,analysés,analyser,VERB,par,par,ADP,2018-09-20,2018,2010,NOUN ADP Silestone PRON VERB,ADP Silestone PRON,NOUN ADP Silestone,DET NOUN ADP Silestone,,Silestone PRON VERB,Silestone PRON VERB VERB,Silestone PRON VERB VERB VERB,échantillon de Silestone qui avoir,de Silestone qui,échantillon de Silestone,le échantillon de Silestone,,Silestone qui avoir,Silestone qui avoir être,Silestone qui avoir être analyser
https://www.bastamag.net/Des-plans-de-travail-pour-cuisine-accuses-de-rendre-malades-les-ouvriers-qui,bastamag.net,2018-09-20,===NONE===,Silestone/NOM/Silestone,"Longtemps  spécialisé  dans  le  marbre  ,  Cosentino  s'  est  lancé  au  début  des  années  1990  dans  la  fabrication  d'  une  pierre  agglomérée  à  base  de  silice  ,  qu'  elle  a  nommée  le Silestone  .",silestone,nom,silestone,le,le,DET,nommée,nommer,VERB,a,avoir,VERB,elle,elle,PRON,qu',que,PRON,.,.,PUNCT,,,,,,,,,,,,,2018-09-20,2018,2010,,DET Silestone PUNCT,VERB DET Silestone,VERB VERB DET Silestone,PRON VERB VERB DET Silestone,,,,,le Silestone .,nommer le Silestone,avoir nommer le Silestone,elle avoir nommer le Silestone,,,
https://www.bastamag.net/Des-plans-de-travail-pour-cuisine-accuses-de-rendre-malades-les-ouvriers-qui,bastamag.net,2018-09-20,===NONE===,Silestone/NAM/Silestone,C'  étaient  les  débuts  du Silestone  .,silestone,nam,silestone,du,du,ADP DET,débuts,début,NOUN,les,le,DET,étaient,être,VERB,C',ce,PRON,.,.,PUNCT,,,,,,,,,,,,,2018-09-20,2018,2010,,ADP DET Silestone PUNCT,NOUN ADP DET Silestone,DET NOUN ADP DET Silestone,VERB DET NOUN ADP DET Silestone,,,,,du Silestone .,début du Silestone,le début du Silestone,être le début du Silestone,,,
https://www.bastamag.net/Des-plans-de-travail-pour-cuisine-accuses-de-rendre-malades-les-ouvriers-qui,bastamag.net,2018-09-20,===NONE===,Silestone/NAM/Silestone,"Le Silestone  ,  le  nom  de  marque  de  cet  aggloméré  de  quartz  ,  est  né  .",silestone,nam,silestone,Le,le,DET,,,,,,,,,,,,,",",",",PUNCT,le,le,DET,nom,nom,NOUN,de,de,ADP,marque,marque,NOUN,2018-09-20,2018,2010,,DET Silestone PUNCT,,,,Silestone PUNCT DET,Silestone PUNCT DET NOUN,Silestone PUNCT DET NOUN ADP,,"le Silestone ,",,,,"Silestone , le","Silestone , le nom","Silestone , le nom de"
https://www.bastamag.net/Des-plans-de-travail-pour-cuisine-accuses-de-rendre-malades-les-ouvriers-qui,bastamag.net,2018-09-20,===NONE===,Silestone/ADJ/Silestone,"Cindy  Crawford  est  devenue  ,  en  2017  ,  l'  ambassadrice  de  la  marque Silestone  .",silestone,adj,silestone,marque,marque,NOUN,la,le,DET,de,de,ADP,ambassadrice,ambassadrice,NOUN,l',le,DET,.,.,PUNCT,,,,,,,,,,,,,2018-09-20,2018,2010,,NOUN Silestone PUNCT,DET NOUN Silestone,ADP DET NOUN Silestone,NOUN ADP DET NOUN Silestone,,,,,marque Silestone .,le marque Silestone,de le marque Silestone,ambassadrice de le marque Silestone,,,
https://www.bastamag.net/Des-plans-de-travail-pour-cuisine-accuses-de-rendre-malades-les-ouvriers-qui,bastamag.net,2018-09-20,===NONE===,Silestone/NAM/Silestone,"Ou  pour  éviter  de  reconnaître  officiellement  ses  torts  ?  Cosentino  veut  rassurer  :  ""  Le  découpage  ,  l'  élaboration  ou  l'  installation  de  produits  comme  le Silestone  peuvent  se  faire  de  façon  totalement  sûre  ""  à  condition  de  respecter  le  guide  de  bonnes  pratiques  de  l'  entreprise  .",silestone,nam,silestone,le,le,DET,comme,comme,CONJ,produits,produit,NOUN,de,de,ADP,installation,installation,NOUN,peuvent,pouvoir,VERB,se,se,PRON,faire,faire,VERB,de,de,ADP,façon,façon,NOUN,2018-09-20,2018,2010,CONJ DET Silestone VERB PRON,DET Silestone VERB,CONJ DET Silestone,NOUN CONJ DET Silestone,ADP NOUN CONJ DET Silestone,Silestone VERB PRON,Silestone VERB PRON VERB,Silestone VERB PRON VERB ADP,comme le Silestone pouvoir se,le Silestone pouvoir,comme le Silestone,produit comme le Silestone,de produit comme le Silestone,Silestone pouvoir se,Silestone pouvoir se faire,Silestone pouvoir se faire de
