url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://appablog.wordpress.com/2014/01/09/republique-centrafricaine-des-milliers-de-deplaces-continuent-daffluer-a-bangui/,wordpress.com,2014-01-09,===NONE===,soignons/VER:pres/soigner,"Nous  accueillons  toutes  les  personnes  ayant  besoin  d'  une  assistance  médicale  et  les soignons  avec  pour  seul  critère  de  priorisation  la  gravité  de  leurs  blessures  ""  ,  indique  le  chirurgien  Essam  El  Sayed  ,  qui  a  effectué  avec  son  équipe  une  trentaine  d'  opérations  depuis  le  4  janvier  2014  .",soignons,ver:pres,soigner,les,la|le,PRON,et,et,CONJ,médicale,médical,ADJ,assistance,assistance,NOUN,une,un,DET,avec,avec,ADP,pour,pour,ADP,seul,seul,ADJ,critère,critère,NOUN,de,de,ADP,2014-01-09,2014,2010,CONJ PRON Soignon ADP ADP,PRON Soignon ADP,CONJ PRON Soignon,ADJ CONJ PRON Soignon,NOUN ADJ CONJ PRON Soignon,Soignon ADP ADP,Soignon ADP ADP ADJ,Soignon ADP ADP ADJ NOUN,et la|le Soignon avec pour,la|le Soignon avec,et la|le Soignon,médical et la|le Soignon,assistance médical et la|le Soignon,Soignon avec pour,Soignon avec pour seul,Soignon avec pour seul critère
http://www.lamontagne.fr/limousin/actualite/departement/creuse/gueret/2014/01/17/en-hiver-les-pigeons-de-competition-sont-choyes_1838264.html,lamontagne.fr,2014-01-17,France,soignons/VER:pres/soigner,"René  Tixier  est  intarissable  :  ""  Selon  les  moments  de  l'  année  ,  nous soignons  nos  oiseaux  tout  particulièrement  .",soignons,ver:pres,soigner,nous,nous,PRON,",",",",PUNCT,année,année,NOUN,l',le,DET,de,de,ADP,nos,notre,DET,oiseaux,oiseau,NOUN,tout,tout,ADV,particulièrement,particulièrement,ADV,.,.,PUNCT,2014-01-17,2014,2010,PUNCT PRON Soignon DET NOUN,PRON Soignon DET,PUNCT PRON Soignon,NOUN PUNCT PRON Soignon,DET NOUN PUNCT PRON Soignon,Soignon DET NOUN,Soignon DET NOUN ADV,Soignon DET NOUN ADV ADV,", nous Soignon notre oiseau",nous Soignon notre,", nous Soignon","année , nous Soignon","le année , nous Soignon",Soignon notre oiseau,Soignon notre oiseau tout,Soignon notre oiseau tout particulièrement
http://www.lemonde.fr/afrique/article/2014/01/25/la-centrafrique-ne-s-apaise-pas_4354262_3212.html,lemonde.fr,2014-01-25,France,soignons/VER:pres/soigner,"Il  y  a  encore  des  blessés  par  balle  mais  aujourd  '  hui  ,  l'  essentiel  des  personnes  que  nous soignons  ont  été  blessées  à  l'  arme  blanche  ou  par  des  jets  de  grenades  .",soignons,ver:pres,soigner,nous,nous,PRON,que,que,PRON,personnes,personne,NOUN,des,du,ADP DET,essentiel,essentiel,NOUN,ont,avoir,VERB,été,être,VERB,blessées,blesser,VERB,à,à,ADP,l',le,DET,2014-01-25,2014,2010,PRON PRON Soignon VERB VERB,PRON Soignon VERB,PRON PRON Soignon,NOUN PRON PRON Soignon,ADP DET NOUN PRON PRON Soignon,Soignon VERB VERB,Soignon VERB VERB VERB,Soignon VERB VERB VERB ADP,que nous Soignon avoir être,nous Soignon avoir,que nous Soignon,personne que nous Soignon,du personne que nous Soignon,Soignon avoir être,Soignon avoir être blesser,Soignon avoir être blesser à
http://blogs.lesechos.fr/dominique-seux/pas-de-fatwa-contre-peter-harz-svp-a14158.html,lesechos.fr,2014-01-30,France,soignons/VER:pres/soigner,Mais soignons  nos  deux  maladies  que  sont  peut-être  la  peur  et  la  paresse  intellectuelle  ! </doc>,soignons,ver:pres,soigner,Mais,mais,CONJ,,,,,,,,,,,,,nos,notre,DET,deux,deux,ADJ,maladies,maladie,NOUN,que,que,PRON,sont,être,VERB,2014-01-30,2014,2010,,CONJ Soignon DET,,,,Soignon DET ADJ,Soignon DET ADJ NOUN,Soignon DET ADJ NOUN PRON,,mais Soignon notre,,,,Soignon notre deux,Soignon notre deux maladie,Soignon notre deux maladie que
http://www.lefigaro.fr/flash-actu/2014/02/04/97001-20140204FILWWW00228-ouganda-l-armee-combat-le-vih.php,lefigaro.fr,2014-02-04,France,soignons/VER:pres/soigner,"La  lutte  contre  le  sida  et  la  circoncision  ""  ne  sont  qu'  une  activité  ""  parmi  d'  autres  ,  a  précisé  Paddy  Ankunda  ,  ""  nous  distribuons  des  moustiquaires  , soignons  le  paludisme  ,  traitons  les  infections  oculaires  ,  les  complications  dentaires  ,  toutes  sortes  de  choses  ""  .",soignons,ver:pres,soigner,",",",",PUNCT,moustiquaires,moustiquaire,NOUN,des,du,ADP DET,distribuons,distribuer,VERB,nous,nous,PRON,le,le,DET,paludisme,paludisme,NOUN,",",",",PUNCT,traitons,traiter,VERB,les,le,DET,2014-02-04,2014,2010,NOUN PUNCT Soignon DET NOUN,PUNCT Soignon DET,NOUN PUNCT Soignon,ADP DET NOUN PUNCT Soignon,VERB ADP DET NOUN PUNCT Soignon,Soignon DET NOUN,Soignon DET NOUN PUNCT,Soignon DET NOUN PUNCT VERB,"moustiquaire , Soignon le paludisme",", Soignon le","moustiquaire , Soignon","du moustiquaire , Soignon","distribuer du moustiquaire , Soignon",Soignon le paludisme,"Soignon le paludisme ,","Soignon le paludisme , traiter"
http://lifestyle.boursorama.com/article/faut-il-aller-voir-les-trois-freres-le-retour_a322/1,boursorama.com,2014-02-12,===NONE===,Soignon/NAM/Soignon,"Mais  les  Kev  Adams  ,  Shirley Soignon  et  autre  Baptiste  Lecaplain  ont  donné  à  l'  humour  une  autre  dimension  et  au  public  une  exigence  plus  soutenue  .",soignon,nam,soignon,Shirley,Shirley,PROPN,",",",",PUNCT,Adams,Adams,PROPN,Kev,Kev,PROPN,les,le,DET,et,et,CONJ,autre,autre,ADJ,Baptiste,Baptiste,PROPN,Lecaplain,Lecaplain,PROPN,ont,avoir,VERB,2014-02-12,2014,2010,PUNCT PROPN Soignon CONJ ADJ,PROPN Soignon CONJ,PUNCT PROPN Soignon,PROPN PUNCT PROPN Soignon,PROPN PROPN PUNCT PROPN Soignon,Soignon CONJ ADJ,Soignon CONJ ADJ PROPN,Soignon CONJ ADJ PROPN PROPN,", Shirley Soignon et autre",Shirley Soignon et,", Shirley Soignon","Adams , Shirley Soignon","Kev Adams , Shirley Soignon",Soignon et autre,Soignon et autre Baptiste,Soignon et autre Baptiste Lecaplain
http://www.lejdd.fr/International/Afrique/Centrafrique-eviter-la-partition-a-tout-prix-653397,lejdd.fr,2014-02-16,France,soignons/VER:pres/soigner,"""  Nous soignons  de  plus  en  plus  de  femmes  et  d'  enfants  ,  blessés  par  balles  et  grenades  .",soignons,ver:pres,soigner,Nous,nous,PRON,"""","""",PUNCT,,,,,,,,,,de,de,ADP,plus,plus,ADV,en,en,ADP,plus,plus,ADV,de,de,ADP,2014-02-16,2014,2010,PUNCT PRON Soignon ADP ADV,PRON Soignon ADP,PUNCT PRON Soignon,,,Soignon ADP ADV,Soignon ADP ADV ADP,Soignon ADP ADV ADP ADV,""" nous Soignon de plus",nous Soignon de,""" nous Soignon",,,Soignon de plus,Soignon de plus en,Soignon de plus en plus
http://www.lejdd.fr/International/Afrique/Centrafrique-Nous-n-arrivons-pas-a-stopper-la-violence-et-la-haine-653255,lejdd.fr,2014-02-16,France,soignons/VER:pres/soigner,"Nous  essayons  donc  de  trouver  d'  autres  moyens  de  les  évacuer  et  de  faire  passer  le  message  qui  est  que  nous soignons  tout  le  monde  ,  quelle  que  soit  la  confession  .",soignons,ver:pres,soigner,nous,nous,PRON,que,que,ADV,est,être,VERB,qui,qui,PRON,message,message,NOUN,tout,tout,ADV,le,le,DET,monde,monde,NOUN,",",",",PUNCT,quelle,quel,PRON,2014-02-16,2014,2010,ADV PRON Soignon ADV DET,PRON Soignon ADV,ADV PRON Soignon,VERB ADV PRON Soignon,PRON VERB ADV PRON Soignon,Soignon ADV DET,Soignon ADV DET NOUN,Soignon ADV DET NOUN PUNCT,que nous Soignon tout le,nous Soignon tout,que nous Soignon,être que nous Soignon,qui être que nous Soignon,Soignon tout le,Soignon tout le monde,"Soignon tout le monde ,"
http://www.lejdd.fr/International/Afrique/Centrafrique-Nous-n-arrivons-pas-a-stopper-la-violence-et-la-haine-653255,lejdd.fr,2014-02-16,France,soignons/VER:pres/soigner,"Jusqu'  au  début  du  mois  de  janvier  ,  essentiellement  des  hommes  mais  désormais  nous soignons  également  des  femmes  et  des  enfants  .",soignons,ver:pres,soigner,nous,nous,PRON,désormais,désormais,ADV,mais,mais,CONJ,hommes,homme,NOUN,des,du,ADP DET,également,également,ADV,des,du,ADP DET,femmes,femme,NOUN,et,et,CONJ,des,du,ADP DET,2014-02-16,2014,2010,ADV PRON Soignon ADV ADP DET,PRON Soignon ADV,ADV PRON Soignon,CONJ ADV PRON Soignon,NOUN CONJ ADV PRON Soignon,Soignon ADV ADP DET,Soignon ADV ADP DET NOUN,Soignon ADV ADP DET NOUN CONJ,désormais nous Soignon également du,nous Soignon également,désormais nous Soignon,mais désormais nous Soignon,homme mais désormais nous Soignon,Soignon également du,Soignon également du femme,Soignon également du femme et
http://www.ladepeche.fr/article/2014/02/18/1821208-as-carcassonne-le-parcours-du-combattant.html,ladepeche.fr,2014-02-18,France,Soignons/VER:pres/soigner,"Le  président  Guilhem  affiche  la  même  prudence  :  "" Soignons  nos  blessés  ,  honorons  nos  engagements  et  surtout  ,  faisons  preuve  de  rigueur  et  de  volonté  ""  .",soignons,ver:pres,soigner,"""","""",PUNCT,:,:,PUNCT,prudence,prudence,NOUN,même,même,ADJ,la,le,DET,nos,notre,DET,blessés,blessé,NOUN,",",",",PUNCT,honorons,honorer,VERB,nos,notre,DET,2014-02-18,2014,2010,PUNCT PUNCT Soignon DET NOUN,PUNCT Soignon DET,PUNCT PUNCT Soignon,NOUN PUNCT PUNCT Soignon,ADJ NOUN PUNCT PUNCT Soignon,Soignon DET NOUN,Soignon DET NOUN PUNCT,Soignon DET NOUN PUNCT VERB,": "" Soignon notre blessé",""" Soignon notre",": "" Soignon","prudence : "" Soignon","même prudence : "" Soignon",Soignon notre blessé,"Soignon notre blessé ,","Soignon notre blessé , honorer"
