url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.zonebourse.com/KELLOGG-COMPANY-13226/actualite/Nouvelle-baisse-du-CA-de-Kellogg-le-titre-recule-en-Bourse-17910580/,zonebourse.com,2014-02-06,===NONE===,Special_K/NAM_NAM/Special_K,"Le  chiffre  d'  affaires  du  propriétaire  de  marques  telles  que  Corn  Flakes  ,  Froot  Loops  , Special_K  et  Rice  Krispies  s'  est  replié  de  1,7  %  sur  les  trois  mois  au  28  décembre  2013  ,  à  3,50  milliards  de  dollars  contre  une  prévision  moyenne  des  analystes  financiers  de  3,53  milliards  selon  le  consensus  Thomson  Reuters  I  /  B  /  E  /  S.",special_k,nam_nam,special_k,",",",",PUNCT,Loops,Loops,PROPN,Froot,Froot,PROPN,",",",",PUNCT,Flakes,Flakes,PROPN,et,et,CONJ,Rice,Rice,PROPN,Krispies,Krispies,PROPN,s',se,PRON,est,être,VERB,2014-02-06,2014,2010,PROPN PUNCT Special K CONJ PROPN,PUNCT Special K CONJ,PROPN PUNCT Special K,PROPN PROPN PUNCT Special K,PUNCT PROPN PROPN PUNCT Special K,Special K CONJ PROPN,Special K CONJ PROPN PROPN,Special K CONJ PROPN PROPN PRON,"Loops , Special K et Rice",", Special K et","Loops , Special K","Froot Loops , Special K",", Froot Loops , Special K",Special K et Rice,Special K et Rice Krispies,Special K et Rice Krispies se
http://www.terrafemina.com/vie-privee/sexo/articles/37870-saint-valentin-2014-trois-plans-b-pour-celibataires-le-14-fevrier.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BTerrafeminaNews%2B%2528TerrafeminaNews%2529,terrafemina.com,2014-02-11,France,Special_K/NAM_NAM/Special_K,S'  agirait  de  pas  non  plus  se  retrouver  le  nez  dans  un  bol  de Special_K  devant  Thalassa  vendredi  soir  .,special_k,nam_nam,special_k,de,de,ADP,bol,bol,NOUN,un,un,DET,dans,dans,ADP,nez,nez,NOUN,devant,devant,ADP,Thalassa,Thalassa,PROPN,vendredi,vendredi,NOUN,soir,soir,NOUN,.,.,PUNCT,2014-02-11,2014,2010,NOUN ADP Special K ADP PROPN,ADP Special K ADP,NOUN ADP Special K,DET NOUN ADP Special K,ADP DET NOUN ADP Special K,Special K ADP PROPN,Special K ADP PROPN NOUN,Special K ADP PROPN NOUN NOUN,bol de Special K devant Thalassa,de Special K devant,bol de Special K,un bol de Special K,dans un bol de Special K,Special K devant Thalassa,Special K devant Thalassa vendredi,Special K devant Thalassa vendredi soir
http://www.programme-tv.net/news/tv/48520-musique-pub-special-k-video/#xtor%3DRSS-18,programme-tv.net,2014-03-06,===NONE===,Special_K/NAM_NAM/Special_K,<doc uri=http://www.programme-tv.net/news/tv/48520-musique-pub-special-k-video/#xtor%3DRSS-18 website=programme-tv.net date=2014-03-06 source_country=> /le/DET:ART /musique/NOM /de/PRP /le/DET:ART /pub/NOM /pour/PRP Special_K  (  VIDÉO  ),special_k,nam_nam,special_k,pour,pour,ADP,pub,pub,NOUN,la,le,DET,de,de,ADP,musique,musique,NOUN,(,(,PUNCT,VIDÉO,VIDÉO,PROPN,),),PUNCT,,,,,,,2014-03-06,2014,2010,NOUN ADP Special K PUNCT PROPN,ADP Special K PUNCT,NOUN ADP Special K,DET NOUN ADP Special K,ADP DET NOUN ADP Special K,Special K PUNCT PROPN,Special K PUNCT PROPN PUNCT,,pub pour Special K ( VIDÉO,pour Special K (,pub pour Special K,le pub pour Special K,de le pub pour Special K,Special K ( VIDÉO,Special K ( VIDÉO ),
http://www.prnewswire.com/news-releases/legalite-des-sexes-un-vu-pieux-pour-un-tiers-des-francaises-248977591.html,prnewswire.com,2014-03-07,United States,Special_K/NAM_NAM/Special_K,"Un  sondage  d'  opinion  réalisé  par Special_K  [  1  ]  Europe  révèle  que  pour  la  plupart  des  Françaises  il  faudra  attendre  une  nouvelle  décennie  avant  de  bénéficier  des  mêmes  chances  que  les  hommes  en  matière  d'  éducation  ,  de  santé  et  de  justice  .",special_k,nam_nam,special_k,par,par,ADP,réalisé,réaliser,VERB,opinion,opinion,NOUN,d',de,ADP,sondage,sondage,NOUN,[,[,PUNCT,1,@card@,ADJ,],],PUNCT,Europe,Europe,PROPN,révèle,révéler,VERB,2014-03-07,2014,2010,VERB ADP Special K PUNCT ADJ,ADP Special K PUNCT,VERB ADP Special K,NOUN VERB ADP Special K,ADP NOUN VERB ADP Special K,Special K PUNCT ADJ,Special K PUNCT ADJ PUNCT,Special K PUNCT ADJ PUNCT PROPN,réaliser par Special K [ @card@,par Special K [,réaliser par Special K,opinion réaliser par Special K,de opinion réaliser par Special K,Special K [ @card@,Special K [ @card@ ],Special K [ @card@ ] Europe
http://www.prnewswire.com/news-releases/legalite-des-sexes-un-vu-pieux-pour-un-tiers-des-francaises-248977591.html,prnewswire.com,2014-03-07,United States,Special_K/NAM_NAM/Special_K,"Aujourd  '  hui  ,  il  est  stupéfiant  de  constater  que  92  %  des  femmes  ,  sur  les  1000  interrogées  par Special_K  Europe  ,  considèrent  que  l'  égalité  des  sexes  est  encore  loin  d'  être  une  réalité  .",special_k,nam_nam,special_k,par,par,ADP,interrogées,interroger,VERB,1000,@card@,ADJ,les,le,DET,sur,sur,ADP,Europe,Europe,PROPN,",",",",PUNCT,considèrent,considérer,VERB,que,que,CONJ,l',le,DET,2014-03-07,2014,2010,VERB ADP Special K PROPN PUNCT,ADP Special K PROPN,VERB ADP Special K,ADJ VERB ADP Special K,DET ADJ VERB ADP Special K,Special K PROPN PUNCT,Special K PROPN PUNCT VERB,Special K PROPN PUNCT VERB CONJ,"interroger par Special K Europe ,",par Special K Europe,interroger par Special K,@card@ interroger par Special K,le @card@ interroger par Special K,"Special K Europe ,","Special K Europe , considérer","Special K Europe , considérer que"
http://www.prnewswire.com/news-releases/legalite-des-sexes-un-vu-pieux-pour-un-tiers-des-francaises-248977591.html,prnewswire.com,2014-03-07,United States,Special_K/NAM_NAM/Special_K,La  publication  de  ce  sondage  d'  opinion  marque  le  début  d'  un  nouveau  partenariat  stratégique  en  Europe  entre Special_K  Europe  et  la  campagne  CHIME  FOR  CHANGE  lancée  par  Gucci  .,special_k,nam_nam,special_k,entre,entre,ADP,Europe,Europe,PROPN,en,en,ADP,stratégique,stratégique,ADJ,partenariat,partenariat,NOUN,Europe,Europe,PROPN,et,et,CONJ,la,le,DET,campagne,campagne,NOUN,CHIME,CHIME,PROPN,2014-03-07,2014,2010,PROPN ADP Special K PROPN CONJ,ADP Special K PROPN,PROPN ADP Special K,ADP PROPN ADP Special K,ADJ ADP PROPN ADP Special K,Special K PROPN CONJ,Special K PROPN CONJ DET,Special K PROPN CONJ DET NOUN,Europe entre Special K Europe et,entre Special K Europe,Europe entre Special K,en Europe entre Special K,stratégique en Europe entre Special K,Special K Europe et,Special K Europe et le,Special K Europe et le campagne
http://www.prnewswire.com/news-releases/legalite-des-sexes-un-vu-pieux-pour-un-tiers-des-francaises-248977591.html,prnewswire.com,2014-03-07,United States,Special_K/NAM_NAM/Special_K,"Cette  association  va  permettre  à Special_K  Europe  de  s'  engager  aux  côtés  de  CHIME  FOR  CHANGE  au  travers  d'  une  triple  mission  ,  articulée  autour  d'  un  message  fondé  sur  le  chiffre  25  :",special_k,nam_nam,special_k,à,à,ADP,permettre,permettre,VERB,va,aller,VERB,association,association,NOUN,Cette,ce,PRON,Europe,Europe,PROPN,de,de,ADP,s',se,PRON,engager,engager,VERB,aux,au,ADP DET,2014-03-07,2014,2010,VERB ADP Special K PROPN ADP,ADP Special K PROPN,VERB ADP Special K,VERB VERB ADP Special K,NOUN VERB VERB ADP Special K,Special K PROPN ADP,Special K PROPN ADP PRON,Special K PROPN ADP PRON VERB,permettre à Special K Europe de,à Special K Europe,permettre à Special K,aller permettre à Special K,association aller permettre à Special K,Special K Europe de,Special K Europe de se,Special K Europe de se engager
http://www.prnewswire.com/news-releases/legalite-des-sexes-un-vu-pieux-pour-un-tiers-des-francaises-248977591.html,prnewswire.com,2014-03-07,United States,Special_K/NAM_NAM/Special_K,"Pour  la  co-fondatrice  de  CHIME  FOR  CHANGE  ,  Salma  Hayek  Pinault  :  ""  Alors  que  nous  continuons  à  sensibiliser  des  millions  de  foyers  sur  l'  importance  de  l'  indépendance  des  jeunes  filles  et  des  femmes  à  travers  le  monde  ,  cette  association  avec Special_K  Europe  ,  représente  pour  CHIME  FOR  CHANGE  ,  un  moment  clé  .",special_k,nam_nam,special_k,avec,avec,ADP,association,association,NOUN,cette,ce,PRON,",",",",PUNCT,monde,monde,NOUN,Europe,Europe,PROPN,",",",",PUNCT,représente,représenter,VERB,pour,pour,ADP,CHIME,CHIME,PROPN,2014-03-07,2014,2010,NOUN ADP Special K PROPN PUNCT,ADP Special K PROPN,NOUN ADP Special K,PRON NOUN ADP Special K,PUNCT PRON NOUN ADP Special K,Special K PROPN PUNCT,Special K PROPN PUNCT VERB,Special K PROPN PUNCT VERB ADP,"association avec Special K Europe ,",avec Special K Europe,association avec Special K,ce association avec Special K,", ce association avec Special K","Special K Europe ,","Special K Europe , représenter","Special K Europe , représenter pour"
http://www.prnewswire.com/news-releases/legalite-des-sexes-un-vu-pieux-pour-un-tiers-des-francaises-248977591.html,prnewswire.com,2014-03-07,United States,Special_K/NAM_NAM/Special_K,"Dans  le  cadre  du  lancement  de  ce  partenariat  , Special_K  a  invité  des  milliers  de  femmes  dans  toute  l'  Europe  à  citer  les  modèles  qui  les  inspiraient  et  les  poussaient  à  se  dépasser  jour  après  jour  .",special_k,nam_nam,special_k,",",",",PUNCT,partenariat,partenariat,NOUN,ce,ce,PRON,de,de,ADP,lancement,lancement,NOUN,a,avoir,VERB,invité,inviter,VERB,des,du,ADP DET,milliers,millier,NOUN,de,de,ADP,2014-03-07,2014,2010,NOUN PUNCT Special K VERB VERB,PUNCT Special K VERB,NOUN PUNCT Special K,PRON NOUN PUNCT Special K,ADP PRON NOUN PUNCT Special K,Special K VERB VERB,Special K VERB VERB ADP DET,Special K VERB VERB ADP DET NOUN,"partenariat , Special K avoir inviter",", Special K avoir","partenariat , Special K","ce partenariat , Special K","de ce partenariat , Special K",Special K avoir inviter,Special K avoir inviter du,Special K avoir inviter du millier
http://www.prnewswire.com/news-releases/legalite-des-sexes-un-vu-pieux-pour-un-tiers-des-francaises-248977591.html,prnewswire.com,2014-03-07,United States,Special_K/NAM_NAM/Special_K,"Les  conclusions  présentées  découlent  d'  un  sondage  d'  opinion  conduit  par Special_K  Europe  ,  indépendamment  de  CHIME  FOR  CHANGE  ,  sous  la  forme  d'  un  sondage  en  ligne  effectué  en  Mars  2014  par  l'  institut  de  sondage  Opinion  Matters  pour  le  compte  de  Special  K  Europe  auprès  de  1000  femmes  .",special_k,nam_nam,special_k,par,par,ADP,conduit,conduire,VERB,opinion,opinion,NOUN,d',de,ADP,sondage,sondage,NOUN,Europe,Europe,PROPN,",",",",PUNCT,indépendamment,indépendamment,ADV,de,de,ADP,CHIME,CHIME,PROPN,2014-03-07,2014,2010,VERB ADP Special K PROPN PUNCT,ADP Special K PROPN,VERB ADP Special K,NOUN VERB ADP Special K,ADP NOUN VERB ADP Special K,Special K PROPN PUNCT,Special K PROPN PUNCT ADV,Special K PROPN PUNCT ADV ADP,"conduire par Special K Europe ,",par Special K Europe,conduire par Special K,opinion conduire par Special K,de opinion conduire par Special K,"Special K Europe ,","Special K Europe , indépendamment","Special K Europe , indépendamment de"
