url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lemonde.fr/paris/article/2014/01/17/michel-bulte-trouve-un-nouveau-point-de-chute-a-paris-le-fn_4349886_1779311.html#xtor%3DRSS-3208,lemonde.fr,2014-01-17,France,mao-spontex/ADJ/mao-spontex,"L'  ex mao-spontex  ,  arrivé  à  Paris  en  mai  1968  ,  se  prend  à  regretter  le  bon  vieux  temps  .",mao-spontex,adj,mao-spontex,ex,ex,ADV,L',le,DET,,,,,,,,,,",",",",PUNCT,arrivé,arriver,VERB,à,à,ADP,Paris,Paris,PROPN,en,en,ADP,2014-01-17,2014,2010,DET ADV Spontex PUNCT VERB,ADV Spontex PUNCT,DET ADV Spontex,,,Spontex PUNCT VERB,Spontex PUNCT VERB ADP,Spontex PUNCT VERB ADP PROPN,"le ex Spontex , arriver","ex Spontex ,",le ex Spontex,,,"Spontex , arriver","Spontex , arriver à","Spontex , arriver à Paris"
http://www.lepopulaire.fr/limousin/actualite/departement/haute-vienne/2014/02/27/le-droit-mene-a-tout-cette-maxime-lancien-flic-charles-beyne-lincarne-mieux-que-quiconque_1891241.html,lepopulaire.fr,2014-02-27,France,Spontex/NAM/Spontex,"En  1968  ,  il  infiltre  un  groupe  des  ""  Mao Spontex  ""  ,  des  anarchistes  avec  qui  il  vit  quelque  temps  .",spontex,nam,spontex,Mao,Mao,PROPN,"""","""",PUNCT,des,du,ADP DET,groupe,groupe,NOUN,un,un,DET,"""","""",PUNCT,",",",",PUNCT,des,du,ADP DET,anarchistes,anarchiste,NOUN,avec,avec,ADP,2014-02-27,2014,2010,PUNCT PROPN Spontex PUNCT PUNCT,PROPN Spontex PUNCT,PUNCT PROPN Spontex,ADP DET PUNCT PROPN Spontex,NOUN ADP DET PUNCT PROPN Spontex,Spontex PUNCT PUNCT,Spontex PUNCT PUNCT ADP DET,Spontex PUNCT PUNCT ADP DET NOUN,""" Mao Spontex "" ,","Mao Spontex """,""" Mao Spontex","du "" Mao Spontex","groupe du "" Mao Spontex","Spontex "" ,","Spontex "" , du","Spontex "" , du anarchiste"
http://www.lesechos.fr/industrie-services/industrie-lourde/0203625912202-total-cede-sa-filiale-ccp-a-litalien-polynt-1022555.php,lesechos.fr,2014-07-10,France,Mapa-Spontex/NOM/Mapa-Spontex,"Il  y  a  quatre  ans  ,  le  géant  français  avait  déjà  revendu Mapa-Spontex  ,  puis  cédé  la  moitié  de  ses  résines  à  son  ancienne  filiale  Arkema  .",mapa-spontex,nom,mapa-spontex,revendu,revendre,VERB,déjà,déjà,ADV,avait,avoir,VERB,français,français,ADJ,géant,géant,NOUN,",",",",PUNCT,puis,puis,ADV,cédé,céder,VERB,la,le,DET,moitié,moitié,NOUN,2014-07-10,2014,2010,ADV VERB Spontex PUNCT ADV,VERB Spontex PUNCT,ADV VERB Spontex,VERB ADV VERB Spontex,ADJ VERB ADV VERB Spontex,Spontex PUNCT ADV,Spontex PUNCT ADV VERB,Spontex PUNCT ADV VERB DET,"déjà revendre Spontex , puis","revendre Spontex ,",déjà revendre Spontex,avoir déjà revendre Spontex,français avoir déjà revendre Spontex,"Spontex , puis","Spontex , puis céder","Spontex , puis céder le"
http://www.lesechos.fr/pme-innovation/actualite-pme/0203674663972-serie-dete-une-ville-une-entreprise-spontex-lusine-absorbee-par-beauvais-1028934.php?xtor=RSS-2103,lesechos.fr,2014-07-30,France,Spontex-Viskase/NOM/Spontex-Viskase,"Ce  composant  chimique  est  la  base  des  produits  fabriqués  par  la  plateforme Spontex-Viskase  ,  dont  les  éponges  naturelles  .",spontex-viskase,nom,spontex-viskase,plateforme,plateforme,ADJ,la,le,DET,par,par,ADP,fabriqués,fabriquer,VERB,produits,produit,NOUN,",",",",PUNCT,dont,dont,PRON,les,le,DET,éponges,éponge,NOUN,naturelles,naturel,ADJ,2014-07-30,2014,2010,DET ADJ Spontex PUNCT PRON,ADJ Spontex PUNCT,DET ADJ Spontex,ADP DET ADJ Spontex,VERB ADP DET ADJ Spontex,Spontex PUNCT PRON,Spontex PUNCT PRON DET,Spontex PUNCT PRON DET NOUN,"le plateforme Spontex , dont","plateforme Spontex ,",le plateforme Spontex,par le plateforme Spontex,fabriquer par le plateforme Spontex,"Spontex , dont","Spontex , dont le","Spontex , dont le éponge"
http://www.lesechos.fr/pme-innovation/actualite-pme/0203674663972-serie-dete-une-ville-une-entreprise-spontex-lusine-absorbee-par-beauvais-1028934.php?xtor=RSS-2103,lesechos.fr,2014-07-30,France,Spontex/NAM/Spontex,"""  Aujourd  '  hui  encore  ,  nous  consommons  10.000  m  3  d'  eau  par  jour  pour  rincer  les  éponges  ""  ,  estime  Didier  Riquier  ,  directeur  industriel  de Spontex  Beauvais  .",spontex,nam,spontex,de,de,ADP,industriel,industriel,ADJ,directeur,directeur,NOUN,",",",",PUNCT,Riquier,Riquier,PROPN,Beauvais,Beauvais,PROPN,.,.,PUNCT,,,,,,,,,,2014-07-30,2014,2010,ADJ ADP Spontex PROPN PUNCT,ADP Spontex PROPN,ADJ ADP Spontex,NOUN ADJ ADP Spontex,PUNCT NOUN ADJ ADP Spontex,Spontex PROPN PUNCT,,,industriel de Spontex Beauvais .,de Spontex Beauvais,industriel de Spontex,directeur industriel de Spontex,", directeur industriel de Spontex",Spontex Beauvais .,,
http://www.lesechos.fr/pme-innovation/actualite-pme/0203674663972-serie-dete-une-ville-une-entreprise-spontex-lusine-absorbee-par-beauvais-1028934.php?xtor=RSS-2103,lesechos.fr,2014-07-30,France,Spontex/NAM/Spontex," Spontex  est  un  acteur  majeur  du  tissu  économique  du  Beauvaisis  ""  ,  souligne  quant  à  lui  Charles  Locquet  ,  vice-président  de  la  communauté  d'  agglomération  en  charge  de  l'  économie  .",spontex,nam,spontex,,,,,,,,,,,,,,,,est,être,VERB,un,un,DET,acteur,acteur,NOUN,majeur,majeur,ADJ,du,du,ADP DET,2014-07-30,2014,2010,,,,,,Spontex VERB DET,Spontex VERB DET NOUN,Spontex VERB DET NOUN ADJ,,,,,,Spontex être un,Spontex être un acteur,Spontex être un acteur majeur
http://www.lesechos.fr/pme-innovation/actualite-pme/0203674663972-serie-dete-une-ville-une-entreprise-spontex-lusine-absorbee-par-beauvais-1028934.php?xtor=RSS-2103,lesechos.fr,2014-07-30,France,Spontex-Viskase/NOM/Spontex-Viskase,"Même  si  ses  effectifs  ont  diminué  ,  la  plateforme Spontex-Viskase  emploie  encore  quelque  550  salariés  et  génère  ""  1.500  le  nombre  d'  emplois  indirects  ,  notamment  dans  le  commerce  ""  ,  selon  l'  élu  .",spontex-viskase,nom,spontex-viskase,plateforme,plateforme,ADJ,la,le,DET,",",",",PUNCT,diminué,diminuer,VERB,ont,avoir,VERB,emploie,employer,VERB,encore,encore,ADV,quelque,quelque,PRON,550,@card@,ADJ,salariés,salarié,NOUN,2014-07-30,2014,2010,DET ADJ Spontex VERB ADV,ADJ Spontex VERB,DET ADJ Spontex,PUNCT DET ADJ Spontex,VERB PUNCT DET ADJ Spontex,Spontex VERB ADV,Spontex VERB ADV PRON,Spontex VERB ADV PRON ADJ,le plateforme Spontex employer encore,plateforme Spontex employer,le plateforme Spontex,", le plateforme Spontex","diminuer , le plateforme Spontex",Spontex employer encore,Spontex employer encore quelque,Spontex employer encore quelque @card@
http://www.lesechos.fr/pme-innovation/actualite-pme/0203674663972-serie-dete-une-ville-une-entreprise-spontex-lusine-absorbee-par-beauvais-1028934.php?xtor=RSS-2103,lesechos.fr,2014-07-30,France,Mapa-Spontex/NOM/Mapa-Spontex,"Cette  importance  économique  explique  d'ailleurs  l'  émoi  provoqué  ,  il  y  a  quatre  ans  ,  par  la  vente  de Mapa-Spontex  jusqu'  alors  propriété  du  groupe  Hutchinson  ,  filiale  de  Total  au  groupe  américain  Jarden  ,  quasi  inconnu  en  Europe  .",mapa-spontex,nom,mapa-spontex,de,de,ADP,vente,vente,NOUN,la,le,DET,par,par,ADP,",",",",PUNCT,jusqu',jusque,ADP,alors,alors,ADV,propriété,propriété,NOUN,du,du,ADP DET,groupe,groupe,NOUN,2014-07-30,2014,2010,NOUN ADP Spontex ADP ADV,ADP Spontex ADP,NOUN ADP Spontex,DET NOUN ADP Spontex,ADP DET NOUN ADP Spontex,Spontex ADP ADV,Spontex ADP ADV NOUN,Spontex ADP ADV NOUN ADP DET,vente de Spontex jusque alors,de Spontex jusque,vente de Spontex,le vente de Spontex,par le vente de Spontex,Spontex jusque alors,Spontex jusque alors propriété,Spontex jusque alors propriété du
http://www.lesechos.fr/pme-innovation/actualite-pme/0203674663972-serie-dete-une-ville-une-entreprise-spontex-lusine-absorbee-par-beauvais-1028934.php?xtor=RSS-2103,lesechos.fr,2014-07-30,France,Spontex/NAM/Spontex,Le  directeur  industriel  fait  le  pari  que  les  cheminées  de Spontex  continueront  encore  longtemps  de  fumer  au-dessus  de  la  ville  .,spontex,nam,spontex,de,de,ADP,cheminées,cheminée,NOUN,les,le,DET,que,que,CONJ,pari,pari,NOUN,continueront,continuer,VERB,encore,encore,ADV,longtemps,longtemps,ADV,de,de,ADP,fumer,fumer,VERB,2014-07-30,2014,2010,NOUN ADP Spontex VERB ADV,ADP Spontex VERB,NOUN ADP Spontex,DET NOUN ADP Spontex,CONJ DET NOUN ADP Spontex,Spontex VERB ADV,Spontex VERB ADV ADV,Spontex VERB ADV ADV ADP,cheminée de Spontex continuer encore,de Spontex continuer,cheminée de Spontex,le cheminée de Spontex,que le cheminée de Spontex,Spontex continuer encore,Spontex continuer encore longtemps,Spontex continuer encore longtemps de
http://www.lesechos.fr/pme-innovation/actualite-pme/0203674663972-serie-dete-une-ville-une-entreprise-spontex-lusine-absorbee-par-beauvais-1028934.php?xtor=RSS-2103,lesechos.fr,2014-07-30,France,Mapa-Spontex/NOM/Mapa-Spontex," Mapa-Spontex  pèse  15  %  du  chiffre  d'  affaires  du  groupe  ,  contre  0,3  %  de  celui  de  Total  .",mapa-spontex,nom,mapa-spontex,,,,,,,,,,,,,,,,pèse,pèse,NOUN,15,@card@,ADJ,%,%,SYM,du,du,ADP DET,chiffre,chiffre,NOUN,2014-07-30,2014,2010,,,,,,Spontex NOUN ADJ,Spontex NOUN ADJ SYM,Spontex NOUN ADJ SYM ADP DET,,,,,,Spontex pèse @card@,Spontex pèse @card@ %,Spontex pèse @card@ % du
