url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.liberation.fr/vous/2015/01/15/en-plein-dans-l-an-2000_1181573?xtor=rss-450,liberation.fr,2015-01-18,France,Sunny_Delight/NAM_NAM/Sunny_Delight," Sunny_Delight  ne  contient  plus  de  conservateurs  et  de  colorants  ,  et  les  arômes  sont  d'  origine  naturelle  .",sunny_delight,nam_nam,sunny_delight,,,,,,,,,,,,,,,,ne,ne,ADV,contient,contenir,VERB,plus,plus,ADV,de,de,ADP,conservateurs,conservateur,NOUN,2015-01-18,2015,2010,,,,,,Sunny Delight ADV VERB,Sunny Delight ADV VERB ADV,Sunny Delight ADV VERB ADV ADP,,,,,,Sunny Delight ne contenir,Sunny Delight ne contenir plus,Sunny Delight ne contenir plus de
http://www.lesechos.fr/idees-debats/livres/021414520823-marketing-la-lecon-des-flops-1167222.php#xtor%3DRSS-2230,lesechos.fr,2015-10-20,France,Sunny_Delight/NAM_NAM/Sunny_Delight,"L'  incursion  imprudente  dans  des  domaines  éloignés  du  ""  coeur  de  métier  ""  :  ce  fut  le  lancement  raté  du  jus  de  fruits  frais Sunny_Delight  par  le  groupe  Orangina-Schweppes  ,  ou  encore  celui  du  Perrier  Fluo  ,  qui  se  voulait  une  ""  boisson  de  la  nuit  ""  à  l'  intention  des  adolescents  .",sunny_delight,nam_nam,sunny_delight,frais,frais,ADJ,fruits,fruit,NOUN,de,de,ADP,jus,jus,NOUN,du,du,ADP DET,par,par,ADP,le,le,DET,groupe,groupe,NOUN,Orangina-Schweppes,Orangina-Schweppes,PROPN,",",",",PUNCT,2015-10-20,2015,2010,NOUN ADJ Sunny Delight ADP DET,ADJ Sunny Delight ADP,NOUN ADJ Sunny Delight,ADP NOUN ADJ Sunny Delight,NOUN ADP NOUN ADJ Sunny Delight,Sunny Delight ADP DET,Sunny Delight ADP DET NOUN,Sunny Delight ADP DET NOUN PROPN,fruit frais Sunny Delight par le,frais Sunny Delight par,fruit frais Sunny Delight,de fruit frais Sunny Delight,jus de fruit frais Sunny Delight,Sunny Delight par le,Sunny Delight par le groupe,Sunny Delight par le groupe Orangina-Schweppes
http://www.cafebabel.fr/article/playlist-europeenne-le-pitchfork-festival.html,cafebabel.fr,2015-10-26,France,sunny_delight/NOM_NOM/sunny_delight,"La  preuve  avec  ""  Chilli  Town  ""  ,  qui  s'  apprécie  comme  une  version  garage  du  Spring  Breakers  d'  Harmory  Korine  avec  du  coca  et  du sunny_delight  .",sunny_delight,nom_nom,sunny_delight,du,du,ADP DET,et,et,CONJ,coca,coca,NOUN,du,du,ADP DET,avec,avec,ADP,.,.,PUNCT,,,,,,,,,,,,,2015-10-26,2015,2010,,ADP DET Sunny Delight PUNCT,CONJ ADP DET Sunny Delight,NOUN CONJ ADP DET Sunny Delight,ADP DET NOUN CONJ ADP DET Sunny Delight,,,,,du Sunny Delight .,et du Sunny Delight,coca et du Sunny Delight,du coca et du Sunny Delight,,,
http://www.latribune.fr/opinions/tribunes/volkswagen-n-est-pas-seul-des-innovations-toxiques-dans-tous-les-secteurs-547471.html,latribune.fr,2016-02-01,France,Sunny_Delight/NAM_NAM/Sunny_Delight,La  boisson  pour  enfants Sunny_Delight  a  été  vendue  aux  parents  comme  un  produit  de  jus  d'  orange  frais  et  sain  .,sunny_delight,nam_nam,sunny_delight,enfants,enfant,NOUN,pour,pour,ADP,boisson,boisson,NOUN,La,le,DET,,,,a,avoir,VERB,été,être,VERB,vendue,vendre,VERB,aux,au,ADP DET,parents,parent|parents,NOUN,2016-02-01,2016,2010,ADP NOUN Sunny Delight VERB VERB,NOUN Sunny Delight VERB,ADP NOUN Sunny Delight,NOUN ADP NOUN Sunny Delight,DET NOUN ADP NOUN Sunny Delight,Sunny Delight VERB VERB,Sunny Delight VERB VERB VERB,Sunny Delight VERB VERB VERB ADP DET,pour enfant Sunny Delight avoir être,enfant Sunny Delight avoir,pour enfant Sunny Delight,boisson pour enfant Sunny Delight,le boisson pour enfant Sunny Delight,Sunny Delight avoir être,Sunny Delight avoir être vendre,Sunny Delight avoir être vendre au
http://telquel.ma/2016/08/23/orangina-sera-produite-au-maroc-debut-2017_1511466,telquel.ma,2016-09-04,Morocco,Sunny_Delight/NAM_NAM/Sunny_Delight,Le  groupe  Suntory  Beverage  &  Food  est  propriétaire  notamment  des  marques  Orangina  et Sunny_Delight  . </doc>,sunny_delight,nam_nam,sunny_delight,et,et,CONJ,Orangina,Orangina,PROPN,marques,marque,NOUN,des,du,ADP DET,notamment,notamment,ADV,.,.,PUNCT,</doc>,,,,,,,,,,,,2016-09-04,2016,2010,,CONJ Sunny Delight PUNCT,PROPN CONJ Sunny Delight,NOUN PROPN CONJ Sunny Delight,ADP DET NOUN PROPN CONJ Sunny Delight,,,,,et Sunny Delight .,Orangina et Sunny Delight,marque Orangina et Sunny Delight,du marque Orangina et Sunny Delight,,,
http://journalmetro.com/culture/1135194/le-plongeur-au-coeur-sale-de-la-nuit/,journalmetro.com,2017-05-09,Canada,Sunny_Delight/NAM_NAM/Sunny_Delight,"Entre  la  faim  du  plongeur  ,  ses  repas  faits  de  ""  deux  toasts  au  beurre  de  pinotte  et  d'  un  fond  de Sunny_Delight  ""  et  les  festins  des  clients  .",sunny_delight,nam_nam,sunny_delight,de,de,ADP,fond,fond,NOUN,un,un,DET,d',de,ADP,et,et,CONJ,"""","""",PUNCT,et,et,CONJ,les,le,DET,festins,festin,NOUN,des,du,ADP DET,2017-05-09,2017,2010,NOUN ADP Sunny Delight PUNCT CONJ,ADP Sunny Delight PUNCT,NOUN ADP Sunny Delight,DET NOUN ADP Sunny Delight,ADP DET NOUN ADP Sunny Delight,Sunny Delight PUNCT CONJ,Sunny Delight PUNCT CONJ DET,Sunny Delight PUNCT CONJ DET NOUN,"fond de Sunny Delight "" et","de Sunny Delight """,fond de Sunny Delight,un fond de Sunny Delight,de un fond de Sunny Delight,"Sunny Delight "" et","Sunny Delight "" et le","Sunny Delight "" et le festin"
http://www.sofoot.com/la-seance-de-rattrappage-444493.html,sofoot.com,2017-06-20,France,Sunny_Delight/NAM_NAM/Sunny_Delight,"Les  premiers  coups  de  soleil  ,  Fort  Boyard  ,  les  bouteilles  de Sunny_Delight  ,  les  Mister  Freeze  ,  et  les  théories  fumeuses  autour  des  gardiens  du  PSG  .",sunny_delight,nam_nam,sunny_delight,de,de,ADP,bouteilles,bouteille,NOUN,les,le,DET,",",",",PUNCT,Boyard,Boyard,PROPN,",",",",PUNCT,les,le,DET,Mister,Mister,PROPN,Freeze,Freeze,PROPN,",",",",PUNCT,2017-06-20,2017,2010,NOUN ADP Sunny Delight PUNCT DET,ADP Sunny Delight PUNCT,NOUN ADP Sunny Delight,DET NOUN ADP Sunny Delight,PUNCT DET NOUN ADP Sunny Delight,Sunny Delight PUNCT DET,Sunny Delight PUNCT DET PROPN,Sunny Delight PUNCT DET PROPN PROPN,"bouteille de Sunny Delight , le","de Sunny Delight ,",bouteille de Sunny Delight,le bouteille de Sunny Delight,", le bouteille de Sunny Delight","Sunny Delight , le","Sunny Delight , le Mister","Sunny Delight , le Mister Freeze"
http://www.sofoot.com/la-seance-de-rattrappage-444493.html,sofoot.com,2017-06-20,France,Sunny_Delight/NAM_NAM/Sunny_Delight,"Désormais  en  vacances  ,  il  a  tout  le  temps  de  suivre  les  matchs  de  l'  Allemagne  en  Coupe  des  confédérations  ,  entre  un  Mister  Freeze  ,  une  gorgée  de Sunny_Delight  et  un  épisode  de  Fort  Boyard  ,  en  priant  pour  que  Trapp  ne  joue  pas  non  plus  . </doc>",sunny_delight,nam_nam,sunny_delight,de,de,ADP,gorgée,gorgée,NOUN,une,un,DET,",",",",PUNCT,Freeze,Freeze,PROPN,et,et,CONJ,un,un,DET,épisode,épisode,NOUN,de,de,ADP,Fort,Fort,PROPN,2017-06-20,2017,2010,NOUN ADP Sunny Delight CONJ DET,ADP Sunny Delight CONJ,NOUN ADP Sunny Delight,DET NOUN ADP Sunny Delight,PUNCT DET NOUN ADP Sunny Delight,Sunny Delight CONJ DET,Sunny Delight CONJ DET NOUN,Sunny Delight CONJ DET NOUN ADP,gorgée de Sunny Delight et un,de Sunny Delight et,gorgée de Sunny Delight,un gorgée de Sunny Delight,", un gorgée de Sunny Delight",Sunny Delight et un,Sunny Delight et un épisode,Sunny Delight et un épisode de
http://www.slate.fr/story/160411/alimentation-culture-boisson-capri-sun-rap-francais-marketing,slate.fr,2018-04-16,France,Sunny_Delight/NAM_NAM/Sunny_Delight,On  boit  des  bidons  de Sunny_Delight  ou  du  Capri-Sun  :  des  boissons  qui  cachent  sucre  et  gras  sous  des  noms  ensoleillés  .,sunny_delight,nam_nam,sunny_delight,de,de,ADP,bidons,bidon,NOUN,des,du,ADP DET,boit,boire,VERB,On,on,PRON,ou,ou,CONJ,du,du,ADP DET,Capri-Sun,Capri-Sun,PROPN,:,:,PUNCT,des,du,ADP DET,2018-04-16,2018,2010,NOUN ADP Sunny Delight CONJ ADP DET,ADP Sunny Delight CONJ,NOUN ADP Sunny Delight,ADP DET NOUN ADP Sunny Delight,VERB ADP DET NOUN ADP Sunny Delight,Sunny Delight CONJ ADP DET,Sunny Delight CONJ ADP DET PROPN,Sunny Delight CONJ ADP DET PROPN PUNCT,bidon de Sunny Delight ou du,de Sunny Delight ou,bidon de Sunny Delight,du bidon de Sunny Delight,boire du bidon de Sunny Delight,Sunny Delight ou du,Sunny Delight ou du Capri-Sun,Sunny Delight ou du Capri-Sun :
http://www.slate.fr/story/160411/alimentation-culture-boisson-capri-sun-rap-francais-marketing,slate.fr,2018-04-16,France,Sunny_Delight/NAM_NAM/Sunny_Delight,"Le Sunny_Delight  compte  seulement  5  %  de  jus  de  fruits  dans  sa  composition  et  7,9  g  de  sucre  pour  100  mL  .",sunny_delight,nam_nam,sunny_delight,Le,le,DET,,,,,,,,,,,,,compte,compter,VERB,seulement,seulement,ADV,5,@card@,ADJ,%,%,SYM,de,de,ADP,2018-04-16,2018,2010,,DET Sunny Delight VERB,,,,Sunny Delight VERB ADV,Sunny Delight VERB ADV ADJ,Sunny Delight VERB ADV ADJ SYM,,le Sunny Delight compter,,,,Sunny Delight compter seulement,Sunny Delight compter seulement @card@,Sunny Delight compter seulement @card@ %
