url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.futura-sciences.com/magazines/matiere/infos/actu/d/physique-calculateurs-quantiques-cerveau-51709/#xtor%3DRSS-8,futura-sciences.com,2014-01-21,France,supercordes/NOM/supercordes,"Sa  théorie  de  torseurs  (  twistors  en  anglais  )  est  très  utilisée  depuis  quelque  temps  en  théorie  des supercordes  ,  et  sa  théorie  des  réseaux  de  spin  est  à  la  base  de  la  gravitation  quantique  à  boucles  .",supercordes,nom,supercordes,des,du,ADP DET,théorie,théorie,NOUN,en,en,ADP,temps,temps,NOUN,quelque,quelque,PRON,",",",",PUNCT,et,et,CONJ,sa,son,DET,théorie,théorie,NOUN,des,du,ADP DET,2014-01-21,2014,2010,NOUN ADP DET Supercor PUNCT CONJ,ADP DET Supercor PUNCT,NOUN ADP DET Supercor,ADP NOUN ADP DET Supercor,NOUN ADP NOUN ADP DET Supercor,Supercor PUNCT CONJ,Supercor PUNCT CONJ DET,Supercor PUNCT CONJ DET NOUN,"théorie du Supercor , et","du Supercor ,",théorie du Supercor,en théorie du Supercor,temps en théorie du Supercor,"Supercor , et","Supercor , et son","Supercor , et son théorie"
http://forums.futura-sciences.com/physique/634792-supersymetrie-supercordes.html,futura-sciences.com,2014-02-04,France,supercordes/NOM/supercordes,<doc uri=http://forums.futura-sciences.com/physique/634792-supersymetrie-supercordes.html website=futura-sciences.com date=2014-02-04 source_country=France> /supersymétrie/NOM /et/KON supercordes ,supercordes,nom,supercordes,et,et,CONJ,supersymétrie,supersymétrie,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-04,2014,2010,,,NOUN CONJ Supercor,,,,,,,,supersymétrie et Supercor,,,,,
http://forums.futura-sciences.com/physique/634792-supersymetrie-supercordes.html,futura-sciences.com,2014-02-04,France,supercordes/NOM/supercordes,je  voulais  savoir  si  la  théorie  des supercordes  se  base  sur  un  des  modèles  de  supersymétrie  (  lequel  ?  ),supercordes,nom,supercordes,des,du,ADP DET,théorie,théorie,NOUN,la,le,DET,si,si,CONJ,savoir,savoir,VERB,se,se,PRON,base,baser,VERB,sur,sur,ADP,un,un,ADJ,des,du,ADP DET,2014-02-04,2014,2010,NOUN ADP DET Supercor PRON VERB,ADP DET Supercor PRON,NOUN ADP DET Supercor,DET NOUN ADP DET Supercor,CONJ DET NOUN ADP DET Supercor,Supercor PRON VERB,Supercor PRON VERB ADP,Supercor PRON VERB ADP ADJ,théorie du Supercor se baser,du Supercor se,théorie du Supercor,le théorie du Supercor,si le théorie du Supercor,Supercor se baser,Supercor se baser sur,Supercor se baser sur un
http://moto.caradisiac.com/Pirelli-Diablo-Superbike-Pro-le-pneu-point-de-rencontre-entre-le-pilote-pro-et-l-amateur-888#xtor%3DRSS-38,caradisiac.com,2014-02-06,===NONE===,Supercorsa/NAM/Supercorsa,Le  bi-gomme  fait  son  apparition  pour  l'  arrière  avec  une  répartition  de  35  %  -  30  %  -  35  %  gagnant  ainsi  en  longévité  et  le  maintien  de  la  température  sur  la  bande  de  roulement  tandis  que  l'  épaulement  (  dérivé  du  Diablo Supercorsa  SC  2  )  promet  une  augmentation  de  grip  significative  selon  les  dires  de  la  marque  .,supercorsa,nam,supercorsa,Diablo,Diablo,PROPN,du,du,ADP DET,dérivé,dériver,VERB,(,(,PUNCT,épaulement,épaulement,NOUN,SC,SC,PROPN,2,@card@,ADJ,),),PUNCT,promet,promettre,VERB,une,un,DET,2014-02-06,2014,2010,ADP DET PROPN Supercor PROPN ADJ,PROPN Supercor PROPN,ADP DET PROPN Supercor,VERB ADP DET PROPN Supercor,PUNCT VERB ADP DET PROPN Supercor,Supercor PROPN ADJ,Supercor PROPN ADJ PUNCT,Supercor PROPN ADJ PUNCT VERB,du Diablo Supercor SC @card@,Diablo Supercor SC,du Diablo Supercor,dériver du Diablo Supercor,( dériver du Diablo Supercor,Supercor SC @card@,Supercor SC @card@ ),Supercor SC @card@ ) promettre
http://www.la-croix.com/Ethique/Sciences-Ethique/Sciences/Le-Cern-de-Geneve-etudie-la-construction-d-un-accelerateur-geant-2014-02-11-1104738,la-croix.com,2014-02-12,France,supercordes/NOM/supercordes,Il  existe  bien  des  théories  comme  la  supersymétrie  ou  la  théorie  des  cordes  et supercordes  ...,supercordes,nom,supercordes,et,et,CONJ,cordes,corde,NOUN,des,du,ADP DET,théorie,théorie,NOUN,la,le,DET,...,...,PUNCT,,,,,,,,,,,,,2014-02-12,2014,2010,,CONJ Supercor PUNCT,NOUN CONJ Supercor,ADP DET NOUN CONJ Supercor,NOUN ADP DET NOUN CONJ Supercor,,,,,et Supercor ...,corde et Supercor,du corde et Supercor,théorie du corde et Supercor,,,
http://forums.futura-sciences.com/astronomie-astrophysique/638468-tentative-de-resolution-de-theorie-unificatrice.html,futura-sciences.com,2014-03-06,France,supercordes/ADJ/supercordes,"C'  est  pour  cette  raison  que  je  demande  un  entretien  à  l'  un  ou  plusieurs  d'  entre  vous  ,  afin  de  confirmer  ou  d'  infirmer  ma  théorie  ,  définissant  une  interaction  fondamentale  ,  qui  répondrait  si  elle  était  validée  à  une  partie  de  la  théorie  du  tout  ,  en  complétant  la  théorie  des  cordes  (  ou supercordes  ,  selon  votre  opinion  )  .",supercordes,adj,supercordes,ou,ou,CONJ,(,(,PUNCT,cordes,corde,NOUN,des,du,ADP DET,théorie,théorie,NOUN,",",",",PUNCT,selon,selon,ADP,votre,votre,DET,opinion,opinion,NOUN,),),PUNCT,2014-03-06,2014,2010,PUNCT CONJ Supercor PUNCT ADP,CONJ Supercor PUNCT,PUNCT CONJ Supercor,NOUN PUNCT CONJ Supercor,ADP DET NOUN PUNCT CONJ Supercor,Supercor PUNCT ADP,Supercor PUNCT ADP DET,Supercor PUNCT ADP DET NOUN,"( ou Supercor , selon","ou Supercor ,",( ou Supercor,corde ( ou Supercor,du corde ( ou Supercor,"Supercor , selon","Supercor , selon votre","Supercor , selon votre opinion"
http://www.futura-sciences.com/magazines/matiere/infos/actu/d/physique-matiere-noire-peut-etre-signes-neutrinos-steriles-majorana-52608/#xtor%3DRSS-8,futura-sciences.com,2014-03-06,France,supercordes/NOM/supercordes,Le  physicien  Pierre  Ramond  a  été  à  l'  origine  de  travaux  importants  en  théorie  des supercordes  .,supercordes,nom,supercordes,des,du,ADP DET,théorie,théorie,NOUN,en,en,ADP,importants,important,ADJ,travaux,travail,NOUN,.,.,PUNCT,,,,,,,,,,,,,2014-03-06,2014,2010,,ADP DET Supercor PUNCT,NOUN ADP DET Supercor,ADP NOUN ADP DET Supercor,ADJ ADP NOUN ADP DET Supercor,,,,,du Supercor .,théorie du Supercor,en théorie du Supercor,important en théorie du Supercor,,,
http://moto.caradisiac.com/Le-Pirelli-Diablo-TM-Supercorsa-SP-habillera-Honda-CBR1000RR-Fireblade-SP-545#xtor%3DRSS-38,caradisiac.com,2014-03-11,===NONE===,Supercorsa/NAM/Supercorsa,<doc uri=http://moto.caradisiac.com/Le-Pirelli-Diablo-TM-Supercorsa-SP-habillera-Honda-CBR1000RR-Fireblade-SP-545#xtor%3DRSS-38 website=caradisiac.com date=2014-03-11 source_country=> /le/DET:ART /Pirelli/NOM /Diablo/NAM /™/SYM Supercorsa  SP  habillera  Honda  CBR  1000  RR  Fireblade  SP,supercorsa,nam,supercorsa,™,™,SYM,Diablo,Diablo,PROPN,Pirelli,Pirelli,NOUN,Le,le,DET,,,,SP,SP,PROPN,habillera,habiller,VERB,Honda,Honda,PROPN,CBR,CBR,PROPN,1000,@card@,ADJ,2014-03-11,2014,2010,PROPN SYM Supercor PROPN VERB,SYM Supercor PROPN,PROPN SYM Supercor,NOUN PROPN SYM Supercor,DET NOUN PROPN SYM Supercor,Supercor PROPN VERB,Supercor PROPN VERB PROPN,Supercor PROPN VERB PROPN PROPN,Diablo ™ Supercor SP habiller,™ Supercor SP,Diablo ™ Supercor,Pirelli Diablo ™ Supercor,le Pirelli Diablo ™ Supercor,Supercor SP habiller,Supercor SP habiller Honda,Supercor SP habiller Honda CBR
http://moto.caradisiac.com/Le-Pirelli-Diablo-TM-Supercorsa-SP-habillera-Honda-CBR1000RR-Fireblade-SP-545#xtor%3DRSS-38,caradisiac.com,2014-03-11,===NONE===,Supercorsa/NAM/Supercorsa,Pirelli  et  son  Diablo Supercorsa  SP  chausseront  en  première  monte  la  nouvelle  Honda  CBR  1000  RR  Fireblade  SP  .,supercorsa,nam,supercorsa,Diablo,Diablo,PROPN,son,son,DET,et,et,CONJ,Pirelli,Pirelli,PROPN,,,,SP,SP,PROPN,chausseront,chausser,VERB,en,en,ADP,première,premier,ADJ,monte,monte,NOUN,2014-03-11,2014,2010,DET PROPN Supercor PROPN VERB,PROPN Supercor PROPN,DET PROPN Supercor,CONJ DET PROPN Supercor,PROPN CONJ DET PROPN Supercor,Supercor PROPN VERB,Supercor PROPN VERB ADP,Supercor PROPN VERB ADP ADJ,son Diablo Supercor SP chausser,Diablo Supercor SP,son Diablo Supercor,et son Diablo Supercor,Pirelli et son Diablo Supercor,Supercor SP chausser,Supercor SP chausser en,Supercor SP chausser en premier
http://www.lapresse.ca/sciences/astronomie-et-espace/201403/18/01-4748810-decouverte-fondamentale-pour-la-comprehension-de-lunivers.php,lapresse.ca,2014-03-18,Canada,supercordes/NOM/supercordes,"Je  travaille  actuellement  avec  un  autre  chercheur  de  Harvard  à  une  théorie  basée  sur  les supercordes  ,  qui  s'  accorde  mieux  avec  les  nouvelles  données  .",supercordes,nom,supercordes,les,le,DET,sur,sur,ADP,basée,baser,VERB,théorie,théorie,NOUN,une,un,DET,",",",",PUNCT,qui,qui,PRON,s',se,PRON,accorde,accorder,VERB,mieux,mieux,ADV,2014-03-18,2014,2010,ADP DET Supercor PUNCT PRON,DET Supercor PUNCT,ADP DET Supercor,VERB ADP DET Supercor,NOUN VERB ADP DET Supercor,Supercor PUNCT PRON,Supercor PUNCT PRON PRON,Supercor PUNCT PRON PRON VERB,"sur le Supercor , qui","le Supercor ,",sur le Supercor,baser sur le Supercor,théorie baser sur le Supercor,"Supercor , qui","Supercor , qui se","Supercor , qui se accorder"
