url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.clubic.com/materiel-informatique/gadget-usb/actualite-610650-tamagotchi-retour-17-ans-naissance.html,clubic.com,2014-01-06,France,Tamagotchi/NAM/Tamagotchi,"<doc uri=http://www.clubic.com/materiel-informatique/gadget-usb/actualite-610650-tamagotchi-retour-17-ans-naissance.html website=clubic.com date=2014-01-06 source_country=France> /le/DET:ART Tamagotchi  fait  son  retour  ,  17  ans  après  sa  naissance",tamagotchi,nam,tamagotchi,Le,le,DET,,,,,,,,,,,,,fait,faire,VERB,son,son,DET,retour,retour,NOUN,",",",",PUNCT,17,@card@,ADJ,2014-01-06,2014,2010,,DET Tamagotchi VERB,,,,Tamagotchi VERB DET,Tamagotchi VERB DET NOUN,Tamagotchi VERB DET NOUN PUNCT,,le Tamagotchi faire,,,,Tamagotchi faire son,Tamagotchi faire son retour,"Tamagotchi faire son retour ,"
http://www.clubic.com/materiel-informatique/gadget-usb/actualite-610650-tamagotchi-retour-17-ans-naissance.html,clubic.com,2014-01-06,France,Tamagotchi/NAM/Tamagotchi,"Né  au  Japon  en  1997  ,  le Tamagotchi  ,  créature  virtuelle  dont  il  faut  s'  occuper  pour  qu'  elle  ne  meure  pas  ,  fait  son  grand  retour  dans  les  magasins  de  jouets  en  début  d'  année  .",tamagotchi,nam,tamagotchi,le,le,DET,",",",",PUNCT,1997,@card@,ADJ,en,en,ADP,Japon,Japon,PROPN,",",",",PUNCT,créature,créature,NOUN,virtuelle,virtuel,ADJ,dont,dont,PRON,il,il,PRON,2014-01-06,2014,2010,PUNCT DET Tamagotchi PUNCT NOUN,DET Tamagotchi PUNCT,PUNCT DET Tamagotchi,ADJ PUNCT DET Tamagotchi,ADP ADJ PUNCT DET Tamagotchi,Tamagotchi PUNCT NOUN,Tamagotchi PUNCT NOUN ADJ,Tamagotchi PUNCT NOUN ADJ PRON,", le Tamagotchi , créature","le Tamagotchi ,",", le Tamagotchi","@card@ , le Tamagotchi","en @card@ , le Tamagotchi","Tamagotchi , créature","Tamagotchi , créature virtuel","Tamagotchi , créature virtuel dont"
http://www.clubic.com/materiel-informatique/gadget-usb/actualite-610650-tamagotchi-retour-17-ans-naissance.html,clubic.com,2014-01-06,France,Tamagotchi/NAM/Tamagotchi,"En  novembre  2011  ,  le Tamagotchi  fêtait  ses  15  ans  en  s'  offrant  une  édition  spéciale  au  Japon  .",tamagotchi,nam,tamagotchi,le,le,DET,",",",",PUNCT,2011,@card@,ADJ,novembre,novembre,NOUN,En,en,ADP,fêtait,fêter,VERB,ses,son,DET,15,@card@,ADJ,ans,an,NOUN,en,en,ADP,2014-01-06,2014,2010,PUNCT DET Tamagotchi VERB DET,DET Tamagotchi VERB,PUNCT DET Tamagotchi,ADJ PUNCT DET Tamagotchi,NOUN ADJ PUNCT DET Tamagotchi,Tamagotchi VERB DET,Tamagotchi VERB DET ADJ,Tamagotchi VERB DET ADJ NOUN,", le Tamagotchi fêter son",le Tamagotchi fêter,", le Tamagotchi","@card@ , le Tamagotchi","novembre @card@ , le Tamagotchi",Tamagotchi fêter son,Tamagotchi fêter son @card@,Tamagotchi fêter son @card@ an
http://www.clubic.com/materiel-informatique/gadget-usb/actualite-610650-tamagotchi-retour-17-ans-naissance.html,clubic.com,2014-01-06,France,Tamagotchi/NOM/Tamagotchi,"Mais  le Tamagotchi  pourrait  bien  faire  un  come-back  remarqué  auprès  de  la  nouvelle  génération  ...  et  peut-être  un  peu  plus  du  côté  des  filles  :  en  effet  ,  Bandai  ,  qui  détient  les  droits  du  jouet  ,  vient  d'  annoncer  son  retour  en  magasin  depuis  le  1  er  janvier  .",tamagotchi,nom,tamagotchi,le,le,DET,Mais,mais,CONJ,,,,,,,,,,pourrait,pouvoir,VERB,bien,bien,ADV,faire,faire,VERB,un,un,DET,come-back,come-back,NOUN,2014-01-06,2014,2010,CONJ DET Tamagotchi VERB ADV,DET Tamagotchi VERB,CONJ DET Tamagotchi,,,Tamagotchi VERB ADV,Tamagotchi VERB ADV VERB,Tamagotchi VERB ADV VERB DET,mais le Tamagotchi pouvoir bien,le Tamagotchi pouvoir,mais le Tamagotchi,,,Tamagotchi pouvoir bien,Tamagotchi pouvoir bien faire,Tamagotchi pouvoir bien faire un
http://www.clubic.com/materiel-informatique/gadget-usb/actualite-610650-tamagotchi-retour-17-ans-naissance.html,clubic.com,2014-01-06,France,Tamagotchi/NAM/Tamagotchi,"La  gamme Tamagotchi  Friends  se  retrouve  ainsi  déclinée  en  6  modèles  colorés  ,  et  chacun  doté  d'  un  écran  TFT  de  1,44  pouce  en  noir  et  blanc  -  pas  de  couleurs  comme  pour  l'  édition  15  e  anniversaire  -  permet  de  connecter  deux  oeufs  pour  faire  des  échanges  via  la  fonction  Bump  -  en  faisant  s'  entrechoquer  deux  appareils  .",tamagotchi,nam,tamagotchi,gamme,gamme,NOUN,La,le,DET,,,,,,,,,,Friends,Friends,PROPN,se,se,PRON,retrouve,retrouver,VERB,ainsi,ainsi,ADV,déclinée,décliner,VERB,2014-01-06,2014,2010,DET NOUN Tamagotchi PROPN PRON,NOUN Tamagotchi PROPN,DET NOUN Tamagotchi,,,Tamagotchi PROPN PRON,Tamagotchi PROPN PRON VERB,Tamagotchi PROPN PRON VERB ADV,le gamme Tamagotchi Friends se,gamme Tamagotchi Friends,le gamme Tamagotchi,,,Tamagotchi Friends se,Tamagotchi Friends se retrouver,Tamagotchi Friends se retrouver ainsi
http://www.tv5.org/cms/chaine-francophone/info/p-1911-redir.htm?&rub=1&xml=newsmlmmd.urn.newsml.afp.com.20140110.7a416db6.0f52.48fd.a06f.24f478aca264.xml,tv5.org,2014-01-10,France,tamagotchis/NOM/tamagotchis,"Mi-peluche  ,  mi-écran  ,  ce  jouet  interactif  fonctionne  avec  une  application  iPhone  et  incite  son  ou  sa  propriétaire  à  s'  occuper  de  lui  ,  version  moderne  des tamagotchis  des  années  90  .",tamagotchis,nom,tamagotchis,des,du,ADP DET,moderne,moderne,ADJ,version,version,NOUN,",",",",PUNCT,lui,lui,PRON,des,du,ADP DET,années,année,NOUN,90,@card@,ADJ,.,.,PUNCT,,,,2014-01-10,2014,2010,ADJ ADP DET Tamagotchi ADP DET NOUN,ADP DET Tamagotchi ADP DET,ADJ ADP DET Tamagotchi,NOUN ADJ ADP DET Tamagotchi,PUNCT NOUN ADJ ADP DET Tamagotchi,Tamagotchi ADP DET NOUN,Tamagotchi ADP DET NOUN ADJ,Tamagotchi ADP DET NOUN ADJ PUNCT,moderne du Tamagotchi du année,du Tamagotchi du,moderne du Tamagotchi,version moderne du Tamagotchi,", version moderne du Tamagotchi",Tamagotchi du année,Tamagotchi du année @card@,Tamagotchi du année @card@ .
http://www.lesinrocks.com/2014/02/02/medias/la-lettre-du-jeu-video-17-11468056/,lesinrocks.com,2014-02-02,===NONE===,Tamagotchi/ADJ/Tamagotchi,"Gros  succès  de  la  Wii  qu'  elle  a  largement  contribué  à  faire  entrer  dans  les  foyers  ,  la  collection  d'  exercices  de  gym  ou  de  yoga  et  de  mini-jeux  sportifs  rigolos  est  arrivée  sur  Wii  U  (  Nintendo  ,  100  €  avec  la  balance  ,  60  €  sans  )  et  gagne  un  podomètre  amélioré  ,  sorte  de Tamagotchi  fitness  que  l'  on  est  invité  à  porter  sur  soi  en  permanence  et  dont  les  données  seront  transmises  à  la  console  .",tamagotchi,adj,tamagotchi,de,de,ADP,sorte,sorte,NOUN,",",",",PUNCT,amélioré,améliorer,VERB,podomètre,podomètre,NOUN,fitness,fitness,NOUN,que,que,PRON,l',le,DET,on,on,PRON,est,être,VERB,2014-02-02,2014,2010,NOUN ADP Tamagotchi NOUN PRON,ADP Tamagotchi NOUN,NOUN ADP Tamagotchi,PUNCT NOUN ADP Tamagotchi,VERB PUNCT NOUN ADP Tamagotchi,Tamagotchi NOUN PRON,Tamagotchi NOUN PRON DET,Tamagotchi NOUN PRON DET PRON,sorte de Tamagotchi fitness que,de Tamagotchi fitness,sorte de Tamagotchi,", sorte de Tamagotchi","améliorer , sorte de Tamagotchi",Tamagotchi fitness que,Tamagotchi fitness que le,Tamagotchi fitness que le on
http://www.presse-citron.net/le-tamagotchi-fait-son-grand-retour?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BPressecitron%2B%2528Presse-citron%2B-%2BLe%2Bblog%2529,presse-citron.net,2014-02-10,===NONE===,Tamagotchi/NAM/Tamagotchi,<doc uri=http://www.presse-citron.net/le-tamagotchi-fait-son-grand-retour?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BPressecitron%2B%2528Presse-citron%2B-%2BLe%2Bblog%2529 website=presse-citron.net date=2014-02-10 source_country=> /le/DET:ART Tamagotchi  fait  son  grand  retour,tamagotchi,nam,tamagotchi,Le,le,DET,,,,,,,,,,,,,fait,faire,VERB,son,son,DET,grand,grand,ADJ,retour,retour,NOUN,,,,2014-02-10,2014,2010,,DET Tamagotchi VERB,,,,Tamagotchi VERB DET,Tamagotchi VERB DET ADJ,Tamagotchi VERB DET ADJ NOUN,,le Tamagotchi faire,,,,Tamagotchi faire son,Tamagotchi faire son grand,Tamagotchi faire son grand retour
http://www.presse-citron.net/le-tamagotchi-fait-son-grand-retour?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BPressecitron%2B%2528Presse-citron%2B-%2BLe%2Bblog%2529,presse-citron.net,2014-02-10,===NONE===,Tamagotchi/NAM/Tamagotchi,"Véritable  phénomène  apparu  en  1996  au  Japon  ,  le Tamagotchi  a  droit  à  une  nouvelle  éclosion  avec  un  nouveau  design  ,  de  nouvelles  fonctionnalités  et  un  véritable  univers  transmédia  .",tamagotchi,nam,tamagotchi,le,le,DET,",",",",PUNCT,Japon,Japon,PROPN,au,au,ADP DET,1996,@card@,ADJ,a,avoir,VERB,droit,droit,NOUN,à,à,ADP,une,un,DET,nouvelle,nouveau,ADJ,2014-02-10,2014,2010,PUNCT DET Tamagotchi VERB NOUN,DET Tamagotchi VERB,PUNCT DET Tamagotchi,PROPN PUNCT DET Tamagotchi,ADP DET PROPN PUNCT DET Tamagotchi,Tamagotchi VERB NOUN,Tamagotchi VERB NOUN ADP,Tamagotchi VERB NOUN ADP DET,", le Tamagotchi avoir droit",le Tamagotchi avoir,", le Tamagotchi","Japon , le Tamagotchi","au Japon , le Tamagotchi",Tamagotchi avoir droit,Tamagotchi avoir droit à,Tamagotchi avoir droit à un
http://www.presse-citron.net/le-tamagotchi-fait-son-grand-retour?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BPressecitron%2B%2528Presse-citron%2B-%2BLe%2Bblog%2529,presse-citron.net,2014-02-10,===NONE===,Tamagotchi/NAM/Tamagotchi,"Précurseur  des  compagnons  virtuels  ,  le Tamagotchi  a  fait  son  apparition  au  Japon  en  1996  .",tamagotchi,nam,tamagotchi,le,le,DET,",",",",PUNCT,virtuels,virtuel,ADJ,compagnons,compagnon,NOUN,des,du,ADP DET,a,avoir,VERB,fait,faire,VERB,son,son,DET,apparition,apparition,NOUN,au,au,ADP DET,2014-02-10,2014,2010,PUNCT DET Tamagotchi VERB VERB,DET Tamagotchi VERB,PUNCT DET Tamagotchi,ADJ PUNCT DET Tamagotchi,NOUN ADJ PUNCT DET Tamagotchi,Tamagotchi VERB VERB,Tamagotchi VERB VERB DET,Tamagotchi VERB VERB DET NOUN,", le Tamagotchi avoir faire",le Tamagotchi avoir,", le Tamagotchi","virtuel , le Tamagotchi","compagnon virtuel , le Tamagotchi",Tamagotchi avoir faire,Tamagotchi avoir faire son,Tamagotchi avoir faire son apparition
