url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.ladepeche.fr/article/2014/01/12/1792736-israel-sharon-mort-d-un-faucon.html,ladepeche.fr,2014-01-12,France,Teflon/NAM/Teflon,"Mais  c'  est  sans  compter  sur  son  coté  "" Teflon  ""  .",teflon,nam,teflon,"""","""",PUNCT,coté,coter,VERB,son,son,NOUN,sur,sur,ADP,compter,compter,VERB,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-01-12,2014,2010,VERB PUNCT Teflon PUNCT PUNCT,PUNCT Teflon PUNCT,VERB PUNCT Teflon,NOUN VERB PUNCT Teflon,ADP NOUN VERB PUNCT Teflon,Teflon PUNCT PUNCT,,,"coter "" Teflon "" .",""" Teflon ""","coter "" Teflon","son coter "" Teflon","sur son coter "" Teflon","Teflon "" .",,
http://la-liberte.mb.ca/culturel/intersideral-intertextuel-et-sexy,la-liberte.mb.ca,2014-01-14,Canada,Teflon/NAM/Teflon,"Dans  un  futur  éloigné  ,  à  bord  d'  une  énorme  station  intersidérale  ,  dans  un  night-club  nommé  Lovelyss  ,  une  femme  détective  ,  Johnny Teflon  ,  entame  l'  investigation  d'  un  meurtre  ,  tout  en  complétant  une  petite  mission  pour  l'  épouse  de  Gaskar  The  Guts  '  Chandelier  ,  l'  un  des  gangsters  les  plus  brutaux  de  l'  espace  .",teflon,nam,teflon,Johnny,Johnny,PROPN,",",",",PUNCT,détective,détective,NOUN,femme,femme,NOUN,une,un,DET,",",",",PUNCT,entame,entamer,VERB,l',le,DET,investigation,investigation,NOUN,d',de,ADP,2014-01-14,2014,2010,PUNCT PROPN Teflon PUNCT VERB,PROPN Teflon PUNCT,PUNCT PROPN Teflon,NOUN PUNCT PROPN Teflon,NOUN NOUN PUNCT PROPN Teflon,Teflon PUNCT VERB,Teflon PUNCT VERB DET,Teflon PUNCT VERB DET NOUN,", Johnny Teflon , entamer","Johnny Teflon ,",", Johnny Teflon","détective , Johnny Teflon","femme détective , Johnny Teflon","Teflon , entamer","Teflon , entamer le","Teflon , entamer le investigation"
http://la-liberte.mb.ca/culturel/intersideral-intertextuel-et-sexy,la-liberte.mb.ca,2014-01-14,Canada,Teflon/NAM/Teflon,"En  quelques  heures  à  peine  ,  Johnny Teflon  croisera  des  personnages  curieux  ,  dangereux  et  sexy  ,  et  se  lancera  dans  plusieurs  aventures  violentes  ,  et  chargées  de  volupté  .",teflon,nam,teflon,Johnny,Johnny,PROPN,",",",",PUNCT,peine,peine,NOUN,à,à,ADP,heures,heure,NOUN,croisera,croiser,VERB,des,du,ADP DET,personnages,personnage,NOUN,curieux,curieux,ADJ,",",",",PUNCT,2014-01-14,2014,2010,PUNCT PROPN Teflon VERB ADP DET,PROPN Teflon VERB,PUNCT PROPN Teflon,NOUN PUNCT PROPN Teflon,ADP NOUN PUNCT PROPN Teflon,Teflon VERB ADP DET,Teflon VERB ADP DET NOUN,Teflon VERB ADP DET NOUN ADJ,", Johnny Teflon croiser du",Johnny Teflon croiser,", Johnny Teflon","peine , Johnny Teflon","à peine , Johnny Teflon",Teflon croiser du,Teflon croiser du personnage,Teflon croiser du personnage curieux
http://la-liberte.mb.ca/culturel/intersideral-intertextuel-et-sexy,la-liberte.mb.ca,2014-01-14,Canada,Teflon/NAM/Teflon,"Et  il  y  en  a  des  phylactères  ,  puisque  Johnny Teflon  a  la  curieuse  habitude  de  parler  à  voix  haute  ,  comme  si  elle  contribuait  elle-même  la  narration  de  style  film  noir  à  sa  propre  vie  .",teflon,nam,teflon,Johnny,Johnny,PROPN,puisque,puisque,CONJ,",",",",PUNCT,phylactères,phylactère,NOUN,des,du,ADP DET,a,avoir,VERB,la,le,DET,curieuse,curieux,ADJ,habitude,habitude,NOUN,de,de,ADP,2014-01-14,2014,2010,CONJ PROPN Teflon VERB DET,PROPN Teflon VERB,CONJ PROPN Teflon,PUNCT CONJ PROPN Teflon,NOUN PUNCT CONJ PROPN Teflon,Teflon VERB DET,Teflon VERB DET ADJ,Teflon VERB DET ADJ NOUN,puisque Johnny Teflon avoir le,Johnny Teflon avoir,puisque Johnny Teflon,", puisque Johnny Teflon","phylactère , puisque Johnny Teflon",Teflon avoir le,Teflon avoir le curieux,Teflon avoir le curieux habitude
http://la-liberte.mb.ca/culturel/intersideral-intertextuel-et-sexy,la-liberte.mb.ca,2014-01-14,Canada,Teflon/NAM/Teflon,"Johnny Teflon  s'  habille  comme  un  homme  ,  est  timide  devant  certains  hommes  ,  mais  demeure  toutefois  nymphomane  .",teflon,nam,teflon,Johnny,Johnny,PROPN,,,,,,,,,,,,,s',se,PRON,habille,habiller,VERB,comme,comme,ADV,un,un,DET,homme,homme,NOUN,2014-01-14,2014,2010,,PROPN Teflon PRON,,,,Teflon PRON VERB,Teflon PRON VERB ADV,Teflon PRON VERB ADV DET,,Johnny Teflon se,,,,Teflon se habiller,Teflon se habiller comme,Teflon se habiller comme un
http://www.20minutes.fr/monde/1283910-20140129-touristes-investisseurs-refroidis-manifestations-thailande,20minutes.fr,2014-01-29,France,Teflon/NAM/Teflon,"Faisant  craindre  que  la  ""  Thaïlande Teflon  ""  (  surnommée  ainsi  pour  sa  capacité  à  se  remettre  des  difficultés  économiques  générées  par  ses  crises  politiques  à  répétition  )  en  subisse  cette  fois-ci  durablement  les  conséquences  .",teflon,nam,teflon,Thaïlande,Thaïlande,PROPN,"""","""",PUNCT,la,le,DET,que,que,CONJ,craindre,craindre,VERB,"""","""",PUNCT,(,(,PUNCT,surnommée,surnommer,VERB,ainsi,ainsi,ADV,pour,pour,ADP,2014-01-29,2014,2010,PUNCT PROPN Teflon PUNCT PUNCT,PROPN Teflon PUNCT,PUNCT PROPN Teflon,DET PUNCT PROPN Teflon,CONJ DET PUNCT PROPN Teflon,Teflon PUNCT PUNCT,Teflon PUNCT PUNCT VERB,Teflon PUNCT PUNCT VERB ADV,""" Thaïlande Teflon "" (","Thaïlande Teflon """,""" Thaïlande Teflon","le "" Thaïlande Teflon","que le "" Thaïlande Teflon","Teflon "" (","Teflon "" ( surnommer","Teflon "" ( surnommer ainsi"
http://www.lamontagne.fr/france-monde/actualites/a-la-une/international/2013/11/19/thailande-touristes-et-investisseurs-refroidis-par-les-manifestations_1853365.html,lamontagne.fr,2014-02-01,France,Teflon/NAM/Teflon,"Faisant  craindre  que  la  ""  Thaïlande Teflon  ""  (  surnommée  ainsi  pour  sa  capacité  à  se  remettre  des  difficultés  économiques  générées  par  ses  crises  politiques  à  répétition  )  en  subisse  cette  fois-ci  durablement  les  conséquences  .",teflon,nam,teflon,Thaïlande,Thaïlande,PROPN,"""","""",PUNCT,la,le,DET,que,que,CONJ,craindre,craindre,VERB,"""","""",PUNCT,(,(,PUNCT,surnommée,surnommer,VERB,ainsi,ainsi,ADV,pour,pour,ADP,2014-02-01,2014,2010,PUNCT PROPN Teflon PUNCT PUNCT,PROPN Teflon PUNCT,PUNCT PROPN Teflon,DET PUNCT PROPN Teflon,CONJ DET PUNCT PROPN Teflon,Teflon PUNCT PUNCT,Teflon PUNCT PUNCT VERB,Teflon PUNCT PUNCT VERB ADV,""" Thaïlande Teflon "" (","Thaïlande Teflon """,""" Thaïlande Teflon","le "" Thaïlande Teflon","que le "" Thaïlande Teflon","Teflon "" (","Teflon "" ( surnommer","Teflon "" ( surnommer ainsi"
http://www.20min.ch/ro/news/monde/story/20001395,20min.ch,2014-02-01,Switzerland,Teflonť/ADJ/Teflonť,Elle  fait  craindre  que  la  ŤThaďlande Teflonť  -surnommée  ainsi  pour  sa  capacité  ŕ  se  remettre  des  difficultés  économiques  générées  par  ses  crises  politiques  ŕ  répétition  -  en  subisse  cette  fois-ci  durablement  le  contrecoup  .,teflonť,adj,teflonť,ŤThaďlande,ŤThaďlande,NOUN,la,le,DET,que,que,CONJ,craindre,craindre,VERB,fait,faire,VERB,-surnommée,-surnommée,ADJ,ainsi,ainsi,CONJ,pour,pour,ADP,sa,son,DET,capacité,capacité,NOUN,2014-02-01,2014,2010,DET NOUN Teflon ADJ CONJ,NOUN Teflon ADJ,DET NOUN Teflon,CONJ DET NOUN Teflon,VERB CONJ DET NOUN Teflon,Teflon ADJ CONJ,Teflon ADJ CONJ ADP,Teflon ADJ CONJ ADP DET,le ŤThaďlande Teflon -surnommée ainsi,ŤThaďlande Teflon -surnommée,le ŤThaďlande Teflon,que le ŤThaďlande Teflon,craindre que le ŤThaďlande Teflon,Teflon -surnommée ainsi,Teflon -surnommée ainsi pour,Teflon -surnommée ainsi pour son
http://www.lemonde.fr/economie/article/2014/02/04/thailande-les-consequences-economiques-de-la-crise-en-graphiques_4358528_3234.html#xtor%3DRSS-3208,lemonde.fr,2014-02-04,France,Teflon/NAM/Teflon,"Les  derniers  développements  font  craindre  que  la  ""  Thaïlande Teflon  ""  -  en  référence  à  la  capacité  du  pays  à  se  remettre  des  crises  à  répétition  qu'  il  traverse  depuis  huit  ans  -  soit  ,  cette  fois-ci  ,  durement  touchée  par  les  conséquences  du  marasme  politique  .",teflon,nam,teflon,Thaïlande,Thaïlande,PROPN,"""","""",PUNCT,la,le,DET,que,que,CONJ,craindre,craindre,VERB,"""","""",PUNCT,-,-,PUNCT,en,en,ADP,référence,référence,NOUN,à,à,ADP,2014-02-04,2014,2010,PUNCT PROPN Teflon PUNCT PUNCT,PROPN Teflon PUNCT,PUNCT PROPN Teflon,DET PUNCT PROPN Teflon,CONJ DET PUNCT PROPN Teflon,Teflon PUNCT PUNCT,Teflon PUNCT PUNCT ADP,Teflon PUNCT PUNCT ADP NOUN,""" Thaïlande Teflon "" -","Thaïlande Teflon """,""" Thaïlande Teflon","le "" Thaïlande Teflon","que le "" Thaïlande Teflon","Teflon "" -","Teflon "" - en","Teflon "" - en référence"
http://www.europe1.fr/Politique/Face-a-Goasguen-Valls-a-voulu-montrer-les-dents-1812655/,europe1.fr,2014-02-26,France,Teflon/NAM/Teflon,"""  Manuel  ,  c'  est  du Teflon  ""  .",teflon,nam,teflon,du,du,ADP DET,est,être,VERB,c',ce,PRON,",",",",PUNCT,Manuel,Manuel,PROPN,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-02-26,2014,2010,VERB ADP DET Teflon PUNCT PUNCT,ADP DET Teflon PUNCT,VERB ADP DET Teflon,PRON VERB ADP DET Teflon,PUNCT PRON VERB ADP DET Teflon,Teflon PUNCT PUNCT,,,"être du Teflon "" .","du Teflon """,être du Teflon,ce être du Teflon,", ce être du Teflon","Teflon "" .",,
http://www.europe1.fr/Politique/Face-a-Goasguen-Valls-a-voulu-montrer-les-dents-1812655/,europe1.fr,2014-02-26,France,Teflon/NAM/Teflon,"Et  selon  l'  un  de  ses  amis  :  ""  Manuel  ,  c'  est  du Teflon  :  tout  glisse  sur  lui  sans  l'  altérer  .",teflon,nam,teflon,du,du,ADP DET,est,être,VERB,c',ce,PRON,",",",",PUNCT,Manuel,Manuel,PROPN,:,:,PUNCT,tout,tout,PRON,glisse,glisse,NOUN,sur,sur,ADP,lui,lui,PRON,2014-02-26,2014,2010,VERB ADP DET Teflon PUNCT PRON,ADP DET Teflon PUNCT,VERB ADP DET Teflon,PRON VERB ADP DET Teflon,PUNCT PRON VERB ADP DET Teflon,Teflon PUNCT PRON,Teflon PUNCT PRON NOUN,Teflon PUNCT PRON NOUN ADP,être du Teflon : tout,du Teflon :,être du Teflon,ce être du Teflon,", ce être du Teflon",Teflon : tout,Teflon : tout glisse,Teflon : tout glisse sur
