url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.jeuneafrique.com/mag/334209/economie/senegal-cocktail-gagnant-groupe-kirene/,jeuneafrique.com,2016-09-27,United States,Tetra_Brik/NAM_NAM/Tetra_Brik,"Une  nouvelle  étiquette  OPP  (  opalescent  ,  plus  robuste  )  en  lieu  et  place  du  papier  sur  les  bouteilles  d'  eau  Kirène  ,  un  nouveau  bouchon  ainsi  qu'  un  nouveau  packaging  ( Tetra_Brik  ,  du  suédois  Tetra  Pak  )  pour  Présséa  ...",tetra_brik,nam_nam,tetra_brik,(,(,PUNCT,packaging,packaging,NOUN,nouveau,nouveau,ADJ,un,un,DET,qu',que,CONJ,",",",",PUNCT,du,du,ADP DET,suédois,suédois,ADJ,Tetra,Tetra,PROPN,Pak,Pak,PROPN,2016-09-27,2016,2010,NOUN PUNCT Tetra Brik PUNCT ADP DET,PUNCT Tetra Brik PUNCT,NOUN PUNCT Tetra Brik,ADJ NOUN PUNCT Tetra Brik,DET ADJ NOUN PUNCT Tetra Brik,Tetra Brik PUNCT ADP DET,Tetra Brik PUNCT ADP DET ADJ,Tetra Brik PUNCT ADP DET ADJ PROPN,"packaging ( Tetra Brik , du","( Tetra Brik ,",packaging ( Tetra Brik,nouveau packaging ( Tetra Brik,un nouveau packaging ( Tetra Brik,"Tetra Brik , du","Tetra Brik , du suédois","Tetra Brik , du suédois Tetra"
https://www.orange.com/fr/Pop/2017/Mars/Erik-Wallenberg-l-inventeur-du-Tetra-Pak,orange.com,2017-09-25,===NONE===,Tetra_Brik/NAM_NAM/Tetra_Brik,"Ainsi  ,  pour  de  nombreuses  personnes  aujourd  '  hui  ,  enfants  comme  adultes  ,  les  jus  de  fruits  sont  indissociables  de  leur  emballage  individuel  ,  le Tetra_Brik  rectangulaire  .",tetra_brik,nam_nam,tetra_brik,le,le,DET,",",",",PUNCT,individuel,individuel,ADJ,emballage,emballage,NOUN,leur,leur,DET,rectangulaire,rectangulaire,ADJ,.,.,PUNCT,,,,,,,,,,2017-09-25,2017,2010,PUNCT DET Tetra Brik ADJ PUNCT,DET Tetra Brik ADJ,PUNCT DET Tetra Brik,ADJ PUNCT DET Tetra Brik,NOUN ADJ PUNCT DET Tetra Brik,Tetra Brik ADJ PUNCT,,,", le Tetra Brik rectangulaire .",le Tetra Brik rectangulaire,", le Tetra Brik","individuel , le Tetra Brik","emballage individuel , le Tetra Brik",Tetra Brik rectangulaire .,,
https://www.orange.com/fr/Pop/2017/Mars/Erik-Wallenberg-l-inventeur-du-Tetra-Pak,orange.com,2017-09-25,===NONE===,Tetra_Brik/NAM_NAM/Tetra_Brik,"Le  résultat  est  étonnant  !  Un  autre  designer  australien  ,  Preston  Grubb  ,  a  imaginé  un  autre  concept  :  des Tetra_Brik  individuelles  remplies  de  jus  et  qui  ,  réunies  dans  leur  filet  ,  prennent  la  forme  d'  une  orange  .",tetra_brik,nam_nam,tetra_brik,des,du,ADP DET,:,:,PUNCT,concept,concept,NOUN,autre,autre,ADJ,un,un,DET,individuelles,individuel,ADJ,remplies,remplir,VERB,de,de,ADP,jus,jus,NOUN,et,et,CONJ,2017-09-25,2017,2010,PUNCT ADP DET Tetra Brik ADJ VERB,ADP DET Tetra Brik ADJ,PUNCT ADP DET Tetra Brik,NOUN PUNCT ADP DET Tetra Brik,ADJ NOUN PUNCT ADP DET Tetra Brik,Tetra Brik ADJ VERB,Tetra Brik ADJ VERB ADP,Tetra Brik ADJ VERB ADP NOUN,: du Tetra Brik individuel remplir,du Tetra Brik individuel,: du Tetra Brik,concept : du Tetra Brik,autre concept : du Tetra Brik,Tetra Brik individuel remplir,Tetra Brik individuel remplir de,Tetra Brik individuel remplir de jus
https://www.leberry.fr/guerche-sur-l-aubois-18150/actualites/resultats-des-analyses-de-l-air-confinement-cours-annules-les-dernieres-infos-sur-l-incendie-de-l-usine-a-la-guerche_13662102/,leberry.fr,2019-10-12,France,Tetra_brik/NAM_NOM/Tetra_brik,Des  pompiers  sont  toujours  mobilisés  sur  l'  incendie  de  l'  usine  de  traitement  de Tetra_brik  à  La  Guerche-sur-  l'  Aubois  .,tetra_brik,nam_nom,tetra_brik,de,de,ADP,traitement,traitement,NOUN,de,de,ADP,usine,usine,NOUN,l',le,DET,à,à,ADP,La,le,DET,Guerche-sur-,Guerche-sur-,PROPN,l',le,DET,Aubois,Aubois,PROPN,2019-10-12,2019,2010,NOUN ADP Tetra Brik ADP DET,ADP Tetra Brik ADP,NOUN ADP Tetra Brik,ADP NOUN ADP Tetra Brik,NOUN ADP NOUN ADP Tetra Brik,Tetra Brik ADP DET,Tetra Brik ADP DET PROPN,Tetra Brik ADP DET PROPN DET,traitement de Tetra Brik à le,de Tetra Brik à,traitement de Tetra Brik,de traitement de Tetra Brik,usine de traitement de Tetra Brik,Tetra Brik à le,Tetra Brik à le Guerche-sur-,Tetra Brik à le Guerche-sur- le
https://www.leberry.fr/guerche-sur-l-aubois-18150/actualites/resultats-des-analyses-de-l-air-confinement-cours-annules-les-dernieres-infos-sur-l-incendie-de-l-usine-a-la-guerche_13662102/,leberry.fr,2019-10-12,France,Tetra_brik/NAM_NOM/Tetra_brik,"Ce  samedi  12  octobre  ,  presque  24  heures  après  l'  incendie  de  Traidib  ,  usine  de  traitement  de Tetra_brik  de  La  Guerche-sur-  l'  Aubois  ,  les  pompiers  sont  toujours  en  action  pour  éteindre  le  feu  .",tetra_brik,nam_nom,tetra_brik,de,de,ADP,traitement,traitement,NOUN,de,de,ADP,usine,usine,NOUN,",",",",PUNCT,de,de,ADP,La,le,DET,Guerche-sur-,Guerche-sur-,PROPN,l',le,DET,Aubois,Aubois,PROPN,2019-10-12,2019,2010,NOUN ADP Tetra Brik ADP DET,ADP Tetra Brik ADP,NOUN ADP Tetra Brik,ADP NOUN ADP Tetra Brik,NOUN ADP NOUN ADP Tetra Brik,Tetra Brik ADP DET,Tetra Brik ADP DET PROPN,Tetra Brik ADP DET PROPN DET,traitement de Tetra Brik de le,de Tetra Brik de,traitement de Tetra Brik,de traitement de Tetra Brik,usine de traitement de Tetra Brik,Tetra Brik de le,Tetra Brik de le Guerche-sur-,Tetra Brik de le Guerche-sur- le
https://www.leberry.fr/guerche-sur-l-aubois-18150/actualites/incendie-de-l-usine-traidib-a-la-guerche-sur-l-aubois-ecoles-et-college-resteront-fermes-ce-mardi_13663403/,leberry.fr,2019-10-14,France,Tetra_brik/NAM_NAM/Tetra_brik,"La  vaste  opération  de  nettoyage  débutée  le  lundi  14  octobre  ,  à  la  suite  de  l'  incendie  survenu  le  vendredi  11  octobre  dans  l'  usine  de  traitement  de Tetra_brik  Traidib  ,  n'  est  en  effet  pas  terminée  .",tetra_brik,nam_nam,tetra_brik,de,de,ADP,traitement,traitement,NOUN,de,de,ADP,usine,usine,NOUN,l',le,DET,Traidib,Traidib,PROPN,",",",",PUNCT,n',ne,ADV,est,être,VERB,en,en,ADP,2019-10-14,2019,2010,NOUN ADP Tetra Brik PROPN PUNCT,ADP Tetra Brik PROPN,NOUN ADP Tetra Brik,ADP NOUN ADP Tetra Brik,NOUN ADP NOUN ADP Tetra Brik,Tetra Brik PROPN PUNCT,Tetra Brik PROPN PUNCT ADV,Tetra Brik PROPN PUNCT ADV VERB,"traitement de Tetra Brik Traidib ,",de Tetra Brik Traidib,traitement de Tetra Brik,de traitement de Tetra Brik,usine de traitement de Tetra Brik,"Tetra Brik Traidib ,","Tetra Brik Traidib , ne","Tetra Brik Traidib , ne être"
https://www.leberry.fr/guerche-sur-l-aubois-18150/actualites/trois-mois-apres-l-incendie-de-l-usine-traidib-le-site-attend-toujours-d-etre-depollue_13731700/,leberry.fr,2020-01-27,France,Tetra_Brik/NAM_NAM/Tetra_Brik,"Le  site  stocke  des  emballages  alimentaires  de  type Tetra_Brik  ,  à  des  fins  de  recyclage  .",tetra_brik,nam_nam,tetra_brik,type,type,NOUN,de,de,ADP,alimentaires,alimentaire,ADJ,emballages,emballage,NOUN,des,du,ADP DET,",",",",PUNCT,à,à,ADP,des,du,ADP DET,fins,fin,NOUN,de,de,ADP,2020-01-27,2020,2020,ADP NOUN Tetra Brik PUNCT ADP,NOUN Tetra Brik PUNCT,ADP NOUN Tetra Brik,ADJ ADP NOUN Tetra Brik,NOUN ADJ ADP NOUN Tetra Brik,Tetra Brik PUNCT ADP,Tetra Brik PUNCT ADP ADP DET,Tetra Brik PUNCT ADP ADP DET NOUN,"de type Tetra Brik , à","type Tetra Brik ,",de type Tetra Brik,alimentaire de type Tetra Brik,emballage alimentaire de type Tetra Brik,"Tetra Brik , à","Tetra Brik , à du","Tetra Brik , à du fin"
https://www.leberry.fr/guerche-sur-l-aubois-18150/actualites/quid-de-la-gestion-des-dechets-pres-de-huit-mois-apres-l-incendie-a-l-usine-traidib_13806801/,leberry.fr,2020-07-02,France,Tetra_brik/NAM_NAM/Tetra_brik,"Bientôt  neuf  mois  après  l'  incendie  qui  a  ravagé  l'  usine  de Tetra_brik  Traidib  à  La  Guerche-sur-  l'  Aubois  ,  la  question  de  la  gestion  des  déchets  du  sinistre  se  pose  .",tetra_brik,nam_nam,tetra_brik,de,de,ADP,usine,usine,NOUN,l',le,DET,ravagé,ravager,VERB,a,avoir,VERB,Traidib,Traidib,PROPN,à,à,ADP,La,le,DET,Guerche-sur-,Guerche-sur-,PROPN,l',le,DET,2020-07-02,2020,2020,NOUN ADP Tetra Brik PROPN ADP,ADP Tetra Brik PROPN,NOUN ADP Tetra Brik,DET NOUN ADP Tetra Brik,VERB DET NOUN ADP Tetra Brik,Tetra Brik PROPN ADP,Tetra Brik PROPN ADP DET,Tetra Brik PROPN ADP DET PROPN,usine de Tetra Brik Traidib à,de Tetra Brik Traidib,usine de Tetra Brik,le usine de Tetra Brik,ravager le usine de Tetra Brik,Tetra Brik Traidib à,Tetra Brik Traidib à le,Tetra Brik Traidib à le Guerche-sur-
https://www.processalimentaire.com/emballage/agrilait-devoile-en-avant-premiere-sa-brique-de-lait-bio-breton-a-82-vegetale?sso=1601626897,processalimentaire.com,2020-10-02,France,Tetra_Brik/NAM_NAM/Tetra_Brik,Et  une  offre  différenciante  puisqu  '  elle  lance  en  exclusivité  chez  Carrefour  son  lait  conditionné  dans  la  nouvelle  brique  biosourcée Tetra_Brik  Aseptic  Edge  de  Tetra  Pak  .,tetra_brik,nam_nam,tetra_brik,biosourcée,biosourcée,ADJ,brique,brique,NOUN,nouvelle,nouveau,ADJ,la,le,DET,dans,dans,ADP,Aseptic,Aseptic,PROPN,Edge,Edge,PROPN,de,de,ADP,Tetra,Tetra,PROPN,Pak,Pak,PROPN,2020-10-02,2020,2020,NOUN ADJ Tetra Brik PROPN PROPN,ADJ Tetra Brik PROPN,NOUN ADJ Tetra Brik,ADJ NOUN ADJ Tetra Brik,DET ADJ NOUN ADJ Tetra Brik,Tetra Brik PROPN PROPN,Tetra Brik PROPN PROPN ADP,Tetra Brik PROPN PROPN ADP PROPN,brique biosourcée Tetra Brik Aseptic Edge,biosourcée Tetra Brik Aseptic,brique biosourcée Tetra Brik,nouveau brique biosourcée Tetra Brik,le nouveau brique biosourcée Tetra Brik,Tetra Brik Aseptic Edge,Tetra Brik Aseptic Edge de,Tetra Brik Aseptic Edge de Tetra
https://www.letelegramme.fr/finistere/pont-labbe/a-penmarc-h-sea-val-water-met-la-mer-en-bouteille-02-02-2021-12698095.php?xtor=RSS-33,letelegramme.fr,2021-02-02,France,Tetra_brik/VER:simp_NOM/Tetra_brik,"Et  avec  ses  partenaires  allemands  ,  il  poursuit  aussi  la  collaboration  pour  la  production  d'  une  eau  en  contenant Tetra_brik  qu'  il  a  baptisé  ""  Maï  ""  ,  en  hommage  à  sa  tante  Marie  ,  la  brodeuse  .",tetra_brik,ver:simp_nom,tetra_brik,contenant,contenant,NOUN,en,en,ADP,eau,eau,NOUN,une,un,DET,d',de,ADP,qu',que,PRON,il,il,PRON,a,avoir,VERB,baptisé,baptiser,VERB,"""","""",PUNCT,2021-02-02,2021,2020,ADP NOUN Tetra Brik PRON PRON,NOUN Tetra Brik PRON,ADP NOUN Tetra Brik,NOUN ADP NOUN Tetra Brik,DET NOUN ADP NOUN Tetra Brik,Tetra Brik PRON PRON,Tetra Brik PRON PRON VERB,Tetra Brik PRON PRON VERB VERB,en contenant Tetra Brik que il,contenant Tetra Brik que,en contenant Tetra Brik,eau en contenant Tetra Brik,un eau en contenant Tetra Brik,Tetra Brik que il,Tetra Brik que il avoir,Tetra Brik que il avoir baptiser
