url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.mercotte.fr/2014/02/26/entremets-individuels-praline-passion/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bmercotte%252FiJni%2B%2528La%2Bcuisine%2Bde%2BMercotte%2529&utm_content=FeedBurner,mercotte.fr,2014-02-26,France,thermomix/NOM/thermomix,"La  cuisson  de  la  compotée  à  102  °  :  si  vous  avez  le  fameux thermomix  cuisez  le  mélange  dedans  à  102  °  ,  c'  est  ce  que  préconise  Stéphane  Leroux  ,  sinon  faites  comme  moi  prenez  une  casserole  et  un  thermo  sonde  !",thermomix,nom,thermomix,fameux,fameux,ADJ,le,le,DET,avez,avoir,VERB,vous,vous,PRON,si,si,CONJ,cuisez,cuire,VERB,le,le,DET,mélange,mélange,NOUN,dedans,dedans,ADV,à,à,ADP,2014-02-26,2014,2010,DET ADJ Thermomix VERB DET,ADJ Thermomix VERB,DET ADJ Thermomix,VERB DET ADJ Thermomix,PRON VERB DET ADJ Thermomix,Thermomix VERB DET,Thermomix VERB DET NOUN,Thermomix VERB DET NOUN ADV,le fameux Thermomix cuire le,fameux Thermomix cuire,le fameux Thermomix,avoir le fameux Thermomix,vous avoir le fameux Thermomix,Thermomix cuire le,Thermomix cuire le mélange,Thermomix cuire le mélange dedans
http://www.hrimag.com/Vickye-Langlois-remporte-le,hrimag.com,2014-03-06,Canada,Thermomix/NAM/Thermomix,Elle  s'  est  vu  remettre  un Thermomix  ainsi  qu'  un  ensemble  de  livres  de  cuisine  .,thermomix,nam,thermomix,un,un,DET,remettre,remettre,VERB,vu,voir,VERB,est,être,VERB,s',se,PRON,ainsi,ainsi,CONJ,qu',que,PRON,un,un,DET,ensemble,ensemble,NOUN,de,de,ADP,2014-03-06,2014,2010,VERB DET Thermomix CONJ PRON,DET Thermomix CONJ,VERB DET Thermomix,VERB VERB DET Thermomix,VERB VERB VERB DET Thermomix,Thermomix CONJ PRON,Thermomix CONJ PRON DET,Thermomix CONJ PRON DET NOUN,remettre un Thermomix ainsi que,un Thermomix ainsi,remettre un Thermomix,voir remettre un Thermomix,être voir remettre un Thermomix,Thermomix ainsi que,Thermomix ainsi que un,Thermomix ainsi que un ensemble
http://www.leparisien.fr/laparisienne/cuisine/recette-cuisine/fraisier-destructure-glace-appenzeller-et-feuilles-de-basilic-11-04-2014-3760455.php,leparisien.fr,2014-04-11,France,Thermomix/NAM/Thermomix,"Mixer  (  au Thermomix  si  possible  )  jusqu'  à  obtenir  une  crème  homogène  et  lisse  ,  puis  faire  refroidir  dans  une  barquette  .",thermomix,nam,thermomix,au,au,ADP DET,(,(,PUNCT,Mixer,mixer,NOUN,,,,,,,si,si,ADV,possible,possible,ADJ,),),PUNCT,jusqu',jusque,ADP,à,à,ADP,2014-04-11,2014,2010,PUNCT ADP DET Thermomix ADV ADJ,ADP DET Thermomix ADV,PUNCT ADP DET Thermomix,NOUN PUNCT ADP DET Thermomix,,Thermomix ADV ADJ,Thermomix ADV ADJ PUNCT,Thermomix ADV ADJ PUNCT ADP,( au Thermomix si possible,au Thermomix si,( au Thermomix,mixer ( au Thermomix,,Thermomix si possible,Thermomix si possible ),Thermomix si possible ) jusque
http://www.midilibre.fr/2014/04/18/languedoc-roussillon-le-phenomene-thermomix-un-succes-a-la-francaise%2C850103.php#xtor%3DRSS-5,midilibre.fr,2014-04-24,France,Thermomix/NAM/Thermomix,"<doc uri=http://www.midilibre.fr/2014/04/18/languedoc-roussillon-le-phenomene-thermomix-un-succes-a-la-francaise%2C850103.php#xtor%3DRSS-5 website=midilibre.fr date=2014-04-24 source_country=France> /Languedoc-Roussillon/NAM /:/PUN /le/DET:ART /phénomène/NOM Thermomix  ,  un  succès  à  la  française",thermomix,nam,thermomix,phénomène,phénomène,NOUN,le,le,DET,:,:,PUNCT,Languedoc-Roussillon,Languedoc-Roussillon,PROPN,,,,",",",",PUNCT,un,un,DET,succès,succès,NOUN,à,à,ADP,la,le,DET,2014-04-24,2014,2010,DET NOUN Thermomix PUNCT DET,NOUN Thermomix PUNCT,DET NOUN Thermomix,PUNCT DET NOUN Thermomix,PROPN PUNCT DET NOUN Thermomix,Thermomix PUNCT DET,Thermomix PUNCT DET NOUN,Thermomix PUNCT DET NOUN ADP,"le phénomène Thermomix , un","phénomène Thermomix ,",le phénomène Thermomix,: le phénomène Thermomix,Languedoc-Roussillon : le phénomène Thermomix,"Thermomix , un","Thermomix , un succès","Thermomix , un succès à"
http://www.midilibre.fr/2014/04/18/languedoc-roussillon-le-phenomene-thermomix-un-succes-a-la-francaise%2C850103.php#xtor%3DRSS-5,midilibre.fr,2014-04-24,France,Thermomix/NAM/Thermomix,"Dans  celui  des  robots  culinaires  ,  le  roi  incontesté  ,  et  incontestable  ,  a  pour  nom Thermomix  .",thermomix,nam,thermomix,nom,nom,NOUN,pour,pour,ADP,a,avoir,VERB,",",",",PUNCT,incontestable,incontestable,ADJ,.,.,PUNCT,,,,,,,,,,,,,2014-04-24,2014,2010,,NOUN Thermomix PUNCT,ADP NOUN Thermomix,VERB ADP NOUN Thermomix,PUNCT VERB ADP NOUN Thermomix,,,,,nom Thermomix .,pour nom Thermomix,avoir pour nom Thermomix,", avoir pour nom Thermomix",,,
http://www.midilibre.fr/2014/04/18/languedoc-roussillon-le-phenomene-thermomix-un-succes-a-la-francaise%2C850103.php#xtor%3DRSS-5,midilibre.fr,2014-04-24,France,Thermomix/NAM/Thermomix,"Le Thermomix  est  né  en  1961  (  VKM  5  )  ,  a  connu  de  nombreuses  révolutions  technologiques  au  gré  du  temps  pour  sortir  ,  en  2004  ,  une  véritable  mini-cuisine  :  le  TM  31  ,  en  prime  ,  fabriqué  en  France  ,  à  Cloye-sur-le-Loir  (  Eure-et-Loir  )  .",thermomix,nam,thermomix,Le,le,DET,,,,,,,,,,,,,est,être,VERB,né,naître,VERB,en,en,ADP,1961,@card@,ADJ,(,(,PUNCT,2014-04-24,2014,2010,,DET Thermomix VERB,,,,Thermomix VERB VERB,Thermomix VERB VERB ADP,Thermomix VERB VERB ADP ADJ,,le Thermomix être,,,,Thermomix être naître,Thermomix être naître en,Thermomix être naître en @card@
http://www.midilibre.fr/2014/04/18/languedoc-roussillon-le-phenomene-thermomix-un-succes-a-la-francaise%2C850103.php#xtor%3DRSS-5,midilibre.fr,2014-04-24,France,Thermomix/NAM/Thermomix,Le  groupe  qui  a  conçu  et  qui  distribue  le Thermomix  a  pour  nom  Vorwerk  .,thermomix,nam,thermomix,le,le,DET,distribue,distribuer,VERB,qui,qui,PRON,et,et,CONJ,conçu,concevoir,VERB,a,avoir,VERB,pour,pour,ADP,nom,nom,NOUN,Vorwerk,Vorwerk,PROPN,.,.,PUNCT,2014-04-24,2014,2010,VERB DET Thermomix VERB ADP,DET Thermomix VERB,VERB DET Thermomix,PRON VERB DET Thermomix,CONJ PRON VERB DET Thermomix,Thermomix VERB ADP,Thermomix VERB ADP NOUN,Thermomix VERB ADP NOUN PROPN,distribuer le Thermomix avoir pour,le Thermomix avoir,distribuer le Thermomix,qui distribuer le Thermomix,et qui distribuer le Thermomix,Thermomix avoir pour,Thermomix avoir pour nom,Thermomix avoir pour nom Vorwerk
http://www.midilibre.fr/2014/04/18/languedoc-roussillon-le-phenomene-thermomix-un-succes-a-la-francaise%2C850103.php#xtor%3DRSS-5,midilibre.fr,2014-04-24,France,Thermomix/NAM/Thermomix,"Avec  420  millions  d'  euros  de  CA  , Thermomix  figure  parmi  les  divisions  les  plus  dynamiques  du  groupe  Vorwerk  .",thermomix,nam,thermomix,",",",",PUNCT,CA,CA,PROPN,de,de,ADP,euros,euro,NOUN,d',de,ADP,figure,figurer,VERB,parmi,parmi,ADP,les,le,DET,divisions,division,NOUN,les,le,DET,2014-04-24,2014,2010,PROPN PUNCT Thermomix VERB ADP,PUNCT Thermomix VERB,PROPN PUNCT Thermomix,ADP PROPN PUNCT Thermomix,NOUN ADP PROPN PUNCT Thermomix,Thermomix VERB ADP,Thermomix VERB ADP DET,Thermomix VERB ADP DET NOUN,"CA , Thermomix figurer parmi",", Thermomix figurer","CA , Thermomix","de CA , Thermomix","euro de CA , Thermomix",Thermomix figurer parmi,Thermomix figurer parmi le,Thermomix figurer parmi le division
http://www.midilibre.fr/2014/04/18/languedoc-roussillon-le-phenomene-thermomix-un-succes-a-la-francaise%2C850103.php#xtor%3DRSS-5,midilibre.fr,2014-04-24,France,Thermomix/NAM/Thermomix,"Jeudi  17  avril  ,  en  effet  ,  une  cinquantaine  de  clients  ,  possesseurs  ou  non  d'  un Thermomix  ,  ont  écouté  religieusement  les  dernières  explorations  culinaires  de  la  plus  petite  cuisine  au  monde  .",thermomix,nam,thermomix,un,un,DET,d',de,ADP,non,non,ADV,ou,ou,CONJ,possesseurs,possesseur,NOUN,",",",",PUNCT,ont,avoir,VERB,écouté,écouter,VERB,religieusement,religieusement,ADV,les,le,DET,2014-04-24,2014,2010,ADP DET Thermomix PUNCT VERB,DET Thermomix PUNCT,ADP DET Thermomix,ADV ADP DET Thermomix,CONJ ADV ADP DET Thermomix,Thermomix PUNCT VERB,Thermomix PUNCT VERB VERB,Thermomix PUNCT VERB VERB ADV,"de un Thermomix , avoir","un Thermomix ,",de un Thermomix,non de un Thermomix,ou non de un Thermomix,"Thermomix , avoir","Thermomix , avoir écouter","Thermomix , avoir écouter religieusement"
http://www.midilibre.fr/2014/04/18/languedoc-roussillon-le-phenomene-thermomix-un-succes-a-la-francaise%2C850103.php#xtor%3DRSS-5,midilibre.fr,2014-04-24,France,Thermomix/NAM/Thermomix,"En  terme  d'  emploi  , Thermomix  n'  est  pas  en  reste  .",thermomix,nam,thermomix,",",",",PUNCT,emploi,emploi,NOUN,d',de,ADP,terme,terme,NOUN,En,En,VERB,n',ne,ADV,est,être,VERB,pas,pas,ADV,en,en,ADP,reste,reste,NOUN,2014-04-24,2014,2010,NOUN PUNCT Thermomix ADV VERB,PUNCT Thermomix ADV,NOUN PUNCT Thermomix,ADP NOUN PUNCT Thermomix,NOUN ADP NOUN PUNCT Thermomix,Thermomix ADV VERB,Thermomix ADV VERB ADV,Thermomix ADV VERB ADV ADP,"emploi , Thermomix ne être",", Thermomix ne","emploi , Thermomix","de emploi , Thermomix","terme de emploi , Thermomix",Thermomix ne être,Thermomix ne être pas,Thermomix ne être pas en
