url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.leparisien.fr/laparisienne/mode/silhouette/miranda-kerr-maxi-robe-pour-maxi-effet-pour-la-jeune-maman-a-shopper-03-01-2014-3459327.php,leparisien.fr,2014-01-03,France,Ugg/NAM/Ugg,"Créateurs  français  ,  anglais  et  américains  ,  Miranda  ne  fait  pas  de  jaloux  !  Même  son  fils  est  un  peu  griffé  puisqu  '  il  porte  les  chaussures  indispensables  en  plein  hiver  ,  les Ugg  .",ugg,nam,ugg,les,le,DET,",",",",PUNCT,hiver,hiver,NOUN,plein,plein,ADJ,en,en,ADP,.,.,PUNCT,,,,,,,,,,,,,2014-01-03,2014,2010,,DET Ugg PUNCT,PUNCT DET Ugg,NOUN PUNCT DET Ugg,ADJ NOUN PUNCT DET Ugg,,,,,le Ugg .,", le Ugg","hiver , le Ugg","plein hiver , le Ugg",,,
http://www.lepoint.fr/art-de-vivre/j-ai-teste-pour-vous-la-drague-10-01-2014-1778824_4.php,lepoint.fr,2014-01-10,France,Ugg/NAM/Ugg,"Dans  mon  cas  ,  cette  contre-image  de  l'  objet  aimé  peut  aussi  apparaître  si  la  jeune  fille  que  je  rencontre  porte  des Ugg  (  ces  bottes  fourrées  si  laides  )  et  /  ou  n'  a  aucune  passion  ,  m'  explique  qu'  elle  part  un  an  à  New  York  pour  ""  apprendre  l'  anglais  ""  (  alors  qu'  il  suffit  de  regarder  trois  épisodes  de  Friends  pour  être  anglophone  )  ,  poste  sur  Twitter  des  hashtags  du  type  #  trop  de  fun  #  big  gueule  de  bois  ,  écoute  Pascal  Obispo  .",ugg,nam,ugg,des,du,ADP DET,porte,porte,ADJ,rencontre,rencontrer,VERB,je,je,PRON,que,que,PRON,(,(,PUNCT,ces,ce,PRON,bottes,botte,NOUN,fourrées,fourré,ADJ,si,si,CONJ,2014-01-10,2014,2010,ADJ ADP DET Ugg PUNCT PRON,ADP DET Ugg PUNCT,ADJ ADP DET Ugg,VERB ADJ ADP DET Ugg,PRON VERB ADJ ADP DET Ugg,Ugg PUNCT PRON,Ugg PUNCT PRON NOUN,Ugg PUNCT PRON NOUN ADJ,porte du Ugg ( ce,du Ugg (,porte du Ugg,rencontrer porte du Ugg,je rencontrer porte du Ugg,Ugg ( ce,Ugg ( ce botte,Ugg ( ce botte fourré
http://www.lexpress.fr/actualite/monde/quand-des-lyceens-se-prennent-pour-des-delegues-de-l-onu-rejouent-les-sessions-de-l-onu_1323101.html,lexpress.fr,2014-02-16,France,Ugg/NAM/Ugg,"Ainsi  ,  ce  mot  de  la  Serbie  à  la  Suède  :  ""  Apparemment  ,  Nouvelle-Zélande  est  une  fille  et  porte  des Ugg  .",ugg,nam,ugg,des,du,ADP DET,porte,porte,NOUN,et,et,CONJ,fille,fille,NOUN,une,un,DET,.,.,PUNCT,,,,,,,,,,,,,2014-02-16,2014,2010,,ADP DET Ugg PUNCT,NOUN ADP DET Ugg,CONJ NOUN ADP DET Ugg,NOUN CONJ NOUN ADP DET Ugg,,,,,du Ugg .,porte du Ugg,et porte du Ugg,fille et porte du Ugg,,,
http://www.lexpress.fr/styles/mode/quand-la-rue-inspire-le-luxe_1497438.html,lexpress.fr,2014-03-06,France,Ugg/NAM/Ugg,"""  La  culture  Tumblr  et  l'  association  libre  d'  images  -et  donc  d'  idées-  donnent  un  réel  twist  3.0  à  la  mode  actuelle  ,  notamment  au  streetwear  ""  ,  pense  Julien  David  ,  créateur  qui  a  gagné  le  prix  de  l'  Andam  en  2012  en  présentant  des  robes  portées  avec  des  sweatshirts  à  capuche  et  des  bottes Ugg  ,  bien  éloignées  du  chic  parisien  classique  .",ugg,nam,ugg,bottes,botte,NOUN,des,du,ADP DET,et,et,CONJ,capuche,capuche,NOUN,à,à,ADP,",",",",PUNCT,bien,bien,ADV,éloignées,éloigner,VERB,du,du,ADP DET,chic,chic,NOUN,2014-03-06,2014,2010,ADP DET NOUN Ugg PUNCT ADV,NOUN Ugg PUNCT,ADP DET NOUN Ugg,CONJ ADP DET NOUN Ugg,NOUN CONJ ADP DET NOUN Ugg,Ugg PUNCT ADV,Ugg PUNCT ADV VERB,Ugg PUNCT ADV VERB ADP DET,"du botte Ugg , bien","botte Ugg ,",du botte Ugg,et du botte Ugg,capuche et du botte Ugg,"Ugg , bien","Ugg , bien éloigner","Ugg , bien éloigner du"
http://www.lexpress.fr/styles/mode/suki-waterhouse-egerie-superga_1503112.html,lexpress.fr,2014-03-25,France,UGG/NAM/UGG,"La  jeune  femme  de  22  ans  -plus  connue  pour  être  en  couple  avec  l'  acteur  américain  Bradley  Cooper  depuis  un  an-  est  aussi  l'  égérie  du  parfum  féminin  Brit  Rythms  de  Burberry  et  a  été  aperçue  dans  des  campagnes  publicitaires  pour  les  marques UGG  ,  Forever  21  ou  encore  H  &  M. </doc>",ugg,nam,ugg,marques,marque,NOUN,les,le,DET,pour,pour,ADP,publicitaires,publicitaire,ADJ,campagnes,campagne,NOUN,",",",",PUNCT,Forever,Forever,ABR,21,@card@,ADJ,ou,ou,CONJ,encore,encore,ADV,2014-03-25,2014,2010,DET NOUN Ugg PUNCT ABR,NOUN Ugg PUNCT,DET NOUN Ugg,ADP DET NOUN Ugg,ADJ ADP DET NOUN Ugg,Ugg PUNCT ABR,Ugg PUNCT ABR ADJ,Ugg PUNCT ABR ADJ CONJ,"le marque Ugg , Forever","marque Ugg ,",le marque Ugg,pour le marque Ugg,publicitaire pour le marque Ugg,"Ugg , Forever","Ugg , Forever @card@","Ugg , Forever @card@ ou"
http://www.lefigaro.fr/lefigaromagazine/2014/08/01/01006-20140801ARTFIG00193-cote-basque-au-coeur-de-la-vague.php,lefigaro.fr,2014-08-01,France,UGG/NAM/UGG,"Outre  les  maillots  de  bain  ,  casquettes  ,  sweat-shirts  ,  parmi  les  autres  vêtements  et  accessoires  de  mode  piqués  au  surf  ,  on  a  vu  ces  dernières  années  l'  explosion  dans  le  monde  de  la  marque  brésilienne  de  tongs  Havaianas  ,  mais  aussi  les UGG  ,  bottes  fourrées  australiennes  que  les  surfeurs  enfilent  à  la  sortie  de  l'  eau  .",ugg,nam,ugg,les,le,DET,aussi,aussi,ADV,mais,mais,CONJ,",",",",PUNCT,Havaianas,Havaianas,PROPN,",",",",PUNCT,bottes,botte,NOUN,fourrées,fourrer,VERB,australiennes,australien,ADJ,que,que,CONJ,2014-08-01,2014,2010,ADV DET Ugg PUNCT NOUN,DET Ugg PUNCT,ADV DET Ugg,CONJ ADV DET Ugg,PUNCT CONJ ADV DET Ugg,Ugg PUNCT NOUN,Ugg PUNCT NOUN VERB,Ugg PUNCT NOUN VERB ADJ,"aussi le Ugg , botte","le Ugg ,",aussi le Ugg,mais aussi le Ugg,", mais aussi le Ugg","Ugg , botte","Ugg , botte fourrer","Ugg , botte fourrer australien"
http://www.newswire.ca/fr/story/1400544/ugg-lance-sa-premiere-campagne-mondiale-de-marque,newswire.ca,2014-08-20,Canada,UGG/NAM/UGG,<doc uri=http://www.newswire.ca/fr/story/1400544/ugg-lance-sa-premiere-campagne-mondiale-de-marque website=newswire.ca date=2014-08-20 source_country=Canada> UGG  ®  lance  sa  première  campagne  mondiale  de  marque,ugg,nam,ugg,,,,,,,,,,,,,,,,®,®,NOUN,lance,lancer,VERB,sa,son,DET,première,premier,ADJ,campagne,campagne,NOUN,2014-08-20,2014,2010,,,,,,Ugg NOUN VERB,Ugg NOUN VERB DET,Ugg NOUN VERB DET ADJ,,,,,,Ugg ® lancer,Ugg ® lancer son,Ugg ® lancer son premier
http://www.newswire.ca/fr/story/1400544/ugg-lance-sa-premiere-campagne-mondiale-de-marque,newswire.ca,2014-08-20,Canada,UGG/NAM/UGG,"La  campagne  ""  THIS  IS UGG  ""  exprime  la  puissance  émotionnelle  de  la  marque  en  célébrant  les  petits  moments  les  plus  grands",ugg,nam,ugg,IS,IS,PROPN,THIS,THIS,PROPN,"""","""",PUNCT,campagne,campagne,NOUN,La,le,DET,"""","""",PUNCT,exprime,exprimer,VERB,la,le,DET,puissance,puissance,NOUN,émotionnelle,émotionnel,ADJ,2014-08-20,2014,2010,PROPN PROPN Ugg PUNCT VERB,PROPN Ugg PUNCT,PROPN PROPN Ugg,PUNCT PROPN PROPN Ugg,NOUN PUNCT PROPN PROPN Ugg,Ugg PUNCT VERB,Ugg PUNCT VERB DET,Ugg PUNCT VERB DET NOUN,"THIS IS Ugg "" exprimer","IS Ugg """,THIS IS Ugg,""" THIS IS Ugg","campagne "" THIS IS Ugg","Ugg "" exprimer","Ugg "" exprimer le","Ugg "" exprimer le puissance"
http://www.newswire.ca/fr/story/1400544/ugg-lance-sa-premiere-campagne-mondiale-de-marque,newswire.ca,2014-08-20,Canada,UGG/NAM/UGG,"NEW  YORK  ,  le  20  août  2014  /  CNW  /  -  La  marque  de  style  de  vie UGG  Australia  a  annoncé  aujourd  '  hui  le  lancement  de  sa  première  campagne  marketing  mondiale  de  marque  intitulée  ""  THIS  IS  UGG  ""  .",ugg,nam,ugg,vie,vie,NOUN,de,de,ADP,style,style,NOUN,de,de,ADP,marque,marque,NOUN,Australia,Australia,PROPN,a,avoir,VERB,annoncé,annoncer,VERB,aujourd,aujourd,ADJ,',',PUNCT,2014-08-20,2014,2010,ADP NOUN Ugg PROPN VERB,NOUN Ugg PROPN,ADP NOUN Ugg,NOUN ADP NOUN Ugg,ADP NOUN ADP NOUN Ugg,Ugg PROPN VERB,Ugg PROPN VERB VERB,Ugg PROPN VERB VERB ADJ,de vie Ugg Australia avoir,vie Ugg Australia,de vie Ugg,style de vie Ugg,de style de vie Ugg,Ugg Australia avoir,Ugg Australia avoir annoncer,Ugg Australia avoir annoncer aujourd
http://www.newswire.ca/fr/story/1400544/ugg-lance-sa-premiere-campagne-mondiale-de-marque,newswire.ca,2014-08-20,Canada,UGG/NAM/UGG,"NEW  YORK  ,  le  20  août  2014  /  CNW  /  -  La  marque  de  style  de  vie  UGG  Australia  a  annoncé  aujourd  '  hui  le  lancement  de  sa  première  campagne  marketing  mondiale  de  marque  intitulée  ""  THIS  IS UGG  ""  .",ugg,nam,ugg,IS,IS,PROPN,THIS,THIS,PROPN,"""","""",PUNCT,intitulée,intituler,VERB,marque,marque,NOUN,"""","""",PUNCT,.,.,PUNCT,,,,,,,,,,2014-08-20,2014,2010,PROPN PROPN Ugg PUNCT PUNCT,PROPN Ugg PUNCT,PROPN PROPN Ugg,PUNCT PROPN PROPN Ugg,VERB PUNCT PROPN PROPN Ugg,Ugg PUNCT PUNCT,,,"THIS IS Ugg "" .","IS Ugg """,THIS IS Ugg,""" THIS IS Ugg","intituler "" THIS IS Ugg","Ugg "" .",,
