url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lepoint.fr/sport/football/quand-l-argent-fait-le-president-6-carlos-slim-l-empereur-mexicain-01-01-2014-1775943_1858.php,lepoint.fr,2014-01-01,France,Uno/ABR/Uno,"S'  il  dispose  en  effet  d'  une  chaîne  sur  Internet  déjà  populaire  ( Uno  TV  )  ,  Carlos  Slim  n'  en  a  aucune  diffusée  sur  les  canaux  traditionnels  .",uno,abr,uno,(,(,PUNCT,populaire,populaire,ADJ,déjà,déjà,ADV,Internet,Internet,NOUN,sur,sur,ADP,TV,TV,ABR,),),PUNCT,",",",",PUNCT,Carlos,Carlos,PROPN,Slim,Slim,PROPN,2014-01-01,2014,2010,ADJ PUNCT Uno ABR PUNCT,PUNCT Uno ABR,ADJ PUNCT Uno,ADV ADJ PUNCT Uno,NOUN ADV ADJ PUNCT Uno,Uno ABR PUNCT,Uno ABR PUNCT PUNCT,Uno ABR PUNCT PUNCT PROPN,populaire ( Uno TV ),( Uno TV,populaire ( Uno,déjà populaire ( Uno,Internet déjà populaire ( Uno,Uno TV ),"Uno TV ) ,","Uno TV ) , Carlos"
http://www.futura-sciences.com/magazines/high-tech/infos/actu/d/communication-sms-chimiques-transmis-alcool-51257/#xtor%3DRSS-8,futura-sciences.com,2014-01-01,France,Uno/NAM/Uno,Le  système  de  communication  moléculaire  créé  par  les  chercheurs  de  l'  université  York  repose  sur  un  transmetteur  fabriqué  à  partir  d'  un  microcontrôleur  Arduino  (  Arduino Uno  )  connecté  à  un  module  LCD  (  Adafruit  LCD  shield  kit  )  .,uno,nam,uno,Arduino,Arduino,PROPN,(,(,PUNCT,Arduino,Arduino,PROPN,microcontrôleur,microcontrôleur,NOUN,un,un,DET,),),PUNCT,connecté,connecter,VERB,à,à,ADP,un,un,DET,module,module,NOUN,2014-01-01,2014,2010,PUNCT PROPN Uno PUNCT VERB,PROPN Uno PUNCT,PUNCT PROPN Uno,PROPN PUNCT PROPN Uno,NOUN PROPN PUNCT PROPN Uno,Uno PUNCT VERB,Uno PUNCT VERB ADP,Uno PUNCT VERB ADP DET,( Arduino Uno ) connecter,Arduino Uno ),( Arduino Uno,Arduino ( Arduino Uno,microcontrôleur Arduino ( Arduino Uno,Uno ) connecter,Uno ) connecter à,Uno ) connecter à un
http://www.dhnet.be/sports/football/mondial-2014/mondial-2014-l-uruguay-vers-un-nouveau-miracle-celeste-52c6af573570105ef7e32a9a,dhnet.be,2014-01-05,Belgium,Uno/NAM/Uno," Uno  ,  Edinson  Cavani  .",uno,nam,uno,,,,,,,,,,,,,,,,",",",",PUNCT,Edinson,Edinson,PROPN,Cavani,Cavani,PROPN,.,.,PUNCT,,,,2014-01-05,2014,2010,,,,,,Uno PUNCT PROPN,Uno PUNCT PROPN PROPN,Uno PUNCT PROPN PROPN PUNCT,,,,,,"Uno , Edinson","Uno , Edinson Cavani","Uno , Edinson Cavani ."
http://www.lequipe.fr/Cyclisme-sur-route/Actualites/Cassani-nomme-selectionneur/429692#xtor%3DRSS-1,lequipe.fr,2014-01-05,France,Uno/NAM/Uno,"""  Après  avoir  pris  sa  retraite  sportive  en  1996  ,  Cassani  a  passé  une  année  dans  le  staff  de  la  Mercatone Uno  ,  qui  venait  de  recruter  Marco  Pantani  .",uno,nam,uno,Mercatone,Mercatone,PROPN,la,le,DET,de,de,ADP,staff,staff,NOUN,le,le,DET,",",",",PUNCT,qui,qui,PRON,venait,venir,VERB,de,de,ADP,recruter,recruter,VERB,2014-01-05,2014,2010,DET PROPN Uno PUNCT PRON,PROPN Uno PUNCT,DET PROPN Uno,ADP DET PROPN Uno,NOUN ADP DET PROPN Uno,Uno PUNCT PRON,Uno PUNCT PRON VERB,Uno PUNCT PRON VERB ADP,"le Mercatone Uno , qui","Mercatone Uno ,",le Mercatone Uno,de le Mercatone Uno,staff de le Mercatone Uno,"Uno , qui","Uno , qui venir","Uno , qui venir de"
http://moto.caradisiac.com/Termignoni-des-remises-pour-les-competiteurs-460#xtor%3DRSS-38,caradisiac.com,2014-01-13,===NONE===,Uno/NAM/Uno,"Numero Uno  ,  importateur  Termignoni  dans  l'  hexagone  ,  souhaite  apporter  son  soutien  à  tous  ceux  qui  s'  engageront  dans  un  championnat  cette  année  au  guidon  d'  une  de  ces  Honda  ,  qu'  elle  soit  d'  un  millésime  2013  ou  2014  .",uno,nam,uno,Numero,Numero,PROPN,,,,,,,,,,,,,",",",",PUNCT,importateur,importateur,NOUN,Termignoni,Termignoni,PROPN,dans,dans,ADP,l',le,DET,2014-01-13,2014,2010,,PROPN Uno PUNCT,,,,Uno PUNCT NOUN,Uno PUNCT NOUN PROPN,Uno PUNCT NOUN PROPN ADP,,"Numero Uno ,",,,,"Uno , importateur","Uno , importateur Termignoni","Uno , importateur Termignoni dans"
http://www.depechedekabylie.com/evenement/133497-une-wilaya-qui-se-reveille-au-developpement.html,depechedekabylie.com,2014-01-16,===NONE===,Uno/NAM/Uno,"Il  s'  agit  du  supermarché Uno  ,  de  l'  homme  d'  affaires  Issaâd  Rabrab  ,  qui  a  ouvert  ses  portes  depuis  deux  ans  .",uno,nam,uno,supermarché,supermarché,NOUN,du,du,ADP DET,agit,agir,VERB,s',se,PRON,Il,il,PRON,",",",",PUNCT,de,de,ADP,l',le,DET,homme,homme,NOUN,d',de,ADP,2014-01-16,2014,2010,ADP DET NOUN Uno PUNCT ADP,NOUN Uno PUNCT,ADP DET NOUN Uno,VERB ADP DET NOUN Uno,PRON VERB ADP DET NOUN Uno,Uno PUNCT ADP,Uno PUNCT ADP DET,Uno PUNCT ADP DET NOUN,"du supermarché Uno , de","supermarché Uno ,",du supermarché Uno,agir du supermarché Uno,se agir du supermarché Uno,"Uno , de","Uno , de le","Uno , de le homme"
http://www.lesoir.be/403744/article/economie/immo/2014-01-16/trois-immeubles-pour-quatre-agences-regionales,lesoir.be,2014-01-17,Belgium,Uno/NAM/Uno,"La  deuxième  offre  actuellement  sur  la  table  de  la  ministre  est  l'  immeuble Uno  (  5.400  m  2  sur  sept  niveaux  dans  le  complexe  Trio  )  ,  sis  chaussée  de  Charleroi  ,  et  propriété  de  CBRE  Global  Investors  .",uno,nam,uno,immeuble,immeuble,NOUN,l',le,DET,est,être,VERB,ministre,ministre,NOUN,la,le,DET,(,(,PUNCT,5.400,@card@,ADJ,m,m,NOUN,2,@card@,ADJ,sur,sur,ADP,2014-01-17,2014,2010,DET NOUN Uno PUNCT ADJ,NOUN Uno PUNCT,DET NOUN Uno,VERB DET NOUN Uno,NOUN VERB DET NOUN Uno,Uno PUNCT ADJ,Uno PUNCT ADJ NOUN,Uno PUNCT ADJ NOUN ADJ,le immeuble Uno ( @card@,immeuble Uno (,le immeuble Uno,être le immeuble Uno,ministre être le immeuble Uno,Uno ( @card@,Uno ( @card@ m,Uno ( @card@ m @card@
http://onrefaitlescourses.rtl.fr/bruits-ecuries/breves/7768954159/prix-d-amerique-prix-d-amerique-le-jour-ou-jos-verbeeck-est-devenu-le-diable-belge,rtl.fr,2014-01-18,France,Uno/NAM/Uno,"Vourasie  est  venue  ""  mourir  ""  à  une  tête  ,  ou  une  encolure  ,  de  Sea  Cove  ,  Queen  L  (  la  lauréate  1993  )  ,  Arnaqueur  et Uno  Atout  terminant  ensuite  ,  dans  cet  ordre  ,  un  peu  en  retrait  .",uno,nam,uno,et,et,CONJ,Arnaqueur,Arnaqueur,PROPN,",",",",PUNCT,),),PUNCT,1993,@card@,ADJ,Atout,Atout,PROPN,terminant,terminer,VERB,ensuite,ensuite,ADV,",",",",PUNCT,dans,dans,ADP,2014-01-18,2014,2010,PROPN CONJ Uno PROPN VERB,CONJ Uno PROPN,PROPN CONJ Uno,PUNCT PROPN CONJ Uno,PUNCT PUNCT PROPN CONJ Uno,Uno PROPN VERB,Uno PROPN VERB ADV,Uno PROPN VERB ADV PUNCT,Arnaqueur et Uno Atout terminer,et Uno Atout,Arnaqueur et Uno,", Arnaqueur et Uno",") , Arnaqueur et Uno",Uno Atout terminer,Uno Atout terminer ensuite,"Uno Atout terminer ensuite ,"
http://www.lefigaro.fr/sortir-paris/2014/01/23/30004-20140123ARTFIG00554-les-5-bars-pour-jouer-a-paris.php,lefigaro.fr,2014-01-26,France,Uno/NAM/Uno,"Une  bibliothèque  propose  livres  de  science-fiction  et  jeux  de  société  en  tous  genres  ( Uno  ,  Time  '  s  Up  ,  Jungle  ...  )  .",uno,nam,uno,(,(,PUNCT,genres,genre,NOUN,tous,tout,PRON,en,en,ADP,société,société,NOUN,",",",",PUNCT,Time,Time,PROPN,',',PUNCT,s,s,VERB,Up,Up,PROPN,2014-01-26,2014,2010,NOUN PUNCT Uno PUNCT PROPN,PUNCT Uno PUNCT,NOUN PUNCT Uno,PRON NOUN PUNCT Uno,ADP PRON NOUN PUNCT Uno,Uno PUNCT PROPN,Uno PUNCT PROPN PUNCT,Uno PUNCT PROPN PUNCT VERB,"genre ( Uno , Time","( Uno ,",genre ( Uno,tout genre ( Uno,en tout genre ( Uno,"Uno , Time","Uno , Time '","Uno , Time ' s"
http://www.lepoint.fr/invites-du-point/gabriel-matzneff/matzneff-hollande-pingouin-for-ever-27-01-2014-1784652_1885.php,lepoint.fr,2014-01-27,France,Uno/NAM/Uno,"""  J'  ai  à  nouveau  pensé  à  ces  vers  lorsque  vendredi  dernier  ,  sur  Rai Uno  ,  j'  ai  vu  le  reportage  consacré  à  la  rencontre  de  notre  président  et  du  pape  François  .",uno,nam,uno,Rai,Rai,PROPN,sur,sur,ADP,",",",",PUNCT,dernier,dernier,ADJ,vendredi,vendredi,NOUN,",",",",PUNCT,j',je,PRON,ai,avoir,VERB,vu,voir,VERB,le,le,DET,2014-01-27,2014,2010,ADP PROPN Uno PUNCT PRON,PROPN Uno PUNCT,ADP PROPN Uno,PUNCT ADP PROPN Uno,ADJ PUNCT ADP PROPN Uno,Uno PUNCT PRON,Uno PUNCT PRON VERB,Uno PUNCT PRON VERB VERB,"sur Rai Uno , je","Rai Uno ,",sur Rai Uno,", sur Rai Uno","dernier , sur Rai Uno","Uno , je","Uno , je avoir","Uno , je avoir voir"
