url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://bibliobs.nouvelobs.com/en-partenariat-avec-books/20140110.OBS1987/a-quoi-bon-ecrire-encore-des-lettres.html?xtor=RSS-17,nouvelobs.com,2014-01-12,France,Vanishing/NAM/Vanishing,"Il  vient  de  publier  ""  To  the  Letter  :  A  Journey  Through  a Vanishing  World  ""  (  ""  A  la  lettre  :  voyage  dans  un  univers  en  voie  de  disparition  ""  )  ,  Canongate  Books  ,  2013  ,  464  p.",vanishing,nam,vanishing,a,avoir,VERB,Through,Through,PROPN,Journey,Journey,PROPN,A,à,ADP,:,:,PUNCT,World,World,PROPN,"""","""",PUNCT,(,(,PUNCT,"""","""",PUNCT,A,à,ADP,2014-01-12,2014,2010,PROPN VERB Vanish PROPN PUNCT,VERB Vanish PROPN,PROPN VERB Vanish,PROPN PROPN VERB Vanish,ADP PROPN PROPN VERB Vanish,Vanish PROPN PUNCT,Vanish PROPN PUNCT PUNCT,Vanish PROPN PUNCT PUNCT PUNCT,"Through avoir Vanish World """,avoir Vanish World,Through avoir Vanish,Journey Through avoir Vanish,à Journey Through avoir Vanish,"Vanish World ""","Vanish World "" (","Vanish World "" ( """
http://www.lessentiel.lu/fr/lifestyle/story/16634438,lessentiel.lu,2014-01-29,Luxembourg,Vanishing/NAM/Vanishing,"""  6926  années  d'  histoire  de  la  ville  ""  ont  ainsi  été  perdues  depuis  2001  ,  affirme-t-il  sur  son  blog Vanishing  New  York  (  le  New  York  qui  disparaît  )  .",vanishing,nam,vanishing,blog,blog,NOUN,son,son,DET,sur,sur,ADP,affirme-t-il,affirme-t-il,NOUN,",",",",PUNCT,New,New,PROPN,York,York,PROPN,(,(,PUNCT,le,le,DET,New,New,PROPN,2014-01-29,2014,2010,DET NOUN Vanish PROPN PROPN,NOUN Vanish PROPN,DET NOUN Vanish,ADP DET NOUN Vanish,NOUN ADP DET NOUN Vanish,Vanish PROPN PROPN,Vanish PROPN PROPN PUNCT,Vanish PROPN PROPN PUNCT DET,son blog Vanish New York,blog Vanish New,son blog Vanish,sur son blog Vanish,affirme-t-il sur son blog Vanish,Vanish New York,Vanish New York (,Vanish New York ( le
http://fr.euronews.com/2014/02/04/la-georgie-ira-a-sotchi-mais-insiste-sur-son-integrite-territoriale/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed:%2520euronews%2Ffr%2Fnews%2520%2528euronews%2520-%2520news%2520-%2520fr%2529,euronews.com,2014-02-04,France,Ivanishvili/NAM/Ivanishvili,"euronews  :  ""  L'  an  dernier  ,  votre  prédécesseur  ,  Bidzina Ivanishvili  ,  avait  dit  que  les  athlètes  géorgiens  iraient  à  Sotchi  pour  les  jeux  Olympiques  .",ivanishvili,nam,ivanishvili,Bidzina,Bidzina,PROPN,",",",",PUNCT,prédécesseur,prédécesseur,NOUN,votre,votre,DET,",",",",PUNCT,",",",",PUNCT,avait,avoir,VERB,dit,dire,VERB,que,que,CONJ,les,le,DET,2014-02-04,2014,2010,PUNCT PROPN Vanish PUNCT VERB,PROPN Vanish PUNCT,PUNCT PROPN Vanish,NOUN PUNCT PROPN Vanish,DET NOUN PUNCT PROPN Vanish,Vanish PUNCT VERB,Vanish PUNCT VERB VERB,Vanish PUNCT VERB VERB CONJ,", Bidzina Vanish , avoir","Bidzina Vanish ,",", Bidzina Vanish","prédécesseur , Bidzina Vanish","votre prédécesseur , Bidzina Vanish","Vanish , avoir","Vanish , avoir dire","Vanish , avoir dire que"
http://www.tomshardware.fr/articles/autodestruction-ibm%2C1-46851.html#xtor%3DRSS-11,tomshardware.fr,2014-02-06,France,Vanishing/NAM/Vanishing,"DARPA  (  Defense  Advanced  Research  Projects  Agency  )  ,  l'  agence  de  recherche  de  l'  armée  américaine  a  annoncé  le  mois  dernier  un  nouveau  projet  nommé Vanishing  Programmable  Resources  (  VAPR  ou  la  disparition  des  ressources  programmables  )  .",vanishing,nam,vanishing,nommé,nommer,VERB,projet,projet,NOUN,nouveau,nouveau,ADJ,un,un,DET,dernier,dernier,ADJ,Programmable,Programmable,PROPN,Resources,Resources,PROPN,(,(,PUNCT,VAPR,VAPR,PROPN,ou,ou,CONJ,2014-02-06,2014,2010,NOUN VERB Vanish PROPN PROPN,VERB Vanish PROPN,NOUN VERB Vanish,ADJ NOUN VERB Vanish,DET ADJ NOUN VERB Vanish,Vanish PROPN PROPN,Vanish PROPN PROPN PUNCT,Vanish PROPN PROPN PUNCT PROPN,projet nommer Vanish Programmable Resources,nommer Vanish Programmable,projet nommer Vanish,nouveau projet nommer Vanish,un nouveau projet nommer Vanish,Vanish Programmable Resources,Vanish Programmable Resources (,Vanish Programmable Resources ( VAPR
http://www.numerama.com/magazine/28321-ibm-va-mettre-au-point-des-puces-auto-destructibles-pour-l-armee.html,numerama.com,2014-02-10,===NONE===,Vanishing/NAM/Vanishing,"Dans  le  cas  du  contrat  d'  IBM  ,  baptisé  "" Vanishing  Programmable  Resources  ""  ,  il  faudra  que  la  société  élabore  une  puce  électronique  pouvant  être  réduite  en  poudre  de  silicium  (  Si  )  et  de  silice  (  SiO  2  )  ,  après  déclenchement  d'  une  réaction  par  un  fusible  ou  une  couche  de  métal  réactive  ,  au  niveau  du  substrat  de  verre  .",vanishing,nam,vanishing,"""","""",PUNCT,baptisé,baptiser,VERB,",",",",PUNCT,IBM,IBM,ABR,d',de,ADP,Programmable,Programmable,PROPN,Resources,Resources,PROPN,"""","""",PUNCT,",",",",PUNCT,il,il,PRON,2014-02-10,2014,2010,VERB PUNCT Vanish PROPN PROPN,PUNCT Vanish PROPN,VERB PUNCT Vanish,PUNCT VERB PUNCT Vanish,ABR PUNCT VERB PUNCT Vanish,Vanish PROPN PROPN,Vanish PROPN PROPN PUNCT,Vanish PROPN PROPN PUNCT PUNCT,"baptiser "" Vanish Programmable Resources",""" Vanish Programmable","baptiser "" Vanish",", baptiser "" Vanish","IBM , baptiser "" Vanish",Vanish Programmable Resources,"Vanish Programmable Resources ""","Vanish Programmable Resources "" ,"
http://www.lemondeinformatique.fr/actualites/lire-un-smartphone-ibm-qui-s-autodetruit-en-5-secondes-56521.html,lemondeinformatique.fr,2014-02-10,France,Vanishing/NAM/Vanishing,"C'  est  le  31  janvier  dernier  que  ,  dans  le  cadre  son  programme  "" Vanishing  Programmable  Resources  ""  (  VAPR  )  ,  le  DARPA  (  Defense  Advanced  Research  Projects  Agency  )  ,  c'  est  à  dire  l'  agence  de  recherche  de  l'  armée  américaine  ,  a  signé  un  contrat  de  3,4  millions  de  dollars  avec  IBM  .",vanishing,nam,vanishing,"""","""",PUNCT,programme,programme,NOUN,son,son,DET,cadre,cadre,NOUN,le,le,DET,Programmable,Programmable,PROPN,Resources,Resources,PROPN,"""","""",PUNCT,(,(,PUNCT,VAPR,VAPR,PROPN,2014-02-10,2014,2010,NOUN PUNCT Vanish PROPN PROPN,PUNCT Vanish PROPN,NOUN PUNCT Vanish,DET NOUN PUNCT Vanish,NOUN DET NOUN PUNCT Vanish,Vanish PROPN PROPN,Vanish PROPN PROPN PUNCT,Vanish PROPN PROPN PUNCT PUNCT,"programme "" Vanish Programmable Resources",""" Vanish Programmable","programme "" Vanish","son programme "" Vanish","cadre son programme "" Vanish",Vanish Programmable Resources,"Vanish Programmable Resources ""","Vanish Programmable Resources "" ("
http://www.bfmtv.com/international/boeing-disparu-un-avion-peut-il-se-volatiliser-729008.html,bfmtv.com,2014-03-10,France,vanishing/NOM/vanishing,<doc uri=http://www.bfmtv.com/international/boeing-disparu-un-avion-peut-il-se-volatiliser-729008.html website=bfmtv.com date=2014-03-10 source_country=France> /boeing/NOM /disappeared/ADJ /:/PUN /how/NOM /an/NOM /aeroplane/NOM /can/ADJ /be/VER:simp vanishing  ?,vanishing,nom,vanishing,be,be,VERB,can,can,ADJ,aeroplane,aeroplane,NOUN,an,an,NOUN,how,how,NOUN,?,?,PUNCT,,,,,,,,,,,,,2014-03-10,2014,2010,,VERB Vanish PUNCT,ADJ VERB Vanish,NOUN ADJ VERB Vanish,NOUN NOUN ADJ VERB Vanish,,,,,be Vanish ?,can be Vanish,aeroplane can be Vanish,an aeroplane can be Vanish,,,
http://www.lemonde.fr/economie/article/2014/03/13/la-sncf-veut-faire-revivre-l-orient-express_4382754_3234.html,lemonde.fr,2014-03-13,France,vanishes/ADJ/vanishes,"Aujourd  '  hui  ,  il  ne  reste  que  de  très  rares  survivants  de  ce  type  de  trains  ,  immortalisés  par  Alfred  Hitchcock  dans  The  lady vanishes  (  1938  )  :  la  SNCF  a  renouvelé  pour  75  ans  la  licence  qu'  elle  a  accordée  au  groupe  américain  Belmond  ,  qui  exploite  encore  le  Venise  Simplon  depuis  Londres  .",vanishes,adj,vanishes,lady,lady,NOUN,The,The,PROPN,dans,dans,ADP,Hitchcock,Hitchcock,PROPN,Alfred,Alfred,PROPN,(,(,PUNCT,1938,@card@,ADJ,),),PUNCT,:,:,PUNCT,la,le,DET,2014-03-13,2014,2010,PROPN NOUN Vanish PUNCT ADJ,NOUN Vanish PUNCT,PROPN NOUN Vanish,ADP PROPN NOUN Vanish,PROPN ADP PROPN NOUN Vanish,Vanish PUNCT ADJ,Vanish PUNCT ADJ PUNCT,Vanish PUNCT ADJ PUNCT PUNCT,The lady Vanish ( @card@,lady Vanish (,The lady Vanish,dans The lady Vanish,Hitchcock dans The lady Vanish,Vanish ( @card@,Vanish ( @card@ ),Vanish ( @card@ ) :
http://www.programme-tv.net/news/series-tv/50239-eddie-cibrian-rizzoli-isles-beau-gosse/#xtor%3DRSS-18,programme-tv.net,2014-03-24,===NONE===,Vanished/NAM/Vanished, Vanished  est  déprogrammée  après  seulement  sept  épisodes  .,vanished,nam,vanished,,,,,,,,,,,,,,,,est,être,VERB,déprogrammée,déprogrammer,VERB,après,après,ADP,seulement,seulement,ADV,sept,sept,ADJ,2014-03-24,2014,2010,,,,,,Vanish VERB VERB,Vanish VERB VERB ADP,Vanish VERB VERB ADP ADV,,,,,,Vanish être déprogrammer,Vanish être déprogrammer après,Vanish être déprogrammer après seulement
http://ici.radio-canada.ca/sujet/cannes2014/2014/05/16/003-film-avion-malaysiaairlines.shtml,radio-canada.ca,2014-05-17,Canada,vanishing/ADJ/vanishing,Rupesh  Paul  Productions  tente  de  mousser  le  film  The vanishing  act  auprès  des  acheteurs  présents  au  Festival  de  Cannes  .,vanishing,adj,vanishing,The,The,VERB,film,film,NOUN,le,le,DET,mousser,mousser,VERB,de,de,ADP,act,act,NOUN,auprès,auprès,ADV,des,du,ADP DET,acheteurs,acheteur,NOUN,présents,présent,ADJ,2014-05-17,2014,2010,NOUN VERB Vanish NOUN ADV,VERB Vanish NOUN,NOUN VERB Vanish,DET NOUN VERB Vanish,VERB DET NOUN VERB Vanish,Vanish NOUN ADV,Vanish NOUN ADV ADP DET,Vanish NOUN ADV ADP DET NOUN,film The Vanish act auprès,The Vanish act,film The Vanish,le film The Vanish,mousser le film The Vanish,Vanish act auprès,Vanish act auprès du,Vanish act auprès du acheteur
