url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.courrier-picard.fr/region/quand-la-pharmacie-refuse-les-clients-ia0b0n284439?xtor=RSS-2,courrier-picard.fr,2014-01-09,France,ventoline/NOM/ventoline,"Aux  urgences  ,  ils  nous  ont  fait  une  ordonnance  pour  de  la ventoline  ,  pour  passer  la  nuit  .",ventoline,nom,ventoline,la,le,DET,de,de,ADP,pour,pour,CONJ,ordonnance,ordonnance,NOUN,une,un,DET,",",",",PUNCT,pour,pour,ADP,passer,passer,VERB,la,le,DET,nuit,nuit,NOUN,2014-01-09,2014,2010,ADP DET Ventolin PUNCT ADP,DET Ventolin PUNCT,ADP DET Ventolin,CONJ ADP DET Ventolin,NOUN CONJ ADP DET Ventolin,Ventolin PUNCT ADP,Ventolin PUNCT ADP VERB,Ventolin PUNCT ADP VERB DET,"de le Ventolin , pour","le Ventolin ,",de le Ventolin,pour de le Ventolin,ordonnance pour de le Ventolin,"Ventolin , pour","Ventolin , pour passer","Ventolin , pour passer le"
http://www.nordeclair.fr/info-locale/temps-libre-que-faire-ce-jeudi-a-lille-et-dans-la-metropole-jna49b0n357856?xtor=RSS-2,nordeclair.fr,2014-02-06,France,Ventoline/NAM/Ventoline, Ventoline  Becker  De  et  par  Donatienne  Borel  .,ventoline,nam,ventoline,,,,,,,,,,,,,,,,Becker,Becker,PROPN,De,De,PROPN,et,et,CONJ,par,par,ADP,Donatienne,Donatienne,PROPN,2014-02-06,2014,2010,,,,,,Ventolin PROPN PROPN,Ventolin PROPN PROPN CONJ,Ventolin PROPN PROPN CONJ ADP,,,,,,Ventolin Becker De,Ventolin Becker De et,Ventolin Becker De et par
http://www.nordeclair.fr/info-locale/temps-libre-que-faire-ce-jeudi-a-lille-et-dans-la-metropole-jna49b0n357856?xtor=RSS-2,nordeclair.fr,2014-02-06,France,Ventoline/NAM/Ventoline,"Pour  supporter  l'  ordinaire  et  la  solitude  , Ventoline  Becker  ,  la  clownesse  ,  s'  invente  une  existence  héroïque  dans  un  monde  picaresque  .",ventoline,nam,ventoline,",",",",PUNCT,solitude,solitude,NOUN,la,le,DET,et,et,CONJ,ordinaire,ordinaire,NOUN,Becker,Becker,PROPN,",",",",PUNCT,la,le,DET,clownesse,clownesse,NOUN,",",",",PUNCT,2014-02-06,2014,2010,NOUN PUNCT Ventolin PROPN PUNCT,PUNCT Ventolin PROPN,NOUN PUNCT Ventolin,DET NOUN PUNCT Ventolin,CONJ DET NOUN PUNCT Ventolin,Ventolin PROPN PUNCT,Ventolin PROPN PUNCT DET,Ventolin PROPN PUNCT DET NOUN,"solitude , Ventolin Becker ,",", Ventolin Becker","solitude , Ventolin","le solitude , Ventolin","et le solitude , Ventolin","Ventolin Becker ,","Ventolin Becker , le","Ventolin Becker , le clownesse"
http://www.nordeclair.fr/info-locale/temps-libre-que-faire-ce-mercredi-a-lille-et-dans-la-jna49b0n381422?xtor=RSS-2,nordeclair.fr,2014-03-19,France,Ventoline/NAM/Ventoline, Ventoline  Becker  Écrit  et  interprété  par  Donatienne  Borel  .,ventoline,nam,ventoline,,,,,,,,,,,,,,,,Becker,Becker,PROPN,Écrit,écrit,NOUN,et,et,CONJ,interprété,interpréter,VERB,par,par,ADP,2014-03-19,2014,2010,,,,,,Ventolin PROPN NOUN,Ventolin PROPN NOUN CONJ,Ventolin PROPN NOUN CONJ VERB,,,,,,Ventolin Becker écrit,Ventolin Becker écrit et,Ventolin Becker écrit et interpréter
http://www.nordeclair.fr/info-locale/temps-libre-que-faire-ce-mercredi-a-lille-et-dans-la-jna49b0n381422?xtor=RSS-2,nordeclair.fr,2014-03-19,France,Ventoline/NAM/Ventoline,"C'  est  pour  supporter  l'  ordinaire  et  la  solitude  que Ventoline  Becker  ,  la  clownesse  ,  s'  invente  une  existence  héroïque  dans  un  monde  picaresque  .",ventoline,nam,ventoline,que,que,PRON,solitude,solitude,NOUN,la,le,DET,et,et,CONJ,ordinaire,ordinaire,NOUN,Becker,Becker,PROPN,",",",",PUNCT,la,le,DET,clownesse,clownesse,NOUN,",",",",PUNCT,2014-03-19,2014,2010,NOUN PRON Ventolin PROPN PUNCT,PRON Ventolin PROPN,NOUN PRON Ventolin,DET NOUN PRON Ventolin,CONJ DET NOUN PRON Ventolin,Ventolin PROPN PUNCT,Ventolin PROPN PUNCT DET,Ventolin PROPN PUNCT DET NOUN,"solitude que Ventolin Becker ,",que Ventolin Becker,solitude que Ventolin,le solitude que Ventolin,et le solitude que Ventolin,"Ventolin Becker ,","Ventolin Becker , le","Ventolin Becker , le clownesse"
http://www.rugbyrama.fr/rugby/coupe-du-monde/2015/vitamine-b12-dopage-maladies-rares-l-etrange-omerta-des-springboks._sto4186558/story.shtml,rugbyrama.fr,2014-03-24,France,Ventolin/NAM/Ventolin,"Ils  étaient  tous  sous Ventolin  !  Alors  certes  ,  on  s'  était  fait  laminer  ,  mais  par  une  équipe  sous  traitement  !  ""  .",ventolin,nam,ventolin,sous,sous,ADP,tous,tout,PRON,étaient,être,VERB,Ils,il,PRON,,,,!,!,PUNCT,Alors,alors,ADV,certes,certes,ADV,",",",",PUNCT,on,on,PRON,2014-03-24,2014,2010,PRON ADP Ventolin PUNCT ADV,ADP Ventolin PUNCT,PRON ADP Ventolin,VERB PRON ADP Ventolin,PRON VERB PRON ADP Ventolin,Ventolin PUNCT ADV,Ventolin PUNCT ADV ADV,Ventolin PUNCT ADV ADV PUNCT,tout sous Ventolin ! alors,sous Ventolin !,tout sous Ventolin,être tout sous Ventolin,il être tout sous Ventolin,Ventolin ! alors,Ventolin ! alors certes,"Ventolin ! alors certes ,"
http://www.usinenouvelle.com/article/gsk-investit-35-millions-d-euros-a-evreux.N257491#xtor%3DRSS-215,usinenouvelle.com,2014-04-23,===NONE===,Ventoline/NAM/Ventoline,"Spécialisé  dans  le  traitement  des  maladies  respiratoires  (  asthme  ,  broncho-pneumopathie  chronique  obstructive  ...  )  ,  ce  site  fabrique  et  conditionne  des  aérosols  médicamenteux  ,  dont  le  bronchodilatateur Ventoline  ,  et  des  systèmes  de  distribution  de  [  ...  ] </doc>",ventoline,nam,ventoline,bronchodilatateur,bronchodilatateur,NOUN,le,le,DET,dont,dont,PRON,",",",",PUNCT,médicamenteux,médicamenteux,ADJ,",",",",PUNCT,et,et,CONJ,des,du,ADP DET,systèmes,système,NOUN,de,de,ADP,2014-04-23,2014,2010,DET NOUN Ventolin PUNCT CONJ,NOUN Ventolin PUNCT,DET NOUN Ventolin,PRON DET NOUN Ventolin,PUNCT PRON DET NOUN Ventolin,Ventolin PUNCT CONJ,Ventolin PUNCT CONJ ADP DET,Ventolin PUNCT CONJ ADP DET NOUN,"le bronchodilatateur Ventolin , et","bronchodilatateur Ventolin ,",le bronchodilatateur Ventolin,dont le bronchodilatateur Ventolin,", dont le bronchodilatateur Ventolin","Ventolin , et","Ventolin , et du","Ventolin , et du système"
http://leplus.nouvelobs.com/contribution/1192870-babysitting-comment-faire-une-vaste-daube-trash-sans-trop-se-fouler.html,nouvelobs.com,2014-04-24,France,ventoline/NOM/ventoline,"Après  un  petit  sketch  de  réceptionniste  bien  vulgaire  ,  ne  perds  pas  de  temps  avec  la  mise  en  place  ,  expose  rapidement  tous  tes  futurs  gags  avec  un  inventaire  à  l'  arrache  des  conneries  à  faire  dans  la  grande  baraque  des  bourgeois  :  l'  aquarium  avec  des  poissons  exotiques  ,  l'  assiette  en  porcelaine  héritée  de  papa  ,  le  perroquet  d'  espèce  rarissime  ,  la ventoline  pour  le  mioche  asthmatique  et  4  ×  4  hors  de  prix  ...",ventoline,nom,ventoline,la,le,DET,",",",",PUNCT,rarissime,rarissime,ADJ,espèce,espèce,NOUN,d',de,ADP,pour,pour,ADP,le,le,DET,mioche,mioche,NOUN,asthmatique,asthmatique,ADJ,et,et,CONJ,2014-04-24,2014,2010,PUNCT DET Ventolin ADP DET,DET Ventolin ADP,PUNCT DET Ventolin,ADJ PUNCT DET Ventolin,NOUN ADJ PUNCT DET Ventolin,Ventolin ADP DET,Ventolin ADP DET NOUN,Ventolin ADP DET NOUN ADJ,", le Ventolin pour le",le Ventolin pour,", le Ventolin","rarissime , le Ventolin","espèce rarissime , le Ventolin",Ventolin pour le,Ventolin pour le mioche,Ventolin pour le mioche asthmatique
http://sante.lefigaro.fr/actualite/2014/05/06/22307-mes-crises-dasthme-metranglent-peur,lefigaro.fr,2014-05-06,France,ventoline/NOM/ventoline,"""  Et  dans  ces  moments  ,  mieux  vaut  avoir  sa ventoline  sur  soi  .",ventoline,nom,ventoline,sa,son,DET,avoir,avoir,VERB,vaut,valoir,VERB,mieux,mieux,ADV,",",",",PUNCT,sur,sur,ADP,soi,soi,PRON,.,.,PUNCT,,,,,,,2014-05-06,2014,2010,VERB DET Ventolin ADP PRON,DET Ventolin ADP,VERB DET Ventolin,VERB VERB DET Ventolin,ADV VERB VERB DET Ventolin,Ventolin ADP PRON,Ventolin ADP PRON PUNCT,,avoir son Ventolin sur soi,son Ventolin sur,avoir son Ventolin,valoir avoir son Ventolin,mieux valoir avoir son Ventolin,Ventolin sur soi,Ventolin sur soi .,
http://sante.lefigaro.fr/actualite/2014/05/06/22307-mes-crises-dasthme-metranglent-peur,lefigaro.fr,2014-05-06,France,Ventoline/NAM/Ventoline,""" Ventoline  ,  injections  de  brycanil  ,  breva  ,  fluibron  ...",ventoline,nam,ventoline,"""","""",PUNCT,,,,,,,,,,,,,",",",",PUNCT,injections,injection,NOUN,de,de,ADP,brycanil,brycanil,NOUN,",",",",PUNCT,2014-05-06,2014,2010,,PUNCT Ventolin PUNCT,,,,Ventolin PUNCT NOUN,Ventolin PUNCT NOUN ADP,Ventolin PUNCT NOUN ADP NOUN,,""" Ventolin ,",,,,"Ventolin , injection","Ventolin , injection de","Ventolin , injection de brycanil"
