url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.courrier-picard.fr/region/quand-la-pharmacie-refuse-les-clients-ia0b0n284439?xtor=RSS-2,courrier-picard.fr,2014-01-09,France,ventoline/NOM/ventoline,"Aux  urgences  ,  ils  nous  ont  fait  une  ordonnance  pour  de  la ventoline  ,  pour  passer  la  nuit  .",ventoline,nom,ventoline,la,le,DET,de,de,ADP,pour,pour,CONJ,ordonnance,ordonnance,NOUN,une,un,DET,",",",",PUNCT,pour,pour,ADP,passer,passer,VERB,la,le,DET,nuit,nuit,NOUN,2014-01-09,2014,2010,ADP DET Ventoline PUNCT ADP,DET Ventoline PUNCT,ADP DET Ventoline,CONJ ADP DET Ventoline,NOUN CONJ ADP DET Ventoline,Ventoline PUNCT ADP,Ventoline PUNCT ADP VERB,Ventoline PUNCT ADP VERB DET,"de le Ventoline , pour","le Ventoline ,",de le Ventoline,pour de le Ventoline,ordonnance pour de le Ventoline,"Ventoline , pour","Ventoline , pour passer","Ventoline , pour passer le"
http://www.nordeclair.fr/info-locale/temps-libre-que-faire-ce-jeudi-a-lille-et-dans-la-metropole-jna49b0n357856?xtor=RSS-2,nordeclair.fr,2014-02-06,France,Ventoline/NAM/Ventoline, Ventoline  Becker  De  et  par  Donatienne  Borel  .,ventoline,nam,ventoline,,,,,,,,,,,,,,,,Becker,Becker,PROPN,De,De,PROPN,et,et,CONJ,par,par,ADP,Donatienne,Donatienne,PROPN,2014-02-06,2014,2010,,,,,,Ventoline PROPN PROPN,Ventoline PROPN PROPN CONJ,Ventoline PROPN PROPN CONJ ADP,,,,,,Ventoline Becker De,Ventoline Becker De et,Ventoline Becker De et par
http://www.nordeclair.fr/info-locale/temps-libre-que-faire-ce-jeudi-a-lille-et-dans-la-metropole-jna49b0n357856?xtor=RSS-2,nordeclair.fr,2014-02-06,France,Ventoline/NAM/Ventoline,"Pour  supporter  l'  ordinaire  et  la  solitude  , Ventoline  Becker  ,  la  clownesse  ,  s'  invente  une  existence  héroïque  dans  un  monde  picaresque  .",ventoline,nam,ventoline,",",",",PUNCT,solitude,solitude,NOUN,la,le,DET,et,et,CONJ,ordinaire,ordinaire,NOUN,Becker,Becker,PROPN,",",",",PUNCT,la,le,DET,clownesse,clownesse,NOUN,",",",",PUNCT,2014-02-06,2014,2010,NOUN PUNCT Ventoline PROPN PUNCT,PUNCT Ventoline PROPN,NOUN PUNCT Ventoline,DET NOUN PUNCT Ventoline,CONJ DET NOUN PUNCT Ventoline,Ventoline PROPN PUNCT,Ventoline PROPN PUNCT DET,Ventoline PROPN PUNCT DET NOUN,"solitude , Ventoline Becker ,",", Ventoline Becker","solitude , Ventoline","le solitude , Ventoline","et le solitude , Ventoline","Ventoline Becker ,","Ventoline Becker , le","Ventoline Becker , le clownesse"
http://www.nordeclair.fr/info-locale/temps-libre-que-faire-ce-mercredi-a-lille-et-dans-la-jna49b0n381422?xtor=RSS-2,nordeclair.fr,2014-03-19,France,Ventoline/NAM/Ventoline, Ventoline  Becker  Écrit  et  interprété  par  Donatienne  Borel  .,ventoline,nam,ventoline,,,,,,,,,,,,,,,,Becker,Becker,PROPN,Écrit,écrit,NOUN,et,et,CONJ,interprété,interpréter,VERB,par,par,ADP,2014-03-19,2014,2010,,,,,,Ventoline PROPN NOUN,Ventoline PROPN NOUN CONJ,Ventoline PROPN NOUN CONJ VERB,,,,,,Ventoline Becker écrit,Ventoline Becker écrit et,Ventoline Becker écrit et interpréter
http://www.nordeclair.fr/info-locale/temps-libre-que-faire-ce-mercredi-a-lille-et-dans-la-jna49b0n381422?xtor=RSS-2,nordeclair.fr,2014-03-19,France,Ventoline/NAM/Ventoline,"C'  est  pour  supporter  l'  ordinaire  et  la  solitude  que Ventoline  Becker  ,  la  clownesse  ,  s'  invente  une  existence  héroïque  dans  un  monde  picaresque  .",ventoline,nam,ventoline,que,que,PRON,solitude,solitude,NOUN,la,le,DET,et,et,CONJ,ordinaire,ordinaire,NOUN,Becker,Becker,PROPN,",",",",PUNCT,la,le,DET,clownesse,clownesse,NOUN,",",",",PUNCT,2014-03-19,2014,2010,NOUN PRON Ventoline PROPN PUNCT,PRON Ventoline PROPN,NOUN PRON Ventoline,DET NOUN PRON Ventoline,CONJ DET NOUN PRON Ventoline,Ventoline PROPN PUNCT,Ventoline PROPN PUNCT DET,Ventoline PROPN PUNCT DET NOUN,"solitude que Ventoline Becker ,",que Ventoline Becker,solitude que Ventoline,le solitude que Ventoline,et le solitude que Ventoline,"Ventoline Becker ,","Ventoline Becker , le","Ventoline Becker , le clownesse"
http://www.usinenouvelle.com/article/gsk-investit-35-millions-d-euros-a-evreux.N257491#xtor%3DRSS-215,usinenouvelle.com,2014-04-23,===NONE===,Ventoline/NAM/Ventoline,"Spécialisé  dans  le  traitement  des  maladies  respiratoires  (  asthme  ,  broncho-pneumopathie  chronique  obstructive  ...  )  ,  ce  site  fabrique  et  conditionne  des  aérosols  médicamenteux  ,  dont  le  bronchodilatateur Ventoline  ,  et  des  systèmes  de  distribution  de  [  ...  ] </doc>",ventoline,nam,ventoline,bronchodilatateur,bronchodilatateur,NOUN,le,le,DET,dont,dont,PRON,",",",",PUNCT,médicamenteux,médicamenteux,ADJ,",",",",PUNCT,et,et,CONJ,des,du,ADP DET,systèmes,système,NOUN,de,de,ADP,2014-04-23,2014,2010,DET NOUN Ventoline PUNCT CONJ,NOUN Ventoline PUNCT,DET NOUN Ventoline,PRON DET NOUN Ventoline,PUNCT PRON DET NOUN Ventoline,Ventoline PUNCT CONJ,Ventoline PUNCT CONJ ADP DET,Ventoline PUNCT CONJ ADP DET NOUN,"le bronchodilatateur Ventoline , et","bronchodilatateur Ventoline ,",le bronchodilatateur Ventoline,dont le bronchodilatateur Ventoline,", dont le bronchodilatateur Ventoline","Ventoline , et","Ventoline , et du","Ventoline , et du système"
http://leplus.nouvelobs.com/contribution/1192870-babysitting-comment-faire-une-vaste-daube-trash-sans-trop-se-fouler.html,nouvelobs.com,2014-04-24,France,ventoline/NOM/ventoline,"Après  un  petit  sketch  de  réceptionniste  bien  vulgaire  ,  ne  perds  pas  de  temps  avec  la  mise  en  place  ,  expose  rapidement  tous  tes  futurs  gags  avec  un  inventaire  à  l'  arrache  des  conneries  à  faire  dans  la  grande  baraque  des  bourgeois  :  l'  aquarium  avec  des  poissons  exotiques  ,  l'  assiette  en  porcelaine  héritée  de  papa  ,  le  perroquet  d'  espèce  rarissime  ,  la ventoline  pour  le  mioche  asthmatique  et  4  ×  4  hors  de  prix  ...",ventoline,nom,ventoline,la,le,DET,",",",",PUNCT,rarissime,rarissime,ADJ,espèce,espèce,NOUN,d',de,ADP,pour,pour,ADP,le,le,DET,mioche,mioche,NOUN,asthmatique,asthmatique,ADJ,et,et,CONJ,2014-04-24,2014,2010,PUNCT DET Ventoline ADP DET,DET Ventoline ADP,PUNCT DET Ventoline,ADJ PUNCT DET Ventoline,NOUN ADJ PUNCT DET Ventoline,Ventoline ADP DET,Ventoline ADP DET NOUN,Ventoline ADP DET NOUN ADJ,", le Ventoline pour le",le Ventoline pour,", le Ventoline","rarissime , le Ventoline","espèce rarissime , le Ventoline",Ventoline pour le,Ventoline pour le mioche,Ventoline pour le mioche asthmatique
http://sante.lefigaro.fr/actualite/2014/05/06/22307-mes-crises-dasthme-metranglent-peur,lefigaro.fr,2014-05-06,France,ventoline/NOM/ventoline,"""  Et  dans  ces  moments  ,  mieux  vaut  avoir  sa ventoline  sur  soi  .",ventoline,nom,ventoline,sa,son,DET,avoir,avoir,VERB,vaut,valoir,VERB,mieux,mieux,ADV,",",",",PUNCT,sur,sur,ADP,soi,soi,PRON,.,.,PUNCT,,,,,,,2014-05-06,2014,2010,VERB DET Ventoline ADP PRON,DET Ventoline ADP,VERB DET Ventoline,VERB VERB DET Ventoline,ADV VERB VERB DET Ventoline,Ventoline ADP PRON,Ventoline ADP PRON PUNCT,,avoir son Ventoline sur soi,son Ventoline sur,avoir son Ventoline,valoir avoir son Ventoline,mieux valoir avoir son Ventoline,Ventoline sur soi,Ventoline sur soi .,
http://sante.lefigaro.fr/actualite/2014/05/06/22307-mes-crises-dasthme-metranglent-peur,lefigaro.fr,2014-05-06,France,Ventoline/NAM/Ventoline,""" Ventoline  ,  injections  de  brycanil  ,  breva  ,  fluibron  ...",ventoline,nam,ventoline,"""","""",PUNCT,,,,,,,,,,,,,",",",",PUNCT,injections,injection,NOUN,de,de,ADP,brycanil,brycanil,NOUN,",",",",PUNCT,2014-05-06,2014,2010,,PUNCT Ventoline PUNCT,,,,Ventoline PUNCT NOUN,Ventoline PUNCT NOUN ADP,Ventoline PUNCT NOUN ADP NOUN,,""" Ventoline ,",,,,"Ventoline , injection","Ventoline , injection de","Ventoline , injection de brycanil"
http://sante.lefigaro.fr/actualite/2014/05/06/22307-mes-crises-dasthme-metranglent-peur,lefigaro.fr,2014-05-06,France,ventoline/NOM/ventoline,"À  propos  de  la ventoline  ,  elle  raconte  :  ""  C'  est  quand  on  ne  l'  a  pas  qu'  on  panique  et  qu'  on  s'  essouffle  .",ventoline,nom,ventoline,la,le,DET,de,de,ADP,propos,propos,NOUN,À,à,ADP,,,,",",",",PUNCT,elle,elle,PRON,raconte,raconter,VERB,:,:,PUNCT,"""","""",PUNCT,2014-05-06,2014,2010,ADP DET Ventoline PUNCT PRON,DET Ventoline PUNCT,ADP DET Ventoline,NOUN ADP DET Ventoline,ADP NOUN ADP DET Ventoline,Ventoline PUNCT PRON,Ventoline PUNCT PRON VERB,Ventoline PUNCT PRON VERB PUNCT,"de le Ventoline , elle","le Ventoline ,",de le Ventoline,propos de le Ventoline,à propos de le Ventoline,"Ventoline , elle","Ventoline , elle raconter","Ventoline , elle raconter :"
