url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://flu-killer.blogspot.com/2012/01/comment-faire-pour-guerir-la-grippe-8.html,blogspot.com,2015-01-31,===NONE===,Vicks_Vaporub/NAM_NAM/Vicks_Vaporub,Remplissez  votre  évier  de  salle  de  bains  ou  un  bol  en  verre  de  taille  moyenne  avec  de  l'  eau  chaude  et  ajoutez  une  cuillerée  à  café  de Vicks_Vaporub  ou  quelques  gouttes  d'  huile  mentholée  ou  d'  eucalyptus  .,vicks_vaporub,nam_nam,vicks_vaporub,de,de,ADP,café,café,NOUN,à,à,ADP,cuillerée,cuillerée,NOUN,une,un,DET,ou,ou,CONJ,quelques,quelque,PRON,gouttes,goutte,NOUN,d',de,ADP,huile,huile,NOUN,2015-01-31,2015,2010,NOUN ADP Vicks Vaporub CONJ PRON,ADP Vicks Vaporub CONJ,NOUN ADP Vicks Vaporub,ADP NOUN ADP Vicks Vaporub,NOUN ADP NOUN ADP Vicks Vaporub,Vicks Vaporub CONJ PRON,Vicks Vaporub CONJ PRON NOUN,Vicks Vaporub CONJ PRON NOUN ADP,café de Vicks Vaporub ou quelque,de Vicks Vaporub ou,café de Vicks Vaporub,à café de Vicks Vaporub,cuillerée à café de Vicks Vaporub,Vicks Vaporub ou quelque,Vicks Vaporub ou quelque goutte,Vicks Vaporub ou quelque goutte de
http://www.businesswire.com/news/home/20150305005014/fr,businesswire.com,2015-03-05,===NONE===,Vicks_VapoRub/NAM_NAM/Vicks_VapoRub,"La  famille  Vicks  inclut  :  le  baume Vicks_VapoRub  ™  ,  NyQuil  ™  ,  DayQuil  ™  et  Vicks  ®  VapoDrops  ™  .",vicks_vaporub,nam_nam,vicks_vaporub,baume,baume,NOUN,le,le,DET,:,:,PUNCT,inclut,inclure,VERB,Vicks,Vicks,PROPN,™,™,SYM,",",",",PUNCT,NyQuil,NyQuil,PROPN,™,™,SYM,",",",",PUNCT,2015-03-05,2015,2010,DET NOUN Vicks Vaporub SYM PUNCT,NOUN Vicks Vaporub SYM,DET NOUN Vicks Vaporub,PUNCT DET NOUN Vicks Vaporub,VERB PUNCT DET NOUN Vicks Vaporub,Vicks Vaporub SYM PUNCT,Vicks Vaporub SYM PUNCT PROPN,Vicks Vaporub SYM PUNCT PROPN SYM,"le baume Vicks Vaporub ™ ,",baume Vicks Vaporub ™,le baume Vicks Vaporub,: le baume Vicks Vaporub,inclure : le baume Vicks Vaporub,"Vicks Vaporub ™ ,","Vicks Vaporub ™ , NyQuil","Vicks Vaporub ™ , NyQuil ™"
http://www.laprovence.com/article/actualites/3698445/medicaments-en-vente-libre-seule-une-minorite-est-efficace.html,laprovence.com,2015-12-03,France,Vicks_vaporub/NAM_NOM/Vicks_vaporub,"Le  magazine  a  concentré  son  enquête  sur  les  61  médicaments  les  plus  vendus  tels  que  Actifed  rhume  jour  et  nuit  ,  Caliptol  inhalant  ,  Fervex  ,  Oscillococcinum  ,  Néo-Codion  ou  encore Vicks_vaporub  ,  Lysopaïne  ,  Strepsils  ,  Gaviscon  ,  Immodium  et  Microlax  .",vicks_vaporub,nam_nom,vicks_vaporub,encore,encore,ADV,ou,ou,CONJ,Néo-Codion,Néo-Codion,PROPN,",",",",PUNCT,Oscillococcinum,Oscillococcinum,PROPN,",",",",PUNCT,Lysopaïne,Lysopaïne,PROPN,",",",",PUNCT,Strepsils,Strepsils,PROPN,",",",",PUNCT,2015-12-03,2015,2010,CONJ ADV Vicks Vaporub PUNCT PROPN,ADV Vicks Vaporub PUNCT,CONJ ADV Vicks Vaporub,PROPN CONJ ADV Vicks Vaporub,PUNCT PROPN CONJ ADV Vicks Vaporub,Vicks Vaporub PUNCT PROPN,Vicks Vaporub PUNCT PROPN PUNCT,Vicks Vaporub PUNCT PROPN PUNCT PROPN,"ou encore Vicks Vaporub , Lysopaïne","encore Vicks Vaporub ,",ou encore Vicks Vaporub,Néo-Codion ou encore Vicks Vaporub,", Néo-Codion ou encore Vicks Vaporub","Vicks Vaporub , Lysopaïne","Vicks Vaporub , Lysopaïne ,","Vicks Vaporub , Lysopaïne , Strepsils"
http://www.clicanoo.re/502381-la-plupart-des-medicaments-en-vente-libre-inefficaces-voire-dangereux.html,clicanoo.re,2015-12-03,Reunion,Vicks_vaporub/NOM_NOM/Vicks_vaporub,"Sur  61  mιdicaments  ""  passιs  au  crible  ""  sous  le  contrτle  du  professeur  Jean-Paul  Giroud  ,  pharmacologue  clinicien  reconnu  et  Hιlθne  Berthelot  ,  pharmacienne  ,  seuls  13  d'  entre  eux  -comme  le  sirop  Clarix  toux  sθche  ,  Humex  adultes  toux  sθche  dextromιthorphane  abricot  , Vicks_vaporub  ,  Imodiumcaps  ,  Gaviscon  menthe  ,  Maalox  sans  sucre-  ,  sont  jugιs  efficaces  et  sans  risque  pour  le  patient  .",vicks_vaporub,nom_nom,vicks_vaporub,",",",",PUNCT,abricot,abricot,NOUN,dextromιthorphane,dextromιthorphane,ADJ,sθche,sθche,VERB,toux,toux,NOUN,",",",",PUNCT,Imodiumcaps,Imodiumcaps,PROPN,",",",",PUNCT,Gaviscon,Gaviscon,PROPN,menthe,menthe,NOUN,2015-12-03,2015,2010,NOUN PUNCT Vicks Vaporub PUNCT PROPN,PUNCT Vicks Vaporub PUNCT,NOUN PUNCT Vicks Vaporub,ADJ NOUN PUNCT Vicks Vaporub,VERB ADJ NOUN PUNCT Vicks Vaporub,Vicks Vaporub PUNCT PROPN,Vicks Vaporub PUNCT PROPN PUNCT,Vicks Vaporub PUNCT PROPN PUNCT PROPN,"abricot , Vicks Vaporub , Imodiumcaps",", Vicks Vaporub ,","abricot , Vicks Vaporub","dextromιthorphane abricot , Vicks Vaporub","sθche dextromιthorphane abricot , Vicks Vaporub","Vicks Vaporub , Imodiumcaps","Vicks Vaporub , Imodiumcaps ,","Vicks Vaporub , Imodiumcaps , Gaviscon"
http://www.lille.maville.com/actu/actudet_-automedication-haro-sur-les-medicaments-en-vente-libre_fil-2879012_actu.Htm?xtor=RSS-4&utm_source=RSS_MVI_lille&utm_medium=RSS&utm_campaign=RSS,maville.com,2015-12-03,===NONE===,Vicks_Vaporub/NAM_NAM/Vicks_Vaporub,"Il  s'  agit  de Vicks_Vaporub  ,  ou  encore  le  Clarix  toux  sèche  ,  Humex  adulte  toux  sèche  dextrométhorphane  abricot  ,  Imodiumcaps  ,  Gaviscon  menthe  ou  le  Maalox  sans  sucre  ,",vicks_vaporub,nam_nam,vicks_vaporub,de,de,ADP,agit,agir,VERB,s',se,PRON,Il,il,PRON,,,,",",",",PUNCT,ou,ou,CONJ,encore,encore,ADV,le,le,DET,Clarix,Clarix,PROPN,2015-12-03,2015,2010,VERB ADP Vicks Vaporub PUNCT CONJ,ADP Vicks Vaporub PUNCT,VERB ADP Vicks Vaporub,PRON VERB ADP Vicks Vaporub,PRON PRON VERB ADP Vicks Vaporub,Vicks Vaporub PUNCT CONJ,Vicks Vaporub PUNCT CONJ ADV,Vicks Vaporub PUNCT CONJ ADV DET,"agir de Vicks Vaporub , ou","de Vicks Vaporub ,",agir de Vicks Vaporub,se agir de Vicks Vaporub,il se agir de Vicks Vaporub,"Vicks Vaporub , ou","Vicks Vaporub , ou encore","Vicks Vaporub , ou encore le"
http://www.parismatch.com/Actu/Sante/Medicaments-en-vente-libre-Une-etude-alarmante-sur-les-effets-indesirables-875759,parismatch.com,2015-12-03,France,Vicks_Vaporub/NAM_NAM/Vicks_Vaporub,"Sur  61  médicaments  passés  au  crible  sous  leur  contrôle  pour  ""  60  millions  ""  ,  seuls  13  d'  entre  eux  sont  jugés  efficaces  et  sans  risques  pour  le  patient  (  Sirop  Clarix  toux  sèche  ,  Humex  adultes  toux  sèche  , Vicks_Vaporub  ,  Maalox  sans  sucre  ...  )  .  28  sont  tout  simplement  à  proscrire  ,  et  20  sont  classés  ""  faute  de  mieux  ""  (  faible  efficacité  mais  peu  d'  effets  indésirables  )  .",vicks_vaporub,nam_nam,vicks_vaporub,",",",",PUNCT,sèche,sèche,ADJ,toux,toux,NOUN,adultes,adulte,ADJ,Humex,Humex,ABR,",",",",PUNCT,Maalox,Maalox,NOUN,sans,sans,ADP,sucre,sucre,NOUN,...,...,PUNCT,2015-12-03,2015,2010,ADJ PUNCT Vicks Vaporub PUNCT NOUN,PUNCT Vicks Vaporub PUNCT,ADJ PUNCT Vicks Vaporub,NOUN ADJ PUNCT Vicks Vaporub,ADJ NOUN ADJ PUNCT Vicks Vaporub,Vicks Vaporub PUNCT NOUN,Vicks Vaporub PUNCT NOUN ADP,Vicks Vaporub PUNCT NOUN ADP NOUN,"sèche , Vicks Vaporub , Maalox",", Vicks Vaporub ,","sèche , Vicks Vaporub","toux sèche , Vicks Vaporub","adulte toux sèche , Vicks Vaporub","Vicks Vaporub , Maalox","Vicks Vaporub , Maalox sans","Vicks Vaporub , Maalox sans sucre"
http://www.ladepeche.fr/article/2015/12/04/2231204-rhume-toux-digestion-2-3-des-medicaments-inefficaces.html,ladepeche.fr,2015-12-04,France,Vicks_vaporub/NAM_NOM/Vicks_vaporub,"Parmi  les  plus  emblématiques  figurent  :  Actifed  rhume  jour  et  nuit  ,  Caliptol  inhalant  ,  Fervex  ,  Oscillococcinum  ,  Néo-Codion  ou  encore Vicks_vaporub  ,  Lysopaïne  ,  Strepsils  ,  Gaviscon  ,  Immodium  et  Microlax  .",vicks_vaporub,nam_nom,vicks_vaporub,encore,encore,ADV,ou,ou,CONJ,Néo-Codion,Néo-Codion,PROPN,",",",",PUNCT,Oscillococcinum,Oscillococcinum,PROPN,",",",",PUNCT,Lysopaïne,Lysopaïne,PROPN,",",",",PUNCT,Strepsils,Strepsils,PROPN,",",",",PUNCT,2015-12-04,2015,2010,CONJ ADV Vicks Vaporub PUNCT PROPN,ADV Vicks Vaporub PUNCT,CONJ ADV Vicks Vaporub,PROPN CONJ ADV Vicks Vaporub,PUNCT PROPN CONJ ADV Vicks Vaporub,Vicks Vaporub PUNCT PROPN,Vicks Vaporub PUNCT PROPN PUNCT,Vicks Vaporub PUNCT PROPN PUNCT PROPN,"ou encore Vicks Vaporub , Lysopaïne","encore Vicks Vaporub ,",ou encore Vicks Vaporub,Néo-Codion ou encore Vicks Vaporub,", Néo-Codion ou encore Vicks Vaporub","Vicks Vaporub , Lysopaïne","Vicks Vaporub , Lysopaïne ,","Vicks Vaporub , Lysopaïne , Strepsils"
http://www.lameuse.be/1458569/article/2016-01-06/oubliez-le-cou-la-poitrine-le-nez-voici-ou-mettre-la-pommade-vicks-vaporub-pour,lameuse.be,2016-01-06,Belgium,Vicks_VapoRub/NAM_NAM/Vicks_VapoRub,"<doc uri=http://www.lameuse.be/1458569/article/2016-01-06/oubliez-le-cou-la-poitrine-le-nez-voici-ou-mettre-la-pommade-vicks-vaporub-pour website=lameuse.be date=2016-01-06 source_country=Belgium> /oublier/VER:pres /le/DET:ART /cou/NOM /,/PUN /le/DET:ART /poitrine/NOM /,/PUN /le/DET:ART /nez/NOM /:/PUN /voici/ADV /où/ADV /mettre/VER:infi /le/DET:ART /pommade/NOM Vicks_VapoRub  pour  qu'  elle  soit  le  plus  efficace  lorsque  vous  ou  votre  enfant  êtes  malades",vicks_vaporub,nam_nam,vicks_vaporub,pommade,pommade,NOUN,la,le,DET,mettre,mettre,VERB,où,où,ADV,voici,voici,ADV,pour,pour,CONJ,qu',que,PRON,elle,elle,PRON,soit,être,VERB,le,le,DET,2016-01-06,2016,2010,DET NOUN Vicks Vaporub CONJ PRON,NOUN Vicks Vaporub CONJ,DET NOUN Vicks Vaporub,VERB DET NOUN Vicks Vaporub,ADV VERB DET NOUN Vicks Vaporub,Vicks Vaporub CONJ PRON,Vicks Vaporub CONJ PRON PRON,Vicks Vaporub CONJ PRON PRON VERB,le pommade Vicks Vaporub pour que,pommade Vicks Vaporub pour,le pommade Vicks Vaporub,mettre le pommade Vicks Vaporub,où mettre le pommade Vicks Vaporub,Vicks Vaporub pour que,Vicks Vaporub pour que elle,Vicks Vaporub pour que elle être
http://www.lameuse.be/1458569/article/2016-01-06/oubliez-le-cou-la-poitrine-le-nez-voici-ou-mettre-la-pommade-vicks-vaporub-pour,lameuse.be,2016-01-06,Belgium,Vicks_VapoRub/NAM_NOM/Vicks_VapoRub,"Sur  la  poitrine  ,  dans  le  cou  ou  même  sous  le  nez  ,  les  endroits  sont  nombreux  pour  mettre  du Vicks_VapoRub  en  cas  de  grippe  ,  de  toux  ,  ou  de  mal  de  gorge  .",vicks_vaporub,nam_nom,vicks_vaporub,du,du,ADP DET,mettre,mettre,VERB,pour,pour,ADP,nombreux,nombreux,ADJ,sont,être,VERB,en,en,ADP,cas,cas,NOUN,de,de,ADP,grippe,grippe,NOUN,",",",",PUNCT,2016-01-06,2016,2010,VERB ADP DET Vicks Vaporub ADP NOUN,ADP DET Vicks Vaporub ADP,VERB ADP DET Vicks Vaporub,ADP VERB ADP DET Vicks Vaporub,ADJ ADP VERB ADP DET Vicks Vaporub,Vicks Vaporub ADP NOUN,Vicks Vaporub ADP NOUN ADP,Vicks Vaporub ADP NOUN ADP NOUN,mettre du Vicks Vaporub en cas,du Vicks Vaporub en,mettre du Vicks Vaporub,pour mettre du Vicks Vaporub,nombreux pour mettre du Vicks Vaporub,Vicks Vaporub en cas,Vicks Vaporub en cas de,Vicks Vaporub en cas de grippe
http://www.lameuse.be/1458569/article/2016-01-06/oubliez-le-cou-la-poitrine-le-nez-voici-ou-mettre-la-pommade-vicks-vaporub-pour,lameuse.be,2016-01-06,Belgium,Vicks_Vaporub/NAM_NAM/Vicks_Vaporub,"En  effet  ,  selon  le  DailyMail  ,  de  nombreuses  personnes  qui  utilisent Vicks_Vaporub  ont  testé  un  nouvel  endroit  sur  lequel  se  mettre  la  ""  pommade  ""  en  cas  de  besoin  :  les  pieds  .",vicks_vaporub,nam_nam,vicks_vaporub,utilisent,utiliser,VERB,qui,qui,PRON,personnes,personne,NOUN,nombreuses,nombreux,ADJ,de,de,ADP,ont,avoir,VERB,testé,tester,VERB,un,un,DET,nouvel,nouveau,ADJ,endroit,endroit,NOUN,2016-01-06,2016,2010,PRON VERB Vicks Vaporub VERB VERB,VERB Vicks Vaporub VERB,PRON VERB Vicks Vaporub,NOUN PRON VERB Vicks Vaporub,ADJ NOUN PRON VERB Vicks Vaporub,Vicks Vaporub VERB VERB,Vicks Vaporub VERB VERB DET,Vicks Vaporub VERB VERB DET ADJ,qui utiliser Vicks Vaporub avoir tester,utiliser Vicks Vaporub avoir,qui utiliser Vicks Vaporub,personne qui utiliser Vicks Vaporub,nombreux personne qui utiliser Vicks Vaporub,Vicks Vaporub avoir tester,Vicks Vaporub avoir tester un,Vicks Vaporub avoir tester un nouveau
