url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lesoir.be/470006/article/actualite/sciences-et-sante/2014-02-17/liste-des-medicaments-contestables-et-eviter-selon-test-achats,lesoir.be,2014-02-17,Belgium,Voltaren/NAM/Voltaren,"o  Certains  médicaments  utilisés  en  cas  de  douleurs  et  d'  inflammations  :  Diclofenac  (  Cataflam  ,  Diclofenac  EG  et  autres  génériques  , Voltaren  ...  )  ,  etoricoxib  (  Arcoxia  )  ,  meloxicam  (  Meloxicam  Mylan  en  andere  generieken  ,  Mobic  )  ,  tenoxicam  (  Tilcotil  )",voltaren,nam,voltaren,",",",",PUNCT,génériques,générique,NOUN,autres,autre,ADJ,et,et,CONJ,EG,EG,PROPN,...,...,PUNCT,),),PUNCT,",",",",PUNCT,etoricoxib,etoricoxib,NOUN,(,(,PUNCT,2014-02-17,2014,2010,NOUN PUNCT Voltaren PUNCT PUNCT,PUNCT Voltaren PUNCT,NOUN PUNCT Voltaren,ADJ NOUN PUNCT Voltaren,CONJ ADJ NOUN PUNCT Voltaren,Voltaren PUNCT PUNCT,Voltaren PUNCT PUNCT PUNCT,Voltaren PUNCT PUNCT PUNCT NOUN,"générique , Voltaren ... )",", Voltaren ...","générique , Voltaren","autre générique , Voltaren","et autre générique , Voltaren",Voltaren ... ),"Voltaren ... ) ,","Voltaren ... ) , etoricoxib"
http://www.romandie.com/news/GSK-se-renforce-dans-les-vaccins-et-le-grand-public-au-detriment-de/470258.rom,romandie.com,2014-04-22,Switzerland,Voltaren/NAM/Voltaren,"Dans  la  santé  grand  public  ,  GSK  -  qui  détient  de  célèbres  marques  comme  les  dentifrices  Aquafresh  ou  les  produits  anti-tabac  Nicorette  -  va  prendre  le  contrôle  de  marques  de  Novartis  comme  l'  anti-douleur Voltaren  ,  le  médicament  contre  les  maux  de  tête  Excedrin  ou  celui  contre  les  rhumes  et  les  états  grippaux  Theraflu  .",voltaren,nam,voltaren,anti-douleur,anti-douleur,NOUN,l',le,DET,comme,comme,CONJ,Novartis,Novartis,PROPN,de,de,ADP,",",",",PUNCT,le,le,DET,médicament,médicament,NOUN,contre,contre,ADP,les,le,DET,2014-04-22,2014,2010,DET NOUN Voltaren PUNCT DET,NOUN Voltaren PUNCT,DET NOUN Voltaren,CONJ DET NOUN Voltaren,PROPN CONJ DET NOUN Voltaren,Voltaren PUNCT DET,Voltaren PUNCT DET NOUN,Voltaren PUNCT DET NOUN ADP,"le anti-douleur Voltaren , le","anti-douleur Voltaren ,",le anti-douleur Voltaren,comme le anti-douleur Voltaren,Novartis comme le anti-douleur Voltaren,"Voltaren , le","Voltaren , le médicament","Voltaren , le médicament contre"
http://www.leparisien.fr/laparisienne/sante/pharmacie-vaste-accord-entre-le-britannique-gsk-et-le-suisse-novartis-22-04-2014-3786159.php,leparisien.fr,2014-04-22,France,Voltaren/NAM/Voltaren,"Chez  Novartis  ,  cela  représentent  des  produits  tels  que  le  Nicotinell  (  antitabac  )  ,  le  Dynamisan  Forte  (  fortifiant  )  ,  le  Merfen  (  traitement  des  petites  blessures  )  ,  ou  le Voltaren  Dolo  (  douleurs  dorsales  )  .",voltaren,nam,voltaren,le,le,DET,ou,ou,CONJ,",",",",PUNCT,),),PUNCT,blessures,blessure,NOUN,Dolo,Dolo,PROPN,(,(,PUNCT,douleurs,douleur,NOUN,dorsales,dorsal,ADJ,),),PUNCT,2014-04-22,2014,2010,CONJ DET Voltaren PROPN PUNCT,DET Voltaren PROPN,CONJ DET Voltaren,PUNCT CONJ DET Voltaren,PUNCT PUNCT CONJ DET Voltaren,Voltaren PROPN PUNCT,Voltaren PROPN PUNCT NOUN,Voltaren PROPN PUNCT NOUN ADJ,ou le Voltaren Dolo (,le Voltaren Dolo,ou le Voltaren,", ou le Voltaren",") , ou le Voltaren",Voltaren Dolo (,Voltaren Dolo ( douleur,Voltaren Dolo ( douleur dorsal
http://www.rtn.ch/Scripts/Index.aspx?id=2802409,rtn.ch,2014-09-08,Switzerland,Voltaren/NAM/Voltaren,"En  médecine  humaine  ,  la  substance  incriminée  est  par  exemple  contenue  dans  les  anti-inflammatoires Voltaren  . </doc>",voltaren,nam,voltaren,anti-inflammatoires,anti-inflammatoire,ADJ,les,le,DET,dans,dans,ADP,contenue,contenir,VERB,exemple,exemple,NOUN,.,.,PUNCT,</doc>,,,,,,,,,,,,2014-09-08,2014,2010,,ADJ Voltaren PUNCT,DET ADJ Voltaren,ADP DET ADJ Voltaren,VERB ADP DET ADJ Voltaren,,,,,anti-inflammatoire Voltaren .,le anti-inflammatoire Voltaren,dans le anti-inflammatoire Voltaren,contenir dans le anti-inflammatoire Voltaren,,,
http://www.techno-science.net/?onglet=news&news=13183,techno-science.net,2014-09-24,===NONE===,voltaren/NOM/voltaren,"Elle  peut  être  localisée  ou  ...  )  en  plaques  ...  )  ,  présentent  la  particularité  d'  être  résistantes  aux  différents  antalgiques  utilisés  en  clinique  tels  que  les  dérivés  morphiniques  ou  anti-inflammatoires  non-stéroïdiens  comme  l'  ibuprofen  ou  le voltaren  .",voltaren,nom,voltaren,le,le,DET,ou,ou,CONJ,ibuprofen,ibuprofen,NOUN,l',le,DET,comme,comme,CONJ,.,.,PUNCT,,,,,,,,,,,,,2014-09-24,2014,2010,,DET Voltaren PUNCT,CONJ DET Voltaren,NOUN CONJ DET Voltaren,DET NOUN CONJ DET Voltaren,,,,,le Voltaren .,ou le Voltaren,ibuprofen ou le Voltaren,le ibuprofen ou le Voltaren,,,
http://www.zonebourse.com/NOVARTIS-AG-9364983/actualite/Novartis--a-enregistre-au-troisieme-trimestre-une-solide-croissance-de-ses-ventes-avec-une-forte-19264741/,zonebourse.com,2014-10-28,===NONE===,Voltaren/NAM/Voltaren,"En  ce  qui  concerne  les  marques  , Voltaren  a  été  un  moteur  clé  de  croissance  d'  OTC  .",voltaren,nam,voltaren,",",",",PUNCT,marques,marque,NOUN,les,le,DET,concerne,concerner,VERB,qui,qui,PRON,a,avoir,VERB,été,être,VERB,un,un,DET,moteur,moteur,ADJ,clé,clé,NOUN,2014-10-28,2014,2010,NOUN PUNCT Voltaren VERB VERB,PUNCT Voltaren VERB,NOUN PUNCT Voltaren,DET NOUN PUNCT Voltaren,VERB DET NOUN PUNCT Voltaren,Voltaren VERB VERB,Voltaren VERB VERB DET,Voltaren VERB VERB DET ADJ,"marque , Voltaren avoir être",", Voltaren avoir","marque , Voltaren","le marque , Voltaren","concerner le marque , Voltaren",Voltaren avoir être,Voltaren avoir être un,Voltaren avoir être un moteur
http://www.zonebourse.com/NOVARTIS-AG-9364983/actualite/Novartis--a-enregistre-au-troisieme-trimestre-une-solide-croissance-de-ses-ventes-avec-une-forte-19264741/,zonebourse.com,2014-10-28,===NONE===,Voltaren/NAM/Voltaren,"Le  résultat  opérationnel  a  atteint  USD  169  millions  ,  comparé  à  USD  90  millions  au  troisième  trimestre  2013  ,  hausse  due  principalement  à  une  accélération  des  ventes  de Voltaren  dégageant  une  marge  brute  plus  élevée  et  au  succès  des  produits  relancés  .",voltaren,nam,voltaren,de,de,ADP,ventes,vente,NOUN,des,du,ADP DET,accélération,accélération,NOUN,une,un,DET,dégageant,dégager,VERB,une,un,DET,marge,marge,NOUN,brute,brut,ADJ,plus,plus,ADV,2014-10-28,2014,2010,NOUN ADP Voltaren VERB DET,ADP Voltaren VERB,NOUN ADP Voltaren,ADP DET NOUN ADP Voltaren,NOUN ADP DET NOUN ADP Voltaren,Voltaren VERB DET,Voltaren VERB DET NOUN,Voltaren VERB DET NOUN ADJ,vente de Voltaren dégager un,de Voltaren dégager,vente de Voltaren,du vente de Voltaren,accélération du vente de Voltaren,Voltaren dégager un,Voltaren dégager un marge,Voltaren dégager un marge brut
http://www.dhnet.be/regions/mons-centre/cinema-et-publicites-547f663635707696bacc4f79,dhnet.be,2014-12-03,Belgium,Voltaren/NAM/Voltaren,"""  Rayon  publicité  ,  j'  ai  tourné  dans  un  spot  TV  de  Philip  Morris  ,  dans  une  pub  pour Voltaren  .",voltaren,nam,voltaren,pour,pour,ADP,pub,pub,NOUN,une,un,DET,dans,dans,ADP,",",",",PUNCT,.,.,PUNCT,,,,,,,,,,,,,2014-12-03,2014,2010,,ADP Voltaren PUNCT,NOUN ADP Voltaren,DET NOUN ADP Voltaren,ADP DET NOUN ADP Voltaren,,,,,pour Voltaren .,pub pour Voltaren,un pub pour Voltaren,dans un pub pour Voltaren,,,
http://www.lefigaro.fr/conjoncture/2014/12/15/20002-20141215ARTFIG00377-les-medecins-sommes-de-mieux-ecrire-les-ordonnances.php,lefigaro.fr,2014-12-16,France,Voltarene/NAM/Voltarene,"Plutôt  que  de  l'  Efferalgan  ,  du Voltarene  ou  encore  du  Crestor  ,  ils  prescriront  désormais  du  paracétamol  ,  du  diclofénac  ou  de  la  rosuvastatine  .",voltarene,nam,voltarene,du,du,ADP DET,",",",",PUNCT,Efferalgan,Efferalgan,NOUN,l',le,DET,de,de,ADP,ou,ou,CONJ,encore,encore,ADV,du,du,ADP DET,Crestor,Crestor,PROPN,",",",",PUNCT,2014-12-16,2014,2010,PUNCT ADP DET Voltaren CONJ ADV,ADP DET Voltaren CONJ,PUNCT ADP DET Voltaren,NOUN PUNCT ADP DET Voltaren,DET NOUN PUNCT ADP DET Voltaren,Voltaren CONJ ADV,Voltaren CONJ ADV ADP DET,Voltaren CONJ ADV ADP DET PROPN,", du Voltaren ou encore",du Voltaren ou,", du Voltaren","Efferalgan , du Voltaren","le Efferalgan , du Voltaren",Voltaren ou encore,Voltaren ou encore du,Voltaren ou encore du Crestor
http://www.largeur.com/?p=4319,largeur.com,2014-12-23,===NONE===,Voltaren/NAM/Voltaren,"""  De  nombreux  échantillons  contenaient  des  antidouleurs  de  type Voltaren  ,  ce  qui  n'  était  d'ailleurs  pas  déclaré  dans  la  posologie  du  médicament  ,  détaille  Ruth  Mosimann  .",voltaren,nam,voltaren,type,type,NOUN,de,de,ADP,antidouleurs,antidouleurs,NOUN,des,du,ADP DET,contenaient,contenir,VERB,",",",",PUNCT,ce,ce,PRON,qui,qui,PRON,n',ne,ADV,était,être,VERB,2014-12-23,2014,2010,ADP NOUN Voltaren PUNCT PRON,NOUN Voltaren PUNCT,ADP NOUN Voltaren,NOUN ADP NOUN Voltaren,ADP DET NOUN ADP NOUN Voltaren,Voltaren PUNCT PRON,Voltaren PUNCT PRON PRON,Voltaren PUNCT PRON PRON ADV,"de type Voltaren , ce","type Voltaren ,",de type Voltaren,antidouleurs de type Voltaren,du antidouleurs de type Voltaren,"Voltaren , ce","Voltaren , ce qui","Voltaren , ce qui ne"
