url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://es.noticias.yahoo.com/quot-brujo-quot-regresa-barcelona-quot-odisea-quot-163409875.html,yahoo.com,2014-01-14,United States,after_eight/NCMS000_NCMS000/after_eight,"<doc uri=http://es.noticias.yahoo.com/quot-brujo-quot-regresa-barcelona-quot-odisea-quot-163409875.html website=yahoo.com date=2014-01-14 source_country=United States> /""/Fe /the/NP00000 /sorcerer/VMN0000 /'/Fe /returns/NCMP000 /to/AQ0MS0 /barcelona/NP00000 /with/AQ0CN0 /'/Fe /the/NCFS000 /odyssey/NCFS000 /'/Fe after_eight  years  of  absence",after_eight,ncms000_ncms000,after_eight,',',Fe,odyssey,odyssey,NCFS000,the,the,NCFS000,',',Fe,with,with,AQ0CN0,years,years,NCMP000,of,of,NCMS000,absence,absence,NCMS000,,,,,,,2014-01-14,2014,2010,NCFS000 Fe After Eight NCMP000 NCMS000,Fe After Eight NCMP000,NCFS000 Fe After Eight,NCFS000 NCFS000 Fe After Eight,Fe NCFS000 NCFS000 Fe After Eight,After Eight NCMP000 NCMS000,After Eight NCMP000 NCMS000 NCMS000,,odyssey ' After Eight years of,' After Eight years,odyssey ' After Eight,the odyssey ' After Eight,' the odyssey ' After Eight,After Eight years of,After Eight years of absence,
http://cincodias.com/cincodias/2014/01/24/sentidos/1390597478_373644.html,cincodias.com,2014-01-25,===NONE===,after_eight/NCMS000_NCMS000/after_eight,"El  precio  es  de  35  euros  e  incluye  cinco  aperitivos  ,  que  pueden  ser  una  crema  de  champiñón  con  queso  parmesano  gallego  (  este  tipo  de  queso  también  se  hace  en  Galicia  ,  ya  que  su  productor  fue  contratado  por  una  empresa  italiana  para  elaborarlo  y  ,  aunque  el  acuerdo  no  salió  adelante  ,  ahora  lo  comercializa  añadiéndole  al  tipo  de  queso  el  lugar  de  origen  )  ;  navaja-gin  tonic  ,  preparada  con  la  ginebra  gallega  Nordés  ;  unos  refrescantes  mejillones  en  escabeche  de  frutas  ;  un  salmón after_eight  marinado  en  soja  con  wasabi  ,  y  jurel  con  tomatada  ,  donde  se  juega  con  el  frío  y  el  caliente  .",after_eight,ncms000_ncms000,after_eight,salmón,salmón,NCMS000,un,uno,DI0MS0,;,;,Fx,frutas,fruto,NCFP000,de,de,SPS00,marinado,marinar,VMP00SM,en,en,SPS00,soja,soja,NCFS000,con,con,SPS00,wasabi,wasabi,AQ0CN0,2014-01-25,2014,2010,DI0MS0 NCMS000 After Eight VMP00SM SPS00,NCMS000 After Eight VMP00SM,DI0MS0 NCMS000 After Eight,Fx DI0MS0 NCMS000 After Eight,NCFP000 Fx DI0MS0 NCMS000 After Eight,After Eight VMP00SM SPS00,After Eight VMP00SM SPS00 NCFS000,After Eight VMP00SM SPS00 NCFS000 SPS00,uno salmón After Eight marinar en,salmón After Eight marinar,uno salmón After Eight,; uno salmón After Eight,fruto ; uno salmón After Eight,After Eight marinar en,After Eight marinar en soja,After Eight marinar en soja con
http://opinion.as.com/opinion/2014/02/17/portada/1392596765_260495.html,as.com,2014-02-18,===NONE===,After_Eight/NP00000_NP00000/after_eight,"Para  homenajear  al After_Eight  (  famosas  chocolatinas  mentoladas  pensadas  para  el  pecado  y  el  alterne  )  ,  la  segunda  equipación  de  España  en  el  Mundial  de  Brasil  será  negra  con  ribetes  verdes  .",after_eight,np00000_np00000,after_eight,al,a+el,SPS00+DA0MS0,homenajear,homenajear,VMN0000,Para,para,SPS00,,,,,,,(,(,Fpa,famosas,famoso,AQ0FP0,chocolatinas,chocolatina,NCFP000,mentoladas,mentolado,AQ0FP0,pensadas,pensar,VMP00PF,2014-02-18,2014,2010,VMN0000 SPS00+DA0MS0 After Eight Fpa AQ0FP0,SPS00+DA0MS0 After Eight Fpa,VMN0000 SPS00+DA0MS0 After Eight,SPS00 VMN0000 SPS00+DA0MS0 After Eight,,After Eight Fpa AQ0FP0,After Eight Fpa AQ0FP0 NCFP000,After Eight Fpa AQ0FP0 NCFP000 AQ0FP0,homenajear a+el After Eight ( famoso,a+el After Eight (,homenajear a+el After Eight,para homenajear a+el After Eight,,After Eight ( famoso,After Eight ( famoso chocolatina,After Eight ( famoso chocolatina mentolado
http://ccaa.elpais.com/ccaa/2014/03/06/madrid/1394140325_305977.html,elpais.com,2014-03-07,Spain,After_Eight/NP00000_NP00000/after_eight,"La  exquisita  voz  de  la  británica  Rachelle  Bentley  ,  casi  siempre  al  servicio  del  jazz  ,  viene  a  estrenar  en  el  ciclo  Ellas  crean  ,  su  nuevo  disco After_Eight  ,  en  el  que  mañana  también  participa  el  cuarteto  femenino  español  Spin  Gospel  Show  .",after_eight,np00000_np00000,after_eight,disco,disco,NCMS000,nuevo,nuevo,AQ0MS0,su,su,DP3CS0,",",",",Fc,crean,crear,VMIP3P0,",",",",Fc,en,en,SPS00,el,el,DA0MS0,que,que,PR0CN000,mañana,mañana,RG,2014-03-07,2014,2010,AQ0MS0 NCMS000 After Eight Fc SPS00,NCMS000 After Eight Fc,AQ0MS0 NCMS000 After Eight,DP3CS0 AQ0MS0 NCMS000 After Eight,Fc DP3CS0 AQ0MS0 NCMS000 After Eight,After Eight Fc SPS00,After Eight Fc SPS00 DA0MS0,After Eight Fc SPS00 DA0MS0 PR0CN000,"nuevo disco After Eight , en","disco After Eight ,",nuevo disco After Eight,su nuevo disco After Eight,", su nuevo disco After Eight","After Eight , en","After Eight , en el","After Eight , en el que"
http://www.lavozdegalicia.es/noticia/pontevedra/2014/03/11/detenido-tras-ocho-robos-fuerza-establecimientos-ciudad/00031394555956177809446.htm,lavozdegalicia.es,2014-03-12,Spain,after_eight/NCMS000_NCMS000/after_eight,<doc uri=http://www.lavozdegalicia.es/noticia/pontevedra/2014/03/11/detenido-tras-ocho-robos-fuerza-establecimientos-ciudad/00031394555956177809446.htm website=lavozdegalicia.es date=2014-03-12 source_country=Spain> /arrested/NP00000 after_eight  robbery  with  force  in  establishments  in  the  city,after_eight,ncms000_ncms000,after_eight,Arrested,arrested,NP00000,,,,,,,,,,,,,robbery,robbery,RG,with,with,AQ0CN0,force,force,VMIP3S0,in,in,RG,establishments,establishments,NCMP000,2014-03-12,2014,2010,,NP00000 After Eight RG,,,,After Eight RG AQ0CN0,After Eight RG AQ0CN0 VMIP3S0,After Eight RG AQ0CN0 VMIP3S0 RG,,arrested After Eight robbery,,,,After Eight robbery with,After Eight robbery with force,After Eight robbery with force in
http://deportes.elpais.com/deportes/2014/03/16/actualidad/1394967159_259952.html,elpais.com,2014-03-16,Spain,after_eight/NCMS000_NCMS000/after_eight,<doc uri=http://deportes.elpais.com/deportes/2014/03/16/actualidad/1394967159_259952.html website=elpais.com date=2014-03-16 source_country=Spain> /alejandro/NP00000 /canizares/NP00000 /conquest/NCMS000 /his/AQ0CS0 /second/NC00000 /title/NCCS000 after_eight  years,after_eight,ncms000_ncms000,after_eight,title,title,NCCS000,second,second,NC00000,his,his,AQ0CS0,conquest,conquest,NCMS000,Canizares,canizares,NP00000,years,years,NCMP000,,,,,,,,,,,,,2014-03-16,2014,2010,,NCCS000 After Eight NCMP000,NC00000 NCCS000 After Eight,AQ0CS0 NC00000 NCCS000 After Eight,NCMS000 AQ0CS0 NC00000 NCCS000 After Eight,,,,,title After Eight years,second title After Eight,his second title After Eight,conquest his second title After Eight,,,
http://www.infolibre.es/noticias/economia/2014/03/20/la_afiliacion_extranjeros_crece_tras_ocho_meses_consecutivos_caidas_14769_1011.html,infolibre.es,2014-03-21,Spain,after_eight/VMN0000_NCMS000/after_eight,<doc uri=http://www.infolibre.es/noticias/economia/2014/03/20/la_afiliacion_extranjeros_crece_tras_ocho_meses_consecutivos_caidas_14769_1011.html website=infolibre.es date=2014-03-21 source_country=Spain> /membership/NP00000 /of/NCMS000 /foreigners/NCMP000 /grew/VMIP3S0 /0.38/Z /%/Ft /in/NCMS000 /february/NP00000 after_eight  months  of  falls,after_eight,vmn0000_ncms000,after_eight,February,february,NP00000,in,in,NCMS000,%,%,Ft,0.38,0.38,Z,grew,grew,VMIP3S0,months,months,AQ0MP0,of,of,NCMS000,falls,falls,NC00000,,,,,,,2014-03-21,2014,2010,NCMS000 NP00000 After Eight AQ0MP0 NCMS000,NP00000 After Eight AQ0MP0,NCMS000 NP00000 After Eight,Ft NCMS000 NP00000 After Eight,Z Ft NCMS000 NP00000 After Eight,After Eight AQ0MP0 NCMS000,After Eight AQ0MP0 NCMS000 NC00000,,in february After Eight months of,february After Eight months,in february After Eight,% in february After Eight,0.38 % in february After Eight,After Eight months of,After Eight months of falls,
http://www.eluniversal.com/arte-y-entretenimiento/cultura/140326/tras-ocho-semanas-de-exito-culmina-el-ciclo-bach,eluniversal.com,2014-03-26,Venezuela,After_eight/NP00000_NCMS000/after_eight,<doc uri=http://www.eluniversal.com/arte-y-entretenimiento/cultura/140326/tras-ocho-semanas-de-exito-culmina-el-ciclo-bach website=eluniversal.com date=2014-03-26 source_country=Venezuela> After_eight  weeks  of  success  culminates  the  cycle  bach,after_eight,np00000_ncms000,after_eight,,,,,,,,,,,,,,,,weeks,weeks,AQ0MP0,of,of,NCMS000,success,success,NC00000,culminates,culminates,NCMP000,the,the,RG,2014-03-26,2014,2010,,,,,,After Eight AQ0MP0 NCMS000,After Eight AQ0MP0 NCMS000 NC00000,After Eight AQ0MP0 NCMS000 NC00000 NCMP000,,,,,,After Eight weeks of,After Eight weeks of success,After Eight weeks of success culminates
http://contacto-latino.com/es/noticias/201401/202323641/carlos-larrain-palabras-al-cierre-tras-ocho-anos-al-frente-de-rn-latercera/,contacto-latino.com,2014-05-28,===NONE===,after_eight/VMN0000_NCMS000/after_eight,"<doc uri=http://contacto-latino.com/es/noticias/201401/202323641/carlos-larrain-palabras-al-cierre-tras-ocho-anos-al-frente-de-rn-latercera/ website=contacto-latino.com date=2014-05-28 source_country=> /carlos/NP00000 /larraín/NP00000 /,/Fc /words/NCMP000 /to/NCMS000 /closure/VMSP3S0 after_eight  years  at  the  forefront  of  RN  -  latercera",after_eight,vmn0000_ncms000,after_eight,closure,closure,VMSP3S0,to,to,NCMS000,words,words,NCMP000,",",",",Fc,Larraín,larraín,NP00000,years,years,NCMP000,at,at,NCFS000,the,the,NCFS000,forefront,forefront,NCMS000,of,of,NCMS000,2014-05-28,2014,2010,NCMS000 VMSP3S0 After Eight NCMP000 NCFS000,VMSP3S0 After Eight NCMP000,NCMS000 VMSP3S0 After Eight,NCMP000 NCMS000 VMSP3S0 After Eight,Fc NCMP000 NCMS000 VMSP3S0 After Eight,After Eight NCMP000 NCFS000,After Eight NCMP000 NCFS000 NCFS000,After Eight NCMP000 NCFS000 NCFS000 NCMS000,to closure After Eight years at,closure After Eight years,to closure After Eight,words to closure After Eight,", words to closure After Eight",After Eight years at,After Eight years at the,After Eight years at the forefront
http://www.lanzadigital.com/news/show/gastronomia/algo-muy-britanico-la-menta/31328,lanzadigital.com,2014-07-11,Spain,after_eight/NCMS000_NCMS000/after_eight,"Y  pocas  cosas  habrá  tan  inequívocamente  ""  british  ""  como  los  chocolates  llamados  "" after_eight  ""  ,  en  los  que  dos  láminas  de  excelente  chocolate  inglés  encierran  un  poco  de  crema  de  menta  .",after_eight,ncms000_ncms000,after_eight,"""","""",Fe,llamados,llamar,VMP00PM,chocolates,chocolate,NCMP000,los,el,DA0MP0,como,como,CS,"""","""",Fe,",",",",Fc,en,en,SPS00,los,el,DA0MP0,que,que,PR0CN000,2014-07-11,2014,2010,VMP00PM Fe After Eight Fe Fc,Fe After Eight Fe,VMP00PM Fe After Eight,NCMP000 VMP00PM Fe After Eight,DA0MP0 NCMP000 VMP00PM Fe After Eight,After Eight Fe Fc,After Eight Fe Fc SPS00,After Eight Fe Fc SPS00 DA0MP0,"llamar "" After Eight "" ,",""" After Eight ""","llamar "" After Eight","chocolate llamar "" After Eight","el chocolate llamar "" After Eight","After Eight "" ,","After Eight "" , en","After Eight "" , en el"
