url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.eitb.com/es/cultura/musica/detalle/2534524/atlantikaldia-errenteria-2014--reune-musica-atlantico/?utm_campaign=General&utm_medium=RSS&utm_source=Cultura,eitb.com,2014-09-10,Spain,Atlantikaldia/NP00000/atlantikaldia,<doc uri=http://www.eitb.com/es/cultura/musica/detalle/2534524/atlantikaldia-errenteria-2014--reune-musica-atlantico/?utm_campaign=General&utm_medium=RSS&utm_source=Cultura website=eitb.com date=2014-09-10 source_country=Spain> /errenteria/NP00000 /reunir/VMIP3S0 /el/DA0FS0 /música/NCFS000 /de+el/SPS00+DA0MS0 /atlántico/NP00000 /en/SPS00 /el/DA0MS0 /festival/NCMS000 Atlantikaldia ,atlantikaldia,np00000,atlantikaldia,festival,festival,NCMS000,el,el,DA0MS0,en,en,SPS00,Atlántico,atlántico,NP00000,del,de+el,SPS00+DA0MS0,,,,,,,,,,,,,,,,2014-09-10,2014,2010,,,DA0MS0 NCMS000 Antikal,SPS00 DA0MS0 NCMS000 Antikal,NP00000 SPS00 DA0MS0 NCMS000 Antikal,,,,,,el festival Antikal,en el festival Antikal,atlántico en el festival Antikal,,,
http://www.eitb.com/es/cultura/musica/detalle/2534524/atlantikaldia-errenteria-2014--reune-musica-atlantico/?utm_campaign=General&utm_medium=RSS&utm_source=Cultura,eitb.com,2014-09-10,Spain,Atlantikaldia/NP00000/atlantikaldia,"La  música  de  los  pueblos  del  Atlántico  será  la  protagonista  del  festival Atlantikaldia  ,  que  se  celebrará  en  Errenteria  y  que  trata  de  recuperar  la  memoria  histórica  de  esta  localidad  guipuzcoana  que  mantuvo  una  estrecha  relación  con  el  mar  y  fue  un  punto  importante  de  la  construcción  naval  .",atlantikaldia,np00000,atlantikaldia,festival,festival,NCMS000,del,de+el,SPS00+DA0MS0,protagonista,protagonista,NCCS000,la,el,DA0FS0,será,ser,VSIF3S0,",",",",Fc,que,que,PR0CN000,se,se,P00CN000,celebrará,celebrar,VMIF3S0,en,en,SPS00,2014-09-10,2014,2010,SPS00+DA0MS0 NCMS000 Antikal Fc PR0CN000,NCMS000 Antikal Fc,SPS00+DA0MS0 NCMS000 Antikal,NCCS000 SPS00+DA0MS0 NCMS000 Antikal,DA0FS0 NCCS000 SPS00+DA0MS0 NCMS000 Antikal,Antikal Fc PR0CN000,Antikal Fc PR0CN000 P00CN000,Antikal Fc PR0CN000 P00CN000 VMIF3S0,"de+el festival Antikal , que","festival Antikal ,",de+el festival Antikal,protagonista de+el festival Antikal,el protagonista de+el festival Antikal,"Antikal , que","Antikal , que se","Antikal , que se celebrar"
http://www.eitb.com/es/cultura/musica/detalle/2534524/atlantikaldia-errenteria-2014--reune-musica-atlantico/?utm_campaign=General&utm_medium=RSS&utm_source=Cultura,eitb.com,2014-09-10,Spain,Atlantikaldia/NP00000/atlantikaldia,"Un  total  de  16  conciertos  integran  la  programación  del Atlantikaldia  ,  que  incluye  además  exposiciones  y  conferencias  sobre  trajes  del  siglo  XVI  ,  la  tonelería  o  la  cordelería  ,  espectáculos  además  de  un  mercado  artesanal  ,  funciones  de  baile  ,  conferencias  y  visitas  guiadas  . </doc>",atlantikaldia,np00000,atlantikaldia,del,de+el,SPS00+DA0MS0,programación,programación,NCFS000,la,el,DA0FS0,integran,integrar,VMIP3P0,conciertos,concierto,NCMP000,",",",",Fc,que,que,PR0CN000,incluye,incluir,VMIP3S0,además,además,RG,exposiciones,exposición,NCFP000,2014-09-10,2014,2010,NCFS000 SPS00+DA0MS0 Antikal Fc PR0CN000,SPS00+DA0MS0 Antikal Fc,NCFS000 SPS00+DA0MS0 Antikal,DA0FS0 NCFS000 SPS00+DA0MS0 Antikal,VMIP3P0 DA0FS0 NCFS000 SPS00+DA0MS0 Antikal,Antikal Fc PR0CN000,Antikal Fc PR0CN000 VMIP3S0,Antikal Fc PR0CN000 VMIP3S0 RG,"programación de+el Antikal , que","de+el Antikal ,",programación de+el Antikal,el programación de+el Antikal,integrar el programación de+el Antikal,"Antikal , que","Antikal , que incluir","Antikal , que incluir además"
http://www.diariovasco.com/planes/201509/16/atlantikaldia-kalakan-carlos-nunez-20150916002001-v.html,diariovasco.com,2015-09-16,Spain,Atlantikaldia/NP00000/atlantikaldia,"<doc uri=http://www.diariovasco.com/planes/201509/16/atlantikaldia-kalakan-carlos-nunez-20150916002001-v.html website=diariovasco.com date=2015-09-16 source_country=Spain> Atlantikaldia  ,  Kalakan  Carlos  Núñez",atlantikaldia,np00000,atlantikaldia,,,,,,,,,,,,,,,,",",",",Fc,Kalakan,kalakan,NP00000,Carlos,carlos,NP00000,Núñez,núñez,NP00000,,,,2015-09-16,2015,2010,,,,,,Antikal Fc NP00000,Antikal Fc NP00000 NP00000,Antikal Fc NP00000 NP00000 NP00000,,,,,,"Antikal , kalakan","Antikal , kalakan carlos","Antikal , kalakan carlos núñez"
http://www.diariovasco.com/planes/201509/16/atlantikaldia-kalakan-carlos-nunez-20150916002001-v.html,diariovasco.com,2015-09-16,Spain,Atlantikaldia/NP00000/atlantikaldia,"Las  calles  de  Errenteria  se  llenarán  durante  los  próximos  cuatro  días  de  actividades  culturales  con  conciertos  ,  exposiciones  ,  mercados  artesanos  ,  bailes  ,  visitas  guiadas  o  juegos  ,  entre  otros  ,  gracias  a  la  segunda  edición  de Atlantikaldia  .",atlantikaldia,np00000,atlantikaldia,de,de,SPS00,edición,edición,NCFS000,segunda,2,AO0FS0,la,el,DA0FS0,a,a,SPS00,.,.,Fp,,,,,,,,,,,,,2015-09-16,2015,2010,,SPS00 Antikal Fp,NCFS000 SPS00 Antikal,AO0FS0 NCFS000 SPS00 Antikal,DA0FS0 AO0FS0 NCFS000 SPS00 Antikal,,,,,de Antikal .,edición de Antikal,2 edición de Antikal,el 2 edición de Antikal,,,
http://www.diariovasco.com/planes/201509/16/atlantikaldia-kalakan-carlos-nunez-20150916002001-v.html,diariovasco.com,2015-09-16,Spain,Atlantikaldia/NP00000/atlantikaldia,"Muchos  grupos  de  la  zona  se  han  sumado  a Atlantikaldia  ,  porque  en  Errenteria  también  conviven  muchas  culturas  ""  ,  recalcó  Landa  .",atlantikaldia,np00000,atlantikaldia,a,a,SPS00,sumado,sumar,VMP00SM,han,haber,VAIP3P0,se,se,P00CN000,zona,zona,NCFS000,",",",",Fc,porque,porque,CS,en,en,SPS00,Errenteria,errenteria,NP00000,también,también,RG,2015-09-16,2015,2010,VMP00SM SPS00 Antikal Fc CS,SPS00 Antikal Fc,VMP00SM SPS00 Antikal,VAIP3P0 VMP00SM SPS00 Antikal,P00CN000 VAIP3P0 VMP00SM SPS00 Antikal,Antikal Fc CS,Antikal Fc CS SPS00,Antikal Fc CS SPS00 NP00000,"sumar a Antikal , porque","a Antikal ,",sumar a Antikal,haber sumar a Antikal,se haber sumar a Antikal,"Antikal , porque","Antikal , porque en","Antikal , porque en errenteria"
http://www.diariovasco.com/planes/201509/16/atlantikaldia-kalakan-carlos-nunez-20150916002001-v.html,diariovasco.com,2015-09-16,Spain,www.atlantikaldia.eus/NCMN000/www.atlantikaldia.eus,"El  programa  completo  del  festival  ,  del  que  todas  las  actividades  serán  gratuitas  ,  se  puede  consultar  en  la  página  web www.atlantikaldia.eus  . </doc>",www.atlantikaldia.eus,ncmn000,www.atlantikaldia.eus,web,web,AQ0CN0,página,página,NCFS000,la,el,DA0FS0,en,en,SPS00,consultar,consultar,VMN0000,.,.,Fp,</doc>,,,,,,,,,,,,2015-09-16,2015,2010,,AQ0CN0 Antikal Fp,NCFS000 AQ0CN0 Antikal,DA0FS0 NCFS000 AQ0CN0 Antikal,SPS00 DA0FS0 NCFS000 AQ0CN0 Antikal,,,,,web Antikal .,página web Antikal,el página web Antikal,en el página web Antikal,,,
http://www.diariovasco.com/oarsoaldea/201509/18/musica-bereber-danza-para-20150918010532-v.html,diariovasco.com,2015-09-18,Spain,Atlantikaldia/NP00000/atlantikaldia,<doc uri=http://www.diariovasco.com/oarsoaldea/201509/18/musica-bereber-danza-para-20150918010532-v.html website=diariovasco.com date=2015-09-18 source_country=Spain> /música/NCFS000 /bereber/AQ0CS0 /y/CC /danzar/VMIP3S0 /para/SPS00 /abrir/VMN0000 Atlantikaldia ,atlantikaldia,np00000,atlantikaldia,abrir,abrir,VMN0000,para,para,SPS00,danza,danzar,VMIP3S0,y,y,CC,bereber,bereber,AQ0CS0,,,,,,,,,,,,,,,,2015-09-18,2015,2010,,,SPS00 VMN0000 Antikal,VMIP3S0 SPS00 VMN0000 Antikal,CC VMIP3S0 SPS00 VMN0000 Antikal,,,,,,para abrir Antikal,danzar para abrir Antikal,y danzar para abrir Antikal,,,
http://www.diariovasco.com/oarsoaldea/201509/18/musica-bereber-danza-para-20150918010532-v.html,diariovasco.com,2015-09-18,Spain,Atlantikaldia/NP00000/atlantikaldia, Atlantikaldia  puso  en  marcha  ayer  por  la  tarde  su  segunda  edición  .,atlantikaldia,np00000,atlantikaldia,,,,,,,,,,,,,,,,puso,poner,VMIS3S0,en,en,SPS00,marcha,marcha,NCFS000,ayer,ayer,RG,por,por,SPS00,2015-09-18,2015,2010,,,,,,Antikal VMIS3S0 SPS00,Antikal VMIS3S0 SPS00 NCFS000,Antikal VMIS3S0 SPS00 NCFS000 RG,,,,,,Antikal poner en,Antikal poner en marcha,Antikal poner en marcha ayer
http://www.diariovasco.com/oarsoaldea/201509/18/musica-bereber-danza-para-20150918010532-v.html,diariovasco.com,2015-09-18,Spain,Atlantikaldia/NP00000/atlantikaldia,"A  continuación  ,  el  bertsolari  zumaiarra  Jon  Maia  dirigió  unas  palabras  en  las  que  habló  del  espíritu  que  persigue Atlantikaldia  ,  de  recuperación  de  la  memoria  de  pasado  marítimo  de  Errenteria  .",atlantikaldia,np00000,atlantikaldia,persigue,perseguir,VMIP3S0,que,que,PR0CN000,espíritu,espíritu,NCMS000,del,de+el,SPS00+DA0MS0,habló,hablar,VMIS3S0,",",",",Fc,de,de,SPS00,recuperación,recuperación,NCFS000,de,de,SPS00,la,el,DA0FS0,2015-09-18,2015,2010,PR0CN000 VMIP3S0 Antikal Fc SPS00,VMIP3S0 Antikal Fc,PR0CN000 VMIP3S0 Antikal,NCMS000 PR0CN000 VMIP3S0 Antikal,SPS00+DA0MS0 NCMS000 PR0CN000 VMIP3S0 Antikal,Antikal Fc SPS00,Antikal Fc SPS00 NCFS000,Antikal Fc SPS00 NCFS000 SPS00,"que perseguir Antikal , de","perseguir Antikal ,",que perseguir Antikal,espíritu que perseguir Antikal,de+el espíritu que perseguir Antikal,"Antikal , de","Antikal , de recuperación","Antikal , de recuperación de"
