url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://blogs.publico.es/tremending-topic/2014/04/22/a-mi-scarlett-me-gusta-hasta-con-barba-de-tres-dias/,publico.es,2014-04-23,Spain,Aquafresh/NP00000/aquafresh,"Imagen  en  exclusiva  de  los  papeles  que  le  entregó  Esperanza  Aguirre  a  los  agentes  de  movilidad  .  pic.twitter.com/2wmpdJc4zn  -- Aquafresh  (  @  aquafresh80  )  abril  22  ,  2014",aquafresh,np00000,aquafresh,--,--,Fg,pic.twitter.com/2wmpdJc4zn,pic.twitter.com,2wmpdJc4zn/Z,.,.,Fp,movilidad,movilidad,NCFS000,de,de,SPS00,(,(,Fpa,@,@,Fz,aquafresh80,aquafresh80,Z,),),Fpt,abril,abril,NCMS000,2014-04-23,2014,2010,2wmpdJc4zn/Z Fg Aquafresh Fpa Fz,Fg Aquafresh Fpa,2wmpdJc4zn/Z Fg Aquafresh,Fp 2wmpdJc4zn/Z Fg Aquafresh,NCFS000 Fp 2wmpdJc4zn/Z Fg Aquafresh,Aquafresh Fpa Fz,Aquafresh Fpa Fz Z,Aquafresh Fpa Fz Z Fpt,pic.twitter.com -- Aquafresh ( @,-- Aquafresh (,pic.twitter.com -- Aquafresh,. pic.twitter.com -- Aquafresh,movilidad . pic.twitter.com -- Aquafresh,Aquafresh ( @,Aquafresh ( @ aquafresh80,Aquafresh ( @ aquafresh80 )
http://blogs.publico.es/tremending-topic/2014/04/22/a-mi-scarlett-me-gusta-hasta-con-barba-de-tres-dias/,publico.es,2014-04-23,Spain,aquafresh80/Z/aquafresh80,"Imagen  en  exclusiva  de  los  papeles  que  le  entregó  Esperanza  Aguirre  a  los  agentes  de  movilidad  .  pic.twitter.com/2wmpdJc4zn  --  Aquafresh  (  @ aquafresh80  )  abril  22  ,  2014",aquafresh80,z,aquafresh80,@,@,Fz,(,(,Fpa,Aquafresh,aquafresh,NP00000,--,--,Fg,pic.twitter.com/2wmpdJc4zn,pic.twitter.com,2wmpdJc4zn/Z,),),Fpt,abril,abril,NCMS000,22,22,Z,",",",",Fc,2014,2014,Z,2014-04-23,2014,2010,Fpa Fz Aquafresh Fpt NCMS000,Fz Aquafresh Fpt,Fpa Fz Aquafresh,NP00000 Fpa Fz Aquafresh,Fg NP00000 Fpa Fz Aquafresh,Aquafresh Fpt NCMS000,Aquafresh Fpt NCMS000 Z,Aquafresh Fpt NCMS000 Z Fc,( @ Aquafresh ) abril,@ Aquafresh ),( @ Aquafresh,aquafresh ( @ Aquafresh,-- aquafresh ( @ Aquafresh,Aquafresh ) abril,Aquafresh ) abril 22,"Aquafresh ) abril 22 ,"
http://online.wsj.com/news/articles/SB10001424052702304279904579517891947423038?tesla=y&tesla=y&mod=rss_americas_spanish&mg=reno64-wsj&url=http:%2F%2Fonline.wsj.com%2Farticle%2FSB10001424052702304279904579517891947423038.html%3Fmod=rss_americas_spanish,wsj.com,2014-04-23,USA,Aquafresh/NP00000/aquafresh,"A  cambio  ,  Glaxo  ,  con  sede  en  Londres  ,  pagará  US$5.250  millones  por  el  negocio  de  vacunas  de  Novartis  ,  que  incluye  la  prometedora  vacuna  de  la  empresa  Bexsero  ,  contra  la  meningitis  B.  En  otra  transacción  ,  ambas  firmas  fusionarán  sus  negocios  de  salud  de  consumo  bajo  la  gestión  de  Glaxo  ,  combinando  franquicias  que  son  propietarias  de  algunas  de  las  marcas  más  conocidas  del  mundo  ,  como  Exedrin  ,  Panadol  y Aquafresh  .",aquafresh,np00000,aquafresh,y,y,CC,Panadol,panadol,NP00000,",",",",Fc,Exedrin,exedrin,NP00000,como,como,CS,.,.,Fp,,,,,,,,,,,,,2014-04-23,2014,2010,,CC Aquafresh Fp,NP00000 CC Aquafresh,Fc NP00000 CC Aquafresh,NP00000 Fc NP00000 CC Aquafresh,,,,,y Aquafresh .,panadol y Aquafresh,", panadol y Aquafresh","exedrin , panadol y Aquafresh",,,
http://online.wsj.com/news/articles/SB10001424052702303825604579518234208989474?tesla=y&tesla=y&mod=rss_americas_spanish&mg=reno64-wsj&url=http:%2F%2Fonline.wsj.com%2Farticle%2FSB10001424052702303825604579518234208989474.html%3Fmod=rss_americas_spanish,wsj.com,2014-04-24,USA,Aquafresh/NP00000/aquafresh,"Las  dos  firmas  fusionarán  además  sus  productos  de  consumo  para  la  salud  bajo  la  gestión  de  Glaxo  ,  donde  combinarán  las  marcas  más  conocidas  del  mundo  ,  como  Exedrin  ,  Panadol  y Aquafresh  ,  con  una  facturación  sumada  de  unos  US$11.000  millones  .",aquafresh,np00000,aquafresh,y,y,CC,Panadol,panadol,NP00000,",",",",Fc,Exedrin,exedrin,NP00000,como,como,CS,",",",",Fc,con,con,SPS00,una,uno,DI0FS0,facturación,facturación,NCFS000,sumada,sumar,VMP00SF,2014-04-24,2014,2010,NP00000 CC Aquafresh Fc SPS00,CC Aquafresh Fc,NP00000 CC Aquafresh,Fc NP00000 CC Aquafresh,NP00000 Fc NP00000 CC Aquafresh,Aquafresh Fc SPS00,Aquafresh Fc SPS00 DI0FS0,Aquafresh Fc SPS00 DI0FS0 NCFS000,"panadol y Aquafresh , con","y Aquafresh ,",panadol y Aquafresh,", panadol y Aquafresh","exedrin , panadol y Aquafresh","Aquafresh , con","Aquafresh , con uno","Aquafresh , con uno facturación"
http://www.swissinfo.ch/spa/economia/GSK_halla_en_Novartis_la_formula_para_crecer.html?rss=true&cid=38446684,swissinfo.ch,2014-04-27,Switzerland,Aquafresh/NP00000/aquafresh,"Adicionalmente  ,  ambas  compañías  pondrán  los  activos  del  llamado  mercado  de  la  salud  de  los  consumidores  -  que  incluyen  desde  el  dentífrico Aquafresh  de  GSK  hasta  Nicotinell  ,  el  chicle  para  dejar  de  fumar  de  Novartis  -  en  un  acuerdo  de  inversiones  conjuntas  (  joint  venture  )  que  controlará  el  grupo  británico  .",aquafresh,np00000,aquafresh,dentífrico,dentífrico,NCMS000,el,el,DA0MS0,desde,desde,SPS00,incluyen,incluir,VMIP3P0,que,que,PR0CN000,de,de,SPS00,GSK,gsk,NP00000,hasta,hasta,SPS00,Nicotinell,nicotinell,NP00000,",",",",Fc,2014-04-27,2014,2010,DA0MS0 NCMS000 Aquafresh SPS00 NP00000,NCMS000 Aquafresh SPS00,DA0MS0 NCMS000 Aquafresh,SPS00 DA0MS0 NCMS000 Aquafresh,VMIP3P0 SPS00 DA0MS0 NCMS000 Aquafresh,Aquafresh SPS00 NP00000,Aquafresh SPS00 NP00000 SPS00,Aquafresh SPS00 NP00000 SPS00 NP00000,el dentífrico Aquafresh de gsk,dentífrico Aquafresh de,el dentífrico Aquafresh,desde el dentífrico Aquafresh,incluir desde el dentífrico Aquafresh,Aquafresh de gsk,Aquafresh de gsk hasta,Aquafresh de gsk hasta nicotinell
http://www.noticias24.com/internacionales/noticia/86322/bbc-mundo-los-secretos-de-la-formula-1-por-fin-salen-de-la-pista/,noticias24.com,2014-08-28,"Venezuela, Bolivarian Republic of",Aquafresh/NP00000/aquafresh,"Un  ejemplo  ya  se  ha  puesto  en  práctica  en  la  planta  de  la  multinacional  farmacéutica  GlaxoSmithKline  en  Berkshire  ,  donde  se  producen  distintas  marcas  de  crema  dental  como  Sensodyne  , Aquafresh  y  Macleans  para  el  mercado  internacional  .",aquafresh,np00000,aquafresh,",",",",Fc,Sensodyne,sensodyne,NP00000,como,como,CS,dental,dental,AQ0CS0,crema,crema,NCFS000,y,y,CC,Macleans,macleans,NP00000,para,para,SPS00,el,el,DA0MS0,mercado,mercado,NCMS000,2014-08-28,2014,2010,NP00000 Fc Aquafresh CC NP00000,Fc Aquafresh CC,NP00000 Fc Aquafresh,CS NP00000 Fc Aquafresh,AQ0CS0 CS NP00000 Fc Aquafresh,Aquafresh CC NP00000,Aquafresh CC NP00000 SPS00,Aquafresh CC NP00000 SPS00 DA0MS0,"sensodyne , Aquafresh y macleans",", Aquafresh y","sensodyne , Aquafresh","como sensodyne , Aquafresh","dental como sensodyne , Aquafresh",Aquafresh y macleans,Aquafresh y macleans para,Aquafresh y macleans para el
http://www.merca20.com/6-estrategias-creativas-activacion-marca/,merca20.com,2016-05-31,===NONE===,Aquafresh/NP00000/aquafresh,"Captain Aquafresh  es  un  personaje  creado  para  la  marca  de  pasta  de  dientes  del  mismo  nombre  ,  propiedad  de  GSK  .",aquafresh,np00000,aquafresh,Captain,captain,NP00000,,,,,,,,,,,,,es,ser,VSIP3S0,un,uno,DI0MS0,personaje,personaje,NCMS000,creado,crear,VMP00SM,para,para,SPS00,2016-05-31,2016,2010,,NP00000 Aquafresh VSIP3S0,,,,Aquafresh VSIP3S0 DI0MS0,Aquafresh VSIP3S0 DI0MS0 NCMS000,Aquafresh VSIP3S0 DI0MS0 NCMS000 VMP00SM,,captain Aquafresh ser,,,,Aquafresh ser uno,Aquafresh ser uno personaje,Aquafresh ser uno personaje crear
http://acn.com.ve/preparado-este-nuevo-precio-la-crema-dental-te-impresionara-foto/,acn.com.ve,2016-09-13,"Venezuela, Bolivarian Republic of",AquaFresh/NP00000/aquafresh,"Por  otra  parte  ,  los  precios  de  las  pastas  de  dientes  de  marca AquaFresh  oscilan  entre  los  Bs  .  2.700  y  Bs  .  2.650  ,  dinero  que  representaría  un  12,2  %  de  tu  salario  . </doc>",aquafresh,np00000,aquafresh,marca,marca,NCFS000,de,de,SPS00,dientes,diente,NCMP000,de,de,SPS00,pastas,pasta,NCFP000,oscilan,oscilar,VMIP3P0,entre,entre,SPS00,los,el,DA0MP0,Bs,bs,NP00000,.,.,Fp,2016-09-13,2016,2010,SPS00 NCFS000 Aquafresh VMIP3P0 SPS00,NCFS000 Aquafresh VMIP3P0,SPS00 NCFS000 Aquafresh,NCMP000 SPS00 NCFS000 Aquafresh,SPS00 NCMP000 SPS00 NCFS000 Aquafresh,Aquafresh VMIP3P0 SPS00,Aquafresh VMIP3P0 SPS00 DA0MP0,Aquafresh VMIP3P0 SPS00 DA0MP0 NP00000,de marca Aquafresh oscilar entre,marca Aquafresh oscilar,de marca Aquafresh,diente de marca Aquafresh,de diente de marca Aquafresh,Aquafresh oscilar entre,Aquafresh oscilar entre el,Aquafresh oscilar entre el bs
http://www.iprofesional.com/notas/238885-El-laboratorio-GlaxoSmithKline-nombro-una-nueva-CEO-global,iprofesional.com,2016-09-20,===NONE===,Aquafresh/NP00000/aquafresh,"<doc uri=http://www.iprofesional.com/notas/238885-El-laboratorio-GlaxoSmithKline-nombro-una-nueva-CEO-global website=iprofesional.com date=2016-09-20 source_country=> /witty/NP00000 /se/P00CN000 /jubilar/VMIP3S0 /tras/SPS00 /uno/DI0FS0 /década/NCFS000 /a+el/SPS00+DA0MS0 /frente/NCFS000 /de/SPS00 /el/DA0FS0 /empresa/NCFS000 /que/PR0CN000 /fabricar/VMIP3S0 /vacuna/NCFP000 /y/CC /producto/NCMP000 /de/SPS00 /consumo/NCMS000 /masivo/AQ0MS0 /bajo/SPS00 /famoso/AQ0FP0 /marca/NCFP000 /como/CS /sensodyne/NP00000 /,/Fc /corega/NP00000 /,/Fc Aquafresh  ,  Paradontax  ,  Ibuevanol  ,  Alikal  ,  Uvasal  y  Hinds  . </doc>",aquafresh,np00000,aquafresh,",",",",Fc,Corega,corega,NP00000,",",",",Fc,Sensodyne,sensodyne,NP00000,como,como,CS,",",",",Fc,Paradontax,paradontax,NP00000,",",",",Fc,Ibuevanol,ibuevanol,NP00000,",",",",Fc,2016-09-20,2016,2010,NP00000 Fc Aquafresh Fc NP00000,Fc Aquafresh Fc,NP00000 Fc Aquafresh,Fc NP00000 Fc Aquafresh,NP00000 Fc NP00000 Fc Aquafresh,Aquafresh Fc NP00000,Aquafresh Fc NP00000 Fc,Aquafresh Fc NP00000 Fc NP00000,"corega , Aquafresh , paradontax",", Aquafresh ,","corega , Aquafresh",", corega , Aquafresh","sensodyne , corega , Aquafresh","Aquafresh , paradontax","Aquafresh , paradontax ,","Aquafresh , paradontax , ibuevanol"
http://www.urgente24.com/260967-que-aprenden-los-dentifricos-de-la-f1,urgente24.com,2017-01-14,===NONE===,Aquafresh/NP00000/aquafresh,"Allí  se  fabrican  los  productos  para  marcas  como  Sensodyne  , Aquafresh  y  Macleans  ,  400_millones  de  envases  por  año  .  ""  Alguno  de  nosotros  conectó  los  puntos  acerca  de  cómo  un  equipo  de  F1  sería  capaz  de  ayudarnos  .",aquafresh,np00000,aquafresh,",",",",Fc,Sensodyne,sensodyne,NP00000,como,como,CS,marcas,marca,NCFP000,para,para,SPS00,y,y,CC,Macleans,macleans,NP00000,",",",",Fc,400_millones,400000000,Zd,de,de,SPS00,2017-01-14,2017,2010,NP00000 Fc Aquafresh CC NP00000,Fc Aquafresh CC,NP00000 Fc Aquafresh,CS NP00000 Fc Aquafresh,NCFP000 CS NP00000 Fc Aquafresh,Aquafresh CC NP00000,Aquafresh CC NP00000 Fc,Aquafresh CC NP00000 Fc Zd,"sensodyne , Aquafresh y macleans",", Aquafresh y","sensodyne , Aquafresh","como sensodyne , Aquafresh","marca como sensodyne , Aquafresh",Aquafresh y macleans,"Aquafresh y macleans ,","Aquafresh y macleans , 400000000"
