url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elmundo.es/opinion/2014/01/13/52d44529ca474104438b4573.html,elmundo.es,2014-01-14,Spain,avecrem/NCMS000/avecrem,Cuando  el avecrem  de  un  país  es  un  caldo  grueso  de  políticos  judicializados  .,avecrem,ncms000,avecrem,el,el,DA0MS0,Cuando,cuando,CS,,,,,,,,,,de,de,SPS00,un,uno,DI0MS0,país,país,NCMS000,es,ser,VSIP3S0,un,uno,DI0MS0,2014-01-14,2014,2010,CS DA0MS0 Avecrem SPS00 DI0MS0,DA0MS0 Avecrem SPS00,CS DA0MS0 Avecrem,,,Avecrem SPS00 DI0MS0,Avecrem SPS00 DI0MS0 NCMS000,Avecrem SPS00 DI0MS0 NCMS000 VSIP3S0,cuando el Avecrem de uno,el Avecrem de,cuando el Avecrem,,,Avecrem de uno,Avecrem de uno país,Avecrem de uno país ser
http://www.laverdad.es/murcia/20140129/gente/terelu-campos-abandona-television-201401291014.html?utm_source=laverdad.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,laverdad.es,2014-01-29,Spain,Avecrem/NP00000/avecrem,De  todas  formas  siempre  le  quedará Avecrem  . </doc>,avecrem,np00000,avecrem,quedará,quedar,VMIF3S0,le,le,PP3CSD00,siempre,siempre,RG,formas,forma,NCFP000,todas,todo,DI0FP0,.,.,Fp,</doc>,,,,,,,,,,,,2014-01-29,2014,2010,,VMIF3S0 Avecrem Fp,PP3CSD00 VMIF3S0 Avecrem,RG PP3CSD00 VMIF3S0 Avecrem,NCFP000 RG PP3CSD00 VMIF3S0 Avecrem,,,,,quedar Avecrem .,le quedar Avecrem,siempre le quedar Avecrem,forma siempre le quedar Avecrem,,,
http://carnaval.lavozdigital.es/noticias/2014-02-04/noche-transicion-chirigotas-201402040740.html?utm_source=lavozdigital.es&utm_medium=rss&utm_content=cadiz-rss&utm_campaign=traffic-rss,lavozdigital.es,2014-02-04,Spain,Avecrem/NP00000/avecrem,"Se  acuerdan  del  barrio  del Avecrem  ,  gran  olvidado  .",avecrem,np00000,avecrem,del,de+el,SPS00+DA0MS0,barrio,barrio,NCMS000,del,de+el,SPS00+DA0MS0,acuerdan,acordar,VMIP3P0,Se,se,P00CN000,",",",",Fc,gran,gran,AQ0CS0,olvidado,olvidar,VMP00SM,.,.,Fp,,,,2014-02-04,2014,2010,NCMS000 SPS00+DA0MS0 Avecrem Fc AQ0CS0,SPS00+DA0MS0 Avecrem Fc,NCMS000 SPS00+DA0MS0 Avecrem,SPS00+DA0MS0 NCMS000 SPS00+DA0MS0 Avecrem,VMIP3P0 SPS00+DA0MS0 NCMS000 SPS00+DA0MS0 Avecrem,Avecrem Fc AQ0CS0,Avecrem Fc AQ0CS0 VMP00SM,Avecrem Fc AQ0CS0 VMP00SM Fp,"barrio de+el Avecrem , gran","de+el Avecrem ,",barrio de+el Avecrem,de+el barrio de+el Avecrem,acordar de+el barrio de+el Avecrem,"Avecrem , gran","Avecrem , gran olvidar","Avecrem , gran olvidar ."
http://www.expansion.com/2014/03/11/catalunya/1394558263.html,expansion.com,2014-03-11,Spain,Avecrem/NP00000/avecrem,"Se  trata  de  una  cifra  que  queda  lejos  del  75  %  de  penetración  en  el  hogar  que  tiene Avecrem  ,  la  otra  gran  marca  del  grupo  .",avecrem,np00000,avecrem,tiene,tener,VMIP3S0,que,que,PR0CN000,hogar,hogar,NCMS000,el,el,DA0MS0,en,en,SPS00,",",",",Fc,la,el,DA0FS0,otra,otro,DI0FS0,gran,gran,AQ0CS0,marca,marca,NCFS000,2014-03-11,2014,2010,PR0CN000 VMIP3S0 Avecrem Fc DA0FS0,VMIP3S0 Avecrem Fc,PR0CN000 VMIP3S0 Avecrem,NCMS000 PR0CN000 VMIP3S0 Avecrem,DA0MS0 NCMS000 PR0CN000 VMIP3S0 Avecrem,Avecrem Fc DA0FS0,Avecrem Fc DA0FS0 DI0FS0,Avecrem Fc DA0FS0 DI0FS0 AQ0CS0,"que tener Avecrem , el","tener Avecrem ,",que tener Avecrem,hogar que tener Avecrem,el hogar que tener Avecrem,"Avecrem , el","Avecrem , el otro","Avecrem , el otro gran"
http://www.elperiodico.com/es/noticias/politica/libertad-libertad-sin-ira-3208149?utm_source=rss-noticias&utm_medium=feed&utm_campaign=politica,elperiodico.com,2014-03-22,===NONE===,Avecrem/NP00000/avecrem,"En  realidad  ,  la  clave  de  aquel  tiempo  comandado  por  Adolfo  Suárez  --  un  castellano  seductor  ,  de  sonrisa  picarona  y  mirada  triste  ,  envuelto  en  una  eterna  nube  de  Ducados  --  fue  que  se  gestara  lo  que  nunca  había  fructificado  en  estos  páramos  castigados  porque  la  historia  no  lo  había  permitido  :  la  forja  de  una  clase  media  amasada  en  los  70  entre  sopas  de Avecrem  ,  horas  extra  y  la  educación  sentimental  de  Elena  Francis  .",avecrem,np00000,avecrem,de,de,SPS00,sopas,sopa,NCFP000,entre,entre,SPS00,70,70,Z,los,el,DA0MP0,",",",",Fc,horas,hora,NCFP000,extra,extra,AQ0CS0,y,y,CC,la,el,DA0FS0,2014-03-22,2014,2010,NCFP000 SPS00 Avecrem Fc NCFP000,SPS00 Avecrem Fc,NCFP000 SPS00 Avecrem,SPS00 NCFP000 SPS00 Avecrem,Z SPS00 NCFP000 SPS00 Avecrem,Avecrem Fc NCFP000,Avecrem Fc NCFP000 AQ0CS0,Avecrem Fc NCFP000 AQ0CS0 CC,"sopa de Avecrem , hora","de Avecrem ,",sopa de Avecrem,entre sopa de Avecrem,70 entre sopa de Avecrem,"Avecrem , hora","Avecrem , hora extra","Avecrem , hora extra y"
http://www.elperiodico.com/es/noticias/opinion/pobreza-culpa-najat-hachmi-3268284?utm_source=rss-noticias&utm_medium=feed&utm_campaign=opinion,elperiodico.com,2014-05-09,===NONE===,Avecrem/NP00000/avecrem,"Una  semana  después  en  La  Sexta  se  habla  del  retorno  de Avecrem  ,  de  cómo  muchas  familias  con  hijos  ,  aquí  y  ahora  ,  condimentan  los  hervidos  de  pasta  o  legumbres  o  patatas  con  las  pastillitas  que  sirven  para  ""  enriquecer  ""  estos  humildes  productos  del  Banco  de  Alimentos  .",avecrem,np00000,avecrem,de,de,SPS00,retorno,retorno,NCMS000,del,de+el,SPS00+DA0MS0,habla,hablar,VMIP3S0,se,se,P00CN000,",",",",Fc,de,de,SPS00,cómo,cómo,PT000000,muchas,mucho,DI0FP0,familias,familia,NCFP000,2014-05-09,2014,2010,NCMS000 SPS00 Avecrem Fc SPS00,SPS00 Avecrem Fc,NCMS000 SPS00 Avecrem,SPS00+DA0MS0 NCMS000 SPS00 Avecrem,VMIP3S0 SPS00+DA0MS0 NCMS000 SPS00 Avecrem,Avecrem Fc SPS00,Avecrem Fc SPS00 PT000000,Avecrem Fc SPS00 PT000000 DI0FP0,"retorno de Avecrem , de","de Avecrem ,",retorno de Avecrem,de+el retorno de Avecrem,hablar de+el retorno de Avecrem,"Avecrem , de","Avecrem , de cómo","Avecrem , de cómo mucho"
http://www.telecinco.es/informativos/cultura/Maria-Teresa-Campos-Terelu-necesitadas_0_1799175353.html,telecinco.es,2014-05-21,Spain,Avecrem/NP00000/avecrem,"La  popular  periodista  malagueña  Maria  Teresa  Campos  ha  apadrinado  hoy  el  cierre  de  la  campaña  solidaria  ""  Con Avecrem  ,  tu  ayuda  se  nota  ""  impulsada  por  Gallina  Blanca  en  colaboración  con  el  Banco  de  Alimentos  de  Andalucía  ,  Ceuta  y  Melilla  .",avecrem,np00000,avecrem,Con,con,SPS00,"""","""",Fe,solidaria,solidario,AQ0FS0,campaña,campaña,NCFS000,la,el,DA0FS0,",",",",Fc,tu,tu,DP2CSS,ayuda,ayuda,NCFS000,se,se,P00CN000,nota,notar,VMIP3S0,2014-05-21,2014,2010,Fe SPS00 Avecrem Fc DP2CSS,SPS00 Avecrem Fc,Fe SPS00 Avecrem,AQ0FS0 Fe SPS00 Avecrem,NCFS000 AQ0FS0 Fe SPS00 Avecrem,Avecrem Fc DP2CSS,Avecrem Fc DP2CSS NCFS000,Avecrem Fc DP2CSS NCFS000 P00CN000,""" con Avecrem , tu","con Avecrem ,",""" con Avecrem","solidario "" con Avecrem","campaña solidario "" con Avecrem","Avecrem , tu","Avecrem , tu ayuda","Avecrem , tu ayuda se"
http://www.telecinco.es/informativos/cultura/Maria-Teresa-Campos-Terelu-necesitadas_0_1799175353.html,telecinco.es,2014-05-21,Spain,Avecrem/NP00000/avecrem,La  presentadora  y  su  hija  Terelu  son  las  protagonistas  de  la  última  campaña  de Avecrem  .,avecrem,np00000,avecrem,de,de,SPS00,campaña,campaña,NCFS000,última,último,AO0FS0,la,el,DA0FS0,de,de,SPS00,.,.,Fp,,,,,,,,,,,,,2014-05-21,2014,2010,,SPS00 Avecrem Fp,NCFS000 SPS00 Avecrem,AO0FS0 NCFS000 SPS00 Avecrem,DA0FS0 AO0FS0 NCFS000 SPS00 Avecrem,,,,,de Avecrem .,campaña de Avecrem,último campaña de Avecrem,el último campaña de Avecrem,,,
http://www.telecinco.es/informativos/cultura/Maria-Teresa-Campos-Terelu-necesitadas_0_1799175353.html,telecinco.es,2014-05-21,Spain,Avecrem/NP00000/avecrem,"A  través  de  esta  iniciativa  solidaria  ,  Gallina  Blanca  ,  en  colaboración  con  los  Bancos  de  Alimentos  ,  ha  donado  un  plato  de  sopa  ,  a  aquellas  familias  andaluzas  más  desfavorecidas  ,  por  cada  dos  envoltorios  de Avecrem  que  han  depositado  los  ciudadanos  en  los  expositores  de  los  supermercados  e  hipermercados  de  la  comunidad  andaluza  .",avecrem,np00000,avecrem,de,de,SPS00,envoltorios,envoltorio,NCMP000,dos,2,Z,cada,cada,DI0CS0,por,por,SPS00,que,que,PR0CN000,han,haber,VAIP3P0,depositado,depositar,VMP00SM,los,el,DA0MP0,ciudadanos,ciudadano,NCMP000,2014-05-21,2014,2010,NCMP000 SPS00 Avecrem PR0CN000 VAIP3P0,SPS00 Avecrem PR0CN000,NCMP000 SPS00 Avecrem,Z NCMP000 SPS00 Avecrem,DI0CS0 Z NCMP000 SPS00 Avecrem,Avecrem PR0CN000 VAIP3P0,Avecrem PR0CN000 VAIP3P0 VMP00SM,Avecrem PR0CN000 VAIP3P0 VMP00SM DA0MP0,envoltorio de Avecrem que haber,de Avecrem que,envoltorio de Avecrem,2 envoltorio de Avecrem,cada 2 envoltorio de Avecrem,Avecrem que haber,Avecrem que haber depositar,Avecrem que haber depositar el
http://www.lavozdigital.es/cadiz/v/20140819/cadiz/dejo-cadiz-oscuras-20140819.html?utm_source=lavozdigital.es&utm_medium=rss&utm_content=cadiz-rss&utm_campaign=traffic-rss,lavozdigital.es,2014-08-18,Spain,Avecrem/NP00000/avecrem,"Quizá  es  justo  en  algunos  de  esos  barrios  ,  en  los  pisos  del  ' Avecrem  '  o  en  los  patios  de  San  Severiano  ,  donde  más  se  puede  apreciar  la  huella  de  esa  arquitectura  de  emergencia  y  subsistencia  que  aún  tiene  que  cambiar  su  cara  en  los  próximos  años  .",avecrem,np00000,avecrem,',',Fe,del,de+el,SPS00+DA0MS0,pisos,piso,NCMP000,los,el,DA0MP0,en,en,SPS00,',',Fe,o,o,CC,en,en,SPS00,los,el,DA0MP0,patios,patio,NCMP000,2014-08-18,2014,2010,SPS00+DA0MS0 Fe Avecrem Fe CC,Fe Avecrem Fe,SPS00+DA0MS0 Fe Avecrem,NCMP000 SPS00+DA0MS0 Fe Avecrem,DA0MP0 NCMP000 SPS00+DA0MS0 Fe Avecrem,Avecrem Fe CC,Avecrem Fe CC SPS00,Avecrem Fe CC SPS00 DA0MP0,de+el ' Avecrem ' o,' Avecrem ',de+el ' Avecrem,piso de+el ' Avecrem,el piso de+el ' Avecrem,Avecrem ' o,Avecrem ' o en,Avecrem ' o en el
