url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://revistapanoramas.cl/ballantines-se-asocia-al-fenomeno-de-la-musica-online-boiler-room/,revistapanoramas.cl,2014-03-04,Chile,Ballantine's/NP00000/ballantine's,<doc uri=http://revistapanoramas.cl/ballantines-se-asocia-al-fenomeno-de-la-musica-online-boiler-room/ website=revistapanoramas.cl date=2014-03-04 source_country=Chile> Ballantine's  se  asocia  al  fenómeno  de  la  música  online  Boiler  Room,ballantine's,np00000,ballantine's,,,,,,,,,,,,,,,,se,se,P00CN000,asocia,asociar,VMIP3S0,al,a+el,SPS00+DA0MS0,fenómeno,fenómeno,NCMS000,de,de,SPS00,2014-03-04,2014,2010,,,,,,Ballantine's P00CN000 VMIP3S0,Ballantine's P00CN000 VMIP3S0 SPS00+DA0MS0,Ballantine's P00CN000 VMIP3S0 SPS00+DA0MS0 NCMS000,,,,,,Ballantine's se asociar,Ballantine's se asociar a+el,Ballantine's se asociar a+el fenómeno
http://revistapanoramas.cl/ballantines-se-asocia-al-fenomeno-de-la-musica-online-boiler-room/,revistapanoramas.cl,2014-03-04,Chile,Ballantine's/NP00000/ballantine's,"La  pieza  central  del  proyecto  Boiler  Room  & Ballantine's  Stay  True  será  la  producción  de  una  serie  de  documentales  en  línea  ,  grabados  alrededor  del  mundo  con  músicos  locales  que  explorarán  las  historias  de  la  gente  ,  los  lugares  y  los  factores  que  han  creado  cada  cultura  musical  .",ballantine's,np00000,ballantine's,&,&,Fz,Room,room,NP00000,Boiler,boiler,NP00000,proyecto,proyecto,NCMS000,del,de+el,SPS00+DA0MS0,Stay,stay,NP00000,True,true,NP00000,será,ser,VSIF3S0,la,el,DA0FS0,producción,producción,NCFS000,2014-03-04,2014,2010,NP00000 Fz Ballantine's NP00000 NP00000,Fz Ballantine's NP00000,NP00000 Fz Ballantine's,NP00000 NP00000 Fz Ballantine's,NCMS000 NP00000 NP00000 Fz Ballantine's,Ballantine's NP00000 NP00000,Ballantine's NP00000 NP00000 VSIF3S0,Ballantine's NP00000 NP00000 VSIF3S0 DA0FS0,room & Ballantine's stay true,& Ballantine's stay,room & Ballantine's,boiler room & Ballantine's,proyecto boiler room & Ballantine's,Ballantine's stay true,Ballantine's stay true ser,Ballantine's stay true ser el
http://revistapanoramas.cl/ballantines-se-asocia-al-fenomeno-de-la-musica-online-boiler-room/,revistapanoramas.cl,2014-03-04,Chile,Ballantine's/NP00000/ballantine's,"Para  Peter  Moore  ,  Director  de Ballantine's  Global  :  ""  Boiler  Room  es  un  socio  natural  para  Ballantine  ́  s  .",ballantine's,np00000,ballantine's,de,de,SPS00,Director,director,NP00000,",",",",Fc,Moore,moore,NP00000,Peter,peter,NP00000,Global,global,NP00000,:,:,Fd,"""","""",Fe,Boiler,boiler,NP00000,Room,room,NP00000,2014-03-04,2014,2010,NP00000 SPS00 Ballantine's NP00000 Fd,SPS00 Ballantine's NP00000,NP00000 SPS00 Ballantine's,Fc NP00000 SPS00 Ballantine's,NP00000 Fc NP00000 SPS00 Ballantine's,Ballantine's NP00000 Fd,Ballantine's NP00000 Fd Fe,Ballantine's NP00000 Fd Fe NP00000,director de Ballantine's global :,de Ballantine's global,director de Ballantine's,", director de Ballantine's","moore , director de Ballantine's",Ballantine's global :,"Ballantine's global : ""","Ballantine's global : "" boiler"
http://revistapanoramas.cl/ballantines-se-asocia-al-fenomeno-de-la-musica-online-boiler-room/,revistapanoramas.cl,2014-03-04,Chile,Ballantine's/NP00000/ballantine's,"Las  entradas  para  los  eventos  estarán  disponibles  exclusivamente  a  través  de  los  canales  de Ballantine's  y  Boiler  Room  ,  con  una  audiencia  global  capaz  de  sintonizarlos  en  vivo  y  on  line  a  través  del  micrositio  Boilerroom  .",ballantine's,np00000,ballantine's,de,de,SPS00,canales,canal,NCMP000,los,el,DA0MP0,de,de,SPS00,través,través,NCMS000,y,y,CC,Boiler,boiler,NP00000,Room,room,NP00000,",",",",Fc,con,con,SPS00,2014-03-04,2014,2010,NCMP000 SPS00 Ballantine's CC NP00000,SPS00 Ballantine's CC,NCMP000 SPS00 Ballantine's,DA0MP0 NCMP000 SPS00 Ballantine's,SPS00 DA0MP0 NCMP000 SPS00 Ballantine's,Ballantine's CC NP00000,Ballantine's CC NP00000 NP00000,Ballantine's CC NP00000 NP00000 Fc,canal de Ballantine's y boiler,de Ballantine's y,canal de Ballantine's,el canal de Ballantine's,de el canal de Ballantine's,Ballantine's y boiler,Ballantine's y boiler room,"Ballantine's y boiler room ,"
http://revistapanoramas.cl/ballantines-se-asocia-al-fenomeno-de-la-musica-online-boiler-room/,revistapanoramas.cl,2014-03-04,Chile,Ballantine's/NP00000/ballantine's," Ballantine's  apoya  la  música  porque  ésta  es  el  reflejo  de  quiénes  somos  ,  invitándote  a  vivirla  de  una  forma  auténtica  y  original  .",ballantine's,np00000,ballantine's,,,,,,,,,,,,,,,,apoya,apoyar,VMIP3S0,la,el,DA0FS0,música,música,NCFS000,porque,porque,CS,ésta,este,PD0FS000,2014-03-04,2014,2010,,,,,,Ballantine's VMIP3S0 DA0FS0,Ballantine's VMIP3S0 DA0FS0 NCFS000,Ballantine's VMIP3S0 DA0FS0 NCFS000 CS,,,,,,Ballantine's apoyar el,Ballantine's apoyar el música,Ballantine's apoyar el música porque
http://revistapanoramas.cl/ballantines-se-asocia-al-fenomeno-de-la-musica-online-boiler-room/,revistapanoramas.cl,2014-03-04,Chile,Ballantine's/NP00000/ballantine's," Ballantine's  es  el  segundo  Scotch  Whisky  más  vendido  del  mundo  ,  número  uno  en  ventas  de  Súper  Premium  Whisky  en  Asia  y  número  uno  en  ventas  en  Scotch  Whisky  en  Europa  .",ballantine's,np00000,ballantine's,,,,,,,,,,,,,,,,es,ser,VSIP3S0,el,el,DA0MS0,segundo,2,AO0MS0,Scotch,scotch,NP00000,Whisky,whisky,NP00000,2014-03-04,2014,2010,,,,,,Ballantine's VSIP3S0 DA0MS0,Ballantine's VSIP3S0 DA0MS0 AO0MS0,Ballantine's VSIP3S0 DA0MS0 AO0MS0 NP00000,,,,,,Ballantine's ser el,Ballantine's ser el 2,Ballantine's ser el 2 scotch
http://www.cadenaser.com/cultura/articulo/one-direction-enrique-iglesias-jason-derulo-david-bisbal-malu-antonio-orozco-lideran-nominaciones/csrcsrpor/20141010csrcsrcul_1/Tes#%3Fid_rss%3D108,cadenaser.com,2014-10-09,Spain,Ballantine's/NP00000/ballantine's, Ballantine's  es  el  whisky  escocés  Premium  líder  de  la  noche  en  España  y  el  favorito  de  los  jóvenes  .,ballantine's,np00000,ballantine's,,,,,,,,,,,,,,,,es,ser,VSIP3S0,el,el,DA0MS0,whisky,whisky,NCMS000,escocés,escocés,AQ0MS0,Premium,premium,NP00000,2014-10-09,2014,2010,,,,,,Ballantine's VSIP3S0 DA0MS0,Ballantine's VSIP3S0 DA0MS0 NCMS000,Ballantine's VSIP3S0 DA0MS0 NCMS000 AQ0MS0,,,,,,Ballantine's ser el,Ballantine's ser el whisky,Ballantine's ser el whisky escocés
http://www.cadenaser.com/cultura/articulo/one-direction-enrique-iglesias-jason-derulo-david-bisbal-malu-antonio-orozco-lideran-nominaciones/csrcsrpor/20141010csrcsrcul_1/Tes#%3Fid_rss%3D108,cadenaser.com,2014-10-09,Spain,Ballantine's/NP00000/ballantine's," Ballantine's  ofrece  a  los  consumidores  un  producto  de  indudable  calidad  ,  elegancia  y  fuerza  vital  ,  invitándoles  a  disfrutar  apasionadamente  de  la  vida  .",ballantine's,np00000,ballantine's,,,,,,,,,,,,,,,,ofrece,ofrecer,VMIP3S0,a,a,SPS00,los,el,DA0MP0,consumidores,consumidor,NCMP000,un,uno,DI0MS0,2014-10-09,2014,2010,,,,,,Ballantine's VMIP3S0 SPS00,Ballantine's VMIP3S0 SPS00 DA0MP0,Ballantine's VMIP3S0 SPS00 DA0MP0 NCMP000,,,,,,Ballantine's ofrecer a,Ballantine's ofrecer a el,Ballantine's ofrecer a el consumidor
http://www.cadenaser.com/cultura/articulo/one-direction-enrique-iglesias-jason-derulo-david-bisbal-malu-antonio-orozco-lideran-nominaciones/csrcsrpor/20141010csrcsrcul_1/Tes#%3Fid_rss%3D108,cadenaser.com,2014-10-09,Spain,Ballantine's/NP00000/ballantine's,"En  2014  , Ballantine's  lanza  B-Music  (  B-Music  .  es  )  ,  la  primera  aplicación  del  mundo  que  ofrece  ,  en  una  sola  plataforma  ,  la  música  más  escuchada  ,  comentada  y  buscada  en  internet  en  distintos  países  y  que  se  actualiza  en  tiempo  real  .",ballantine's,np00000,ballantine's,",",",",Fc,2014,2014,Z,En,en,SPS00,,,,,,,lanza,lanza,NCFS000,B-Music,b-music,NP00000,(,(,Fpa,B-Music,b-music,NP00000,.,.,Fp,2014-10-09,2014,2010,Z Fc Ballantine's NCFS000 NP00000,Fc Ballantine's NCFS000,Z Fc Ballantine's,SPS00 Z Fc Ballantine's,,Ballantine's NCFS000 NP00000,Ballantine's NCFS000 NP00000 Fpa,Ballantine's NCFS000 NP00000 Fpa NP00000,"2014 , Ballantine's lanza b-music",", Ballantine's lanza","2014 , Ballantine's","en 2014 , Ballantine's",,Ballantine's lanza b-music,Ballantine's lanza b-music (,Ballantine's lanza b-music ( b-music
http://cultura.elpais.com/cultura/2014/12/12/actualidad/1418376398_378889.html,elpais.com,2014-12-12,Spain,Ballantine's/NP00000/ballantine's,"Con  un  cartel  de  artistas  de  primer  orden  de  la  escena  internacional  y  nacional  ,  esta  tarde  (  a  las  19  horas  )  se  celebra  la  novena  edición  de  los  Premios  40  Principales Ballantine's  en  el  Barclaycard  Center  de  Madrid  .",ballantine's,np00000,ballantine's,Principales,principales,NP00000,40,40,Z,Premios,premios,NP00000,los,el,DA0MP0,de,de,SPS00,en,en,SPS00,el,el,DA0MS0,Barclaycard,barclaycard,NP00000,Center,center,NP00000,de,de,SPS00,2014-12-12,2014,2010,Z NP00000 Ballantine's SPS00 DA0MS0,NP00000 Ballantine's SPS00,Z NP00000 Ballantine's,NP00000 Z NP00000 Ballantine's,DA0MP0 NP00000 Z NP00000 Ballantine's,Ballantine's SPS00 DA0MS0,Ballantine's SPS00 DA0MS0 NP00000,Ballantine's SPS00 DA0MS0 NP00000 NP00000,40 principales Ballantine's en el,principales Ballantine's en,40 principales Ballantine's,premios 40 principales Ballantine's,el premios 40 principales Ballantine's,Ballantine's en el,Ballantine's en el barclaycard,Ballantine's en el barclaycard center
