url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://ccaa.elpais.com/ccaa/2014/01/20/catalunya/1390250194_921206.html,elpais.com,2014-01-21,Spain,Biodramina/NP00000/biodramina,"Eso  lo  sabe  muy  bien  Joan  Uriach  i  Marsal  (  Barcelona  ,  1929  )  ,  miembro  de  una  de  las  sagas  farmacéuticas  más  destacadas  de  España  ,  la  de  los  laboratorios  Uriach  ,  creadores  ,  entre  otros  ,  de  la  célebre Biodramina  ,  pero  también  familia  de  coleccionistas  de  arte  ,  libros  ,  sellos  o  utensilios  de  farmacia  durante  décadas  .",biodramina,np00000,biodramina,célebre,célebre,AQ0CS0,la,el,DA0FS0,de,de,SPS00,",",",",Fc,otros,otro,PI0MP000,",",",",Fc,pero,pero,CC,también,también,RG,familia,familia,NCFS000,de,de,SPS00,2014-01-21,2014,2010,DA0FS0 AQ0CS0 Biodramina Fc CC,AQ0CS0 Biodramina Fc,DA0FS0 AQ0CS0 Biodramina,SPS00 DA0FS0 AQ0CS0 Biodramina,Fc SPS00 DA0FS0 AQ0CS0 Biodramina,Biodramina Fc CC,Biodramina Fc CC RG,Biodramina Fc CC RG NCFS000,"el célebre Biodramina , pero","célebre Biodramina ,",el célebre Biodramina,de el célebre Biodramina,", de el célebre Biodramina","Biodramina , pero","Biodramina , pero también","Biodramina , pero también familia"
http://ccaa.elpais.com/ccaa/2014/01/20/catalunya/1390250194_921206.html,elpais.com,2014-01-21,Spain,Biodramina/NP00000/biodramina,"Pero  a  este  laboratorio  se  le  conoce  ,  sobre  todo  ,  por  la Biodramina  ,  su  producto  estrella  y  todo  un  fenómeno  comercial  .",biodramina,np00000,biodramina,la,el,DA0FS0,por,por,SPS00,",",",",Fc,todo,todo,PI0MS000,sobre,sobre,SPS00,",",",",Fc,su,su,DP3CS0,producto,producto,NCMS000,estrella,estrella,NCFS000,y,y,CC,2014-01-21,2014,2010,SPS00 DA0FS0 Biodramina Fc DP3CS0,DA0FS0 Biodramina Fc,SPS00 DA0FS0 Biodramina,Fc SPS00 DA0FS0 Biodramina,PI0MS000 Fc SPS00 DA0FS0 Biodramina,Biodramina Fc DP3CS0,Biodramina Fc DP3CS0 NCMS000,Biodramina Fc DP3CS0 NCMS000 NCFS000,"por el Biodramina , su","el Biodramina ,",por el Biodramina,", por el Biodramina","todo , por el Biodramina","Biodramina , su","Biodramina , su producto","Biodramina , su producto estrella"
http://www.elmundo.es/deportes/2014/01/26/52e55afee2704e0d5a8b4578.html,elmundo.es,2014-01-26,Spain,biodramina/NCFS000/biodramina,"Se  acabó  el  mareo  ,  viva  la biodramina  .",biodramina,ncfs000,biodramina,la,el,DA0FS0,viva,vivo,AQ0FS0,",",",",Fc,mareo,mareo,NCMS000,el,el,DA0MS0,.,.,Fp,,,,,,,,,,,,,2014-01-26,2014,2010,,DA0FS0 Biodramina Fp,AQ0FS0 DA0FS0 Biodramina,Fc AQ0FS0 DA0FS0 Biodramina,NCMS000 Fc AQ0FS0 DA0FS0 Biodramina,,,,,el Biodramina .,vivo el Biodramina,", vivo el Biodramina","mareo , vivo el Biodramina",,,
http://saltodeeje.ideal.es/2014/02/17/vivir-es-facil-con-los-ojos-cerrados-i-el-pestaneo/?utm_source=ideal.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,ideal.es,2014-02-17,Spain,biodramina/NCFS000/biodramina,"Con  todas  las  plegarias  puestas  en  la biodramina  ,  toda  estrategia  es  útil  para  encajar  el  horizonte  en  un  barco  que  no  vale  para  el  oleaje  :  imaginar  un  dibujo  animado  corriendo  por  el  perfil  de  la  montaña  o  flotando  entre  las  nubes  ;  pegar  la  sien  al  cristal  y  dejar  que  el  traqueteo  remueva  las  neuronas  que  no  hicieron  los  deberes  ;  contar  los  segundos  que  separan  una  señal  de  tráfico  de  la  siguiente  ...",biodramina,ncfs000,biodramina,la,el,DA0FS0,en,en,SPS00,puestas,poner,VMP00PF,plegarias,plegaria,NCFP000,las,el,DA0FP0,",",",",Fc,toda,todo,DI0FS0,estrategia,estrategia,NCFS000,es,ser,VSIP3S0,útil,útil,AQ0CS0,2014-02-17,2014,2010,SPS00 DA0FS0 Biodramina Fc DI0FS0,DA0FS0 Biodramina Fc,SPS00 DA0FS0 Biodramina,VMP00PF SPS00 DA0FS0 Biodramina,NCFP000 VMP00PF SPS00 DA0FS0 Biodramina,Biodramina Fc DI0FS0,Biodramina Fc DI0FS0 NCFS000,Biodramina Fc DI0FS0 NCFS000 VSIP3S0,"en el Biodramina , todo","el Biodramina ,",en el Biodramina,poner en el Biodramina,plegaria poner en el Biodramina,"Biodramina , todo","Biodramina , todo estrategia","Biodramina , todo estrategia ser"
http://elpais.com/elpais/2014/04/14/planeta_futuro/1397486760_026368.html,elpais.com,2014-04-22,Spain,Biodramina/NP00000/biodramina,"Sin  embargo  ,  los  caminos  laberínticos  sin  asfaltar  ni  señalizar  ,  en  espiral  ,  a  casi  3.000  metros  de  altitud  ,  los  miles  de  baches  ,  el  polvo  y  las  dos  cajas  de Biodramina  que  consumí  en  tres  semanas  ,  me  hicieron  sentir  que  estaba  embarcada  en  la  expedición  de  la  circunnavegación  fenicia  de  África  relatada  por  Herodoto  ,  por  lo  menos  .",biodramina,np00000,biodramina,de,de,SPS00,cajas,caja,NCFP000,dos,2,Z,las,el,DA0FP0,y,y,CC,que,que,PR0CN000,consumí,consumir,VMIS1S0,en,en,SPS00,tres,3,Z,semanas,semana,NCFP000,2014-04-22,2014,2010,NCFP000 SPS00 Biodramina PR0CN000 VMIS1S0,SPS00 Biodramina PR0CN000,NCFP000 SPS00 Biodramina,Z NCFP000 SPS00 Biodramina,DA0FP0 Z NCFP000 SPS00 Biodramina,Biodramina PR0CN000 VMIS1S0,Biodramina PR0CN000 VMIS1S0 SPS00,Biodramina PR0CN000 VMIS1S0 SPS00 Z,caja de Biodramina que consumir,de Biodramina que,caja de Biodramina,2 caja de Biodramina,el 2 caja de Biodramina,Biodramina que consumir,Biodramina que consumir en,Biodramina que consumir en 3
http://blog.cadenaserviajes.es/blog/las-10-carreteras-mas-espectaculares-del-mundo/?ssm=14092012-Ser-rs-1-Tw,cadenaserviajes.es,2014-05-15,Spain,biodramina/NCFS000/biodramina,"Se  trata  de  la  carretera  de  Sa  Calobra  cuyo  premio  final  ,  una  de  las  calas  más  bonitas  de  la  isla  ,  requiere  armarse  de  paciencia  , biodramina  para  quienes  sean  de  mareo  fácil  y  de  ese  modo  dedicarse  únicamente  a  conducir  y  disfrutar  de  su  serpenteante  trazado  .",biodramina,ncfs000,biodramina,",",",",Fc,paciencia,paciencia,NCFS000,de,de,SPS00,armarse,armar+se,VMN0000+PP3CN000,requiere,requerir,VMIP3S0,para,para,SPS00,quienes,quien,PR0CP000,sean,ser,VSSP3P0,de,de,SPS00,mareo,mareo,NCMS000,2014-05-15,2014,2010,NCFS000 Fc Biodramina SPS00 PR0CP000,Fc Biodramina SPS00,NCFS000 Fc Biodramina,SPS00 NCFS000 Fc Biodramina,VMN0000+PP3CN000 SPS00 NCFS000 Fc Biodramina,Biodramina SPS00 PR0CP000,Biodramina SPS00 PR0CP000 VSSP3P0,Biodramina SPS00 PR0CP000 VSSP3P0 SPS00,"paciencia , Biodramina para quien",", Biodramina para","paciencia , Biodramina","de paciencia , Biodramina","armar+se de paciencia , Biodramina",Biodramina para quien,Biodramina para quien ser,Biodramina para quien ser de
http://cincodias.com/cincodias/2014/06/05/sentidos/1401990958_477409.html,cincodias.com,2014-06-05,===NONE===,biodramina/NCFS000/biodramina,"Si  llega  a  Bergen  en  barco  ,  por  ejemplo  ,  en  la  famosa  ruta  de  Hurtigruten  ,  un  servicio  regular  de  navíos  que  une  de  norte  a  sur  los  dos  extremos  de  Noruega  ,  es  muy  posible  que  al  atracar  piense  que  la biodramina  le  ha  jugado  una  mala  pasada  y  que  el  mareo  por  el  oleaje  aún  le  dura  .",biodramina,ncfs000,biodramina,la,el,DA0FS0,que,que,CS,piense,pensar,VMSP3S0,atracar,atracar,VMN0000,al,a+el,SPS00+DA0MS0,le,le,PP3CSD00,ha,haber,VAIP3S0,jugado,jugar,VMP00SM,una,uno,DI0FS0,mala,malo,AQ0FS0,2014-06-05,2014,2010,CS DA0FS0 Biodramina PP3CSD00 VAIP3S0,DA0FS0 Biodramina PP3CSD00,CS DA0FS0 Biodramina,VMSP3S0 CS DA0FS0 Biodramina,VMN0000 VMSP3S0 CS DA0FS0 Biodramina,Biodramina PP3CSD00 VAIP3S0,Biodramina PP3CSD00 VAIP3S0 VMP00SM,Biodramina PP3CSD00 VAIP3S0 VMP00SM DI0FS0,que el Biodramina le haber,el Biodramina le,que el Biodramina,pensar que el Biodramina,atracar pensar que el Biodramina,Biodramina le haber,Biodramina le haber jugar,Biodramina le haber jugar uno
http://cincodias.com/cincodias/2014/06/05/empresas/1401975279_107406.html,cincodias.com,2014-06-06,===NONE===,Biodramina/NP00000/biodramina,"Ahí  es  donde  se  concentran  marcas  tan  potentes  como Biodramina  ,  Aerored  o  Filvit  más  los  productos  naturales  que  se  agrupan  bajo  la  marca  Aquilea  .",biodramina,np00000,biodramina,como,como,CS,potentes,potente,AQ0CP0,tan,tan,RG,marcas,marca,NCFP000,concentran,concentrar,VMIP3P0,",",",",Fc,Aerored,aerored,NP00000,o,o,CC,Filvit,filvit,NP00000,más,más,RG,2014-06-06,2014,2010,AQ0CP0 CS Biodramina Fc NP00000,CS Biodramina Fc,AQ0CP0 CS Biodramina,RG AQ0CP0 CS Biodramina,NCFP000 RG AQ0CP0 CS Biodramina,Biodramina Fc NP00000,Biodramina Fc NP00000 CC,Biodramina Fc NP00000 CC NP00000,"potente como Biodramina , aerored","como Biodramina ,",potente como Biodramina,tan potente como Biodramina,marca tan potente como Biodramina,"Biodramina , aerored","Biodramina , aerored o","Biodramina , aerored o filvit"
http://www.elperiodicoextremadura.com/noticias/sociedad/hombre-ha-visitado-todos-paises-mundo-y-2-000-territorios-mas_826795.html,elperiodicoextremadura.com,2014-09-13,===NONE===,biodraminas/NCFP000/biodraminas,"Se  recomienda  leer  su  biografía  con  un  par  de biodraminas  :  a  los  13  años  dejó  el  colegio  y  se  fue  a  El  Aaiún  (  Sáhara  )  .  ""  Cuando  los  militares  españoles  no  me  permitieron  viajar  a  Mauritania  ,  traté  de  enrolarme  en  la  legión  ,  pero  fui  amonestado  e  invitado  a  regresar  a  España  ""  ,  recuerda  .",biodraminas,ncfp000,biodraminas,de,de,SPS00,par,par,NCMS000,un,uno,DI0MS0,con,con,SPS00,biografía,biografía,NCFS000,:,:,Fd,a,a,SPS00,los,el,DA0MP0,13,13,Z,años,año,NCMP000,2014-09-13,2014,2010,NCMS000 SPS00 Biodramina Fd SPS00,SPS00 Biodramina Fd,NCMS000 SPS00 Biodramina,DI0MS0 NCMS000 SPS00 Biodramina,SPS00 DI0MS0 NCMS000 SPS00 Biodramina,Biodramina Fd SPS00,Biodramina Fd SPS00 DA0MP0,Biodramina Fd SPS00 DA0MP0 Z,par de Biodramina : a,de Biodramina :,par de Biodramina,uno par de Biodramina,con uno par de Biodramina,Biodramina : a,Biodramina : a el,Biodramina : a el 13
http://elpais.com/elpais/2014/11/04/icon/1415099473_081321.html,elpais.com,2014-11-04,Spain,Biodraminas/NP00000/biodraminas," Biodraminas  ,  motores  en  ignición  y  cinturones  abrochados  ,  despegamos  en  10  ,  9  ,  8  ...",biodraminas,np00000,biodraminas,,,,,,,,,,,,,,,,",",",",Fc,motores,motor,NCMP000,en,en,SPS00,ignición,ignición,NCFS000,y,y,CC,2014-11-04,2014,2010,,,,,,Biodramina Fc NCMP000,Biodramina Fc NCMP000 SPS00,Biodramina Fc NCMP000 SPS00 NCFS000,,,,,,"Biodramina , motor","Biodramina , motor en","Biodramina , motor en ignición"
