url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://ccaa.elpais.com/ccaa/2014/01/08/catalunya/1389178253_919273.html,elpais.com,2014-01-08,Spain,Bollycao/NP00000/bollycao,"Son  tanto  productos  frescos  ,  como  el  Donut  o  el Bollycao  ,  como  pan  de  molde  del  que  se  vende  en  supermercados  .",bollycao,np00000,bollycao,el,el,DA0MS0,o,o,CC,Donut,donut,NP00000,el,el,DA0MS0,como,como,CS,",",",",Fc,como,como,CS,pan,pan,NCMS000,de,de,SPS00,molde,molde,NCMS000,2014-01-08,2014,2010,CC DA0MS0 Bollycao Fc CS,DA0MS0 Bollycao Fc,CC DA0MS0 Bollycao,NP00000 CC DA0MS0 Bollycao,DA0MS0 NP00000 CC DA0MS0 Bollycao,Bollycao Fc CS,Bollycao Fc CS NCMS000,Bollycao Fc CS NCMS000 SPS00,"o el Bollycao , como","el Bollycao ,",o el Bollycao,donut o el Bollycao,el donut o el Bollycao,"Bollycao , como","Bollycao , como pan","Bollycao , como pan de"
http://www.laopinion.es/cultura/2014/01/09/ojala-sigan-repitan-errores/519427.html?utm_source=rss,laopinion.es,2014-01-09,Spain,bollycao/AQ0MS0/bollycao,"Cuando  yo  era  niño  ,  los  estándares  eran  los  bonys  y  los  tigretones  y  todos  aquellos  inventos  de  Bimbo  €  El bollycao  ya  me  pilló  tarde  y  siempre  me  inspiró  desconfianza  €  algo  en  ese  bollito  misteriosamente  esponjoso  y  aquel  relleno  a  lo  choco-chernóbil  que  me  sugerían  conexiones  petroquímicas  sospechosas  .",bollycao,aq0ms0,bollycao,El,el,NP00000,€,€,Fz,Bimbo,bimbo,NP00000,de,de,SPS00,inventos,invento,NCMP000,ya,ya,RG,me,me,PP1CS000,pilló,pillar,VMIS3S0,tarde,tarde,RG,y,y,CC,2014-01-09,2014,2010,Fz NP00000 Bollycao RG PP1CS000,NP00000 Bollycao RG,Fz NP00000 Bollycao,NP00000 Fz NP00000 Bollycao,SPS00 NP00000 Fz NP00000 Bollycao,Bollycao RG PP1CS000,Bollycao RG PP1CS000 VMIS3S0,Bollycao RG PP1CS000 VMIS3S0 RG,€ el Bollycao ya me,el Bollycao ya,€ el Bollycao,bimbo € el Bollycao,de bimbo € el Bollycao,Bollycao ya me,Bollycao ya me pillar,Bollycao ya me pillar tarde
http://www.eleconomista.es/economia/noticias/5448119/01/14/El-Gobierno-catalan-vuelve-a-mediar-sin-exito-entre-Panrico-y-los-trabajadores.html,eleconomista.es,2014-01-10,Spain,Bollycao/NP00000/bollycao,"El  Gobierno  catalán  ha  vuelto  a  mediar  este  viernes  entre  la  dirección  de  Panrico  y  los  trabajadores  del  fabricante  de  Donuts  y Bollycao  en  una  reunión  que  ha  acabado  sin  acuerdo  ,  por  lo  que  todas  las  partes  se  han  emplazado  a  un  nuevo  encuentro  la  semana  que  viene  .",bollycao,np00000,bollycao,y,y,CC,Donuts,donuts,NP00000,de,de,SPS00,fabricante,fabricante,NCCS000,del,de+el,SPS00+DA0MS0,en,en,SPS00,una,uno,DI0FS0,reunión,reunión,NCFS000,que,que,PR0CN000,ha,haber,VAIP3S0,2014-01-10,2014,2010,NP00000 CC Bollycao SPS00 DI0FS0,CC Bollycao SPS00,NP00000 CC Bollycao,SPS00 NP00000 CC Bollycao,NCCS000 SPS00 NP00000 CC Bollycao,Bollycao SPS00 DI0FS0,Bollycao SPS00 DI0FS0 NCFS000,Bollycao SPS00 DI0FS0 NCFS000 PR0CN000,donuts y Bollycao en uno,y Bollycao en,donuts y Bollycao,de donuts y Bollycao,fabricante de donuts y Bollycao,Bollycao en uno,Bollycao en uno reunión,Bollycao en uno reunión que
http://ccaa.elpais.com/ccaa/2014/01/10/catalunya/1389359031_540324.html,elpais.com,2014-01-10,Spain,Bollycao/NP00000/bollycao,Desde  2008  el  fabricante  de  Donuts  y Bollycao  acumula  unas  pérdidas  de  700_millones  de  euros  . </doc>,bollycao,np00000,bollycao,y,y,CC,Donuts,donuts,NP00000,de,de,SPS00,fabricante,fabricante,NCCS000,el,el,DA0MS0,acumula,acumular,VMIP3S0,unas,uno,DI0FP0,pérdidas,pérdida,NCFP000,de,de,SPS00,700_millones,700000000,Zd,2014-01-10,2014,2010,NP00000 CC Bollycao VMIP3S0 DI0FP0,CC Bollycao VMIP3S0,NP00000 CC Bollycao,SPS00 NP00000 CC Bollycao,NCCS000 SPS00 NP00000 CC Bollycao,Bollycao VMIP3S0 DI0FP0,Bollycao VMIP3S0 DI0FP0 NCFP000,Bollycao VMIP3S0 DI0FP0 NCFP000 SPS00,donuts y Bollycao acumular uno,y Bollycao acumular,donuts y Bollycao,de donuts y Bollycao,fabricante de donuts y Bollycao,Bollycao acumular uno,Bollycao acumular uno pérdida,Bollycao acumular uno pérdida de
http://ccaa.elpais.com/ccaa/2014/01/12/catalunya/1389528301_355792.html,elpais.com,2014-01-12,Spain,Bollycao/NP00000/bollycao,"Durante  el  encuentro  del  viernes  ,  los  representantes  de  los  trabajadores  se  comprometieron  ante  el  secretario  de  relaciones  laborales  a  no  hacer  piquetes  en  los  almacenes  de  distribución  que  traen  Donuts  y Bollycao  de  otras  plantas  ;  a  su  vez  ,  la  dirección  se  comprometió  a  restablecer  el  agua  y  la  luz  en  el  campamento  instalado  en  la  fábrica  de  Santa  Perpètua  ,  y  a  permitir  a  los  piquetes  entrar  en  la  planta  para  ir  al  baño  .",bollycao,np00000,bollycao,y,y,CC,Donuts,donuts,NP00000,traen,traer,VMIP3P0,que,que,PR0CN000,distribución,distribución,NCFS000,de,de,SPS00,otras,otro,DI0FP0,plantas,planta,NCFP000,;,;,Fx,a,a,SPS00,2014-01-12,2014,2010,NP00000 CC Bollycao SPS00 DI0FP0,CC Bollycao SPS00,NP00000 CC Bollycao,VMIP3P0 NP00000 CC Bollycao,PR0CN000 VMIP3P0 NP00000 CC Bollycao,Bollycao SPS00 DI0FP0,Bollycao SPS00 DI0FP0 NCFP000,Bollycao SPS00 DI0FP0 NCFP000 Fx,donuts y Bollycao de otro,y Bollycao de,donuts y Bollycao,traer donuts y Bollycao,que traer donuts y Bollycao,Bollycao de otro,Bollycao de otro planta,Bollycao de otro planta ;
http://economia.elpais.com/economia/2014/01/17/actualidad/1389964501_177529.html,elpais.com,2014-01-19,Spain,Bollycao/NP00000/bollycao,"El Bollycao  salía  a  11,1  euros  por  kilo  ,  mientras  que  Bimbocao  y  Hacendado  pagaban  seis  euros  .",bollycao,np00000,bollycao,El,el,DA0MS0,,,,,,,,,,,,,salía,salir,VMII1S0,a,a,SPS00,"11,1",11.1,Z,euros,euro,NCMP000,por,por,SPS00,2014-01-19,2014,2010,,DA0MS0 Bollycao VMII1S0,,,,Bollycao VMII1S0 SPS00,Bollycao VMII1S0 SPS00 Z,Bollycao VMII1S0 SPS00 Z NCMP000,,el Bollycao salir,,,,Bollycao salir a,Bollycao salir a 11.1,Bollycao salir a 11.1 euro
http://cincodias.com/cincodias/2014/01/19/empresas/1390150413_992832.html,cincodias.com,2014-01-19,===NONE===,Bollycaos/NP00000/bollycaos,"Ésta  ha  emitido  una  propuesta  de  expediente  por  un  presunta  ""  vulneración  del  derecho  de  huelga  ""  ,  derivado  del  hecho  que  Panrico  sigue  vendiendo  Donuts  y Bollycaos  en  Cataluña  .",bollycaos,np00000,bollycaos,y,y,CC,Donuts,donuts,NP00000,vendiendo,vender,VMG0000,sigue,seguir,VMIP3S0,Panrico,panrico,NP00000,en,en,SPS00,Cataluña,cataluña,NP00000,.,.,Fp,,,,,,,2014-01-19,2014,2010,NP00000 CC Bollycao SPS00 NP00000,CC Bollycao SPS00,NP00000 CC Bollycao,VMG0000 NP00000 CC Bollycao,VMIP3S0 VMG0000 NP00000 CC Bollycao,Bollycao SPS00 NP00000,Bollycao SPS00 NP00000 Fp,,donuts y Bollycao en cataluña,y Bollycao en,donuts y Bollycao,vender donuts y Bollycao,seguir vender donuts y Bollycao,Bollycao en cataluña,Bollycao en cataluña .,
http://ccaa.elpais.com/ccaa/2014/01/19/catalunya/1390159933_101120.html,elpais.com,2014-01-20,Spain,Bollycaos/NP00000/bollycaos,"""  Solidaritat  amb  els  companys  de  Panrico  ""  .  22  kilómetros  separan  esta  pintada  ,  en  una  tranquila  calle  del  barrio  del  Guinardó  de  Barcelona  ,  de  la  planta  de  Santa  Perpètua  de  Mogoda  (  Vallès  Oriental  )  de  donde  durante  décadas  han  salido  Donuts  , Bollycaos  o  pan  de  molde  .",bollycaos,np00000,bollycaos,",",",",Fc,Donuts,donuts,NP00000,salido,salir,VMP00SM,han,haber,VAIP3P0,décadas,década,NCFP000,o,o,CC,pan,pan,NCMS000,de,de,SPS00,molde,molde,NCMS000,.,.,Fp,2014-01-20,2014,2010,NP00000 Fc Bollycao CC NCMS000,Fc Bollycao CC,NP00000 Fc Bollycao,VMP00SM NP00000 Fc Bollycao,VAIP3P0 VMP00SM NP00000 Fc Bollycao,Bollycao CC NCMS000,Bollycao CC NCMS000 SPS00,Bollycao CC NCMS000 SPS00 NCMS000,"donuts , Bollycao o pan",", Bollycao o","donuts , Bollycao","salir donuts , Bollycao","haber salir donuts , Bollycao",Bollycao o pan,Bollycao o pan de,Bollycao o pan de molde
http://www.laopiniondemalaga.es/opinion/2014/01/31/ninos-pobres/649556.html?utm_source=rss,laopiniondemalaga.es,2014-01-31,Spain,bollycao/AQ0MS0/bollycao,"Será  que  desde  Bruselas  no  se  alcanza  a  ver  los  patios  de  los  colegios  ,  donde  uno  de  cada  tres  niños  es  posible  que  no  lleve  en  la  cartera  algo  para  desayunar  ,  y  esté  al  albur  de  la  solidaria  complicidad  de  algún  compañero  que  sepa  su  nombre  y  cuál  es  su  equipo  favorito  ,  alguien  que  ,  con  la  generosidad  que  siempre  hay  en  la  inocencia  ,  le  dé  la  mitad  de  su bollycao  . </doc>",bollycao,aq0ms0,bollycao,su,su,DP3CS0,de,de,SPS00,mitad,mitad,NCFS000,la,el,DA0FS0,dé,dar,VMSP1S0,.,.,Fp,</doc>,,,,,,,,,,,,2014-01-31,2014,2010,,DP3CS0 Bollycao Fp,SPS00 DP3CS0 Bollycao,NCFS000 SPS00 DP3CS0 Bollycao,DA0FS0 NCFS000 SPS00 DP3CS0 Bollycao,,,,,su Bollycao .,de su Bollycao,mitad de su Bollycao,el mitad de su Bollycao,,,
http://www.eleconomista.es/empresas-finanzas/noticias/5503543/01/14/El-dueno-de-Panrico-elude-impuestos-via-Luxemburgo-y-pide-ayudas-en-Espana.html,eleconomista.es,2014-01-31,Spain,Bollycao/NP00000/bollycao,"De  acuerdo  con  los  datos  del  Registro  Mercantil  ,  el  accionista  único  del  fabricante  español  de  bollería  ,  propietario  de  marcas  como  Donuts  o Bollycao  ,  es  Circle  3  Luxembourg  Holding  ,  una  sociedad  instrumental  domiciliada  en  el  Gran  Ducado  ,  que  controla  la  totalidad  de  los  derechos  de  voto  .",bollycao,np00000,bollycao,o,o,CC,Donuts,donuts,NP00000,como,como,CS,marcas,marca,NCFP000,de,de,SPS00,",",",",Fc,es,ser,VSIP3S0,Circle,circle,NP00000,3,3,Z,Luxembourg,luxembourg,NP00000,2014-01-31,2014,2010,NP00000 CC Bollycao Fc VSIP3S0,CC Bollycao Fc,NP00000 CC Bollycao,CS NP00000 CC Bollycao,NCFP000 CS NP00000 CC Bollycao,Bollycao Fc VSIP3S0,Bollycao Fc VSIP3S0 NP00000,Bollycao Fc VSIP3S0 NP00000 Z,"donuts o Bollycao , ser","o Bollycao ,",donuts o Bollycao,como donuts o Bollycao,marca como donuts o Bollycao,"Bollycao , ser","Bollycao , ser circle","Bollycao , ser circle 3"
