url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.eldiariodecoahuila.com.mx/notas/2014/1/2/salmon-discordia-406764.asp,eldiariodecoahuila.com.mx,2014-01-02,Mexico,Aquabounty/NP00000/aquabounty,"La  empresa  norteamericana Aquabounty  Technologies  ha  logrado  una  autorización  del  departamento  de  Medio  Ambiente  de  Canadá  para  cultivar  ahí  huevos  del  primer  animal  transgénico  diseñado  para  el  consumo  ,  un  salmón  .",aquabounty,np00000,aquabounty,norteamericana,norteamericano,AQ0FS0,empresa,empresa,NCFS000,La,el,DA0FS0,,,,,,,Technologies,technologies,NP00000,ha,haber,VAIP3S0,logrado,lograr,VMP00SM,una,uno,DI0FS0,autorización,autorización,NCFS000,2014-01-02,2014,2010,NCFS000 AQ0FS0 Bounty NP00000 VAIP3S0,AQ0FS0 Bounty NP00000,NCFS000 AQ0FS0 Bounty,DA0FS0 NCFS000 AQ0FS0 Bounty,,Bounty NP00000 VAIP3S0,Bounty NP00000 VAIP3S0 VMP00SM,Bounty NP00000 VAIP3S0 VMP00SM DI0FS0,empresa norteamericano Bounty technologies haber,norteamericano Bounty technologies,empresa norteamericano Bounty,el empresa norteamericano Bounty,,Bounty technologies haber,Bounty technologies haber lograr,Bounty technologies haber lograr uno
http://www.eldiariodecoahuila.com.mx/notas/2014/1/2/salmon-discordia-406764.asp,eldiariodecoahuila.com.mx,2014-01-02,Mexico,Aquabounty/NP00000/aquabounty,El  objetivo  de Aquabounty  es  conseguir  vender  los  huevos  a  las  piscifactorías  del  mundo  y  el  tiempo  dirá  si  conseguirán  algún  día  estar  en  las  estanterías  de  los  supermercados  .,aquabounty,np00000,aquabounty,de,de,SPS00,objetivo,objetivo,NCMS000,El,el,DA0MS0,,,,,,,es,ser,VSIP3S0,conseguir,conseguir,VMN0000,vender,vender,VMN0000,los,el,DA0MP0,huevos,huevo,NCMP000,2014-01-02,2014,2010,NCMS000 SPS00 Bounty VSIP3S0 VMN0000,SPS00 Bounty VSIP3S0,NCMS000 SPS00 Bounty,DA0MS0 NCMS000 SPS00 Bounty,,Bounty VSIP3S0 VMN0000,Bounty VSIP3S0 VMN0000 VMN0000,Bounty VSIP3S0 VMN0000 VMN0000 DA0MP0,objetivo de Bounty ser conseguir,de Bounty ser,objetivo de Bounty,el objetivo de Bounty,,Bounty ser conseguir,Bounty ser conseguir vender,Bounty ser conseguir vender el
http://www.eldiariodecoahuila.com.mx/notas/2014/1/2/salmon-discordia-406764.asp,eldiariodecoahuila.com.mx,2014-01-02,Mexico,AquaBounty/NP00000/aquabounty,"El  científico  advierte  ,  sin  embargo  ,  que  la  invención  de AquaBounty  no  es  la  solución  para  el  mantenimiento  de  especies  pesqueras  ,  uno  de  los  grandes  problemas  de  la  economía  pesquera  mundial  ,  que  tiene  problemas  para  mantener  a  sus  especies  .",aquabounty,np00000,aquabounty,de,de,SPS00,invención,invención,NCFS000,la,el,DA0FS0,que,que,CS,",",",",Fc,no,no,RN,es,ser,VSIP3S0,la,el,DA0FS0,solución,solución,NCFS000,para,para,SPS00,2014-01-02,2014,2010,NCFS000 SPS00 Bounty RN VSIP3S0,SPS00 Bounty RN,NCFS000 SPS00 Bounty,DA0FS0 NCFS000 SPS00 Bounty,CS DA0FS0 NCFS000 SPS00 Bounty,Bounty RN VSIP3S0,Bounty RN VSIP3S0 DA0FS0,Bounty RN VSIP3S0 DA0FS0 NCFS000,invención de Bounty no ser,de Bounty no,invención de Bounty,el invención de Bounty,que el invención de Bounty,Bounty no ser,Bounty no ser el,Bounty no ser el solución
http://www.emol.com/noticias/magazine/2014/01/05/638098/hotel-ecologico-sonado-por-marlon-brando-abrira-en-la-polinesia-francesa.html,emol.com,2014-01-05,Chile,Bounty/NP00000/bounty,"El  actor  estadounidense  ,  fallecido  en  2004  ,  estaba  fascinado  por  la  Polinesia  ,  donde  rodó  '  Mutiny  on  the Bounty  '  (  1962  )  .",bounty,np00000,bounty,the,the,NCFS000,on,on,VMIS3P0,Mutiny,mutiny,NP00000,',',Fe,rodó,rodar,VMIS3S0,',',Fe,(,(,Fpa,1962,1962,Z,),),Fpt,.,.,Fp,2014-01-05,2014,2010,VMIS3P0 NCFS000 Bounty Fe Fpa,NCFS000 Bounty Fe,VMIS3P0 NCFS000 Bounty,NP00000 VMIS3P0 NCFS000 Bounty,Fe NP00000 VMIS3P0 NCFS000 Bounty,Bounty Fe Fpa,Bounty Fe Fpa Z,Bounty Fe Fpa Z Fpt,on the Bounty ' (,the Bounty ',on the Bounty,mutiny on the Bounty,' mutiny on the Bounty,Bounty ' (,Bounty ' ( 1962,Bounty ' ( 1962 )
http://www.lr21.com.uy/mundo/1152750-en-facebook-un-cazador-publica-foto-del-pie-grande-que-dice-mato-en-texas#utm_source%3Drss%26utm_medium%3Drss%26utm_campaign%3Den-facebook-un-cazador-publica-foto-del-pie-grande-que-dice-mato-en-texas,lr21.com.uy,2014-01-08,Uruguay,Bounty/NP00000/bounty,"Curiosamente  la  noticia  aparece  en  el  mismo  momento  que  una  nueva  producción  televisiva  estadounidense  ""  Bigfoot Bounty  ""  ,  donde  entre  otros  aparece  Pie  Grande  ,  escala  los  ratings  televisivos  y  la  tendencia  de  Google  lo  lleva  al  puesto  17  superando  las  20.000  búsquedas  . </doc>",bounty,np00000,bounty,Bigfoot,bigfoot,NP00000,"""","""",Fe,estadounidense,estadounidense,AQ0CS0,televisiva,televisivo,AQ0FS0,producción,producción,NCFS000,"""","""",Fe,",",",",Fc,donde,donde,PR000000,entre,entre,SPS00,otros,otro,PI0MP000,2014-01-08,2014,2010,Fe NP00000 Bounty Fe Fc,NP00000 Bounty Fe,Fe NP00000 Bounty,AQ0CS0 Fe NP00000 Bounty,AQ0FS0 AQ0CS0 Fe NP00000 Bounty,Bounty Fe Fc,Bounty Fe Fc PR000000,Bounty Fe Fc PR000000 SPS00,""" bigfoot Bounty "" ,","bigfoot Bounty """,""" bigfoot Bounty","estadounidense "" bigfoot Bounty","televisivo estadounidense "" bigfoot Bounty","Bounty "" ,","Bounty "" , donde","Bounty "" , donde entre"
http://rdnoticias.com/noticia/6548/sandy-deja-m-amp-225-s-de-un-centenar-de-muertos-en-eu,rdnoticias.com,2014-01-10,United States,Bounty/NP00000/bounty,"Entre  los  tres  fallecidos  registrados  en  Carolina  del  Norte  se  encuentra  el  capitán  del  velero  ""  HMS Bounty  ""  ,  cuyo  cuerpo  desaparecido  ha  dejado  de  buscarse  tras  el  naufragio  de  la  nave  frente  a  las  costas  del  Cabo  Hatteras  durante  el  huracán  .",bounty,np00000,bounty,HMS,hms,NP00000,"""","""",Fe,velero,velero,NCMS000,del,de+el,SPS00+DA0MS0,capitán,capitán,NCMS000,"""","""",Fe,",",",",Fc,cuyo,cuyo,PR0MS000,cuerpo,cuerpo,NCMS000,desaparecido,desaparecer,VMP00SM,2014-01-10,2014,2010,Fe NP00000 Bounty Fe Fc,NP00000 Bounty Fe,Fe NP00000 Bounty,NCMS000 Fe NP00000 Bounty,SPS00+DA0MS0 NCMS000 Fe NP00000 Bounty,Bounty Fe Fc,Bounty Fe Fc PR0MS000,Bounty Fe Fc PR0MS000 NCMS000,""" hms Bounty "" ,","hms Bounty """,""" hms Bounty","velero "" hms Bounty","de+el velero "" hms Bounty","Bounty "" ,","Bounty "" , cuyo","Bounty "" , cuyo cuerpo"
http://www.superdeporte.es/poker/2014/01/10/vuelve-emocion-liga-valenciana-poker/214821.html?utm_source=rss,superdeporte.es,2014-01-10,Spain,bounty/RG/bounty,"Sólo  nos  queda  Terminator  Poker  ,  que  llegaba  con  novedades  ,  volviendo  a  sus  orígenes  ,  al bounty  .  51  jugadores  y  2.180  €  en  juego  .",bounty,rg,bounty,al,a+el,SPS00+DA0MS0,",",",",Fc,orígenes,origen,NCMP000,sus,su,DP3CP0,a,a,SPS00,.,.,Fp,51,51,Z,jugadores,jugador,NCMP000,y,y,CC,2.180,2180,Z,2014-01-10,2014,2010,Fc SPS00+DA0MS0 Bounty Fp Z,SPS00+DA0MS0 Bounty Fp,Fc SPS00+DA0MS0 Bounty,NCMP000 Fc SPS00+DA0MS0 Bounty,DP3CP0 NCMP000 Fc SPS00+DA0MS0 Bounty,Bounty Fp Z,Bounty Fp Z NCMP000,Bounty Fp Z NCMP000 CC,", a+el Bounty . 51",a+el Bounty .,", a+el Bounty","origen , a+el Bounty","su origen , a+el Bounty",Bounty . 51,Bounty . 51 jugador,Bounty . 51 jugador y
http://jenesaispop.com/2014/01/17/iamamiwhoami-anuncia-fountain/,jenesaispop.com,2014-01-17,===NONE===,bounty/RG/bounty,"En  caso  de  tratarse  del  nuevo  álbum  de  la  sueca  ,  conformaría  el  tercero  de  su  carrera  tras  '  kin  '  y  la  compilación  de  singles  anteriores  ' bounty  '  . </doc>",bounty,rg,bounty,',',Fe,anteriores,anterior,AQ0CP0,singles,single,NCMP000,de,de,SPS00,compilación,compilación,NCFS000,',',Fe,.,.,Fp,</doc>,,,,,,,,,2014-01-17,2014,2010,AQ0CP0 Fe Bounty Fe Fp,Fe Bounty Fe,AQ0CP0 Fe Bounty,NCMP000 AQ0CP0 Fe Bounty,SPS00 NCMP000 AQ0CP0 Fe Bounty,Bounty Fe Fp,,,anterior ' Bounty ' .,' Bounty ',anterior ' Bounty,single anterior ' Bounty,de single anterior ' Bounty,Bounty ' .,,
http://www.elcorreo.com/vizcaya/20140119/mas-actualidad/sociedad/corsarios-siglo-201401171657.html?utm_source=elcorreodigital.com&utm_medium=rss&utm_content=sociedad-rss&utm_campaign=traffic-rss,elcorreo.com,2014-01-19,Spain,Bounty/NP00000/bounty,"Entre  el  14  y  el  19  de  agosto  atacó  tres  barcos  -  una  violación  de  la  zona  panamericana  de  neutralidad  -  y  se  replegó  enseguida  a  su  anterior  teatro  de  operaciones  ,  entre  Nueva  Zelanda  y  las  islas  Pitcairn  ,  donde  a  finales  del  XVIII  se  escondieron  los  amotinados  de  la  ' Bounty  '  .",bounty,np00000,bounty,',',Fe,la,el,DA0FS0,de,de,SPS00,amotinados,amotinado,NCMP000,los,el,DA0MP0,',',Fe,.,.,Fp,,,,,,,,,,2014-01-19,2014,2010,DA0FS0 Fe Bounty Fe Fp,Fe Bounty Fe,DA0FS0 Fe Bounty,SPS00 DA0FS0 Fe Bounty,NCMP000 SPS00 DA0FS0 Fe Bounty,Bounty Fe Fp,,,el ' Bounty ' .,' Bounty ',el ' Bounty,de el ' Bounty,amotinado de el ' Bounty,Bounty ' .,,
http://www.eurogamer.es/articles/2014-01-22-strike-vector-llegara-a-steam-la-semana-que-viene,eurogamer.es,2014-01-22,Spain,Bounty/NP00000/bounty,"Strike  Vector  estará  disponible  por  unos  25  dólares  ,  y  aunque  la  versión  inicial  solo  contará  con  cuatro  modos  de  juego  -  Deathmatch  ,  Team  Domination  ,  Team  Deathmatch  y Bounty  Hunter  -  la  desarrolladora  asegura  en  su  página  de  Steam  que  añadirán  nuevos  modos  y  mapas  en  las  semanas  siguientes  al  lanzamiento  . </doc>",bounty,np00000,bounty,y,y,CC,Deathmatch,deathmatch,NP00000,Team,team,NP00000,",",",",Fc,Domination,domination,NP00000,Hunter,hunter,NP00000,-,-,Fg,la,el,DA0FS0,desarrolladora,desarrollador,NCFS000,asegura,asegurar,VMIP3S0,2014-01-22,2014,2010,NP00000 CC Bounty NP00000 Fg,CC Bounty NP00000,NP00000 CC Bounty,NP00000 NP00000 CC Bounty,Fc NP00000 NP00000 CC Bounty,Bounty NP00000 Fg,Bounty NP00000 Fg DA0FS0,Bounty NP00000 Fg DA0FS0 NCFS000,deathmatch y Bounty hunter -,y Bounty hunter,deathmatch y Bounty,team deathmatch y Bounty,", team deathmatch y Bounty",Bounty hunter -,Bounty hunter - el,Bounty hunter - el desarrollador
