url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://cincodias.com/cincodias/2014/01/28/empresas/1390940788_600534.html,cincodias.com,2014-01-28,===NONE===,Buckler/NP00000/buckler,"Desde  su  agencia  lo  han  puesto  en  práctica  con  el  concepto  before  work  (  antes  del  trabajo  )  para Buckler  0,0  ,  que  invita  a  los  cerveceros  a  tomar  una  birra  sin  alcohol  durante  la  jornada  laboral  .  ""  Ya  no  se  puede  bombardear  con  eslóganes  ,  hay  que  estar  ahí  cuando  el  posible  comprador  te  necesite  ""  ,  añade  Pancho  Cassis  ,  director  creativo  de  LOLA  Madrid  .",buckler,np00000,buckler,para,para,SPS00,),),Fpt,trabajo,trabajo,NCMS000,del,de+el,SPS00+DA0MS0,antes,antes,RG,"0,0",0,Z,",",",",Fc,que,que,PR0CN000,invita,invitar,VMIP3S0,a,a,SPS00,2014-01-28,2014,2010,Fpt SPS00 Buckler Z Fc,SPS00 Buckler Z,Fpt SPS00 Buckler,NCMS000 Fpt SPS00 Buckler,SPS00+DA0MS0 NCMS000 Fpt SPS00 Buckler,Buckler Z Fc,Buckler Z Fc PR0CN000,Buckler Z Fc PR0CN000 VMIP3S0,") para Buckler 0 ,",para Buckler 0,) para Buckler,trabajo ) para Buckler,de+el trabajo ) para Buckler,"Buckler 0 ,","Buckler 0 , que","Buckler 0 , que invitar"
http://www.diariodeavisos.com/2014/01/gaston-malacalza-sentar-catedra/,diariodeavisos.com,2014-01-30,Spain,Buckler/NP00000/buckler,"Mañana  el  jugador  impartirá  una  master  class  con  los  patrocinadores  del  evento  ,  Chico  y  Martín  ,  40-15  Sport  ,  Isoftcan  ,  Comesa  Canarias  ,  Don  Comelón  , Buckler  00  ,  a24  Multi  Express  ,  Restauración  Casa  Canaria  ,  Tecnisur  Sport  &  Cafe  ,  Grupo  Serhos  y  Doble  Pared  mientras  que  la  jornada  de  clausura  estará  abierta  a  todos  los  aficionados  en  general  para  los  que  Gastón  Malacalza  impartirá  un  curso  intensivo  . </doc>",buckler,np00000,buckler,",",",",Fc,Comelón,comelón,NP00000,Don,don,NP00000,",",",",Fc,Canarias,canarias,NP00000,00,0,Z,",",",",Fc,a24,a24,Z,Multi,multi,NP00000,Express,express,NP00000,2014-01-30,2014,2010,NP00000 Fc Buckler Z Fc,Fc Buckler Z,NP00000 Fc Buckler,NP00000 NP00000 Fc Buckler,Fc NP00000 NP00000 Fc Buckler,Buckler Z Fc,Buckler Z Fc Z,Buckler Z Fc Z NP00000,"comelón , Buckler 0 ,",", Buckler 0","comelón , Buckler","don comelón , Buckler",", don comelón , Buckler","Buckler 0 ,","Buckler 0 , a24","Buckler 0 , a24 multi"
http://www.libremercado.com/2014-02-11/100-montaditos-y-la-surena-cambian-a-mahou-por-cruzcampo-1276510445/,libremercado.com,2014-02-11,Spain,Buckler/NP00000/buckler,"Además  de  Cruzcampo  ,  Heineken  es  propietaria  de  marcas  tan  emblemáticas  como  Amstel  o Buckler  .",buckler,np00000,buckler,o,o,CC,Amstel,amstel,NP00000,como,como,CS,emblemáticas,emblemático,AQ0FP0,tan,tan,RG,.,.,Fp,,,,,,,,,,,,,2014-02-11,2014,2010,,CC Buckler Fp,NP00000 CC Buckler,CS NP00000 CC Buckler,AQ0FP0 CS NP00000 CC Buckler,,,,,o Buckler .,amstel o Buckler,como amstel o Buckler,emblemático como amstel o Buckler,,,
http://www.elperiodicomediterraneo.com/noticias/magdalena/sobredosis-buen-rollo-mejor-bebida-carpa-cerveza_867236.html,elperiodicomediterraneo.com,2014-03-24,===NONE===,Buckler/NP00000/buckler,"La  Carpa  abre  sus  puertas  a  diario  ,  durante  la  semana  grande  ,  a  partir  de  las  12.00  horas  ,  con  un  amplio  surtido  de  las  mejores  cervezas  del  mundo  ,  con  marcas  como  Maes  ,  Foster's  ,  Guinness  ,  Murphy's  ,  Paulaner  ,  Heineken  ,  Affligem  y Buckler  ,  entre  otras  .",buckler,np00000,buckler,y,y,CC,Affligem,affligem,NP00000,",",",",Fc,Heineken,heineken,NP00000,",",",",Fc,",",",",Fc,entre,entre,SPS00,otras,otro,PI0FP000,.,.,Fp,,,,2014-03-24,2014,2010,NP00000 CC Buckler Fc SPS00,CC Buckler Fc,NP00000 CC Buckler,Fc NP00000 CC Buckler,NP00000 Fc NP00000 CC Buckler,Buckler Fc SPS00,Buckler Fc SPS00 PI0FP000,Buckler Fc SPS00 PI0FP000 Fp,"affligem y Buckler , entre","y Buckler ,",affligem y Buckler,", affligem y Buckler","heineken , affligem y Buckler","Buckler , entre","Buckler , entre otro","Buckler , entre otro ."
http://www.elperiodicomediterraneo.com/noticias/magdalena/cerveza-mas-internacional-gran-ambiente-amigos_867554.html,elperiodicomediterraneo.com,2014-03-26,===NONE===,Buckler/NP00000/buckler,"Miles  de  personas  accedieron  al  recinto  para  degustar  alguna  de  las  mejores  marcas  de  cerveza  del  mercado  internacional  ,  como  Maes  ,  Foster's  ,  Guinness  ,  Murphy's  ,  Paulaner  ,  Heineken  ,  Affligem  y Buckler  ,  entre  otras  .",buckler,np00000,buckler,y,y,CC,Affligem,affligem,NP00000,",",",",Fc,Heineken,heineken,NP00000,",",",",Fc,",",",",Fc,entre,entre,SPS00,otras,otro,PI0FP000,.,.,Fp,,,,2014-03-26,2014,2010,NP00000 CC Buckler Fc SPS00,CC Buckler Fc,NP00000 CC Buckler,Fc NP00000 CC Buckler,NP00000 Fc NP00000 CC Buckler,Buckler Fc SPS00,Buckler Fc SPS00 PI0FP000,Buckler Fc SPS00 PI0FP000 Fp,"affligem y Buckler , entre","y Buckler ,",affligem y Buckler,", affligem y Buckler","heineken , affligem y Buckler","Buckler , entre","Buckler , entre otro","Buckler , entre otro ."
http://sevilla.abc.es/sevilla/20140515/sevi-mejor-imagen-representa-arte-201405151718.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-05-15,Spain,Buckler/NP00000/buckler,"Cruzcampo  es  parte  de  Heineken  España  ,  que  produce  y  comercializa  además  Heineken  y Buckler  ,  marcas  más  vendidas  en  sus  respectivos  segmentos  ,  además  de  la  marca  Amstel  ,  que  es  la  tercera  marca  de  cerveza  más  vendida  en  Europa  Occidental  .",buckler,np00000,buckler,y,y,CC,Heineken,heineken,NP00000,además,además,RG,comercializa,comercializar,VMIP3S0,y,y,CC,",",",",Fc,marcas,marca,NCFP000,más,más,RG,vendidas,vender,VMP00PF,en,en,SPS00,2014-05-15,2014,2010,NP00000 CC Buckler Fc NCFP000,CC Buckler Fc,NP00000 CC Buckler,RG NP00000 CC Buckler,VMIP3S0 RG NP00000 CC Buckler,Buckler Fc NCFP000,Buckler Fc NCFP000 RG,Buckler Fc NCFP000 RG VMP00PF,"heineken y Buckler , marca","y Buckler ,",heineken y Buckler,además heineken y Buckler,comercializar además heineken y Buckler,"Buckler , marca","Buckler , marca más","Buckler , marca más vender"
http://www.abc.es/estilo/gente/20140529/abci-selfie-pasado-moda-201405291812.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-05-29,Spain,Buckler/NP00000/buckler,"Las  propulsoras  de  este  movimiento  fueron  las  aventureras  Olivia  Edginton  ,  Lydia Buckler  e  Ingvild  Marstein  Olsen  .",buckler,np00000,buckler,Lydia,lydia,NP00000,",",",",Fc,Edginton,edginton,NP00000,Olivia,olivia,NP00000,aventureras,aventurero,NCFP000,e,y,CC,Ingvild,ingvild,NP00000,Marstein,marstein,NP00000,Olsen,olsen,NP00000,.,.,Fp,2014-05-29,2014,2010,Fc NP00000 Buckler CC NP00000,NP00000 Buckler CC,Fc NP00000 Buckler,NP00000 Fc NP00000 Buckler,NP00000 NP00000 Fc NP00000 Buckler,Buckler CC NP00000,Buckler CC NP00000 NP00000,Buckler CC NP00000 NP00000 NP00000,", lydia Buckler y ingvild",lydia Buckler y,", lydia Buckler","edginton , lydia Buckler","olivia edginton , lydia Buckler",Buckler y ingvild,Buckler y ingvild marstein,Buckler y ingvild marstein olsen
http://mexico.cnn.com/tecnologia/2014/06/03/la-ultima-tendencia-en-los-viajes-fotos-en-topless,cnn.com,2014-06-03,===NONE===,Buckler/NP00000/buckler,"The  Topless  Tour  fue  iniciado  hace  dos  años  por  las  amigas  Olivia  Edginton  ,  20  ,  Lydia Buckler  ,  21  ,  e  Ingvild  Marstein  Olsen  ,  20  ,  estudiantes  del  Trinity  Laban  Conservatoire  of  Music  &  Dance  de  Londres  .",buckler,np00000,buckler,Lydia,lydia,NP00000,",",",",Fc,20,20,Z,",",",",Fc,Edginton,edginton,NP00000,",",",",Fc,21,21,Z,",",",",Fc,e,y,CC,Ingvild,ingvild,NP00000,2014-06-03,2014,2010,Fc NP00000 Buckler Fc Z,NP00000 Buckler Fc,Fc NP00000 Buckler,Z Fc NP00000 Buckler,Fc Z Fc NP00000 Buckler,Buckler Fc Z,Buckler Fc Z Fc,Buckler Fc Z Fc CC,", lydia Buckler , 21","lydia Buckler ,",", lydia Buckler","20 , lydia Buckler",", 20 , lydia Buckler","Buckler , 21","Buckler , 21 ,","Buckler , 21 , y"
http://www.lavanguardia.com/local/pais-vasco/20140608/54409744849/una-alavesa-que-ha-superado-el-cancer-en-tres-ocasiones-designada-superwoman-del-proyecto.html,lavanguardia.com,2014-06-08,Spain,Buckler/NP00000/buckler,"<doc uri=http://www.lavanguardia.com/local/pais-vasco/20140608/54409744849/una-alavesa-que-ha-superado-el-cancer-en-tres-ocasiones-designada-superwoman-del-proyecto.html website=lavanguardia.com date=2014-06-08 source_country=Spain> /uno/DI0FS0 /alavés/NCFS000 /que/PR0CN000 /haber/VAIP3S0 /superar/VMP00SM /el/DA0MS0 /cáncer/NCMS000 /en/SPS00 /3/Z /ocasión/NCFP000 /,/Fc /designar/VMP00SF /superwoman/NP00000 /de+el/SPS00+DA0MS0 /proyecto/NCMS000 /solidario/AQ0MS0 /de/SPS00 Buckler  0,0",buckler,np00000,buckler,de,de,SPS00,solidario,solidario,AQ0MS0,proyecto,proyecto,NCMS000,del,de+el,SPS00+DA0MS0,SuperWoman,superwoman,NP00000,"0,0",0,Z,,,,,,,,,,,,,2014-06-08,2014,2010,,SPS00 Buckler Z,AQ0MS0 SPS00 Buckler,NCMS000 AQ0MS0 SPS00 Buckler,SPS00+DA0MS0 NCMS000 AQ0MS0 SPS00 Buckler,,,,,de Buckler 0,solidario de Buckler,proyecto solidario de Buckler,de+el proyecto solidario de Buckler,,,
http://www.lavanguardia.com/local/pais-vasco/20140608/54409744849/una-alavesa-que-ha-superado-el-cancer-en-tres-ocasiones-designada-superwoman-del-proyecto.html,lavanguardia.com,2014-06-08,Spain,Buckler/NP00000/buckler,"Gemma  García  ,  una  alavesa  que  ha  superado  tres  tipos  de  cáncer  distintos  ,  es  una  de  las  SuperWoman  del  proyecto  solidario  de Buckler  0,0  con  el  cantante  David  Bustamante  .",buckler,np00000,buckler,de,de,SPS00,solidario,solidario,AQ0MS0,proyecto,proyecto,NCMS000,del,de+el,SPS00+DA0MS0,SuperWoman,superwoman,NP00000,"0,0",0,Z,con,con,SPS00,el,el,DA0MS0,cantante,cantante,NCCS000,David,david,NP00000,2014-06-08,2014,2010,AQ0MS0 SPS00 Buckler Z SPS00,SPS00 Buckler Z,AQ0MS0 SPS00 Buckler,NCMS000 AQ0MS0 SPS00 Buckler,SPS00+DA0MS0 NCMS000 AQ0MS0 SPS00 Buckler,Buckler Z SPS00,Buckler Z SPS00 DA0MS0,Buckler Z SPS00 DA0MS0 NCCS000,solidario de Buckler 0 con,de Buckler 0,solidario de Buckler,proyecto solidario de Buckler,de+el proyecto solidario de Buckler,Buckler 0 con,Buckler 0 con el,Buckler 0 con el cantante
