url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://entretenimiento.terra.com.pe/golden-globe/golden-globe-awards-2014-los-mejor-y-peor-vestidos-en-fotos%2C7a7ab90992983410VgnVCM5000009ccceb0aRCRD.html,terra.com.pe,2014-01-13,Peru,Bvlgari/NP00000/bvlgari,La  actriz  llevó  puesto  vestido  y  zapatos  de  Givenchy  que  complementó  con  un  collar Bvlgari  .,bvlgari,np00000,bvlgari,collar,collar,NCMS000,un,uno,DI0MS0,con,con,SPS00,complementó,complementar,VMIS3S0,que,que,PR0CN000,.,.,Fp,,,,,,,,,,,,,2014-01-13,2014,2010,,NCMS000 Bvlgari Fp,DI0MS0 NCMS000 Bvlgari,SPS00 DI0MS0 NCMS000 Bvlgari,VMIS3S0 SPS00 DI0MS0 NCMS000 Bvlgari,,,,,collar Bvlgari .,uno collar Bvlgari,con uno collar Bvlgari,complementar con uno collar Bvlgari,,,
http://www.minutoneuquen.com/notas/2014/1/18/copiones%21-futbolista-modelo-casan-mismo-anillo-wanda-mauro-icardi%21-84924.asp,minutoneuquen.com,2014-01-18,Argentina,Bvlgari/NP00000/bvlgari,"Larissa  Riquelme  tuiteó  una  foto  en  donde  se  la  ve  junto  a  su  chico  tomados  de  la  mano  luciendo  los  anillos  ,  muy  similares  a  los  de  Wanda  Nara  cuando  se  comprometió  con  Mauro  Icardi  ,  un  diseño  muy  caro  de  la  marca Bvlgari  .",bvlgari,np00000,bvlgari,marca,marca,NCFS000,la,el,DA0FS0,de,de,SPS00,caro,caro,AQ0MS0,muy,muy,RG,.,.,Fp,,,,,,,,,,,,,2014-01-18,2014,2010,,NCFS000 Bvlgari Fp,DA0FS0 NCFS000 Bvlgari,SPS00 DA0FS0 NCFS000 Bvlgari,AQ0MS0 SPS00 DA0FS0 NCFS000 Bvlgari,,,,,marca Bvlgari .,el marca Bvlgari,de el marca Bvlgari,caro de el marca Bvlgari,,,
http://www.antena3.com/celebrities/famosos-realeza/princesa-letizia-gasto-30000-euros-vestirse-actos-oficiales-2013_2014020500068.html,antena3.com,2014-02-05,Spain,Bvlgari/NP00000/bvlgari,"Su  adquisición  más  cara  fueron  unos  pendientes  de Bvlgari  de  oro  blanco  de  18  quilates  ,  diamantes  pavé  ,  gemas  ,  cuarzo  naranja  ,  topacio  azul  y  peridoto  valorados  en  4.400  euros  .",bvlgari,np00000,bvlgari,de,de,SPS00,pendientes,pendiente,NCMP000,unos,uno,DI0MP0,fueron,ser,VSIS3P0,cara,cara,NCFS000,de,de,SPS00,oro,oro,NCMS000,blanco,blanco,AQ0MS0,de,de,SPS00,18,18,Z,2014-02-05,2014,2010,NCMP000 SPS00 Bvlgari SPS00 NCMS000,SPS00 Bvlgari SPS00,NCMP000 SPS00 Bvlgari,DI0MP0 NCMP000 SPS00 Bvlgari,VSIS3P0 DI0MP0 NCMP000 SPS00 Bvlgari,Bvlgari SPS00 NCMS000,Bvlgari SPS00 NCMS000 AQ0MS0,Bvlgari SPS00 NCMS000 AQ0MS0 SPS00,pendiente de Bvlgari de oro,de Bvlgari de,pendiente de Bvlgari,uno pendiente de Bvlgari,ser uno pendiente de Bvlgari,Bvlgari de oro,Bvlgari de oro blanco,Bvlgari de oro blanco de
http://www.lavanguardia.com/local/castilla-la-mancha/20140206/54399977820/detenidas-cuatro-personas-por-vender-ropa-y-joyas-falsas-en-un-mercadillo-de-albacete.html,lavanguardia.com,2014-02-06,Spain,Bvlgari/NP00000/bvlgari,"Se  les  ha  intervenido  130  prendas  de  vestir  con  etiquetas  falsas  Nike  y  Adidas  ,  así  como  148  artículos  de  joyería  simulando  ser  de  Hermes  ,  Tous  ,  Carolina  Herrera  , Bvlgari  y  Cartier  .",bvlgari,np00000,bvlgari,",",",",Fc,Herrera,herrera,NP00000,Carolina,carolina,NP00000,",",",",Fc,Tous,tous,NP00000,y,y,CC,Cartier,cartier,NP00000,.,.,Fp,,,,,,,2014-02-06,2014,2010,NP00000 Fc Bvlgari CC NP00000,Fc Bvlgari CC,NP00000 Fc Bvlgari,NP00000 NP00000 Fc Bvlgari,Fc NP00000 NP00000 Fc Bvlgari,Bvlgari CC NP00000,Bvlgari CC NP00000 Fp,,"herrera , Bvlgari y cartier",", Bvlgari y","herrera , Bvlgari","carolina herrera , Bvlgari",", carolina herrera , Bvlgari",Bvlgari y cartier,Bvlgari y cartier .,
http://www.eluniversal.com/guia-turistica/140209/cruceros,eluniversal.com,2014-02-15,Venezuela,Bvlgari/NP00000/bvlgari,"Elegantes  y  todas  externas  ,  reflejan  comodidad  con  estilo  :  camas  vestidas  con  fina  lencería  belga  ,  menú  de  almohadas  ,  baños  revestidos  de  mármol  ,  ducha  de  masaje  multi-jet  ,  productos Bvlgari  ,  batas  y  pantuflas  de  algodón  turco  .",bvlgari,np00000,bvlgari,productos,producto,NCMP000,",",",",Fc,multi-jet,multi-jet,NCMS000,masaje,masaje,NCMS000,de,de,SPS00,",",",",Fc,batas,bata,NCFP000,y,y,CC,pantuflas,pantufla,NCFP000,de,de,SPS00,2014-02-15,2014,2010,Fc NCMP000 Bvlgari Fc NCFP000,NCMP000 Bvlgari Fc,Fc NCMP000 Bvlgari,NCMS000 Fc NCMP000 Bvlgari,NCMS000 NCMS000 Fc NCMP000 Bvlgari,Bvlgari Fc NCFP000,Bvlgari Fc NCFP000 CC,Bvlgari Fc NCFP000 CC NCFP000,", producto Bvlgari , bata","producto Bvlgari ,",", producto Bvlgari","multi-jet , producto Bvlgari","masaje multi-jet , producto Bvlgari","Bvlgari , bata","Bvlgari , bata y","Bvlgari , bata y pantufla"
http://www.telecinco.es/informativos/sociedad/Intervienen-bisuteria-MP3-falsificados-Badalona_0_1761900285.html,telecinco.es,2014-03-11,Spain,Bvlgari/NP00000/bvlgari,"La  Policía  Local  de  Badalona  (  Barcelona  )  ha  intervenido  en  seis  almacenes  13.244  elementos  de  bisutería  falsificados  de  las  marcas Bvlgari  y  Tous  ,  1.021  reproductores  de  música  digital  Apple  ,  además  de  30  cubiertas  de  iPhone  ,  ha  informado  el  Ayuntamiento  .",bvlgari,np00000,bvlgari,marcas,marca,NCFP000,las,el,DA0FP0,de,de,SPS00,falsificados,falsificar,VMP00PM,bisutería,bisutería,NCFS000,y,y,CC,Tous,tous,NP00000,",",",",Fc,1.021,1021,Z,reproductores,reproductor,NCMP000,2014-03-11,2014,2010,DA0FP0 NCFP000 Bvlgari CC NP00000,NCFP000 Bvlgari CC,DA0FP0 NCFP000 Bvlgari,SPS00 DA0FP0 NCFP000 Bvlgari,VMP00PM SPS00 DA0FP0 NCFP000 Bvlgari,Bvlgari CC NP00000,Bvlgari CC NP00000 Fc,Bvlgari CC NP00000 Fc Z,el marca Bvlgari y tous,marca Bvlgari y,el marca Bvlgari,de el marca Bvlgari,falsificar de el marca Bvlgari,Bvlgari y tous,"Bvlgari y tous ,","Bvlgari y tous , 1021"
http://www.telecinco.es/informativos/sociedad/Intervienen-bisuteria-MP3-falsificados-Badalona_0_1761900285.html,telecinco.es,2014-03-11,Spain,Bvlgari/NP00000/bvlgari,"Entre  el  material  incautado  figuraban  468  anillos  ,  2.553  pulseras  ,  7.482  pendientes  falsos  de Bvlgari  ;  532  anillos  ,  912  pendientes  y  463  collares  de  Tous  ;  994  MP3  Shuffle  y  22  MP3  Nano  de  la  marca  Apple  ,  y  el  valor  que  los  productos  hubieran  tenido  de  ser  auténticos  ascendería  a  más  19_millones  de  euros  . </doc>",bvlgari,np00000,bvlgari,de,de,SPS00,falsos,falso,AQ0MP0,pendientes,pendiente,NCMP000,7.482,7482,Z,",",",",Fc,;,;,Fx,532,532,Z,anillos,anillo,NCMP000,",",",",Fc,912,912,Z,2014-03-11,2014,2010,AQ0MP0 SPS00 Bvlgari Fx Z,SPS00 Bvlgari Fx,AQ0MP0 SPS00 Bvlgari,NCMP000 AQ0MP0 SPS00 Bvlgari,Z NCMP000 AQ0MP0 SPS00 Bvlgari,Bvlgari Fx Z,Bvlgari Fx Z NCMP000,Bvlgari Fx Z NCMP000 Fc,falso de Bvlgari ; 532,de Bvlgari ;,falso de Bvlgari,pendiente falso de Bvlgari,7482 pendiente falso de Bvlgari,Bvlgari ; 532,Bvlgari ; 532 anillo,"Bvlgari ; 532 anillo ,"
http://cultura.elpais.com/cultura/2014/04/03/actualidad/1396514156_391059.html,elpais.com,2014-04-23,Spain,Bvlgari/NP00000/bvlgari,"A  la  maravillosa  Audrey  Hepburn  que  recorría  la  Roma  de  aquellos  años  en  una  vespa  -  también  presente  en  la  exposición  -  o  a  Elizabeth  Taylor  ,  adepta  a  las  prendas  de  factura  italiana  más  exuberantes  y  también  a  sus  joyas  (  un  impresionante  collar  de Bvlgari  ,  patrocinador  de  la  muestra  del  V  &  A  ,  selló  su  compromiso  con  Richard  Burton  en  los  60  ́  )  .",bvlgari,np00000,bvlgari,de,de,SPS00,collar,collar,NCMS000,impresionante,impresionante,AQ0CS0,un,uno,DI0MS0,(,(,Fpa,",",",",Fc,patrocinador,patrocinador,AQ0MS0,de,de,SPS00,la,el,DA0FS0,muestra,muestra,NCFS000,2014-04-23,2014,2010,NCMS000 SPS00 Bvlgari Fc AQ0MS0,SPS00 Bvlgari Fc,NCMS000 SPS00 Bvlgari,AQ0CS0 NCMS000 SPS00 Bvlgari,DI0MS0 AQ0CS0 NCMS000 SPS00 Bvlgari,Bvlgari Fc AQ0MS0,Bvlgari Fc AQ0MS0 SPS00,Bvlgari Fc AQ0MS0 SPS00 DA0FS0,"collar de Bvlgari , patrocinador","de Bvlgari ,",collar de Bvlgari,impresionante collar de Bvlgari,uno impresionante collar de Bvlgari,"Bvlgari , patrocinador","Bvlgari , patrocinador de","Bvlgari , patrocinador de el"
http://www.europapress.es/comunicados/internacional/noticia-comunicado-hainan-airlines-centro-atencion-agente-internacional-cumbre-global-2014-wttc-20140428162523.html,europapress.es,2014-04-28,Spain,Bvlgari/NP00000/bvlgari,"Hu  añadió  que  Hainan  Airlines  proporciona  a  los  pasajeros  con  servicios  de  cinco  estrellas  en  sus  vuelos  principales  ,  incluyendo  equipos  de  amenidad Bvlgari  ,  gastronomía  molecular  ofrecida  por  chefs  de  Taiwán  ,  así  como  el  vino  español  Torres  Sangre  de  Toro  ,  ganador  de  Best  First  Class  y  Business  Class  Wines  en  los  premios  Wing  de  Global  Traveler  .",bvlgari,np00000,bvlgari,amenidad,amenidad,NCFS000,de,de,SPS00,equipos,equipo,NCMP000,incluyendo,incluir,VMG0000,",",",",Fc,",",",",Fc,gastronomía,gastronomía,NCFS000,molecular,molecular,AQ0CS0,ofrecida,ofrecer,VMP00SF,por,por,SPS00,2014-04-28,2014,2010,SPS00 NCFS000 Bvlgari Fc NCFS000,NCFS000 Bvlgari Fc,SPS00 NCFS000 Bvlgari,NCMP000 SPS00 NCFS000 Bvlgari,VMG0000 NCMP000 SPS00 NCFS000 Bvlgari,Bvlgari Fc NCFS000,Bvlgari Fc NCFS000 AQ0CS0,Bvlgari Fc NCFS000 AQ0CS0 VMP00SF,"de amenidad Bvlgari , gastronomía","amenidad Bvlgari ,",de amenidad Bvlgari,equipo de amenidad Bvlgari,incluir equipo de amenidad Bvlgari,"Bvlgari , gastronomía","Bvlgari , gastronomía molecular","Bvlgari , gastronomía molecular ofrecer"
http://www.lavozdegalicia.es/noticia/galicia/2014/05/03/xunta-vende-joyas-abrigos-muertos-sufragar-servicios/0003_201405G3P10991.htm,lavozdegalicia.es,2014-05-03,Spain,Bvlgari/NP00000/bvlgari,Tampoco  las  firma Bvlgari  ni  se  venderán  en  Sotheby  ?  s  .,bvlgari,np00000,bvlgari,firma,firma,NCFS000,las,el,DA0FP0,Tampoco,tampoco,RG,,,,,,,ni,ni,CC,se,se,P00CN000,venderán,vender,VMIF3P0,en,en,SPS00,Sotheby,sotheby,NP00000,2014-05-03,2014,2010,DA0FP0 NCFS000 Bvlgari CC P00CN000,NCFS000 Bvlgari CC,DA0FP0 NCFS000 Bvlgari,RG DA0FP0 NCFS000 Bvlgari,,Bvlgari CC P00CN000,Bvlgari CC P00CN000 VMIF3P0,Bvlgari CC P00CN000 VMIF3P0 SPS00,el firma Bvlgari ni se,firma Bvlgari ni,el firma Bvlgari,tampoco el firma Bvlgari,,Bvlgari ni se,Bvlgari ni se vender,Bvlgari ni se vender en
