url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.latercera.com/noticia/cultura/2014/01/1453-558993-9-filme-italiano-sobre-el-mundo-del-arte-abre-festival-de-las-condes.shtml,latercera.com,2014-01-03,Chile,Vaucanson/NP00000/vaucanson,"También  a  los  amantes  del  arte  ,  debido  a  la  gran  exhibición  de  obras  de  Rubens  ,  Christus  y  Goya  ,  además  del  trabajo  de  Jacques  de Vaucanson  ,  inventor  y  artista  francés  del  siglo  XVIII  ,  clave  en  la  trama  . </doc>",vaucanson,np00000,vaucanson,de,de,SPS00,Jacques,jacques,NP00000,de,de,SPS00,trabajo,trabajo,NCMS000,del,de+el,SPS00+DA0MS0,",",",",Fc,inventor,inventor,NCMS000,y,y,CC,artista,artista,NCCS000,francés,francés,AQ0MS0,2014-01-03,2014,2010,NP00000 SPS00 Canson Fc NCMS000,SPS00 Canson Fc,NP00000 SPS00 Canson,SPS00 NP00000 SPS00 Canson,NCMS000 SPS00 NP00000 SPS00 Canson,Canson Fc NCMS000,Canson Fc NCMS000 CC,Canson Fc NCMS000 CC NCCS000,"jacques de Canson , inventor","de Canson ,",jacques de Canson,de jacques de Canson,trabajo de jacques de Canson,"Canson , inventor","Canson , inventor y","Canson , inventor y artista"
http://online.wsj.com/article/SB10001424052702304617404579302824078485050.html?mod=rss_americas_spanish,wsj.com,2014-01-09,USA,cansona/NCFS000/cansona,"Hasta  hace  un  par  de  semanas  ,  cuando  esta cansona  advertencia  regresó  a  mi  vida  en  la  forma  de  un  tenedor  ""  inteligente  ""  .",cansona,ncfs000,cansona,esta,este,DD0FS0,cuando,cuando,CS,",",",",Fc,semanas,semana,NCFP000,de,de,SPS00,advertencia,advertencia,NCFS000,regresó,regresar,VMIS3S0,a,a,SPS00,mi,mi,DP1CSS,vida,vida,NCFS000,2014-01-09,2014,2010,CS DD0FS0 Canson NCFS000 VMIS3S0,DD0FS0 Canson NCFS000,CS DD0FS0 Canson,Fc CS DD0FS0 Canson,NCFP000 Fc CS DD0FS0 Canson,Canson NCFS000 VMIS3S0,Canson NCFS000 VMIS3S0 SPS00,Canson NCFS000 VMIS3S0 SPS00 DP1CSS,cuando este Canson advertencia regresar,este Canson advertencia,cuando este Canson,", cuando este Canson","semana , cuando este Canson",Canson advertencia regresar,Canson advertencia regresar a,Canson advertencia regresar a mi
http://www.eluniversal.com.co/regional/bolivar/en-salud-ya-salimos-de-cuidados-intensivos-149809,eluniversal.com.co,2014-01-28,Colombia,Cansona/NP00000/cansona,"Francisco  Vega  Arrauth  ,  alcalde  de  El  Carmen  ,  indicó  que  esta  nueva  ambulancia  fue  gestionada  para  prestar  el  servicio  en  la  parte  rural  .  ""  Beneficiará  a  las  comunidades  de  Macayepos  ,  Lázaro  ,  La  Pita  ,  Caracolí  ,  La Cansona  ,  entre  otros  sectores  que  pertenecen  a  la  Alta  Montaña  ""  .",cansona,np00000,cansona,La,la,NP00000,",",",",Fc,Caracolí,caracolí,NP00000,",",",",Fc,Pita,pita,NP00000,",",",",Fc,entre,entre,SPS00,otros,otro,DI0MP0,sectores,sector,NCMP000,que,que,PR0CN000,2014-01-28,2014,2010,Fc NP00000 Canson Fc SPS00,NP00000 Canson Fc,Fc NP00000 Canson,NP00000 Fc NP00000 Canson,Fc NP00000 Fc NP00000 Canson,Canson Fc SPS00,Canson Fc SPS00 DI0MP0,Canson Fc SPS00 DI0MP0 NCMP000,", la Canson , entre","la Canson ,",", la Canson","caracolí , la Canson",", caracolí , la Canson","Canson , entre","Canson , entre otro","Canson , entre otro sector"
http://www.diariolibre.com/lecturas/2014/02/08/i473321_mariposa-caracol-epistolario-minerva.html?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_6,diariolibre.com,2014-02-08,Dominican Republic,cansona/NCFS000/cansona,"Ahora  estoy  leyendo  ""  El  gran  criminalista  ""  ,  bastante cansona  pues  está  llena  de  datos  innecesarios  ,  pienso  terminarla  esta  noche  aunque  salte  la  mitad  ""  .",cansona,ncfs000,cansona,bastante,bastante,RG,",",",",Fc,"""","""",Fe,criminalista,criminalista,NCCS000,gran,gran,AQ0CS0,pues,pues,CS,está,estar,VAIP3S0,llena,lleno,AQ0FS0,de,de,SPS00,datos,dato,NCMP000,2014-02-08,2014,2010,Fc RG Canson CS VAIP3S0,RG Canson CS,Fc RG Canson,Fe Fc RG Canson,NCCS000 Fe Fc RG Canson,Canson CS VAIP3S0,Canson CS VAIP3S0 AQ0FS0,Canson CS VAIP3S0 AQ0FS0 SPS00,", bastante Canson pues estar",bastante Canson pues,", bastante Canson",""" , bastante Canson","criminalista "" , bastante Canson",Canson pues estar,Canson pues estar lleno,Canson pues estar lleno de
http://www.eluniversal.com/opinion/140217/lo-tengo-encarrilado-a-quien,eluniversal.com,2014-02-17,Venezuela,cansona/NCFS000/cansona,La  providencia  divina  de  Maduro  no  debería  perderse  en  los  chivatazos  aburridos  que  con cansona  repetición  divulga  a  través  de  los  medios  en  cadena  nacional  .,cansona,ncfs000,cansona,con,con,SPS00,que,que,PR0CN000,aburridos,aburrir,VMP00PM,chivatazos,chivato,NCMP00A,los,el,DA0MP0,repetición,repetición,NCFS000,divulga,divulgar,VMIP3S0,a,a,SPS00,través,través,NCMS000,de,de,SPS00,2014-02-17,2014,2010,PR0CN000 SPS00 Canson NCFS000 VMIP3S0,SPS00 Canson NCFS000,PR0CN000 SPS00 Canson,VMP00PM PR0CN000 SPS00 Canson,NCMP00A VMP00PM PR0CN000 SPS00 Canson,Canson NCFS000 VMIP3S0,Canson NCFS000 VMIP3S0 SPS00,Canson NCFS000 VMIP3S0 SPS00 NCMS000,que con Canson repetición divulgar,con Canson repetición,que con Canson,aburrir que con Canson,chivato aburrir que con Canson,Canson repetición divulgar,Canson repetición divulgar a,Canson repetición divulgar a través
http://diariohorizonte.com/noticia/20568/61/inauguran-la-papeleria-ccc-en-santiago-de-los-caballeros,diariohorizonte.com,2014-03-08,===NONE===,Canson/NP00000/canson,"AVERY  ,  Eldon  ,  Mead  ,  Paper  Mate  ,  Uni-ball  ,  Acco  ,  Expo  ,  Manpa  ,  Egafan  ,  Staedtler  ,  Ampo  ,  Fochy  ,  Maped  ,  Reeves  ,  Winsor  &  Newton  ,  Atlas  ,  Janel  ,  Prismacolor  ,  Sharpie  , Canson  ,  Liquid  Paper  ,  Pelikan  y  Sao  Domingos  S.  A  Industria  Grafica  ,  entre  otros  .",canson,np00000,canson,",",",",Fc,Sharpie,sharpie,NP00000,",",",",Fc,Prismacolor,prismacolor,NP00000,",",",",Fc,",",",",Fc,Liquid,liquid,NP00000,Paper,paper,NP00000,",",",",Fc,Pelikan,pelikan,NP00000,2014-03-08,2014,2010,NP00000 Fc Canson Fc NP00000,Fc Canson Fc,NP00000 Fc Canson,Fc NP00000 Fc Canson,NP00000 Fc NP00000 Fc Canson,Canson Fc NP00000,Canson Fc NP00000 NP00000,Canson Fc NP00000 NP00000 Fc,"sharpie , Canson , liquid",", Canson ,","sharpie , Canson",", sharpie , Canson","prismacolor , sharpie , Canson","Canson , liquid","Canson , liquid paper","Canson , liquid paper ,"
http://www.biobiochile.cl/2014/04/06/juegos-y-juguetes-es-la-octava-convocatoria-fotografica-de-retratos-de-la-memoria-en-el-mnba.shtml?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bradiobiobio%2B%2528Bio-Bio%2BNoticias%2529&utm_content=FeedBurner,biobiochile.cl,2014-04-06,Chile,Canson/NP00000/canson,"La  iniciativa  Retratos  de  la  memoria  cuenta  con  la  participación  de  la  empresa  de  origen  francés Canson  ,  que  en  el  contexto  de  su  programa  de  colaboración  con  el  área  de  Mediación  y  Educación  del  MNBA  ,  entregará  sets  de  artículos  de  arte  especializados  como  regalo  para  los  participantes  cuyas  fotos  sean  seleccionadas  .",canson,np00000,canson,francés,francés,AQ0MS0,origen,origen,NCMS000,de,de,SPS00,empresa,empresa,NCFS000,la,el,DA0FS0,",",",",Fc,que,que,PR0CN000,en,en,SPS00,el,el,DA0MS0,contexto,contexto,NCMS000,2014-04-06,2014,2010,NCMS000 AQ0MS0 Canson Fc PR0CN000,AQ0MS0 Canson Fc,NCMS000 AQ0MS0 Canson,SPS00 NCMS000 AQ0MS0 Canson,NCFS000 SPS00 NCMS000 AQ0MS0 Canson,Canson Fc PR0CN000,Canson Fc PR0CN000 SPS00,Canson Fc PR0CN000 SPS00 DA0MS0,"origen francés Canson , que","francés Canson ,",origen francés Canson,de origen francés Canson,empresa de origen francés Canson,"Canson , que","Canson , que en","Canson , que en el"
http://www.lasextaseccion.com.ar/gente-y-personajes/ninguno-se-ha-de-animara-corregirle-la-plana/?utm_source=rss&utm_medium=rss&utm_campaign=ninguno-se-ha-de-animara-corregirle-la-plana,lasextaseccion.com.ar,2014-04-19,Argentina,canson/NCMS000/canson,"Cuando  tenía  5  años  llevaba  una  carpeta  con  muchas  pinturas  ,  no  recuerdo  exactamente  cuántas  pero  eran  muchas  ,  la  mayoría  escenas  de  campo  ,  caballos  ,  gauchos  ,  con  témperas  sobre  hojas canson  No  5  .",canson,ncms000,canson,hojas,hoja,NCFP000,sobre,sobre,SPS00,témperas,témpera,NCFP000,con,con,SPS00,",",",",Fc,No,no,NP00000,5,5,Z,.,.,Fp,,,,,,,2014-04-19,2014,2010,SPS00 NCFP000 Canson NP00000 Z,NCFP000 Canson NP00000,SPS00 NCFP000 Canson,NCFP000 SPS00 NCFP000 Canson,SPS00 NCFP000 SPS00 NCFP000 Canson,Canson NP00000 Z,Canson NP00000 Z Fp,,sobre hoja Canson no 5,hoja Canson no,sobre hoja Canson,témpera sobre hoja Canson,con témpera sobre hoja Canson,Canson no 5,Canson no 5 .,
http://www.infonortedigital.com/portada/component/content/article/10-tecnologia/30474-la-oficina-municipal-de-turismo-de-arucas-recuerda-a-la-heredad-de-aguas-,infonortedigital.com,2014-05-06,Spain,canson/NCMS000/canson,"Cabe  señalar  que  esta  pieza  está  construida  en  madera  ,  papel  y  cartulina canson  y  está  pintada  a  la  acuarela  en  tonos  blanco  ,  gris  y  rojizo  .",canson,ncms000,canson,cartulina,cartulina,NCFS000,y,y,CC,papel,papel,NCMS000,",",",",Fc,madera,madera,NCFS000,y,y,CC,está,estar,VAIP3S0,pintada,pintar,VMP00SF,a,a,SPS00,la,el,DA0FS0,2014-05-06,2014,2010,CC NCFS000 Canson CC VAIP3S0,NCFS000 Canson CC,CC NCFS000 Canson,NCMS000 CC NCFS000 Canson,Fc NCMS000 CC NCFS000 Canson,Canson CC VAIP3S0,Canson CC VAIP3S0 VMP00SF,Canson CC VAIP3S0 VMP00SF SPS00,y cartulina Canson y estar,cartulina Canson y,y cartulina Canson,papel y cartulina Canson,", papel y cartulina Canson",Canson y estar,Canson y estar pintar,Canson y estar pintar a
http://eldebate.com.ar/despliegue.php?idnoticia=80740&idseccion=18,eldebate.com.ar,2014-05-11,Argentina,canson/NCMS000/canson,Un  cuaderno  de  hojas  blancas  sin  renglones  y  un  block  de  hojas canson  para  dibujo  .,canson,ncms000,canson,hojas,hoja,NCFP000,de,de,SPS00,block,block,NCMS000,un,uno,DI0MS0,y,y,CC,para,para,SPS00,dibujo,dibujo,NCMS000,.,.,Fp,,,,,,,2014-05-11,2014,2010,SPS00 NCFP000 Canson SPS00 NCMS000,NCFP000 Canson SPS00,SPS00 NCFP000 Canson,NCMS000 SPS00 NCFP000 Canson,DI0MS0 NCMS000 SPS00 NCFP000 Canson,Canson SPS00 NCMS000,Canson SPS00 NCMS000 Fp,,de hoja Canson para dibujo,hoja Canson para,de hoja Canson,block de hoja Canson,uno block de hoja Canson,Canson para dibujo,Canson para dibujo .,
