url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elperiodiquito.com/modules.php?name=News&file=article&sid=139012,elperiodiquito.com,2014-02-17,Venezuela,Carambar/NP00000/carambar,"La  empresa  de  golosinas  francesa Carambar  retiró  del  mercado  una  broma  impresa  sobre  el  envoltorio  de  sus  caramelos  en  la  que  se  comparaba  a  Michael  Schumacher  con  una  ""  col  divertida  ""  a  través  de  un  juego  de  palabras  con  su  nombre  .",carambar,np00000,carambar,francesa,francés,AQ0FS0,golosinas,golosina,NCFP000,de,de,SPS00,empresa,empresa,NCFS000,La,el,DA0FS0,retiró,retirar,VMIS3S0,del,de+el,SPS00+DA0MS0,mercado,mercado,NCMS000,una,uno,DI0FS0,broma,broma,NCFS000,2014-02-17,2014,2010,NCFP000 AQ0FS0 Carambar VMIS3S0 SPS00+DA0MS0,AQ0FS0 Carambar VMIS3S0,NCFP000 AQ0FS0 Carambar,SPS00 NCFP000 AQ0FS0 Carambar,NCFS000 SPS00 NCFP000 AQ0FS0 Carambar,Carambar VMIS3S0 SPS00+DA0MS0,Carambar VMIS3S0 SPS00+DA0MS0 NCMS000,Carambar VMIS3S0 SPS00+DA0MS0 NCMS000 DI0FS0,golosina francés Carambar retirar de+el,francés Carambar retirar,golosina francés Carambar,de golosina francés Carambar,empresa de golosina francés Carambar,Carambar retirar de+el,Carambar retirar de+el mercado,Carambar retirar de+el mercado uno
http://www.elperiodiquito.com/modules.php?name=News&file=article&sid=139012,elperiodiquito.com,2014-02-17,Venezuela,Carambar/NP00000/carambar,"El  perfil  que Carambar  tiene  abierto  en  esta  red  social  contestó  ayer  al  mensaje  de  la  internauta  afirmando  que  la  ""  broma  ya  había  sido  retirada  de  la  producción  ""  y  que  ""  no  figurará  más  en  los  futuros  paquetes  ""  .",carambar,np00000,carambar,que,que,PR0CN000,perfil,perfil,NCMS000,El,el,DA0MS0,,,,,,,tiene,tener,VMIP3S0,abierto,abrir,VMP00SM,en,en,SPS00,esta,este,DD0FS0,red,red,NCFS000,2014-02-17,2014,2010,NCMS000 PR0CN000 Carambar VMIP3S0 VMP00SM,PR0CN000 Carambar VMIP3S0,NCMS000 PR0CN000 Carambar,DA0MS0 NCMS000 PR0CN000 Carambar,,Carambar VMIP3S0 VMP00SM,Carambar VMIP3S0 VMP00SM SPS00,Carambar VMIP3S0 VMP00SM SPS00 DD0FS0,perfil que Carambar tener abrir,que Carambar tener,perfil que Carambar,el perfil que Carambar,,Carambar tener abrir,Carambar tener abrir en,Carambar tener abrir en este
http://www.heraldo.es/noticias/deportes/motor/2014/02/17/retiran_envoltorio_unos_caramelos_con_una_broma_sobre_schumacher_271438_1101032.html,heraldo.es,2014-02-17,Spain,Carambar/NP00000/carambar," Carambar  incluía  un  juego  de  palabras  con  el  apellido  del  piloto  ,  que  sigue  hospitalizado  . </doc>",carambar,np00000,carambar,,,,,,,,,,,,,,,,incluía,incluir,VMII3S0,un,uno,DI0MS0,juego,juego,NCMS000,de,de,SPS00,palabras,palabra,NCFP000,2014-02-17,2014,2010,,,,,,Carambar VMII3S0 DI0MS0,Carambar VMII3S0 DI0MS0 NCMS000,Carambar VMII3S0 DI0MS0 NCMS000 SPS00,,,,,,Carambar incluir uno,Carambar incluir uno juego,Carambar incluir uno juego de
http://www.noticiascyl.com/valladolid/2016/03/31/la-multinacional-mondelez-anuncia-el-cierre-de-dulciora/,noticiascyl.com,2016-03-31,===NONE===,Carambar/NP00000/carambar,"Los  activos  que  forman  parte  del  acuerdo  ,  incluyen  ,  entre  otros  ,  las  marcas Carambar  ,  Krema  ,  La  Pie  Qui  Chante  y  Dulciora  .",carambar,np00000,carambar,marcas,marca,NCFP000,las,el,DA0FP0,",",",",Fc,otros,otro,PI0MP000,entre,entre,SPS00,",",",",Fc,Krema,krema,NP00000,",",",",Fc,La,la,NP00000,Pie,pie,NP00000,2016-03-31,2016,2010,DA0FP0 NCFP000 Carambar Fc NP00000,NCFP000 Carambar Fc,DA0FP0 NCFP000 Carambar,Fc DA0FP0 NCFP000 Carambar,PI0MP000 Fc DA0FP0 NCFP000 Carambar,Carambar Fc NP00000,Carambar Fc NP00000 Fc,Carambar Fc NP00000 Fc NP00000,"el marca Carambar , krema","marca Carambar ,",el marca Carambar,", el marca Carambar","otro , el marca Carambar","Carambar , krema","Carambar , krema ,","Carambar , krema , la"
http://www.noticiascyl.com/valladolid/2016/03/31/la-multinacional-mondelez-anuncia-el-cierre-de-dulciora/,noticiascyl.com,2016-03-31,===NONE===,Carambar/NP00000/carambar,"La  instalación  de  Valladolid  produce  diversas  marcas  implicadas  en  el  acuerdo  - Carambar  ,  Krema  ,  La  Pie  Qui  Chante  ,  The  Natural  Confectionery  Company  y  Dulciora-las  cuales  serán  trasferidas  a  otras  plantas  ubicadas  en  Francia  como  resultado  de  la  venta  .",carambar,np00000,carambar,-,-,Fg,acuerdo,acuerdo,NCMS000,el,el,DA0MS0,en,en,SPS00,implicadas,implicar,VMP00PF,",",",",Fc,Krema,krema,NP00000,",",",",Fc,La,la,NP00000,Pie,pie,NP00000,2016-03-31,2016,2010,NCMS000 Fg Carambar Fc NP00000,Fg Carambar Fc,NCMS000 Fg Carambar,DA0MS0 NCMS000 Fg Carambar,SPS00 DA0MS0 NCMS000 Fg Carambar,Carambar Fc NP00000,Carambar Fc NP00000 Fc,Carambar Fc NP00000 Fc NP00000,"acuerdo - Carambar , krema","- Carambar ,",acuerdo - Carambar,el acuerdo - Carambar,en el acuerdo - Carambar,"Carambar , krema","Carambar , krema ,","Carambar , krema , la"
http://cincodias.com/cincodias/2016/03/31/empresas/1459441651_246484.html#%3Fref%3Drss%26format%3Dsimple%26link%3Dlink,cincodias.com,2016-03-31,===NONE===,Carambar/NP00000/carambar,"Entre  las  primeras  se  encuentran  firmas  como Carambar  ,  Krema  ,  La  Pie  Qui  Chante  ,  The  Natural  Confectionery  Company  y  Dulciora  ,  cuya  fabricación  tiene  lugar  en  la  actualidad  en  el  centro  de  Valladolid  y  será  trasladada  a  otras  plantas  ubicadas  en  Francia  .",carambar,np00000,carambar,como,como,CS,firmas,firma,NCFP000,encuentran,encontrar,VMIP3P0,se,se,P00CN000,primeras,1,AO0FP0,",",",",Fc,Krema,krema,NP00000,",",",",Fc,La,la,NP00000,Pie,pie,NP00000,2016-03-31,2016,2010,NCFP000 CS Carambar Fc NP00000,CS Carambar Fc,NCFP000 CS Carambar,VMIP3P0 NCFP000 CS Carambar,P00CN000 VMIP3P0 NCFP000 CS Carambar,Carambar Fc NP00000,Carambar Fc NP00000 Fc,Carambar Fc NP00000 Fc NP00000,"firma como Carambar , krema","como Carambar ,",firma como Carambar,encontrar firma como Carambar,se encontrar firma como Carambar,"Carambar , krema","Carambar , krema ,","Carambar , krema , la"
http://www.diariopalentino.es/noticia/Z0EE597A4-C10E-9A13-CB70C31C38A46203/20160401//nueva/deslocalizacion/alimentaria/lauki/ahora/cierran/dulciora,diariopalentino.es,2016-04-01,Spain,Carambar/NP00000/carambar,"Los  activos  que  forman  parte  del  acuerdo  incluyen  ,  entre  otros  ,  las  marcas Carambar  ,  Krema  ,  La  Pie  Qui  Chante  y  Dulciora  .",carambar,np00000,carambar,marcas,marca,NCFP000,las,el,DA0FP0,",",",",Fc,otros,otro,PI0MP000,entre,entre,SPS00,",",",",Fc,Krema,krema,NP00000,",",",",Fc,La,la,NP00000,Pie,pie,NP00000,2016-04-01,2016,2010,DA0FP0 NCFP000 Carambar Fc NP00000,NCFP000 Carambar Fc,DA0FP0 NCFP000 Carambar,Fc DA0FP0 NCFP000 Carambar,PI0MP000 Fc DA0FP0 NCFP000 Carambar,Carambar Fc NP00000,Carambar Fc NP00000 Fc,Carambar Fc NP00000 Fc NP00000,"el marca Carambar , krema","marca Carambar ,",el marca Carambar,", el marca Carambar","otro , el marca Carambar","Carambar , krema","Carambar , krema ,","Carambar , krema , la"
http://www.diariopalentino.es/noticia/Z0EE597A4-C10E-9A13-CB70C31C38A46203/20160401//nueva/deslocalizacion/alimentaria/lauki/ahora/cierran/dulciora,diariopalentino.es,2016-04-01,Spain,Carambar/NP00000/carambar,"La  instalación  de  Valladolid  produce  diversas  marcas  implicadas  en  el  acuerdo  - Carambar  ,  Krema  ,  La  Pie  Qui  Chante  ,  The  Natural  Confectionery  Company  y  Dulciora  -  las  cuales  serán  trasferidas  a  otras  plantas  ubicadas  en  Francia  como  resultado  de  la  venta  .",carambar,np00000,carambar,-,-,Fg,acuerdo,acuerdo,NCMS000,el,el,DA0MS0,en,en,SPS00,implicadas,implicar,VMP00PF,",",",",Fc,Krema,krema,NP00000,",",",",Fc,La,la,NP00000,Pie,pie,NP00000,2016-04-01,2016,2010,NCMS000 Fg Carambar Fc NP00000,Fg Carambar Fc,NCMS000 Fg Carambar,DA0MS0 NCMS000 Fg Carambar,SPS00 DA0MS0 NCMS000 Fg Carambar,Carambar Fc NP00000,Carambar Fc NP00000 Fc,Carambar Fc NP00000 Fc NP00000,"acuerdo - Carambar , krema","- Carambar ,",acuerdo - Carambar,el acuerdo - Carambar,en el acuerdo - Carambar,"Carambar , krema","Carambar , krema ,","Carambar , krema , la"
http://www.eldiadevalladolid.com/noticia/Z73F201F8-DD13-17FA-5A45595B5D4B69DB/20160403//venta/cinco/marcas/dejaria/dulciora/10/capacidad/productiva,eldiadevalladolid.com,2016-04-03,Spain,Carambar/NP00000/carambar,"A  lo  que  habría  que  sumar  la  merma  que  llegará  con  la  venta  de  cinco  de  esas  nueve  marcas  : Carambar  ,  La  Pie  Qui  Chante  ,  The  Natural  Confectionery  ,  Krema  y  Dulciora  .",carambar,np00000,carambar,:,:,Fd,marcas,marca,NCFP000,nueve,9,Z,esas,ese,DD0FP0,de,de,SPS00,",",",",Fc,La,la,NP00000,Pie,pie,NP00000,Qui,qui,NP00000,Chante,chante,NP00000,2016-04-03,2016,2010,NCFP000 Fd Carambar Fc NP00000,Fd Carambar Fc,NCFP000 Fd Carambar,Z NCFP000 Fd Carambar,DD0FP0 Z NCFP000 Fd Carambar,Carambar Fc NP00000,Carambar Fc NP00000 NP00000,Carambar Fc NP00000 NP00000 NP00000,"marca : Carambar , la",": Carambar ,",marca : Carambar,9 marca : Carambar,ese 9 marca : Carambar,"Carambar , la","Carambar , la pie","Carambar , la pie qui"
http://www.eldiadevalladolid.com/noticia/ZE208E14E-CFBD-A536-60F732B43D63D4CF/20160520//alcalde/percibe/buena/onda/situacion/dulciora,eldiadevalladolid.com,2016-05-20,Spain,Carambar/NP00000/carambar,"Los  activos  que  forman  parte  del  acuerdo  incluyen  ,  entre  otros  ,  las  marcas Carambar  ,  Krema  ,  La  Pie  Qui  Chante  y  Dulciora  .",carambar,np00000,carambar,marcas,marca,NCFP000,las,el,DA0FP0,",",",",Fc,otros,otro,PI0MP000,entre,entre,SPS00,",",",",Fc,Krema,krema,NP00000,",",",",Fc,La,la,NP00000,Pie,pie,NP00000,2016-05-20,2016,2010,DA0FP0 NCFP000 Carambar Fc NP00000,NCFP000 Carambar Fc,DA0FP0 NCFP000 Carambar,Fc DA0FP0 NCFP000 Carambar,PI0MP000 Fc DA0FP0 NCFP000 Carambar,Carambar Fc NP00000,Carambar Fc NP00000 Fc,Carambar Fc NP00000 Fc NP00000,"el marca Carambar , krema","marca Carambar ,",el marca Carambar,", el marca Carambar","otro , el marca Carambar","Carambar , krema","Carambar , krema ,","Carambar , krema , la"
