url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.diariolibre.com/revista/2014/04/22/i576681_una-invitacin-para-cambiar-imagen.html?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_2,diariolibre.com,2014-04-23,Dominican Republic,Cellophanes/NP00000/cellophanes,"Consciente  de  esto  ,  Sebastian  Professional  lanzó Cellophanes  ,  primer  color  semipermanente  ,  inspirado  por  los  colores  naturales  .",cellophanes,np00000,cellophanes,lanzó,lanzar,VMIS3S0,Professional,professional,NP00000,Sebastian,sebastian,NP00000,",",",",Fc,esto,este,PD0NS000,",",",",Fc,primer,1,AO0MS0,color,color,NCMS000,semipermanente,semipermanente,AQ0CS0,",",",",Fc,2014-04-23,2014,2010,NP00000 VMIS3S0 Cellophane Fc AO0MS0,VMIS3S0 Cellophane Fc,NP00000 VMIS3S0 Cellophane,NP00000 NP00000 VMIS3S0 Cellophane,Fc NP00000 NP00000 VMIS3S0 Cellophane,Cellophane Fc AO0MS0,Cellophane Fc AO0MS0 NCMS000,Cellophane Fc AO0MS0 NCMS000 AQ0CS0,"professional lanzar Cellophane , 1","lanzar Cellophane ,",professional lanzar Cellophane,sebastian professional lanzar Cellophane,", sebastian professional lanzar Cellophane","Cellophane , 1","Cellophane , 1 color","Cellophane , 1 color semipermanente"
http://www.diariolibre.com/revista/2014/04/22/i576681_una-invitacin-para-cambiar-imagen.html?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_2,diariolibre.com,2014-04-23,Dominican Republic,Cellophanes/NP00000/cellophanes,"El  nuevo  producto  posee  una  paleta  de  diez  tonos  y  está  disponible  en  maravillosos  y  tentadores  colores  como  :  rojo  canela  ,  rojo  azafrán  ,  rojo  arándano  ,  rubio  hielo  ,  rubio  vainilla  ,  rubio  panal  ... Cellophanes  mejora  el  tono  de  cada  cabello  en  lugar  de  recubrirlo  para  lograr  resultados  vibrantes  y  naturales  .",cellophanes,np00000,cellophanes,...,...,Fs,panal,panal,NCMS000,rubio,rubio,AQ0MS0,",",",",Fc,vainilla,vainilla,NCFS000,mejora,mejorar,VMIP3S0,el,el,DA0MS0,tono,tono,NCMS000,de,de,SPS00,cada,cada,DI0CS0,2014-04-23,2014,2010,NCMS000 Fs Cellophane VMIP3S0 DA0MS0,Fs Cellophane VMIP3S0,NCMS000 Fs Cellophane,AQ0MS0 NCMS000 Fs Cellophane,Fc AQ0MS0 NCMS000 Fs Cellophane,Cellophane VMIP3S0 DA0MS0,Cellophane VMIP3S0 DA0MS0 NCMS000,Cellophane VMIP3S0 DA0MS0 NCMS000 SPS00,panal ... Cellophane mejorar el,... Cellophane mejorar,panal ... Cellophane,rubio panal ... Cellophane,", rubio panal ... Cellophane",Cellophane mejorar el,Cellophane mejorar el tono,Cellophane mejorar el tono de
http://www.elnuevoherald.com/2014/07/22/1804736/muere-en-miami-el-empresario-venezolano.html#storylink%3Drss,elnuevoherald.com,2014-07-22,United States,Cellophane/NP00000/cellophane,"Las  actividades  comerciales  de  Halvorssen  fueron  muchas  e  incluyeron  la  propiedad  de  la  compañía  de  seguros  de  Venezuela  Axxa  ,  y  la  representación  en  Venezuela  de  conglomerados  corporativos  internacionales  como  Dunlop  ,  Ericsson  ,  British Cellophane  ,  y  otros  .",cellophane,np00000,cellophane,British,british,NP00000,",",",",Fc,Ericsson,ericsson,NP00000,",",",",Fc,Dunlop,dunlop,NP00000,",",",",Fc,y,y,CC,otros,otro,PI0MP000,.,.,Fp,,,,2014-07-22,2014,2010,Fc NP00000 Cellophane Fc CC,NP00000 Cellophane Fc,Fc NP00000 Cellophane,NP00000 Fc NP00000 Cellophane,Fc NP00000 Fc NP00000 Cellophane,Cellophane Fc CC,Cellophane Fc CC PI0MP000,Cellophane Fc CC PI0MP000 Fp,", british Cellophane , y","british Cellophane ,",", british Cellophane","ericsson , british Cellophane",", ericsson , british Cellophane","Cellophane , y","Cellophane , y otro","Cellophane , y otro ."
http://www.diariodeburgos.es/noticia/ZEF5EB0D0-CB7A-3257-834A45F517795E26/20150128//abierta/trafico/zona/humanidades/derribo/puente,diariodeburgos.es,2015-01-28,Spain,Cellophane/NP00000/cellophane,"La  primera  parte  ,  entre Cellophane  y  Parralillos  se  abrió  el  19  de  noviembre  y  la  segunda  (  entre  la  Universidad  y  Fuentecillas  es  la  que  se  inicia  ahora  y  debe  estar  concluida  en  abril  .",cellophane,np00000,cellophane,entre,entre,SPS00,",",",",Fc,parte,parte,NCFS000,primera,1,AO0FS0,La,el,DA0FS0,y,y,CC,Parralillos,parralillos,NP00000,se,se,P00CN000,abrió,abrir,VMIS3S0,el,el,DA0MS0,2015-01-28,2015,2010,Fc SPS00 Cellophane CC NP00000,SPS00 Cellophane CC,Fc SPS00 Cellophane,NCFS000 Fc SPS00 Cellophane,AO0FS0 NCFS000 Fc SPS00 Cellophane,Cellophane CC NP00000,Cellophane CC NP00000 P00CN000,Cellophane CC NP00000 P00CN000 VMIS3S0,", entre Cellophane y parralillos",entre Cellophane y,", entre Cellophane","parte , entre Cellophane","1 parte , entre Cellophane",Cellophane y parralillos,Cellophane y parralillos se,Cellophane y parralillos se abrir
http://www.diariodeburgos.es/noticia/Z670EE2DE-DA22-67F0-9C3987B0E8443E4B/20150210//mercadona/adquiere/solar/5/millones/pentasa/gamonal,diariodeburgos.es,2015-02-10,Spain,Cellophane/NP00000/cellophane,La  última  inversión  de  Mercadona  en  la  capital  fue  la  apertura  del  centro  de Cellophane  .,cellophane,np00000,cellophane,de,de,SPS00,centro,centro,NCMS000,del,de+el,SPS00+DA0MS0,apertura,apertura,NCFS000,la,el,DA0FS0,.,.,Fp,,,,,,,,,,,,,2015-02-10,2015,2010,,SPS00 Cellophane Fp,NCMS000 SPS00 Cellophane,SPS00+DA0MS0 NCMS000 SPS00 Cellophane,NCFS000 SPS00+DA0MS0 NCMS000 SPS00 Cellophane,,,,,de Cellophane .,centro de Cellophane,de+el centro de Cellophane,apertura de+el centro de Cellophane,,,
http://www.diariodeburgos.es/noticia/ZCA7F14B2-A623-5620-A04C4EA16A1182FB/20150217//instalaran/contenedores/adaptados/discapacitados/motoricos,diariodeburgos.es,2015-02-17,Spain,Cellophane/NP00000/cellophane,"Se  ubicarán  en  las  nuevas  islas  que  se  colocarán  a  final  de  mes  en Cellophane  y  G-3  dentro  de  un  proyecto  piloto  en  el  que  se  incluirá  un  quinto  recipiente  marrón  para  materia  orgánica  Quizás  nadie  se  ha  parado  a  pensar  ,  salvo  los  afectados  ,  cómo  depositan  la  basura  en  los  contenedores  las  personas  con  una  discapacidad  motórica  o  dificultades  de  movilidad  .",cellophane,np00000,cellophane,en,en,SPS00,mes,mes,NCMS000,de,de,SPS00,final,final,NCFS000,a,a,SPS00,y,y,CC,G-3,G-3,Z,dentro,dentro,RG,de,de,SPS00,un,uno,DI0MS0,2015-02-17,2015,2010,NCMS000 SPS00 Cellophane CC Z,SPS00 Cellophane CC,NCMS000 SPS00 Cellophane,SPS00 NCMS000 SPS00 Cellophane,NCFS000 SPS00 NCMS000 SPS00 Cellophane,Cellophane CC Z,Cellophane CC Z RG,Cellophane CC Z RG SPS00,mes en Cellophane y G-3,en Cellophane y,mes en Cellophane,de mes en Cellophane,final de mes en Cellophane,Cellophane y G-3,Cellophane y G-3 dentro,Cellophane y G-3 dentro de
http://www.diariodeburgos.es/noticia/ZCA7F14B2-A623-5620-A04C4EA16A1182FB/20150217//instalaran/contenedores/adaptados/discapacitados/motoricos,diariodeburgos.es,2015-02-17,Spain,Cellophane/NP00000/cellophane,"Pues  bien  ,  este  problema  va  a  tener  solución  en  al  menos  dos  barrios  : Cellophane  y  Vista  Alegre  (  G-3  )  ,  dado  que  las  nuevas  islas  para  reciclar  que  instalarán  en  ellos  incorporan  algunos  contenedores  con  un  agujero  a  una  menor  altura  y  en  el  cuerpo  del  recipiente  ,  según  confirmó  la  concejala  de  Medio  Ambiente  ,  Carolina  Blasco  . </doc>",cellophane,np00000,cellophane,:,:,Fd,barrios,barrio,NCMP000,dos,2,Z,menos,menos,RG,al,a+el,SPS00+DA0MS0,y,y,CC,Vista,vista,NP00000,Alegre,alegre,NP00000,(,(,Fpa,G-3,G-3,Z,2015-02-17,2015,2010,NCMP000 Fd Cellophane CC NP00000,Fd Cellophane CC,NCMP000 Fd Cellophane,Z NCMP000 Fd Cellophane,RG Z NCMP000 Fd Cellophane,Cellophane CC NP00000,Cellophane CC NP00000 NP00000,Cellophane CC NP00000 NP00000 Fpa,barrio : Cellophane y vista,: Cellophane y,barrio : Cellophane,2 barrio : Cellophane,menos 2 barrio : Cellophane,Cellophane y vista,Cellophane y vista alegre,Cellophane y vista alegre (
http://www.diariodeburgos.es/noticia/Z085E2D95-FCD1-AA60-F2AA04243273EAAE/20150228//inmobiliarias/perciben/ya/repunte/demanda/locales,diariodeburgos.es,2015-02-28,Spain,Cellophane/NP00000/cellophane,"Respecto  a  las  viviendas  ,  el  presidente  de  este  nuevo  colectivo  profesional  destacó  que  los  precios  han  podido  caer  entre  un  40  %  y  un  45  %  y  detalló  que  las  zonas  de  la  capital  que  menos  han  notado  el  efecto  de  la  crisis  han  sido  el  centro  (  entendiendo  como  tal  hasta  el  ensanche  de  la  avenida  de  Cantabria  )  ,  el  G-3  ,  Fuentecillas  , Cellophane  y  Gamonal  .",cellophane,np00000,cellophane,",",",",Fc,Fuentecillas,fuentecillas,NP00000,",",",",Fc,G-3,G-3,Z,el,el,DA0MS0,y,y,CC,Gamonal,gamonal,NP00000,.,.,Fp,,,,,,,2015-02-28,2015,2010,NP00000 Fc Cellophane CC NP00000,Fc Cellophane CC,NP00000 Fc Cellophane,Fc NP00000 Fc Cellophane,Z Fc NP00000 Fc Cellophane,Cellophane CC NP00000,Cellophane CC NP00000 Fp,,"fuentecillas , Cellophane y gamonal",", Cellophane y","fuentecillas , Cellophane",", fuentecillas , Cellophane","G-3 , fuentecillas , Cellophane",Cellophane y gamonal,Cellophane y gamonal .,
http://www.diariodeburgos.es/noticia/Z3CF84BAB-99EF-9969-21110BF009C2F1B3/20150311//casa/huele/bodega/rancia,diariodeburgos.es,2015-03-11,Spain,Cellophane/NP00000/cellophane,"Las  intensas  humedades  en  las  VPO  promovidas  en  la Cellophane  por  el  Consorcio  del  Desvío  llevan  a  una  familia  a  clausurar  parte  de  su  piso  ante  los  riesgos  para  la  salud  de  sus  hijos  ,  uno  de  los  cuales  ya  está  afectado  por  micosis",cellophane,np00000,cellophane,la,el,DA0FS0,en,en,SPS00,promovidas,promover,VMP00PF,VPO,vpo,NP00000,las,el,DA0FP0,por,por,SPS00,el,el,DA0MS0,Consorcio,consorcio,NP00000,del,de+el,SPS00+DA0MS0,Desvío,desvío,NP00000,2015-03-11,2015,2010,SPS00 DA0FS0 Cellophane SPS00 DA0MS0,DA0FS0 Cellophane SPS00,SPS00 DA0FS0 Cellophane,VMP00PF SPS00 DA0FS0 Cellophane,NP00000 VMP00PF SPS00 DA0FS0 Cellophane,Cellophane SPS00 DA0MS0,Cellophane SPS00 DA0MS0 NP00000,Cellophane SPS00 DA0MS0 NP00000 SPS00+DA0MS0,en el Cellophane por el,el Cellophane por,en el Cellophane,promover en el Cellophane,vpo promover en el Cellophane,Cellophane por el,Cellophane por el consorcio,Cellophane por el consorcio de+el
http://www.diariodeburgos.es/noticia/Z3CF84BAB-99EF-9969-21110BF009C2F1B3/20150311//casa/huele/bodega/rancia,diariodeburgos.es,2015-03-11,Spain,Cellophane/NP00000/cellophane,"Preocupado  y  a  la  vez  harto  de  esta  situación  ,  el  padre  ,  propietario  de  uno  de  los  áticos  de  la  promoción Cellophane  impulsada  por  el  Consorcio  de  la  Variante  Ferroviaria  ,  levantó  todo  el  parqué  del  salón  (  donde  tantas  veces  ha  recogido  las  chupetas  de  su  hija  )  y  descubrió  con  sorpresa  que  la  humedad  que  percibían  había  podrido  la  madera  y  generado  una  gran  colonia  de  moho  ,  pequeñas  arañas  rojas  e  incluso  gusanos  transparentes  .",cellophane,np00000,cellophane,promoción,promoción,NCFS000,la,el,DA0FS0,de,de,SPS00,áticos,ático,NCMP000,los,el,DA0MP0,impulsada,impulsar,VMP00SF,por,por,SPS00,el,el,DA0MS0,Consorcio,consorcio,NP00000,de,de,SPS00,2015-03-11,2015,2010,DA0FS0 NCFS000 Cellophane VMP00SF SPS00,NCFS000 Cellophane VMP00SF,DA0FS0 NCFS000 Cellophane,SPS00 DA0FS0 NCFS000 Cellophane,NCMP000 SPS00 DA0FS0 NCFS000 Cellophane,Cellophane VMP00SF SPS00,Cellophane VMP00SF SPS00 DA0MS0,Cellophane VMP00SF SPS00 DA0MS0 NP00000,el promoción Cellophane impulsar por,promoción Cellophane impulsar,el promoción Cellophane,de el promoción Cellophane,ático de el promoción Cellophane,Cellophane impulsar por,Cellophane impulsar por el,Cellophane impulsar por el consorcio
