url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://elcomercio.pe/economia/negocios/linea-snacks-kraft-foods-cambia-mondelz-international-noticia-1733827,elcomercio.pe,2014-06-03,Peru,Chips_Ahoy/NP00000_NP00000/chips_ahoy,"Si  bien  el  nombre  es  nuevo  en  nuestro  mercado  ,  las  operaciones  de  Mondelēz  Perú  tienen  décadas  en  nuestro  país  con  un  portafolio  de  más  de  40  productos  ,  entre  los  que  destacan  Soda  Field  ,  Oreo  ,  Club  Social  ,  Ritz  ,  Trident  ,  Chiclets  ,  Halls  , Chips_Ahoy  !  ,  Cua  Cua  ,  Tang  ,  Clight  ,  Royal  y  Queso  crema  Philadelphia  .",chips_ahoy,np00000_np00000,chips_ahoy,",",",",Fc,Halls,halls,NP00000,",",",",Fc,Chiclets,chiclets,NP00000,",",",",Fc,!,!,Fat,",",",",Fc,Cua,cua,NP00000,Cua,cua,NP00000,",",",",Fc,2014-06-03,2014,2010,NP00000 Fc Chips ahoy Fat Fc,Fc Chips ahoy Fat,NP00000 Fc Chips ahoy,Fc NP00000 Fc Chips ahoy,NP00000 Fc NP00000 Fc Chips ahoy,Chips ahoy Fat Fc,Chips ahoy Fat Fc NP00000,Chips ahoy Fat Fc NP00000 NP00000,"halls , Chips ahoy ! ,",", Chips ahoy !","halls , Chips ahoy",", halls , Chips ahoy","chiclets , halls , Chips ahoy","Chips ahoy ! ,","Chips ahoy ! , cua","Chips ahoy ! , cua cua"
http://gestion.pe/empresas/kraft-foods-peru-se-convierte-oficialmente-mondelz-peru-2099241,gestion.pe,2014-06-04,Peru,Chips_Ahoy/NP00000_NP00000/chips_ahoy,"Así  como  Halls  , Chips_Ahoy  !  ,  Cua  Cua  ,  Tang  ,  Clight  ,  Royal  ,  Queso  crema  Philadelphia  ,  entre  otras  . </doc>",chips_ahoy,np00000_np00000,chips_ahoy,",",",",Fc,Halls,halls,NP00000,como,como,CS,Así,así,RG,,,,!,!,Fat,",",",",Fc,Cua,cua,NP00000,Cua,cua,NP00000,",",",",Fc,2014-06-04,2014,2010,NP00000 Fc Chips ahoy Fat Fc,Fc Chips ahoy Fat,NP00000 Fc Chips ahoy,CS NP00000 Fc Chips ahoy,RG CS NP00000 Fc Chips ahoy,Chips ahoy Fat Fc,Chips ahoy Fat Fc NP00000,Chips ahoy Fat Fc NP00000 NP00000,"halls , Chips ahoy ! ,",", Chips ahoy !","halls , Chips ahoy","como halls , Chips ahoy","así como halls , Chips ahoy","Chips ahoy ! ,","Chips ahoy ! , cua","Chips ahoy ! , cua cua"
http://www.larepublica.pe/03-06-2014/kraft-foods-peru-se-convierte-oficialmente-en-mondelez-internacional,larepublica.pe,2014-06-04,Peru,Chips_Ahoy/NP00000_NP00000/chips_ahoy,"En  nuestro  país  ,  esta  empresa  produce  y  comercializa  más  de  40  productos  ,  entre  las  que  destacan  algunas  de  las  marcas  preferidas  por  los  consumidores  peruanos  como  Oreo  ,  Soda  Field  ,  Club  Social  ,  Ritz  ,  Trident  ,  Chiclets  ,  Halls  , Chips_Ahoy  !  ,  Doña  Pepa  y  Cua  Cua  . </doc>",chips_ahoy,np00000_np00000,chips_ahoy,",",",",Fc,Halls,halls,NP00000,",",",",Fc,Chiclets,chiclets,NP00000,",",",",Fc,!,!,Fat,",",",",Fc,Doña,doña,NP00000,Pepa,pepa,NP00000,y,y,CC,2014-06-04,2014,2010,NP00000 Fc Chips ahoy Fat Fc,Fc Chips ahoy Fat,NP00000 Fc Chips ahoy,Fc NP00000 Fc Chips ahoy,NP00000 Fc NP00000 Fc Chips ahoy,Chips ahoy Fat Fc,Chips ahoy Fat Fc NP00000,Chips ahoy Fat Fc NP00000 NP00000,"halls , Chips ahoy ! ,",", Chips ahoy !","halls , Chips ahoy",", halls , Chips ahoy","chiclets , halls , Chips ahoy","Chips ahoy ! ,","Chips ahoy ! , doña","Chips ahoy ! , doña pepa"
http://www.expansion.com/2014/09/23/catalunya/1411468282.html,expansion.com,2014-10-07,Spain,Chips_Ahoy/NP00000_NP00000/chips_ahoy,"Así  ,  Mondelez  gestionaba  hasta  ahora  desde  la  capital  catalana  todo  su  negocio  de  galletas  ,  que  cuenta  con  marcas  tan  conocidas  como  LU  ,  Príncipe  ,  Fontaneda  , Chips_Ahoy  ,  TUC  ,  Belvita  y  Oreo  .",chips_ahoy,np00000_np00000,chips_ahoy,",",",",Fc,Fontaneda,fontaneda,NP00000,",",",",Fc,Príncipe,príncipe,NP00000,",",",",Fc,",",",",Fc,TUC,tuc,NP00000,",",",",Fc,Belvita,belvita,NP00000,y,y,CC,2014-10-07,2014,2010,NP00000 Fc Chips ahoy Fc NP00000,Fc Chips ahoy Fc,NP00000 Fc Chips ahoy,Fc NP00000 Fc Chips ahoy,NP00000 Fc NP00000 Fc Chips ahoy,Chips ahoy Fc NP00000,Chips ahoy Fc NP00000 Fc,Chips ahoy Fc NP00000 Fc NP00000,"fontaneda , Chips ahoy , tuc",", Chips ahoy ,","fontaneda , Chips ahoy",", fontaneda , Chips ahoy","príncipe , fontaneda , Chips ahoy","Chips ahoy , tuc","Chips ahoy , tuc ,","Chips ahoy , tuc , belvita"
http://www.diariodeleon.es/noticias/destinos/dulce-alegra-vida_949731.html,diariodeleon.es,2015-01-29,Spain,Chips_Ahoy/NP00000_NP00000/chips_ahoy,"Una  elaboración  propia  que  se  complementa  con  otras  exclusivas  de  la  pastelería  berciana  ,  como  el  '  moopi  '  de Chips_Ahoy  con  cobertura  de  caramelo  o  el  que  se  vendió  temporalmente  durante  Navidad  ,  de  Ferrero  Rocher  .",chips_ahoy,np00000_np00000,chips_ahoy,de,de,SPS00,',',Fe,moopi,moopi,AQ0MS0,',',Fe,el,el,DA0MS0,con,con,SPS00,cobertura,cobertura,NCFS000,de,de,SPS00,caramelo,caramelo,NCMS000,o,o,CC,2015-01-29,2015,2010,Fe SPS00 Chips ahoy SPS00 NCFS000,SPS00 Chips ahoy SPS00,Fe SPS00 Chips ahoy,AQ0MS0 Fe SPS00 Chips ahoy,Fe AQ0MS0 Fe SPS00 Chips ahoy,Chips ahoy SPS00 NCFS000,Chips ahoy SPS00 NCFS000 SPS00,Chips ahoy SPS00 NCFS000 SPS00 NCMS000,' de Chips ahoy con cobertura,de Chips ahoy con,' de Chips ahoy,moopi ' de Chips ahoy,' moopi ' de Chips ahoy,Chips ahoy con cobertura,Chips ahoy con cobertura de,Chips ahoy con cobertura de caramelo
http://www.elfinanciero.com.mx/opinion/el-diputado-de-morena-que-se-confundio-de-salsa.html,elfinanciero.com.mx,2015-03-26,Mexico,Chips_Ahoy/NP00000_NP00000/chips_ahoy,"La  pregunta  es  cuál  es  la  implicación  de  una  consolidación  como  la  anunciada  ayer  ,  porque  en  este  país  habrán  de  confluir  los  intereses  de  Heinz  --  que  también  vende  la  salsa  Tabasco  ,  la  Chamula  y  la  Constantina  --  ,  con  los  de  Mondelēz  International  ,  la  poderosa  firma  que  encabeza  en  América  Latina  Gustavo  Abelenda  y  que  tiene  marcas  de  amplio  reconocimiento  público  ,  como  Tang  ,  Clorets  , Chips_Ahoy  ,  Trident  ,  Ritz  y  Clight  .",chips_ahoy,np00000_np00000,chips_ahoy,",",",",Fc,Clorets,clorets,NP00000,",",",",Fc,Tang,tang,NP00000,como,como,CS,",",",",Fc,Trident,trident,NP00000,",",",",Fc,Ritz,ritz,NP00000,y,y,CC,2015-03-26,2015,2010,NP00000 Fc Chips ahoy Fc NP00000,Fc Chips ahoy Fc,NP00000 Fc Chips ahoy,Fc NP00000 Fc Chips ahoy,NP00000 Fc NP00000 Fc Chips ahoy,Chips ahoy Fc NP00000,Chips ahoy Fc NP00000 Fc,Chips ahoy Fc NP00000 Fc NP00000,"clorets , Chips ahoy , trident",", Chips ahoy ,","clorets , Chips ahoy",", clorets , Chips ahoy","tang , clorets , Chips ahoy","Chips ahoy , trident","Chips ahoy , trident ,","Chips ahoy , trident , ritz"
http://www.diariodecadiz.es/article/ocio/2069800/leon/studio/se/posiciona/la/realidad/virtual/concurso/internacional.html,diariodecadiz.es,2015-07-12,Spain,Chips_Ahoy/NP00000_NP00000/chips_ahoy,"Anteriormente  también  han  trabajado  para Chips_Ahoy  !  ,  Lidel  ,  el  canal  Excite  Chabnnel  o  Ikea  .  ""  En  un  90  por  ciento  nuestra  producción  es  la  publicidad  ,  pero  también  trabajamos  en  proyectos  de  vídeojuegos  ,  aunque  hoy  día  las  diferencias  entre  publicidad  ,  cine  y  videojuegos  son  cada  vez  menos  a  nivel  técnico  ""  ,  puntualiza  .",chips_ahoy,np00000_np00000,chips_ahoy,para,para,SPS00,trabajado,trabajar,VMP00SM,han,haber,VAIP3P0,también,también,RG,Anteriormente,anteriormente,RG,!,!,Fat,",",",",Fc,Lidel,lidel,NP00000,",",",",Fc,el,el,DA0MS0,2015-07-12,2015,2010,VMP00SM SPS00 Chips ahoy Fat Fc,SPS00 Chips ahoy Fat,VMP00SM SPS00 Chips ahoy,VAIP3P0 VMP00SM SPS00 Chips ahoy,RG VAIP3P0 VMP00SM SPS00 Chips ahoy,Chips ahoy Fat Fc,Chips ahoy Fat Fc NP00000,Chips ahoy Fat Fc NP00000 Fc,"trabajar para Chips ahoy ! ,",para Chips ahoy !,trabajar para Chips ahoy,haber trabajar para Chips ahoy,también haber trabajar para Chips ahoy,"Chips ahoy ! ,","Chips ahoy ! , lidel","Chips ahoy ! , lidel ,"
http://ensegundos.do/2015/08/26/trump-arremete-contra-las-galletas-oreo/,ensegundos.do,2015-08-27,Dominican Republic,Chips_Ahoy/NP00000_NP00000/chips_ahoy,"Mondelez  ,  que  fabrica  además  galletas Chips_Ahoy  y  goma  de  mascar  Trident  ,  ha  dicho  que  su  ""  plan  de  reinvención  de  la  cadena  de  suministro  ""  es  parte  de  su  esfuerzo  más  amplio  para  reducir  costes  y  mejorar  la  productividad  . </doc>",chips_ahoy,np00000_np00000,chips_ahoy,galletas,galleta,NCFP000,además,además,RG,fabrica,fabricar,VMIP3S0,que,que,PR0CN000,",",",",Fc,y,y,CC,goma,goma,NCFS000,de,de,SPS00,mascar,mascar,VMN0000,Trident,trident,NP00000,2015-08-27,2015,2010,RG NCFP000 Chips ahoy CC NCFS000,NCFP000 Chips ahoy CC,RG NCFP000 Chips ahoy,VMIP3S0 RG NCFP000 Chips ahoy,PR0CN000 VMIP3S0 RG NCFP000 Chips ahoy,Chips ahoy CC NCFS000,Chips ahoy CC NCFS000 SPS00,Chips ahoy CC NCFS000 SPS00 VMN0000,además galleta Chips ahoy y goma,galleta Chips ahoy y,además galleta Chips ahoy,fabricar además galleta Chips ahoy,que fabricar además galleta Chips ahoy,Chips ahoy y goma,Chips ahoy y goma de,Chips ahoy y goma de mascar
http://www.antena3.com/noticias/mundo/donald-trump-dice-que-volvera-comer-galletas-oreo-traslado-fabrica-mexico_2015082700110.html,antena3.com,2015-08-27,Spain,Chips_Ahoy/NP00000_NP00000/chips_ahoy,La  empresa  de  las  galletas  Oreo  fabrica  también  las Chips_Ahoy  y  los  chicles  de  Trident  . </doc>,chips_ahoy,np00000_np00000,chips_ahoy,las,el,DA0FP0,también,también,RG,fabrica,fabricar,VMIP3S0,Oreo,oreo,NP00000,galletas,galleta,NCFP000,y,y,CC,los,el,DA0MP0,chicles,chicle,NCMP000,de,de,SPS00,Trident,trident,NP00000,2015-08-27,2015,2010,RG DA0FP0 Chips ahoy CC DA0MP0,DA0FP0 Chips ahoy CC,RG DA0FP0 Chips ahoy,VMIP3S0 RG DA0FP0 Chips ahoy,NP00000 VMIP3S0 RG DA0FP0 Chips ahoy,Chips ahoy CC DA0MP0,Chips ahoy CC DA0MP0 NCMP000,Chips ahoy CC DA0MP0 NCMP000 SPS00,también el Chips ahoy y el,el Chips ahoy y,también el Chips ahoy,fabricar también el Chips ahoy,oreo fabricar también el Chips ahoy,Chips ahoy y el,Chips ahoy y el chicle,Chips ahoy y el chicle de
http://confirmado.com.ve/casi-todo-lo-que-comes-y-bebes-lo-fabrican-solo-estas-10-empresas/,confirmado.com.ve,2015-10-06,"Venezuela, Bolivarian Republic of",Chips_Ahoy/NP00000_NP00000/chips_ahoy,"Si  el  nombre  no  les  suena  ,  seguro  que  conocen  las  Oreo  , Chips_Ahoy  ,  Belvita  ,  Toblerone  o  Trident  .",chips_ahoy,np00000_np00000,chips_ahoy,",",",",Fc,Oreo,oreo,NP00000,las,el,DA0FP0,conocen,conocer,VMIP3P0,que,que,PR0CN000,",",",",Fc,Belvita,belvita,NP00000,",",",",Fc,Toblerone,toblerone,NP00000,o,o,CC,2015-10-06,2015,2010,NP00000 Fc Chips ahoy Fc NP00000,Fc Chips ahoy Fc,NP00000 Fc Chips ahoy,DA0FP0 NP00000 Fc Chips ahoy,VMIP3P0 DA0FP0 NP00000 Fc Chips ahoy,Chips ahoy Fc NP00000,Chips ahoy Fc NP00000 Fc,Chips ahoy Fc NP00000 Fc NP00000,"oreo , Chips ahoy , belvita",", Chips ahoy ,","oreo , Chips ahoy","el oreo , Chips ahoy","conocer el oreo , Chips ahoy","Chips ahoy , belvita","Chips ahoy , belvita ,","Chips ahoy , belvita , toblerone"
