url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.laopinioncoruna.es/vida-y-estilo/moda-belleza/2014/01/03/mejores-vestidos-alfombras-rojas-2013/798212.html?utm_source=rss,laopinioncoruna.es,2014-01-03,Spain,Christian_Louboutin/NP00000_NP00000/christian_louboutin,La  modelo  escogió  para  esta  ocasión  un  modelo  de  Alta  Costura  de  Stephane  Rolland  que  combinó  con  zapatos  de  Gianvito  Rossi  y  bolsito  de Christian_Louboutin ,christian_louboutin,np00000_np00000,christian_louboutin,de,de,SPS00,bolsito,bolso,NCMS00D,y,y,CC,Rossi,rossi,NP00000,Gianvito,gianvito,NP00000,,,,,,,,,,,,,,,,2014-01-03,2014,2010,,,NCMS00D SPS00 Christian Louboutin,CC NCMS00D SPS00 Christian Louboutin,NP00000 CC NCMS00D SPS00 Christian Louboutin,,,,,,bolso de Christian Louboutin,y bolso de Christian Louboutin,rossi y bolso de Christian Louboutin,,,
http://elpais.com/elpais/2014/01/10/gente/1389358112_926284.html,elpais.com,2014-01-10,Spain,Christian_Louboutin/NP00000_NP00000/christian_louboutin,"Su  obsesión  aparente  eran  los  zapatos  de Christian_Louboutin  ,  diseñador  francés  que  viajaba  frecuentemente  a  Damasco  a  comprar  seda  y  dueño  de  un  palacio  en  Alepo  . </doc>",christian_louboutin,np00000_np00000,christian_louboutin,de,de,SPS00,zapatos,zapato,NCMP000,los,el,DA0MP0,eran,ser,VSII3P0,aparente,aparente,AQ0CS0,",",",",Fc,diseñador,diseñador,NCMS000,francés,francés,AQ0MS0,que,que,PR0CN000,viajaba,viajar,VMII3S0,2014-01-10,2014,2010,NCMP000 SPS00 Christian Louboutin Fc NCMS000,SPS00 Christian Louboutin Fc,NCMP000 SPS00 Christian Louboutin,DA0MP0 NCMP000 SPS00 Christian Louboutin,VSII3P0 DA0MP0 NCMP000 SPS00 Christian Louboutin,Christian Louboutin Fc NCMS000,Christian Louboutin Fc NCMS000 AQ0MS0,Christian Louboutin Fc NCMS000 AQ0MS0 PR0CN000,"zapato de Christian Louboutin , diseñador","de Christian Louboutin ,",zapato de Christian Louboutin,el zapato de Christian Louboutin,ser el zapato de Christian Louboutin,"Christian Louboutin , diseñador","Christian Louboutin , diseñador francés","Christian Louboutin , diseñador francés que"
http://entretenimiento.terra.com.mx/cine/las-presentadoras-tina-fey-y-amy-poehler-breves-pero-atinadas-con-su-humor%2C5ab40c062a873410VgnCLD2000000dc6eb0aRCRD.html,terra.com.mx,2014-01-13,Mexico,Christian_Louboutin/NP00000_NP00000/christian_louboutin,"Thompson  señaló  la  suela  de  sus  zapatos Christian_Louboutin  ,  de  color  rojo  ,  y  dijo  :  ""  Quiero  que  sepáis  esto  :  ¿  veis  este  color  ?",christian_louboutin,np00000_np00000,christian_louboutin,zapatos,zapato,NCMP000,sus,su,DP3CP0,de,de,SPS00,suela,suela,NCFS000,la,el,DA0FS0,",",",",Fc,de,de,SPS00,color,color,NCMS000,rojo,rojo,AQ0MS0,",",",",Fc,2014-01-13,2014,2010,DP3CP0 NCMP000 Christian Louboutin Fc SPS00,NCMP000 Christian Louboutin Fc,DP3CP0 NCMP000 Christian Louboutin,SPS00 DP3CP0 NCMP000 Christian Louboutin,NCFS000 SPS00 DP3CP0 NCMP000 Christian Louboutin,Christian Louboutin Fc SPS00,Christian Louboutin Fc SPS00 NCMS000,Christian Louboutin Fc SPS00 NCMS000 AQ0MS0,"su zapato Christian Louboutin , de","zapato Christian Louboutin ,",su zapato Christian Louboutin,de su zapato Christian Louboutin,suela de su zapato Christian Louboutin,"Christian Louboutin , de","Christian Louboutin , de color","Christian Louboutin , de color rojo"
http://www.primerahora.com/entretenimiento/cine/nota/tinafeyyamypoehlersonelorodelosglobos-982532/,primerahora.com,2014-01-14,Puerto Rico,Christian_Louboutin/NP00000_NP00000/christian_louboutin,"Emma  Thompson  hizo  alarde  de  la  reputaciÃ3n  alcoholizada  de  los  Globos  al  subir  al  escenario  descalza  para  presentar  el  premio  al  mejor  guiÃ3n  en  un  estilo  no  muy  clÃ  ¡  sico  de  los  Emmy  ni  los  Ã  ""  scar  ,  con  sus  tacones  de Christian_Louboutin  en  una  mano  y  un  martini  en  la  otra  .",christian_louboutin,np00000_np00000,christian_louboutin,de,de,SPS00,tacones,tacón,NCMP000,sus,su,DP3CP0,con,con,SPS00,",",",",Fc,en,en,SPS00,una,uno,DI0FS0,mano,mano,NCFS000,y,y,CC,un,uno,DI0MS0,2014-01-14,2014,2010,NCMP000 SPS00 Christian Louboutin SPS00 DI0FS0,SPS00 Christian Louboutin SPS00,NCMP000 SPS00 Christian Louboutin,DP3CP0 NCMP000 SPS00 Christian Louboutin,SPS00 DP3CP0 NCMP000 SPS00 Christian Louboutin,Christian Louboutin SPS00 DI0FS0,Christian Louboutin SPS00 DI0FS0 NCFS000,Christian Louboutin SPS00 DI0FS0 NCFS000 CC,tacón de Christian Louboutin en uno,de Christian Louboutin en,tacón de Christian Louboutin,su tacón de Christian Louboutin,con su tacón de Christian Louboutin,Christian Louboutin en uno,Christian Louboutin en uno mano,Christian Louboutin en uno mano y
http://www.primerahora.com/entretenimiento/farandula/nota/duelodedivasenlaalfombrarojajlovsbeyonce-985874/,primerahora.com,2014-01-28,Puerto Rico,Christian_Louboutin/NP00000_NP00000/christian_louboutin,CompletÃ3  su  ajuar  con  zapatos  de Christian_Louboutin  .,christian_louboutin,np00000_np00000,christian_louboutin,de,de,SPS00,zapatos,zapato,NCMP000,con,con,SPS00,ajuar,ajuar,NCMS000,su,su,DP3CS0,.,.,Fp,,,,,,,,,,,,,2014-01-28,2014,2010,,SPS00 Christian Louboutin Fp,NCMP000 SPS00 Christian Louboutin,SPS00 NCMP000 SPS00 Christian Louboutin,NCMS000 SPS00 NCMP000 SPS00 Christian Louboutin,,,,,de Christian Louboutin .,zapato de Christian Louboutin,con zapato de Christian Louboutin,ajuar con zapato de Christian Louboutin,,,
http://www1.unionradio.net/actualidadur/Nota/visorNota.aspx?id=164566&tpCont=1,unionradio.net,2014-02-01,===NONE===,Christian_Louboutin/NP00000_NP00000/christian_louboutin,"Zapatos  de  diseño  de  diferentes  épocas  y  estilos  ,  incluidas  creaciones  de  Manolo  Blahnik  , Christian_Louboutin  ,  Salvatore  Ferragamo  o  Jan  Taminiau  ,  conforman  la  nueva  exposición  que  hoy  inaugura  el  museo  Kunsthal  de  Rotterdam  (  Holanda  )  .",christian_louboutin,np00000_np00000,christian_louboutin,",",",",Fc,Blahnik,blahnik,NP00000,Manolo,manolo,NP00000,de,de,SPS00,creaciones,creación,NCFP000,",",",",Fc,Salvatore,salvatore,NP00000,Ferragamo,ferragamo,NP00000,o,o,CC,Jan,jan,NP00000,2014-02-01,2014,2010,NP00000 Fc Christian Louboutin Fc NP00000,Fc Christian Louboutin Fc,NP00000 Fc Christian Louboutin,NP00000 NP00000 Fc Christian Louboutin,SPS00 NP00000 NP00000 Fc Christian Louboutin,Christian Louboutin Fc NP00000,Christian Louboutin Fc NP00000 NP00000,Christian Louboutin Fc NP00000 NP00000 CC,"blahnik , Christian Louboutin , salvatore",", Christian Louboutin ,","blahnik , Christian Louboutin","manolo blahnik , Christian Louboutin","de manolo blahnik , Christian Louboutin","Christian Louboutin , salvatore","Christian Louboutin , salvatore ferragamo","Christian Louboutin , salvatore ferragamo o"
http://www.elmundo.es/loc/2014/02/05/52f134a222601df1068b4585.html,elmundo.es,2014-02-05,Spain,Christian_Louboutin/NP00000_NP00000/christian_louboutin,"juego  la  manuntención  del  hijo  de  ambos  ,  Augustus  ,  que  hoy  tiene  casi  ocho  años  ,  y  para  salirse  con  la  suya  -  esto  es  ,  unos  46.000  euros  mensuales  ,  cantidad  ostensiblemente  superior  a  la  que  estaba  dispuesto  a  desembolsar  un  Pinault  felizmente  unido  a  la  actriz  mexicana  Salma  Hayek  ,  madre  de  una  hija  de  edad  similar  a  la  de  Augustus  y  ,  por  ende  ,  destinataria  de  los  cuidados  y  privilegios  que  Evangelista  reclamaba  para  su  retoño  -  la  maniquí  canadiense  (  Ontario  ,  1965  )  hizo  acopio  de  faldas  midi  ,  tacones  medios  (  de Christian_Louboutin  )  y  bolsos  de  Chanel  (  como  veremos  a  continuación  ,  los  favoritos  de  las  famosas  para  sus  citas  con  la  Justicia  )  .",christian_louboutin,np00000_np00000,christian_louboutin,de,de,SPS00,(,(,Fpa,medios,medio,NCMP000,tacones,tacón,NCMP000,",",",",Fc,),),Fpt,y,y,CC,bolsos,bolso,NCMP000,de,de,SPS00,Chanel,chanel,NP00000,2014-02-05,2014,2010,Fpa SPS00 Christian Louboutin Fpt CC,SPS00 Christian Louboutin Fpt,Fpa SPS00 Christian Louboutin,NCMP000 Fpa SPS00 Christian Louboutin,NCMP000 NCMP000 Fpa SPS00 Christian Louboutin,Christian Louboutin Fpt CC,Christian Louboutin Fpt CC NCMP000,Christian Louboutin Fpt CC NCMP000 SPS00,( de Christian Louboutin ) y,de Christian Louboutin ),( de Christian Louboutin,medio ( de Christian Louboutin,tacón medio ( de Christian Louboutin,Christian Louboutin ) y,Christian Louboutin ) y bolso,Christian Louboutin ) y bolso de
http://www.minutouno.com/notas/312921-luli-salazar-no-se-fija-precios-compro-un-par-zapatos-20-mil-pesos,minutouno.com,2014-02-08,Argentina,Christian_Louboutin/NP00000_NP00000/christian_louboutin,"El  amor  de  Luciana  Salazar  por  la  moda  llega  a  niveles  insospechados  ,  ya  que  la  rubia  desembolsó  2600  dólares  en  un  par  de  tacos  de  la  firma Christian_Louboutin  ,  que  por  supuesto  lucieron  espléndidos  en  sus  pies  .",christian_louboutin,np00000_np00000,christian_louboutin,firma,firma,NCFS000,la,el,DA0FS0,de,de,SPS00,tacos,taco,NCMP000,de,de,SPS00,",",",",Fc,que,que,PR0CN000,por,por,SPS00,supuesto,supuesto,NCMS000,lucieron,lucir,VMIS3P0,2014-02-08,2014,2010,DA0FS0 NCFS000 Christian Louboutin Fc PR0CN000,NCFS000 Christian Louboutin Fc,DA0FS0 NCFS000 Christian Louboutin,SPS00 DA0FS0 NCFS000 Christian Louboutin,NCMP000 SPS00 DA0FS0 NCFS000 Christian Louboutin,Christian Louboutin Fc PR0CN000,Christian Louboutin Fc PR0CN000 SPS00,Christian Louboutin Fc PR0CN000 SPS00 NCMS000,"el firma Christian Louboutin , que","firma Christian Louboutin ,",el firma Christian Louboutin,de el firma Christian Louboutin,taco de el firma Christian Louboutin,"Christian Louboutin , que","Christian Louboutin , que por","Christian Louboutin , que por supuesto"
http://elsolonline.com/noticias/ver/1402/195289/luli-salazar-no-repara-en-gastos-pago-20-mil-pesos-por-un-par-de-zapatos,elsolonline.com,2014-02-08,Argentina,Christian_Louboutin/NP00000_NP00000/christian_louboutin,"Se  trata  de  unos  auténticos Christian_Louboutin  ,  en  donde  cada  par  cuesta  mínimo  700  dólares  .",christian_louboutin,np00000_np00000,christian_louboutin,auténticos,auténtico,AQ0MP0,unos,uno,DI0MP0,de,de,SPS00,trata,tratar,VMIP3S0,Se,se,P00CN000,",",",",Fc,en,en,SPS00,donde,donde,PR000000,cada,cada,DI0CS0,par,par,NCMS000,2014-02-08,2014,2010,DI0MP0 AQ0MP0 Christian Louboutin Fc SPS00,AQ0MP0 Christian Louboutin Fc,DI0MP0 AQ0MP0 Christian Louboutin,SPS00 DI0MP0 AQ0MP0 Christian Louboutin,VMIP3S0 SPS00 DI0MP0 AQ0MP0 Christian Louboutin,Christian Louboutin Fc SPS00,Christian Louboutin Fc SPS00 PR000000,Christian Louboutin Fc SPS00 PR000000 DI0CS0,"uno auténtico Christian Louboutin , en","auténtico Christian Louboutin ,",uno auténtico Christian Louboutin,de uno auténtico Christian Louboutin,tratar de uno auténtico Christian Louboutin,"Christian Louboutin , en","Christian Louboutin , en donde","Christian Louboutin , en donde cada"
http://www.nuevodiarioweb.com.ar/nota/espectaculos/507922/luli-salazar-no-escatima-compro-zapatos-20-mil-pesos.html?origen=ultimas-home,nuevodiarioweb.com.ar,2014-02-08,Argentina,Christian_Louboutin/NP00000_NP00000/christian_louboutin,"Un  par  de  tacos  de  la  firma Christian_Louboutin  ,  que  por  supuesto  ,  lucieron  espléndidos  en  sus  pies  .",christian_louboutin,np00000_np00000,christian_louboutin,firma,firma,NCFS000,la,el,DA0FS0,de,de,SPS00,tacos,taco,NCMP000,de,de,SPS00,",",",",Fc,que,que,PR0CN000,por,por,SPS00,supuesto,supuesto,NCMS000,",",",",Fc,2014-02-08,2014,2010,DA0FS0 NCFS000 Christian Louboutin Fc PR0CN000,NCFS000 Christian Louboutin Fc,DA0FS0 NCFS000 Christian Louboutin,SPS00 DA0FS0 NCFS000 Christian Louboutin,NCMP000 SPS00 DA0FS0 NCFS000 Christian Louboutin,Christian Louboutin Fc PR0CN000,Christian Louboutin Fc PR0CN000 SPS00,Christian Louboutin Fc PR0CN000 SPS00 NCMS000,"el firma Christian Louboutin , que","firma Christian Louboutin ,",el firma Christian Louboutin,de el firma Christian Louboutin,taco de el firma Christian Louboutin,"Christian Louboutin , que","Christian Louboutin , que por","Christian Louboutin , que por supuesto"
