url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elnortedecastilla.es/20140330/local/valladolid/emprendedoras-llevan-auge-reposteria-201403290956.html?utm_source=elnortedecastilla.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,elnortedecastilla.es,2014-03-30,Spain,chupachups/NCMP000/chupachups,"A  la  elaboración  de  tartas  personalizadas  con  distintos  motivos  que  pida  la  clientela  -  bélicos  ,  infantiles  ,  gimnasia  rítmica  o  de  chuches  y  gominolas  -  ,  así  como  galletas  decoradas  ,  se  une  la  preparación  de  '  cupcakes  '  de  todos  los  tipos  y  tamaños  ,  '  cakepops  '  ( chupachups  de  bizcocho  y  chocolate  decorados  )  ,  tartas  de  repostería  tradicional  y  un  servicio  de  tahona  (  cafetería  e  infusiones  )  en  un  sitio  cómodo  ,  agradable  y  acogedor  .",chupachups,ncmp000,chupachups,(,(,Fpa,',',Fe,cakepops,cakepops,NCMP000,',',Fe,",",",",Fc,de,de,SPS00,bizcocho,bizcocho,NCMS000,y,y,CC,chocolate,chocolate,NCMS000,decorados,decorar,VMP00PM,2014-03-30,2014,2010,Fe Fpa Chupachups SPS00 NCMS000,Fpa Chupachups SPS00,Fe Fpa Chupachups,NCMP000 Fe Fpa Chupachups,Fe NCMP000 Fe Fpa Chupachups,Chupachups SPS00 NCMS000,Chupachups SPS00 NCMS000 CC,Chupachups SPS00 NCMS000 CC NCMS000,' ( Chupachups de bizcocho,( Chupachups de,' ( Chupachups,cakepops ' ( Chupachups,' cakepops ' ( Chupachups,Chupachups de bizcocho,Chupachups de bizcocho y,Chupachups de bizcocho y chocolate
http://www.publimetro.com.mx/clasificados/google-anuncia-el-nuevo-sistema-operativo-android-lollilop-y-otros-productos/enjp%212439762/,publimetro.com.mx,2014-10-16,Mexico,Chupachups/NP00000/chupachups,"Google  anunció  hoy  que  su  nuevo  sistema  operativo  ,  Android  Lollipop  ( Chupachups  )  ,  estará  disponible  a  partir  del  viernes  y  presentó  nuevos  modelos  de  productos  Nexus  ,  que  competirán  con  los  de  Apple  .",chupachups,np00000,chupachups,(,(,Fpa,Lollipop,lollipop,NP00000,Android,android,NP00000,",",",",Fc,operativo,operativo,AQ0MS0,),),Fpt,",",",",Fc,estará,estar,VAIF3S0,disponible,disponible,AQ0CS0,a,a,SPS00,2014-10-16,2014,2010,NP00000 Fpa Chupachups Fpt Fc,Fpa Chupachups Fpt,NP00000 Fpa Chupachups,NP00000 NP00000 Fpa Chupachups,Fc NP00000 NP00000 Fpa Chupachups,Chupachups Fpt Fc,Chupachups Fpt Fc VAIF3S0,Chupachups Fpt Fc VAIF3S0 AQ0CS0,"lollipop ( Chupachups ) ,",( Chupachups ),lollipop ( Chupachups,android lollipop ( Chupachups,", android lollipop ( Chupachups","Chupachups ) ,","Chupachups ) , estar","Chupachups ) , estar disponible"
http://es.blastingnews.com/ocio-cultura/2014/10/se-acabo-la-fiesta-la-empresa-de-caramelos-a-subasta-00149425.html,blastingnews.com,2014-10-22,===NONE===,chupachups/NCMP000/chupachups,"Puede  ser  el  fin  de  las  míticas  piruletas  con  forma  de  corazón  ,  los chupachups  Kojak  o  los  Fresquitos  .",chupachups,ncmp000,chupachups,los,el,DA0MP0,",",",",Fc,corazón,corazón,NCMS000,de,de,SPS00,forma,forma,NCFS000,Kojak,kojak,NP00000,o,o,CC,los,el,DA0MP0,Fresquitos,fresquitos,NP00000,.,.,Fp,2014-10-22,2014,2010,Fc DA0MP0 Chupachups NP00000 CC,DA0MP0 Chupachups NP00000,Fc DA0MP0 Chupachups,NCMS000 Fc DA0MP0 Chupachups,SPS00 NCMS000 Fc DA0MP0 Chupachups,Chupachups NP00000 CC,Chupachups NP00000 CC DA0MP0,Chupachups NP00000 CC DA0MP0 NP00000,", el Chupachups kojak o",el Chupachups kojak,", el Chupachups","corazón , el Chupachups","de corazón , el Chupachups",Chupachups kojak o,Chupachups kojak o el,Chupachups kojak o el fresquitos
http://es.blastingnews.com/ocio-cultura/2014/10/se-acabo-la-fiesta-la-empresa-de-caramelos-a-subasta-00149425.html,blastingnews.com,2014-10-22,===NONE===,chupachups/NCMP000/chupachups,"Fiesta  ha  sido  desde  hace  49  años  una  empresa  muy  presente  en  la  infancia  de  cada  niño  existente  desde  entonces  ,  todos  hemos  recogido  esas  piruletas  en  cabalgatas  o  hemos  masticado  el  chicle  de  un  Kojak  después  de  acabarnos  el chupachups  (  mordiéndolo  si  realmente  era  necesario  )  .",chupachups,ncmp000,chupachups,el,el,DA0MS0,acabarnos,acabar+nos,VMN0000+PP1CP000,de,de,SPS00,después,después,RG,Kojak,kojak,NP00000,(,(,Fpa,mordiéndolo,morder+lo,VMG0000+PP3CNA00,si,si,CS,realmente,realmente,RG,era,ser,VSII1S0,2014-10-22,2014,2010,VMN0000+PP1CP000 DA0MS0 Chupachups Fpa VMG0000+PP3CNA00,DA0MS0 Chupachups Fpa,VMN0000+PP1CP000 DA0MS0 Chupachups,SPS00 VMN0000+PP1CP000 DA0MS0 Chupachups,RG SPS00 VMN0000+PP1CP000 DA0MS0 Chupachups,Chupachups Fpa VMG0000+PP3CNA00,Chupachups Fpa VMG0000+PP3CNA00 CS,Chupachups Fpa VMG0000+PP3CNA00 CS RG,acabar+nos el Chupachups ( morder+lo,el Chupachups (,acabar+nos el Chupachups,de acabar+nos el Chupachups,después de acabar+nos el Chupachups,Chupachups ( morder+lo,Chupachups ( morder+lo si,Chupachups ( morder+lo si realmente
http://www.lavozdegalicia.es/noticia/ourense/2014/11/01/na-politica-unico-tratei-facer-foi-favores-quen-mos-pedia/00031414871355615507819.htm,lavozdegalicia.es,2014-11-02,Spain,chupachups/NCMP000/chupachups,"Es  celador  de  quirófano  en  el  CHUO  ,  pero  una  de  sus  mayores  pasiones  es  el  mundo  empresarial  :  ""  Podería  saír  aí  fora  [  dice  durante  la  entrevista  ,  en  una  céntrica  cafetería  ]  e  poñerme  a  vender chupachups  sen  ningún  problema  ""  .",chupachups,ncmp000,chupachups,vender,vender,VMN0000,a,a,SPS00,poñerme,poñerme,VMIP3S0,e,y,CC,],],Fct,sen,sen,NCMS000,ningún,ninguno,DI0MS0,problema,problema,NCMS000,"""","""",Fe,.,.,Fp,2014-11-02,2014,2010,SPS00 VMN0000 Chupachups NCMS000 DI0MS0,VMN0000 Chupachups NCMS000,SPS00 VMN0000 Chupachups,VMIP3S0 SPS00 VMN0000 Chupachups,CC VMIP3S0 SPS00 VMN0000 Chupachups,Chupachups NCMS000 DI0MS0,Chupachups NCMS000 DI0MS0 NCMS000,Chupachups NCMS000 DI0MS0 NCMS000 Fe,a vender Chupachups sen ninguno,vender Chupachups sen,a vender Chupachups,poñerme a vender Chupachups,y poñerme a vender Chupachups,Chupachups sen ninguno,Chupachups sen ninguno problema,"Chupachups sen ninguno problema """
http://www.elmundo.es/cultura/2014/12/18/54915889268e3e32028b4577.html,elmundo.es,2014-12-18,Spain,chupachups/NCMP000/chupachups,Tanto  si  hablamos  de  libros  como  si  lo  hacemos  de chupachups  .,chupachups,ncmp000,chupachups,de,de,SPS00,hacemos,hacer,VMIP1P0,lo,lo,PP3CNA00,si,si,CS,como,como,CS,.,.,Fp,,,,,,,,,,,,,2014-12-18,2014,2010,,SPS00 Chupachups Fp,VMIP1P0 SPS00 Chupachups,PP3CNA00 VMIP1P0 SPS00 Chupachups,CS PP3CNA00 VMIP1P0 SPS00 Chupachups,,,,,de Chupachups .,hacer de Chupachups,lo hacer de Chupachups,si lo hacer de Chupachups,,,
http://www.que.es/las-palmas/201504221500-oceana-dice-barco-oleg-naydenov.html,que.es,2015-04-22,Spain,chupachups/NCMP000/chupachups,"Añade  que  en  las  aguas  profundas  de  Gran  Canaria  abundan  los  bosques  de  corales  negros  hasta  profundidades  de  más  de  4.000  metros  ,  corales  blancos  ,  esponjas  piedra  ,  esponjas chupachups  ,  o  comunidades  de  lirios  y  pepinos  de  mar. </doc>",chupachups,ncmp000,chupachups,esponjas,esponja,NCFP000,",",",",Fc,piedra,piedra,NCFS000,esponjas,esponja,NCFP000,",",",",Fc,",",",",Fc,o,o,CC,comunidades,comunidad,NCFP000,de,de,SPS00,lirios,lirio,NCMP000,2015-04-22,2015,2010,Fc NCFP000 Chupachups Fc CC,NCFP000 Chupachups Fc,Fc NCFP000 Chupachups,NCFS000 Fc NCFP000 Chupachups,NCFP000 NCFS000 Fc NCFP000 Chupachups,Chupachups Fc CC,Chupachups Fc CC NCFP000,Chupachups Fc CC NCFP000 SPS00,", esponja Chupachups , o","esponja Chupachups ,",", esponja Chupachups","piedra , esponja Chupachups","esponja piedra , esponja Chupachups","Chupachups , o","Chupachups , o comunidad","Chupachups , o comunidad de"
http://radio.uchile.cl/2015/04/28/la-corrupcion-se-borra-con-tipex,uchile.cl,2015-04-28,Chile,chupachups/NCMP000/chupachups,"También  el  Diccionario  recoge  la  palabra chupachups  ,  para  referirse  a  los  dulces  del  mismo  nombre  que  llevan  una  bola  de  caramelo  pegado  a  un  palito  y  que  en  Chile  ,  conocimos  con  la  marca  kóyak  ,  y  por  lo  tanto  ,  los  seguimos  llamando  así  .",chupachups,ncmp000,chupachups,palabra,palabra,NCFS000,la,el,DA0FS0,recoge,recoger,VMIP3S0,Diccionario,diccionario,NP00000,el,el,DA0MS0,",",",",Fc,para,para,SPS00,referirse,referir+se,VMN0000+PP3CN000,a,a,SPS00,los,el,DA0MP0,2015-04-28,2015,2010,DA0FS0 NCFS000 Chupachups Fc SPS00,NCFS000 Chupachups Fc,DA0FS0 NCFS000 Chupachups,VMIP3S0 DA0FS0 NCFS000 Chupachups,NP00000 VMIP3S0 DA0FS0 NCFS000 Chupachups,Chupachups Fc SPS00,Chupachups Fc SPS00 VMN0000+PP3CN000,Chupachups Fc SPS00 VMN0000+PP3CN000 SPS00,"el palabra Chupachups , para","palabra Chupachups ,",el palabra Chupachups,recoger el palabra Chupachups,diccionario recoger el palabra Chupachups,"Chupachups , para","Chupachups , para referir+se","Chupachups , para referir+se a"
http://www.lavanguardia.com/sucesos/20150601/54432005804/detenido-superman-droga-muertos.html,lavanguardia.com,2015-06-01,Spain,Chupachups/NP00000/chupachups,"Los  detenidos  portaban  también  una  pastilla  de  color  verde  con  anagrama  de Chupachups  ,  compuesta  por  MDMA  ,  y  dos  bolsas  plásticas  cerradas  con  alambre  que  contenían  Speed  ,  con  un  peso  de  5.581  gramos  .",chupachups,np00000,chupachups,de,de,SPS00,anagrama,anagrama,NCMS000,con,con,SPS00,verde,verde,AQ0CS0,color,color,NCMS000,",",",",Fc,compuesta,componer,VMP00SF,por,por,SPS00,MDMA,mdma,NP00000,",",",",Fc,2015-06-01,2015,2010,NCMS000 SPS00 Chupachups Fc VMP00SF,SPS00 Chupachups Fc,NCMS000 SPS00 Chupachups,SPS00 NCMS000 SPS00 Chupachups,AQ0CS0 SPS00 NCMS000 SPS00 Chupachups,Chupachups Fc VMP00SF,Chupachups Fc VMP00SF SPS00,Chupachups Fc VMP00SF SPS00 NP00000,"anagrama de Chupachups , componer","de Chupachups ,",anagrama de Chupachups,con anagrama de Chupachups,verde con anagrama de Chupachups,"Chupachups , componer","Chupachups , componer por","Chupachups , componer por mdma"
http://www.abc.es/sociedad/20150701/abci-origen-chupa-chups-201506302045.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2015-07-01,Spain,ChupaChups/NP00000/chupachups,"En  aquel  país  ,  la  empresa  extranjera  más  importante  es ChupaChups  International  ""  ,  concluye  Celdrán  . </doc>",chupachups,np00000,chupachups,es,ser,VSIP3S0,importante,importante,AQ0CS0,más,más,RG,extranjera,extranjero,AQ0FS0,empresa,empresa,NCFS000,International,international,NP00000,"""","""",Fe,",",",",Fc,concluye,concluir,VMIP3S0,Celdrán,celdrán,NP00000,2015-07-01,2015,2010,AQ0CS0 VSIP3S0 Chupachups NP00000 Fe,VSIP3S0 Chupachups NP00000,AQ0CS0 VSIP3S0 Chupachups,RG AQ0CS0 VSIP3S0 Chupachups,AQ0FS0 RG AQ0CS0 VSIP3S0 Chupachups,Chupachups NP00000 Fe,Chupachups NP00000 Fe Fc,Chupachups NP00000 Fe Fc VMIP3S0,"importante ser Chupachups international """,ser Chupachups international,importante ser Chupachups,más importante ser Chupachups,extranjero más importante ser Chupachups,"Chupachups international ""","Chupachups international "" ,","Chupachups international "" , concluir"
