url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elmundo.es/yodona/2014/05/19/53738935268e3ebe458b457a.html,elmundo.es,2014-05-19,Spain,Clarisonic/NP00000/clarisonic,Dispensa  : Clarisonic  .,clarisonic,np00000,clarisonic,:,:,Fd,Dispensa,dispensa,NP00000,,,,,,,,,,.,.,Fp,,,,,,,,,,,,,2014-05-19,2014,2010,,Fd Clarisonic Fp,NP00000 Fd Clarisonic,,,,,,,: Clarisonic .,dispensa : Clarisonic,,,,,
http://www.caras.cl/belleza/cara-limpia/,caras.cl,2014-12-16,Chile,Clarisonic/NP00000/clarisonic,"El  Dr.  Robb  Akridge  fue  uno  de  los  pioneros  en  aplicar  esta  tecnología  y  es  el  hombre  detrás  de Clarisonic  ,  la  primera  marca  --  actualmente  perteneciente  al  grupo  L'Oréal  --  que  desarrolló  una  máquina  simple  para  usar  en  casa  y  lograr  resultados  profesionales  .",clarisonic,np00000,clarisonic,de,de,SPS00,detrás,detrás,RG,hombre,hombre,NCMS000,el,el,DA0MS0,es,ser,VSIP3S0,",",",",Fc,la,el,DA0FS0,primera,1,AO0FS0,marca,marca,NCFS000,--,--,Fg,2014-12-16,2014,2010,RG SPS00 Clarisonic Fc DA0FS0,SPS00 Clarisonic Fc,RG SPS00 Clarisonic,NCMS000 RG SPS00 Clarisonic,DA0MS0 NCMS000 RG SPS00 Clarisonic,Clarisonic Fc DA0FS0,Clarisonic Fc DA0FS0 AO0FS0,Clarisonic Fc DA0FS0 AO0FS0 NCFS000,"detrás de Clarisonic , el","de Clarisonic ,",detrás de Clarisonic,hombre detrás de Clarisonic,el hombre detrás de Clarisonic,"Clarisonic , el","Clarisonic , el 1","Clarisonic , el 1 marca"
http://www.caras.cl/belleza/cara-limpia/,caras.cl,2014-12-16,Chile,Clarisonic/NP00000/clarisonic," Clarisonic  tomó  esa  tecnología  ,  que  es  una  frecuencia  del  sonido  ,  y  lo  utilizó  para  crear  un  dispositivo  que  limpia  la  piel  y  trabaja  con  la  elasticidad  natural  de  la  dermis  ,  por  lo  cual  no  la  estira  ni  la  daña  .",clarisonic,np00000,clarisonic,,,,,,,,,,,,,,,,tomó,tomar,VMIS3S0,esa,ese,DD0FS0,tecnología,tecnología,NCFS000,",",",",Fc,que,que,PR0CN000,2014-12-16,2014,2010,,,,,,Clarisonic VMIS3S0 DD0FS0,Clarisonic VMIS3S0 DD0FS0 NCFS000,Clarisonic VMIS3S0 DD0FS0 NCFS000 Fc,,,,,,Clarisonic tomar ese,Clarisonic tomar ese tecnología,"Clarisonic tomar ese tecnología ,"
http://www.caras.cl/belleza/cara-limpia/,caras.cl,2014-12-16,Chile,Clarisonic/NP00000/clarisonic,"--  Hemos  hecho  muchas  pruebas  clínicas  para  demostrar  que Clarisonic  puede  ser  usado  dos  veces  al  día  y  esa  tecnología  es  única  ,  debido  a  que  las  frecuencias  sónicas  integradas  están  patentadas  y  ,  por  lo  tanto  ,  protegidas  por  la  ley  .",clarisonic,np00000,clarisonic,que,que,CS,demostrar,demostrar,VMN0000,para,para,SPS00,clínicas,clínico,AQ0FP0,pruebas,prueba,NCFP000,puede,poder,VMIP3S0,ser,ser,VSN0000,usado,usar,VMP00SM,dos,2,Z,veces,vez,NCFP000,2014-12-16,2014,2010,VMN0000 CS Clarisonic VMIP3S0 VSN0000,CS Clarisonic VMIP3S0,VMN0000 CS Clarisonic,SPS00 VMN0000 CS Clarisonic,AQ0FP0 SPS00 VMN0000 CS Clarisonic,Clarisonic VMIP3S0 VSN0000,Clarisonic VMIP3S0 VSN0000 VMP00SM,Clarisonic VMIP3S0 VSN0000 VMP00SM Z,demostrar que Clarisonic poder ser,que Clarisonic poder,demostrar que Clarisonic,para demostrar que Clarisonic,clínico para demostrar que Clarisonic,Clarisonic poder ser,Clarisonic poder ser usar,Clarisonic poder ser usar 2
http://www.elnuevodiario.com.ni/variedades/340455-grito-de-tecnologia,elnuevodiario.com.ni,2015-01-29,Nicaragua,Clarisonic/NP00000/clarisonic,"Tres  años  de  investigación  y  desarrollo  llevó  a  la  firma Clarisonic  ,  del  grupo  L'Oréal  ,  a  desarrollar  un  cepillo  de  belleza  que  optimiza  la  limpieza  de  la  piel  del  rostro  .",clarisonic,np00000,clarisonic,firma,firma,NCFS000,la,el,DA0FS0,a,a,SPS00,llevó,llevar,VMIS3S0,desarrollo,desarrollo,NCMS000,",",",",Fc,del,de+el,SPS00+DA0MS0,grupo,grupo,NCMS000,L'Oréal,l'oréal,NP00000,",",",",Fc,2015-01-29,2015,2010,DA0FS0 NCFS000 Clarisonic Fc SPS00+DA0MS0,NCFS000 Clarisonic Fc,DA0FS0 NCFS000 Clarisonic,SPS00 DA0FS0 NCFS000 Clarisonic,VMIS3S0 SPS00 DA0FS0 NCFS000 Clarisonic,Clarisonic Fc SPS00+DA0MS0,Clarisonic Fc SPS00+DA0MS0 NCMS000,Clarisonic Fc SPS00+DA0MS0 NCMS000 NP00000,"el firma Clarisonic , de+el","firma Clarisonic ,",el firma Clarisonic,a el firma Clarisonic,llevar a el firma Clarisonic,"Clarisonic , de+el","Clarisonic , de+el grupo","Clarisonic , de+el grupo l'oréal"
http://abcblogs.abc.es/teresa/public/post/los-cepillos-electricos-de-limpieza-facial-a-examen-17465.asp/?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2015-04-25,Spain,Clarisonic/NP00000/clarisonic,"Al  contrario  que  los  dispositivos  giratorios  ,  los  cepillos Clarisonic  de  limpieza  sónica  (  patentada  )  oscilan  de  un  lado  a  otro  ,  produciendo  más  de  300  movimientos  por  segundo  ,  y  una  limpieza  más  profunda  que  ninguno  .",clarisonic,np00000,clarisonic,cepillos,cepillo,NCMP000,los,el,DA0MP0,",",",",Fc,giratorios,giratorio,AQ0MP0,dispositivos,dispositivo,NCMP000,de,de,SPS00,limpieza,limpieza,NCFS000,sónica,sónico,AQ0FS0,(,(,Fpa,patentada,patentar,VMP00SF,2015-04-25,2015,2010,DA0MP0 NCMP000 Clarisonic SPS00 NCFS000,NCMP000 Clarisonic SPS00,DA0MP0 NCMP000 Clarisonic,Fc DA0MP0 NCMP000 Clarisonic,AQ0MP0 Fc DA0MP0 NCMP000 Clarisonic,Clarisonic SPS00 NCFS000,Clarisonic SPS00 NCFS000 AQ0FS0,Clarisonic SPS00 NCFS000 AQ0FS0 Fpa,el cepillo Clarisonic de limpieza,cepillo Clarisonic de,el cepillo Clarisonic,", el cepillo Clarisonic","giratorio , el cepillo Clarisonic",Clarisonic de limpieza,Clarisonic de limpieza sónico,Clarisonic de limpieza sónico (
http://www.eleconomista.es/evasion/noticias/6755920/05/15/Eva-Gonzalez-nos-habla-de-belleza-y-de-su-trabajo-en-Masterchef.html,eleconomista.es,2015-05-31,Spain,Clarisonic/NP00000/clarisonic,"Aprovechando  la  presentación  de  un  nuevo  producto  de  belleza  ,  "" Clarisonic  ""  ,  la  presentadora  ha  declarado  que  le  gustaría  realizar  una  escapada  para  descansar  un  poco  después  de  tanto  trabajo  que  por  otro  lado  ha  proporcionado  un  gran  éxito  al  programa  que  presenta  en  la  primera  de  TVE  ,  Masterchef  .",clarisonic,np00000,clarisonic,"""","""",Fe,",",",",Fc,belleza,belleza,NCFS000,de,de,SPS00,producto,producto,NCMS000,"""","""",Fe,",",",",Fc,la,el,DA0FS0,presentadora,presentador,NCFS000,ha,haber,VAIP3S0,2015-05-31,2015,2010,Fc Fe Clarisonic Fe Fc,Fe Clarisonic Fe,Fc Fe Clarisonic,NCFS000 Fc Fe Clarisonic,SPS00 NCFS000 Fc Fe Clarisonic,Clarisonic Fe Fc,Clarisonic Fe Fc DA0FS0,Clarisonic Fe Fc DA0FS0 NCFS000,", "" Clarisonic "" ,",""" Clarisonic """,", "" Clarisonic","belleza , "" Clarisonic","de belleza , "" Clarisonic","Clarisonic "" ,","Clarisonic "" , el","Clarisonic "" , el presentador"
http://www.eleconomista.es/evasion/noticias/6755920/05/15/Eva-Gonzalez-nos-habla-de-belleza-y-de-su-trabajo-en-Masterchef.html,eleconomista.es,2015-05-31,Spain,Clarisonic/NP00000/clarisonic,"Al  desmaquillarme  he  incorporado  el  "" Clarisonic  ""  y  para  mí  ha  sido  un  descubrimiento  porque  me  parecía  que  me  limpiaba  la  piel  muy  bien  y  ahora  me  he  dado  cuenta  que  no  .",clarisonic,np00000,clarisonic,"""","""",Fe,el,el,DA0MS0,incorporado,incorporar,VMP00SM,he,haber,VAIP1S0,desmaquillarme,desmaquillar+me,VMN0000+PP1CS000,"""","""",Fe,y,y,CC,para,para,SPS00,mí,mí,PP1CSO00,ha,haber,VAIP3S0,2015-05-31,2015,2010,DA0MS0 Fe Clarisonic Fe CC,Fe Clarisonic Fe,DA0MS0 Fe Clarisonic,VMP00SM DA0MS0 Fe Clarisonic,VAIP1S0 VMP00SM DA0MS0 Fe Clarisonic,Clarisonic Fe CC,Clarisonic Fe CC SPS00,Clarisonic Fe CC SPS00 PP1CSO00,"el "" Clarisonic "" y",""" Clarisonic ""","el "" Clarisonic","incorporar el "" Clarisonic","haber incorporar el "" Clarisonic","Clarisonic "" y","Clarisonic "" y para","Clarisonic "" y para mí"
http://www.eleconomista.es/evasion/noticias/6755920/05/15/Eva-Gonzalez-nos-habla-de-belleza-y-de-su-trabajo-en-Masterchef.html,eleconomista.es,2015-05-31,Spain,Clarisonic/NP00000/clarisonic,"Cuando  me  ducho  me  paso  la  "" Clarisonic  ""  y  siento  que  voy  más  limpia  (  ríe  )  .",clarisonic,np00000,clarisonic,"""","""",Fe,la,el,DA0FS0,paso,pasar,VMIP1S0,me,me,PP1CS000,ducho,duchar,VMIP1S0,"""","""",Fe,y,y,CC,siento,sentar,VMIP1S0,que,que,CS,voy,ir,VMIP1S0,2015-05-31,2015,2010,DA0FS0 Fe Clarisonic Fe CC,Fe Clarisonic Fe,DA0FS0 Fe Clarisonic,VMIP1S0 DA0FS0 Fe Clarisonic,PP1CS000 VMIP1S0 DA0FS0 Fe Clarisonic,Clarisonic Fe CC,Clarisonic Fe CC VMIP1S0,Clarisonic Fe CC VMIP1S0 CS,"el "" Clarisonic "" y",""" Clarisonic ""","el "" Clarisonic","pasar el "" Clarisonic","me pasar el "" Clarisonic","Clarisonic "" y","Clarisonic "" y sentar","Clarisonic "" y sentar que"
http://www.periodistadigital.com/ocio-y-cultura/gente/2015/05/31/eva-gonzalez-nos-habla-de-belleza-y-de-su-trabajo-en-masterchef.shtml,periodistadigital.com,2015-06-01,Spain,Clarisonic/NP00000/clarisonic,"Aprovechando  la  presentación  de  un  nuevo  producto  de  belleza  ,  "" Clarisonic  ""  ,  la  presentadora  ha  declarado  que  le  gustaría  realizar  una  escapada  para  descansar  un  poco  después  de  tanto  trabajo  que  por  otro  lado  ha  proporcionado  un  gran  éxito  al  programa  que  presenta  en  la  primera  de  TVE  ,  Masterchef  .",clarisonic,np00000,clarisonic,"""","""",Fe,",",",",Fc,belleza,belleza,NCFS000,de,de,SPS00,producto,producto,NCMS000,"""","""",Fe,",",",",Fc,la,el,DA0FS0,presentadora,presentador,NCFS000,ha,haber,VAIP3S0,2015-06-01,2015,2010,Fc Fe Clarisonic Fe Fc,Fe Clarisonic Fe,Fc Fe Clarisonic,NCFS000 Fc Fe Clarisonic,SPS00 NCFS000 Fc Fe Clarisonic,Clarisonic Fe Fc,Clarisonic Fe Fc DA0FS0,Clarisonic Fe Fc DA0FS0 NCFS000,", "" Clarisonic "" ,",""" Clarisonic """,", "" Clarisonic","belleza , "" Clarisonic","de belleza , "" Clarisonic","Clarisonic "" ,","Clarisonic "" , el","Clarisonic "" , el presentador"
