url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.tvnotas.com.mx/2014/02/15/C-59157-colin-farrell-confeso-que-el-alcohol-lo-llevo-a-tenerle-panico-al-sexo.php,tvnotas.com.mx,2014-02-15,Mexico,Coco_Pops/NP00000_NP00000/coco_pops,"Cuando  era  niño  tenía  una  terrible  obsesión  por  los  chocolates  '  Bar  Leon  '  ,  después  con  los  ' Coco_Pops  '  ,  el  puré  de  papa  entre  muchas  cosas  más  ""  . </doc>",coco_pops,np00000_np00000,coco_pops,',',Fe,los,el,DA0MP0,con,con,SPS00,después,después,RG,",",",",Fc,',',Fe,",",",",Fc,el,el,DA0MS0,puré,puré,NCMS000,de,de,SPS00,2014-02-15,2014,2010,DA0MP0 Fe Coco Pops Fe Fc,Fe Coco Pops Fe,DA0MP0 Fe Coco Pops,SPS00 DA0MP0 Fe Coco Pops,RG SPS00 DA0MP0 Fe Coco Pops,Coco Pops Fe Fc,Coco Pops Fe Fc DA0MS0,Coco Pops Fe Fc DA0MS0 NCMS000,"el ' Coco Pops ' ,",' Coco Pops ',el ' Coco Pops,con el ' Coco Pops,después con el ' Coco Pops,"Coco Pops ' ,","Coco Pops ' , el","Coco Pops ' , el puré"
http://www.latribuna.hn/2016/07/05/crees-desayunas-bien-no-asi/,latribuna.hn,2016-07-05,Honduras,Coco_Pops/NP00000_NP00000/coco_pops,"Un  tercio  de  los Coco_Pops  son  azúcar  ,  una  porción  de  30  g  sería  lo  lo  mismo  que  consumir  dos  bebidas  de  chocolate  .",coco_pops,np00000_np00000,coco_pops,los,el,DA0MP0,de,de,SPS00,tercio,tercio,NCMS000,Un,uno,DI0MS0,,,,son,ser,VSIP3P0,azúcar,azúcar,NCCS000,",",",",Fc,una,uno,DI0FS0,porción,porción,NCFS000,2016-07-05,2016,2010,SPS00 DA0MP0 Coco Pops VSIP3P0 NCCS000,DA0MP0 Coco Pops VSIP3P0,SPS00 DA0MP0 Coco Pops,NCMS000 SPS00 DA0MP0 Coco Pops,DI0MS0 NCMS000 SPS00 DA0MP0 Coco Pops,Coco Pops VSIP3P0 NCCS000,Coco Pops VSIP3P0 NCCS000 Fc,Coco Pops VSIP3P0 NCCS000 Fc DI0FS0,de el Coco Pops ser azúcar,el Coco Pops ser,de el Coco Pops,tercio de el Coco Pops,uno tercio de el Coco Pops,Coco Pops ser azúcar,"Coco Pops ser azúcar ,","Coco Pops ser azúcar , uno"
http://cultura.elpais.com/cultura/2017/03/03/actualidad/1488495794_633313.html#%3Fref%3Drss%26format%3Dsimple%26link%3Dlink,elpais.com,2017-03-02,Spain,Coco_Pops/NP00000_NP00000/coco_pops,"Lo  de  los  crunchikrispies  se  me  antoja  el  remate  ideal  para  una  tarde  de  Prozac  ;  veo  más  cocina  en  un  jugo  de  naranja  que  en  echar  leche  a  un  tazón  de Coco_Pops  ,  aunque  añadan  topping  de  fantasía  ,  pero  doctores  tiene  la  santa  madre  gastronomía  .",coco_pops,np00000_np00000,coco_pops,de,de,SPS00,tazón,tazón,NCMS000,un,uno,DI0MS0,a,a,SPS00,leche,leche,NCFS000,",",",",Fc,aunque,aunque,CC,añadan,añadir,VMSP3P0,topping,topping,NCMS000,de,de,SPS00,2017-03-02,2017,2010,NCMS000 SPS00 Coco Pops Fc CC,SPS00 Coco Pops Fc,NCMS000 SPS00 Coco Pops,DI0MS0 NCMS000 SPS00 Coco Pops,SPS00 DI0MS0 NCMS000 SPS00 Coco Pops,Coco Pops Fc CC,Coco Pops Fc CC VMSP3P0,Coco Pops Fc CC VMSP3P0 NCMS000,"tazón de Coco Pops , aunque","de Coco Pops ,",tazón de Coco Pops,uno tazón de Coco Pops,a uno tazón de Coco Pops,"Coco Pops , aunque","Coco Pops , aunque añadir","Coco Pops , aunque añadir topping"
http://www.eliberico.com/la-marca-de-alimentacion-kelloggs-reducira-el-contenido-de-azucar-en-sus-cereales/,eliberico.com,2017-12-01,===NONE===,Coco_Pops/NP00000_NP00000/coco_pops,"Por  ello  ,  la  marca  quiere  reducir  para  el  próximo  año  la  suma  de  azúcar  en  sus  tres  cereales  de  desayuno  infantil  más  populares  :  ' Coco_Pops  '  ,  '  Rice  Krispies  '  y  '  Rice  Krispies  multi-Grain  Shapes  '  .",coco_pops,np00000_np00000,coco_pops,',',Fe,:,:,Fd,populares,popular,AQ0CP0,más,más,RG,infantil,infantil,AQ0CS0,',',Fe,",",",",Fc,',',Fe,Rice,rizar,VMSP3S0,Krispies,krispies,NP00000,2017-12-01,2017,2010,Fd Fe Coco Pops Fe Fc,Fe Coco Pops Fe,Fd Fe Coco Pops,AQ0CP0 Fd Fe Coco Pops,RG AQ0CP0 Fd Fe Coco Pops,Coco Pops Fe Fc,Coco Pops Fe Fc Fe,Coco Pops Fe Fc Fe VMSP3S0,": ' Coco Pops ' ,",' Coco Pops ',: ' Coco Pops,popular : ' Coco Pops,más popular : ' Coco Pops,"Coco Pops ' ,","Coco Pops ' , '","Coco Pops ' , ' rizar"
http://www.eliberico.com/la-marca-de-alimentacion-kelloggs-reducira-el-contenido-de-azucar-en-sus-cereales/,eliberico.com,2017-12-01,===NONE===,Coco_Pops/NP00000_NP00000/coco_pops,"Bajo  la  nueva  receta  de  ' Coco_Pops  '  ,  que  se  lanzará  en  julio  de  2018  ,  una  porción  de  30  gramos  contendrá  5,1  gramos  de  azúcar  .",coco_pops,np00000_np00000,coco_pops,',',Fe,de,de,SPS00,receta,receta,NCFS000,nueva,nuevo,AQ0FS0,la,el,DA0FS0,',',Fe,",",",",Fc,que,que,PR0CN000,se,se,P00CN000,lanzará,lanzar,VMIF3S0,2017-12-01,2017,2010,SPS00 Fe Coco Pops Fe Fc,Fe Coco Pops Fe,SPS00 Fe Coco Pops,NCFS000 SPS00 Fe Coco Pops,AQ0FS0 NCFS000 SPS00 Fe Coco Pops,Coco Pops Fe Fc,Coco Pops Fe Fc PR0CN000,Coco Pops Fe Fc PR0CN000 P00CN000,"de ' Coco Pops ' ,",' Coco Pops ',de ' Coco Pops,receta de ' Coco Pops,nuevo receta de ' Coco Pops,"Coco Pops ' ,","Coco Pops ' , que","Coco Pops ' , que se"
https://www.meneame.net/story/cereales-coco-pops-abandonan-slogan-aprobado-madres-tras-quejas,meneame.net,2018-09-11,===NONE===,Coco_Pops/NP00000_NP00000/coco_pops,"<doc uri=https://www.meneame.net/story/cereales-coco-pops-abandonan-slogan-aprobado-madres-tras-quejas website=meneame.net date=2018-09-11 source_country=> /el/DA0MP0 /cereal/AQ0CP0 Coco_Pops  abandonan  su  slogan  ""  aprobado  por  las  madres  ""  tras  las  quejas  masculinistas  [  EN  ]",coco_pops,np00000_np00000,coco_pops,cereales,cereal,AQ0CP0,Los,el,DA0MP0,,,,,,,,,,abandonan,abandonar,VMIP3P0,su,su,DP3CS0,slogan,eslogan,NCMS000,"""","""",Fe,aprobado,aprobar,VMP00SM,2018-09-11,2018,2010,DA0MP0 AQ0CP0 Coco Pops VMIP3P0 DP3CS0,AQ0CP0 Coco Pops VMIP3P0,DA0MP0 AQ0CP0 Coco Pops,,,Coco Pops VMIP3P0 DP3CS0,Coco Pops VMIP3P0 DP3CS0 NCMS000,Coco Pops VMIP3P0 DP3CS0 NCMS000 Fe,el cereal Coco Pops abandonar su,cereal Coco Pops abandonar,el cereal Coco Pops,,,Coco Pops abandonar su,Coco Pops abandonar su eslogan,"Coco Pops abandonar su eslogan """
https://www.meneame.net/story/cereales-coco-pops-abandonan-slogan-aprobado-madres-tras-quejas,meneame.net,2018-09-11,===NONE===,Coco_Pops/NP00000_NP00000/coco_pops,"La  marca Coco_Pops  de  Kellogg's  ha  retirado  el  slogan  ""  aprobado  por  las  madres  ""  tras  las  protestas  de  grupos  masculinistas  de  modo  que  las  nuevas  cajas  de  cereales  llevarán  el  neutro  ""  parents  ""  en  lugar  del  discriminatorio  ""  mums  ""  .",coco_pops,np00000_np00000,coco_pops,marca,marca,NCFS000,La,el,DA0FS0,,,,,,,,,,de,de,SPS00,Kellogg's,kellogg's,NP00000,ha,haber,VAIP3S0,retirado,retirar,VMP00SM,el,el,DA0MS0,2018-09-11,2018,2010,DA0FS0 NCFS000 Coco Pops SPS00 NP00000,NCFS000 Coco Pops SPS00,DA0FS0 NCFS000 Coco Pops,,,Coco Pops SPS00 NP00000,Coco Pops SPS00 NP00000 VAIP3S0,Coco Pops SPS00 NP00000 VAIP3S0 VMP00SM,el marca Coco Pops de kellogg's,marca Coco Pops de,el marca Coco Pops,,,Coco Pops de kellogg's,Coco Pops de kellogg's haber,Coco Pops de kellogg's haber retirar
https://www.meneame.net/story/cereales-coco-pops-abandonan-slogan-aprobado-madres-tras-quejas,meneame.net,2018-09-11,===NONE===,Coco_Pops/NP00000_NP00000/coco_pops,"Matt  O'Connor  ,  padre  de  un  niño  de  tres  años  ,  se  quejaba  amargamente  de  la  ""  discriminación  cereal  ""  de  carácter  ""  padrefóbico  ""  :  ""  Mi  hijo  Archie  es  un  fan  de Coco_Pops  ,  pero  nos  horrorizó  cuando  hace  poco  compramos  un  paquete  y  vimos  que  solo  estaba  aprobado  por  las  madres  .",coco_pops,np00000_np00000,coco_pops,de,de,SPS00,fan,fan,NCCS000,un,uno,DI0MS0,es,ser,VSIP3S0,Archie,archie,NP00000,",",",",Fc,pero,pero,CC,nos,nos,PP1CP000,horrorizó,horrorizar,VMIS3S0,cuando,cuando,CS,2018-09-11,2018,2010,NCCS000 SPS00 Coco Pops Fc CC,SPS00 Coco Pops Fc,NCCS000 SPS00 Coco Pops,DI0MS0 NCCS000 SPS00 Coco Pops,VSIP3S0 DI0MS0 NCCS000 SPS00 Coco Pops,Coco Pops Fc CC,Coco Pops Fc CC PP1CP000,Coco Pops Fc CC PP1CP000 VMIS3S0,"fan de Coco Pops , pero","de Coco Pops ,",fan de Coco Pops,uno fan de Coco Pops,ser uno fan de Coco Pops,"Coco Pops , pero","Coco Pops , pero nos","Coco Pops , pero nos horrorizar"
https://www.elciudadano.cl/genero/kelloggs-cambia-campana-publicitaria-sexista-por-emotiva-carta-de-nina-de-10-anos/09/13/,elciudadano.cl,2018-09-13,Chile,Coco_Pops/NP00000_NP00000/coco_pops,"La  niña  de  10  años  ,  Hannah-Marie  Clayton  ,  de  Dorset  en  el  Reino  Unido  ,  escribió  una  carta  a  la  empresa  ya  que  consideró  que  el  logo  del  cereal  de  chocolate Coco_Pops  ,  era  sexista  ,  al  decir  ""  Amado  por  los  niños  ,  aprobado  por  las  madres  ""  .",coco_pops,np00000_np00000,coco_pops,chocolate,chocolate,NCMS000,de,de,SPS00,cereal,cereal,NCMS000,del,de+el,SPS00+DA0MS0,logo,logo,NCMS000,",",",",Fc,era,ser,VSII1S0,sexista,sexista,AQ0CS0,",",",",Fc,al,a+el,SPS00+DA0MS0,2018-09-13,2018,2010,SPS00 NCMS000 Coco Pops Fc VSII1S0,NCMS000 Coco Pops Fc,SPS00 NCMS000 Coco Pops,NCMS000 SPS00 NCMS000 Coco Pops,SPS00+DA0MS0 NCMS000 SPS00 NCMS000 Coco Pops,Coco Pops Fc VSII1S0,Coco Pops Fc VSII1S0 AQ0CS0,Coco Pops Fc VSII1S0 AQ0CS0 Fc,"de chocolate Coco Pops , ser","chocolate Coco Pops ,",de chocolate Coco Pops,cereal de chocolate Coco Pops,de+el cereal de chocolate Coco Pops,"Coco Pops , ser","Coco Pops , ser sexista","Coco Pops , ser sexista ,"
https://www.merca20.com/prohiben-la-publicidad-de-kinder-sorpresa-por-estar-dirigida-a-ninos/,merca20.com,2018-09-19,===NONE===,Coco_Pops/NP00000_NP00000/coco_pops,"No  obstante  ,  la  ASA  ha  mentido  la  prohibición  de  publicidad  de  productos  con  demasiada  grasa  ,  sal  o  azúcar  ,  de  manera  similar  a  otras  promociones  de  marcas  como  KFC  y Coco_Pops  . </doc>",coco_pops,np00000_np00000,coco_pops,y,y,CC,KFC,kfc,NP00000,como,como,CS,marcas,marca,NCFP000,de,de,SPS00,.,.,Fp,</doc>,,,,,,,,,,,,2018-09-19,2018,2010,,CC Coco Pops Fp,NP00000 CC Coco Pops,CS NP00000 CC Coco Pops,NCFP000 CS NP00000 CC Coco Pops,,,,,y Coco Pops .,kfc y Coco Pops,como kfc y Coco Pops,marca como kfc y Coco Pops,,,
