url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elcomercio.es/v/20140103/siero-centro/desnutricion-infantil-sensibiliza-fresneda-20140103.html?utm_source=elcomerciodigital.com&utm_medium=rss&utm_content=siero-rss&utm_campaign=traffic-rss,elcomercio.es,2014-01-03,Spain,colacao/AQ0MS0/colacao,Hablaban  de  que  había  niños  a  los  que  se  mezclaba  agua  con colacao  y  a  la  hora  estaban  llorando  de  hambre  .,colacao,aq0ms0,colacao,con,con,SPS00,agua,agua,NCCS000,mezclaba,mezclar,VMII3S0,se,se,P00CN000,que,que,PR0CN000,y,y,CC,a,a,SPS00,la,el,DA0FS0,hora,hora,NCFS000,estaban,estar,VAII3P0,2014-01-03,2014,2010,NCCS000 SPS00 ColaCao CC SPS00,SPS00 ColaCao CC,NCCS000 SPS00 ColaCao,VMII3S0 NCCS000 SPS00 ColaCao,P00CN000 VMII3S0 NCCS000 SPS00 ColaCao,ColaCao CC SPS00,ColaCao CC SPS00 DA0FS0,ColaCao CC SPS00 DA0FS0 NCFS000,agua con ColaCao y a,con ColaCao y,agua con ColaCao,mezclar agua con ColaCao,se mezclar agua con ColaCao,ColaCao y a,ColaCao y a el,ColaCao y a el hora
http://www.laprovincia.es/las-palmas/2014/01/04/soplo-ilusion-reyes/581507.html?utm_source=rss,laprovincia.es,2014-01-04,Spain,colacao/AQ0MS0/colacao,"""  Este  año  las  aportaciones  han  sido  más  flojas  ,  incluso  nos  vimos  sin  aceite  , colacao  y  el  laterío  básico  ""  ,  asegura  Virginia  Santana  ,  que  es  la  encargada  de  organizar  los  alimentos  .",colacao,aq0ms0,colacao,",",",",Fc,aceite,aceite,NCMS000,sin,sin,SPS00,vimos,ver,VMIS1P0,nos,nos,PP1CP000,y,y,CC,el,el,DA0MS0,laterío,laterío,NCMS000,básico,básico,AQ0MS0,"""","""",Fe,2014-01-04,2014,2010,NCMS000 Fc ColaCao CC DA0MS0,Fc ColaCao CC,NCMS000 Fc ColaCao,SPS00 NCMS000 Fc ColaCao,VMIS1P0 SPS00 NCMS000 Fc ColaCao,ColaCao CC DA0MS0,ColaCao CC DA0MS0 NCMS000,ColaCao CC DA0MS0 NCMS000 AQ0MS0,"aceite , ColaCao y el",", ColaCao y","aceite , ColaCao","sin aceite , ColaCao","ver sin aceite , ColaCao",ColaCao y el,ColaCao y el laterío,ColaCao y el laterío básico
http://www.elperiodicoextremadura.com/noticias/escenarios/tengo-certeza-algunos-nuestros-titulos-manos-gran-editorial-tendrian-mucho-exito_778529.html,elperiodicoextremadura.com,2014-01-04,===NONE===,colacao/AQ0MS0/colacao,"--  El  primer  día  de  vacaciones  de  Navidad  :  Yo  apuntando  los  números  de  la  lotería  para  cuando  llegara  mi  padre  y  ,  en  la  mesa  ,  un colacao  humeando  que  me  había  preparado  mi  madre  .",colacao,aq0ms0,colacao,un,uno,DI0MS0,",",",",Fc,mesa,mesa,NCFS000,la,el,DA0FS0,en,en,SPS00,humeando,humear,VMG0000,que,que,CS,me,me,PP1CS000,había,haber,VAII1S0,preparado,preparar,VMP00SM,2014-01-04,2014,2010,Fc DI0MS0 ColaCao VMG0000 CS,DI0MS0 ColaCao VMG0000,Fc DI0MS0 ColaCao,NCFS000 Fc DI0MS0 ColaCao,DA0FS0 NCFS000 Fc DI0MS0 ColaCao,ColaCao VMG0000 CS,ColaCao VMG0000 CS PP1CS000,ColaCao VMG0000 CS PP1CS000 VAII1S0,", uno ColaCao humear que",uno ColaCao humear,", uno ColaCao","mesa , uno ColaCao","el mesa , uno ColaCao",ColaCao humear que,ColaCao humear que me,ColaCao humear que me haber
http://www.diariodemallorca.es/sociedad-cultura/2014/01/10/ositos-mallorquines-sara/902312.html,diariodemallorca.es,2014-01-10,Spain,Colacao/NP00000/colacao,"En  su  búsqueda  ́  animal  ́  descartó  el  gato  :  ""  no  suelen  gustar  a  los  amantes  de  los  perros  ,  es  como  el  Nesquik  o  el Colacao  ""  ,  o  los  ratones  .",colacao,np00000,colacao,el,el,DA0MS0,o,o,CC,Nesquik,nesquik,NP00000,el,el,DA0MS0,como,como,CS,"""","""",Fe,",",",",Fc,o,o,CC,los,el,DA0MP0,ratones,ratón,NCMP000,2014-01-10,2014,2010,CC DA0MS0 ColaCao Fe Fc,DA0MS0 ColaCao Fe,CC DA0MS0 ColaCao,NP00000 CC DA0MS0 ColaCao,DA0MS0 NP00000 CC DA0MS0 ColaCao,ColaCao Fe Fc,ColaCao Fe Fc CC,ColaCao Fe Fc CC DA0MP0,"o el ColaCao "" ,","el ColaCao """,o el ColaCao,nesquik o el ColaCao,el nesquik o el ColaCao,"ColaCao "" ,","ColaCao "" , o","ColaCao "" , o el"
http://www.xataka.com/analisis/depongan-las-armas-y-no-presenten-resistencia-whatsapp-ya-ha-ganado-la-guerra,xataka.com,2014-02-05,===NONE===,ColaCao/NP00000/colacao,"Todos  nos  tomamos  un ColaCao  ,  un  Danone  o  una  Coca  Cola  ,  por  nombrar  solo  algunas  de  esas  asociaciones  que  nos  vienen  de  pequeños  y  no  es  tan  sencillo  de  erradicar  ,  aunque  realmente  no  sea  la  marca  que  consumimos  en  ese  momento  .",colacao,np00000,colacao,un,uno,DI0MS0,tomamos,tomar,VMIP1P0,nos,nos,PP1CP000,Todos,todo,PI0MP000,,,,",",",",Fc,un,uno,DI0MS0,Danone,danone,NP00000,o,o,CC,una,uno,DI0FS0,2014-02-05,2014,2010,VMIP1P0 DI0MS0 ColaCao Fc DI0MS0,DI0MS0 ColaCao Fc,VMIP1P0 DI0MS0 ColaCao,PP1CP000 VMIP1P0 DI0MS0 ColaCao,PI0MP000 PP1CP000 VMIP1P0 DI0MS0 ColaCao,ColaCao Fc DI0MS0,ColaCao Fc DI0MS0 NP00000,ColaCao Fc DI0MS0 NP00000 CC,"tomar uno ColaCao , uno","uno ColaCao ,",tomar uno ColaCao,nos tomar uno ColaCao,todo nos tomar uno ColaCao,"ColaCao , uno","ColaCao , uno danone","ColaCao , uno danone o"
http://www.elmundo.es/cultura/2014/02/20/5305d14a22601d8b5e8b4572.html,elmundo.es,2014-02-20,Spain,Colacao/NP00000/colacao,<doc uri=http://www.elmundo.es/cultura/2014/02/20/5305d14a22601d8b5e8b4572.html website=elmundo.es date=2014-02-20 source_country=Spain> /¡/Faa /'/Fe /droja/NP00000 /'/Fe /en/SPS00 /el/DA0MS0 Colacao  !,colacao,np00000,colacao,el,el,DA0MS0,en,en,SPS00,',',Fe,Droja,droja,NP00000,',',Fe,!,!,Fat,,,,,,,,,,,,,2014-02-20,2014,2010,,DA0MS0 ColaCao Fat,SPS00 DA0MS0 ColaCao,Fe SPS00 DA0MS0 ColaCao,NP00000 Fe SPS00 DA0MS0 ColaCao,,,,,el ColaCao !,en el ColaCao,' en el ColaCao,droja ' en el ColaCao,,,
http://www.elmundo.es/cultura/2014/02/20/5305d14a22601d8b5e8b4572.html,elmundo.es,2014-02-20,Spain,Colacao/NP00000/colacao,"Según  él  ,  a  todos  nos  han  echado  '  droja  '  en  el Colacao  en  algún  momento  de  nuestra  existencia  ,  como  aquel  desdichado  '  freak  '  que  hace  años  contó  su  experiencia  extrasensorial  de  manera  hilarante",colacao,np00000,colacao,el,el,DA0MS0,en,en,SPS00,',',Fe,droja,droja,AQ0FS0,',',Fe,en,en,SPS00,algún,alguno,DI0MS0,momento,momento,NCMS000,de,de,SPS00,nuestra,nuestro,DP1FSP,2014-02-20,2014,2010,SPS00 DA0MS0 ColaCao SPS00 DI0MS0,DA0MS0 ColaCao SPS00,SPS00 DA0MS0 ColaCao,Fe SPS00 DA0MS0 ColaCao,AQ0FS0 Fe SPS00 DA0MS0 ColaCao,ColaCao SPS00 DI0MS0,ColaCao SPS00 DI0MS0 NCMS000,ColaCao SPS00 DI0MS0 NCMS000 SPS00,en el ColaCao en alguno,el ColaCao en,en el ColaCao,' en el ColaCao,droja ' en el ColaCao,ColaCao en alguno,ColaCao en alguno momento,ColaCao en alguno momento de
http://www.diariovasco.com/v/20140225/comarca/caritas-apela-solidaridad-andoaindarras-20140225.html?utm_source=diariovasco.com&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,diariovasco.com,2014-02-25,Spain,colacao/AQ0MS0/colacao,"En  este  pasado  mes  de  enero  entregaron  4.352  kilos  de  comida  en  272  entregas  y  en  diciembre  fueron  4.220  kilos  los  alimentos  que  se  ofrecieron  a  las  familias  ,  principalmente  arroz  ,  pasta  ,  legumbres  ,  aceite  ,  tomate  ,  verduras  ,  leche  , colacao  ,  galletas  y  pescado  congelado  o  carne  .",colacao,aq0ms0,colacao,",",",",Fc,leche,leche,NCFS000,",",",",Fc,verduras,verdura,NCFP000,",",",",Fc,",",",",Fc,galletas,galleta,NCFP000,y,y,CC,pescado,pescado,NCMS000,congelado,congelar,VMP00SM,2014-02-25,2014,2010,NCFS000 Fc ColaCao Fc NCFP000,Fc ColaCao Fc,NCFS000 Fc ColaCao,Fc NCFS000 Fc ColaCao,NCFP000 Fc NCFS000 Fc ColaCao,ColaCao Fc NCFP000,ColaCao Fc NCFP000 CC,ColaCao Fc NCFP000 CC NCMS000,"leche , ColaCao , galleta",", ColaCao ,","leche , ColaCao",", leche , ColaCao","verdura , leche , ColaCao","ColaCao , galleta","ColaCao , galleta y","ColaCao , galleta y pescado"
http://blog.hola.com/patriciaconde/2014/03/09/finde-de-relax/,hola.com,2014-03-09,===NONE===,Colacao/NP00000/colacao,"Consiste  en  comer  solo  hidratos  por  la  mañana  ,  lo  que  quiera  ,  tostadas  con  mantequilla  y  mermelada  ...  muffins  de  Celicioso  (  mmm  !  )  ,  Nesquik  o Colacao  ...  galletas  con  chocolate  de  glutano  (  las  que  son  como  las  oreo  )  ,  fruta  ,  yogur  ...  si  tengo  tiempo  desayuno  mucho  (  y  aquí  acaba  la  ingesta  de  hidratos  del  día  )  .",colacao,np00000,colacao,o,o,CC,Nesquik,nesquik,NP00000,",",",",Fc,),),Fpt,!,!,Fat,...,...,Fs,galletas,galleta,NCFP000,con,con,SPS00,chocolate,chocolate,NCMS000,de,de,SPS00,2014-03-09,2014,2010,NP00000 CC ColaCao Fs NCFP000,CC ColaCao Fs,NP00000 CC ColaCao,Fc NP00000 CC ColaCao,Fpt Fc NP00000 CC ColaCao,ColaCao Fs NCFP000,ColaCao Fs NCFP000 SPS00,ColaCao Fs NCFP000 SPS00 NCMS000,nesquik o ColaCao ... galleta,o ColaCao ...,nesquik o ColaCao,", nesquik o ColaCao",") , nesquik o ColaCao",ColaCao ... galleta,ColaCao ... galleta con,ColaCao ... galleta con chocolate
http://blog.hola.com/patriciaconde/2014/03/09/finde-de-relax/,hola.com,2014-03-09,===NONE===,colacao/AQ0MS0/colacao,"Cuando  voy  al  cine  siempre  como  palomitas  eso  es  inevitable  ,  pero  normalmente  compenso  al  llegar  a  casa  y  es  cuando  ceno  un colacao  con  galletas  .",colacao,aq0ms0,colacao,un,uno,DI0MS0,ceno,cenar,VMIP1S0,cuando,cuando,CS,es,ser,VSIP3S0,y,y,CC,con,con,SPS00,galletas,galleta,NCFP000,.,.,Fp,,,,,,,2014-03-09,2014,2010,VMIP1S0 DI0MS0 ColaCao SPS00 NCFP000,DI0MS0 ColaCao SPS00,VMIP1S0 DI0MS0 ColaCao,CS VMIP1S0 DI0MS0 ColaCao,VSIP3S0 CS VMIP1S0 DI0MS0 ColaCao,ColaCao SPS00 NCFP000,ColaCao SPS00 NCFP000 Fp,,cenar uno ColaCao con galleta,uno ColaCao con,cenar uno ColaCao,cuando cenar uno ColaCao,ser cuando cenar uno ColaCao,ColaCao con galleta,ColaCao con galleta .,
