url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
https://www.ocu.org/salud/medicamentos/consejos/reglas-para-tomar-medicamentos,ocu.org,2016-09-23,Spain,Couldina/NP00000/couldina,"Como  en  el  caso  de  los  comprimidos  efervescentes  de  "" Couldina  con  paracetamol  ""  que  tienen  la  misma  composición  que  ""  Bisolgrip  polvo  para  solución  oral  ""  .",couldina,np00000,couldina,"""","""",Fe,de,de,SPS00,efervescentes,efervescente,AQ0CP0,comprimidos,comprimido,NCMP000,los,el,DA0MP0,con,con,SPS00,paracetamol,paracetamol,NCMS000,"""","""",Fe,que,que,PR0CN000,tienen,tener,VMIP3P0,2016-09-23,2016,2010,SPS00 Fe Couldina SPS00 NCMS000,Fe Couldina SPS00,SPS00 Fe Couldina,AQ0CP0 SPS00 Fe Couldina,NCMP000 AQ0CP0 SPS00 Fe Couldina,Couldina SPS00 NCMS000,Couldina SPS00 NCMS000 Fe,Couldina SPS00 NCMS000 Fe PR0CN000,"de "" Couldina con paracetamol",""" Couldina con","de "" Couldina","efervescente de "" Couldina","comprimido efervescente de "" Couldina",Couldina con paracetamol,"Couldina con paracetamol ""","Couldina con paracetamol "" que"
https://www.ocu.org/salud/medicamentos/noticias/gripe-que-tomar-y-que-no-tomar-561014,ocu.org,2017-01-13,Spain,Couldina/NP00000/couldina,"Los  medicamentos  antigripales  tipo  Frenadol  , Couldina  ,  Aspirina  Complex  ,  Bisolgrip  ,  etc.  ,  son  preparaciones  que  contienen  mezclas  de  distintos  tipos  de  medicamentos  o  principios  activos  .",couldina,np00000,couldina,",",",",Fc,Frenadol,frenadol,NP00000,tipo,tipo,NCMS000,antigripales,antigripal,AQ0CP0,medicamentos,medicamento,NCMP000,",",",",Fc,Aspirina,aspirina,NP00000,Complex,complex,NP00000,",",",",Fc,Bisolgrip,bisolgrip,NP00000,2017-01-13,2017,2010,NP00000 Fc Couldina Fc NP00000,Fc Couldina Fc,NP00000 Fc Couldina,NCMS000 NP00000 Fc Couldina,AQ0CP0 NCMS000 NP00000 Fc Couldina,Couldina Fc NP00000,Couldina Fc NP00000 NP00000,Couldina Fc NP00000 NP00000 Fc,"frenadol , Couldina , aspirina",", Couldina ,","frenadol , Couldina","tipo frenadol , Couldina","antigripal tipo frenadol , Couldina","Couldina , aspirina","Couldina , aspirina complex","Couldina , aspirina complex ,"
http://www.laopinion.es/nacional/2017/02/11/version-merengue-musica-pp-hizo/748375.html?utm_source=rss,laopinion.es,2017-02-11,Spain,Couldina/NP00000/couldina,"Ahora  mismo  estoy  realizando  diversas  campañas  para  El  Corte  Inglés  ,  y  una  para Couldina  .",couldina,np00000,couldina,para,para,SPS00,una,uno,DI0FS0,y,y,CC,",",",",Fc,Inglés,inglés,NP00000,.,.,Fp,,,,,,,,,,,,,2017-02-11,2017,2010,,SPS00 Couldina Fp,DI0FS0 SPS00 Couldina,CC DI0FS0 SPS00 Couldina,Fc CC DI0FS0 SPS00 Couldina,,,,,para Couldina .,uno para Couldina,y uno para Couldina,", y uno para Couldina",,,
http://www.correodelorinoco.gob.ve/esta-es-la-principal-razon-por-la-que-ya-no-tomamos-aspirinas/,correodelorinoco.gob.ve,2017-09-07,"Venezuela, Bolivarian Republic of",Couldina/NP00000/couldina,"De  hecho  ,  en  realidad  el  ácido  acetilsalicílico  sigue  estando  presente  en  medicamentos  como  la Couldina  ,  para  la  gripe  en  adultos  ,  o  claramente  en  el  Adiro  ,  que  no  es  otra  cosa  que  el  nombre  que  Bayer  le  daba  antes  a  la  aspirina  para  niños  y  que  ahora  centra  en  el  mercado  de  los  mayores  con  leves  problemas  cardiovasculares  ,  donde  sigue  estando  tan  presente  como  siempre  .",couldina,np00000,couldina,la,el,DA0FS0,como,como,CS,medicamentos,medicamento,NCMP000,en,en,SPS00,presente,presente,NCMS000,",",",",Fc,para,para,SPS00,la,el,DA0FS0,gripe,gripe,NCFS000,en,en,SPS00,2017-09-07,2017,2010,CS DA0FS0 Couldina Fc SPS00,DA0FS0 Couldina Fc,CS DA0FS0 Couldina,NCMP000 CS DA0FS0 Couldina,SPS00 NCMP000 CS DA0FS0 Couldina,Couldina Fc SPS00,Couldina Fc SPS00 DA0FS0,Couldina Fc SPS00 DA0FS0 NCFS000,"como el Couldina , para","el Couldina ,",como el Couldina,medicamento como el Couldina,en medicamento como el Couldina,"Couldina , para","Couldina , para el","Couldina , para el gripe"
http://ecodiario.eleconomista.es/espana/noticias/8838434/12/17/CocaCola-primer-anuncio-de-2018-en-Mediaset-y-Atresmedia-y-la-Marca-Espana-en-TVE.html,eleconomista.es,2017-12-29,Spain,Couldina/NP00000/couldina,"Por  su  parte  ,  TRECE  despedirá  el  año  2017  con  un  spot  de  la  fundación  pontificia  Ayuda  a  la  Iglesia  Necesitada  ,  promovida  por  el  Papa  Pío  XII  ;  al  tiempo  que  el  primer  spot  de  2018  será  de Couldina  .",couldina,np00000,couldina,de,de,SPS00,será,ser,VSIF3S0,2018,2018,Z,de,de,SPS00,spot,spot,NCMS000,.,.,Fp,,,,,,,,,,,,,2017-12-29,2017,2010,,SPS00 Couldina Fp,VSIF3S0 SPS00 Couldina,Z VSIF3S0 SPS00 Couldina,SPS00 Z VSIF3S0 SPS00 Couldina,,,,,de Couldina .,ser de Couldina,2018 ser de Couldina,de 2018 ser de Couldina,,,
https://www.elconfidencial.com/espana/andalucia/2018-09-10/churriana-malaga-euro-pesetas-rato-villalobos_1613413/,elconfidencial.com,2018-09-10,Spain,Couldina/NP00000/couldina,Compró Couldina  .,couldina,np00000,couldina,Compró,comprar,VMIS3S0,,,,,,,,,,,,,.,.,Fp,,,,,,,,,,,,,2018-09-10,2018,2010,,VMIS3S0 Couldina Fp,,,,,,,,comprar Couldina .,,,,,,
https://www.elconfidencial.com/espana/andalucia/2018-09-10/churriana-malaga-euro-pesetas-rato-villalobos_1613413/,elconfidencial.com,2018-09-10,Spain,Couldina/NP00000/couldina,En  la  farmacia  de  Fernández  el  superministro  de  Aznar  compró Couldina  .,couldina,np00000,couldina,compró,comprar,VMIS3S0,Aznar,aznar,NP00000,de,de,SPS00,superministro,superministro,NCMS000,el,el,DA0MS0,.,.,Fp,,,,,,,,,,,,,2018-09-10,2018,2010,,VMIS3S0 Couldina Fp,NP00000 VMIS3S0 Couldina,SPS00 NP00000 VMIS3S0 Couldina,NCMS000 SPS00 NP00000 VMIS3S0 Couldina,,,,,comprar Couldina .,aznar comprar Couldina,de aznar comprar Couldina,superministro de aznar comprar Couldina,,,
https://www.farodevigo.es/opinion/2019/01/05/dios-peste/2027521.html,farodevigo.es,2019-01-05,Spain,Couldina/NP00000/couldina,"Suerte  que  ,  al  menos  ,  cada  seis  o  siete  anuncios  de  perfumes  ,  ya  se  coloca  un  anuncio  de Couldina  o  Frenadol  .",couldina,np00000,couldina,de,de,SPS00,anuncio,anuncio,NCMS000,un,uno,DI0MS0,coloca,colocar,VMIP3S0,se,se,P00CN000,o,o,CC,Frenadol,frenadol,NP00000,.,.,Fp,,,,,,,2019-01-05,2019,2010,NCMS000 SPS00 Couldina CC NP00000,SPS00 Couldina CC,NCMS000 SPS00 Couldina,DI0MS0 NCMS000 SPS00 Couldina,VMIP3S0 DI0MS0 NCMS000 SPS00 Couldina,Couldina CC NP00000,Couldina CC NP00000 Fp,,anuncio de Couldina o frenadol,de Couldina o,anuncio de Couldina,uno anuncio de Couldina,colocar uno anuncio de Couldina,Couldina o frenadol,Couldina o frenadol .,
https://www.elmundo.es/blogs/elmundo/aqui-mando-yo/2019/01/07/dolorosa-realidad-anuncios-de-productos.html,elmundo.es,2019-01-07,Spain,Couldina/NP00000/couldina,"Llevo  una  hora  viendo  El  programa  de  Ana  Rosa  -  donde  por  cierto  ,  no  está  Ana  Rosa  -  y  he  visto  spots  clónicos  de  Bisolvón  , Couldina  ,  Flutox  ,  Bisolherbal  ,  Fluimicil  ,  Prospantus  ,  Gelocatil  gripe  forte  ,  Cinfatós  y  Lizipaina  .",couldina,np00000,couldina,",",",",Fc,Bisolvón,bisolvón,NP00000,de,de,SPS00,clónicos,clónico,AQ0MP0,spots,spot,NCMP000,",",",",Fc,Flutox,flutox,NP00000,",",",",Fc,Bisolherbal,bisolherbal,NP00000,",",",",Fc,2019-01-07,2019,2010,NP00000 Fc Couldina Fc NP00000,Fc Couldina Fc,NP00000 Fc Couldina,SPS00 NP00000 Fc Couldina,AQ0MP0 SPS00 NP00000 Fc Couldina,Couldina Fc NP00000,Couldina Fc NP00000 Fc,Couldina Fc NP00000 Fc NP00000,"bisolvón , Couldina , flutox",", Couldina ,","bisolvón , Couldina","de bisolvón , Couldina","clónico de bisolvón , Couldina","Couldina , flutox","Couldina , flutox ,","Couldina , flutox , bisolherbal"
https://www.informavalencia.com/2019/01/23/lujuria/#%2523038,informavalencia.com,2019-01-23,===NONE===,Couldina/NP00000/couldina,"El  entonces  desconocido  ,  devorador  de  Frenadol  y  /  o Couldina  ,  me  sonrió  ,  ¡  el  muy  jeta  !  .",couldina,np00000,couldina,o,o,CC,/,,,y,y,CC,Frenadol,frenadol,NP00000,de,de,SPS00,",",",",Fc,me,me,PP1CS000,sonrió,sonreír,VMIS3S0,",",",",Fc,¡,¡,Faa,2019-01-23,2019,2010,,CC Couldina Fc,,,,Couldina Fc PP1CS000,Couldina Fc PP1CS000 VMIS3S0,Couldina Fc PP1CS000 VMIS3S0 Fc,,"o Couldina ,",,,,"Couldina , me","Couldina , me sonreír","Couldina , me sonreír ,"
