url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.eldiariomontanes.es/20140106/local/cantabria-general/recetas-farmacias-inspecciones-201401062156.html?utm_source=eldiariomontanes.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,eldiariomontanes.es,2014-01-06,Spain,Dalsy/NP00000/dalsy,Esto  es  lo  que  ocurre  por  ejemplo  con  el Dalsy  y  el  Junifen  .,dalsy,np00000,dalsy,el,el,DA0MS0,con,con,SPS00,ejemplo,ejemplo,NCMS000,por,por,SPS00,ocurre,ocurrir,VMIP3S0,y,y,CC,el,el,DA0MS0,Junifen,junifen,NP00000,.,.,Fp,,,,2014-01-06,2014,2010,SPS00 DA0MS0 Dalsy CC DA0MS0,DA0MS0 Dalsy CC,SPS00 DA0MS0 Dalsy,NCMS000 SPS00 DA0MS0 Dalsy,SPS00 NCMS000 SPS00 DA0MS0 Dalsy,Dalsy CC DA0MS0,Dalsy CC DA0MS0 NP00000,Dalsy CC DA0MS0 NP00000 Fp,con el Dalsy y el,el Dalsy y,con el Dalsy,ejemplo con el Dalsy,por ejemplo con el Dalsy,Dalsy y el,Dalsy y el junifen,Dalsy y el junifen .
http://www.infosalus.com/asistencia/noticia-salud-movil-20140209091131.html,infosalus.com,2014-02-09,===NONE===,Dalsy/NP00000/dalsy,"Incluye  los  medicamentos  Apiretal  , Dalsy  y  Junifen  .",dalsy,np00000,dalsy,",",",",Fc,Apiretal,apiretal,NP00000,medicamentos,medicamento,NCMP000,los,el,DA0MP0,Incluye,incluir,VMIP3S0,y,y,CC,Junifen,junifen,NP00000,.,.,Fp,,,,,,,2014-02-09,2014,2010,NP00000 Fc Dalsy CC NP00000,Fc Dalsy CC,NP00000 Fc Dalsy,NCMP000 NP00000 Fc Dalsy,DA0MP0 NCMP000 NP00000 Fc Dalsy,Dalsy CC NP00000,Dalsy CC NP00000 Fp,,"apiretal , Dalsy y junifen",", Dalsy y","apiretal , Dalsy","medicamento apiretal , Dalsy","el medicamento apiretal , Dalsy",Dalsy y junifen,Dalsy y junifen .,
http://www.eldiariomontanes.es/20140213/local/cantabria-general/rigor-farmacias-aumenta-consultas-201402130814.html?utm_source=eldiariomontanes.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,eldiariomontanes.es,2014-02-13,Spain,Dalsy/NP00000/dalsy,"Consciente  del  ""  problema  puntual  ""  que  se  da  con  determinados  fármacos  ,  desde  la  Consejería  de  Sanidad  se  ha  transmitido  a  la  Agencia  Española  del  Medicamento  ""  la  necesidad  de  revisar  la  prescripción  médica  de  medicamentos  como  el Dalsy  ,  el  Apiretal  o  el  Ibuprofeno  para  adultos  ,  siempre  cumpliendo  con  la  normativa  ""  ,  matiza  León  .",dalsy,np00000,dalsy,el,el,DA0MS0,como,como,CS,medicamentos,medicamento,NCMP000,de,de,SPS00,médica,médico,AQ0FS0,",",",",Fc,el,el,DA0MS0,Apiretal,apiretal,NP00000,o,o,CC,el,el,DA0MS0,2014-02-13,2014,2010,CS DA0MS0 Dalsy Fc DA0MS0,DA0MS0 Dalsy Fc,CS DA0MS0 Dalsy,NCMP000 CS DA0MS0 Dalsy,SPS00 NCMP000 CS DA0MS0 Dalsy,Dalsy Fc DA0MS0,Dalsy Fc DA0MS0 NP00000,Dalsy Fc DA0MS0 NP00000 CC,"como el Dalsy , el","el Dalsy ,",como el Dalsy,medicamento como el Dalsy,de medicamento como el Dalsy,"Dalsy , el","Dalsy , el apiretal","Dalsy , el apiretal o"
http://www.148apps.com/app/513735016?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2B148Apps_price-drops%2B%2528148Apps%25C2%25BBLatest%2BPrice%2BDrops%2529&utm_content=FeedBurner,148apps.com,2014-04-26,===NONE===,Dalsy/NP00000/dalsy,"Permite  calcular  con  un  único  gesto  la  dosis  de  medicación  recomendada  por  pediatras  ( Dalsy  ,  Apiretal  ,  Junifen  2  %  y  Junifen  4  %  )  ,  a  cada  niño  según  su  peso  .",dalsy,np00000,dalsy,(,(,Fpa,pediatras,pediatra,NCCP000,por,por,SPS00,recomendada,recomendar,VMP00SF,medicación,medicación,NCFS000,",",",",Fc,Apiretal,apiretal,NP00000,",",",",Fc,Junifen,junifen,NP00000,2,2,Z,2014-04-26,2014,2010,NCCP000 Fpa Dalsy Fc NP00000,Fpa Dalsy Fc,NCCP000 Fpa Dalsy,SPS00 NCCP000 Fpa Dalsy,VMP00SF SPS00 NCCP000 Fpa Dalsy,Dalsy Fc NP00000,Dalsy Fc NP00000 Fc,Dalsy Fc NP00000 Fc NP00000,"pediatra ( Dalsy , apiretal","( Dalsy ,",pediatra ( Dalsy,por pediatra ( Dalsy,recomendar por pediatra ( Dalsy,"Dalsy , apiretal","Dalsy , apiretal ,","Dalsy , apiretal , junifen"
http://www.diarioregion.com/seguir_leyendo.php?id=10488&edicion_iz=,diarioregion.com,2014-05-30,===NONE===,Oldalsy/NP00000/oldalsy,"Williams  Robles  ,  Carlos  González  ,  Romer  Ramírez  , Oldalsy  Gómez  ,  Ingrid  Zerpa  ,  Marinellys  Peñalver  ,  Rogimar  Rivas  ,  Yenny  Gamardo  ,  Carlos  Cardozo  ,  Daltons  Lapuente  ,  Jackson  Figuera  ,  Jim  Torres  ,  Randi  Torres  ,  Franklin  Cagua  y  Jean  Fuentes  ,  manifestaron  que  ""  ante  la  deplorable  gestión  del  gobernador  Luis  Acuña  Cedeño  se  hace  imprescindible  coordinar  esfuerzos  y  profundizar  el  trabajo  político-social  en  todos  los  rincones  de  la  geografía  sucrense  para  cambiar  la  mala  e  ineficiente  imagen  política  actual  ""  .",oldalsy,np00000,oldalsy,",",",",Fc,Ramírez,ramírez,NP00000,Romer,romer,NP00000,",",",",Fc,González,gonzález,NP00000,Gómez,gómez,NP00000,",",",",Fc,Ingrid,ingrid,NP00000,Zerpa,zerpa,NP00000,",",",",Fc,2014-05-30,2014,2010,NP00000 Fc Dalsy NP00000 Fc,Fc Dalsy NP00000,NP00000 Fc Dalsy,NP00000 NP00000 Fc Dalsy,Fc NP00000 NP00000 Fc Dalsy,Dalsy NP00000 Fc,Dalsy NP00000 Fc NP00000,Dalsy NP00000 Fc NP00000 NP00000,"ramírez , Dalsy gómez ,",", Dalsy gómez","ramírez , Dalsy","romer ramírez , Dalsy",", romer ramírez , Dalsy","Dalsy gómez ,","Dalsy gómez , ingrid","Dalsy gómez , ingrid zerpa"
http://www.lanzadigital.com/news/show/telefonia/salud-en-el-movil/60026,lanzadigital.com,2014-07-11,Spain,Dalsy/NP00000/dalsy,"Incluye  los  medicamentos  Apiretal  , Dalsy  y  Junifen  .",dalsy,np00000,dalsy,",",",",Fc,Apiretal,apiretal,NP00000,medicamentos,medicamento,NCMP000,los,el,DA0MP0,Incluye,incluir,VMIP3S0,y,y,CC,Junifen,junifen,NP00000,.,.,Fp,,,,,,,2014-07-11,2014,2010,NP00000 Fc Dalsy CC NP00000,Fc Dalsy CC,NP00000 Fc Dalsy,NCMP000 NP00000 Fc Dalsy,DA0MP0 NCMP000 NP00000 Fc Dalsy,Dalsy CC NP00000,Dalsy CC NP00000 Fp,,"apiretal , Dalsy y junifen",", Dalsy y","apiretal , Dalsy","medicamento apiretal , Dalsy","el medicamento apiretal , Dalsy",Dalsy y junifen,Dalsy y junifen .,
http://www.lavanguardia.com/opinion/articulos/20141209/54421646150/zinnat-jordi-amat-opi.html,lavanguardia.com,2014-12-09,Spain,Dalsy/NP00000/dalsy,Más Dalsy  y  confiar  en  que  la  inflamación  no  fuera  a  más  .,dalsy,np00000,dalsy,Más,más,RG,,,,,,,,,,,,,y,y,CC,confiar,confiar,VMN0000,en,en,SPS00,que,que,CS,la,el,DA0FS0,2014-12-09,2014,2010,,RG Dalsy CC,,,,Dalsy CC VMN0000,Dalsy CC VMN0000 SPS00,Dalsy CC VMN0000 SPS00 CS,,más Dalsy y,,,,Dalsy y confiar,Dalsy y confiar en,Dalsy y confiar en que
http://www.laopinion.es/vida-y-estilo/salud/2015/02/13/ibuprofeno-o-paracetamol-elijo-combatir/590562.html?utm_source=rss,laopinion.es,2015-02-13,Spain,Dalsy/NP00000/dalsy,"Para  niños  ,  el  archiconocido Dalsy  ,  pero  también  el  Pirexin  o  el  Junifen  .",dalsy,np00000,dalsy,archiconocido,archiconocido,NCMS000,el,el,DA0MS0,",",",",Fc,niños,niño,NCMP000,Para,para,SPS00,",",",",Fc,pero,pero,CC,también,también,RG,el,el,DA0MS0,Pirexin,pirexin,NP00000,2015-02-13,2015,2010,DA0MS0 NCMS000 Dalsy Fc CC,NCMS000 Dalsy Fc,DA0MS0 NCMS000 Dalsy,Fc DA0MS0 NCMS000 Dalsy,NCMP000 Fc DA0MS0 NCMS000 Dalsy,Dalsy Fc CC,Dalsy Fc CC RG,Dalsy Fc CC RG DA0MS0,"el archiconocido Dalsy , pero","archiconocido Dalsy ,",el archiconocido Dalsy,", el archiconocido Dalsy","niño , el archiconocido Dalsy","Dalsy , pero","Dalsy , pero también","Dalsy , pero también el"
http://www.lanzadigital.com/index.php/news/show/telefonia/salud-en-el-movil/60026,lanzadigital.com,2015-02-14,Spain,Dalsy/NP00000/dalsy,"Incluye  los  medicamentos  Apiretal  , Dalsy  y  Junifen  .",dalsy,np00000,dalsy,",",",",Fc,Apiretal,apiretal,NP00000,medicamentos,medicamento,NCMP000,los,el,DA0MP0,Incluye,incluir,VMIP3S0,y,y,CC,Junifen,junifen,NP00000,.,.,Fp,,,,,,,2015-02-14,2015,2010,NP00000 Fc Dalsy CC NP00000,Fc Dalsy CC,NP00000 Fc Dalsy,NCMP000 NP00000 Fc Dalsy,DA0MP0 NCMP000 NP00000 Fc Dalsy,Dalsy CC NP00000,Dalsy CC NP00000 Fp,,"apiretal , Dalsy y junifen",", Dalsy y","apiretal , Dalsy","medicamento apiretal , Dalsy","el medicamento apiretal , Dalsy",Dalsy y junifen,Dalsy y junifen .,
http://www.elplural.com/2015/03/25/la-chapuza-nacional-cospedal-mando-a-sus-hijos-a-madrid-y-ahora-15-padres-denuncian-negligencias-medicas/,elplural.com,2015-03-25,Spain,Dalsy/NP00000/dalsy,"""  Algo  está  pasando  ""  en  la  sanidad  cuando  ""  son  capaces  de  hacer  estas  cosas  ""  ,  decía  esta  madre  ,  que  no  lograba  entender  cómo  después  de  40  minutos  ,  tiempo  que  duró  la  intervención  ,  a  un  pequeño  de  5  años  con  anestesia  total  se  le  envía  directamente  desde  el  quirófano  a  la  ambulancia  para  que  recorra  200  kilómetros  ""  con  la  sola  ayuda  de  un Dalsy  ""  ,  un  antiinflamatorio  y  antitérmico  prescrito  contra  el  dolor  .",dalsy,np00000,dalsy,un,uno,DI0MS0,de,de,SPS00,ayuda,ayuda,NCFS000,sola,solo,AQ0FS0,la,el,DA0FS0,"""","""",Fe,",",",",Fc,un,uno,DI0MS0,antiinflamatorio,antiinflamatorio,AQ0MS0,y,y,CC,2015-03-25,2015,2010,SPS00 DI0MS0 Dalsy Fe Fc,DI0MS0 Dalsy Fe,SPS00 DI0MS0 Dalsy,NCFS000 SPS00 DI0MS0 Dalsy,AQ0FS0 NCFS000 SPS00 DI0MS0 Dalsy,Dalsy Fe Fc,Dalsy Fe Fc DI0MS0,Dalsy Fe Fc DI0MS0 AQ0MS0,"de uno Dalsy "" ,","uno Dalsy """,de uno Dalsy,ayuda de uno Dalsy,solo ayuda de uno Dalsy,"Dalsy "" ,","Dalsy "" , uno","Dalsy "" , uno antiinflamatorio"
