url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lanacion.com.ar/1692799-por-la-inflacion-cada-vez-se-respetan-menos-los-precios-sugeridos,lanacion.com.ar,2014-05-20,Argentina,Danette/NP00000/danette,"""  Los  problemas  los  estamos  sufriendo  en  todos  los  canales  ,  incluidas  algunas  grandes  cadenas  de  supermercados  ,  y  se  siente  en  todo  el  portafolio  de  productos  ,  con  precios  que  son  entre  10  y  15  %  mayores  que  los  sugeridos  por  la  empresa  ""  ,  señaló  Isaac  Díaz  Marín  ,  director  de  Marketing  de  Danone  Argentina  ,  que  acaba  de  lanzar  la  campaña  Precios  Claros  para  los  comercios  ,  que  incluye  la  incorporación  del  precio  sugerido  de  venta  al  público  en  los  envases  de  una_docena  de  productos  líderes  de  sus  marcas  Yogurísimo  ,  Ser  , Danette  ,  Casancrem  ,  Activia  y  Serenito  .  ""  Vender  por  encima  del  precio  sugerido  no  es  algo  ilegal  ,  pero  igual  creemos  que  es  importante  que  el  consumidor  conozca  cuál  es  el  precio  al  que  estamos  ofreciendo  nuestros  productos  para  evitar  que  terminen  pagando  de  más  .",danette,np00000,danette,",",",",Fc,Ser,ser,NP00000,",",",",Fc,Yogurísimo,yogurísimo,NP00000,marcas,marca,NCFP000,",",",",Fc,Casancrem,casancrem,NP00000,",",",",Fc,Activia,activia,NP00000,y,y,CC,2014-05-20,2014,2010,NP00000 Fc Danette Fc NP00000,Fc Danette Fc,NP00000 Fc Danette,Fc NP00000 Fc Danette,NP00000 Fc NP00000 Fc Danette,Danette Fc NP00000,Danette Fc NP00000 Fc,Danette Fc NP00000 Fc NP00000,"ser , Danette , casancrem",", Danette ,","ser , Danette",", ser , Danette","yogurísimo , ser , Danette","Danette , casancrem","Danette , casancrem ,","Danette , casancrem , activia"
http://www.publimetro.com.mx/publisport/videos-los-comerciales-mas-recordados-del-tri-para-un-mundial/mnew%21ZHgmeYOolXU6/,publimetro.com.mx,2014-05-23,Mexico,Danette/NP00000/danette,"La  popular  canción  de  "" Danette  de  Danone  ""  se  hizo  famosa  hace  muchos  años  gracias  a  Ramón  Ramírez  ,  pero  para  Sudáfrica  ,  Gerardo  Torrado  y  Guillermo  Ochoa  la  retomaron  con  una  nueva  versión  .",danette,np00000,danette,"""","""",Fe,de,de,SPS00,canción,canción,NCFS000,popular,popular,AQ0CS0,La,el,DA0FS0,de,de,SPS00,Danone,danone,NP00000,"""","""",Fe,se,se,P00CN000,hizo,hacer,VMIS3S0,2014-05-23,2014,2010,SPS00 Fe Danette SPS00 NP00000,Fe Danette SPS00,SPS00 Fe Danette,NCFS000 SPS00 Fe Danette,AQ0CS0 NCFS000 SPS00 Fe Danette,Danette SPS00 NP00000,Danette SPS00 NP00000 Fe,Danette SPS00 NP00000 Fe P00CN000,"de "" Danette de danone",""" Danette de","de "" Danette","canción de "" Danette","popular canción de "" Danette",Danette de danone,"Danette de danone ""","Danette de danone "" se"
http://www.prensa.com/uhora/locales/lista-cancilleres-panama-gobierno-varela/396613,prensa.com,2014-09-22,Panama,Danette/NP00000/danette,-  Nicole Danette  W.  de  Icaza  (  Embajadora  en  Perú  )  :  Cuenta  con  estudios  en  administración  y  gestión  de  empresas  .,danette,np00000,danette,Nicole,nicole,NP00000,-,-,Fg,,,,,,,,,,W.,w.,NP00000,de,de,SPS00,Icaza,icaza,NP00000,(,(,Fpa,Embajadora,embajadora,NP00000,2014-09-22,2014,2010,Fg NP00000 Danette NP00000 SPS00,NP00000 Danette NP00000,Fg NP00000 Danette,,,Danette NP00000 SPS00,Danette NP00000 SPS00 NP00000,Danette NP00000 SPS00 NP00000 Fpa,- nicole Danette w. de,nicole Danette w.,- nicole Danette,,,Danette w. de,Danette w. de icaza,Danette w. de icaza (
http://www.angaunoticias.com.ar/variete/1719-hijosdeantes.html,angaunoticias.com.ar,2015-04-23,Argentina,Danette/NP00000/danette,"El  dirigente  ,  detenido  en  varias  ocasiones  por  destrozar  en  los  supermercados  las  góndolas  de  postres Danette  y  Serenito  ,  dijo  que  los  especialistas  ""  estiman  que  a  más  tardar  en  2020  ya  se  dejará  de  elaborar  por  completo  el  arroz  con  leche  casero  en  el  país  .",danette,np00000,danette,postres,postre,NCMP000,de,de,SPS00,góndolas,góndola,NCFP000,las,el,DA0FP0,supermercados,supermercado,NCMP000,y,y,CC,Serenito,serenito,NP00000,",",",",Fc,dijo,decir,VMIS3S0,que,que,CS,2015-04-23,2015,2010,SPS00 NCMP000 Danette CC NP00000,NCMP000 Danette CC,SPS00 NCMP000 Danette,NCFP000 SPS00 NCMP000 Danette,DA0FP0 NCFP000 SPS00 NCMP000 Danette,Danette CC NP00000,Danette CC NP00000 Fc,Danette CC NP00000 Fc VMIS3S0,de postre Danette y serenito,postre Danette y,de postre Danette,góndola de postre Danette,el góndola de postre Danette,Danette y serenito,"Danette y serenito ,","Danette y serenito , decir"
http://www.rpctv.com/deportes/otros_deportes/Accion-jornada-Juegos-Juveniles-Nacionales_0_833017158.html,rpctv.com,2015-08-10,===NONE===,Danette/NP00000/danette,"En  la  rama  femenina  Erika  González  de  Panamá  Oeste  se  quedó  con  el  oro  en  la  división  -59  kilogramos  ,  la  capitalina Danette  González  se  quedó  con  la  plata  y  Adres  Ali  de  Chiriquí  con  el  bronce  .",danette,np00000,danette,capitalina,capitalino,AQ0FS0,la,el,DA0FS0,",",",",Fc,kilogramos,kilogramo,NCMP000,-59,-59,Z,González,gonzález,NP00000,se,se,P00CN000,quedó,quedar,VMIS3S0,con,con,SPS00,la,el,DA0FS0,2015-08-10,2015,2010,DA0FS0 AQ0FS0 Danette NP00000 P00CN000,AQ0FS0 Danette NP00000,DA0FS0 AQ0FS0 Danette,Fc DA0FS0 AQ0FS0 Danette,NCMP000 Fc DA0FS0 AQ0FS0 Danette,Danette NP00000 P00CN000,Danette NP00000 P00CN000 VMIS3S0,Danette NP00000 P00CN000 VMIS3S0 SPS00,el capitalino Danette gonzález se,capitalino Danette gonzález,el capitalino Danette,", el capitalino Danette","kilogramo , el capitalino Danette",Danette gonzález se,Danette gonzález se quedar,Danette gonzález se quedar con
http://confirmado.com.ve/casi-todo-lo-que-comes-y-bebes-lo-fabrican-solo-estas-10-empresas/,confirmado.com.ve,2015-10-06,"Venezuela, Bolivarian Republic of",Danette/NP00000/danette,"Sus  productos  son  muy  conocidos  en  nuestro  país  (  Danone  , Danette  ,  Actimel  ,  Danacol  ...  )  .",danette,np00000,danette,",",",",Fc,Danone,danone,NP00000,(,(,Fpa,país,país,NCMS000,nuestro,nuestro,DP1MSP,",",",",Fc,Actimel,actimel,NP00000,",",",",Fc,Danacol,danacol,NP00000,...,...,Fs,2015-10-06,2015,2010,NP00000 Fc Danette Fc NP00000,Fc Danette Fc,NP00000 Fc Danette,Fpa NP00000 Fc Danette,NCMS000 Fpa NP00000 Fc Danette,Danette Fc NP00000,Danette Fc NP00000 Fc,Danette Fc NP00000 Fc NP00000,"danone , Danette , actimel",", Danette ,","danone , Danette","( danone , Danette","país ( danone , Danette","Danette , actimel","Danette , actimel ,","Danette , actimel , danacol"
http://www.lr21.com.uy/mujeres/1281559-impuestos-rosa-mujeres-pagan-mas-por-productos-similares,lr21.com.uy,2016-03-22,Uruguay,Danette/NP00000/danette,"Por  ejemplo  exponen  que  un  sobre  de  jugo  Clight  ,  sale  un  20  %  más  que  otro  jugo  de  bajas  calorías  del  mismo  fabricante  pero  que  está  dirigido  a  un  público  más  familias  ,  mientras  que  un  postre  de  chocolate  Ser  ,  dirigido  a  las  mujeres  cuesta  un  22  %  más  que  un  psote  de Danette  del  mismo  tamaño  .",danette,np00000,danette,de,de,SPS00,psote,psote,NCMS000,un,uno,DI0MS0,que,que,CS,más,más,RG,del,de+el,SPS00+DA0MS0,mismo,mismo,AQ0MS0,tamaño,tamaño,NCMS000,.,.,Fp,,,,2016-03-22,2016,2010,NCMS000 SPS00 Danette SPS00+DA0MS0 AQ0MS0,SPS00 Danette SPS00+DA0MS0,NCMS000 SPS00 Danette,DI0MS0 NCMS000 SPS00 Danette,CS DI0MS0 NCMS000 SPS00 Danette,Danette SPS00+DA0MS0 AQ0MS0,Danette SPS00+DA0MS0 AQ0MS0 NCMS000,Danette SPS00+DA0MS0 AQ0MS0 NCMS000 Fp,psote de Danette de+el mismo,de Danette de+el,psote de Danette,uno psote de Danette,que uno psote de Danette,Danette de+el mismo,Danette de+el mismo tamaño,Danette de+el mismo tamaño .
http://www.eluniversal.com.mx/articulo/autopistas/2016/04/18/islas-de-cu-invadidas-por-joyas-sobre-ruedas,eluniversal.com.mx,2016-04-18,Mexico,Sedanette/NP00000/sedanette,"Otras  joyas  exhibidas  fueron  Un  Ford  Thunderbird  del  56  ,  un  Cadillac  El  Dorado  del  57  ,  un  Lincoln  Continental  ,  un  Buick  Special Sedanette  y  un  modelo  T  1907  que  tenía  81  años  de  abandono  en  un  granero  .",sedanette,np00000,sedanette,Special,special,NP00000,Buick,buick,NP00000,un,uno,DI0MS0,",",",",Fc,Continental,continental,NP00000,y,y,CC,un,uno,DI0MS0,modelo,modelo,NCCS000,T,t,NP00000,1907,1907,Z,2016-04-18,2016,2010,NP00000 NP00000 Danette CC DI0MS0,NP00000 Danette CC,NP00000 NP00000 Danette,DI0MS0 NP00000 NP00000 Danette,Fc DI0MS0 NP00000 NP00000 Danette,Danette CC DI0MS0,Danette CC DI0MS0 NCCS000,Danette CC DI0MS0 NCCS000 NP00000,buick special Danette y uno,special Danette y,buick special Danette,uno buick special Danette,", uno buick special Danette",Danette y uno,Danette y uno modelo,Danette y uno modelo t
http://www.nuevamujer.com/mujeres/salud/todos/clases-de-pole-fitness-en-video-5-cuentas-que-debes-seguir-si-o-si-en/2016-04-28/205314.html,nuevamujer.com,2016-04-29,===NONE===,Danette/NP00000/danette," Danette  Elizabeth  ,  de  43  años  ,  es  mamá  de  tres  pequeños  y  es  una  pro  del  Pole  Dance  .",danette,np00000,danette,,,,,,,,,,,,,,,,Elizabeth,elizabeth,NP00000,",",",",Fc,de,de,SPS00,43,43,Z,años,año,NCMP000,2016-04-29,2016,2010,,,,,,Danette NP00000 Fc,Danette NP00000 Fc SPS00,Danette NP00000 Fc SPS00 Z,,,,,,"Danette elizabeth ,","Danette elizabeth , de","Danette elizabeth , de 43"
http://www.canarias7.es/articulo.cfm?Id=419094,canarias7.es,2016-05-10,Spain,Danette/NP00000/danette,"No  obstante  ,  pese  a  ello  reconocen  que  los  resultados  deberían  animar  a  los  padres  a  cerciorarse  de  que  los  bebés  duermen  sobre  su  espalda  y  ,  si  quieren  envolverlos  ,  asegurarse  de  que  son  capaces  de  cambiar  de  posición  en  caso  de  que  se  vuelquen  por  la  noche  ,  ha  añadido Danette  Swanson  ,  de  la  Universidad  de  Washington  (  Estados  Unidos  )  . </doc>",danette,np00000,danette,añadido,añadir,VMP00SM,ha,haber,VAIP3S0,",",",",Fc,noche,noche,NCFS000,la,el,DA0FS0,Swanson,swanson,NP00000,",",",",Fc,de,de,SPS00,la,el,DA0FS0,Universidad,universidad,NP00000,2016-05-10,2016,2010,VAIP3S0 VMP00SM Danette NP00000 Fc,VMP00SM Danette NP00000,VAIP3S0 VMP00SM Danette,Fc VAIP3S0 VMP00SM Danette,NCFS000 Fc VAIP3S0 VMP00SM Danette,Danette NP00000 Fc,Danette NP00000 Fc SPS00,Danette NP00000 Fc SPS00 DA0FS0,"haber añadir Danette swanson ,",añadir Danette swanson,haber añadir Danette,", haber añadir Danette","noche , haber añadir Danette","Danette swanson ,","Danette swanson , de","Danette swanson , de el"
