url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://ecodiario.eleconomista.es/espana/noticias/5450490/01/14/El-artista-Joaquin-Ruiz-Quintanal-rodara-en-febrero-un-video-promocional-de-Torrelavega.html,eleconomista.es,2014-01-11,Spain,Desperados/NP00000/desperados,"Lleva  ocho  años  trabajando  en  el  sector  audiovisual  tanto  para  canales  de  televisión  como  para  clientes  como  Ferrari  ,  Lois  ,  HSBC  ,  Viajes  Nautalia  ,  Cerveza Desperados  ,  Sidra  el  Gaitero  ,  Valencia  CF  o  Gimnástica  de  Torrelavega  .",desperados,np00000,desperados,Cerveza,cerveza,NP00000,",",",",Fc,Nautalia,nautalia,NP00000,Viajes,viajes,NP00000,",",",",Fc,",",",",Fc,Sidra,sidra,NP00000,el,el,DA0MS0,Gaitero,gaitero,NP00000,",",",",Fc,2014-01-11,2014,2010,Fc NP00000 Desperados Fc NP00000,NP00000 Desperados Fc,Fc NP00000 Desperados,NP00000 Fc NP00000 Desperados,NP00000 NP00000 Fc NP00000 Desperados,Desperados Fc NP00000,Desperados Fc NP00000 DA0MS0,Desperados Fc NP00000 DA0MS0 NP00000,", cerveza Desperados , sidra","cerveza Desperados ,",", cerveza Desperados","nautalia , cerveza Desperados","viajes nautalia , cerveza Desperados","Desperados , sidra","Desperados , sidra el","Desperados , sidra el gaitero"
http://gestion.pe/empresas/heineken-preve-que-ingresos-creceran-este-ano-rendimiento-debil-2013-2088886,gestion.pe,2014-02-12,Peru,Desperados/NP00000/desperados,"El  fabricante  de  Heineken  -  la  cerveza  de  mayor  venta  en  Europa  -  Sol  , Desperados  y  la  sidra  Strongbow  dijo  que  el  2013  fue  difícil  debido  a  dificultades  en  Europa  del  Este  ,  Latinoamérica  y  África  .",desperados,np00000,desperados,",",",",Fc,Sol,sol,NP00000,-,-,Fg,Europa,europa,NP00000,en,en,SPS00,y,y,CC,la,el,DA0FS0,sidra,sidra,NCFS000,Strongbow,strongbow,NP00000,dijo,decir,VMIS3S0,2014-02-12,2014,2010,NP00000 Fc Desperados CC DA0FS0,Fc Desperados CC,NP00000 Fc Desperados,Fg NP00000 Fc Desperados,NP00000 Fg NP00000 Fc Desperados,Desperados CC DA0FS0,Desperados CC DA0FS0 NCFS000,Desperados CC DA0FS0 NCFS000 NP00000,"sol , Desperados y el",", Desperados y","sol , Desperados","- sol , Desperados","europa - sol , Desperados",Desperados y el,Desperados y el sidra,Desperados y el sidra strongbow
http://ccaa.elpais.com/ccaa/2014/05/08/madrid/1399575638_545501.html,elpais.com,2014-05-09,Spain,Desperados/NP00000/desperados,"Por  ella  pasan  cantantes  ,  instrumentistas  y  autores  como  Luis  Auserón  ,  de  Radio  Futura  ,  José  Mari  Guzmán  ,  de  Cadillac  y  C.R.A.  G  ,  Patacho  e  Iñaki  ,  de  Glutamato  Yeyé  ,  Fernando  Martín  ,  de Desperados  y  muchos  otros  con  gran  respeto  por  la  historia  de  la  música  española  de  todas  las  épocas  a  la  que  rinden  homenaje  en  cada  presentación  .",desperados,np00000,desperados,de,de,SPS00,",",",",Fc,Martín,martín,NP00000,Fernando,fernando,NP00000,",",",",Fc,y,y,CC,muchos,mucho,DI0MP0,otros,otro,PI0MP000,con,con,SPS00,gran,gran,AQ0CS0,2014-05-09,2014,2010,Fc SPS00 Desperados CC DI0MP0,SPS00 Desperados CC,Fc SPS00 Desperados,NP00000 Fc SPS00 Desperados,NP00000 NP00000 Fc SPS00 Desperados,Desperados CC DI0MP0,Desperados CC DI0MP0 PI0MP000,Desperados CC DI0MP0 PI0MP000 SPS00,", de Desperados y mucho",de Desperados y,", de Desperados","martín , de Desperados","fernando martín , de Desperados",Desperados y mucho,Desperados y mucho otro,Desperados y mucho otro con
http://www.eurogamer.es/articles/2014-05-13-analisis-de-fistful-of-frags,eurogamer.es,2014-05-13,Spain,desperados/VMP00PM/desperados,"Nos  enfrentamos  por  bandos  -  vigilantes  , desperados  ,  bandidos  y  rangers  -  y  solo  con  armas  del  Lejano  Oeste  .",desperados,vmp00pm,desperados,",",",",Fc,vigilantes,vigilante,NCCP000,-,-,Fg,bandos,bando,NCMP000,por,por,SPS00,",",",",Fc,bandidos,bandido,AQ0MP0,y,y,CC,rangers,rangers,NCMP000,-,-,Fg,2014-05-13,2014,2010,NCCP000 Fc Desperados Fc AQ0MP0,Fc Desperados Fc,NCCP000 Fc Desperados,Fg NCCP000 Fc Desperados,NCMP000 Fg NCCP000 Fc Desperados,Desperados Fc AQ0MP0,Desperados Fc AQ0MP0 CC,Desperados Fc AQ0MP0 CC NCMP000,"vigilante , Desperados , bandido",", Desperados ,","vigilante , Desperados","- vigilante , Desperados","bando - vigilante , Desperados","Desperados , bandido","Desperados , bandido y","Desperados , bandido y rangers"
http://www.cadenaser.com/cultura/articulo/47-ronin-historia-leales-samurais-ako/csrcsrpor/20140516csrcsrcul_2/Tes#%3Fid_rss%3D108,cadenaser.com,2014-05-16,Spain,desperados/NCMP000/desperados,"Más  de  doscientas  películas  ,  incontables  obras  de  teatro  kabuki  ,  poemas  ,  novelas  ,  libros  de  Historia  ,  algunos  desde  ópticas  revisionistas  y  desmitificadoras  ,  pero  también  series  de  televisión  ,  mangas  y  animes  ,  han  convertido  ""  Chusinghura  ""  en  el  equivalente  nipón  a  las  historias  del  Rey  Arturo  ,  Robin  Hood  ,  El  Cid  o  Jesse  James  y  los desperados  del  Oeste  Americano  .",desperados,ncmp000,desperados,los,el,DA0MP0,y,y,CC,James,james,NP00000,Jesse,jesse,NP00000,o,o,CC,del,de+el,SPS00+DA0MS0,Oeste,oeste,NP00000,Americano,americano,NP00000,.,.,Fp,,,,2014-05-16,2014,2010,CC DA0MP0 Desperados SPS00+DA0MS0 NP00000,DA0MP0 Desperados SPS00+DA0MS0,CC DA0MP0 Desperados,NP00000 CC DA0MP0 Desperados,NP00000 NP00000 CC DA0MP0 Desperados,Desperados SPS00+DA0MS0 NP00000,Desperados SPS00+DA0MS0 NP00000 NP00000,Desperados SPS00+DA0MS0 NP00000 NP00000 Fp,y el Desperados de+el oeste,el Desperados de+el,y el Desperados,james y el Desperados,jesse james y el Desperados,Desperados de+el oeste,Desperados de+el oeste americano,Desperados de+el oeste americano .
http://www.elperiodicomediterraneo.com/noticias/espectaculos/arenal-cierra-venta-on-line-entradas-55-000-sounders_884857.html,elperiodicomediterraneo.com,2014-07-15,===NONE===,Desperados/NP00000/desperados,"Será  el  escenario Desperados  el  que  se  convertirá  en  el  corazón  de  esta  cita  musical  ,  pues  en  él  actuarán  grupos  tan  esperados  como  Crystal  Fighters  ,  Love  of  lesvian  ,  Russian  Red  ,  The  wombats  o  La  Pegatina  .",desperados,np00000,desperados,escenario,escenario,NCMS000,el,el,DA0MS0,Será,ser,VSIF3S0,,,,,,,el,el,DA0MS0,que,que,PR0CN000,se,se,P00CN000,convertirá,convertir,VMIF3S0,en,en,SPS00,2014-07-15,2014,2010,DA0MS0 NCMS000 Desperados DA0MS0 PR0CN000,NCMS000 Desperados DA0MS0,DA0MS0 NCMS000 Desperados,VSIF3S0 DA0MS0 NCMS000 Desperados,,Desperados DA0MS0 PR0CN000,Desperados DA0MS0 PR0CN000 P00CN000,Desperados DA0MS0 PR0CN000 P00CN000 VMIF3S0,el escenario Desperados el que,escenario Desperados el,el escenario Desperados,ser el escenario Desperados,,Desperados el que,Desperados el que se,Desperados el que se convertir
http://jenesaispop.com/2014/08/01/197788/arenal-sound-2014-emitira-sus-conciertos-en-directo-en-streaming%e2%80%8f/,jenesaispop.com,2014-08-01,===NONE===,Desperados/NP00000/desperados,"El  festival  Arenal  Sound  ,  que  se  celebra  este  año  del  31  de  julio  al  3  de  agosto  en  Burriana  (  Castellón  )  ,  había  anunciado  que  ,  por  primera  vez  en  su  historia  ,  retransmitiría  algunos  de  los  conciertos  del  Escenario  Negrita  y Desperados  (  los  principales  )  en  directo  en  streaming  .",desperados,np00000,desperados,y,y,CC,Negrita,negrita,NP00000,Escenario,escenario,NP00000,del,de+el,SPS00+DA0MS0,conciertos,concierto,NCMP000,(,(,Fpa,los,el,DA0MP0,principales,principal,NCMP000,),),Fpt,en,en,SPS00,2014-08-01,2014,2010,NP00000 CC Desperados Fpa DA0MP0,CC Desperados Fpa,NP00000 CC Desperados,NP00000 NP00000 CC Desperados,SPS00+DA0MS0 NP00000 NP00000 CC Desperados,Desperados Fpa DA0MP0,Desperados Fpa DA0MP0 NCMP000,Desperados Fpa DA0MP0 NCMP000 Fpt,negrita y Desperados ( el,y Desperados (,negrita y Desperados,escenario negrita y Desperados,de+el escenario negrita y Desperados,Desperados ( el,Desperados ( el principal,Desperados ( el principal )
http://www.eleconomista.es/empresas-finanzas/noticias/6080543/09/14/La-cerveza-sube-en-bolsa-como-la-espuma-por-el-ruido-de-opas-.html,eleconomista.es,2014-09-15,Spain,Desperados/NP00000/desperados,"Entre  las  marcas  que  comercializa  en  todo  el  mundo  destacan  Amstel  , Desperados  y  Sol  ,  mientras  que  en  nuestro  país  es  dueña  también  de  Cruzcampo  ,  Buckler  o  Shandy  .",desperados,np00000,desperados,",",",",Fc,Amstel,amstel,NP00000,destacan,destacar,VMIP3P0,mundo,mundo,NCMS000,el,el,DA0MS0,y,y,CC,Sol,sol,NP00000,",",",",Fc,mientras,mientras,CS,que,que,CS,2014-09-15,2014,2010,NP00000 Fc Desperados CC NP00000,Fc Desperados CC,NP00000 Fc Desperados,VMIP3P0 NP00000 Fc Desperados,NCMS000 VMIP3P0 NP00000 Fc Desperados,Desperados CC NP00000,Desperados CC NP00000 Fc,Desperados CC NP00000 Fc CS,"amstel , Desperados y sol",", Desperados y","amstel , Desperados","destacar amstel , Desperados","mundo destacar amstel , Desperados",Desperados y sol,"Desperados y sol ,","Desperados y sol , mientras"
http://www.heraldo.es/noticias/suplementos/fiestas_del_pilar/2014/10/07/aragon_radio_reune_cuti_voyeur_y_doctor_loncho_plaza_del_pilar_314509_1711024.html,heraldo.es,2014-10-08,Spain,Desperados/NP00000/desperados,"Emprendió  carrera  en  solitario  con  el  mini-álbum  '  Cuti  '  (  1997  )  ,  al  que  seguirían  '  El  mundo  de  Irene  '  (  1999  )  ,  '  La  casa  naranja  '  (  2002  )  ,  '  Psicoanálisis  de  un  man  I  '  (  2004  )  ,  '  Psicoanálisis  de  un  man  II  '  (  2006  )  ,  '  En  el  árbol  '  (  2010  )  y  un  DVD  grabado  en  directo  en  el  Teatro  Arbolé  (  2011  )  con  invitados  como  Tachenko  ,  Gabriel  Sopeña  ,  Juanjo  Javierre  ,  Fernando  Martín  ( Desperados  )  o  Los  Peces  .",desperados,np00000,desperados,(,(,Fpa,Martín,martín,NP00000,Fernando,fernando,NP00000,",",",",Fc,Javierre,javierre,NP00000,),),Fpt,o,o,CC,Los,los,NP00000,Peces,peces,NP00000,.,.,Fp,2014-10-08,2014,2010,NP00000 Fpa Desperados Fpt CC,Fpa Desperados Fpt,NP00000 Fpa Desperados,NP00000 NP00000 Fpa Desperados,Fc NP00000 NP00000 Fpa Desperados,Desperados Fpt CC,Desperados Fpt CC NP00000,Desperados Fpt CC NP00000 NP00000,martín ( Desperados ) o,( Desperados ),martín ( Desperados,fernando martín ( Desperados,", fernando martín ( Desperados",Desperados ) o,Desperados ) o los,Desperados ) o los peces
http://lat.wsj.com/articles/SB11550989027533334316504580260810736158860?tesla=y&mod=rss_americas_spanish&mg=reno64-wsj&url=http:%2F%2Fonline.wsj.com%2Farticle%2FSB11550989027533334316504580260810736158860.html%3Fmod=rss_americas_spanish,wsj.com,2014-11-06,===NONE===,Desperados/NP00000/desperados,"Este  año  ,  Heineken  USA  comenzó  a  vender  una  cerveza  con  sabor  a  tequila  en  los  estados  de  Florida  y  Georgia  ,  llamada Desperados  ,  que  su  casa  matriz  Heineken  Holding  NV  fabrica  y  vende  en  otros  países  .",desperados,np00000,desperados,llamada,llamar,VMP00SF,",",",",Fc,Georgia,georgia,NP00000,y,y,CC,Florida,florida,NP00000,",",",",Fc,que,que,CS,su,su,DP3CS0,casa,casa,NCFS000,matriz,matriz,AQ0FS0,2014-11-06,2014,2010,Fc VMP00SF Desperados Fc CS,VMP00SF Desperados Fc,Fc VMP00SF Desperados,NP00000 Fc VMP00SF Desperados,CC NP00000 Fc VMP00SF Desperados,Desperados Fc CS,Desperados Fc CS DP3CS0,Desperados Fc CS DP3CS0 NCFS000,", llamar Desperados , que","llamar Desperados ,",", llamar Desperados","georgia , llamar Desperados","y georgia , llamar Desperados","Desperados , que","Desperados , que su","Desperados , que su casa"
