url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elcomercio.es/v/20140103/siero-centro/desnutricion-infantil-sensibiliza-fresneda-20140103.html?utm_source=elcomerciodigital.com&utm_medium=rss&utm_content=siero-rss&utm_campaign=traffic-rss,elcomercio.es,2014-01-03,Spain,dodotis/NCMP000/dodotis,"Me  puse  en  contacto  con  los  responsables  del  Banco  de  Alimentos  y  me  comentaron  que  se  necesitaba  sobre  todo  potitos  ,  leche  en  polvo  ,  de  continuación  y  de  crecimiento  ,  cereales  ,  galletas  , dodotis  y  especialmente  aceite  porque  les  llegaban  muchos  productos  no  perecederos  como  macarrones  o  judías  pero  no  tenían  aceite  ""  .",dodotis,ncmp000,dodotis,",",",",Fc,galletas,galleta,NCFP000,",",",",Fc,cereales,cereal,AQ0CP0,",",",",Fc,y,y,CC,especialmente,especialmente,RG,aceite,aceite,NCMS000,porque,porque,CS,les,le,PP3CPD00,2014-01-03,2014,2010,NCFP000 Fc Dodot CC RG,Fc Dodot CC,NCFP000 Fc Dodot,Fc NCFP000 Fc Dodot,AQ0CP0 Fc NCFP000 Fc Dodot,Dodot CC RG,Dodot CC RG NCMS000,Dodot CC RG NCMS000 CS,"galleta , Dodot y especialmente",", Dodot y","galleta , Dodot",", galleta , Dodot","cereal , galleta , Dodot",Dodot y especialmente,Dodot y especialmente aceite,Dodot y especialmente aceite porque
http://www.eleconomista.es/legislacion/noticias/5434191/01/14/La-Abogacia-subasta-46-vinetas-sobre-Derechos-Humanos-para-destinar-sus-beneficios-a-Caritas-y-al-Banco-de-Alimentos.html,eleconomista.es,2014-01-03,Spain,Dodot/NP00000/dodot,"Los  humoristas  que  han  participado  en  la  exposición  son  Aguilera  ,  Alfredo  ,  Arranz  ,  Dávila  , Dodot  ,  Esteban  ,  Forges  ,  Gallego  y  Rey  ,  Gorka  ,  HARCA  ,  Julio  Cebrián  ,  J.L.  Cabañas  ,  Juan  Ballesta  ,  Loriga  ,  Madrigal  ,  Malagón  ,  Martín  Morales  ,  Máximo  ,  Mendi  ,  Nando  ,  Néstor  ,  Orcajo  ,  Ortuño  ,  Pandelet  ,  Peridis  ,  Pinto  y  Chinto  ,  Ramón  ,  Reboredo  y  Sañudo  ,  Ricardo  ,  Sir  Cámara  ,  Ubaldo  Boyano  ,  Ulises  ,  Xaquín  Marín  ,  Guillermo  ,  Cano  ,  Idígoras  y  Pachi  ,  Antón  ,  Enrique  ,  Puebla  ,  Kap  ,  Ortifus  ,  JM  Nieto  ,  Rafael  Vega  ""  Sansón  ""  ,  Arturo  Asensio  ,",dodot,np00000,dodot,",",",",Fc,Dávila,dávila,NP00000,",",",",Fc,Arranz,arranz,NP00000,",",",",Fc,",",",",Fc,Esteban,esteban,NP00000,",",",",Fc,Forges,forges,NP00000,",",",",Fc,2014-01-03,2014,2010,NP00000 Fc Dodot Fc NP00000,Fc Dodot Fc,NP00000 Fc Dodot,Fc NP00000 Fc Dodot,NP00000 Fc NP00000 Fc Dodot,Dodot Fc NP00000,Dodot Fc NP00000 Fc,Dodot Fc NP00000 Fc NP00000,"dávila , Dodot , esteban",", Dodot ,","dávila , Dodot",", dávila , Dodot","arranz , dávila , Dodot","Dodot , esteban","Dodot , esteban ,","Dodot , esteban , forges"
http://www.abc.es/familia-padres-hijos/20140104/abci-anos-panales-para-mejorar-201312201907.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-01-04,Spain,Dodot/NP00000/dodot," Dodot  ,  líder  del  sector  ,  lleva  años  trabajando  para  que  el  producto  siga  innovando  y  lo  consigue  .",dodot,np00000,dodot,,,,,,,,,,,,,,,,",",",",Fc,líder,líder,NCCS000,del,de+el,SPS00+DA0MS0,sector,sector,NCMS000,",",",",Fc,2014-01-04,2014,2010,,,,,,Dodot Fc NCCS000,Dodot Fc NCCS000 SPS00+DA0MS0,Dodot Fc NCCS000 SPS00+DA0MS0 NCMS000,,,,,,"Dodot , líder","Dodot , líder de+el","Dodot , líder de+el sector"
http://www.tiempodehoy.com/sociedad/catalogo-de-hombres,tiempodehoy.com,2014-01-31,===NONE===,Dodot/NP00000/dodot,"Julio  Iglesias  ha  pasado  de  ser  hombre  jinete  (  ligón  e  huidizo  )  a  un  hombre Dodot  (  padrazo  )  ...  Rosetta  Forner  ,  psicóloga  y  experta  en  coaching  ,  clasifica  y  analiza  los  modelos  masculinos  y  explica  cómo  enamorarlos  en  su  libro  Piensa  como  un  hombre  ,  siente  como  una  mujer  (  Zenith  )  .  ""  No  a  todos  los  hombres  se  les  conquista  por  el  estómago  ,  ni  con  sexo  ""  ,  primer  tópico  que  derrumba  la  escritora  en  este  libro  que  clasifica  a  los  hombres  en  13  variedades  y  da  consejos  a  las  mujeres  para  conquistarlos  .",dodot,np00000,dodot,hombre,hombre,NCMS000,un,uno,DI0MS0,a,a,SPS00,),),Fpt,huidizo,huidizo,AQ0MS0,(,(,Fpa,padrazo,padrazo,NCMS000,),),Fpt,...,...,Fs,Rosetta,rosetta,NP00000,2014-01-31,2014,2010,DI0MS0 NCMS000 Dodot Fpa NCMS000,NCMS000 Dodot Fpa,DI0MS0 NCMS000 Dodot,SPS00 DI0MS0 NCMS000 Dodot,Fpt SPS00 DI0MS0 NCMS000 Dodot,Dodot Fpa NCMS000,Dodot Fpa NCMS000 Fpt,Dodot Fpa NCMS000 Fpt Fs,uno hombre Dodot ( padrazo,hombre Dodot (,uno hombre Dodot,a uno hombre Dodot,) a uno hombre Dodot,Dodot ( padrazo,Dodot ( padrazo ),Dodot ( padrazo ) ...
http://www.sport.es/es/noticias/liga-bbva/ancelotti-crea-dudas-3156994?utm_source=rss-noticias&utm_medium=feed&utm_campaign=liga-bbva,sport.es,2014-03-05,Spain,dodotis/NCMP000/dodotis,"Una  nueva  derrota  acabaría  con  la  credibilidad  de  Ancelotti  ,  que  hasta  ahora  ha  actuado  siempre  con  el  ' dodotis  '  en  los  partidos  grandes  .  n </doc>",dodotis,ncmp000,dodotis,',',Fe,el,el,DA0MS0,con,con,SPS00,siempre,siempre,RG,actuado,actuar,VMP00SM,',',Fe,en,en,SPS00,los,el,DA0MP0,partidos,partido,NCMP000,grandes,grande,AQ0CP0,2014-03-05,2014,2010,DA0MS0 Fe Dodot Fe SPS00,Fe Dodot Fe,DA0MS0 Fe Dodot,SPS00 DA0MS0 Fe Dodot,RG SPS00 DA0MS0 Fe Dodot,Dodot Fe SPS00,Dodot Fe SPS00 DA0MP0,Dodot Fe SPS00 DA0MP0 NCMP000,el ' Dodot ' en,' Dodot ',el ' Dodot,con el ' Dodot,siempre con el ' Dodot,Dodot ' en,Dodot ' en el,Dodot ' en el partido
http://es.noticias.yahoo.com/25-beb%C3%A9s-duerme-noche-interrupciones-154625988.html,yahoo.com,2014-03-13,United States,Dodot/NP00000/dodot,"El  25  por  ciento  de  los  bebés  españoles  no  consigue  dormir  toda  la  noche  sin  interrupciones  ,  según  ha  desvelado  el  '  Estudio  del  Sueño  '  ,  elaborado  por Dodot  ,  con  la  colaboración  de  la  Sociedad  Española  del  Sueño  (  SES  )  ,  y  que  ha  sido  presentado  con  motivo  de  la  celebración  ,  este  viernes  ,  del  Día  Mundial  del  Sueño  .",dodot,np00000,dodot,por,por,SPS00,elaborado,elaborar,VMP00SM,",",",",Fc,',',Fe,Sueño,sueño,NP00000,",",",",Fc,con,con,SPS00,la,el,DA0FS0,colaboración,colaboración,NCFS000,de,de,SPS00,2014-03-13,2014,2010,VMP00SM SPS00 Dodot Fc SPS00,SPS00 Dodot Fc,VMP00SM SPS00 Dodot,Fc VMP00SM SPS00 Dodot,Fe Fc VMP00SM SPS00 Dodot,Dodot Fc SPS00,Dodot Fc SPS00 DA0FS0,Dodot Fc SPS00 DA0FS0 NCFS000,"elaborar por Dodot , con","por Dodot ,",elaborar por Dodot,", elaborar por Dodot","' , elaborar por Dodot","Dodot , con","Dodot , con el","Dodot , con el colaboración"
http://es.noticias.yahoo.com/25-beb%C3%A9s-duerme-noche-interrupciones-154625988.html,yahoo.com,2014-03-13,United States,Dodot/NP00000/dodot,"En  concreto  ,  el  70  por  ciento  de  los  padres  españoles  reconoce  que  está  preocupado  por  el  sueño  de  su  bebé  ""  ,  ha  informado  la  responsable  de  Comunicación  de Dodot  ,  Anna  Fuertes  .",dodot,np00000,dodot,de,de,SPS00,Comunicación,comunicación,NP00000,de,de,SPS00,responsable,responsable,NCCS000,la,el,DA0FS0,",",",",Fc,Anna,anna,NP00000,Fuertes,fuertes,NP00000,.,.,Fp,,,,2014-03-13,2014,2010,NP00000 SPS00 Dodot Fc NP00000,SPS00 Dodot Fc,NP00000 SPS00 Dodot,SPS00 NP00000 SPS00 Dodot,NCCS000 SPS00 NP00000 SPS00 Dodot,Dodot Fc NP00000,Dodot Fc NP00000 NP00000,Dodot Fc NP00000 NP00000 Fp,"comunicación de Dodot , anna","de Dodot ,",comunicación de Dodot,de comunicación de Dodot,responsable de comunicación de Dodot,"Dodot , anna","Dodot , anna fuertes","Dodot , anna fuertes ."
http://www.abc.es/familia-vida-sana/20140314/abci-aprender-dormir-bebe-201403131310.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-03-14,Spain,Dodot/NP00000/dodot,Así  lo  señala  el  Estudio  del  Sueño  presentado  por Dodot  en  el  marco  del  Día  Mundial  del  Sueño  que  se  celebra  hoy  14  de  marzo  .,dodot,np00000,dodot,por,por,SPS00,presentado,presentar,VMP00SM,Sueño,sueño,NP00000,del,de+el,SPS00+DA0MS0,Estudio,estudio,NP00000,en,en,SPS00,el,el,DA0MS0,marco,marco,NCMS000,del,de+el,SPS00+DA0MS0,Día,día,NP00000,2014-03-14,2014,2010,VMP00SM SPS00 Dodot SPS00 DA0MS0,SPS00 Dodot SPS00,VMP00SM SPS00 Dodot,NP00000 VMP00SM SPS00 Dodot,SPS00+DA0MS0 NP00000 VMP00SM SPS00 Dodot,Dodot SPS00 DA0MS0,Dodot SPS00 DA0MS0 NCMS000,Dodot SPS00 DA0MS0 NCMS000 SPS00+DA0MS0,presentar por Dodot en el,por Dodot en,presentar por Dodot,sueño presentar por Dodot,de+el sueño presentar por Dodot,Dodot en el,Dodot en el marco,Dodot en el marco de+el
http://www.abc.es/familia-vida-sana/20140314/abci-aprender-dormir-bebe-201403131310.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-03-14,Spain,Dodot/NP00000/dodot,--  Durante  la  presentación  del  estudio  del  sueño  de Dodot  se  ha  dicho  que  a  los  cinco  años  el  niño  que  duerme  la  siesta  es  patológico  .,dodot,np00000,dodot,de,de,SPS00,sueño,sueño,NCMS000,del,de+el,SPS00+DA0MS0,estudio,estudio,NCMS000,del,de+el,SPS00+DA0MS0,se,se,P00CN000,ha,haber,VAIP3S0,dicho,decir,VMP00SM,que,que,CS,a,a,SPS00,2014-03-14,2014,2010,NCMS000 SPS00 Dodot P00CN000 VAIP3S0,SPS00 Dodot P00CN000,NCMS000 SPS00 Dodot,SPS00+DA0MS0 NCMS000 SPS00 Dodot,NCMS000 SPS00+DA0MS0 NCMS000 SPS00 Dodot,Dodot P00CN000 VAIP3S0,Dodot P00CN000 VAIP3S0 VMP00SM,Dodot P00CN000 VAIP3S0 VMP00SM CS,sueño de Dodot se haber,de Dodot se,sueño de Dodot,de+el sueño de Dodot,estudio de+el sueño de Dodot,Dodot se haber,Dodot se haber decir,Dodot se haber decir que
http://www.eleconomista.es/fondos/noticias/5686211/04/14/Claves-para-invertir-con-el-envejecimiento-de-la-poblacion.html,eleconomista.es,2014-04-23,Spain,Dodot/NP00000/dodot,"Hablamos  de  firmas  como  Procter  &  Gamble  ,  que  bajo  su  nombre  engloba  a  marcas  como  Fairy  ,  Ariel  ,  Gillette  ,  Pantene  o Dodot  y  cuyos  productos  se  consumen  en  más  de  180  países  .",dodot,np00000,dodot,o,o,CC,Pantene,pantene,NP00000,",",",",Fc,Gillette,gillette,NP00000,",",",",Fc,y,y,CC,cuyos,cuyo,PR0MP000,productos,producto,NCMP000,se,se,P00CN000,consumen,consumir,VMIP3P0,2014-04-23,2014,2010,NP00000 CC Dodot CC PR0MP000,CC Dodot CC,NP00000 CC Dodot,Fc NP00000 CC Dodot,NP00000 Fc NP00000 CC Dodot,Dodot CC PR0MP000,Dodot CC PR0MP000 NCMP000,Dodot CC PR0MP000 NCMP000 P00CN000,pantene o Dodot y cuyo,o Dodot y,pantene o Dodot,", pantene o Dodot","gillette , pantene o Dodot",Dodot y cuyo,Dodot y cuyo producto,Dodot y cuyo producto se
