url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elperiodico.com/es/noticias/economia/huelga-infinita-2970617?utm_source=rss-noticias&utm_medium=feed&utm_campaign=economia,elperiodico.com,2014-01-02,===NONE===,Donettes/NP00000/donettes,"Ya  hay  varias  empresas  que  han  mostrado  su  interés  en  hacerse  con  la  totalidad  o  parte  de  los  productos  que  fabrica  ,  como  los  Donuts  o  los Donettes  .",donettes,np00000,donettes,los,el,DA0MP0,o,o,CC,Donuts,donuts,NP00000,los,el,DA0MP0,como,como,CS,.,.,Fp,,,,,,,,,,,,,2014-01-02,2014,2010,,DA0MP0 Donettes Fp,CC DA0MP0 Donettes,NP00000 CC DA0MP0 Donettes,DA0MP0 NP00000 CC DA0MP0 Donettes,,,,,el Donettes .,o el Donettes,donuts o el Donettes,el donuts o el Donettes,,,
http://www.eleconomista.es/economia/noticias/5729988/04/14/Economia-Empresas-Inspeccion-de-Trabajo-no-aprecia-fraude-ni-discriminacion-en-el-ERE-de-Panrico.html,eleconomista.es,2014-04-24,Spain,Donettes/NP00000/donettes,"El  Grupo  Panrico  ,  con  sede  en  Esplugues  de  Llobregat  (  Barcelona  )  ,  comercializa  desde  hace  más  de  50  años  pan  y  bollería  con  marcas  como  Pan  Panrico  ,  Donuts  ,  Bollycao  , Donettes  ,  La  Bella  Easo  y  Qé  !  . </doc>",donettes,np00000,donettes,",",",",Fc,Bollycao,bollycao,NP00000,",",",",Fc,Donuts,donuts,NP00000,",",",",Fc,",",",",Fc,La,la,NP00000,Bella,bella,NP00000,Easo,easo,NP00000,y,y,CC,2014-04-24,2014,2010,NP00000 Fc Donettes Fc NP00000,Fc Donettes Fc,NP00000 Fc Donettes,Fc NP00000 Fc Donettes,NP00000 Fc NP00000 Fc Donettes,Donettes Fc NP00000,Donettes Fc NP00000 NP00000,Donettes Fc NP00000 NP00000 NP00000,"bollycao , Donettes , la",", Donettes ,","bollycao , Donettes",", bollycao , Donettes","donuts , bollycao , Donettes","Donettes , la","Donettes , la bella","Donettes , la bella easo"
http://www.elperiodico.com/es/noticias/economia/los-rostros-huelga-3281299?utm_source=rss-noticias&amputm_medium=feed&amputm_campaign=economia,elperiodico.com,2014-05-25,===NONE===,Donettes/NP00000/donettes,"Cualquier  excusa  es  buena  para  hacer  fuerza  .  ""  Mi  función  no  es  concreta  ,  pero  siempre  hago  acto  de  presencia  para  llenar  la  caja  de  resistencia  ""  ,  asegura  Luis  García  ,  que  trabaja  en  la  producción  de  los Donettes  .",donettes,np00000,donettes,los,el,DA0MP0,de,de,SPS00,producción,producción,NCFS000,la,el,DA0FS0,en,en,SPS00,.,.,Fp,,,,,,,,,,,,,2014-05-25,2014,2010,,DA0MP0 Donettes Fp,SPS00 DA0MP0 Donettes,NCFS000 SPS00 DA0MP0 Donettes,DA0FS0 NCFS000 SPS00 DA0MP0 Donettes,,,,,el Donettes .,de el Donettes,producción de el Donettes,el producción de el Donettes,,,
http://elpais.com/elpais/2014/07/10/icon/1404994976_747237.html,elpais.com,2014-07-11,Spain,Donettes/NP00000/donettes,"Ha  participado  siempre  en  anuncios  de  cosas  que  si  consumes  mucho  ( Donettes  ,  Cola  Cao  ...  )  te  ponen  como  una  vaca  de  Flandes  y  es  modelo  profesional  desde  hace  ya  suficiente  tiempo  como  para  encontrarse  hoy  decidida  a  hacer  de  la  interpretación  su  carrera  profesional  .",donettes,np00000,donettes,(,(,Fpa,mucho,mucho,RG,consumes,consumar,VMSP2S0,si,si,CS,que,que,CS,",",",",Fc,Cola,cola,NP00000,Cao,cao,NP00000,...,...,Fs,),),Fpt,2014-07-11,2014,2010,RG Fpa Donettes Fc NP00000,Fpa Donettes Fc,RG Fpa Donettes,VMSP2S0 RG Fpa Donettes,CS VMSP2S0 RG Fpa Donettes,Donettes Fc NP00000,Donettes Fc NP00000 NP00000,Donettes Fc NP00000 NP00000 Fs,"mucho ( Donettes , cola","( Donettes ,",mucho ( Donettes,consumar mucho ( Donettes,si consumar mucho ( Donettes,"Donettes , cola","Donettes , cola cao","Donettes , cola cao ..."
http://masdeporte.as.com/masdeporte/2014/08/13/polideportivo/1407895645_167077.html,as.com,2014-08-13,Spain,donettes/NCCP000/donettes,Yo  me  llevé  unos donettes  .,donettes,nccp000,donettes,unos,uno,DI0MP0,llevé,llevar,VMIS1S0,me,me,PP1CS000,Yo,yo,PP1CSN00,,,,.,.,Fp,,,,,,,,,,,,,2014-08-13,2014,2010,,DI0MP0 Donettes Fp,VMIS1S0 DI0MP0 Donettes,PP1CS000 VMIS1S0 DI0MP0 Donettes,PP1CSN00 PP1CS000 VMIS1S0 DI0MP0 Donettes,,,,,uno Donettes .,llevar uno Donettes,me llevar uno Donettes,yo me llevar uno Donettes,,,
http://ccaa.elpais.com/ccaa/2014/09/18/catalunya/1411060806_676356.html,elpais.com,2014-09-19,Spain,Donettes/NP00000/donettes,"Se  trata  de  trabajadores  de  las  líneas  de  producción  que  elaboraban  Bollycaos  , Donettes  y  pan  de  molde  .  ""  Se  han  cargado  líneas  enteras  ,  solo  han  quedado  los  trabajadores  de  los  dos  turnos  del  Donuts  ,  más  los  que  no  pueden  despedir  ,  como  los  miembros  del  comité  o  cónyuges  de  otros  despedidos  ""  ,  lamentaba  ayer  el  presidente  del  Comité  de  Empresa  ,  Ginés  Salmerón  (  CC  OO  )  .",donettes,np00000,donettes,",",",",Fc,Bollycaos,bollycaos,NP00000,elaboraban,elaborar,VMII3P0,que,que,PR0CN000,producción,producción,NCFS000,y,y,CC,pan,pan,NCMS000,de,de,SPS00,molde,molde,NCMS000,.,.,Fp,2014-09-19,2014,2010,NP00000 Fc Donettes CC NCMS000,Fc Donettes CC,NP00000 Fc Donettes,VMII3P0 NP00000 Fc Donettes,PR0CN000 VMII3P0 NP00000 Fc Donettes,Donettes CC NCMS000,Donettes CC NCMS000 SPS00,Donettes CC NCMS000 SPS00 NCMS000,"bollycaos , Donettes y pan",", Donettes y","bollycaos , Donettes","elaborar bollycaos , Donettes","que elaborar bollycaos , Donettes",Donettes y pan,Donettes y pan de,Donettes y pan de molde
http://eldia.es/2014-09-19/ECONOMIA/12-Panrico-despide-empleados-fabrica-Santa-Perpetua.htm,eldia.es,2014-09-19,Spain,Donettes/NP00000/donettes,"Antes  del  ERE  la  planta  de  Santa  Perpètua  tenía  un  turno  para  producir  pan  de  molde  con  corteza  ,  otro  para  Bollycao  ,  2  turnos  de  producción  de  Donuts  ,  otros  2  de Donettes  y  también  dos  turnos  de  producción  de  pan  de  molde  sin  corteza  .",donettes,np00000,donettes,de,de,SPS00,2,2,Z,otros,otro,DI0MP0,",",",",Fc,Donuts,donuts,NP00000,y,y,CC,también,también,RG,dos,2,Z,turnos,turno,NCMP000,de,de,SPS00,2014-09-19,2014,2010,Z SPS00 Donettes CC RG,SPS00 Donettes CC,Z SPS00 Donettes,DI0MP0 Z SPS00 Donettes,Fc DI0MP0 Z SPS00 Donettes,Donettes CC RG,Donettes CC RG Z,Donettes CC RG Z NCMP000,2 de Donettes y también,de Donettes y,2 de Donettes,otro 2 de Donettes,", otro 2 de Donettes",Donettes y también,Donettes y también 2,Donettes y también 2 turno
http://www.elmundo.es/economia/2014/10/21/54466ee5ca474120578b457e.html,elmundo.es,2014-10-22,Spain,Donettes/NP00000/donettes,"El  Grupo  Panrico  ,  con  sede  en  Esplugues  de  Llobregat  (  Barcelona  )  ,  tiene  fábricas  en  España  y  Portugal  ,  y  desde  hace  más  de  50  años  comercializa  pan  y  bollería  con  marcas  como  Panrico  ,  Donuts  ,  Bollycao  , Donettes  ,  La  Bella  Easo  y  Qé  !  .",donettes,np00000,donettes,",",",",Fc,Bollycao,bollycao,NP00000,",",",",Fc,Donuts,donuts,NP00000,",",",",Fc,",",",",Fc,La,la,NP00000,Bella,bella,NP00000,Easo,easo,NP00000,y,y,CC,2014-10-22,2014,2010,NP00000 Fc Donettes Fc NP00000,Fc Donettes Fc,NP00000 Fc Donettes,Fc NP00000 Fc Donettes,NP00000 Fc NP00000 Fc Donettes,Donettes Fc NP00000,Donettes Fc NP00000 NP00000,Donettes Fc NP00000 NP00000 NP00000,"bollycao , Donettes , la",", Donettes ,","bollycao , Donettes",", bollycao , Donettes","donuts , bollycao , Donettes","Donettes , la","Donettes , la bella","Donettes , la bella easo"
http://tenis.as.com/tenis/2014/10/29/masters_1000/1414613666_588086.html,as.com,2014-10-30,Spain,donettes/NCCP000/donettes,Iba  a  una  gasolinera  y  me  zampaba  un  paquete  de donettes  .,donettes,nccp000,donettes,de,de,SPS00,paquete,paquete,NCMS000,un,uno,DI0MS0,zampaba,zampar,VMII3S0,me,me,PP1CS000,.,.,Fp,,,,,,,,,,,,,2014-10-30,2014,2010,,SPS00 Donettes Fp,NCMS000 SPS00 Donettes,DI0MS0 NCMS000 SPS00 Donettes,VMII3S0 DI0MS0 NCMS000 SPS00 Donettes,,,,,de Donettes .,paquete de Donettes,uno paquete de Donettes,zampar uno paquete de Donettes,,,
http://ccaa.elpais.com/ccaa/2014/11/05/catalunya/1415174459_445110.html,elpais.com,2014-11-05,Spain,Donettes/NP00000/donettes,"Por  ahora  Panrico  ha  centrado  las  tareas  de  limpieza  en  la  línea  de  los  Donuts  (  la  misma  para  los  de  azúcar  y  los  de  chocolate  )  ,  la  de  los Donettes  y  la  del  pan  de  molde  sin  corteza  ,  explica  Salmerón  .  ""  El  futuro  de  las  dos  últimas  está  a  expensas  de  si  vienen  marcas  blancas  ""  ,  como  ha  apuntado  la  empresa  en  varias  ocasiones  ,  recuerda  el  presidente  del  comité  .",donettes,np00000,donettes,los,el,DA0MP0,de,de,SPS00,la,el,DA0FS0,",",",",Fc,),),Fpt,y,y,CC,la,el,DA0FS0,del,de+el,SPS00+DA0MS0,pan,pan,NCMS000,de,de,SPS00,2014-11-05,2014,2010,SPS00 DA0MP0 Donettes CC DA0FS0,DA0MP0 Donettes CC,SPS00 DA0MP0 Donettes,DA0FS0 SPS00 DA0MP0 Donettes,Fc DA0FS0 SPS00 DA0MP0 Donettes,Donettes CC DA0FS0,Donettes CC DA0FS0 SPS00+DA0MS0,Donettes CC DA0FS0 SPS00+DA0MS0 NCMS000,de el Donettes y el,el Donettes y,de el Donettes,el de el Donettes,", el de el Donettes",Donettes y el,Donettes y el de+el,Donettes y el de+el pan
