url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.perfilcr.com/articulo/el-riesgo-del-vih-aumenta-entre-los-j%C3%B3venes,perfilcr.com,2014-01-01,Costa Rica,Durex/NP00000/durex,"Fuentes  :  Segunda  Encuesta  Nacional  de  Juventudes  (  2013  )  /  Orlando  Navarro  ,  director  del  Observatorio  Centroamericano  del  VIH  /  Diana  Saravia  ,  gerente  de  marca  de Durex  Centroamérica  . </doc>",durex,np00000,durex,de,de,SPS00,marca,marca,NCFS000,de,de,SPS00,gerente,gerente,NCCS000,",",",",Fc,Centroamérica,centroamérica,NP00000,.,.,Fp,</doc>,,,,,,,,,2014-01-01,2014,2010,NCFS000 SPS00 Durex NP00000 Fp,SPS00 Durex NP00000,NCFS000 SPS00 Durex,SPS00 NCFS000 SPS00 Durex,NCCS000 SPS00 NCFS000 SPS00 Durex,Durex NP00000 Fp,,,marca de Durex centroamérica .,de Durex centroamérica,marca de Durex,de marca de Durex,gerente de marca de Durex,Durex centroamérica .,,
http://www.elmundo.es/yodona/2014/01/24/52cd7f6a268e3e692e8b457d.html,elmundo.es,2014-01-24,Spain,Durex/NP00000/durex,"Mientras  que  la  sección  australiana  de Durex  se  encuentra  en  fase  de  experimentación  de  '  Fundawear  '  ,  conjuntos  de  ropa  interior  ,  tanto  para  como  para  mujer  ,  que  incorpora  un  sensores  con  vibración  controlada  mediante  una  aplicación  móvil  .",durex,np00000,durex,de,de,SPS00,australiana,australiano,AQ0FS0,sección,sección,NCFS000,la,el,DA0FS0,que,que,CS,se,se,P00CN000,encuentra,encontrar,VMIP3S0,en,en,SPS00,fase,fase,NCFS000,de,de,SPS00,2014-01-24,2014,2010,AQ0FS0 SPS00 Durex P00CN000 VMIP3S0,SPS00 Durex P00CN000,AQ0FS0 SPS00 Durex,NCFS000 AQ0FS0 SPS00 Durex,DA0FS0 NCFS000 AQ0FS0 SPS00 Durex,Durex P00CN000 VMIP3S0,Durex P00CN000 VMIP3S0 SPS00,Durex P00CN000 VMIP3S0 SPS00 NCFS000,australiano de Durex se encontrar,de Durex se,australiano de Durex,sección australiano de Durex,el sección australiano de Durex,Durex se encontrar,Durex se encontrar en,Durex se encontrar en fase
http://www.laverdad.es/murcia/20140214/gente/doodle/san-valentin-fecha-curiosa-201402141203.html?utm_source=laverdad.es&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,laverdad.es,2014-02-14,Spain,Durex/NP00000/durex,"-  Según  la  empresa  fabricante  de  preservativos Durex  ,  la  venta  de  estos  anticonceptivos  aumentan  entre  un  20  y  un  30  por  ciento  durante  San  Valentín  .",durex,np00000,durex,preservativos,preservativo,NCMP000,de,de,SPS00,fabricante,fabricante,AQ0CS0,empresa,empresa,NCFS000,la,el,DA0FS0,",",",",Fc,la,el,DA0FS0,venta,venta,NCFS000,de,de,SPS00,estos,este,DD0MP0,2014-02-14,2014,2010,SPS00 NCMP000 Durex Fc DA0FS0,NCMP000 Durex Fc,SPS00 NCMP000 Durex,AQ0CS0 SPS00 NCMP000 Durex,NCFS000 AQ0CS0 SPS00 NCMP000 Durex,Durex Fc DA0FS0,Durex Fc DA0FS0 NCFS000,Durex Fc DA0FS0 NCFS000 SPS00,"de preservativo Durex , el","preservativo Durex ,",de preservativo Durex,fabricante de preservativo Durex,empresa fabricante de preservativo Durex,"Durex , el","Durex , el venta","Durex , el venta de"
http://www.eleconomista.es/castilla_y_leon/noticias/5543770/02/14/Alfonso-Jimenez-toma-el-relevo-de-Gerardo-Gutierrez-al-frente-de-la-empresa-familiar.html,eleconomista.es,2014-02-15,Spain,Durex/NP00000/durex,"Además  de  este  nombramiento  ,  la  Asamblea  General  de  Socios  de  EFCL  también  procedió  a  renovar  parcialmente  su  Junta  Directiva  ,  a  la  que  se  han  incorporado  César  Pontvianne  (  Plásticos Durex  )  ,  Arancha  Fernández  (  Grupo  Edisa  )  ,  Jesús  Izquierdo  (  Cartonajes  Izquierdo  )  e  Iván  Arroyo  (  Muebles  Boom  )  en  sustitución  de  Gerardo  Gutiérrez  (  Grupo  Gadea  )  ,  Miguel  López  (  Grupo  Everest  )  ,  Rocío  Hervella  (  Prosol  )  ,  Mateo  Sevilla  (  Tptes  .",durex,np00000,durex,Plásticos,plásticos,NP00000,(,(,Fpa,Pontvianne,pontvianne,NP00000,César,césar,NP00000,incorporado,incorporar,VMP00SM,),),Fpt,",",",",Fc,Arancha,arancha,NP00000,Fernández,fernández,NP00000,(,(,Fpa,2014-02-15,2014,2010,Fpa NP00000 Durex Fpt Fc,NP00000 Durex Fpt,Fpa NP00000 Durex,NP00000 Fpa NP00000 Durex,NP00000 NP00000 Fpa NP00000 Durex,Durex Fpt Fc,Durex Fpt Fc NP00000,Durex Fpt Fc NP00000 NP00000,"( plásticos Durex ) ,",plásticos Durex ),( plásticos Durex,pontvianne ( plásticos Durex,césar pontvianne ( plásticos Durex,"Durex ) ,","Durex ) , arancha","Durex ) , arancha fernández"
http://www.20minutos.es/noticia/2063795/0/conectados/internet/24-horas/,20minutos.es,2014-02-20,Spain,Durex/NP00000/durex,"La  empresa Durex  ,  la  de  los  preservativos  ,  y  Ohmibod  ,  de  vibradores  ,  han  desarrollado  bragas  y  calzoncillos  que  vibran  cuando  se  da  la  orden  desde  el  móvil  . </doc>",durex,np00000,durex,empresa,empresa,NCFS000,La,el,DA0FS0,,,,,,,,,,",",",",Fc,la,el,DA0FS0,de,de,SPS00,los,el,DA0MP0,preservativos,preservativo,NCMP000,2014-02-20,2014,2010,DA0FS0 NCFS000 Durex Fc DA0FS0,NCFS000 Durex Fc,DA0FS0 NCFS000 Durex,,,Durex Fc DA0FS0,Durex Fc DA0FS0 SPS00,Durex Fc DA0FS0 SPS00 DA0MP0,"el empresa Durex , el","empresa Durex ,",el empresa Durex,,,"Durex , el","Durex , el de","Durex , el de el"
http://www.antena3.com/noticias/sociedad/espana-segundo-pais-mas-satisfecho-sexualmente_2014022000332.html,antena3.com,2014-02-20,Spain,Durex/NP00000/durex,"De  acuerdo  con  una  investigación  global  de Durex  para  este  análisis  se  han  tenido  en  cuenta  factores  como  :  el  amor  ,  el  estrés  ,  la  disfunción  eréctil  ,  la  facilidad  para  alcanzar  el  orgasmo  y  el  número  de  actos  sexuales  .",durex,np00000,durex,de,de,SPS00,global,global,AQ0CS0,investigación,investigación,NCFS000,una,uno,DI0FS0,con,con,SPS00,para,para,SPS00,este,este,DD0MS0,análisis,análisis,NCMN000,se,se,P00CN000,han,haber,VAIP3P0,2014-02-20,2014,2010,AQ0CS0 SPS00 Durex SPS00 DD0MS0,SPS00 Durex SPS00,AQ0CS0 SPS00 Durex,NCFS000 AQ0CS0 SPS00 Durex,DI0FS0 NCFS000 AQ0CS0 SPS00 Durex,Durex SPS00 DD0MS0,Durex SPS00 DD0MS0 NCMN000,Durex SPS00 DD0MS0 NCMN000 P00CN000,global de Durex para este,de Durex para,global de Durex,investigación global de Durex,uno investigación global de Durex,Durex para este,Durex para este análisis,Durex para este análisis se
http://www.publimetro.com.mx/xfiles/los-mejores-49-anuncios-impresos-de-2013/XeSnbt%21rpsnUMBW83noUKBjzk4u9A/,publimetro.com.mx,2014-02-20,Mexico,Durex/NP00000/durex,"Podemos  encontrar  algunos  bastante  creativos  como  el  que  se  encuentra  en  la  galería  de  la  compañía  Fedex  ,  producido  en  Brasil  ,  o  los  comerciales  divertidos  y  subidos  de  tono  de  la  compañía  de  condones Durex  . </doc>",durex,np00000,durex,condones,condón,NCMP000,de,de,SPS00,compañía,compañía,NCFS000,la,el,DA0FS0,de,de,SPS00,.,.,Fp,</doc>,,,,,,,,,,,,2014-02-20,2014,2010,,NCMP000 Durex Fp,SPS00 NCMP000 Durex,NCFS000 SPS00 NCMP000 Durex,DA0FS0 NCFS000 SPS00 NCMP000 Durex,,,,,condón Durex .,de condón Durex,compañía de condón Durex,el compañía de condón Durex,,,
http://www.elperiodico.com/es/noticias/opinion/lago-rosa-por-isabel-coixet-3120191?utm_source=rss-noticias&utm_medium=feed&utm_campaign=opinion,elperiodico.com,2014-02-21,===NONE===,Durex/NP00000/durex,"Le  he  regalado  dos  paquetes  de Durex  ,  por  si  acaso  .",durex,np00000,durex,de,de,SPS00,paquetes,paquete,NCMP000,dos,2,Z,regalado,regalar,VMP00SM,he,haber,VAIP1S0,",",",",Fc,por,por,SPS00,si,si,CS,acaso,acaso,RG,.,.,Fp,2014-02-21,2014,2010,NCMP000 SPS00 Durex Fc SPS00,SPS00 Durex Fc,NCMP000 SPS00 Durex,Z NCMP000 SPS00 Durex,VMP00SM Z NCMP000 SPS00 Durex,Durex Fc SPS00,Durex Fc SPS00 CS,Durex Fc SPS00 CS RG,"paquete de Durex , por","de Durex ,",paquete de Durex,2 paquete de Durex,regalar 2 paquete de Durex,"Durex , por","Durex , por si","Durex , por si acaso"
http://www.elmundo.es/yodona/2014/03/07/5319aa8e268e3e47658b456d.html,elmundo.es,2014-03-08,Spain,Durex/NP00000/durex,"Al  menos  ,  es  lo  que  confirma  el  último  informe Durex  de  Bienestar  Sexual  ,  que  revela  que  el  61  %  de  los  españoles  se  siente  menos  estresado  si  mantiene  lo  que  considera  una  vida  sexual  estupenda  ,  y  el  51  %  declara  que  practicar  sexo  sano  los  convierte  ,  a  ellos  y  a  sus  parejas  ,  en  mejores  compañeros  en  general  ,  ya  sea  en  calidad  de  marido  o  de  esposa  .",durex,np00000,durex,informe,informe,NCMS000,último,último,AO0MS0,el,el,DA0MS0,confirma,confirmar,VMIP3S0,que,que,PR0CN000,de,de,SPS00,Bienestar,bienestar,NP00000,Sexual,sexual,NP00000,",",",",Fc,que,que,PR0CN000,2014-03-08,2014,2010,AO0MS0 NCMS000 Durex SPS00 NP00000,NCMS000 Durex SPS00,AO0MS0 NCMS000 Durex,DA0MS0 AO0MS0 NCMS000 Durex,VMIP3S0 DA0MS0 AO0MS0 NCMS000 Durex,Durex SPS00 NP00000,Durex SPS00 NP00000 NP00000,Durex SPS00 NP00000 NP00000 Fc,último informe Durex de bienestar,informe Durex de,último informe Durex,el último informe Durex,confirmar el último informe Durex,Durex de bienestar,Durex de bienestar sexual,"Durex de bienestar sexual ,"
http://www.elmundo.es/yodona/2014/03/07/5319aa8e268e3e47658b456d.html,elmundo.es,2014-03-08,Spain,Durex/NP00000/durex,"En  el  mencionado  informe Durex  ,  por  ejemplo  ,  uno  de  cada  cuatro  españoles  confesó  que  está  abierto  a  nuevas  experiencias  .",durex,np00000,durex,informe,informe,NCMS000,mencionado,mencionar,VMP00SM,el,el,DA0MS0,En,en,SPS00,,,,",",",",Fc,por,por,SPS00,ejemplo,ejemplo,NCMS000,",",",",Fc,uno,uno,PI0MS000,2014-03-08,2014,2010,VMP00SM NCMS000 Durex Fc SPS00,NCMS000 Durex Fc,VMP00SM NCMS000 Durex,DA0MS0 VMP00SM NCMS000 Durex,SPS00 DA0MS0 VMP00SM NCMS000 Durex,Durex Fc SPS00,Durex Fc SPS00 NCMS000,Durex Fc SPS00 NCMS000 Fc,"mencionar informe Durex , por","informe Durex ,",mencionar informe Durex,el mencionar informe Durex,en el mencionar informe Durex,"Durex , por","Durex , por ejemplo","Durex , por ejemplo ,"
