url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.laopiniondemalaga.es/unicaja/2013/12/31/euroliga-pone-cero-su-cuentakilometros/642274.html?utm_source=rss,laopiniondemalaga.es,2014-01-01,Spain,Emporio_Armani/NP00000_NP00000/emporio_armani,"El  Unicaja  ha  quedado  encuadrado  en  el  grupo  de  la  muerte  ,  lo  que  hará  que  por  el  Carpena  pasen  en  las  próximas  semanas  equipos  de  la  talla  del  Fenerbahce  ,  el  Anadolu  Efes  ,  el  Panathinaikos  ,  el Emporio_Armani  Milán  ,  los  españoles  Barça  y  Baskonia  ,  además  de  repetir  el  doble  campeonísimo  europeo  ,  Olympiacos  .",emporio_armani,np00000_np00000,emporio_armani,el,el,DA0MS0,",",",",Fc,Panathinaikos,panathinaikos,NP00000,el,el,DA0MS0,",",",",Fc,Milán,milán,NP00000,",",",",Fc,los,el,DA0MP0,españoles,español,NCMP000,Barça,barça,NP00000,2014-01-01,2014,2010,Fc DA0MS0 Emporio Armani NP00000 Fc,DA0MS0 Emporio Armani NP00000,Fc DA0MS0 Emporio Armani,NP00000 Fc DA0MS0 Emporio Armani,DA0MS0 NP00000 Fc DA0MS0 Emporio Armani,Emporio Armani NP00000 Fc,Emporio Armani NP00000 Fc DA0MP0,Emporio Armani NP00000 Fc DA0MP0 NCMP000,", el Emporio Armani milán ,",el Emporio Armani milán,", el Emporio Armani","panathinaikos , el Emporio Armani","el panathinaikos , el Emporio Armani","Emporio Armani milán ,","Emporio Armani milán , el","Emporio Armani milán , el español"
http://www.larazon.es/detalle_normal/noticias/4937656/deportes/el-barca-a-empezar-bien-el-top-16,larazon.es,2014-01-01,Spain,Emporio_Armani/NP00000_NP00000/emporio_armani,"El  Grupo  E  lo  completan  otros  dos  equipos  españoles  -  Unicaja  y  Laboral  Kutxa  -  ,  otro  griego  -  Panathinaikos  -  y  el  italiano Emporio_Armani  .",emporio_armani,np00000_np00000,emporio_armani,italiano,italiano,NCMS000,el,el,DA0MS0,y,y,CC,-,-,Fg,Panathinaikos,panathinaikos,NP00000,.,.,Fp,,,,,,,,,,,,,2014-01-01,2014,2010,,NCMS000 Emporio Armani Fp,DA0MS0 NCMS000 Emporio Armani,CC DA0MS0 NCMS000 Emporio Armani,Fg CC DA0MS0 NCMS000 Emporio Armani,,,,,italiano Emporio Armani .,el italiano Emporio Armani,y el italiano Emporio Armani,- y el italiano Emporio Armani,,,
http://www.sport.es/es/noticias/euroliga/arranca-reto-del-top-para-barca-2973770?utm_source=rss-noticias&utm_medium=feed&utm_campaign=euroliga,sport.es,2014-01-02,Spain,Emporio_Armani/NP00000_NP00000/emporio_armani,"No  en  vano  ,  los  blaugrana  se  medirán  al  vigente  campeón  ,  el  Olympiacos  ;  se  verá  de  nuevos  las  caras  ante  el  Fenerbahçe  de  Obradovic  ;  se  cruzará  con  un  clásico  como  es  el  Panathinaikos  ;  jugará  contra  dos  equipos  ACB  que  le  conocen  a  la  perfección  como  son  el  Laboral  Kutxa  y  el  Unicaja  ;  además  de  enfrentarse  a  otros  dos  bloques  que  no  hay  que  desmerecer  como  son  el Emporio_Armani  de  Milán  y  el  Anadolu  Efes  .",emporio_armani,np00000_np00000,emporio_armani,el,el,DA0MS0,son,ser,VSIP3P0,como,como,CS,desmerecer,desmerecer,VMN0000,que,que,CS,de,de,SPS00,Milán,milán,NP00000,y,y,CC,el,el,DA0MS0,Anadolu,anadolu,NP00000,2014-01-02,2014,2010,VSIP3P0 DA0MS0 Emporio Armani SPS00 NP00000,DA0MS0 Emporio Armani SPS00,VSIP3P0 DA0MS0 Emporio Armani,CS VSIP3P0 DA0MS0 Emporio Armani,VMN0000 CS VSIP3P0 DA0MS0 Emporio Armani,Emporio Armani SPS00 NP00000,Emporio Armani SPS00 NP00000 CC,Emporio Armani SPS00 NP00000 CC DA0MS0,ser el Emporio Armani de milán,el Emporio Armani de,ser el Emporio Armani,como ser el Emporio Armani,desmerecer como ser el Emporio Armani,Emporio Armani de milán,Emporio Armani de milán y,Emporio Armani de milán y el
http://www.laopiniondemalaga.es/opinion/2014/01/02/quejas-justificadas/642517.html?utm_source=rss,laopiniondemalaga.es,2014-01-02,Spain,Emporio_Armani/NP00000_NP00000/emporio_armani,"Los  otros  componentes  del  grupo  son  los  turcos  del  Fenerbahce-Ulker  y  Anadolu  Efes  ,  los  dos  grandes  de  Grecia  -  Olympiacos  y  Panathinaikos  -  y  el  exequipo  de  Scariolo  ,  el Emporio_Armani  Milán  .",emporio_armani,np00000_np00000,emporio_armani,el,el,DA0MS0,",",",",Fc,Scariolo,scariolo,NP00000,de,de,SPS00,exequipo,exequipo,NCMS000,Milán,milán,NP00000,.,.,Fp,,,,,,,,,,2014-01-02,2014,2010,Fc DA0MS0 Emporio Armani NP00000 Fp,DA0MS0 Emporio Armani NP00000,Fc DA0MS0 Emporio Armani,NP00000 Fc DA0MS0 Emporio Armani,SPS00 NP00000 Fc DA0MS0 Emporio Armani,Emporio Armani NP00000 Fp,,,", el Emporio Armani milán .",el Emporio Armani milán,", el Emporio Armani","scariolo , el Emporio Armani","de scariolo , el Emporio Armani",Emporio Armani milán .,,
http://www.rtve.es/deportes/20140102/cuatro-equipos-espanoles-inician-andadura-top-16-euroliga/837120.shtml,rtve.es,2014-01-02,Spain,Emporio_Armani/NP00000_NP00000/emporio_armani,"Tras  sufrir  tres  derrotas  en  los  diez  partidos  de  la  primera  fase  ,  el  equipo  azulgrana  realiza  borrón  y  cuenta  nueva  para  un  complicado  '  Top  16  '  en  el  que  también  se  medirá  con  Olympiacos  ,  Fenerbahce  ,  Panathinaikos  ,  EA7 Emporio_Armani  y  dos  equipos  españoles  ,  Unicaja  Malaga  y  Laboral  Kutxa  .",emporio_armani,np00000_np00000,emporio_armani,EA7,EA7,Z,",",",",Fc,Panathinaikos,panathinaikos,NP00000,",",",",Fc,Fenerbahce,fenerbahce,NP00000,y,y,CC,dos,2,Z,equipos,equipo,NCMP000,españoles,español,AQ0MP0,",",",",Fc,2014-01-02,2014,2010,Fc Z Emporio Armani CC Z,Z Emporio Armani CC,Fc Z Emporio Armani,NP00000 Fc Z Emporio Armani,Fc NP00000 Fc Z Emporio Armani,Emporio Armani CC Z,Emporio Armani CC Z NCMP000,Emporio Armani CC Z NCMP000 AQ0MP0,", EA7 Emporio Armani y 2",EA7 Emporio Armani y,", EA7 Emporio Armani","panathinaikos , EA7 Emporio Armani",", panathinaikos , EA7 Emporio Armani",Emporio Armani y 2,Emporio Armani y 2 equipo,Emporio Armani y 2 equipo español
http://www.frontera.info/EdicionEnlinea/Notas/VidayEstilo/03012014/792241-Noah-Mills-Bendito-entre-las-mujeres.html,frontera.info,2014-01-03,Mexico,Emporio_Armani/NP00000_NP00000/emporio_armani,"Su  estatura  ,  cuerpo  musculoso  e  inocente  sonrisa  han  llamado  la  atenciÃ3n  de  firmas  de  renombre  como  Tommy  Hilfiger  ,  Michael  Kors  ,  Salvatore  Ferragamo  ,  Calvin  Klein  ,  Bottega  Veneta  , Emporio_Armani  ,  entre  otras  .",emporio_armani,np00000_np00000,emporio_armani,",",",",Fc,Veneta,veneta,NP00000,Bottega,bottega,NP00000,",",",",Fc,Klein,klein,NP00000,",",",",Fc,entre,entre,SPS00,otras,otro,PI0FP000,.,.,Fp,,,,2014-01-03,2014,2010,NP00000 Fc Emporio Armani Fc SPS00,Fc Emporio Armani Fc,NP00000 Fc Emporio Armani,NP00000 NP00000 Fc Emporio Armani,Fc NP00000 NP00000 Fc Emporio Armani,Emporio Armani Fc SPS00,Emporio Armani Fc SPS00 PI0FP000,Emporio Armani Fc SPS00 PI0FP000 Fp,"veneta , Emporio Armani , entre",", Emporio Armani ,","veneta , Emporio Armani","bottega veneta , Emporio Armani",", bottega veneta , Emporio Armani","Emporio Armani , entre","Emporio Armani , entre otro","Emporio Armani , entre otro ."
http://www.laopiniondemalaga.es/unicaja/2014/01/07/efes-turco-rival-propicio/643467.html?utm_source=rss,laopiniondemalaga.es,2014-01-07,Spain,Emporio_Armani/NP00000_NP00000/emporio_armani,"Se  clasificó  cuarto  de  su  grupo  de  la  primera  fase  ,  tras  Real  Madrid  , Emporio_Armani  Milán  y  Zalgiris  ,  con  solo  cuatro  triunfos  en  10  jornadas  .",emporio_armani,np00000_np00000,emporio_armani,",",",",Fc,Madrid,madrid,NP00000,Real,real,NP00000,tras,tras,SPS00,",",",",Fc,Milán,milán,NP00000,y,y,CC,Zalgiris,zalgiris,NP00000,",",",",Fc,con,con,SPS00,2014-01-07,2014,2010,NP00000 Fc Emporio Armani NP00000 CC,Fc Emporio Armani NP00000,NP00000 Fc Emporio Armani,NP00000 NP00000 Fc Emporio Armani,SPS00 NP00000 NP00000 Fc Emporio Armani,Emporio Armani NP00000 CC,Emporio Armani NP00000 CC NP00000,Emporio Armani NP00000 CC NP00000 Fc,"madrid , Emporio Armani milán y",", Emporio Armani milán","madrid , Emporio Armani","real madrid , Emporio Armani","tras real madrid , Emporio Armani",Emporio Armani milán y,Emporio Armani milán y zalgiris,"Emporio Armani milán y zalgiris ,"
http://www.elobservador.com.uy/noticia/269043/el-lujo-en-las-siete-cuadras-de-la-calle-20/,elobservador.com.uy,2014-01-08,Uruguay,Emporio_Armani/NP00000_NP00000/emporio_armani,"Allí  Versace  ,  Cavali  y Emporio_Armani  tienen  su  lugar  ,  sin  embargo  ,  lo  más  buscado  son  las  carteras  del  estadounidense  Michael  Kors  que  ,  dependiendo  su  tamaño  y  material  varían  entre  U  $  S  375  y  U  $  S  495  .",emporio_armani,np00000_np00000,emporio_armani,y,y,CC,Cavali,cavali,NP00000,",",",",Fc,Versace,versace,NP00000,Allí,allí,RG,tienen,tener,VMIP3P0,su,su,DP3CS0,lugar,lugar,NCMS000,",",",",Fc,sin,sin,SPS00,2014-01-08,2014,2010,NP00000 CC Emporio Armani VMIP3P0 DP3CS0,CC Emporio Armani VMIP3P0,NP00000 CC Emporio Armani,Fc NP00000 CC Emporio Armani,NP00000 Fc NP00000 CC Emporio Armani,Emporio Armani VMIP3P0 DP3CS0,Emporio Armani VMIP3P0 DP3CS0 NCMS000,Emporio Armani VMIP3P0 DP3CS0 NCMS000 Fc,cavali y Emporio Armani tener su,y Emporio Armani tener,cavali y Emporio Armani,", cavali y Emporio Armani","versace , cavali y Emporio Armani",Emporio Armani tener su,Emporio Armani tener su lugar,"Emporio Armani tener su lugar ,"
http://www.mundodeportivo.com/20140111/baloncesto/otros/marcelinho-huertas-barcelona-el-mejor-de-la-segunda-jornada-del-top16_54398003261.html,mundodeportivo.com,2014-01-11,Spain,Emporio_Armani/NP00000_NP00000/emporio_armani,"Otros  jugadores  destacados  de  la  jornada  fueron  Keith  Langford  ,  del Emporio_Armani  ,  con  29  de  valoración  ,  así  como  Justin  Dentmon  (  Zalgiris  Kaunas  )  y  Tarance  Kinsey  (  Partizan  )  con  26  . </doc>",emporio_armani,np00000_np00000,emporio_armani,del,de+el,SPS00+DA0MS0,",",",",Fc,Langford,langford,NP00000,Keith,keith,NP00000,fueron,ser,VSIS3P0,",",",",Fc,con,con,SPS00,29,29,Z,de,de,SPS00,valoración,valoración,NCFS000,2014-01-11,2014,2010,Fc SPS00+DA0MS0 Emporio Armani Fc SPS00,SPS00+DA0MS0 Emporio Armani Fc,Fc SPS00+DA0MS0 Emporio Armani,NP00000 Fc SPS00+DA0MS0 Emporio Armani,NP00000 NP00000 Fc SPS00+DA0MS0 Emporio Armani,Emporio Armani Fc SPS00,Emporio Armani Fc SPS00 Z,Emporio Armani Fc SPS00 Z SPS00,", de+el Emporio Armani , con","de+el Emporio Armani ,",", de+el Emporio Armani","langford , de+el Emporio Armani","keith langford , de+el Emporio Armani","Emporio Armani , con","Emporio Armani , con 29","Emporio Armani , con 29 de"
http://www.informador.com.mx/entretenimiento/2014/507159/6/moda-masculina-en-milan-una-oda-a-la-desenvoltura.htm,informador.com.mx,2014-01-13,Mexico,Emporio_Armani/NP00000_NP00000/emporio_armani,"El  lunes  se  presentarán  las  colecciones  de Emporio_Armani  ,  Gucci  ,  Etro  ,  Canali  ,  Fendi  y  Dirk  Bikkembergs  . </doc>",emporio_armani,np00000_np00000,emporio_armani,de,de,SPS00,colecciones,colección,NCFP000,las,el,DA0FP0,presentarán,presentar,VMIF3P0,se,se,P00CN000,",",",",Fc,Gucci,gucci,NP00000,",",",",Fc,Etro,etro,NP00000,",",",",Fc,2014-01-13,2014,2010,NCFP000 SPS00 Emporio Armani Fc NP00000,SPS00 Emporio Armani Fc,NCFP000 SPS00 Emporio Armani,DA0FP0 NCFP000 SPS00 Emporio Armani,VMIF3P0 DA0FP0 NCFP000 SPS00 Emporio Armani,Emporio Armani Fc NP00000,Emporio Armani Fc NP00000 Fc,Emporio Armani Fc NP00000 Fc NP00000,"colección de Emporio Armani , gucci","de Emporio Armani ,",colección de Emporio Armani,el colección de Emporio Armani,presentar el colección de Emporio Armani,"Emporio Armani , gucci","Emporio Armani , gucci ,","Emporio Armani , gucci , etro"
