url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.correodelcaroni.com/index.php/opinion/item/14008-tocoma-paralizada-termosucre-inconclusa-planta-centro-nada-nos-agarra-asi-otra-vez-el-nino,correodelcaroni.com,2014-05-20,Venezuela,escalatorias/AQ0FP0/escalatorias,"Para  colmo  ,  jamás  se  aclararon  muchas  dudas  sobre  las  "" escalatorias  ""  de  precios  de  ese  contrato  y  la  transnacional  argentina  de  las  turbinas  tiene  un  enorme  retraso  en  la  parte  electromecánica  de  la  obra  .",escalatorias,aq0fp0,escalatorias,"""","""",Fe,las,el,DA0FP0,sobre,sobre,SPS00,dudas,duda,NCFP000,muchas,mucho,DI0FP0,"""","""",Fe,de,de,SPS00,precios,precio,NCMP000,de,de,SPS00,ese,ese,DD0MS0,2014-05-20,2014,2010,DA0FP0 Fe Escalator Fe SPS00,Fe Escalator Fe,DA0FP0 Fe Escalator,SPS00 DA0FP0 Fe Escalator,NCFP000 SPS00 DA0FP0 Fe Escalator,Escalator Fe SPS00,Escalator Fe SPS00 NCMP000,Escalator Fe SPS00 NCMP000 SPS00,"el "" Escalator "" de",""" Escalator ""","el "" Escalator","sobre el "" Escalator","duda sobre el "" Escalator","Escalator "" de","Escalator "" de precio","Escalator "" de precio de"
http://www.eluniversal.com.mx/el-mundo/2014/ue-otan-piden-investigacion-avionazo-ucrania-1024080.html,eluniversal.com.mx,2014-07-17,Mexico,escalatoria/AQ0FS0/escalatoria,"""  Sin  prejuzgar  los  hechos  por  detr谩s  del  siniestro  ,  llamamos  a  todas  las  partes  a  parar  con  la  p茅rdida  sin  sentido  de  vidas  en  el  este  de  Ucrania  ,  a  evitar  cualquier  acci贸n escalatoria  ,  y  a  acordar  un  alto  al  fuego  inmediato  ""  ,  sostuvo  Ashton  en  un  comunicado  .",escalatoria,aq0fs0,escalatoria,acci贸n,acci贸n,NCFS000,cualquier,cualquiera,DI0CS0,evitar,evitar,VMN0000,a,a,SPS00,",",",",Fc,",",",",Fc,y,y,CC,a,a,SPS00,acordar,acordar,VMN0000,un,uno,DI0MS0,2014-07-17,2014,2010,DI0CS0 NCFS000 Escalator Fc CC,NCFS000 Escalator Fc,DI0CS0 NCFS000 Escalator,VMN0000 DI0CS0 NCFS000 Escalator,SPS00 VMN0000 DI0CS0 NCFS000 Escalator,Escalator Fc CC,Escalator Fc CC SPS00,Escalator Fc CC SPS00 VMN0000,"cualquiera acci贸n Escalator , y","acci贸n Escalator ,",cualquiera acci贸n Escalator,evitar cualquiera acci贸n Escalator,a evitar cualquiera acci贸n Escalator,"Escalator , y","Escalator , y a","Escalator , y a acordar"
http://www.correodelcaroni.com/index.php/opinion/item/21423-ah-si-los-indolentes-del-gobierno-hubieran-terminado-tocoma-y-recuperado-planta-centro,correodelcaroni.com,2014-10-15,Venezuela,escalatorias/AQ0FP0/escalatorias,"Tiene  un  enredo  de  deudas  gigantesco  (  y  cuestionadas  "" escalatorias  de  precios  ""  )  con  el  consorcio  brasileño  de  las  obras  civiles  .",escalatorias,aq0fp0,escalatorias,"""","""",Fe,cuestionadas,cuestionar,VMP00PF,y,y,CC,(,(,Fpa,gigantesco,gigantesco,AQ0MS0,de,de,SPS00,precios,precio,NCMP000,"""","""",Fe,),),Fpt,con,con,SPS00,2014-10-15,2014,2010,VMP00PF Fe Escalator SPS00 NCMP000,Fe Escalator SPS00,VMP00PF Fe Escalator,CC VMP00PF Fe Escalator,Fpa CC VMP00PF Fe Escalator,Escalator SPS00 NCMP000,Escalator SPS00 NCMP000 Fe,Escalator SPS00 NCMP000 Fe Fpt,"cuestionar "" Escalator de precio",""" Escalator de","cuestionar "" Escalator","y cuestionar "" Escalator","( y cuestionar "" Escalator",Escalator de precio,"Escalator de precio ""","Escalator de precio "" )"
http://www.elmundo.es/economia/2014/11/02/5452225c268e3efc498b4575.html,elmundo.es,2014-11-06,Spain,Escalator/NP00000/escalator,"En  los  últimos  veinticinco  años  ,  la  contribución  al  incremento  del  PIB  y  del  empleo  de  los  servicios  ha  sido  mayor  que  el  de  los  otros  dos  sectores  -  agricultura  e  industrial  -  tanto  en  la  media  de  los  países  de  baja  ,  media  y  alta  renta  con  la  excepción  de  China  (  Ghani  E.  O'Connell  S.D.  ,  Can  Service  Be  a  Growth Escalator  in  Low  Income  Countries  ,  World  Bank  ,  2014  )  .",escalator,np00000,escalator,Growth,growth,NP00000,a,a,SPS00,Be,be,NP00000,Service,service,NP00000,Can,can,NP00000,in,in,NCMS000,Low,low,NP00000,Income,income,NP00000,Countries,countries,NP00000,",",",",Fc,2014-11-06,2014,2010,SPS00 NP00000 Escalator NCMS000 NP00000,NP00000 Escalator NCMS000,SPS00 NP00000 Escalator,NP00000 SPS00 NP00000 Escalator,NP00000 NP00000 SPS00 NP00000 Escalator,Escalator NCMS000 NP00000,Escalator NCMS000 NP00000 NP00000,Escalator NCMS000 NP00000 NP00000 NP00000,a growth Escalator in low,growth Escalator in,a growth Escalator,be a growth Escalator,service be a growth Escalator,Escalator in low,Escalator in low income,Escalator in low income countries
http://www.diariodeleon.es/noticias/opinion/abismos-cornatel_958186.html,diariodeleon.es,2015-02-19,Spain,escalatorres/NCMP000/escalatorres,"Martina  con  el  grito  de  los  indignados  en  la  punta  de  su  lengua  ,  Martina  como  una  amazona  embravecida  disparando  maldiciones  contra  los  burdos escalatorres  de  la  Junta  ...  Cálmate  ,  Martina  ,  que  con  esos  gestos  te  me  pareces  a  la  Dama  Verde  de  Caerphilly  ,  aquella  mujer-espada  que  tomaba  la  forma  de  la  hiedra  cuando  vagaba  por  los  fortines  abatidos  y  en  sus  pechos  se  posaban  sólo  grajos  ...",escalatorres,ncmp000,escalatorres,burdos,burdo,AQ0MP0,los,el,DA0MP0,contra,contra,SPS00,maldiciones,maldición,NCFP000,disparando,disparar,VMG0000,de,de,SPS00,la,el,DA0FS0,Junta,junta,NP00000,...,...,Fs,Cálmate,calmar+te,VMM02S0+PP2CS000,2015-02-19,2015,2010,DA0MP0 AQ0MP0 Escalator SPS00 DA0FS0,AQ0MP0 Escalator SPS00,DA0MP0 AQ0MP0 Escalator,SPS00 DA0MP0 AQ0MP0 Escalator,NCFP000 SPS00 DA0MP0 AQ0MP0 Escalator,Escalator SPS00 DA0FS0,Escalator SPS00 DA0FS0 NP00000,Escalator SPS00 DA0FS0 NP00000 Fs,el burdo Escalator de el,burdo Escalator de,el burdo Escalator,contra el burdo Escalator,maldición contra el burdo Escalator,Escalator de el,Escalator de el junta,Escalator de el junta ...
http://www.economiabolivia.net/2015/02/08/la-desindustrializacion-precoz/,economiabolivia.net,2015-02-08,===NONE===,escalator/NCMS000/escalator,Can  service  be  a  growth escalator  in  low-income  countries  ?  sostiene  que  las  industrias  de  servicios  pueden  desempeñar  el  papel  que  correspondió  en  el  pasado  a  la  manufactura  .,escalator,ncms000,escalator,growth,growth,NCMS000,a,a,SPS00,be,be,NCFS000,service,service,VMIP3S0,Can,can,NP00000,in,in,RG,low-income,low-income,VMIP3S0,countries,country,NCMP000,?,?,Fit,sostiene,sostener,VMIP3S0,2015-02-08,2015,2010,SPS00 NCMS000 Escalator RG VMIP3S0,NCMS000 Escalator RG,SPS00 NCMS000 Escalator,NCFS000 SPS00 NCMS000 Escalator,VMIP3S0 NCFS000 SPS00 NCMS000 Escalator,Escalator RG VMIP3S0,Escalator RG VMIP3S0 NCMP000,Escalator RG VMIP3S0 NCMP000 Fit,a growth Escalator in low-income,growth Escalator in,a growth Escalator,be a growth Escalator,service be a growth Escalator,Escalator in low-income,Escalator in low-income country,Escalator in low-income country ?
http://yucatan.com.mx/merida/gobierno-merida/escandaloso-convenio,yucatan.com.mx,2015-03-18,Mexico,escalatoria/NCFS000/escalatoria,"""  Pero  no  es  posible  cambiar  el  costo  de  un  proyecto  así  como  así  ""  ,  dice  Patricio  Patrón  .  ""  El  cambio  de  presupuesto  debe  justificarse  ante  Hacienda  ,  decir  que  éste  subió  por escalatoria  de  precios  ,  inflación  ,  cambios  en  el  proyecto  ,  por  mil  razones  .",escalatoria,ncfs000,escalatoria,por,por,SPS00,subió,subir,VMIS3S0,éste,este,PD0MS000,que,que,CS,decir,decir,VMN0000,de,de,SPS00,precios,precio,NCMP000,",",",",Fc,inflación,inflación,NCFS000,",",",",Fc,2015-03-18,2015,2010,VMIS3S0 SPS00 Escalator SPS00 NCMP000,SPS00 Escalator SPS00,VMIS3S0 SPS00 Escalator,PD0MS000 VMIS3S0 SPS00 Escalator,CS PD0MS000 VMIS3S0 SPS00 Escalator,Escalator SPS00 NCMP000,Escalator SPS00 NCMP000 Fc,Escalator SPS00 NCMP000 Fc NCFS000,subir por Escalator de precio,por Escalator de,subir por Escalator,este subir por Escalator,que este subir por Escalator,Escalator de precio,"Escalator de precio ,","Escalator de precio , inflación"
http://www.elperiodicodearagon.com/noticias/internacional/fobia-escaleras-mecanicas-dispara-china_1043255.html,elperiodicodearagon.com,2015-07-30,===NONE===,Escalatorfobia/NP00000/escalatorfobia,"En  las  redes  sociales  de  ese  país  ya  le  han  puesto  nombre  ha  esta  fobia  :  ' Escalatorfobia  '  ,  que  podría  describirse  como  pavor  a  las  escaleras  mecánicas  .",escalatorfobia,np00000,escalatorfobia,',',Fe,:,:,Fd,fobia,fobia,NCFS000,esta,este,DD0FS0,ha,haber,VAIP3S0,',',Fe,",",",",Fc,que,que,PR0CN000,podría,poder,VMIC3S0,describirse,describir+se,VMN0000+PP3CN000,2015-07-30,2015,2010,Fd Fe Escalator Fe Fc,Fe Escalator Fe,Fd Fe Escalator,NCFS000 Fd Fe Escalator,DD0FS0 NCFS000 Fd Fe Escalator,Escalator Fe Fc,Escalator Fe Fc PR0CN000,Escalator Fe Fc PR0CN000 VMIC3S0,": ' Escalator ' ,",' Escalator ',: ' Escalator,fobia : ' Escalator,este fobia : ' Escalator,"Escalator ' ,","Escalator ' , que","Escalator ' , que poder"
http://article.wn.com/view/2015/08/03/Cleaners_leg_amputated_after_Chinas_third_escalator_accident_7/,wn.com,2015-08-03,United States,escalator/NCMS000/escalator,<doc uri=http://article.wn.com/view/2015/08/03/Cleaners_leg_amputated_after_Chinas_third_escalator_accident_7/ website=wn.com date=2015-08-03 source_country=United States> /cleaner's/NP00000 /leg/NCMS000 /amputated/NC00000 /after/NCMS000 /china's/NP00000 /third/AQ0CN0 escalator  accident  in  a  week,escalator,ncms000,escalator,third,third,AQ0CN0,China's,china's,NP00000,after,after,NCMS000,amputated,amputated,NC00000,leg,leg,NCMS000,accident,accident,NCMS000,in,in,NCMS000,a,a,SPS00,week,week,NCMS000,,,,2015-08-03,2015,2010,NP00000 AQ0CN0 Escalator NCMS000 NCMS000,AQ0CN0 Escalator NCMS000,NP00000 AQ0CN0 Escalator,NCMS000 NP00000 AQ0CN0 Escalator,NC00000 NCMS000 NP00000 AQ0CN0 Escalator,Escalator NCMS000 NCMS000,Escalator NCMS000 NCMS000 SPS00,Escalator NCMS000 NCMS000 SPS00 NCMS000,china's third Escalator accident in,third Escalator accident,china's third Escalator,after china's third Escalator,amputated after china's third Escalator,Escalator accident in,Escalator accident in a,Escalator accident in a week
http://www.abc.es/sociedad/20150806/abci-escaleras-mecanicas-riesgos-201508031715.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2015-08-06,Spain,escalator/NCMS000/escalator,"Fue  Seeberger  quien  inventó  la  palabra  "" escalator  ""  (  escalera  mecánica  )  a  partir  de  la  palabra  ""  scala  ""  (  peldaños  en  latín  )  y  la  palabra  ""  elevator  ""  (  ascensor  )  ,  en  esa  época  ya  de  uso  generalizado  en  EE.UU.  ,  y  la  registró  como  una  marca  comercial  para  escalera  móvil  . </doc>",escalator,ncms000,escalator,"""","""",Fe,palabra,palabra,NCFS000,la,el,DA0FS0,inventó,inventar,VMIS3S0,quien,quien,PR0CS000,"""","""",Fe,(,(,Fpa,escalera,escalera,NCFS000,mecánica,mecánica,NCFS000,),),Fpt,2015-08-06,2015,2010,NCFS000 Fe Escalator Fe Fpa,Fe Escalator Fe,NCFS000 Fe Escalator,DA0FS0 NCFS000 Fe Escalator,VMIS3S0 DA0FS0 NCFS000 Fe Escalator,Escalator Fe Fpa,Escalator Fe Fpa NCFS000,Escalator Fe Fpa NCFS000 NCFS000,"palabra "" Escalator "" (",""" Escalator ""","palabra "" Escalator","el palabra "" Escalator","inventar el palabra "" Escalator","Escalator "" (","Escalator "" ( escalera","Escalator "" ( escalera mecánica"
http://noticias.terra.com.mx/mexico/pena-nieto-de-gira-por-nueva-york-detallan-agenda-del-presidente%2C21495db20cd523af8f744bb1f79fad63r8ld5lcw.html,terra.com.mx,2015-09-24,Mexico,Escalators/NP00000/escalators,"En  el  segmento  "" Escalators  of  Opportunity  ""  ,  el  domingo  28  de  septiembre  a  las  9:30  horas  ,  el  Primer  Mandatario  hablará  sobre  las  acciones  que  realiza  México  para  lograr  crecimiento  .",escalators,np00000,escalators,"""","""",Fe,segmento,segmento,NCMS000,el,el,DA0MS0,En,en,SPS00,,,,of,of,NCMS000,Opportunity,opportunity,NP00000,"""","""",Fe,",",",",Fc,el,el,DA0MS0,2015-09-24,2015,2010,NCMS000 Fe Escalator NCMS000 NP00000,Fe Escalator NCMS000,NCMS000 Fe Escalator,DA0MS0 NCMS000 Fe Escalator,SPS00 DA0MS0 NCMS000 Fe Escalator,Escalator NCMS000 NP00000,Escalator NCMS000 NP00000 Fe,Escalator NCMS000 NP00000 Fe Fc,"segmento "" Escalator of opportunity",""" Escalator of","segmento "" Escalator","el segmento "" Escalator","en el segmento "" Escalator",Escalator of opportunity,"Escalator of opportunity ""","Escalator of opportunity "" ,"
