url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.businesswire.com/news/home/20140214005091/es,businesswire.com,2014-02-15,===NONE===,Febreze/NP00000/febreze,"La  compañía  contiene  uno  de  los  portfolios  más  fuertes  de  marcas  confiables  ,  líderes  y  de  calidad  ,  incluyendo  Ace  ®  ,  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Duracell  ®  ,  Fairy  ®  , Febreze  ®  ,  Fusion  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Iams  ®  ,  Lenor  ®  ,  Mach3  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  Prestobarba  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  y  Whisper  ®  .",febreze,np00000,febreze,",",",",Fc,®,®,Fz,Fairy,fairy,NP00000,",",",",Fc,®,®,Fz,®,®,Fz,",",",",Fc,Fusion,fusion,NP00000,®,®,Fz,",",",",Fc,2014-02-15,2014,2010,Fz Fc Febreze Fz Fc,Fc Febreze Fz,Fz Fc Febreze,NP00000 Fz Fc Febreze,Fc NP00000 Fz Fc Febreze,Febreze Fz Fc,Febreze Fz Fc NP00000,Febreze Fz Fc NP00000 Fz,"® , Febreze ® ,",", Febreze ®","® , Febreze","fairy ® , Febreze",", fairy ® , Febreze","Febreze ® ,","Febreze ® , fusion","Febreze ® , fusion ®"
http://www.businesswire.com/news/home/20140319006145/es,businesswire.com,2014-03-20,===NONE===,Febreze/NP00000/febreze,"Cada  Gain  fling  !  contiene  el  mejor  aroma  de  Gain  ,  más  el  poder  de Febreze  para  remover  el  mal  olor  y  el  poder  limpiador  del  OxiBoost  .",febreze,np00000,febreze,de,de,SPS00,poder,poder,NCMS000,el,el,DA0MS0,más,más,RG,",",",",Fc,para,para,SPS00,remover,remover,VMN0000,el,el,DA0MS0,mal,mal,NCMS000,olor,olor,NCMS000,2014-03-20,2014,2010,NCMS000 SPS00 Febreze SPS00 VMN0000,SPS00 Febreze SPS00,NCMS000 SPS00 Febreze,DA0MS0 NCMS000 SPS00 Febreze,RG DA0MS0 NCMS000 SPS00 Febreze,Febreze SPS00 VMN0000,Febreze SPS00 VMN0000 DA0MS0,Febreze SPS00 VMN0000 DA0MS0 NCMS000,poder de Febreze para remover,de Febreze para,poder de Febreze,el poder de Febreze,más el poder de Febreze,Febreze para remover,Febreze para remover el,Febreze para remover el mal
http://www.businesswire.com/news/home/20140319006145/es,businesswire.com,2014-03-20,===NONE===,Febreze/NP00000/febreze,"La  Compañía  tiene  uno  de  los  portafolios  más  fuertes  de  marcas  de  confianza  y  de  alta  calidad  que  son  líderes  en  el  mercado  ,  entre  las  que  se  encuentran  :  Ace  ®  ,  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Duracell  ®  ,  Fairy  ®  , Febreze  ®  ,  Fusion  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Iams  ®  ,  Lenor  ®  ,  Mach3  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  Prestobarba  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  ,  y  Whisper  ®  .",febreze,np00000,febreze,",",",",Fc,®,®,Fz,Fairy,fairy,NP00000,",",",",Fc,®,®,Fz,®,®,Fz,",",",",Fc,Fusion,fusion,NP00000,®,®,Fz,",",",",Fc,2014-03-20,2014,2010,Fz Fc Febreze Fz Fc,Fc Febreze Fz,Fz Fc Febreze,NP00000 Fz Fc Febreze,Fc NP00000 Fz Fc Febreze,Febreze Fz Fc,Febreze Fz Fc NP00000,Febreze Fz Fc NP00000 Fz,"® , Febreze ® ,",", Febreze ®","® , Febreze","fairy ® , Febreze",", fairy ® , Febreze","Febreze ® ,","Febreze ® , fusion","Febreze ® , fusion ®"
http://www.elpais.com.uy/economia/empresas/disparen-habitos.html,elpais.com.uy,2014-05-04,Uruguay,Febreze/NP00000/febreze,"Duhigg  relata  la  historia  de Febreze  ,  de  Procter  &  Gamble  ,  desarrollado  para  eliminar  los  olores  desagradables  de  las  telas  y  tejidos  .",febreze,np00000,febreze,de,de,SPS00,historia,historia,NCFS000,la,el,DA0FS0,relata,relatar,VMIP3S0,Duhigg,duhigg,NP00000,",",",",Fc,de,de,SPS00,Procter,procter,NP00000,&,&,Fz,Gamble,gamble,NP00000,2014-05-04,2014,2010,NCFS000 SPS00 Febreze Fc SPS00,SPS00 Febreze Fc,NCFS000 SPS00 Febreze,DA0FS0 NCFS000 SPS00 Febreze,VMIP3S0 DA0FS0 NCFS000 SPS00 Febreze,Febreze Fc SPS00,Febreze Fc SPS00 NP00000,Febreze Fc SPS00 NP00000 Fz,"historia de Febreze , de","de Febreze ,",historia de Febreze,el historia de Febreze,relatar el historia de Febreze,"Febreze , de","Febreze , de procter","Febreze , de procter &"
http://www.elpais.com.uy/economia/empresas/disparen-habitos.html,elpais.com.uy,2014-05-04,Uruguay,Febreze/NP00000/febreze,"Cuando  se  dieron  cuenta  del  error  decidieron  poner  el  acento  en  hábitos  existentes  ,  y  reposicionaron  a Febreze  como  un  producto  que  se  rocía  al  término  de  la  limpieza  para  que  todo  huela  tan  bien  como  se  ve  .",febreze,np00000,febreze,a,a,SPS00,reposicionaron,reposicionar,VMIS3P0,y,y,CC,",",",",Fc,existentes,existente,AQ0CP0,como,como,CS,un,uno,DI0MS0,producto,producto,NCMS000,que,que,PR0CN000,se,se,P00CN000,2014-05-04,2014,2010,VMIS3P0 SPS00 Febreze CS DI0MS0,SPS00 Febreze CS,VMIS3P0 SPS00 Febreze,CC VMIS3P0 SPS00 Febreze,Fc CC VMIS3P0 SPS00 Febreze,Febreze CS DI0MS0,Febreze CS DI0MS0 NCMS000,Febreze CS DI0MS0 NCMS000 PR0CN000,reposicionar a Febreze como uno,a Febreze como,reposicionar a Febreze,y reposicionar a Febreze,", y reposicionar a Febreze",Febreze como uno,Febreze como uno producto,Febreze como uno producto que
http://www.sentinelsource.com/online_features/espanol/festeja-con-estilo-este-verano-con-estos-consejos-f-ciles/article_b414d11c-5b56-5143-ba6e-f91b0bfeac52.html,sentinelsource.com,2014-06-06,USA,Febreze/NP00000/febreze,"Pero  hasta  el  más  mínimo  pedacito  de  tela  puede  atrapar  sudor  y  olor  ,  así  que  luego  del  concierto  asegúrate  de  lavar  la  ropa  que  usaste  con  Tide  Plus Febreze  Freshness  -  su  gran  poder  limpiador  y  la  frescura  de  Febreze  eliminan  los  ""  perfumes  ""  que  dejan  los  festivales  al  aire  libre  .",febreze,np00000,febreze,Plus,plus,NP00000,Tide,tide,NP00000,con,con,SPS00,usaste,usar,VMIS2S0,que,que,PR0CN000,Freshness,freshness,NP00000,-,-,Fg,su,su,DP3CS0,gran,gran,AQ0CS0,poder,poder,NCMS000,2014-06-06,2014,2010,NP00000 NP00000 Febreze NP00000 Fg,NP00000 Febreze NP00000,NP00000 NP00000 Febreze,SPS00 NP00000 NP00000 Febreze,VMIS2S0 SPS00 NP00000 NP00000 Febreze,Febreze NP00000 Fg,Febreze NP00000 Fg DP3CS0,Febreze NP00000 Fg DP3CS0 AQ0CS0,tide plus Febreze freshness -,plus Febreze freshness,tide plus Febreze,con tide plus Febreze,usar con tide plus Febreze,Febreze freshness -,Febreze freshness - su,Febreze freshness - su gran
http://www.sentinelsource.com/online_features/espanol/festeja-con-estilo-este-verano-con-estos-consejos-f-ciles/article_b414d11c-5b56-5143-ba6e-f91b0bfeac52.html,sentinelsource.com,2014-06-06,USA,Febreze/NP00000/febreze,"Pero  hasta  el  más  mínimo  pedacito  de  tela  puede  atrapar  sudor  y  olor  ,  así  que  luego  del  concierto  asegúrate  de  lavar  la  ropa  que  usaste  con  Tide  Plus  Febreze  Freshness  -  su  gran  poder  limpiador  y  la  frescura  de Febreze  eliminan  los  ""  perfumes  ""  que  dejan  los  festivales  al  aire  libre  .",febreze,np00000,febreze,de,de,SPS00,frescura,frescura,NCFS000,la,el,DA0FS0,y,y,CC,limpiador,limpiador,AQ0MS0,eliminan,eliminar,VMIP3P0,los,el,DA0MP0,"""","""",Fe,perfumes,perfume,NCMP000,"""","""",Fe,2014-06-06,2014,2010,NCFS000 SPS00 Febreze VMIP3P0 DA0MP0,SPS00 Febreze VMIP3P0,NCFS000 SPS00 Febreze,DA0FS0 NCFS000 SPS00 Febreze,CC DA0FS0 NCFS000 SPS00 Febreze,Febreze VMIP3P0 DA0MP0,Febreze VMIP3P0 DA0MP0 Fe,Febreze VMIP3P0 DA0MP0 Fe NCMP000,frescura de Febreze eliminar el,de Febreze eliminar,frescura de Febreze,el frescura de Febreze,y el frescura de Febreze,Febreze eliminar el,"Febreze eliminar el ""","Febreze eliminar el "" perfume"
http://www.laopinion.com/BusinessWire/20141023/Maite-Perroni-celebra-el-octavo-aniversario-de-Pantene-Beautiful-Lengths-animando-al-pblico-a-donar-ocho-pulgadas-de-cabello-para-las-mujeres-que-estn-luchando-contra-el-cncer,laopinion.com,2014-10-23,USA,Febreze/NP00000/febreze,"La  Empresa  tiene  uno  de  los  portafolios  más  fuertes  en  cuanto  a  confianza  ,  alta  calidad  y  marcas  líderes  ,  entre  las  que  se  encuentran  :  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Duracell  ®  ,  Fairy  ®  , Febreze  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Lenor  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  ,  y  Whisper  ®  .",febreze,np00000,febreze,",",",",Fc,®,®,Fz,Fairy,fairy,NP00000,",",",",Fc,®,®,Fz,®,®,Fz,",",",",Fc,Gain,gain,NP00000,®,®,Fz,",",",",Fc,2014-10-23,2014,2010,Fz Fc Febreze Fz Fc,Fc Febreze Fz,Fz Fc Febreze,NP00000 Fz Fc Febreze,Fc NP00000 Fz Fc Febreze,Febreze Fz Fc,Febreze Fz Fc NP00000,Febreze Fz Fc NP00000 Fz,"® , Febreze ® ,",", Febreze ®","® , Febreze","fairy ® , Febreze",", fairy ® , Febreze","Febreze ® ,","Febreze ® , gain","Febreze ® , gain ®"
http://jenesaispop.com/2014/10/27/207459/diplo-y-skrillex-estrenan-inedito-con-alunageorge/,jenesaispop.com,2014-10-27,===NONE===,Febreze/NP00000/febreze,"Uno  de  ellos  se  titula  ' Febreze  '  y  cuenta  con  la  colaboración  del  rapero  2Chainz  (  minuto  13:55  )  ,  el  otro  titulado  '  To  Ü  '  ,  cuenta  con  la  colaboración  de  AlunaGeorge  .",febreze,np00000,febreze,',',Fe,titula,titular,VMIP3S0,se,se,P00CN000,ellos,ellos,PP3MP000,de,de,SPS00,',',Fe,y,y,CC,cuenta,cuenta,NCFS000,con,con,SPS00,la,el,DA0FS0,2014-10-27,2014,2010,VMIP3S0 Fe Febreze Fe CC,Fe Febreze Fe,VMIP3S0 Fe Febreze,P00CN000 VMIP3S0 Fe Febreze,PP3MP000 P00CN000 VMIP3S0 Fe Febreze,Febreze Fe CC,Febreze Fe CC NCFS000,Febreze Fe CC NCFS000 SPS00,titular ' Febreze ' y,' Febreze ',titular ' Febreze,se titular ' Febreze,ellos se titular ' Febreze,Febreze ' y,Febreze ' y cuenta,Febreze ' y cuenta con
http://www.prnewswire.co.uk/news-releases/oral-b-presenta-una-nueva-aplicacion-tecnologica-en-el-congreso-mundial-movil-2015-294609191.html,prnewswire.co.uk,2015-03-02,===NONE===,Febreze/NP00000/febreze,"La  compañía  tiene  una  de  las  carteras  más  sólidas  de  marcas  respetadas  ,  de  calidad  y  gran  liderazgo  ,  entre  ellas  Always  ®  ,  Ambi  Pur  ®  ,  Ariel  ®  ,  Bounty  ®  ,  Charmin  ®  ,  Crest  ®  ,  Dawn  ®  ,  Downy  ®  ,  Duracell  ®  ,  Fairy  ®  , Febreze  ®  ,  Gain  ®  ,  Gillette  ®  ,  Head  &  Shoulders  ®  ,  Lenor  ®  ,  Olay  ®  ,  Oral-B  ®  ,  Pampers  ®  ,  Pantene  ®  ,  SK-II  ®  ,  Tide  ®  ,  Vicks  ®  ,  Wella  ®  y  Whisper  ®  .",febreze,np00000,febreze,",",",",Fc,®,®,Fz,Fairy,fairy,NP00000,",",",",Fc,®,®,Fz,®,®,Fz,",",",",Fc,Gain,gain,NP00000,®,®,Fz,",",",",Fc,2015-03-02,2015,2010,Fz Fc Febreze Fz Fc,Fc Febreze Fz,Fz Fc Febreze,NP00000 Fz Fc Febreze,Fc NP00000 Fz Fc Febreze,Febreze Fz Fc,Febreze Fz Fc NP00000,Febreze Fz Fc NP00000 Fz,"® , Febreze ® ,",", Febreze ®","® , Febreze","fairy ® , Febreze",", fairy ® , Febreze","Febreze ® ,","Febreze ® , gain","Febreze ® , gain ®"
