url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://ecodiario.eleconomista.es/espana/noticias/5608382/03/14/La-I-Fira-de-Empleo-PalmaJOB-abrira-un-espacio-para-el-contacto-directo-con-47-empresas-sesiones-de-coaching-y-talleres.html,eleconomista.es,2014-03-10,Spain,Flunch/NP00000/flunch,Economía  /  Empresas  .  -  Agapes  Restauration  abrirá  veinticinco Flunch  Café  en  los  próximos  tres  años  (  25/02  ),flunch,np00000,flunch,veinticinco,25,Z,abrirá,abrir,VMIF3S0,Restauration,restauration,NP00000,Agapes,agapes,NP00000,-,-,Fg,Café,café,NP00000,en,en,SPS00,los,el,DA0MP0,próximos,próximo,AQ0MP0,tres,3,Z,2014-03-10,2014,2010,VMIF3S0 Z Flunch NP00000 SPS00,Z Flunch NP00000,VMIF3S0 Z Flunch,NP00000 VMIF3S0 Z Flunch,NP00000 NP00000 VMIF3S0 Z Flunch,Flunch NP00000 SPS00,Flunch NP00000 SPS00 DA0MP0,Flunch NP00000 SPS00 DA0MP0 AQ0MP0,abrir 25 Flunch café en,25 Flunch café,abrir 25 Flunch,restauration abrir 25 Flunch,agapes restauration abrir 25 Flunch,Flunch café en,Flunch café en el,Flunch café en el próximo
http://www.elnuevoherald.com/2014/05/18/1751130/en-guerra-contra-las-plagas-de.html#storylink%3Drss,elnuevoherald.com,2014-05-19,United States,UFLunchBugs/NP00000/uflunchbugs,"Desde  el  mediodía  a  la  1:00  p  .  m  .  del  miércoles  ,  tambien  pueden  usar  la  etiqueta  # UFLunchBugs  para  hacer  preguntas  sobre  plagas  y  otros  insectos  .",uflunchbugs,np00000,uflunchbugs,#,#,Fz,etiqueta,etiqueta,NCFS000,la,el,DA0FS0,usar,usar,VMN0000,pueden,poder,VMIP3P0,para,para,SPS00,hacer,hacer,VMN0000,preguntas,pregunta,NCFP000,sobre,sobre,SPS00,plagas,plaga,NCFP000,2014-05-19,2014,2010,NCFS000 Fz Flunch SPS00 VMN0000,Fz Flunch SPS00,NCFS000 Fz Flunch,DA0FS0 NCFS000 Fz Flunch,VMN0000 DA0FS0 NCFS000 Fz Flunch,Flunch SPS00 VMN0000,Flunch SPS00 VMN0000 NCFP000,Flunch SPS00 VMN0000 NCFP000 SPS00,etiqueta # Flunch para hacer,# Flunch para,etiqueta # Flunch,el etiqueta # Flunch,usar el etiqueta # Flunch,Flunch para hacer,Flunch para hacer pregunta,Flunch para hacer pregunta sobre
http://www.eleconomista.es/economia/noticias/6053064/09/14/El-dueno-de-los-restaurantes-Flunch-presenta-un-ERE-para-70-empleados-el-31-de-la-plantilla.html,eleconomista.es,2014-09-04,Spain,Flunch/NP00000/flunch,"<doc uri=http://www.eleconomista.es/economia/noticias/6053064/09/14/El-dueno-de-los-restaurantes-Flunch-presenta-un-ERE-para-70-empleados-el-31-de-la-plantilla.html website=eleconomista.es date=2014-09-04 source_country=Spain> /el/DA0MS0 /dueño/NCMS000 /de/SPS00 /el/DA0MP0 /restaurante/NCMP000 Flunch  presenta  un  ERE  para  70  empleados  ,  el  31  %  de  la  plantilla",flunch,np00000,flunch,restaurantes,restaurante,NCMP000,los,el,DA0MP0,de,de,SPS00,dueño,dueño,NCMS000,El,el,DA0MS0,presenta,presentar,VMIP3S0,un,uno,DI0MS0,ERE,ere,NP00000,para,para,SPS00,70,70,Z,2014-09-04,2014,2010,DA0MP0 NCMP000 Flunch VMIP3S0 DI0MS0,NCMP000 Flunch VMIP3S0,DA0MP0 NCMP000 Flunch,SPS00 DA0MP0 NCMP000 Flunch,NCMS000 SPS00 DA0MP0 NCMP000 Flunch,Flunch VMIP3S0 DI0MS0,Flunch VMIP3S0 DI0MS0 NP00000,Flunch VMIP3S0 DI0MS0 NP00000 SPS00,el restaurante Flunch presentar uno,restaurante Flunch presentar,el restaurante Flunch,de el restaurante Flunch,dueño de el restaurante Flunch,Flunch presentar uno,Flunch presentar uno ere,Flunch presentar uno ere para
http://www.eleconomista.es/economia/noticias/6053064/09/14/El-dueno-de-los-restaurantes-Flunch-presenta-un-ERE-para-70-empleados-el-31-de-la-plantilla.html,eleconomista.es,2014-09-04,Spain,Flunch/NP00000/flunch,"El  grupo  Agapes  Restauración  ,  propietario  de  los  restaurantes Flunch  ,  ha  presentado  un  Expediente  de  Regulación  de  Empleo  (  ERE  )  ,  que  afectará  a  70  trabajadores  ,  el  31  %  de  la  plantilla  ,  integrada  por  un  total  de  224  empleados  ,  al  tiempo  que  planea  el  cierre  de  varios  locales  ,  según  han  informado  a  Europa  Press  en  fuentes  sindicales  .",flunch,np00000,flunch,restaurantes,restaurante,NCMP000,los,el,DA0MP0,de,de,SPS00,propietario,propietario,NCMS000,",",",",Fc,",",",",Fc,ha,haber,VAIP3S0,presentado,presentar,VMP00SM,un,uno,DI0MS0,Expediente,expediente,NP00000,2014-09-04,2014,2010,DA0MP0 NCMP000 Flunch Fc VAIP3S0,NCMP000 Flunch Fc,DA0MP0 NCMP000 Flunch,SPS00 DA0MP0 NCMP000 Flunch,NCMS000 SPS00 DA0MP0 NCMP000 Flunch,Flunch Fc VAIP3S0,Flunch Fc VAIP3S0 VMP00SM,Flunch Fc VAIP3S0 VMP00SM DI0MS0,"el restaurante Flunch , haber","restaurante Flunch ,",el restaurante Flunch,de el restaurante Flunch,propietario de el restaurante Flunch,"Flunch , haber","Flunch , haber presentar","Flunch , haber presentar uno"
http://economia.elpais.com/economia/2014/09/24/actualidad/1411553562_188988.html,elpais.com,2014-09-25,Spain,Flunch/NP00000/flunch,"Hace  unas  semanas  ,  quien  anunciaba  el  cierre  de  varios  de  sus  establecimientos  era Flunch  ,  la  cadena  de  locales  de  comida  de  Alcampo  ,  con  el  consecuente  ERE  .",flunch,np00000,flunch,era,ser,VSII1S0,establecimientos,establecimiento,NCMP000,sus,su,DP3CP0,de,de,SPS00,varios,varios,DI0MP0,",",",",Fc,la,el,DA0FS0,cadena,cadena,NCFS000,de,de,SPS00,locales,local,NCMP000,2014-09-25,2014,2010,NCMP000 VSII1S0 Flunch Fc DA0FS0,VSII1S0 Flunch Fc,NCMP000 VSII1S0 Flunch,DP3CP0 NCMP000 VSII1S0 Flunch,SPS00 DP3CP0 NCMP000 VSII1S0 Flunch,Flunch Fc DA0FS0,Flunch Fc DA0FS0 NCFS000,Flunch Fc DA0FS0 NCFS000 SPS00,"establecimiento ser Flunch , el","ser Flunch ,",establecimiento ser Flunch,su establecimiento ser Flunch,de su establecimiento ser Flunch,"Flunch , el","Flunch , el cadena","Flunch , el cadena de"
http://ecodiario.eleconomista.es/futbol/noticias/6158438/10/14/Cristiano-Ronaldo-avanza-a-pasos-agigantados-a-por-su-tercer-Balon-de-Oro.html,eleconomista.es,2014-10-15,Spain,Flunchal/NP00000/flunchal,"Al  ritmo  que  sigue  el  de Flunchal  ,  el  tercero  está  a  punto  de  caer  .",flunchal,np00000,flunchal,de,de,SPS00,el,el,DA0MS0,sigue,seguir,VMIP3S0,que,que,PR0CN000,ritmo,ritmo,NCMS000,",",",",Fc,el,el,DA0MS0,tercero,3,AO0MS0,está,estar,VAIP3S0,a,a,SPS00,2014-10-15,2014,2010,DA0MS0 SPS00 Flunch Fc DA0MS0,SPS00 Flunch Fc,DA0MS0 SPS00 Flunch,VMIP3S0 DA0MS0 SPS00 Flunch,PR0CN000 VMIP3S0 DA0MS0 SPS00 Flunch,Flunch Fc DA0MS0,Flunch Fc DA0MS0 AO0MS0,Flunch Fc DA0MS0 AO0MS0 VAIP3S0,"el de Flunch , el","de Flunch ,",el de Flunch,seguir el de Flunch,que seguir el de Flunch,"Flunch , el","Flunch , el 3","Flunch , el 3 estar"
http://www.everardoherrera.com/index.php/futbol-en-el-mundo/10869-psg-ofrece-125-millones-de-euros-por-cristiano-ronaldo,everardoherrera.com,2015-05-23,===NONE===,Flunchal/NP00000/flunchal,"Cierto  es  que  en  los  últimos  días  Jonathan  Barnett  se  ha  reunido  con  el  club  para  presionar  y  dejar  entrever  que  su  futbolista  desearía  salir  del  Bernabéu  si  realmente  no  le  quieren  ,  pero  no  menos  cierto  es  que  ,  a  día  de  hoy  ,  hay  dudas  sobre  quién  es  mejor  poner  en  el  mercado  ,  si  al  de  Cardiff  o  al  de Flunchal  .",flunchal,np00000,flunchal,de,de,SPS00,al,a+el,SPS00+DA0MS0,o,o,CC,Cardiff,cardiff,NP00000,de,de,SPS00,.,.,Fp,,,,,,,,,,,,,2015-05-23,2015,2010,,SPS00 Flunch Fp,SPS00+DA0MS0 SPS00 Flunch,CC SPS00+DA0MS0 SPS00 Flunch,NP00000 CC SPS00+DA0MS0 SPS00 Flunch,,,,,de Flunch .,a+el de Flunch,o a+el de Flunch,cardiff o a+el de Flunch,,,
http://ecodiario.eleconomista.es/futbol/noticias/6738707/05/15/Los-10-secretos-del-Real-Madrid-que-desvela-la-pelicula-En-el-Corazon-de-la-Decima.html,eleconomista.es,2015-05-25,Spain,Flunchal/NP00000/flunchal,"Cristiano  Ronaldo  ,  aunque  nacido  en Flunchal  ,  en  Madeira  ,  se  crió  en  Lisboa  ,  donde  creció  futbolísticamente  hablando  .",flunchal,np00000,flunchal,en,en,SPS00,nacido,nacer,VMP00SM,aunque,aunque,CC,",",",",Fc,Ronaldo,ronaldo,NP00000,",",",",Fc,en,en,SPS00,Madeira,madeira,NP00000,",",",",Fc,se,se,P00CN000,2015-05-25,2015,2010,VMP00SM SPS00 Flunch Fc SPS00,SPS00 Flunch Fc,VMP00SM SPS00 Flunch,CC VMP00SM SPS00 Flunch,Fc CC VMP00SM SPS00 Flunch,Flunch Fc SPS00,Flunch Fc SPS00 NP00000,Flunch Fc SPS00 NP00000 Fc,"nacer en Flunch , en","en Flunch ,",nacer en Flunch,aunque nacer en Flunch,", aunque nacer en Flunch","Flunch , en","Flunch , en madeira","Flunch , en madeira ,"
http://www.andaluciainformacionweb.com/andalucia/513343/detenidos-siete-presuntos-miembros-de-una-organizacion-que-robaba-cable-de-cobre-en-instalaciones-ferroviarias/,andaluciainformacionweb.com,2015-06-16,Spain,Flunchal/NP00000/flunchal,"La  Guardia  Civil  en  el  transcurso  de  la  operación  ' Flunchal  '  ,  desarrollada  en  las  provincias  de  Córdoba  y  Sevilla  ,  ha  desarticulado  una  supuesta  organización  criminal  compuesta  por  siete  personas  ,  de  edades  comprendidas  entre  los  25  y  los  45  años  y  la  mayoría  de  ellas  de  origen  rumano  ,  conocidos  por  sus  amplios  antecedentes  policiales  y  especializados  en  el  robo  con  fuerza  en  las  cosas  de  cableado  de  cobre  en  instalaciones  ferroviarias  de  ADIF  ,  plantas  solares  y  fotovoltaicas  .",flunchal,np00000,flunchal,',',Fe,operación,operación,NCFS000,la,el,DA0FS0,de,de,SPS00,transcurso,transcurso,NCMS000,',',Fe,",",",",Fc,desarrollada,desarrollar,VMP00SF,en,en,SPS00,las,el,DA0FP0,2015-06-16,2015,2010,NCFS000 Fe Flunch Fe Fc,Fe Flunch Fe,NCFS000 Fe Flunch,DA0FS0 NCFS000 Fe Flunch,SPS00 DA0FS0 NCFS000 Fe Flunch,Flunch Fe Fc,Flunch Fe Fc VMP00SF,Flunch Fe Fc VMP00SF SPS00,"operación ' Flunch ' ,",' Flunch ',operación ' Flunch,el operación ' Flunch,de el operación ' Flunch,"Flunch ' ,","Flunch ' , desarrollar","Flunch ' , desarrollar en"
http://www.andaluciainformacionweb.com/andalucia/513343/detenidos-siete-presuntos-miembros-de-una-organizacion-que-robaba-cable-de-cobre-en-instalaciones-ferroviarias/,andaluciainformacionweb.com,2015-06-16,Spain,Flunchal/NP00000/flunchal,"Así  las  cosas  ,  la  operación  ' Flunchal  '  continúa  abierta  ,  por  lo  que  no  se  descartan  nuevas  detenciones  e  imputaciones  .",flunchal,np00000,flunchal,',',Fe,operación,operación,NCFS000,la,el,DA0FS0,",",",",Fc,cosas,cosa,NCFP000,',',Fe,continúa,continuar,VMIP3S0,abierta,abrir,VMP00SF,",",",",Fc,por,por,SPS00,2015-06-16,2015,2010,NCFS000 Fe Flunch Fe VMIP3S0,Fe Flunch Fe,NCFS000 Fe Flunch,DA0FS0 NCFS000 Fe Flunch,Fc DA0FS0 NCFS000 Fe Flunch,Flunch Fe VMIP3S0,Flunch Fe VMIP3S0 VMP00SF,Flunch Fe VMIP3S0 VMP00SF Fc,operación ' Flunch ' continuar,' Flunch ',operación ' Flunch,el operación ' Flunch,", el operación ' Flunch",Flunch ' continuar,Flunch ' continuar abrir,"Flunch ' continuar abrir ,"
