url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://periodicodigital.com.mx/notas/industria_del_juguete_tiene_altas_expectativas_en_el_dia_de_reyes,periodicodigital.com.mx,2014-01-02,Mexico,Furby/NP00000/furby,"De  acuerdo  al  análisis  realizado  por  de  Walmart  México  y  Centroamérica  ,  las  preferencias  en  cuanto  a  juguetes  de  marca  para  esta  temporada  incluyen  las  figuras  de  acción  de  Marvel  ,  las  interactivas Furby  ,  las  muñecas  Monster  High  ,  la  tradicional  Barbie  ,  figuras  de  acción  de  Max  Steel  ,  paquetes  de  cinco  Hot  Wheels  ,  muñeca  Esquetria  Girl  y  la  figura  interactiva  Anna  Banana  .",furby,np00000,furby,interactivas,interactivo,AQ0FP0,las,el,DA0FP0,",",",",Fc,Marvel,marvel,NP00000,de,de,SPS00,",",",",Fc,las,el,DA0FP0,muñecas,muñeca,NCFP000,Monster,monster,NP00000,High,high,NP00000,2014-01-02,2014,2010,DA0FP0 AQ0FP0 Furby Fc DA0FP0,AQ0FP0 Furby Fc,DA0FP0 AQ0FP0 Furby,Fc DA0FP0 AQ0FP0 Furby,NP00000 Fc DA0FP0 AQ0FP0 Furby,Furby Fc DA0FP0,Furby Fc DA0FP0 NCFP000,Furby Fc DA0FP0 NCFP000 NP00000,"el interactivo Furby , el","interactivo Furby ,",el interactivo Furby,", el interactivo Furby","marvel , el interactivo Furby","Furby , el","Furby , el muñeca","Furby , el muñeca monster"
http://www.farodevigo.es/portada-pontevedra/2014/01/04/caza-peluches-peppa-pig-violetta/942114.html?utm_medium=rss,farodevigo.es,2014-01-04,Spain,Furbys/NP00000/furbys,"Otros  de  los  juguetes  más  demandados  son  la  ballena  Blu  Blu  ,  el  Gastón  Cabezón  ,  el  camión  de  las  tortugas  Ninja  ,  el  hada  voladora  Flying  Fairy  ,  los  juegos  Hedbanz  ,  los  juegos  Dragons  ,  el  Peluche  Pou  o  los  míticos Furbys  que  regresan  con  fuerza  tras  triunfar  ya  con  los  niños  de  la  década  de  los  noventa  .",furbys,np00000,furbys,míticos,mítico,AQ0MP0,los,el,DA0MP0,o,o,CC,Pou,pou,NP00000,Peluche,peluche,NP00000,que,que,PR0CN000,regresan,regresar,VMIP3P0,con,con,SPS00,fuerza,fuerza,NCFS000,tras,tras,SPS00,2014-01-04,2014,2010,DA0MP0 AQ0MP0 Furby PR0CN000 VMIP3P0,AQ0MP0 Furby PR0CN000,DA0MP0 AQ0MP0 Furby,CC DA0MP0 AQ0MP0 Furby,NP00000 CC DA0MP0 AQ0MP0 Furby,Furby PR0CN000 VMIP3P0,Furby PR0CN000 VMIP3P0 SPS00,Furby PR0CN000 VMIP3P0 SPS00 NCFS000,el mítico Furby que regresar,mítico Furby que,el mítico Furby,o el mítico Furby,pou o el mítico Furby,Furby que regresar,Furby que regresar con,Furby que regresar con fuerza
http://www.que.es/ultimas-noticias/sociedad/201401040930-regalos-para-reyes-peppa-minions.html,que.es,2014-01-04,Spain,FURBY/NP00000/furby,8  -  NO  SIN  MI FURBY  :  Es  hora  de  cambiar  la  idea  que  teníamos  de  unos  entrañables  peluches  .,furby,np00000,furby,MI,mi,NP00000,SIN,sin,NP00000,NO,no,NP00000,-,-,Fg,8,8,Z,:,:,Fd,Es,ser,VSIP3S0,hora,hora,NCFS000,de,de,SPS00,cambiar,cambiar,VMN0000,2014-01-04,2014,2010,NP00000 NP00000 Furby Fd VSIP3S0,NP00000 Furby Fd,NP00000 NP00000 Furby,NP00000 NP00000 NP00000 Furby,Fg NP00000 NP00000 NP00000 Furby,Furby Fd VSIP3S0,Furby Fd VSIP3S0 NCFS000,Furby Fd VSIP3S0 NCFS000 SPS00,sin mi Furby : ser,mi Furby :,sin mi Furby,no sin mi Furby,- no sin mi Furby,Furby : ser,Furby : ser hora,Furby : ser hora de
http://elpais.com/elpais/2014/01/02/eps/1388682167_231327.html,elpais.com,2014-01-04,Spain,Furby/NP00000/furby,Luego  vendrá Furby  y  Pokémon  y  sus  350  personajes  .,furby,np00000,furby,vendrá,venir,VMIF3S0,Luego,luego,RG,,,,,,,,,,y,y,CC,Pokémon,pokémon,NP00000,y,y,CC,sus,su,DP3CP0,350,350,Z,2014-01-04,2014,2010,RG VMIF3S0 Furby CC NP00000,VMIF3S0 Furby CC,RG VMIF3S0 Furby,,,Furby CC NP00000,Furby CC NP00000 CC,Furby CC NP00000 CC DP3CP0,luego venir Furby y pokémon,venir Furby y,luego venir Furby,,,Furby y pokémon,Furby y pokémon y,Furby y pokémon y su
http://www.elcorreo.com/alava/v/20140105/guipuzcoa/vendedores-juguetes-aprecian-perdida-20140105.html?utm_source=elcorreodigital.com&utm_medium=rss&utm_content=alava-rss&utm_campaign=traffic-rss,elcorreo.com,2014-01-04,Spain,Furby/NP00000/furby,"Pero  lo  que  ,  verdaderamente  ,  ha  causado  furor  ha  sido  el  muñeco Furby  ,  una  nueva  pesadilla  para  los  padres  que  se  lanzó  ,  primero  ,  en  Estados  Unidos  y  se  ha  convertido  en  el  boom  de  las  ventas  en  estas  Navidades  .",furby,np00000,furby,muñeco,muñeco,NCMS000,el,el,DA0MS0,sido,ser,VSP00SM,ha,haber,VAIP3S0,furor,furor,NCMS000,",",",",Fc,una,uno,DI0FS0,nueva,nuevo,AQ0FS0,pesadilla,pesadilla,NCFS000,para,para,SPS00,2014-01-04,2014,2010,DA0MS0 NCMS000 Furby Fc DI0FS0,NCMS000 Furby Fc,DA0MS0 NCMS000 Furby,VSP00SM DA0MS0 NCMS000 Furby,VAIP3S0 VSP00SM DA0MS0 NCMS000 Furby,Furby Fc DI0FS0,Furby Fc DI0FS0 AQ0FS0,Furby Fc DI0FS0 AQ0FS0 NCFS000,"el muñeco Furby , uno","muñeco Furby ,",el muñeco Furby,ser el muñeco Furby,haber ser el muñeco Furby,"Furby , uno","Furby , uno nuevo","Furby , uno nuevo pesadilla"
http://www.elcorreo.com/alava/v/20140105/guipuzcoa/vendedores-juguetes-aprecian-perdida-20140105.html?utm_source=elcorreodigital.com&utm_medium=rss&utm_content=alava-rss&utm_campaign=traffic-rss,elcorreo.com,2014-01-04,Spain,Furby/NP00000/furby,"Es Furby  ,  una  nueva  generación  de  mascotas  interactivas  ,  que  habla  su  propio  idioma  y  puede  aprender  gradualmente  hasta  un_centenar  de  palabras  en  inglés  con  la  ayuda  de  su  pequeño  amo  .",furby,np00000,furby,Es,ser,VSIP3S0,,,,,,,,,,,,,",",",",Fc,una,uno,DI0FS0,nueva,nuevo,AQ0FS0,generación,generación,NCFS000,de,de,SPS00,2014-01-04,2014,2010,,VSIP3S0 Furby Fc,,,,Furby Fc DI0FS0,Furby Fc DI0FS0 AQ0FS0,Furby Fc DI0FS0 AQ0FS0 NCFS000,,"ser Furby ,",,,,"Furby , uno","Furby , uno nuevo","Furby , uno nuevo generación"
http://www.elcomercio.es/v/20140105/aviles/cine-television-marcan-tendencias-20140105.html?utm_source=elcomerciodigital.com&utm_medium=rss&utm_content=aviles-rss&utm_campaign=traffic-rss,elcomercio.es,2014-01-05,Spain,Furby/NP00000/furby,"Varios  juguetes  aparecen  en  lista  de  los  más  solicitados  por  los  pequeños  :  los  muñecos Furby  ,  Desafío  Champion  ;  los  Basurillas  (  especialmente  entre  los  niños  )  y  todos  los  productos  relacionados  con  la  serie  '  Violeta  '  y  la  película  '  Frozen  '  ,  donde  las  muñecas  de  sus  protagonistas  se  han  agotado  en  diferentes  ocasiones  .  ""  A  nosotros  también  nos  los  piden  ,  aunque  no  los  tengamos  ""  ,  comenta  Mariano  Noriega  .",furby,np00000,furby,muñecos,muñeco,NCMP000,los,el,DA0MP0,:,:,Fd,pequeños,pequeño,AQ0MP0,los,el,DA0MP0,",",",",Fc,Desafío,desafío,NP00000,Champion,champion,NP00000,;,;,Fx,los,el,DA0MP0,2014-01-05,2014,2010,DA0MP0 NCMP000 Furby Fc NP00000,NCMP000 Furby Fc,DA0MP0 NCMP000 Furby,Fd DA0MP0 NCMP000 Furby,AQ0MP0 Fd DA0MP0 NCMP000 Furby,Furby Fc NP00000,Furby Fc NP00000 NP00000,Furby Fc NP00000 NP00000 Fx,"el muñeco Furby , desafío","muñeco Furby ,",el muñeco Furby,: el muñeco Furby,pequeño : el muñeco Furby,"Furby , desafío","Furby , desafío champion","Furby , desafío champion ;"
http://www.diariovasco.com/v/20140105/bidasoa/regalo-para-triunfar-20140105.html?utm_source=diariovasco.com&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,diariovasco.com,2014-01-05,Spain,Furbys/NP00000/furbys,"Se  incluyen  aquí  otros  productos  estrella  de  estas  Navidades  como  ""  los Furbys  y  un  juego  de  mesa  que  se  llama  '  Mentiroso  '  ...  ""  Para  los  que  son  algo  mayores  ,  ""  han  funcionado  las  tablet  ,  para  chicos  y  chicas  ,  más  que  consolas  y  otras  cosas  ""  .",furbys,np00000,furbys,los,el,DA0MP0,"""","""",Fe,como,como,CS,Navidades,navidades,NP00000,estas,este,DD0FP0,y,y,CC,un,uno,DI0MS0,juego,juego,NCMS000,de,de,SPS00,mesa,mesa,NCFS000,2014-01-05,2014,2010,Fe DA0MP0 Furby CC DI0MS0,DA0MP0 Furby CC,Fe DA0MP0 Furby,CS Fe DA0MP0 Furby,NP00000 CS Fe DA0MP0 Furby,Furby CC DI0MS0,Furby CC DI0MS0 NCMS000,Furby CC DI0MS0 NCMS000 SPS00,""" el Furby y uno",el Furby y,""" el Furby","como "" el Furby","navidades como "" el Furby",Furby y uno,Furby y uno juego,Furby y uno juego de
http://www.diariodeibiza.es/pitiuses-balears/2014/01/05/carteros-deseos/666765.html?utm_source=rss,diariodeibiza.es,2014-01-05,Spain,Furby/NP00000/furby,"La  palabra  más  escuchada  ayer  por  los  pajes  de  Melchor  ,  Gaspar  y  Baltasar  fue  ́ Furby  ́  .",furby,np00000,furby,́,́,Fz,fue,ser,VSIS3S0,Baltasar,baltasar,NP00000,y,y,CC,Gaspar,gaspar,NP00000,́,́,Fz,.,.,Fp,,,,,,,,,,2014-01-05,2014,2010,VSIS3S0 Fz Furby Fz Fp,Fz Furby Fz,VSIS3S0 Fz Furby,NP00000 VSIS3S0 Fz Furby,CC NP00000 VSIS3S0 Fz Furby,Furby Fz Fp,,,ser ́ Furby ́ .,́ Furby ́,ser ́ Furby,baltasar ser ́ Furby,y baltasar ser ́ Furby,Furby ́ .,,
http://www.diariodeibiza.es/pitiuses-balears/2014/01/05/carteros-deseos/666765.html?utm_source=rss,diariodeibiza.es,2014-01-05,Spain,Furbys/NP00000/furbys,"Decenas  de  niños  se  agolpan  alrededor  de  la  mesa  ,  coloreando  las  figuras  de  sus  Majestades  de  Oriente  y  llenando  las  líneas  con  los  juguetes  y  aparatos  tecnológicos  que  esperan  ver  mañana  por  la  mañana  junto  a  sus  zapatos  .  ""  Este  año  todos  nos  piden Furbys  ""  ,  comenta  el  cartero  real  de  Melchor  ,  que  escucha  atento  a  los  pequeños  que  le  leen  sus  cartas  . </doc>",furbys,np00000,furbys,piden,pedir,VMIP3P0,nos,nos,PP1CP000,todos,todo,PI0MP000,año,año,NCMS000,Este,este,DD0MS0,"""","""",Fe,",",",",Fc,comenta,comentar,VMIP3S0,el,el,DA0MS0,cartero,cartero,NCMS000,2014-01-05,2014,2010,PP1CP000 VMIP3P0 Furby Fe Fc,VMIP3P0 Furby Fe,PP1CP000 VMIP3P0 Furby,PI0MP000 PP1CP000 VMIP3P0 Furby,NCMS000 PI0MP000 PP1CP000 VMIP3P0 Furby,Furby Fe Fc,Furby Fe Fc VMIP3S0,Furby Fe Fc VMIP3S0 DA0MS0,"nos pedir Furby "" ,","pedir Furby """,nos pedir Furby,todo nos pedir Furby,año todo nos pedir Furby,"Furby "" ,","Furby "" , comentar","Furby "" , comentar el"
