url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://es.noticias.yahoo.com/ferrer-presenta-gelocatil-granulado-ni%C3%B1os-a%C3%B1os-112927563.html,yahoo.com,2014-01-28,United States,Gelocatil/NP00000/gelocatil,<doc uri=http://es.noticias.yahoo.com/ferrer-presenta-gelocatil-granulado-ni%C3%B1os-a%C3%B1os-112927563.html website=yahoo.com date=2014-01-28 source_country=United States> /ferrer/NP00000 /presentar/VMIP3S0 /el/DA0MS0 /nuevo/AQ0MS0 Gelocatil  granulado  para  niños  a  partir  de  cinco  años,gelocatil,np00000,gelocatil,nuevo,nuevo,AQ0MS0,el,el,DA0MS0,presenta,presentar,VMIP3S0,Ferrer,ferrer,NP00000,,,,granulado,granular,VMP00SM,para,para,SPS00,niños,niño,NCMP000,a,a,SPS00,partir,partir,VMN0000,2014-01-28,2014,2010,DA0MS0 AQ0MS0 Gelocatil VMP00SM SPS00,AQ0MS0 Gelocatil VMP00SM,DA0MS0 AQ0MS0 Gelocatil,VMIP3S0 DA0MS0 AQ0MS0 Gelocatil,NP00000 VMIP3S0 DA0MS0 AQ0MS0 Gelocatil,Gelocatil VMP00SM SPS00,Gelocatil VMP00SM SPS00 NCMP000,Gelocatil VMP00SM SPS00 NCMP000 SPS00,el nuevo Gelocatil granular para,nuevo Gelocatil granular,el nuevo Gelocatil,presentar el nuevo Gelocatil,ferrer presentar el nuevo Gelocatil,Gelocatil granular para,Gelocatil granular para niño,Gelocatil granular para niño a
http://es.noticias.yahoo.com/ferrer-presenta-gelocatil-granulado-ni%C3%B1os-a%C3%B1os-112927563.html,yahoo.com,2014-01-28,United States,Gelocatil/NP00000/gelocatil,"La  compañía  químico-farmacéutica  Ferrer  ha  presentado  el  nuevo Gelocatil  granulado  ,  que  es  el  primer  analgésico  y  antipirético  en  este  formato  ,  indicado  para  niños  a  partir  de  cinco  años  .",gelocatil,np00000,gelocatil,nuevo,nuevo,AQ0MS0,el,el,DA0MS0,presentado,presentar,VMP00SM,ha,haber,VAIP3S0,Ferrer,ferrer,NP00000,granulado,granular,VMP00SM,",",",",Fc,que,que,PR0CN000,es,ser,VSIP3S0,el,el,DA0MS0,2014-01-28,2014,2010,DA0MS0 AQ0MS0 Gelocatil VMP00SM Fc,AQ0MS0 Gelocatil VMP00SM,DA0MS0 AQ0MS0 Gelocatil,VMP00SM DA0MS0 AQ0MS0 Gelocatil,VAIP3S0 VMP00SM DA0MS0 AQ0MS0 Gelocatil,Gelocatil VMP00SM Fc,Gelocatil VMP00SM Fc PR0CN000,Gelocatil VMP00SM Fc PR0CN000 VSIP3S0,"el nuevo Gelocatil granular ,",nuevo Gelocatil granular,el nuevo Gelocatil,presentar el nuevo Gelocatil,haber presentar el nuevo Gelocatil,"Gelocatil granular ,","Gelocatil granular , que","Gelocatil granular , que ser"
http://es.noticias.yahoo.com/ferrer-presenta-gelocatil-granulado-ni%C3%B1os-a%C3%B1os-112927563.html,yahoo.com,2014-01-28,United States,Gelocatil/NP00000/gelocatil,"Coincidiendo  con  la  época  de  mayor  prevalencia  de  la  gripe  ,  Ferrer  va  a  comenzar  una  campaña  de  publicidad  en  televisión  para  presentar  el  nuevo Gelocatil  granulado  ,  un  medicamento  que  está  indicado  para  el  tratamiento  sintomático  del  dolor  de  cabeza  (  ocasional  ,  leve  o  moderado  )  ,  dental  ,  muscular  ,  de  espalda  y  de  los  estados  febriles  . </doc>",gelocatil,np00000,gelocatil,nuevo,nuevo,AQ0MS0,el,el,DA0MS0,presentar,presentar,VMN0000,para,para,SPS00,televisión,televisión,NCFS000,granulado,granular,VMP00SM,",",",",Fc,un,uno,DI0MS0,medicamento,medicamento,NCMS000,que,que,PR0CN000,2014-01-28,2014,2010,DA0MS0 AQ0MS0 Gelocatil VMP00SM Fc,AQ0MS0 Gelocatil VMP00SM,DA0MS0 AQ0MS0 Gelocatil,VMN0000 DA0MS0 AQ0MS0 Gelocatil,SPS00 VMN0000 DA0MS0 AQ0MS0 Gelocatil,Gelocatil VMP00SM Fc,Gelocatil VMP00SM Fc DI0MS0,Gelocatil VMP00SM Fc DI0MS0 NCMS000,"el nuevo Gelocatil granular ,",nuevo Gelocatil granular,el nuevo Gelocatil,presentar el nuevo Gelocatil,para presentar el nuevo Gelocatil,"Gelocatil granular ,","Gelocatil granular , uno","Gelocatil granular , uno medicamento"
http://www.diariovasco.com/v/20140226/al-dia-sociedad/consumo-medicamentos-genericos-duplicado-20140226.html?utm_source=diariovasco.com&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,diariovasco.com,2014-02-26,Spain,gelocatil/AQ0CS0/gelocatil,Y  ya  no  solo  está  el  hecho  de  habernos  acostumbrado  a  que  nos  manden  ácido  acetilsalicílico  en  lugar  de  aspirina  o  paracetamol  en  lugar  de gelocatil  .,gelocatil,aq0cs0,gelocatil,de,de,SPS00,lugar,lugar,NCMS000,en,en,SPS00,paracetamol,paracetamol,NCMS000,o,o,CC,.,.,Fp,,,,,,,,,,,,,2014-02-26,2014,2010,,SPS00 Gelocatil Fp,NCMS000 SPS00 Gelocatil,SPS00 NCMS000 SPS00 Gelocatil,NCMS000 SPS00 NCMS000 SPS00 Gelocatil,,,,,de Gelocatil .,lugar de Gelocatil,en lugar de Gelocatil,paracetamol en lugar de Gelocatil,,,
http://sociedad.elpais.com/sociedad/2014/03/18/actualidad/1395178198_215733.html,elpais.com,2014-03-18,Spain,gelocatil/AQ0CS0/gelocatil,"Si  viene  un  paciente  con  un  golpe  no  le  puedes  dar  un gelocatil  ,  has  de  recetárselo  ""  ,  cuenta  el  responsable  de  Atención  Primaria  del  sindicato  médico  CESM  en  Alicante  ,  Víctor  Pedrera  .",gelocatil,aq0cs0,gelocatil,un,uno,DI0MS0,dar,dar,VMN0000,puedes,poder,VMIP2S0,le,le,PP3CSD00,no,no,RN,",",",",Fc,has,haber,VMIP2S0,de,de,SPS00,recetárselo,recetar+se+lo,VMN0000+PP3CN000+PP3CNA00,"""","""",Fe,2014-03-18,2014,2010,VMN0000 DI0MS0 Gelocatil Fc VMIP2S0,DI0MS0 Gelocatil Fc,VMN0000 DI0MS0 Gelocatil,VMIP2S0 VMN0000 DI0MS0 Gelocatil,PP3CSD00 VMIP2S0 VMN0000 DI0MS0 Gelocatil,Gelocatil Fc VMIP2S0,Gelocatil Fc VMIP2S0 SPS00,Gelocatil Fc VMIP2S0 SPS00 VMN0000+PP3CN000+PP3CNA00,"dar uno Gelocatil , haber","uno Gelocatil ,",dar uno Gelocatil,poder dar uno Gelocatil,le poder dar uno Gelocatil,"Gelocatil , haber","Gelocatil , haber de","Gelocatil , haber de recetar+se+lo"
http://www.eleconomista.es/catalunya/noticias/6171248/10/14/Ferrer-invierte-30-millones-en-medicina-personalizada.html,eleconomista.es,2014-10-20,Spain,Gelocatil/NP00000/gelocatil,"Desde  su  fundación  en  1959  ,  la  compañía  controlada  por  la  familia  Ferrer  Salat  ha  estado  siempre  comprometida  con  la  innovación  y  en  2007  adquirió  la  farmacéutica  catalana  Gelos  -  propietaria  del  popular Gelocatil  -  .",gelocatil,np00000,gelocatil,popular,popular,AQ0CS0,del,de+el,SPS00+DA0MS0,propietaria,propietario,AQ0FS0,-,-,Fg,Gelos,gelos,NP00000,-,-,Fg,.,.,Fp,,,,,,,,,,2014-10-20,2014,2010,SPS00+DA0MS0 AQ0CS0 Gelocatil Fg Fp,AQ0CS0 Gelocatil Fg,SPS00+DA0MS0 AQ0CS0 Gelocatil,AQ0FS0 SPS00+DA0MS0 AQ0CS0 Gelocatil,Fg AQ0FS0 SPS00+DA0MS0 AQ0CS0 Gelocatil,Gelocatil Fg Fp,,,de+el popular Gelocatil - .,popular Gelocatil -,de+el popular Gelocatil,propietario de+el popular Gelocatil,- propietario de+el popular Gelocatil,Gelocatil - .,,
http://www.laopinion.es/vida-y-estilo/salud/2015/02/13/ibuprofeno-o-paracetamol-elijo-combatir/590562.html?utm_source=rss,laopinion.es,2015-02-13,Spain,Gelocatil/NP00000/gelocatil,"En  este  caso  ,  las  marcas  comerciales  más  conocidas  son  el Gelocatil  ,  el  Efferalgan  ,  Termalgin  o  Xumadol  ,  mientras  que  en  el  caso  de  los  niños  el  no  menos  conocido  Apiretal  .",gelocatil,np00000,gelocatil,el,el,DA0MS0,son,ser,VSIP3P0,conocidas,conocer,VMP00PF,más,más,RG,comerciales,comercial,AQ0CP0,",",",",Fc,el,el,DA0MS0,Efferalgan,efferalgan,NP00000,",",",",Fc,Termalgin,termalgin,NP00000,2015-02-13,2015,2010,VSIP3P0 DA0MS0 Gelocatil Fc DA0MS0,DA0MS0 Gelocatil Fc,VSIP3P0 DA0MS0 Gelocatil,VMP00PF VSIP3P0 DA0MS0 Gelocatil,RG VMP00PF VSIP3P0 DA0MS0 Gelocatil,Gelocatil Fc DA0MS0,Gelocatil Fc DA0MS0 NP00000,Gelocatil Fc DA0MS0 NP00000 Fc,"ser el Gelocatil , el","el Gelocatil ,",ser el Gelocatil,conocer ser el Gelocatil,más conocer ser el Gelocatil,"Gelocatil , el","Gelocatil , el efferalgan","Gelocatil , el efferalgan ,"
http://economia.elpais.com/economia/2015/03/20/actualidad/1426878194_082781.html?ref=rss&format=simple&link=link,elpais.com,2015-03-23,Spain,Gelocatil/NP00000/gelocatil,"Con  el  tiempo  crecieron  y  pusieron  su  firma  en  medicamentos  como  Almax  ,  Biodramina  o Gelocatil  .",gelocatil,np00000,gelocatil,o,o,CC,Biodramina,biodramina,NP00000,",",",",Fc,Almax,almax,NP00000,como,como,CS,.,.,Fp,,,,,,,,,,,,,2015-03-23,2015,2010,,CC Gelocatil Fp,NP00000 CC Gelocatil,Fc NP00000 CC Gelocatil,NP00000 Fc NP00000 CC Gelocatil,,,,,o Gelocatil .,biodramina o Gelocatil,", biodramina o Gelocatil","almax , biodramina o Gelocatil",,,
http://www.nopuedocreer.com/quelohayaninventado/27168/condones-para-todos-los-gustos-gelocatil-marihuana-beicon-whisky/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BNoPuedoCreerQueLoHayanInventado%2B%2528No%2Bpuedo%2Bcreer%2Bque%2Blo%2Bhayan%2Binventado...%2529,nopuedocreer.com,2015-03-24,===NONE===,Gelocatil/NP00000/gelocatil,"<doc uri=http://www.nopuedocreer.com/quelohayaninventado/27168/condones-para-todos-los-gustos-gelocatil-marihuana-beicon-whisky/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BNoPuedoCreerQueLoHayanInventado%2B%2528No%2Bpuedo%2Bcreer%2Bque%2Blo%2Bhayan%2Binventado...%2529 website=nopuedocreer.com date=2015-03-24 source_country=> /condón/NCMP000 /para/SPS00 /todo/DI0MP0 /el/DA0MP0 /gusto/NCMP000 /:/Fd Gelocatil  ,  Marihuana  ,  Beicon  ,  Whisky  ...",gelocatil,np00000,gelocatil,:,:,Fd,gustos,gusto,NCMP000,los,el,DA0MP0,todos,todo,DI0MP0,para,para,SPS00,",",",",Fc,Marihuana,marihuana,NP00000,",",",",Fc,Beicon,beicon,NP00000,",",",",Fc,2015-03-24,2015,2010,NCMP000 Fd Gelocatil Fc NP00000,Fd Gelocatil Fc,NCMP000 Fd Gelocatil,DA0MP0 NCMP000 Fd Gelocatil,DI0MP0 DA0MP0 NCMP000 Fd Gelocatil,Gelocatil Fc NP00000,Gelocatil Fc NP00000 Fc,Gelocatil Fc NP00000 Fc NP00000,"gusto : Gelocatil , marihuana",": Gelocatil ,",gusto : Gelocatil,el gusto : Gelocatil,todo el gusto : Gelocatil,"Gelocatil , marihuana","Gelocatil , marihuana ,","Gelocatil , marihuana , beicon"
http://www.nopuedocreer.com/quelohayaninventado/27168/condones-para-todos-los-gustos-gelocatil-marihuana-beicon-whisky/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2BNoPuedoCreerQueLoHayanInventado%2B%2528No%2Bpuedo%2Bcreer%2Bque%2Blo%2Bhayan%2Binventado...%2529,nopuedocreer.com,2015-03-24,===NONE===,Gelocatil/NP00000/gelocatil,"Lo  chicos  de  ""  El  Mundo  Today  ""  nos  sorprendían  hoy  con  lo  último  de  Durex  :  los  condones  con Gelocatil  .",gelocatil,np00000,gelocatil,con,con,SPS00,condones,condón,NCMP000,los,el,DA0MP0,:,:,Fd,Durex,durex,NP00000,.,.,Fp,,,,,,,,,,,,,2015-03-24,2015,2010,,SPS00 Gelocatil Fp,NCMP000 SPS00 Gelocatil,DA0MP0 NCMP000 SPS00 Gelocatil,Fd DA0MP0 NCMP000 SPS00 Gelocatil,,,,,con Gelocatil .,condón con Gelocatil,el condón con Gelocatil,: el condón con Gelocatil,,,
