url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=196644,analisisdigital.com.ar,2014-01-02,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,"El  regreso  a  la  actividad  oficial  del  Fantasma  en  el  certamen  será  el  próximo  8  de  enero  ,  cuando  visite  a  Estudiantes  de  Concordia  en  el Gigante_Verde  y  defienda  su  liderazgo  en  la  elite  ,  donde  acumuló  un  récord  de  17  triunfos  sobre  20  presentaciones  .",gigante_verde,np00000_np00000,gigante_verde,el,el,DA0MS0,en,en,SPS00,Concordia,concordia,NP00000,de,de,SPS00,Estudiantes,estudiantes,NP00000,y,y,CC,defienda,defender,VMSP3S0,su,su,DP3CS0,liderazgo,liderazgo,NCMS000,en,en,SPS00,2014-01-02,2014,2010,SPS00 DA0MS0 Gigante verde CC VMSP3S0,DA0MS0 Gigante verde CC,SPS00 DA0MS0 Gigante verde,NP00000 SPS00 DA0MS0 Gigante verde,SPS00 NP00000 SPS00 DA0MS0 Gigante verde,Gigante verde CC VMSP3S0,Gigante verde CC VMSP3S0 DP3CS0,Gigante verde CC VMSP3S0 DP3CS0 NCMS000,en el Gigante verde y defender,el Gigante verde y,en el Gigante verde,concordia en el Gigante verde,de concordia en el Gigante verde,Gigante verde y defender,Gigante verde y defender su,Gigante verde y defender su liderazgo
http://www.concordiadeportes.com.ar/2014/01/02/titi-cortes-vuelve-a-estudiantes/,concordiadeportes.com.ar,2014-01-03,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,"Este  viernes  por  la  mañana  ,  Estudiantes  volverá  a  los  entrenamientos  pensando  en  lo  que  será  su  regreso  a  la  actividad  oficial  cuando  enfrente  en  el Gigante_Verde  a  Regatas  de  Corrientes  el  8  de  enero  y  a  La  Unión  el  10  .",gigante_verde,np00000_np00000,gigante_verde,el,el,DA0MS0,en,en,SPS00,enfrente,enfrentar,VMSP3S0,cuando,cuando,CS,oficial,oficial,AQ0CS0,a,a,SPS00,Regatas,regatas,NP00000,de,de,SPS00,Corrientes,corrientes,NP00000,el,el,DA0MS0,2014-01-03,2014,2010,SPS00 DA0MS0 Gigante verde SPS00 NP00000,DA0MS0 Gigante verde SPS00,SPS00 DA0MS0 Gigante verde,VMSP3S0 SPS00 DA0MS0 Gigante verde,CS VMSP3S0 SPS00 DA0MS0 Gigante verde,Gigante verde SPS00 NP00000,Gigante verde SPS00 NP00000 SPS00,Gigante verde SPS00 NP00000 SPS00 NP00000,en el Gigante verde a regatas,el Gigante verde a,en el Gigante verde,enfrentar en el Gigante verde,cuando enfrentar en el Gigante verde,Gigante verde a regatas,Gigante verde a regatas de,Gigante verde a regatas de corrientes
http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=196688,analisisdigital.com.ar,2014-01-03,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,"El  Verde  volverá  a  jugar  ante  su  gente  en  el Gigante_Verde  el  miércoles  ,  a  partir  de  las  22  ,  cuando  reciba  al  actual  campeón  ,  Regatas  de  Corrientes  ,  en  un  encuentro  que  será  televisado  para  todo  el  país  por  la  señal  TyC  Sports  . </doc>",gigante_verde,np00000_np00000,gigante_verde,el,el,DA0MS0,en,en,SPS00,gente,gente,NCFS000,su,su,DP3CS0,ante,ante,SPS00,el,el,DA0MS0,miércoles,miércoles,NCMN000,",",",",Fc,a,a,SPS00,partir,partir,VMN0000,2014-01-03,2014,2010,SPS00 DA0MS0 Gigante verde DA0MS0 NCMN000,DA0MS0 Gigante verde DA0MS0,SPS00 DA0MS0 Gigante verde,NCFS000 SPS00 DA0MS0 Gigante verde,DP3CS0 NCFS000 SPS00 DA0MS0 Gigante verde,Gigante verde DA0MS0 NCMN000,Gigante verde DA0MS0 NCMN000 Fc,Gigante verde DA0MS0 NCMN000 Fc SPS00,en el Gigante verde el miércoles,el Gigante verde el,en el Gigante verde,gente en el Gigante verde,su gente en el Gigante verde,Gigante verde el miércoles,"Gigante verde el miércoles ,","Gigante verde el miércoles , a"
http://www.unoentrerios.com.ar/deportes/Sionista-comienza-el-ao-con-la-chapa-de-favorito--20140108-0016.html,unoentrerios.com.ar,2014-01-08,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,"Estudiantes  recibirÃ  ¡  a  Regatas  Corrientes  desde  las  22  en  el  estadio Gigante_Verde  ,  con  televisaciÃ3n  de  TyC  Sports  .",gigante_verde,np00000_np00000,gigante_verde,estadio,estadio,NCMS000,el,el,DA0MS0,en,en,SPS00,22,22,Z,las,el,DA0FP0,",",",",Fc,con,con,SPS00,televisaciÃ3n,televisaciÃ3n,Z,de,de,SPS00,TyC,tyc,NP00000,2014-01-08,2014,2010,DA0MS0 NCMS000 Gigante verde Fc SPS00,NCMS000 Gigante verde Fc,DA0MS0 NCMS000 Gigante verde,SPS00 DA0MS0 NCMS000 Gigante verde,Z SPS00 DA0MS0 NCMS000 Gigante verde,Gigante verde Fc SPS00,Gigante verde Fc SPS00 Z,Gigante verde Fc SPS00 Z SPS00,"el estadio Gigante verde , con","estadio Gigante verde ,",el estadio Gigante verde,en el estadio Gigante verde,22 en el estadio Gigante verde,"Gigante verde , con","Gigante verde , con televisaciÃ3n","Gigante verde , con televisaciÃ3n de"
http://www.unoentrerios.com.ar/deportes/Sionista-comienza-el-ao-con-la-chapa-de-favorito--20140108-0016.html,unoentrerios.com.ar,2014-01-08,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,"Regatas  y  Estudiantes  ya  se  enfrentaron  en  el  certamen  en  dos  oportunidades  ,  en  la  primera  fase  ,  por  la  cuarta  y  dÃ  ©  cima  segunda  fecha  ,  con  ambos  triunfos  para  el  campeÃ3n  ,  que  en  el  primero  ,  de  local  se  impuso  por  73  a  59  y  el  segundo  ,  disputado  en  un  repleto Gigante_Verde  ,  en  un  partidazo  ,  con  un  ajustado  80  a  76  .",gigante_verde,np00000_np00000,gigante_verde,repleto,repleto,AQ0MS0,un,uno,DI0MS0,en,en,SPS00,disputado,disputar,VMP00SM,",",",",Fc,",",",",Fc,en,en,SPS00,un,uno,DI0MS0,partidazo,partidazo,NCMS000,",",",",Fc,2014-01-08,2014,2010,DI0MS0 AQ0MS0 Gigante verde Fc SPS00,AQ0MS0 Gigante verde Fc,DI0MS0 AQ0MS0 Gigante verde,SPS00 DI0MS0 AQ0MS0 Gigante verde,VMP00SM SPS00 DI0MS0 AQ0MS0 Gigante verde,Gigante verde Fc SPS00,Gigante verde Fc SPS00 DI0MS0,Gigante verde Fc SPS00 DI0MS0 NCMS000,"uno repleto Gigante verde , en","repleto Gigante verde ,",uno repleto Gigante verde,en uno repleto Gigante verde,disputar en uno repleto Gigante verde,"Gigante verde , en","Gigante verde , en uno","Gigante verde , en uno partidazo"
http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=196906,analisisdigital.com.ar,2014-01-08,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,"08/01/2014  -  1  '  23  ""  -  40  Visitas  Liga  Nacional  de  Básquetbol  Estudiantes  de  Concordia  recibe  al  último  campeón  en  el  televisado  Por  la  séptima  fecha  de  la  segunda  fase  de  la  Liga  Nacional  de  Básquetbol  ,  Estudiantes  de  Concordia  será  anfitrión  de  Regatas  Corrientes  ,  último  ganador  de  la  competencia  ,  en  el Gigante_Verde  .",gigante_verde,np00000_np00000,gigante_verde,el,el,DA0MS0,en,en,SPS00,",",",",Fc,competencia,competencia,NCFS000,la,el,DA0FS0,.,.,Fp,,,,,,,,,,,,,2014-01-08,2014,2010,,DA0MS0 Gigante verde Fp,SPS00 DA0MS0 Gigante verde,Fc SPS00 DA0MS0 Gigante verde,NCFS000 Fc SPS00 DA0MS0 Gigante verde,,,,,el Gigante verde .,en el Gigante verde,", en el Gigante verde","competencia , en el Gigante verde",,,
http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=196906,analisisdigital.com.ar,2014-01-08,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,"En  el  Estadio Gigante_Verde  ,  a  partir  de  las  22  horas  y  por  TyCSports  ,  el  conjunto  dirigido  por  Hernán  Laginestra  recibirá  a  Regatas  .",gigante_verde,np00000_np00000,gigante_verde,Estadio,estadio,NP00000,el,el,DA0MS0,En,en,SPS00,,,,,,,",",",",Fc,a,a,SPS00,partir,partir,VMN0000,de,de,SPS00,las,el,DA0FP0,2014-01-08,2014,2010,DA0MS0 NP00000 Gigante verde Fc SPS00,NP00000 Gigante verde Fc,DA0MS0 NP00000 Gigante verde,SPS00 DA0MS0 NP00000 Gigante verde,,Gigante verde Fc SPS00,Gigante verde Fc SPS00 VMN0000,Gigante verde Fc SPS00 VMN0000 SPS00,"el estadio Gigante verde , a","estadio Gigante verde ,",el estadio Gigante verde,en el estadio Gigante verde,,"Gigante verde , a","Gigante verde , a partir","Gigante verde , a partir de"
http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=196906,analisisdigital.com.ar,2014-01-08,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,"Además  ,  Regatas  Corrientes  ,  el  defensor  del  título  ,  llega  a  este  compromiso  en  el Gigante_Verde  como  puntero  de  la  competencia  ,  con  24  unidades  ,  y  con  el  mejor  record  de  la  Liga  ,  que  es  17  triunfos  en  20  presentaciones  .",gigante_verde,np00000_np00000,gigante_verde,el,el,DA0MS0,en,en,SPS00,compromiso,compromiso,NCMS000,este,este,DD0MS0,a,a,SPS00,como,como,CS,puntero,puntero,NCMS000,de,de,SPS00,la,el,DA0FS0,competencia,competencia,NCFS000,2014-01-08,2014,2010,SPS00 DA0MS0 Gigante verde CS NCMS000,DA0MS0 Gigante verde CS,SPS00 DA0MS0 Gigante verde,NCMS000 SPS00 DA0MS0 Gigante verde,DD0MS0 NCMS000 SPS00 DA0MS0 Gigante verde,Gigante verde CS NCMS000,Gigante verde CS NCMS000 SPS00,Gigante verde CS NCMS000 SPS00 DA0FS0,en el Gigante verde como puntero,el Gigante verde como,en el Gigante verde,compromiso en el Gigante verde,este compromiso en el Gigante verde,Gigante verde como puntero,Gigante verde como puntero de,Gigante verde como puntero de el
http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=196951,analisisdigital.com.ar,2014-01-09,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,El  Fantasma  no  comenzó  bien  la  noche  en  el  estadio Gigante_Verde  y  el  anfitrión  supo  cómo  vencerlo  al  cabo  de  los  dos  primeros  cuartos  del  partido  válido  por  la  séptima  fecha  de  la  segunda  fase  .,gigante_verde,np00000_np00000,gigante_verde,estadio,estadio,NCMS000,el,el,DA0MS0,en,en,SPS00,noche,noche,NCFS000,la,el,DA0FS0,y,y,CC,el,el,DA0MS0,anfitrión,anfitrión,NCMS000,supo,saber,VMIS3S0,cómo,cómo,PT000000,2014-01-09,2014,2010,DA0MS0 NCMS000 Gigante verde CC DA0MS0,NCMS000 Gigante verde CC,DA0MS0 NCMS000 Gigante verde,SPS00 DA0MS0 NCMS000 Gigante verde,NCFS000 SPS00 DA0MS0 NCMS000 Gigante verde,Gigante verde CC DA0MS0,Gigante verde CC DA0MS0 NCMS000,Gigante verde CC DA0MS0 NCMS000 VMIS3S0,el estadio Gigante verde y el,estadio Gigante verde y,el estadio Gigante verde,en el estadio Gigante verde,noche en el estadio Gigante verde,Gigante verde y el,Gigante verde y el anfitrión,Gigante verde y el anfitrión saber
http://www.analisisdigital.com.ar/noticias.php?ed=1&di=0&no=196951,analisisdigital.com.ar,2014-01-09,Argentina,Gigante_Verde/NP00000_NP00000/gigante_verde,"Regatas  ,  que  en  el  primer  tiempo  se  mostró  muy  endeble  en  defensa  y  errático  en  ataque  ;  en  el  segundo  dio  un  giro  de  90  grados  y  se  llevó  un  amplia  victoria  del  estadio Gigante_Verde  de  la  Capital  Nacional  del  Citrus  .",gigante_verde,np00000_np00000,gigante_verde,estadio,estadio,NCMS000,del,de+el,SPS00+DA0MS0,victoria,victoria,NCFS000,amplia,amplio,AQ0FS0,un,uno,DI0MS0,de,de,SPS00,la,el,DA0FS0,Capital,capital,NP00000,Nacional,nacional,NP00000,del,de+el,SPS00+DA0MS0,2014-01-09,2014,2010,SPS00+DA0MS0 NCMS000 Gigante verde SPS00 DA0FS0,NCMS000 Gigante verde SPS00,SPS00+DA0MS0 NCMS000 Gigante verde,NCFS000 SPS00+DA0MS0 NCMS000 Gigante verde,AQ0FS0 NCFS000 SPS00+DA0MS0 NCMS000 Gigante verde,Gigante verde SPS00 DA0FS0,Gigante verde SPS00 DA0FS0 NP00000,Gigante verde SPS00 DA0FS0 NP00000 NP00000,de+el estadio Gigante verde de el,estadio Gigante verde de,de+el estadio Gigante verde,victoria de+el estadio Gigante verde,amplio victoria de+el estadio Gigante verde,Gigante verde de el,Gigante verde de el capital,Gigante verde de el capital nacional
