url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elobservador.com.uy/noticia/268429/meninas-mes-madres-en-las-favelas-de-rio--/,elobservador.com.uy,2014-01-01,Uruguay,havaianas/NCFP000/havaianas,"Una  remera  o  musculosa  blanca  ,  unas havaianas  típicas  y  una  bermuda  con  palmeras  .",havaianas,ncfp000,havaianas,unas,uno,DI0FP0,",",",",Fc,blanca,blanco,AQ0FS0,musculosa,musculoso,AQ0FS0,o,o,CC,típicas,típico,AQ0FP0,y,y,CC,una,uno,DI0FS0,bermuda,bermuda,NCFS000,con,con,SPS00,2014-01-01,2014,2010,Fc DI0FP0 Havaianas AQ0FP0 CC,DI0FP0 Havaianas AQ0FP0,Fc DI0FP0 Havaianas,AQ0FS0 Fc DI0FP0 Havaianas,AQ0FS0 AQ0FS0 Fc DI0FP0 Havaianas,Havaianas AQ0FP0 CC,Havaianas AQ0FP0 CC DI0FS0,Havaianas AQ0FP0 CC DI0FS0 NCFS000,", uno Havaianas típico y",uno Havaianas típico,", uno Havaianas","blanco , uno Havaianas","musculoso blanco , uno Havaianas",Havaianas típico y,Havaianas típico y uno,Havaianas típico y uno bermuda
http://www.elobservador.com.uy/noticia/268422/escapar-de-bali-/,elobservador.com.uy,2014-01-02,Uruguay,Havaianas/NP00000/havaianas,Al  regresar  me  percato  de  que  las  olas  se  llevaron  mis  preciadas Havaianas  .,havaianas,np00000,havaianas,preciadas,preciar,VMP00PF,mis,mi,DP1CPS,llevaron,llevar,VMIS3P0,se,se,P00CN000,olas,ola,NCFP000,.,.,Fp,,,,,,,,,,,,,2014-01-02,2014,2010,,VMP00PF Havaianas Fp,DP1CPS VMP00PF Havaianas,VMIS3P0 DP1CPS VMP00PF Havaianas,P00CN000 VMIS3P0 DP1CPS VMP00PF Havaianas,,,,,preciar Havaianas .,mi preciar Havaianas,llevar mi preciar Havaianas,se llevar mi preciar Havaianas,,,
http://elpais.com/elpais/2014/01/19/icon/1390130500_418582.html,elpais.com,2014-01-19,Spain,havaianas/NCFP000/havaianas,"Desde  libros  hasta havaianas  ,  pasando  por  casetes  ,  las  diez  fundas  más  horteras  del  universo  son  las  siguientes  :",havaianas,ncfp000,havaianas,hasta,hasta,SPS00,libros,libro,NCMP000,Desde,desde,SPS00,,,,,,,",",",",Fc,pasando,pasar,VMG0000,por,por,SPS00,casetes,casete,NCCP000,",",",",Fc,2014-01-19,2014,2010,NCMP000 SPS00 Havaianas Fc VMG0000,SPS00 Havaianas Fc,NCMP000 SPS00 Havaianas,SPS00 NCMP000 SPS00 Havaianas,,Havaianas Fc VMG0000,Havaianas Fc VMG0000 SPS00,Havaianas Fc VMG0000 SPS00 NCCP000,"libro hasta Havaianas , pasar","hasta Havaianas ,",libro hasta Havaianas,desde libro hasta Havaianas,,"Havaianas , pasar","Havaianas , pasar por","Havaianas , pasar por casete"
http://loffit.abc.es/2014/03/06/maria-santa-teresa-un-hotel-efimero-en-rio-de-janeiro/138128?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-03-07,Spain,Havaianas/NP00000/havaianas,"Y  como  estamos  en  Brasil  ,  las Havaianas  están  incluidas  en  el  precio  .",havaianas,np00000,havaianas,las,el,DA0FP0,",",",",Fc,Brasil,brasil,NP00000,en,en,SPS00,estamos,estar,VAIP1P0,están,estar,VAIP3P0,incluidas,incluir,VMP00PF,en,en,SPS00,el,el,DA0MS0,precio,precio,NCMS000,2014-03-07,2014,2010,Fc DA0FP0 Havaianas VAIP3P0 VMP00PF,DA0FP0 Havaianas VAIP3P0,Fc DA0FP0 Havaianas,NP00000 Fc DA0FP0 Havaianas,SPS00 NP00000 Fc DA0FP0 Havaianas,Havaianas VAIP3P0 VMP00PF,Havaianas VAIP3P0 VMP00PF SPS00,Havaianas VAIP3P0 VMP00PF SPS00 DA0MS0,", el Havaianas estar incluir",el Havaianas estar,", el Havaianas","brasil , el Havaianas","en brasil , el Havaianas",Havaianas estar incluir,Havaianas estar incluir en,Havaianas estar incluir en el
http://news.gnom.es/pr/grandes-personalidades-una-fuerza-estelar-e-investigaciones-impactantes-forman-el-pilar-de-la-conferencia-anual-thinking-under-the,gnom.es,2014-04-23,Spain,Havaianas/NP00000/havaianas,"La  conferencia  anual  2014  de  AHAA  ,  que  tendrá  lugar  en  el  Eden  Roc  Renaissance  Hotel  en  Miami  del  28  al  30  de  abril  ,  reúne  a  los  más  prestigiosos  del  liderazgo  del  pensamiento  :  desde  el  magnate  de  los  medios  Rupert  Murdoch  ,  que  dará  el  discurso  de  apertura  ,  hasta  el  aclamado  cineasta  Roberto  Rodriguez  ,  el  cantautor  ganador  de  múltiples  discos  de  platino  Prince  Royce  ,  el  exitoso  escritor  y  experto  en  el  ""  de  boca  en  boca  ""  Jonah  Berger  y  una  serie  de  directores  de  comercialización  de  compañías  importantes  ,  incluyendo Havaianas  ,  Wells  Fargo  y  el  Ejército  Estadounidense  ,  entre  otras  .",havaianas,np00000,havaianas,incluyendo,incluir,VMG0000,",",",",Fc,importantes,importante,AQ0CP0,compañías,compañía,NCFP000,de,de,SPS00,",",",",Fc,Wells,wells,NP00000,Fargo,fargo,NP00000,y,y,CC,el,el,DA0MS0,2014-04-23,2014,2010,Fc VMG0000 Havaianas Fc NP00000,VMG0000 Havaianas Fc,Fc VMG0000 Havaianas,AQ0CP0 Fc VMG0000 Havaianas,NCFP000 AQ0CP0 Fc VMG0000 Havaianas,Havaianas Fc NP00000,Havaianas Fc NP00000 NP00000,Havaianas Fc NP00000 NP00000 CC,", incluir Havaianas , wells","incluir Havaianas ,",", incluir Havaianas","importante , incluir Havaianas","compañía importante , incluir Havaianas","Havaianas , wells","Havaianas , wells fargo","Havaianas , wells fargo y"
http://news.gnom.es/pr/grandes-personalidades-una-fuerza-estelar-e-investigaciones-impactantes-forman-el-pilar-de-la-conferencia-anual-thinking-under-the,gnom.es,2014-04-23,Spain,Havaianas/NP00000/havaianas,"Los  prestigiosos  miembros  de  la  elite  de  la  industria  de  la  comercialización  que  participarán  en  la  conferencia  son  los  siguientes  :  el  presidente  y  director  ejecutivo  de  21st  Century  Fox  ,  Rupert  Murdoch  ;  el  galardonado  cineasta  Robert  Rodriguez  ;  el  artista  ganador  de  varios  discos  de  platino  Prince  Royce  ;  Rui  Porto  ,  director  de  comercialización  de Havaianas  ;  James  Ortiz  ,  director  de  comercialización  del  ejército  de  Estados  Unidos  ;  Jamie  Moldafsky  ,  director  de  comercialización  de  Wells  Fargo  ;  Andrea  Strauss  ,  vicepresidente  de  Nickelodeon  Brand  &  Consumer  Insights  ;  Juan  Torres  ,  director  de  publicidad  y  comercialización  multicultural  de  Chrysler  Group  LLC  ;  el  ejecutivo  de  la  industria  del  cable  ,  medios  y  comunicaciones  globales  Sol  Trujillo  ,  presidente  de  Latino  Donor  Collaborative  (  LDC  )  ;  Nico  Pimentel  ,  cofundador  y  director  de  innovación  de  +  Castro  ;  Papon  Ricciarelli  ,  director  ejecutivo  de  DON  ;  el  exitoso  escritor  Jonah  Berger  ;  Christian  Martinez",havaianas,np00000,havaianas,de,de,SPS00,comercialización,comercialización,NCFS000,de,de,SPS00,director,director,NCMS000,",",",",Fc,;,;,Fx,James,james,NP00000,Ortiz,ortiz,NP00000,",",",",Fc,director,director,NCMS000,2014-04-23,2014,2010,NCFS000 SPS00 Havaianas Fx NP00000,SPS00 Havaianas Fx,NCFS000 SPS00 Havaianas,SPS00 NCFS000 SPS00 Havaianas,NCMS000 SPS00 NCFS000 SPS00 Havaianas,Havaianas Fx NP00000,Havaianas Fx NP00000 NP00000,Havaianas Fx NP00000 NP00000 Fc,comercialización de Havaianas ; james,de Havaianas ;,comercialización de Havaianas,de comercialización de Havaianas,director de comercialización de Havaianas,Havaianas ; james,Havaianas ; james ortiz,"Havaianas ; james ortiz ,"
http://www.elmundo.es/tendencias/2014/05/08/5369d033268e3e90148b456c.html,elmundo.es,2014-05-08,Spain,Havaianas/NP00000/havaianas, Havaianas  pone  a  tus  pies  los  prints  más  salvajes  de  la  temporada  para  que  este  verano  seas  la  '  fierecilla  '  que  devore  las  últimas  tendencias  .,havaianas,np00000,havaianas,,,,,,,,,,,,,,,,pone,poner,VMIP3S0,a,a,SPS00,tus,tu,DP2CPS,pies,pie,NCMP000,los,el,DA0MP0,2014-05-08,2014,2010,,,,,,Havaianas VMIP3S0 SPS00,Havaianas VMIP3S0 SPS00 DP2CPS,Havaianas VMIP3S0 SPS00 DP2CPS NCMP000,,,,,,Havaianas poner a,Havaianas poner a tu,Havaianas poner a tu pie
http://www.elmundo.es/tendencias/2014/05/08/5369d033268e3e90148b456c.html,elmundo.es,2014-05-08,Spain,Havaianas/NP00000/havaianas,"Cuatro  modelos  de Havaianas  con  los  animal  prints  must-have  del  verano  :  Zebra  ,  Girafa  ,  Leopardo  ...  y  dos  modelos  más  con  tira  fluorescente  para  las  más  atrevidas  .",havaianas,np00000,havaianas,de,de,SPS00,modelos,modelo,NCCP000,Cuatro,4,Z,,,,,,,con,con,SPS00,los,el,DA0MP0,animal,animal,NCMS000,prints,prints,NCMP000,must-have,must-have,AQ0CS0,2014-05-08,2014,2010,NCCP000 SPS00 Havaianas SPS00 DA0MP0,SPS00 Havaianas SPS00,NCCP000 SPS00 Havaianas,Z NCCP000 SPS00 Havaianas,,Havaianas SPS00 DA0MP0,Havaianas SPS00 DA0MP0 NCMS000,Havaianas SPS00 DA0MP0 NCMS000 NCMP000,modelo de Havaianas con el,de Havaianas con,modelo de Havaianas,4 modelo de Havaianas,,Havaianas con el,Havaianas con el animal,Havaianas con el animal prints
http://www.lavoz.com.ar/negocios/tienda-line-recibe-us-170-millones,lavoz.com.ar,2014-05-18,Argentina,Havaianas/NP00000/havaianas,"Actualmente  es  la  responsable  de  la  administración  de  las  tiendas  oficiales  de  la  Selección  Brasileña  de  Fútbol  ,  NBA  ,  Oakley  ,  Puma  , Havaianas  ,  Timberland  ,  Topper  ,  Mizuno  ,  entre  otros  ,  y  opera  las  tiendas  oficiales  de  clubes  de  fútbol  como  el  Corinthians  ,  Sao  Paulo  ,  Palmeiras  ,  Cruzeiro  ,  Curitiba  ,  la  Selección  Mexicana  de  Fútbol  y  River  Plate  ,  entre  otros  . </doc>",havaianas,np00000,havaianas,",",",",Fc,Puma,puma,NP00000,",",",",Fc,Oakley,oakley,NP00000,",",",",Fc,",",",",Fc,Timberland,timberland,NP00000,",",",",Fc,Topper,topper,NP00000,",",",",Fc,2014-05-18,2014,2010,NP00000 Fc Havaianas Fc NP00000,Fc Havaianas Fc,NP00000 Fc Havaianas,Fc NP00000 Fc Havaianas,NP00000 Fc NP00000 Fc Havaianas,Havaianas Fc NP00000,Havaianas Fc NP00000 Fc,Havaianas Fc NP00000 Fc NP00000,"puma , Havaianas , timberland",", Havaianas ,","puma , Havaianas",", puma , Havaianas","oakley , puma , Havaianas","Havaianas , timberland","Havaianas , timberland ,","Havaianas , timberland , topper"
http://442.perfil.com/2014-05-19-279693-gobierno-corrupto-y-mundial-salvador/,perfil.com,2014-05-19,===NONE===,Havaianas/NP00000/havaianas,"Algo  semejante  ocurre  aquí  ,  en  Brasil  ,  con  el  ex  crack  y  actual  diputado  Romario  ,  principal  detractor  de  la  Copa  ,  pero  que  acaba  de  filmar  una  publicidad  ,  justamente  con  una  mención  a  Maradona  ,  para  las  sandalias Havaianas  .",havaianas,np00000,havaianas,sandalias,sandalia,NCFP000,las,el,DA0FP0,para,para,SPS00,",",",",Fc,Maradona,maradona,NP00000,.,.,Fp,,,,,,,,,,,,,2014-05-19,2014,2010,,NCFP000 Havaianas Fp,DA0FP0 NCFP000 Havaianas,SPS00 DA0FP0 NCFP000 Havaianas,Fc SPS00 DA0FP0 NCFP000 Havaianas,,,,,sandalia Havaianas .,el sandalia Havaianas,para el sandalia Havaianas,", para el sandalia Havaianas",,,
