url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://elheraldonews.com/news/2013/dec/17/nascar-una-experiencia-extraordinaria/,elheraldonews.com,2014-01-01,===NONE===,Hot_Wheels/NP00000_NP00000/hot_wheels,"También  puedo  aseverar  que  todos  los  varones  podemos  voltear  a  nuestro  pasado  y  recordar  con  cariño  ese  "" Hot_Wheels  ""  ,  o  quizá  alguna  autopista  de  esas  a  escala  ,  en  la  que  más  de  una  vez  nos  coronamos  campeones  sobre  nuestros  amiguitos  ,  so  pena  de  que  si  nos  dejaban  ganar  jamás  jugarían  de  nuevo  con  nosotros  .",hot_wheels,np00000_np00000,hot_wheels,"""","""",Fe,ese,ese,DD0MS0,cariño,cariño,NCMS000,con,con,SPS00,recordar,recordar,VMN0000,"""","""",Fe,",",",",Fc,o,o,CC,quizá,quizá,RG,alguna,alguno,DI0FS0,2014-01-01,2014,2010,DD0MS0 Fe Hot Wheels Fe Fc,Fe Hot Wheels Fe,DD0MS0 Fe Hot Wheels,NCMS000 DD0MS0 Fe Hot Wheels,SPS00 NCMS000 DD0MS0 Fe Hot Wheels,Hot Wheels Fe Fc,Hot Wheels Fe Fc CC,Hot Wheels Fe Fc CC RG,"ese "" Hot Wheels "" ,",""" Hot Wheels ""","ese "" Hot Wheels","cariño ese "" Hot Wheels","con cariño ese "" Hot Wheels","Hot Wheels "" ,","Hot Wheels "" , o","Hot Wheels "" , o quizá"
http://periodicodigital.com.mx/notas/industria_del_juguete_tiene_altas_expectativas_en_el_dia_de_reyes,periodicodigital.com.mx,2014-01-02,Mexico,Hot_Wheels/NP00000_NP00000/hot_wheels,"De  acuerdo  al  análisis  realizado  por  de  Walmart  México  y  Centroamérica  ,  las  preferencias  en  cuanto  a  juguetes  de  marca  para  esta  temporada  incluyen  las  figuras  de  acción  de  Marvel  ,  las  interactivas  Furby  ,  las  muñecas  Monster  High  ,  la  tradicional  Barbie  ,  figuras  de  acción  de  Max  Steel  ,  paquetes  de  cinco Hot_Wheels  ,  muñeca  Esquetria  Girl  y  la  figura  interactiva  Anna  Banana  .",hot_wheels,np00000_np00000,hot_wheels,cinco,5,Z,de,de,SPS00,paquetes,paquete,NCMP000,",",",",Fc,Steel,steel,NP00000,",",",",Fc,muñeca,muñeca,NCFS000,Esquetria,esquetria,NP00000,Girl,girl,NP00000,y,y,CC,2014-01-02,2014,2010,SPS00 Z Hot Wheels Fc NCFS000,Z Hot Wheels Fc,SPS00 Z Hot Wheels,NCMP000 SPS00 Z Hot Wheels,Fc NCMP000 SPS00 Z Hot Wheels,Hot Wheels Fc NCFS000,Hot Wheels Fc NCFS000 NP00000,Hot Wheels Fc NCFS000 NP00000 NP00000,"de 5 Hot Wheels , muñeca","5 Hot Wheels ,",de 5 Hot Wheels,paquete de 5 Hot Wheels,", paquete de 5 Hot Wheels","Hot Wheels , muñeca","Hot Wheels , muñeca esquetria","Hot Wheels , muñeca esquetria girl"
http://periodicodigital.com.mx/notas/industria_del_juguete_tiene_altas_expectativas_en_el_dia_de_reyes,periodicodigital.com.mx,2014-01-02,Mexico,Hot_Wheels/NP00000_NP00000/hot_wheels,"De  las  15  autopistas  de  la  marca Hot_Wheels  monitoreadas  ,  el  costo  oscila  entre  239  y  899  pesos  .",hot_wheels,np00000_np00000,hot_wheels,marca,marca,NCFS000,la,el,DA0FS0,de,de,SPS00,autopistas,autopista,NCFP000,15,15,Z,monitoreadas,monitoreadas,VMP00PF,",",",",Fc,el,el,DA0MS0,costo,costo,NCMS000,oscila,oscilar,VMIP3S0,2014-01-02,2014,2010,DA0FS0 NCFS000 Hot Wheels VMP00PF Fc,NCFS000 Hot Wheels VMP00PF,DA0FS0 NCFS000 Hot Wheels,SPS00 DA0FS0 NCFS000 Hot Wheels,NCFP000 SPS00 DA0FS0 NCFS000 Hot Wheels,Hot Wheels VMP00PF Fc,Hot Wheels VMP00PF Fc DA0MS0,Hot Wheels VMP00PF Fc DA0MS0 NCMS000,"el marca Hot Wheels monitoreadas ,",marca Hot Wheels monitoreadas,el marca Hot Wheels,de el marca Hot Wheels,autopista de el marca Hot Wheels,"Hot Wheels monitoreadas ,","Hot Wheels monitoreadas , el","Hot Wheels monitoreadas , el costo"
http://www.que.es/ultimas-noticias/sociedad/201401040930-regalos-para-reyes-peppa-minions.html,que.es,2014-01-04,Spain,HOT_WHEELS/NP00000_NP00000/hot_wheels,3  -  LA  INTERMINABLE  PISTA  DE HOT_WHEELS  :  Mattel  no  podía  faltar  a  su  cita  y  ha  preparado  un  emocionante  circuito  de  hasta  tres  pistas  en  el  que  los  coches  van  al  límite  hasta  producirse  una  auténtica  carrera  de  choques  .,hot_wheels,np00000_np00000,hot_wheels,DE,de,NP00000,PISTA,pista,NP00000,INTERMINABLE,interminable,NP00000,LA,la,NP00000,-,-,Fg,:,:,Fd,Mattel,mattel,NP00000,no,no,RN,podía,poder,VMII3S0,faltar,faltar,VMN0000,2014-01-04,2014,2010,NP00000 NP00000 Hot Wheels Fd NP00000,NP00000 Hot Wheels Fd,NP00000 NP00000 Hot Wheels,NP00000 NP00000 NP00000 Hot Wheels,NP00000 NP00000 NP00000 NP00000 Hot Wheels,Hot Wheels Fd NP00000,Hot Wheels Fd NP00000 RN,Hot Wheels Fd NP00000 RN VMII3S0,pista de Hot Wheels : mattel,de Hot Wheels :,pista de Hot Wheels,interminable pista de Hot Wheels,la interminable pista de Hot Wheels,Hot Wheels : mattel,Hot Wheels : mattel no,Hot Wheels : mattel no poder
http://www.unoentrerios.com.ar/laprovincia/Jugueterias-de-Parana-tuvieron-un-balance-positivo-de-ventas-por-las-fiestas--20140106-0028.html,unoentrerios.com.ar,2014-01-06,Argentina,Hot_Wheels/NP00000_NP00000/hot_wheels,"Respecto  a  los  productos  mÃ  ¡  s  vendidos  ,  Ortiz  seÃ  ±  alÃ3  que  para  los  niÃ  ±  os  lo  que  mÃ  ¡  s  se  llevaron  fueron  las  pistolas  de  agua  Nerf  y  Banzai  ,  ademÃ  ¡  s  el  muÃ  ±  eco  Strech  Monsters  y  los  autitos Hot_Wheels  .",hot_wheels,np00000_np00000,hot_wheels,autitos,auto,NCMP00D,los,el,DA0MP0,y,y,CC,Monsters,monsters,NP00000,Strech,strech,NP00000,.,.,Fp,,,,,,,,,,,,,2014-01-06,2014,2010,,NCMP00D Hot Wheels Fp,DA0MP0 NCMP00D Hot Wheels,CC DA0MP0 NCMP00D Hot Wheels,NP00000 CC DA0MP0 NCMP00D Hot Wheels,,,,,auto Hot Wheels .,el auto Hot Wheels,y el auto Hot Wheels,monsters y el auto Hot Wheels,,,
http://www.unoentrerios.com.ar/laprovincia/Jugueterias-de-Parana-tuvieron-un-balance-positivo-de-ventas-por-las-fiestas--20140106-0028.html,unoentrerios.com.ar,2014-01-06,Argentina,Hot_Wheels/NP00000_NP00000/hot_wheels,"En  el  mismo  sentido  ,  Carlos  Bartolis  encargado  de  la  jugueterÃa  ""  La  Esfera  ""  ,  explicÃ3  que  ""  en  Reyes  Magos  la  gente  no  compra  tanto  como  para  Navidad  ""  .  ""  Ahora  los  Ãotiles  escolares  vienen  de  mejor  calidad  y  con  muchos  modelos  como  mochilas  de  Violetta  o Hot_Wheels  ,  y  eso  a  los  niÃ  ±  os  les  gusta  mucho  porque  usan  la  mochila  para  el  verano  y  luego  ya  les  queda  para  el  colegio  ""  .",hot_wheels,np00000_np00000,hot_wheels,o,o,CC,Violetta,violetta,NP00000,de,de,SPS00,mochilas,mochila,NCFP000,como,como,CS,",",",",Fc,y,y,CC,eso,ese,PD0NS000,a,a,SPS00,los,el,DA0MP0,2014-01-06,2014,2010,NP00000 CC Hot Wheels Fc CC,CC Hot Wheels Fc,NP00000 CC Hot Wheels,SPS00 NP00000 CC Hot Wheels,NCFP000 SPS00 NP00000 CC Hot Wheels,Hot Wheels Fc CC,Hot Wheels Fc CC PD0NS000,Hot Wheels Fc CC PD0NS000 SPS00,"violetta o Hot Wheels , y","o Hot Wheels ,",violetta o Hot Wheels,de violetta o Hot Wheels,mochila de violetta o Hot Wheels,"Hot Wheels , y","Hot Wheels , y ese","Hot Wheels , y ese a"
http://www.eluniversal.com.mx/destinos-viajes/2014/jugueteria-dia-de-reyes-82460.html,eluniversal.com.mx,2014-01-06,Mexico,Hot_Wheels/NP00000_NP00000/hot_wheels,"Y  a  partir  de  ahí  ,  juguetes  al  por  mayor  :  desde  colecciones  de  peluches  hasta  fábricas  para  diseñar  muñecas  parecidas  a  ti  o  armar  un  auto Hot_Wheels  .",hot_wheels,np00000_np00000,hot_wheels,auto,auto,NCMS000,un,uno,DI0MS0,armar,armar,VMN0000,o,o,CC,ti,ti,PP2CSO00,.,.,Fp,,,,,,,,,,,,,2014-01-06,2014,2010,,NCMS000 Hot Wheels Fp,DI0MS0 NCMS000 Hot Wheels,VMN0000 DI0MS0 NCMS000 Hot Wheels,CC VMN0000 DI0MS0 NCMS000 Hot Wheels,,,,,auto Hot Wheels .,uno auto Hot Wheels,armar uno auto Hot Wheels,o armar uno auto Hot Wheels,,,
http://www.eurogamer.es/articles/joe-danger-infinity-analisis-ios,eurogamer.es,2014-01-10,Spain,Hot_Wheels/NP00000_NP00000/hot_wheels,"Ambientándose  en  el  peculiar  mundo  de  los  muñecos  y  juguetes  en  miniatura  (  tipo  Micro  Machines  o Hot_Wheels  )  ,  la  mayor  novedad  de  Infinity  son  los  nuevos  vehículos  y  personajes  .",hot_wheels,np00000_np00000,hot_wheels,o,o,CC,Machines,machines,NP00000,Micro,micro,NP00000,tipo,tipo,NCMS000,(,(,Fpa,),),Fpt,",",",",Fc,la,el,DA0FS0,mayor,mayor,AQ0CS0,novedad,novedad,NCFS000,2014-01-10,2014,2010,NP00000 CC Hot Wheels Fpt Fc,CC Hot Wheels Fpt,NP00000 CC Hot Wheels,NP00000 NP00000 CC Hot Wheels,NCMS000 NP00000 NP00000 CC Hot Wheels,Hot Wheels Fpt Fc,Hot Wheels Fpt Fc DA0FS0,Hot Wheels Fpt Fc DA0FS0 AQ0CS0,"machines o Hot Wheels ) ,",o Hot Wheels ),machines o Hot Wheels,micro machines o Hot Wheels,tipo micro machines o Hot Wheels,"Hot Wheels ) ,","Hot Wheels ) , el","Hot Wheels ) , el mayor"
http://www.lacuarta.com/noticias/deportiva/2014/01/64-163895-9-video-a-ronaldo-le-falta-poco-para-tener-todos-los-hot-wheels.shtml,lacuarta.com,2014-01-22,===NONE===,Hot_Wheels/NP00000_NP00000/hot_wheels,"<doc uri=http://www.lacuarta.com/noticias/deportiva/2014/01/64-163895-9-video-a-ronaldo-le-falta-poco-para-tener-todos-los-hot-wheels.shtml website=lacuarta.com date=2014-01-22 source_country=> /[/Fca /video/NP00000 /]/Fct /a/NP00000 /ronaldo/NP00000 /le/PP3CSD00 /faltar/VMIP3S0 /poco/RG /para/SPS00 /tener/VMN0000 /todo/DI0MP0 /el/DA0MP0 /""/Fe Hot_Wheels  """,hot_wheels,np00000_np00000,hot_wheels,"""","""",Fe,los,el,DA0MP0,todos,todo,DI0MP0,tener,tener,VMN0000,para,para,SPS00,"""","""",Fe,,,,,,,,,,,,,2014-01-22,2014,2010,,Fe Hot Wheels Fe,DA0MP0 Fe Hot Wheels,DI0MP0 DA0MP0 Fe Hot Wheels,VMN0000 DI0MP0 DA0MP0 Fe Hot Wheels,,,,,""" Hot Wheels ""","el "" Hot Wheels","todo el "" Hot Wheels","tener todo el "" Hot Wheels",,,
http://www.europapress.es/economia/noticia-economia-empresas-beneficio-mattel-aumenta-164-2013-20140131133022.html,europapress.es,2014-01-31,Spain,Hot_Wheels/NP00000_NP00000/hot_wheels,"En  la  división  '  Wheels  '  ,  que  engloba  las  marcas Hot_Wheels  ,  Matchbox  y  Tyco  ,  cayeron  un  8  %  .",hot_wheels,np00000_np00000,hot_wheels,marcas,marca,NCFP000,las,el,DA0FP0,engloba,englobar,VMIP3S0,que,que,PR0CN000,",",",",Fc,",",",",Fc,Matchbox,matchbox,NP00000,y,y,CC,Tyco,tyco,NP00000,",",",",Fc,2014-01-31,2014,2010,DA0FP0 NCFP000 Hot Wheels Fc NP00000,NCFP000 Hot Wheels Fc,DA0FP0 NCFP000 Hot Wheels,VMIP3S0 DA0FP0 NCFP000 Hot Wheels,PR0CN000 VMIP3S0 DA0FP0 NCFP000 Hot Wheels,Hot Wheels Fc NP00000,Hot Wheels Fc NP00000 CC,Hot Wheels Fc NP00000 CC NP00000,"el marca Hot Wheels , matchbox","marca Hot Wheels ,",el marca Hot Wheels,englobar el marca Hot Wheels,que englobar el marca Hot Wheels,"Hot Wheels , matchbox","Hot Wheels , matchbox y","Hot Wheels , matchbox y tyco"
