url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.larazon.es/detalle_normal/noticias/5140705/portada/cristiano-ronaldo-consigue-la-mordida-perfecta,larazon.es,2014-01-18,Spain,Invisalign/NP00000/invisalign,"Yo  creo  que  podría  haber  empleado Invisalign  ,  conocida  como  la  ortodoncia  invisible  :  son  férulas  transparentes  que  prácticamente  no  se  ven  ,  incluso  en  las  distancias  cortas  .",invisalign,np00000,invisalign,empleado,emplear,VMP00SM,haber,haber,VAN0000,podría,poder,VMIC3S0,que,que,CS,creo,crear,VMIP1S0,",",",",Fc,conocida,conocer,VMP00SF,como,como,CS,la,el,DA0FS0,ortodoncia,ortodoncia,NCFS000,2014-01-18,2014,2010,VAN0000 VMP00SM Invisalign Fc VMP00SF,VMP00SM Invisalign Fc,VAN0000 VMP00SM Invisalign,VMIC3S0 VAN0000 VMP00SM Invisalign,CS VMIC3S0 VAN0000 VMP00SM Invisalign,Invisalign Fc VMP00SF,Invisalign Fc VMP00SF CS,Invisalign Fc VMP00SF CS DA0FS0,"haber emplear Invisalign , conocer","emplear Invisalign ,",haber emplear Invisalign,poder haber emplear Invisalign,que poder haber emplear Invisalign,"Invisalign , conocer","Invisalign , conocer como","Invisalign , conocer como el"
http://www.lavanguardia.com/de-moda/belleza/facial/20140417/54405899862/como-tener-una-sonrisa-de-hollywood.html,lavanguardia.com,2014-04-17,Spain,Invisalign/NP00000/invisalign,"El  más  popular  y  extendido  es Invisalign  ®  ,  que  es  una  muy  buena  opción  para  tratar  la  gran  mayoría  de  casos  .",invisalign,np00000,invisalign,es,ser,VSIP3S0,extendido,extender,VMP00SM,y,y,CC,popular,popular,AQ0CS0,más,más,RG,®,®,Fz,",",",",Fc,que,que,PR0CN000,es,ser,VSIP3S0,una,uno,DI0FS0,2014-04-17,2014,2010,VMP00SM VSIP3S0 Invisalign Fz Fc,VSIP3S0 Invisalign Fz,VMP00SM VSIP3S0 Invisalign,CC VMP00SM VSIP3S0 Invisalign,AQ0CS0 CC VMP00SM VSIP3S0 Invisalign,Invisalign Fz Fc,Invisalign Fz Fc PR0CN000,Invisalign Fz Fc PR0CN000 VSIP3S0,"extender ser Invisalign ® ,",ser Invisalign ®,extender ser Invisalign,y extender ser Invisalign,popular y extender ser Invisalign,"Invisalign ® ,","Invisalign ® , que","Invisalign ® , que ser"
http://www.elmundo.es/loc/2014/04/26/535a7486ca4741e9608b4571.html,elmundo.es,2014-04-27,Spain,Invisalign/NP00000/invisalign,"Prácticamente  ya  lo  ha  conseguido  gracias  a Invisalign  ,  una  técnica  de  ortodoncia  invisible  que  usaron  en  su  día  la  princesa  Letizia  y  Eva  González",invisalign,np00000,invisalign,a,a,SPS00,gracias,gracia,NCFP000,conseguido,conseguir,VMP00SM,ha,haber,VAIP3S0,lo,lo,PP3CNA00,",",",",Fc,una,uno,DI0FS0,técnica,técnica,NCFS000,de,de,SPS00,ortodoncia,ortodoncia,NCFS000,2014-04-27,2014,2010,NCFP000 SPS00 Invisalign Fc DI0FS0,SPS00 Invisalign Fc,NCFP000 SPS00 Invisalign,VMP00SM NCFP000 SPS00 Invisalign,VAIP3S0 VMP00SM NCFP000 SPS00 Invisalign,Invisalign Fc DI0FS0,Invisalign Fc DI0FS0 NCFS000,Invisalign Fc DI0FS0 NCFS000 SPS00,"gracia a Invisalign , uno","a Invisalign ,",gracia a Invisalign,conseguir gracia a Invisalign,haber conseguir gracia a Invisalign,"Invisalign , uno","Invisalign , uno técnica","Invisalign , uno técnica de"
http://www.elmundo.es/loc/2014/04/26/535a7486ca4741e9608b4571.html,elmundo.es,2014-04-27,Spain,Invisalign/NP00000/invisalign,"Además  de  los  beneficios  estéticos  , Invisalign  se  presenta  como  la  opción  más  higiénica  -  no  hay  obstáculos  en  el  cepillado  -  y  también  la  menos  agresiva  ,  puesto  que  no  requiere  ningún  cemento  que  dañe  el  esmalte  .",invisalign,np00000,invisalign,",",",",Fc,estéticos,estético,AQ0MP0,beneficios,beneficio,NCMP000,los,el,DA0MP0,de,de,SPS00,se,se,P00CN000,presenta,presentar,VMIP3S0,como,como,CS,la,el,DA0FS0,opción,opción,NCFS000,2014-04-27,2014,2010,AQ0MP0 Fc Invisalign P00CN000 VMIP3S0,Fc Invisalign P00CN000,AQ0MP0 Fc Invisalign,NCMP000 AQ0MP0 Fc Invisalign,DA0MP0 NCMP000 AQ0MP0 Fc Invisalign,Invisalign P00CN000 VMIP3S0,Invisalign P00CN000 VMIP3S0 CS,Invisalign P00CN000 VMIP3S0 CS DA0FS0,"estético , Invisalign se presentar",", Invisalign se","estético , Invisalign","beneficio estético , Invisalign","el beneficio estético , Invisalign",Invisalign se presentar,Invisalign se presentar como,Invisalign se presentar como el
http://www.lavoz.com.ar/tecno/sistemas-que-te-dejan-con-la-boca-abierta,lavoz.com.ar,2014-05-11,Argentina,Invisalign/NP00000/invisalign,"Los  pioneros  en  estas  tecnologías  son  los  estadounidenses  de Invisalign  ,  que  ya  han  colocado  más  de  2,5_millones  de  tratamientos  de  este  tipo  en  el  mundo  .",invisalign,np00000,invisalign,de,de,SPS00,estadounidenses,estadounidense,NCCP000,los,el,DA0MP0,son,ser,VSIP3P0,tecnologías,tecnología,NCFP000,",",",",Fc,que,que,PR0CN000,ya,ya,RG,han,haber,VAIP3P0,colocado,colocar,VMP00SM,2014-05-11,2014,2010,NCCP000 SPS00 Invisalign Fc PR0CN000,SPS00 Invisalign Fc,NCCP000 SPS00 Invisalign,DA0MP0 NCCP000 SPS00 Invisalign,VSIP3P0 DA0MP0 NCCP000 SPS00 Invisalign,Invisalign Fc PR0CN000,Invisalign Fc PR0CN000 RG,Invisalign Fc PR0CN000 RG VAIP3P0,"estadounidense de Invisalign , que","de Invisalign ,",estadounidense de Invisalign,el estadounidense de Invisalign,ser el estadounidense de Invisalign,"Invisalign , que","Invisalign , que ya","Invisalign , que ya haber"
http://lanzadigital.com/news/show/in/alertan-de-que-provocarse-diastema-puede-producir-molestias-cervicales-dolor-de-cabeza-y-hasta-escoliosis/38516,lanzadigital.com,2014-07-11,===NONE===,invisalign/NCFS000/invisalign,"Para  ello  ,  se  emplea  la  tecnología  ' invisalign  '  ,  que  son  unos  aparatos  invisibles  que  ""  en  dos  o  tres  meses  separan  los  dientes  un  milímetro  o  milímetro  y  medio  ""  .",invisalign,ncfs000,invisalign,',',Fe,tecnología,tecnología,NCFS000,la,el,DA0FS0,emplea,emplear,VMIP3S0,se,se,P00CN000,',',Fe,",",",",Fc,que,que,PR0CN000,son,ser,VSIP3P0,unos,uno,DI0MP0,2014-07-11,2014,2010,NCFS000 Fe Invisalign Fe Fc,Fe Invisalign Fe,NCFS000 Fe Invisalign,DA0FS0 NCFS000 Fe Invisalign,VMIP3S0 DA0FS0 NCFS000 Fe Invisalign,Invisalign Fe Fc,Invisalign Fe Fc PR0CN000,Invisalign Fe Fc PR0CN000 VSIP3P0,"tecnología ' Invisalign ' ,",' Invisalign ',tecnología ' Invisalign,el tecnología ' Invisalign,emplear el tecnología ' Invisalign,"Invisalign ' ,","Invisalign ' , que","Invisalign ' , que ser"
http://lanzadigital.com/news/show/in/alertan-de-que-provocarse-diastema-puede-producir-molestias-cervicales-dolor-de-cabeza-y-hasta-escoliosis/38516,lanzadigital.com,2014-07-11,===NONE===,invisalign/NCFS000/invisalign,"De  esta  manera  ,  Malagón  expone  que  ha  provocado  diastema  en  modelos  para  una  sesión  de  fotos  .  ""  Me  dicen  que  es  su  trabajo  y  que  se  lo  haga  si  no  es  irreversible  ""  ,  algo  que  se  ajusta  a  la  realidad  ,  ya  que  con  ' invisalign  '  ""  existe  la  opción  de  cerrar  ese  espacio  en  dos  o  tres  meses  ""  ,  sostiene  .",invisalign,ncfs000,invisalign,',',Fe,con,con,SPS00,que,que,CS,ya,ya,RG,",",",",Fc,',',Fe,"""","""",Fe,existe,existir,VMIP3S0,la,el,DA0FS0,opción,opción,NCFS000,2014-07-11,2014,2010,SPS00 Fe Invisalign Fe Fe,Fe Invisalign Fe,SPS00 Fe Invisalign,CS SPS00 Fe Invisalign,RG CS SPS00 Fe Invisalign,Invisalign Fe Fe,Invisalign Fe Fe VMIP3S0,Invisalign Fe Fe VMIP3S0 DA0FS0,"con ' Invisalign ' """,' Invisalign ',con ' Invisalign,que con ' Invisalign,ya que con ' Invisalign,"Invisalign ' ""","Invisalign ' "" existir","Invisalign ' "" existir el"
http://www.elpais.com.uy/domingo/seguro-biologico-dientes-leche-celulas-madre.html,elpais.com.uy,2014-10-19,Uruguay,Invisalign/NP00000/invisalign,El  equipo  lo  completan  otros  dos  especialistas  :  Inés  Garicoits  (  Ortodoncia  e Invisalign  )  y  Jorge  Gabito  Mira  (  Implantes  Flapless  --  sin  cirugía  --  )  .,invisalign,np00000,invisalign,e,y,CC,Ortodoncia,ortodoncia,NP00000,(,(,Fpa,Garicoits,garicoits,NP00000,Inés,inés,NP00000,),),Fpt,y,y,CC,Jorge,jorge,NP00000,Gabito,gabito,NP00000,Mira,mira,NP00000,2014-10-19,2014,2010,NP00000 CC Invisalign Fpt CC,CC Invisalign Fpt,NP00000 CC Invisalign,Fpa NP00000 CC Invisalign,NP00000 Fpa NP00000 CC Invisalign,Invisalign Fpt CC,Invisalign Fpt CC NP00000,Invisalign Fpt CC NP00000 NP00000,ortodoncia y Invisalign ) y,y Invisalign ),ortodoncia y Invisalign,( ortodoncia y Invisalign,garicoits ( ortodoncia y Invisalign,Invisalign ) y,Invisalign ) y jorge,Invisalign ) y jorge gabito
http://www.abc.es/estilo/casas-reales/20141224/abci-sonrisa-catalina-cambridge-201412232105.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-12-24,Spain,Invisalign/NP00000/invisalign,"Consultados  algunos  especialistas  españoles  ,  dicen  estar  absolutamente  familiarizados  con  las  técnicas  del  especialista  galo  .  ""  No  es  nuevo  que  el Invisalign  (  aparato  de  ortodoncia  transparente  )  puede  alinear  los  dientes  y  girarlos  suavemente  para  que  queden  más  naturales  ""  ,  explica  el  doctor  Luis  Calatrava  ,  de  la  clínica  Castellana  100  de  Madrid  .",invisalign,np00000,invisalign,el,el,DA0MS0,que,que,CS,nuevo,nuevo,AQ0MS0,es,ser,VSIP3S0,No,no,RN,(,(,Fpa,aparato,aparato,NCMS000,de,de,SPS00,ortodoncia,ortodoncia,NCFS000,transparente,transparente,AQ0CS0,2014-12-24,2014,2010,CS DA0MS0 Invisalign Fpa NCMS000,DA0MS0 Invisalign Fpa,CS DA0MS0 Invisalign,AQ0MS0 CS DA0MS0 Invisalign,VSIP3S0 AQ0MS0 CS DA0MS0 Invisalign,Invisalign Fpa NCMS000,Invisalign Fpa NCMS000 SPS00,Invisalign Fpa NCMS000 SPS00 NCFS000,que el Invisalign ( aparato,el Invisalign (,que el Invisalign,nuevo que el Invisalign,ser nuevo que el Invisalign,Invisalign ( aparato,Invisalign ( aparato de,Invisalign ( aparato de ortodoncia
http://www.diariocordoba.com/noticias/altoguadalquivir/clinica-dental-macarena-bravo-vanguardia-sector-odontologico_932806.html,diariocordoba.com,2015-01-30,===NONE===,Invisalign/NP00000/invisalign,"Por  tanto  ,  en  la  clínica  dental  de  Macarena  Bravo  pueden  recibir  atención  de  todas  las  especialidades  ,  desde  odontopediatría  y  prevención  hasta  Odontología  Restauradora  y  Estética  ,  Endodoncia  ,  Periodoncia  ,  Ortodoncia  ,  Rehabilitación  Oral  y  Ortodoncia  --  con  los  últimos  sistemas  de  autoligado  e Invisalign  --  ,  incorporan  do  en  plantilla  una  ortodoncista  exclusiva  . </doc>",invisalign,np00000,invisalign,e,y,CC,autoligado,autoligado,NCMS000,de,de,SPS00,sistemas,sistema,NCMP000,últimos,último,AO0MP0,--,--,Fg,",",",",Fc,incorporan,incorporar,VMIP3P0,do,do,NCMS000,en,en,SPS00,2015-01-30,2015,2010,NCMS000 CC Invisalign Fg Fc,CC Invisalign Fg,NCMS000 CC Invisalign,SPS00 NCMS000 CC Invisalign,NCMP000 SPS00 NCMS000 CC Invisalign,Invisalign Fg Fc,Invisalign Fg Fc VMIP3P0,Invisalign Fg Fc VMIP3P0 NCMS000,"autoligado y Invisalign -- ,",y Invisalign --,autoligado y Invisalign,de autoligado y Invisalign,sistema de autoligado y Invisalign,"Invisalign -- ,","Invisalign -- , incorporar","Invisalign -- , incorporar do"
