url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.abc.es/estilo/gente/20140106/abci-primera-alfombra-roja-201401052043.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-01-06,Spain,Jimmy_Choo/NP00000_NP00000/jimmy_choo,"Sandra  Bullock  llevaba  un  un  vestido  en  tono  fucsia  y  naranja  de  Alex  Perry  Resort  ,  zapatos  de  salón  nude  de  Atwood  Brian  y  clutch  dorado  de Jimmy_Choo  .",jimmy_choo,np00000_np00000,jimmy_choo,de,de,SPS00,dorado,dorado,NCMS000,clutch,clutch,AQ0CN0,y,y,CC,Brian,brian,NP00000,.,.,Fp,,,,,,,,,,,,,2014-01-06,2014,2010,,SPS00 Jimmy Choo Fp,NCMS000 SPS00 Jimmy Choo,AQ0CN0 NCMS000 SPS00 Jimmy Choo,CC AQ0CN0 NCMS000 SPS00 Jimmy Choo,,,,,de Jimmy Choo .,dorado de Jimmy Choo,clutch dorado de Jimmy Choo,y clutch dorado de Jimmy Choo,,,
http://www.telecinco.es/informativos/cultura/Nicole-Kidman-sensual-Jimmy-Choo_0_1730400122.html,telecinco.es,2014-01-10,Spain,Jimmy_Choo/NP00000_NP00000/jimmy_choo,"<doc uri=http://www.telecinco.es/informativos/cultura/Nicole-Kidman-sensual-Jimmy-Choo_0_1730400122.html website=telecinco.es date=2014-01-10 source_country=Spain> /nicole/NP00000 /kidman/NP00000 /,/Fc /""/Fe /atrevido/NCFS000 /y/CC /peligroso/AQ0FS0 /""/Fe /para/SPS00 Jimmy_Choo ",jimmy_choo,np00000_np00000,jimmy_choo,para,para,SPS00,"""","""",Fe,peligrosa,peligroso,AQ0FS0,y,y,CC,atrevida,atrevido,NCFS000,,,,,,,,,,,,,,,,2014-01-10,2014,2010,,,Fe SPS00 Jimmy Choo,AQ0FS0 Fe SPS00 Jimmy Choo,CC AQ0FS0 Fe SPS00 Jimmy Choo,,,,,,""" para Jimmy Choo","peligroso "" para Jimmy Choo","y peligroso "" para Jimmy Choo",,,
http://www.telecinco.es/informativos/cultura/Nicole-Kidman-sensual-Jimmy-Choo_0_1730400122.html,telecinco.es,2014-01-10,Spain,Jimmy_Choo/NP00000_NP00000/jimmy_choo,Kidman  es  la  protagonista  de  la  campaña  Primavera  Verano  2014  de Jimmy_Choo  .,jimmy_choo,np00000_np00000,jimmy_choo,de,de,SPS00,2014,2014,Z,Verano,verano,NP00000,Primavera,primavera,NP00000,campaña,campaña,NCFS000,.,.,Fp,,,,,,,,,,,,,2014-01-10,2014,2010,,SPS00 Jimmy Choo Fp,Z SPS00 Jimmy Choo,NP00000 Z SPS00 Jimmy Choo,NP00000 NP00000 Z SPS00 Jimmy Choo,,,,,de Jimmy Choo .,2014 de Jimmy Choo,verano 2014 de Jimmy Choo,primavera verano 2014 de Jimmy Choo,,,
http://www.elperiodicomediterraneo.com/noticias/gente/nicole-kidman-destapa-jimmy-choo_855124.html,elperiodicomediterraneo.com,2014-01-10,===NONE===,Jimmy_Choo/NP00000_NP00000/jimmy_choo,<doc uri=http://www.elperiodicomediterraneo.com/noticias/gente/nicole-kidman-destapa-jimmy-choo_855124.html website=elperiodicomediterraneo.com date=2014-01-10 source_country=> /nicole/NP00000 /kidman/NP00000 /se/P00CN000 /destapar/VMIP3S0 /para/SPS00 Jimmy_Choo ,jimmy_choo,np00000_np00000,jimmy_choo,para,para,SPS00,destapa,destapar,VMIP3S0,se,se,P00CN000,Kidman,kidman,NP00000,Nicole,nicole,NP00000,,,,,,,,,,,,,,,,2014-01-10,2014,2010,,,VMIP3S0 SPS00 Jimmy Choo,P00CN000 VMIP3S0 SPS00 Jimmy Choo,NP00000 P00CN000 VMIP3S0 SPS00 Jimmy Choo,,,,,,destapar para Jimmy Choo,se destapar para Jimmy Choo,kidman se destapar para Jimmy Choo,,,
http://www.elperiodicomediterraneo.com/noticias/gente/nicole-kidman-destapa-jimmy-choo_855124.html,elperiodicomediterraneo.com,2014-01-10,===NONE===,Jimmy_Choo/NP00000_NP00000/jimmy_choo,La  en  apariencia  fría  Nicole  Kidman  aparece  sugerente  y  deslumbrante  en  la  campaña  de  la  colección  primavera-verano  2014  de  la  marca  de  zapatos  de  lujo Jimmy_Choo  .,jimmy_choo,np00000_np00000,jimmy_choo,lujo,lujo,NCMS000,de,de,SPS00,zapatos,zapato,NCMP000,de,de,SPS00,marca,marca,NCFS000,.,.,Fp,,,,,,,,,,,,,2014-01-10,2014,2010,,NCMS000 Jimmy Choo Fp,SPS00 NCMS000 Jimmy Choo,NCMP000 SPS00 NCMS000 Jimmy Choo,SPS00 NCMP000 SPS00 NCMS000 Jimmy Choo,,,,,lujo Jimmy Choo .,de lujo Jimmy Choo,zapato de lujo Jimmy Choo,de zapato de lujo Jimmy Choo,,,
http://entretenimiento.terra.com.mx/cine/los-sag-awards-y-los-mejores-vestidos-de-sus-alfombras-rojas%2C8f6964a34f1a3410VgnVCM5000009ccceb0aRCRD.html,terra.com.mx,2014-01-18,Mexico,Jimmy_Choo/NP00000_NP00000/jimmy_choo,"Este  diseño  de  Christian  Dior  ,  lo  acompañó  con  finas  joyas  Chopard  ,  un  bolso  Roger  Vivier  y  zapatos  de Jimmy_Choo  .",jimmy_choo,np00000_np00000,jimmy_choo,de,de,SPS00,zapatos,zapato,NCMP000,y,y,CC,Vivier,vivier,NP00000,Roger,roger,NP00000,.,.,Fp,,,,,,,,,,,,,2014-01-18,2014,2010,,SPS00 Jimmy Choo Fp,NCMP000 SPS00 Jimmy Choo,CC NCMP000 SPS00 Jimmy Choo,NP00000 CC NCMP000 SPS00 Jimmy Choo,,,,,de Jimmy Choo .,zapato de Jimmy Choo,y zapato de Jimmy Choo,vivier y zapato de Jimmy Choo,,,
http://entretenimiento.terra.com.mx/cine/los-sag-awards-y-los-mejores-vestidos-de-sus-alfombras-rojas%2C8f6964a34f1a3410VgnVCM5000009ccceb0aRCRD.html,terra.com.mx,2014-01-18,Mexico,Jimmy_Choo/NP00000_NP00000/jimmy_choo,"Así  mismo  la  elegancia  de  Sofía  Vergara  para  esta  entrega  de  premios  no  tuvo  comparación  ,  durante  la  gala  ,  se  lució  con  un  diseño  de  Donna  Karan  Atelier  ,  zapatos  Charlotte  Olympia  ,  complementado  con  un  bolso  de Jimmy_Choo  .",jimmy_choo,np00000_np00000,jimmy_choo,de,de,SPS00,bolso,bolso,NCMS000,un,uno,DI0MS0,con,con,SPS00,complementado,complementar,VMP00SM,.,.,Fp,,,,,,,,,,,,,2014-01-18,2014,2010,,SPS00 Jimmy Choo Fp,NCMS000 SPS00 Jimmy Choo,DI0MS0 NCMS000 SPS00 Jimmy Choo,SPS00 DI0MS0 NCMS000 SPS00 Jimmy Choo,,,,,de Jimmy Choo .,bolso de Jimmy Choo,uno bolso de Jimmy Choo,con uno bolso de Jimmy Choo,,,
http://entretenimiento.terra.com.mx/cine/los-sag-awards-y-los-mejores-vestidos-de-sus-alfombras-rojas%2C8f6964a34f1a3410VgnVCM5000009ccceb0aRCRD.html,terra.com.mx,2014-01-18,Mexico,Jimmy_Choo/NP00000_NP00000/jimmy_choo,"Este  diseño  de  Christian  Dior  ,  lo  acompañó  con  finas  joyas  Chopard  ,  un  bolso  Roger  Vivier  y  zapatos  de Jimmy_Choo  .",jimmy_choo,np00000_np00000,jimmy_choo,de,de,SPS00,zapatos,zapato,NCMP000,y,y,CC,Vivier,vivier,NP00000,Roger,roger,NP00000,.,.,Fp,,,,,,,,,,,,,2014-01-18,2014,2010,,SPS00 Jimmy Choo Fp,NCMP000 SPS00 Jimmy Choo,CC NCMP000 SPS00 Jimmy Choo,NP00000 CC NCMP000 SPS00 Jimmy Choo,,,,,de Jimmy Choo .,zapato de Jimmy Choo,y zapato de Jimmy Choo,vivier y zapato de Jimmy Choo,,,
http://www.larazon.es/detalle_normal/noticias/5241284/portada/traemelo-de-madrid-victor-o-victoria,larazon.es,2014-01-25,Spain,Jimmy_Choo/NP00000_NP00000/jimmy_choo,"Para  rematar  el  estilismo  ,  zapatos  de  tacón  alto  en  tono  lima  y  cartera  XL  de  pitón  y  cierre  de  sobre  metálico  ,  ambos  de Jimmy_Choo  .",jimmy_choo,np00000_np00000,jimmy_choo,de,de,SPS00,ambos,ambos,PI0MP000,",",",",Fc,metálico,metálico,AQ0MS0,sobre,sobre,SPS00,.,.,Fp,,,,,,,,,,,,,2014-01-25,2014,2010,,SPS00 Jimmy Choo Fp,PI0MP000 SPS00 Jimmy Choo,Fc PI0MP000 SPS00 Jimmy Choo,AQ0MS0 Fc PI0MP000 SPS00 Jimmy Choo,,,,,de Jimmy Choo .,ambos de Jimmy Choo,", ambos de Jimmy Choo","metálico , ambos de Jimmy Choo",,,
http://www.elnuevoherald.com/2014/01/29/1667753/detienen-en-japon-a-un-hombre.html#storylink%3Drss,elnuevoherald.com,2014-01-30,United States,Jimmy_Choo/NP00000_NP00000/jimmy_choo,"Para  sorpresa  de  los  agentes  ,  el  almacén  contenía  unos  450  pares  de  zapatos  de  tacón  elaborados  por  prestigiosos  diseñadores  como Jimmy_Choo  .",jimmy_choo,np00000_np00000,jimmy_choo,como,como,CS,diseñadores,diseñador,NCMP000,prestigiosos,prestigioso,AQ0MP0,por,por,SPS00,elaborados,elaborar,VMP00PM,.,.,Fp,,,,,,,,,,,,,2014-01-30,2014,2010,,CS Jimmy Choo Fp,NCMP000 CS Jimmy Choo,AQ0MP0 NCMP000 CS Jimmy Choo,SPS00 AQ0MP0 NCMP000 CS Jimmy Choo,,,,,como Jimmy Choo .,diseñador como Jimmy Choo,prestigioso diseñador como Jimmy Choo,por prestigioso diseñador como Jimmy Choo,,,
