url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.elperiodico.com/es/noticias/politica/ocho-botellines-agua-juanolas-para-garganta-3087192?utm_source=rss-noticias&amputm_medium=feed&amputm_campaign=politica,elperiodico.com,2014-02-10,===NONE===,juanolas/NCFP000/juanolas,<doc uri=http://www.elperiodico.com/es/noticias/politica/ocho-botellines-agua-juanolas-para-garganta-3087192?utm_source=rss-noticias&amputm_medium=feed&amputm_campaign=politica website=elperiodico.com date=2014-02-10 source_country=> /8/Z /botellín/NCMP000 /de/SPS00 /agua/NCCS000 /y/CC /'/Fe juanolas  '  para  la  garganta,juanolas,ncfp000,juanolas,',',Fe,y,y,CC,agua,agua,NCCS000,de,de,SPS00,botellines,botellín,NCMP000,',',Fe,para,para,SPS00,la,el,DA0FS0,garganta,garganta,NCFS000,,,,2014-02-10,2014,2010,CC Fe Juanola Fe SPS00,Fe Juanola Fe,CC Fe Juanola,NCCS000 CC Fe Juanola,SPS00 NCCS000 CC Fe Juanola,Juanola Fe SPS00,Juanola Fe SPS00 DA0FS0,Juanola Fe SPS00 DA0FS0 NCFS000,y ' Juanola ' para,' Juanola ',y ' Juanola,agua y ' Juanola,de agua y ' Juanola,Juanola ' para,Juanola ' para el,Juanola ' para el garganta
http://www.elperiodico.com/es/noticias/politica/ocho-botellines-agua-juanolas-para-garganta-3087192?utm_source=rss-noticias&amputm_medium=feed&amputm_campaign=politica,elperiodico.com,2014-02-10,===NONE===,Juanola/NP00000/juanola,"Uno  de  sus  abogados  ,  Pau  Molins  ,  tuvo  que  levantarse  en  una  ocasión  del  estrado  donde  estaba  para  ofrecerle  una  pastilla Juanola  .",juanola,np00000,juanola,pastilla,pastilla,NCFS000,una,uno,DI0FS0,ofrecerle,ofrecer+le,VMN0000+PP3CSD00,para,para,SPS00,estaba,estar,VAII1S0,.,.,Fp,,,,,,,,,,,,,2014-02-10,2014,2010,,NCFS000 Juanola Fp,DI0FS0 NCFS000 Juanola,VMN0000+PP3CSD00 DI0FS0 NCFS000 Juanola,SPS00 VMN0000+PP3CSD00 DI0FS0 NCFS000 Juanola,,,,,pastilla Juanola .,uno pastilla Juanola,ofrecer+le uno pastilla Juanola,para ofrecer+le uno pastilla Juanola,,,
http://www.elmundo.es/loc/2014/02/27/530e02c522601d88168b4572.html,elmundo.es,2014-02-27,Spain,Juanola/NP00000/juanola,David  Bustamante  y  la Juanola  Propolis  .,juanola,np00000,juanola,la,el,DA0FS0,y,y,CC,Bustamante,bustamante,NP00000,David,david,NP00000,,,,Propolis,propolis,NP00000,.,.,Fp,,,,,,,,,,2014-02-27,2014,2010,CC DA0FS0 Juanola NP00000 Fp,DA0FS0 Juanola NP00000,CC DA0FS0 Juanola,NP00000 CC DA0FS0 Juanola,NP00000 NP00000 CC DA0FS0 Juanola,Juanola NP00000 Fp,,,y el Juanola propolis .,el Juanola propolis,y el Juanola,bustamante y el Juanola,david bustamante y el Juanola,Juanola propolis .,,
http://www.elmundo.es/loc/2014/02/27/530e02c522601d88168b4572.html,elmundo.es,2014-02-27,Spain,Juanola/NP00000/juanola,"De  este  anuncio  no  hay  versión  televisiva  ,  pero  no  importa  porque  el  resultado  de  la  colaboración  entre  David  Bustamante  y  la  centenaria  marca  de  pastillas Juanola  es  ,  como  poco  ,  gloriosa  .",juanola,np00000,juanola,pastillas,pastilla,NCFP000,de,de,SPS00,marca,marca,NCFS000,centenaria,centenario,AQ0FS0,la,el,DA0FS0,es,ser,VSIP3S0,",",",",Fc,como,como,CS,poco,poco,RG,",",",",Fc,2014-02-27,2014,2010,SPS00 NCFP000 Juanola VSIP3S0 Fc,NCFP000 Juanola VSIP3S0,SPS00 NCFP000 Juanola,NCFS000 SPS00 NCFP000 Juanola,AQ0FS0 NCFS000 SPS00 NCFP000 Juanola,Juanola VSIP3S0 Fc,Juanola VSIP3S0 Fc CS,Juanola VSIP3S0 Fc CS RG,"de pastilla Juanola ser ,",pastilla Juanola ser,de pastilla Juanola,marca de pastilla Juanola,centenario marca de pastilla Juanola,"Juanola ser ,","Juanola ser , como","Juanola ser , como poco"
http://www.boe.es/diario_boe/txt.php?id=BOE-B-2014-7487,boe.es,2014-03-01,Spain,Juanola/NP00000/juanola,"Suroeste  ,  tomando  como  tal  la  calle  de  su  situación  (  Abadesa  de  Olzet  )  ,  en  parte  con  ésta  ,  y  en  parte  con  finca  número  34  de  la  misma  calle  que  constituye  la  parcela  catastral  no  8  de  Doña  Marta  Roque Juanola  y  Juan  Ramón  Sague  Beiret  -  finca  registral  2.116  -  ;  por  la  derecha  entrando  ,  Sureste  ,  con  finca  no  32  de  la  misma  calle  de  su  situación  ,  que  constituye  la  parcela  catastral  no  6  de  Don  Ricardo  Vila  Comasolivas  -  finca  registral  686  )  -  :  por  la  izquierda  entrando  ,  Noroeste  ,  en  parte  con  a  parcela  catastral  8  antes  reseñada  ;  en  parte  con  finca  no  9  de  la  calle  Panamá  ,  que  constituye  la  parcela  catastral  no  10  ,  de  Doña  Esther  Nadal  Sauquet  o  sus  derechohabientes  desconociéndose  su  número  de  finca  registral  ;",juanola,np00000,juanola,Roque,roque,NP00000,Marta,marta,NP00000,Doña,doña,NP00000,de,de,SPS00,8,8,Z,y,y,CC,Juan,juan,NP00000,Ramón,ramón,NP00000,Sague,sague,NP00000,Beiret,beiret,NP00000,2014-03-01,2014,2010,NP00000 NP00000 Juanola CC NP00000,NP00000 Juanola CC,NP00000 NP00000 Juanola,NP00000 NP00000 NP00000 Juanola,SPS00 NP00000 NP00000 NP00000 Juanola,Juanola CC NP00000,Juanola CC NP00000 NP00000,Juanola CC NP00000 NP00000 NP00000,marta roque Juanola y juan,roque Juanola y,marta roque Juanola,doña marta roque Juanola,de doña marta roque Juanola,Juanola y juan,Juanola y juan ramón,Juanola y juan ramón sague
http://www.elperiodico.com/es/noticias/sociedad/muere-una-mujer-alt-emporda-tras-sufrir-una-brutal-paliza-3157830?utm_source=rss-noticias&amputm_medium=feed&amputm_campaign=portada,elperiodico.com,2014-03-05,===NONE===,Juanola/NP00000/juanola,"Neus Juanola  Juan  ,  perteneciente  a  una  acaudalada  familia  del  municipio  ,  fue  hallada  tirada  en  un  campo  por  uno  de  los  trabajadores  de  la  empresa  que  regentan  sus  cuñados  M.  Cazorla  .",juanola,np00000,juanola,Neus,neus,NP00000,,,,,,,,,,,,,Juan,juan,NP00000,",",",",Fc,perteneciente,perteneciente,AQ0CS0,a,a,SPS00,una,uno,DI0FS0,2014-03-05,2014,2010,,NP00000 Juanola NP00000,,,,Juanola NP00000 Fc,Juanola NP00000 Fc AQ0CS0,Juanola NP00000 Fc AQ0CS0 SPS00,,neus Juanola juan,,,,"Juanola juan ,","Juanola juan , perteneciente","Juanola juan , perteneciente a"
http://ccaa.elpais.com/ccaa/2014/03/05/catalunya/1394033308_914583.html,elpais.com,2014-03-05,Spain,Juanola/NP00000/juanola,"Este  martes  ha  fallecido  en  el  Hospital  Trueta  de  Girona  Neus Juanola  ,  la  vecina  de  Cabanes  (  Alt  Empordà  )  de  75  años  que  el  pasado  viernes  fue  hallada  atada  de  pies  y  manos  por  un  hombre  .",juanola,np00000,juanola,Neus,neus,NP00000,Girona,girona,NP00000,de,de,SPS00,Trueta,trueta,NP00000,Hospital,hospital,NP00000,",",",",Fc,la,el,DA0FS0,vecina,vecino,NCFS000,de,de,SPS00,Cabanes,cabanes,NP00000,2014-03-05,2014,2010,NP00000 NP00000 Juanola Fc DA0FS0,NP00000 Juanola Fc,NP00000 NP00000 Juanola,SPS00 NP00000 NP00000 Juanola,NP00000 SPS00 NP00000 NP00000 Juanola,Juanola Fc DA0FS0,Juanola Fc DA0FS0 NCFS000,Juanola Fc DA0FS0 NCFS000 SPS00,"girona neus Juanola , el","neus Juanola ,",girona neus Juanola,de girona neus Juanola,trueta de girona neus Juanola,"Juanola , el","Juanola , el vecino","Juanola , el vecino de"
http://ccaa.elpais.com/ccaa/2014/03/05/catalunya/1394033308_914583.html,elpais.com,2014-03-05,Spain,Juanola/NP00000/juanola," Juanola  se  encontraba  sola  en  el  momento  del  ataque  ,  ya  que  su  marido  ,  Miquel  Cazorla  ,  está  ingresado  en  una  clínica  de  Figueres  para  recuperarse  de  lesiones  provocadas  por  una  caída  .",juanola,np00000,juanola,,,,,,,,,,,,,,,,se,se,P00CN000,encontraba,encontrar,VMII3S0,sola,solo,AQ0FS0,en,en,SPS00,el,el,DA0MS0,2014-03-05,2014,2010,,,,,,Juanola P00CN000 VMII3S0,Juanola P00CN000 VMII3S0 AQ0FS0,Juanola P00CN000 VMII3S0 AQ0FS0 SPS00,,,,,,Juanola se encontrar,Juanola se encontrar solo,Juanola se encontrar solo en
http://ccaa.elpais.com/ccaa/2014/03/05/catalunya/1394033308_914583.html,elpais.com,2014-03-05,Spain,Juanola/NP00000/juanola,El  asalto  a  Neus Juanola  ha  acabado  convirtiéndose  en  el  primer  homicidio  de  las  comarcas  de  Girona  de  este  año  .,juanola,np00000,juanola,Neus,neus,NP00000,a,a,SPS00,asalto,asalto,NCMS000,El,el,DA0MS0,,,,ha,haber,VAIP3S0,acabado,acabar,VMP00SM,convirtiéndose,convertir+se,VMG0000+PP3CN000,en,en,SPS00,el,el,DA0MS0,2014-03-05,2014,2010,SPS00 NP00000 Juanola VAIP3S0 VMP00SM,NP00000 Juanola VAIP3S0,SPS00 NP00000 Juanola,NCMS000 SPS00 NP00000 Juanola,DA0MS0 NCMS000 SPS00 NP00000 Juanola,Juanola VAIP3S0 VMP00SM,Juanola VAIP3S0 VMP00SM VMG0000+PP3CN000,Juanola VAIP3S0 VMP00SM VMG0000+PP3CN000 SPS00,a neus Juanola haber acabar,neus Juanola haber,a neus Juanola,asalto a neus Juanola,el asalto a neus Juanola,Juanola haber acabar,Juanola haber acabar convertir+se,Juanola haber acabar convertir+se en
http://ccaa.elpais.com/ccaa/2014/03/16/catalunya/1394998833_326973.html,elpais.com,2014-03-17,Spain,Juanola/NP00000/juanola,"La  consejería  tiene  un  plazo  máximo  de  tres  años  para  dejar  su  sede  de  la  Rambla  de  Catalunya  ,  que  el  pasado  mes  de  diciembre  vendió  por  23,2_millones  de  euros  al  grupo  italiano  Angelini  ,  el  dueño  de  las  pastillas Juanola  .",juanola,np00000,juanola,pastillas,pastilla,NCFP000,las,el,DA0FP0,de,de,SPS00,dueño,dueño,NCMS000,el,el,DA0MS0,.,.,Fp,,,,,,,,,,,,,2014-03-17,2014,2010,,NCFP000 Juanola Fp,DA0FP0 NCFP000 Juanola,SPS00 DA0FP0 NCFP000 Juanola,NCMS000 SPS00 DA0FP0 NCFP000 Juanola,,,,,pastilla Juanola .,el pastilla Juanola,de el pastilla Juanola,dueño de el pastilla Juanola,,,
