url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.infonews.com/2015/01/29/sociedad-183566-joyas-del-caribe.php,infonews.com,2015-01-30,United States,Beck-way/NP00000/beck-way,"Así  que  le  toca  a  Bequia  (  que  se  pronuncia  ' Beck-way  '  )  ,  la  isla  granadina  más  cercana  a  San  Vicente  ,  equilibrar  la  balanza  .",beck-way,np00000,beck-way,',',Fe,pronuncia,pronunciar,VMIP3S0,se,se,P00CN000,que,que,PR0CN000,(,(,Fpa,',',Fe,),),Fpt,",",",",Fc,la,el,DA0FS0,isla,isla,NCFS000,2015-01-30,2015,2010,VMIP3S0 Fe K-Way Fe Fpt,Fe K-Way Fe,VMIP3S0 Fe K-Way,P00CN000 VMIP3S0 Fe K-Way,PR0CN000 P00CN000 VMIP3S0 Fe K-Way,K-Way Fe Fpt,K-Way Fe Fpt Fc,K-Way Fe Fpt Fc DA0FS0,pronunciar ' K-Way ' ),' K-Way ',pronunciar ' K-Way,se pronunciar ' K-Way,que se pronunciar ' K-Way,K-Way ' ),"K-Way ' ) ,","K-Way ' ) , el"
http://www.abc.es/motor-novedades/20150305/abci-fiat-panda-201503040947.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2015-03-05,Spain,K-Way/NP00000/k-way,"<doc uri=http://www.abc.es/motor-novedades/20150305/abci-fiat-panda-201503040947.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss website=abc.es date=2015-03-05 source_country=Spain> /panda/NP00000 K-Way  ,  impermeable",k-way,np00000,k-way,Panda,panda,NP00000,,,,,,,,,,,,,",",",",Fc,impermeable,impermeable,AQ0CS0,,,,,,,,,,2015-03-05,2015,2010,,NP00000 K-Way Fc,,,,K-Way Fc AQ0CS0,,,,"panda K-Way ,",,,,"K-Way , impermeable",,
http://www.abc.es/motor-novedades/20150305/abci-fiat-panda-201503040947.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2015-03-05,Spain,K-Way/NP00000/k-way,En  el  dorso  de  los  asientos  delanteros  el  Panda K-Way  adosa  sendos  chalecos  especiales  .,k-way,np00000,k-way,Panda,panda,NP00000,el,el,DA0MS0,delanteros,delantero,AQ0MP0,asientos,asiento,NCMP000,los,el,DA0MP0,adosa,adosar,VMIP3S0,sendos,sendos,DI0MP0,chalecos,chaleco,NCMP000,especiales,especial,AQ0CP0,.,.,Fp,2015-03-05,2015,2010,DA0MS0 NP00000 K-Way VMIP3S0 DI0MP0,NP00000 K-Way VMIP3S0,DA0MS0 NP00000 K-Way,AQ0MP0 DA0MS0 NP00000 K-Way,NCMP000 AQ0MP0 DA0MS0 NP00000 K-Way,K-Way VMIP3S0 DI0MP0,K-Way VMIP3S0 DI0MP0 NCMP000,K-Way VMIP3S0 DI0MP0 NCMP000 AQ0CP0,el panda K-Way adosar sendos,panda K-Way adosar,el panda K-Way,delantero el panda K-Way,asiento delantero el panda K-Way,K-Way adosar sendos,K-Way adosar sendos chaleco,K-Way adosar sendos chaleco especial
http://www.abc.es/motor-novedades/20150305/abci-fiat-panda-201503040947.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2015-03-05,Spain,K-Way/NP00000/k-way,Fiat  se  ha  asociado  con  el  fabricante  canadiense  de  moda  y  prendas  impermeables K-Way  para  alumbrar  una  serie  especial  y  limitada  del  urbanita  Panda  .,k-way,np00000,k-way,impermeables,impermeable,AQ0CP0,prendas,prenda,NCFP000,y,y,CC,moda,moda,NCFS000,de,de,SPS00,para,para,SPS00,alumbrar,alumbrar,VMN0000,una,uno,DI0FS0,serie,serie,NCFS000,especial,especial,AQ0CS0,2015-03-05,2015,2010,NCFP000 AQ0CP0 K-Way SPS00 VMN0000,AQ0CP0 K-Way SPS00,NCFP000 AQ0CP0 K-Way,CC NCFP000 AQ0CP0 K-Way,NCFS000 CC NCFP000 AQ0CP0 K-Way,K-Way SPS00 VMN0000,K-Way SPS00 VMN0000 DI0FS0,K-Way SPS00 VMN0000 DI0FS0 NCFS000,prenda impermeable K-Way para alumbrar,impermeable K-Way para,prenda impermeable K-Way,y prenda impermeable K-Way,moda y prenda impermeable K-Way,K-Way para alumbrar,K-Way para alumbrar uno,K-Way para alumbrar uno serie
http://www.abc.es/motor-novedades/20150305/abci-fiat-panda-201503040947.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2015-03-05,Spain,K-Way/NP00000/k-way,"Sobre  el  Panda  convencional  ,  el K-Way  exhibe  tonalidad  azul  oscuro  de  carrocería  con  detalles  naranjas  (  carcasas  de  retrovisores  y  centro  de  tapacubos  )  en  contraste  .",k-way,np00000,k-way,el,el,DA0MS0,",",",",Fc,convencional,convencional,AQ0CS0,Panda,panda,NP00000,el,el,DA0MS0,exhibe,exhibir,VMIP3S0,tonalidad,tonalidad,NCFS000,azul,azul,AQ0CS0,oscuro,oscuro,AQ0MS0,de,de,SPS00,2015-03-05,2015,2010,Fc DA0MS0 K-Way VMIP3S0 NCFS000,DA0MS0 K-Way VMIP3S0,Fc DA0MS0 K-Way,AQ0CS0 Fc DA0MS0 K-Way,NP00000 AQ0CS0 Fc DA0MS0 K-Way,K-Way VMIP3S0 NCFS000,K-Way VMIP3S0 NCFS000 AQ0CS0,K-Way VMIP3S0 NCFS000 AQ0CS0 AQ0MS0,", el K-Way exhibir tonalidad",el K-Way exhibir,", el K-Way","convencional , el K-Way","panda convencional , el K-Way",K-Way exhibir tonalidad,K-Way exhibir tonalidad azul,K-Way exhibir tonalidad azul oscuro
http://www.abc.es/motor-novedades/20150305/abci-fiat-panda-201503040947.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2015-03-05,Spain,K-Way/NP00000/k-way,"También  el  salpicadero  juega  con  los  azul  ,  naranja  y  amarillo  de K-Way  ,  con  alfombrillas  específicas  y  ,  sobre  todo  ,  tapicería  cruce  de  azul  y  gris  .",k-way,np00000,k-way,de,de,SPS00,amarillo,amarillo,NCMS000,y,y,CC,naranja,naranja,NCCS000,",",",",Fc,",",",",Fc,con,con,SPS00,alfombrillas,alfombrilla,NCFP000,específicas,específico,AQ0FP0,y,y,CC,2015-03-05,2015,2010,NCMS000 SPS00 K-Way Fc SPS00,SPS00 K-Way Fc,NCMS000 SPS00 K-Way,CC NCMS000 SPS00 K-Way,NCCS000 CC NCMS000 SPS00 K-Way,K-Way Fc SPS00,K-Way Fc SPS00 NCFP000,K-Way Fc SPS00 NCFP000 AQ0FP0,"amarillo de K-Way , con","de K-Way ,",amarillo de K-Way,y amarillo de K-Way,naranja y amarillo de K-Way,"K-Way , con","K-Way , con alfombrilla","K-Way , con alfombrilla específico"
http://www.abc.es/motor-novedades/20150305/abci-fiat-panda-201503040947.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2015-03-05,Spain,K-Way/NP00000/k-way,En  el  dorso  de  los  respaldos  delanteros  adosa  chalecos  reflectantes  impermeables K-Way  .,k-way,np00000,k-way,impermeables,impermeable,AQ0CP0,reflectantes,reflectante,AQ0CP0,chalecos,chaleco,NCMP000,adosa,adosar,VMIP3S0,delanteros,delantero,AQ0MP0,.,.,Fp,,,,,,,,,,,,,2015-03-05,2015,2010,,AQ0CP0 K-Way Fp,AQ0CP0 AQ0CP0 K-Way,NCMP000 AQ0CP0 AQ0CP0 K-Way,VMIP3S0 NCMP000 AQ0CP0 AQ0CP0 K-Way,,,,,impermeable K-Way .,reflectante impermeable K-Way,chaleco reflectante impermeable K-Way,adosar chaleco reflectante impermeable K-Way,,,
http://www.avn.info.ve/contenido/festival-teatro-2015-afianza-%c3%a1mbito-cultural-capital-miranda,avn.info.ve,2015-10-24,"Venezuela, Bolivarian Republic of",K-Waya/NP00000/k-waya,"Por  su  parte  el  director  de  la  fundación  Teatral  Cultural K-Waya  ,  Eduardo  Rojas  ,  dijo  a  AVN  que  este  festival  enaltece  el  legado  histórico  del  líder  de  la  Revolución  ,  Hugo  Chávez  ,  de  promover  la  cultura  dentro  de  las  comunidades  junto  al  Poder  Popular  .",k-waya,np00000,k-waya,Cultural,cultural,NP00000,Teatral,teatral,NP00000,fundación,fundación,NCFS000,la,el,DA0FS0,de,de,SPS00,",",",",Fc,Eduardo,eduardo,NP00000,Rojas,rojas,NP00000,",",",",Fc,dijo,decir,VMIS3S0,2015-10-24,2015,2010,NP00000 NP00000 K-Way Fc NP00000,NP00000 K-Way Fc,NP00000 NP00000 K-Way,NCFS000 NP00000 NP00000 K-Way,DA0FS0 NCFS000 NP00000 NP00000 K-Way,K-Way Fc NP00000,K-Way Fc NP00000 NP00000,K-Way Fc NP00000 NP00000 Fc,"teatral cultural K-Way , eduardo","cultural K-Way ,",teatral cultural K-Way,fundación teatral cultural K-Way,el fundación teatral cultural K-Way,"K-Way , eduardo","K-Way , eduardo rojas","K-Way , eduardo rojas ,"
http://www.avn.info.ve/contenido/festival-teatro-2015-afianza-%c3%a1mbito-cultural-capital-miranda,avn.info.ve,2015-10-24,"Venezuela, Bolivarian Republic of",K-Waya/NP00000/k-waya,"Cuenta  Peregrino  (  Aragua  )  ,  Producciones  Bora  Bora  (  Miranda  )  ,  Teatro  del  Silencio  (  Distrito  Capital  )  ,  Crupo  de  Teatro  Alas  de  Cuba  (  Cuba  )  ,  Centro  de  Producción  de  Actividades  Alternas  (  Distrito  Capital  )  ,  fundación  Teatral  Cultural K-Waya  (  Miranda  )  ,  Espacio  Escénico  MF  (  Distrito  Capital  )  ,  son  algunos  de  los  grupos  invitados  a  participar  en  el  festival  .",k-waya,np00000,k-waya,Cultural,cultural,NP00000,Teatral,teatral,NP00000,fundación,fundación,NCFS000,",",",",Fc,),),Fpt,(,(,Fpa,Miranda,miranda,NP00000,),),Fpt,",",",",Fc,Espacio,espacio,NP00000,2015-10-24,2015,2010,NP00000 NP00000 K-Way Fpa NP00000,NP00000 K-Way Fpa,NP00000 NP00000 K-Way,NCFS000 NP00000 NP00000 K-Way,Fc NCFS000 NP00000 NP00000 K-Way,K-Way Fpa NP00000,K-Way Fpa NP00000 Fpt,K-Way Fpa NP00000 Fpt Fc,teatral cultural K-Way ( miranda,cultural K-Way (,teatral cultural K-Way,fundación teatral cultural K-Way,", fundación teatral cultural K-Way",K-Way ( miranda,K-Way ( miranda ),"K-Way ( miranda ) ,"
http://www.psuv.org.ve/temas/noticias/mision-cultura-corazon-adentro-miranda-cultural-hugo-chavez-venezuela/,psuv.org.ve,2016-04-26,"Venezuela, Bolivarian Republic of",K-Waya/NP00000/k-waya,"Wendy  Villegas  ,  participante  de  talleres  e  integrante  de  la  Fundación K-Waya  ,  considera  que  la  Misión  Cultura  fue  una  ventana  para  acercarse  al  teatro  y  formarse  en  las  tablas  desde  hace  tres  años  .",k-waya,np00000,k-waya,Fundación,fundación,NP00000,la,el,DA0FS0,de,de,SPS00,integrante,integrante,NCCS000,e,y,CC,",",",",Fc,considera,considerar,VMIP3S0,que,que,CS,la,el,DA0FS0,Misión,misión,NP00000,2016-04-26,2016,2010,DA0FS0 NP00000 K-Way Fc VMIP3S0,NP00000 K-Way Fc,DA0FS0 NP00000 K-Way,SPS00 DA0FS0 NP00000 K-Way,NCCS000 SPS00 DA0FS0 NP00000 K-Way,K-Way Fc VMIP3S0,K-Way Fc VMIP3S0 CS,K-Way Fc VMIP3S0 CS DA0FS0,"el fundación K-Way , considerar","fundación K-Way ,",el fundación K-Way,de el fundación K-Way,integrante de el fundación K-Way,"K-Way , considerar","K-Way , considerar que","K-Way , considerar que el"
