url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.larazon.es/detalle_normal/noticias/4921585/espana/una-cupula-con-historial-sangriento,larazon.es,2014-01-02,Spain,KAS/NP00000/kas,"Histórico  responsable  de KAS  y  de  la  Mesa  Nacional  de  HB  ,  está  en  prisión  desde  2007  .",kas,np00000,kas,de,de,SPS00,responsable,responsable,NCCS000,Histórico,histórico,AQ0MS0,,,,,,,y,y,CC,de,de,SPS00,la,el,DA0FS0,Mesa,mesa,NP00000,Nacional,nacional,NP00000,2014-01-02,2014,2010,NCCS000 SPS00 Kas CC SPS00,SPS00 Kas CC,NCCS000 SPS00 Kas,AQ0MS0 NCCS000 SPS00 Kas,,Kas CC SPS00,Kas CC SPS00 DA0FS0,Kas CC SPS00 DA0FS0 NP00000,responsable de Kas y de,de Kas y,responsable de Kas,histórico responsable de Kas,,Kas y de,Kas y de el,Kas y de el mesa
http://www.diariovasco.com/v/20140110/tolosa-goierri/goenkale-secreto-puente-viejo-20140110.html?utm_source=diariovasco.com&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,diariovasco.com,2014-01-10,Spain,KAS/NP00000/kas,"Xabier  asegura  que  desde  siempre  le  ha  gustado  ser  actor  y  ,  además  de  en  '  El  secreto  de  Puente  Viejo  '  y  en  '  Goenkale  '  ,  ""  tuve  la  oportunidad  de  trabajar  en  la  serie  '  Doctor  Mateo  '  y  en  un  anuncio  de  verano  de KAS  (  Felicikas  )  .",kas,np00000,kas,de,de,SPS00,verano,verano,NCMS000,de,de,SPS00,anuncio,anuncio,NCMS000,un,uno,DI0MS0,(,(,Fpa,Felicikas,felicikas,NP00000,),),Fpt,.,.,Fp,,,,2014-01-10,2014,2010,NCMS000 SPS00 Kas Fpa NP00000,SPS00 Kas Fpa,NCMS000 SPS00 Kas,SPS00 NCMS000 SPS00 Kas,NCMS000 SPS00 NCMS000 SPS00 Kas,Kas Fpa NP00000,Kas Fpa NP00000 Fpt,Kas Fpa NP00000 Fpt Fp,verano de Kas ( felicikas,de Kas (,verano de Kas,de verano de Kas,anuncio de verano de Kas,Kas ( felicikas,Kas ( felicikas ),Kas ( felicikas ) .
http://deportes.publimetro.com.mx/mexicano-se-prepara-para-debut-en-australia-open,publimetro.com.mx,2014-01-13,Mexico,Kas/NP00000/kas,"Su  mejor  competencia  la  hizo  en  2012  ,  al  lado  del  alemán  Christopher Kas  ,  al  llegar  a  cuartos  de  final  ,  etapa  en  la  que  fueron  eliminados  por  1-6  ,  7-6  (  6/4  )  y  2-6  ante  el  combinado  formado  por  el  bielorruso  Max  Mirnyi  y  el  canadiense  Daniel  Nestor  ,  en  cuartos  de  final  .",kas,np00000,kas,Christopher,christopher,NP00000,alemán,alemán,NCMS000,del,de+el,SPS00+DA0MS0,lado,lado,NCMS000,al,a+el,SPS00+DA0MS0,",",",",Fc,al,a+el,SPS00+DA0MS0,llegar,llegar,VMN0000,a,a,SPS00,cuartos,cuarto,NCMP000,2014-01-13,2014,2010,NCMS000 NP00000 Kas Fc SPS00+DA0MS0,NP00000 Kas Fc,NCMS000 NP00000 Kas,SPS00+DA0MS0 NCMS000 NP00000 Kas,NCMS000 SPS00+DA0MS0 NCMS000 NP00000 Kas,Kas Fc SPS00+DA0MS0,Kas Fc SPS00+DA0MS0 VMN0000,Kas Fc SPS00+DA0MS0 VMN0000 SPS00,"alemán christopher Kas , a+el","christopher Kas ,",alemán christopher Kas,de+el alemán christopher Kas,lado de+el alemán christopher Kas,"Kas , a+el","Kas , a+el llegar","Kas , a+el llegar a"
http://www.lne.es/deportes/2014/01/21/buenavista-premia-victor-magdalena/1530684.html?utm_medium=rss,lne.es,2014-01-21,Spain,Kas/NP00000/kas,"En  estas  bodas  de  plata  del  club  Buenavista  también  hubo  mención  especial  para  José  Enrique  Cima  ,  ciclista  profesional  del Kas  y  Teka  de  1976  a  1983  y  periodista  de  LA  NUEVA  ESPAÑA  . </doc>",kas,np00000,kas,del,de+el,SPS00+DA0MS0,profesional,profesional,AQ0CS0,ciclista,ciclista,NCCS000,",",",",Fc,Cima,cima,NP00000,y,y,CC,Teka,teka,NP00000,de,de,SPS00,1976,1976,Z,a,a,SPS00,2014-01-21,2014,2010,AQ0CS0 SPS00+DA0MS0 Kas CC NP00000,SPS00+DA0MS0 Kas CC,AQ0CS0 SPS00+DA0MS0 Kas,NCCS000 AQ0CS0 SPS00+DA0MS0 Kas,Fc NCCS000 AQ0CS0 SPS00+DA0MS0 Kas,Kas CC NP00000,Kas CC NP00000 SPS00,Kas CC NP00000 SPS00 Z,profesional de+el Kas y teka,de+el Kas y,profesional de+el Kas,ciclista profesional de+el Kas,", ciclista profesional de+el Kas",Kas y teka,Kas y teka de,Kas y teka de 1976
http://www.elmundo.es/opinion/2014/01/21/52dedec7268e3e8c208b458d.html,elmundo.es,2014-01-22,Spain,KAS/NP00000/kas,"Algunas  de  las  exigencias  de  este  documento  recuerdan  mucho  a  la  Alternativa KAS  ,  formulada  en  1976  por  un  grupo  de  pequeños  partidos  de  la  izquierda  abertzale  y  de  la  que  nació  Herri  Batasuna  .",kas,np00000,kas,Alternativa,alternativa,NP00000,la,el,DA0FS0,a,a,SPS00,mucho,mucho,RG,recuerdan,recordar,VMIP3P0,",",",",Fc,formulada,formular,VMP00SF,en,en,SPS00,1976,1976,Z,por,por,SPS00,2014-01-22,2014,2010,DA0FS0 NP00000 Kas Fc VMP00SF,NP00000 Kas Fc,DA0FS0 NP00000 Kas,SPS00 DA0FS0 NP00000 Kas,RG SPS00 DA0FS0 NP00000 Kas,Kas Fc VMP00SF,Kas Fc VMP00SF SPS00,Kas Fc VMP00SF SPS00 Z,"el alternativa Kas , formular","alternativa Kas ,",el alternativa Kas,a el alternativa Kas,mucho a el alternativa Kas,"Kas , formular","Kas , formular en","Kas , formular en 1976"
http://www.elmundo.es/espana/2014/01/22/52df15e2ca4741c97a8b458a.html,elmundo.es,2014-01-22,Spain,KAS/NP00000/kas,"Da  la  impresión  de  que  la  izquierda  abertzale  quiere  envolver  esto  en  la  consecución  de  la  Alternativa KAS  ,  tantos  años  después  .",kas,np00000,kas,Alternativa,alternativa,NP00000,la,el,DA0FS0,de,de,SPS00,consecución,consecución,NCFS000,la,el,DA0FS0,",",",",Fc,tantos,tanto,DI0MP0,años,año,NCMP000,después,después,RG,.,.,Fp,2014-01-22,2014,2010,DA0FS0 NP00000 Kas Fc DI0MP0,NP00000 Kas Fc,DA0FS0 NP00000 Kas,SPS00 DA0FS0 NP00000 Kas,NCFS000 SPS00 DA0FS0 NP00000 Kas,Kas Fc DI0MP0,Kas Fc DI0MP0 NCMP000,Kas Fc DI0MP0 NCMP000 RG,"el alternativa Kas , tanto","alternativa Kas ,",el alternativa Kas,de el alternativa Kas,consecución de el alternativa Kas,"Kas , tanto","Kas , tanto año","Kas , tanto año después"
http://www.eleconomista.es/cine/noticias/5489538/01/14/Matterhorn-del-holandes-Diederik-Ebbinge-gana-el-Zinegoak-de-Bilbao.html,eleconomista.es,2014-01-26,Spain,Kas/NP00000/kas,"Además  del  citado  ,  ha  recibido  los  premios  al  mejor  guión  de  largometraje  de  ficción  (  compartido  con  ""  Tom  à  la  ferme  ""  ,  de  Xavier  Dolan  )  y  mejor  interpretación  masculina  en  largometraje  de  ficción  para  Ton Kas  .",kas,np00000,kas,Ton,ton,NP00000,para,para,SPS00,ficción,ficción,NCFS000,de,de,SPS00,largometraje,largometraje,NCMS000,.,.,Fp,,,,,,,,,,,,,2014-01-26,2014,2010,,NP00000 Kas Fp,SPS00 NP00000 Kas,NCFS000 SPS00 NP00000 Kas,SPS00 NCFS000 SPS00 NP00000 Kas,,,,,ton Kas .,para ton Kas,ficción para ton Kas,de ficción para ton Kas,,,
http://elpais.com/elpais/2014/01/20/opinion/1390233476_565805.html,elpais.com,2014-01-26,Spain,KAS/NP00000/kas,"Su  agenda  reivindicativa  ,  tan  ampulosa  ,  su  alternativa KAS  ,  la  autodeterminación  ,  Navarra  ,  la  expulsión  de  las  Fuerzas  de  Seguridad  ...  ¿  Qué  ha  quedado  de  toda  aquella  retórica  ?",kas,np00000,kas,alternativa,alternativa,NCFS000,su,su,DP3CS0,",",",",Fc,ampulosa,ampuloso,AQ0FS0,tan,tan,RG,",",",",Fc,la,el,DA0FS0,autodeterminación,autodeterminación,NCFS000,",",",",Fc,Navarra,navarra,NP00000,2014-01-26,2014,2010,DP3CS0 NCFS000 Kas Fc DA0FS0,NCFS000 Kas Fc,DP3CS0 NCFS000 Kas,Fc DP3CS0 NCFS000 Kas,AQ0FS0 Fc DP3CS0 NCFS000 Kas,Kas Fc DA0FS0,Kas Fc DA0FS0 NCFS000,Kas Fc DA0FS0 NCFS000 Fc,"su alternativa Kas , el","alternativa Kas ,",su alternativa Kas,", su alternativa Kas","ampuloso , su alternativa Kas","Kas , el","Kas , el autodeterminación","Kas , el autodeterminación ,"
http://www.elcorreo.com/vizcaya/v/20140131/politica/eguiguren-suscribe-texto-apoyo-20140131.html?utm_source=elcorreodigital.com&utm_medium=rss&utm_content=ultima-rss&utm_campaign=traffic-rss,elcorreo.com,2014-01-31,Spain,KAS/NP00000/kas,"El  fiscal  les  imputa  un  delito  de  integración  en  organización  terrorista  ,  al  considerar  que  ese  colectivo  juvenil  fue  creado  dentro  del  Movimiento  de  Liberación  Nacional  Vasco  (  MNLV  )  para  ""  complementar  ""  la  actividad  de  ETA  y  continuar  con  la  labor  de KAS  y  Ekin  ,  organizaciones  que  también  fueron  ilegalizadas  .",kas,np00000,kas,de,de,SPS00,labor,labor,NCFS000,la,el,DA0FS0,con,con,SPS00,continuar,continuar,VMN0000,y,y,CC,Ekin,ekin,NP00000,",",",",Fc,organizaciones,organización,NCFP000,que,que,PR0CN000,2014-01-31,2014,2010,NCFS000 SPS00 Kas CC NP00000,SPS00 Kas CC,NCFS000 SPS00 Kas,DA0FS0 NCFS000 SPS00 Kas,SPS00 DA0FS0 NCFS000 SPS00 Kas,Kas CC NP00000,Kas CC NP00000 Fc,Kas CC NP00000 Fc NCFP000,labor de Kas y ekin,de Kas y,labor de Kas,el labor de Kas,con el labor de Kas,Kas y ekin,"Kas y ekin ,","Kas y ekin , organización"
http://www.heraldo.es/noticias/deportes/futbol/real_zaragoza/2014/01/31/lucas_porcar_cedido_kas_eupen_segunda_belga_268226_611027.html,heraldo.es,2014-01-31,Spain,Kas/NP00000/kas,"<doc uri=http://www.heraldo.es/noticias/deportes/futbol/real_zaragoza/2014/01/31/lucas_porcar_cedido_kas_eupen_segunda_belga_268226_611027.html website=heraldo.es date=2014-01-31 source_country=Spain> /porcar/NP00000 /,/Fc /ceder/VMP00SM /a+el/SPS00+DA0MS0 Kas  Eupen  de  la  segunda  división  belga",kas,np00000,kas,al,a+el,SPS00+DA0MS0,cedido,ceder,VMP00SM,",",",",Fc,Porcar,porcar,NP00000,,,,Eupen,eupen,NP00000,de,de,SPS00,la,el,DA0FS0,segunda,2,AO0FS0,división,división,NCFS000,2014-01-31,2014,2010,VMP00SM SPS00+DA0MS0 Kas NP00000 SPS00,SPS00+DA0MS0 Kas NP00000,VMP00SM SPS00+DA0MS0 Kas,Fc VMP00SM SPS00+DA0MS0 Kas,NP00000 Fc VMP00SM SPS00+DA0MS0 Kas,Kas NP00000 SPS00,Kas NP00000 SPS00 DA0FS0,Kas NP00000 SPS00 DA0FS0 AO0FS0,ceder a+el Kas eupen de,a+el Kas eupen,ceder a+el Kas,", ceder a+el Kas","porcar , ceder a+el Kas",Kas eupen de,Kas eupen de el,Kas eupen de el 2
