url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.lavozdegalicia.es/noticia/deza/2014/02/20/absuelven-empleada-estradense-acusada-hurto-dos-caramelos-chocolatina-bolsa-patatas-tres-paquetes-tabaco/00031392923432792251487.htm,lavozdegalicia.es,2014-02-20,Spain,Kinder_Bueno/NP00000_NP00000/kinder_bueno,"Se  la  acusaba  de  haber  consumido  en  el  establecimiento  en  el  que  trabajaba  dos  caramelos  ?  0,20  euros  ?  ,  un Kinder_Bueno  ?  1,10  euros  ?  ,  una  bolsa  de  patatas  ?  0,80  euros  ?  y  tres  paquetes  de  tabaco  BN  cuyo  precio  total  ascendía  a  13,65  euros  .",kinder_bueno,np00000_np00000,kinder_bueno,un,uno,DI0MS0,",",",",Fc,?,?,Fit,euros,euro,NCMP000,"0,20",0.2,Z,?,?,Fit,"1,10",1.1,Z,euros,euro,NCMP000,?,?,Fit,",",",",Fc,2014-02-20,2014,2010,Fc DI0MS0 Kinder Bueno Fit Z,DI0MS0 Kinder Bueno Fit,Fc DI0MS0 Kinder Bueno,Fit Fc DI0MS0 Kinder Bueno,NCMP000 Fit Fc DI0MS0 Kinder Bueno,Kinder Bueno Fit Z,Kinder Bueno Fit Z NCMP000,Kinder Bueno Fit Z NCMP000 Fit,", uno Kinder Bueno ? 1.1",uno Kinder Bueno ?,", uno Kinder Bueno","? , uno Kinder Bueno","euro ? , uno Kinder Bueno",Kinder Bueno ? 1.1,Kinder Bueno ? 1.1 euro,Kinder Bueno ? 1.1 euro ?
http://www.telecinco.es/informativos/economia/Ferrero-Iberica-mantuvo-ventas-millones_0_1766625609.html,telecinco.es,2014-03-22,Spain,Kinder_Bueno/NP00000_NP00000/kinder_bueno,"El  fabricante  de  Ferrero  Rocher  ,  Kinder  Sorpresa  y Kinder_Bueno  opera  en  la  Península  Ibérica  desde  el  1988  ,  y  cuenta  con  una  plantilla  de  161  trabajadores  repartidos  en  las  dos  sedes  corporativas  de  la  compañía  ,  ubicadas  en  Cornellà  de  Llobregat  (  Barcelona  )  y  Lisboa  .",kinder_bueno,np00000_np00000,kinder_bueno,y,y,CC,Sorpresa,sorpresa,NP00000,Kinder,kinder,NP00000,",",",",Fc,Rocher,rocher,NP00000,opera,operar,VMIP3S0,en,en,SPS00,la,el,DA0FS0,Península,península,NP00000,Ibérica,ibérica,NP00000,2014-03-22,2014,2010,NP00000 CC Kinder Bueno VMIP3S0 SPS00,CC Kinder Bueno VMIP3S0,NP00000 CC Kinder Bueno,NP00000 NP00000 CC Kinder Bueno,Fc NP00000 NP00000 CC Kinder Bueno,Kinder Bueno VMIP3S0 SPS00,Kinder Bueno VMIP3S0 SPS00 DA0FS0,Kinder Bueno VMIP3S0 SPS00 DA0FS0 NP00000,sorpresa y Kinder Bueno operar en,y Kinder Bueno operar,sorpresa y Kinder Bueno,kinder sorpresa y Kinder Bueno,", kinder sorpresa y Kinder Bueno",Kinder Bueno operar en,Kinder Bueno operar en el,Kinder Bueno operar en el península
http://www.lavozdegalicia.es/noticia/deza/2014/05/28/declaran-improcedentes-dos-despidos-quiosqueros-estradenses-cogami/0003_201405D28C5999.htm,lavozdegalicia.es,2014-05-28,Spain,Kinder_Bueno/NP00000_NP00000/kinder_bueno,"También  que  se  le  impute  comer  algún  producto  y  no  abonarlo  :  en  concreto  ,  en  19  días  ,  ""  dos  caramelos  ,  un Kinder_Bueno  y  una  bolsa  de  patatas  ""  ,  cuando  considera  acreditada  la  permisividad  de  la  empresa  ante  esta  actuación  que  realiza  ""  la  práctica  totalidad  de  la  plantilla  ""  .",kinder_bueno,np00000_np00000,kinder_bueno,un,uno,DI0MS0,",",",",Fc,caramelos,caramelo,NCMP000,dos,2,Z,"""","""",Fe,y,y,CC,una,uno,DI0FS0,bolsa,bolsa,NCFS000,de,de,SPS00,patatas,patata,NCFP000,2014-05-28,2014,2010,Fc DI0MS0 Kinder Bueno CC DI0FS0,DI0MS0 Kinder Bueno CC,Fc DI0MS0 Kinder Bueno,NCMP000 Fc DI0MS0 Kinder Bueno,Z NCMP000 Fc DI0MS0 Kinder Bueno,Kinder Bueno CC DI0FS0,Kinder Bueno CC DI0FS0 NCFS000,Kinder Bueno CC DI0FS0 NCFS000 SPS00,", uno Kinder Bueno y uno",uno Kinder Bueno y,", uno Kinder Bueno","caramelo , uno Kinder Bueno","2 caramelo , uno Kinder Bueno",Kinder Bueno y uno,Kinder Bueno y uno bolsa,Kinder Bueno y uno bolsa de
http://www.lavozdegalicia.es/noticia/sociedad/2014/07/05/nuevas-tendencias-llegan-helados/0003_201407SY5P2991.htm,lavozdegalicia.es,2014-07-06,Spain,kinder_bueno/VMN0000_AQ0MS0/kinder_bueno,"Un  ejemplo  :  tiramisú  con  chocolate  con  avellanas  y kinder_bueno  (  que  en  realidad  no  tiene  nada  que  ver  con  la  marca  ,  pero  les  recuerda  a  ese  sabor  y  se  adorna  con  galletitas  )  .",kinder_bueno,vmn0000_aq0ms0,kinder_bueno,y,y,CC,avellanas,avellana,NCFP000,con,con,SPS00,chocolate,chocolate,NCMS000,con,con,SPS00,(,(,Fpa,que,que,CS,en,en,SPS00,realidad,realidad,NCFS000,no,no,RN,2014-07-06,2014,2010,NCFP000 CC Kinder Bueno Fpa CS,CC Kinder Bueno Fpa,NCFP000 CC Kinder Bueno,SPS00 NCFP000 CC Kinder Bueno,NCMS000 SPS00 NCFP000 CC Kinder Bueno,Kinder Bueno Fpa CS,Kinder Bueno Fpa CS SPS00,Kinder Bueno Fpa CS SPS00 NCFS000,avellana y Kinder Bueno ( que,y Kinder Bueno (,avellana y Kinder Bueno,con avellana y Kinder Bueno,chocolate con avellana y Kinder Bueno,Kinder Bueno ( que,Kinder Bueno ( que en,Kinder Bueno ( que en realidad
http://www.lavozdegalicia.es/noticia/sociedad/2014/07/05/nuevas-tendencias-llegan-helados/0003_201407SY5P2991.htm,lavozdegalicia.es,2014-07-06,Spain,kinder_bueno/VMN0000_AQ0MS0/kinder_bueno,"No  son  los  niños  ,  pero  tampoco  los  más  mayores  ,  sino  los  jóvenes  ,  esa  franja  de  edad  que  sí  es  capaz  de  diferenciar  el  sabor  kinder  del kinder_bueno  ,  y  estos  dos  del  de  huesitos  y  el  kit  kat  .",kinder_bueno,vmn0000_aq0ms0,kinder_bueno,del,de+el,SPS00+DA0MS0,kinder,kinder,VMN0000,sabor,sabor,NCMS000,el,el,DA0MS0,diferenciar,diferenciar,VMN0000,",",",",Fc,y,y,CC,estos,este,DD0MP0,dos,2,Z,del,de+el,SPS00+DA0MS0,2014-07-06,2014,2010,VMN0000 SPS00+DA0MS0 Kinder Bueno Fc CC,SPS00+DA0MS0 Kinder Bueno Fc,VMN0000 SPS00+DA0MS0 Kinder Bueno,NCMS000 VMN0000 SPS00+DA0MS0 Kinder Bueno,DA0MS0 NCMS000 VMN0000 SPS00+DA0MS0 Kinder Bueno,Kinder Bueno Fc CC,Kinder Bueno Fc CC DD0MP0,Kinder Bueno Fc CC DD0MP0 Z,"kinder de+el Kinder Bueno , y","de+el Kinder Bueno ,",kinder de+el Kinder Bueno,sabor kinder de+el Kinder Bueno,el sabor kinder de+el Kinder Bueno,"Kinder Bueno , y","Kinder Bueno , y este","Kinder Bueno , y este 2"
http://www.elfinanciero.com.mx/empresas/ferrero-anuncia-compra-de-comercializadora-de-avellanas-de-turquia.html,elfinanciero.com.mx,2014-07-17,Mexico,Kinder_Bueno/NP00000_NP00000/kinder_bueno,"Ferrero  ,  a  su  vez  ,  es  dueño  de  productos  como  Nutella  ,  Ferrero  Rocher  y Kinder_Bueno  . </doc>",kinder_bueno,np00000_np00000,kinder_bueno,y,y,CC,Rocher,rocher,NP00000,Ferrero,ferrero,NP00000,",",",",Fc,Nutella,nutella,NP00000,.,.,Fp,</doc>,,,,,,,,,,,,2014-07-17,2014,2010,,CC Kinder Bueno Fp,NP00000 CC Kinder Bueno,NP00000 NP00000 CC Kinder Bueno,Fc NP00000 NP00000 CC Kinder Bueno,,,,,y Kinder Bueno .,rocher y Kinder Bueno,ferrero rocher y Kinder Bueno,", ferrero rocher y Kinder Bueno",,,
http://www.eleconomista.es/economia/noticias/5950621/07/14/El-Grupo-Ferrero-sigue-invirtiendo-en-Turquia-y-adquiere-Oltan-Group-dedicada-al-sector-de-la-avellana.html,eleconomista.es,2014-07-18,Spain,Kinder_Bueno/NP00000_NP00000/kinder_bueno,"El  Grupo  Ferrero  ,  que  cuenta  con  marcas  como  Nutella  ,  Ferrero  Rocher  y Kinder_Bueno  ,  refuerza  su  presencia  en  el  mercado  de  la  avellana  con  la  adquisición  del  100  %  de  la  empresa  familiar  turca  Oltan  Group  ,  según  ha  informado  la  empresa  en  un  comunicado  en  el  que  no  desvela  el  importe  de  la  transacción  .",kinder_bueno,np00000_np00000,kinder_bueno,y,y,CC,Rocher,rocher,NP00000,Ferrero,ferrero,NP00000,",",",",Fc,Nutella,nutella,NP00000,",",",",Fc,refuerza,reforzar,VMIP3S0,su,su,DP3CS0,presencia,presencia,NCFS000,en,en,SPS00,2014-07-18,2014,2010,NP00000 CC Kinder Bueno Fc VMIP3S0,CC Kinder Bueno Fc,NP00000 CC Kinder Bueno,NP00000 NP00000 CC Kinder Bueno,Fc NP00000 NP00000 CC Kinder Bueno,Kinder Bueno Fc VMIP3S0,Kinder Bueno Fc VMIP3S0 DP3CS0,Kinder Bueno Fc VMIP3S0 DP3CS0 NCFS000,"rocher y Kinder Bueno , reforzar","y Kinder Bueno ,",rocher y Kinder Bueno,ferrero rocher y Kinder Bueno,", ferrero rocher y Kinder Bueno","Kinder Bueno , reforzar","Kinder Bueno , reforzar su","Kinder Bueno , reforzar su presencia"
http://www.infobae.com/2014/08/08/1586385-novedades-del-sector-real-y-financiero,infobae.com,2014-08-08,Argentina,Kinder_Bueno/NP00000_NP00000/kinder_bueno,"GRUPO  FERRERO  reforzó  su  presencia  en  el  mercado  de  las  avellanas  ,  para  garantizar  y  mejorar  aún  más  la  calidad  de  una  de  sus  materias  primas  fundamentales  para  sus  productos  más  populares  ,  como  Nutella  ,  Ferrero  Rocher  y Kinder_Bueno  ,  con  la  adquisición  del  100  %  de  las  acciones  del  Grupo  Oltan  ,  empresa  familiar  que  es  el  operador  líder  en  el  acopio  ,  procesamiento  y  comercialización  de  avellanas  ,  con  una  facturación  anual  superior  a  500_millones  de  dólares  .",kinder_bueno,np00000_np00000,kinder_bueno,y,y,CC,Rocher,rocher,NP00000,Ferrero,ferrero,NP00000,",",",",Fc,Nutella,nutella,NP00000,",",",",Fc,con,con,SPS00,la,el,DA0FS0,adquisición,adquisición,NCFS000,del,de+el,SPS00+DA0MS0,2014-08-08,2014,2010,NP00000 CC Kinder Bueno Fc SPS00,CC Kinder Bueno Fc,NP00000 CC Kinder Bueno,NP00000 NP00000 CC Kinder Bueno,Fc NP00000 NP00000 CC Kinder Bueno,Kinder Bueno Fc SPS00,Kinder Bueno Fc SPS00 DA0FS0,Kinder Bueno Fc SPS00 DA0FS0 NCFS000,"rocher y Kinder Bueno , con","y Kinder Bueno ,",rocher y Kinder Bueno,ferrero rocher y Kinder Bueno,", ferrero rocher y Kinder Bueno","Kinder Bueno , con","Kinder Bueno , con el","Kinder Bueno , con el adquisición"
http://www.elmundo.es/loc/2014/08/30/5400ba4422601d10178b4597.html,elmundo.es,2014-08-31,Spain,Kinder_bueno/NP00000_I/kinder_bueno,"A  poder  ser  mezclado  con  más  chocolate  ...  chocolate  con  avellanas  ,  chocolates  con  galleta  ,  chocolate  blanco  , Kinder_bueno  ...  Antes  de  seguir  como  Bubba  Gump  y  sus  gambas  ,  ¿  me  explica  cómo  consigue  ese  cuerpo  con  tanta  bomba  calórica  ?",kinder_bueno,np00000_i,kinder_bueno,",",",",Fc,blanco,blanco,AQ0MS0,chocolate,chocolate,NCMS000,",",",",Fc,galleta,galleta,NCFS000,...,...,Fs,Antes,antes,RG,de,de,SPS00,seguir,seguir,VMN0000,como,como,CS,2014-08-31,2014,2010,AQ0MS0 Fc Kinder Bueno Fs RG,Fc Kinder Bueno Fs,AQ0MS0 Fc Kinder Bueno,NCMS000 AQ0MS0 Fc Kinder Bueno,Fc NCMS000 AQ0MS0 Fc Kinder Bueno,Kinder Bueno Fs RG,Kinder Bueno Fs RG SPS00,Kinder Bueno Fs RG SPS00 VMN0000,"blanco , Kinder Bueno ... antes",", Kinder Bueno ...","blanco , Kinder Bueno","chocolate blanco , Kinder Bueno",", chocolate blanco , Kinder Bueno",Kinder Bueno ... antes,Kinder Bueno ... antes de,Kinder Bueno ... antes de seguir
http://www.estrategia.cl/detalle_noticia.php?cod=103093,estrategia.cl,2014-09-30,Chile,Kinder_Bueno/NP00000_NP00000/kinder_bueno,"Camillo  Scocco  ,  gerente  general  de  la  frutícola  señaló  que  la  firma  es  filial  del  Grupo  Ferrero  ,  uno  de  los  líderes  del  mercado  en  la  industria  de  la  confitería  ,  quienes  utilizan  esta  avellana  como  materia  prima  para  la  fabricación  de  Nutella  ,  Ferrero  Rocher  y Kinder_Bueno  ,  entre  otros  productos  .",kinder_bueno,np00000_np00000,kinder_bueno,y,y,CC,Rocher,rocher,NP00000,Ferrero,ferrero,NP00000,",",",",Fc,Nutella,nutella,NP00000,",",",",Fc,entre,entre,SPS00,otros,otro,DI0MP0,productos,producto,NCMP000,.,.,Fp,2014-09-30,2014,2010,NP00000 CC Kinder Bueno Fc SPS00,CC Kinder Bueno Fc,NP00000 CC Kinder Bueno,NP00000 NP00000 CC Kinder Bueno,Fc NP00000 NP00000 CC Kinder Bueno,Kinder Bueno Fc SPS00,Kinder Bueno Fc SPS00 DI0MP0,Kinder Bueno Fc SPS00 DI0MP0 NCMP000,"rocher y Kinder Bueno , entre","y Kinder Bueno ,",rocher y Kinder Bueno,ferrero rocher y Kinder Bueno,", ferrero rocher y Kinder Bueno","Kinder Bueno , entre","Kinder Bueno , entre otro","Kinder Bueno , entre otro producto"
