url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.pymesyautonomos.com/management/la-desagradable-sensacion-de-tener-que-despedir-a-uno-de-tus-empleados?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bpymesyautonomos%2B%2528Pymes%2By%2Baut%25C3%25B3nomos%2529,pymesyautonomos.com,2014-01-01,===NONE===,kleenex/NCMN000/kleenex,"Desvincular  a  una  persona  de  una  relación  laboral  exige  estar  preparado  ,  no  sólo  con  los  papeles  del  finiquito  sobre  la  mesa  y  un  buen  paquete  de kleenex  ,  sino  teniendo  el  mensaje  muy  interiorizado  y  saber  gestionar  nuestras  emociones  .",kleenex,ncmn000,kleenex,de,de,SPS00,paquete,paquete,NCMS000,buen,bueno,AQ0MS0,un,uno,DI0MS0,y,y,CC,",",",",Fc,sino,sino,CC,teniendo,tener,VMG0000,el,el,DA0MS0,mensaje,mensaje,NCMS000,2014-01-01,2014,2010,NCMS000 SPS00 Kleenex Fc CC,SPS00 Kleenex Fc,NCMS000 SPS00 Kleenex,AQ0MS0 NCMS000 SPS00 Kleenex,DI0MS0 AQ0MS0 NCMS000 SPS00 Kleenex,Kleenex Fc CC,Kleenex Fc CC VMG0000,Kleenex Fc CC VMG0000 DA0MS0,"paquete de Kleenex , sino","de Kleenex ,",paquete de Kleenex,bueno paquete de Kleenex,uno bueno paquete de Kleenex,"Kleenex , sino","Kleenex , sino tener","Kleenex , sino tener el"
http://www.mercado.com.ar/notas/marketing/8014522/todo-el-mundo-a-las-vegas,mercado.com.ar,2014-01-06,Argentina,Kleenex/NP00000/kleenex,"El  anunciante  ,  que  tiene  marcas  como Kleenex  ,  pañales  Huggies  y  papel  higiénico  Scott  ,  organizará  una  competencia  de  innovación  junto  a  Mindshare  Worldwide  de  WPP  para  identificar  y  apoyar  a  startups  que  podrían  ayudarlos  a  conectarse  mejor  con  los  consumidores  .",kleenex,np00000,kleenex,como,como,CS,marcas,marca,NCFP000,tiene,tener,VMIP3S0,que,que,PR0CN000,",",",",Fc,",",",",Fc,pañales,pañal,NCMP000,Huggies,huggies,NP00000,y,y,CC,papel,papel,NCMS000,2014-01-06,2014,2010,NCFP000 CS Kleenex Fc NCMP000,CS Kleenex Fc,NCFP000 CS Kleenex,VMIP3S0 NCFP000 CS Kleenex,PR0CN000 VMIP3S0 NCFP000 CS Kleenex,Kleenex Fc NCMP000,Kleenex Fc NCMP000 NP00000,Kleenex Fc NCMP000 NP00000 CC,"marca como Kleenex , pañal","como Kleenex ,",marca como Kleenex,tener marca como Kleenex,que tener marca como Kleenex,"Kleenex , pañal","Kleenex , pañal huggies","Kleenex , pañal huggies y"
http://www.diariodemallorca.es/opinion/2014/01/07/unico-rey-armas/901530.html?utm_source=rss,diariodemallorca.es,2014-01-07,Spain,kleenex/NCMN000/kleenex,"Este  debe  ser  el  caso  de  hoy  en  China  ,  donde  la  escasez  de  mujeres  obliga  a  los  machos  a  conformarse  con  los kleenex  ,  mucho  más  fáciles  de  encontrar  .",kleenex,ncmn000,kleenex,los,el,DA0MP0,con,con,SPS00,conformarse,conformar+se,VMN0000+PP3CN000,a,a,SPS00,machos,macho,NCMP000,",",",",Fc,mucho,mucho,RG,más,más,RG,fáciles,fácil,AQ0CP0,de,de,SPS00,2014-01-07,2014,2010,SPS00 DA0MP0 Kleenex Fc RG,DA0MP0 Kleenex Fc,SPS00 DA0MP0 Kleenex,VMN0000+PP3CN000 SPS00 DA0MP0 Kleenex,SPS00 VMN0000+PP3CN000 SPS00 DA0MP0 Kleenex,Kleenex Fc RG,Kleenex Fc RG RG,Kleenex Fc RG RG AQ0CP0,"con el Kleenex , mucho","el Kleenex ,",con el Kleenex,conformar+se con el Kleenex,a conformar+se con el Kleenex,"Kleenex , mucho","Kleenex , mucho más","Kleenex , mucho más fácil"
http://www.elperiodico.com/es/noticias/opinion/senora-del-anuncio-por-joan-barril-2995892?utm_source=rss-noticias&utm_medium=feed&utm_campaign=opinion,elperiodico.com,2014-01-10,===NONE===,Kleenex/NP00000/kleenex,Se  me  han  acabado  los Kleenex  .,kleenex,np00000,kleenex,los,el,DA0MP0,acabado,acabar,VMP00SM,han,haber,VAIP3P0,me,me,PP1CS000,Se,se,P00CN000,.,.,Fp,,,,,,,,,,,,,2014-01-10,2014,2010,,DA0MP0 Kleenex Fp,VMP00SM DA0MP0 Kleenex,VAIP3P0 VMP00SM DA0MP0 Kleenex,PP1CS000 VAIP3P0 VMP00SM DA0MP0 Kleenex,,,,,el Kleenex .,acabar el Kleenex,haber acabar el Kleenex,me haber acabar el Kleenex,,,
http://www.elmundo.es/andalucia/2014/01/15/52d66954ca474101248b456b.html,elmundo.es,2014-01-15,Spain,kleenex/NCMN000/kleenex,"Lo  más  femenino  que  vimos  en  taxi  durante  años  fue  a  Guillermo  Montesinos  en  Mujeres  al  borde  de  un  ataque  de  nervios  ,  donde  acaba  dándole  un kleenex  a  Carmen  Maura  ,  en  un  coche  en  el  que  hay  revistas  del  corazón  y  tapicería  de  piel  de  leopardo  sintética  .",kleenex,ncmn000,kleenex,un,uno,DI0MS0,dándole,dar+le,VMG0000+PP3CSD00,acaba,acabar,VMIP3S0,donde,donde,PR000000,",",",",Fc,a,a,SPS00,Carmen,carmen,NP00000,Maura,maura,NP00000,",",",",Fc,en,en,SPS00,2014-01-15,2014,2010,VMG0000+PP3CSD00 DI0MS0 Kleenex SPS00 NP00000,DI0MS0 Kleenex SPS00,VMG0000+PP3CSD00 DI0MS0 Kleenex,VMIP3S0 VMG0000+PP3CSD00 DI0MS0 Kleenex,PR000000 VMIP3S0 VMG0000+PP3CSD00 DI0MS0 Kleenex,Kleenex SPS00 NP00000,Kleenex SPS00 NP00000 NP00000,Kleenex SPS00 NP00000 NP00000 Fc,dar+le uno Kleenex a carmen,uno Kleenex a,dar+le uno Kleenex,acabar dar+le uno Kleenex,donde acabar dar+le uno Kleenex,Kleenex a carmen,Kleenex a carmen maura,"Kleenex a carmen maura ,"
http://www.expansion.com/2014/01/17/empresas/1389992563.html,expansion.com,2014-01-18,Spain,kleenex/NCMN000/kleenex,"Otros  ejemplos  de  enseñas  que  acaban  denominando  al  producto  son kleenex  ,  post-it  ,  rimmel  ,  tiritas  o  maizena  (  ver  información  adjunta  )  .",kleenex,ncmn000,kleenex,son,ser,VSIP3P0,producto,producto,NCMS000,al,a+el,SPS00+DA0MS0,denominando,denominar,VMG0000,acaban,acabar,VMIP3P0,",",",",Fc,post-it,post-it,NCMN000,",",",",Fc,rimmel,rimmel,NCMS000,",",",",Fc,2014-01-18,2014,2010,NCMS000 VSIP3P0 Kleenex Fc NCMN000,VSIP3P0 Kleenex Fc,NCMS000 VSIP3P0 Kleenex,SPS00+DA0MS0 NCMS000 VSIP3P0 Kleenex,VMG0000 SPS00+DA0MS0 NCMS000 VSIP3P0 Kleenex,Kleenex Fc NCMN000,Kleenex Fc NCMN000 Fc,Kleenex Fc NCMN000 Fc NCMS000,"producto ser Kleenex , post-it","ser Kleenex ,",producto ser Kleenex,a+el producto ser Kleenex,denominar a+el producto ser Kleenex,"Kleenex , post-it","Kleenex , post-it ,","Kleenex , post-it , rimmel"
http://www.eleconomista.es/economia/noticias/5485574/01/14/Kimberly-Clark-gana-un-224-mas-en-2013-tras-duplicar-su-beneficio-en-el-cuarto-trimestre.html,eleconomista.es,2014-01-24,Spain,Kleenex/NP00000/kleenex,"Por  su  parte  ,  la  facturación  del  fabricante  de Kleenex  y  Huggies  alcanzó  en  2013  los  21.152_millones  de  dólares  (  15.450_millones  de  euros  )  un  0,4  %  más  ,  mientras  que  en  el  cuarto  trimestre  las  ventas  se  mantuvieron  estables  en  los  5.305_millones  de  dólares  (  3.875_millones  de  euros  )  .",kleenex,np00000,kleenex,de,de,SPS00,fabricante,fabricante,NCCS000,del,de+el,SPS00+DA0MS0,facturación,facturación,NCFS000,la,el,DA0FS0,y,y,CC,Huggies,huggies,NP00000,alcanzó,alcanzar,VMIS3S0,en,en,SPS00,2013,2013,Z,2014-01-24,2014,2010,NCCS000 SPS00 Kleenex CC NP00000,SPS00 Kleenex CC,NCCS000 SPS00 Kleenex,SPS00+DA0MS0 NCCS000 SPS00 Kleenex,NCFS000 SPS00+DA0MS0 NCCS000 SPS00 Kleenex,Kleenex CC NP00000,Kleenex CC NP00000 VMIS3S0,Kleenex CC NP00000 VMIS3S0 SPS00,fabricante de Kleenex y huggies,de Kleenex y,fabricante de Kleenex,de+el fabricante de Kleenex,facturación de+el fabricante de Kleenex,Kleenex y huggies,Kleenex y huggies alcanzar,Kleenex y huggies alcanzar en
http://www.excelsior.com.mx/expresiones/2014/01/25/940243,excelsior.com.mx,2014-01-25,Mexico,kleenex/NCMN000/kleenex,Gina  colocó  un kleenex  sobre  la  botella  y  le  pidió  volver  a  palpar  las  letras  .,kleenex,ncmn000,kleenex,un,uno,DI0MS0,colocó,colocar,VMIS3S0,Gina,gina,NP00000,,,,,,,sobre,sobre,SPS00,la,el,DA0FS0,botella,botella,NCFS000,y,y,CC,le,le,PP3CSD00,2014-01-25,2014,2010,VMIS3S0 DI0MS0 Kleenex SPS00 DA0FS0,DI0MS0 Kleenex SPS00,VMIS3S0 DI0MS0 Kleenex,NP00000 VMIS3S0 DI0MS0 Kleenex,,Kleenex SPS00 DA0FS0,Kleenex SPS00 DA0FS0 NCFS000,Kleenex SPS00 DA0FS0 NCFS000 CC,colocar uno Kleenex sobre el,uno Kleenex sobre,colocar uno Kleenex,gina colocar uno Kleenex,,Kleenex sobre el,Kleenex sobre el botella,Kleenex sobre el botella y
http://www.libertaddigital.com/chic/corazon/2014-01-27/valerie-trierweiler-quiere-venganza-y-dinero-1276509226/,libertaddigital.com,2014-01-27,===NONE===,kleenex/NCMN000/kleenex,"Por  lo  que  respecta  a  Hollande  ,  ""  sólo  entiende  las  mujeres  como kleenex  de  usar  y  tirar  y  su  única  obsesión  es  ser  Sarkozy  ,  ya  sea  copiando  su  programa  político  -  que  además  ,  hará  mal  -  como  buscando  una  novia  más  joven  en  el  mundo  espectáculo  .",kleenex,ncmn000,kleenex,como,como,CS,mujeres,mujer,NCFP000,las,el,DA0FP0,entiende,entender,VMIP3S0,sólo,sólo,RG,de,de,SPS00,usar,usar,VMN0000,y,y,CC,tirar,tirar,VMN0000,y,y,CC,2014-01-27,2014,2010,NCFP000 CS Kleenex SPS00 VMN0000,CS Kleenex SPS00,NCFP000 CS Kleenex,DA0FP0 NCFP000 CS Kleenex,VMIP3S0 DA0FP0 NCFP000 CS Kleenex,Kleenex SPS00 VMN0000,Kleenex SPS00 VMN0000 CC,Kleenex SPS00 VMN0000 CC VMN0000,mujer como Kleenex de usar,como Kleenex de,mujer como Kleenex,el mujer como Kleenex,entender el mujer como Kleenex,Kleenex de usar,Kleenex de usar y,Kleenex de usar y tirar
http://www.elcorreogallego.es/tendencias/ecg/un-estudio-senala-que-el-72-9-de-los-actores-espanoles-no-puede-vivir-de-su-trabajo/idEdicion-2014-01-28/idNoticia-849699/,elcorreogallego.es,2014-01-28,Spain,kleenex/NCMN000/kleenex,"Para  sindicatos  y  representantes  de  actores  ,  es  ""  evidente  ""  que  las  condiciones  laborales  son  ahora  más  precarias  que  hace  una  década  ,  y  se  aprecia  al  alza  la  figura  del  actor  "" kleenex  ""  ,  el  intérprete  novel  ,  con  escasa  formación  y  experiencia  ,  cuyo  paso  por  el  mundo  artístico  tiende  a  ser  cada  vez  más  pasajero  . </doc>",kleenex,ncmn000,kleenex,"""","""",Fe,actor,actor,NCMS000,del,de+el,SPS00+DA0MS0,figura,figura,NCFS000,la,el,DA0FS0,"""","""",Fe,",",",",Fc,el,el,DA0MS0,intérprete,intérprete,NCCS000,novel,novel,AQ0CS0,2014-01-28,2014,2010,NCMS000 Fe Kleenex Fe Fc,Fe Kleenex Fe,NCMS000 Fe Kleenex,SPS00+DA0MS0 NCMS000 Fe Kleenex,NCFS000 SPS00+DA0MS0 NCMS000 Fe Kleenex,Kleenex Fe Fc,Kleenex Fe Fc DA0MS0,Kleenex Fe Fc DA0MS0 NCCS000,"actor "" Kleenex "" ,",""" Kleenex ""","actor "" Kleenex","de+el actor "" Kleenex","figura de+el actor "" Kleenex","Kleenex "" ,","Kleenex "" , el","Kleenex "" , el intérprete"
