url,website,date,country,keyword,sentence,kw,kw_lemma,kw_pos,left_w1,left_l1,left_p1,left_w2,left_l2,left_p2,left_w3,left_l3,left_p3,left_w4,left_l4,left_p4,left_w5,left_l5,left_p5,right_w1,right_l1,right_p1,right_w2,right_l2,right_p2,right_w3,right_l3,right_p3,right_w4,right_l4,right_p4,right_w5,right_l5,right_p5,datetime,year,10years,pattern_around5,pattern_around3,pattern_left2,pattern_left3,pattern_left4,pattern_right2,pattern_right3,pattern_right4,pattern_around5_lex,pattern_around3_lex,pattern_left2_lex,pattern_left3_lex,pattern_left4_lex,pattern_right2_lex,pattern_right3_lex,pattern_right4_lex
http://www.losandes.com.ar/notas/2014/1/3/hallan-muerto-productor-campo-luis-759653.asp,losandes.com.ar,2014-01-03,Argentina,Kravetz/NP00000/kravetz,"El  cadáver  de  Bernardo Kravetz  ,  de  73  años  ,  fue  hallado  por  sus  familiares  ,  tirado  en  una  de  las  habitaciones  y  atado  de  pies  y  manos  ,  con  signos  de  haber  sufrido  una  fuerte  golpiza  .",kravetz,np00000,kravetz,Bernardo,bernardo,NP00000,de,de,SPS00,cadáver,cadáver,NCMS000,El,el,DA0MS0,,,,",",",",Fc,de,de,SPS00,73,73,Z,años,año,NCMP000,",",",",Fc,2014-01-03,2014,2010,SPS00 NP00000 Krave Fc SPS00,NP00000 Krave Fc,SPS00 NP00000 Krave,NCMS000 SPS00 NP00000 Krave,DA0MS0 NCMS000 SPS00 NP00000 Krave,Krave Fc SPS00,Krave Fc SPS00 Z,Krave Fc SPS00 Z NCMP000,"de bernardo Krave , de","bernardo Krave ,",de bernardo Krave,cadáver de bernardo Krave,el cadáver de bernardo Krave,"Krave , de","Krave , de 73","Krave , de 73 año"
http://www.losandes.com.ar/notas/2014/1/3/hallan-muerto-productor-campo-luis-759653.asp,losandes.com.ar,2014-01-03,Argentina,Kravetz/NP00000/kravetz,"Según  los  investigadores  ,  el  hecho  fue  descubierto  cerca  de  las  15  de  ayer  ,  en  un  campo  conocido  como  ""  El  Verano  ""  ,  situado  a  unos  10  kilómetros  al  norte  de  Buena  Esperanza  ,  cuando  familiares  de Kravetz  llegaron  al  lugar  luego  de  que  no  recibieran  respuestas  a  los  reiterados  llamados  .",kravetz,np00000,kravetz,de,de,SPS00,familiares,familiar,NCMP000,cuando,cuando,CS,",",",",Fc,Esperanza,esperanza,NP00000,llegaron,llegar,VMIS3P0,al,a+el,SPS00+DA0MS0,lugar,lugar,NCMS000,luego,luego,RG,de,de,SPS00,2014-01-03,2014,2010,NCMP000 SPS00 Krave VMIS3P0 SPS00+DA0MS0,SPS00 Krave VMIS3P0,NCMP000 SPS00 Krave,CS NCMP000 SPS00 Krave,Fc CS NCMP000 SPS00 Krave,Krave VMIS3P0 SPS00+DA0MS0,Krave VMIS3P0 SPS00+DA0MS0 NCMS000,Krave VMIS3P0 SPS00+DA0MS0 NCMS000 RG,familiar de Krave llegar a+el,de Krave llegar,familiar de Krave,cuando familiar de Krave,", cuando familiar de Krave",Krave llegar a+el,Krave llegar a+el lugar,Krave llegar a+el lugar luego
http://www.vidaextra.com/accion/el-trailer-de-the-amazing-spider-man-2-lo-protagoniza-kraven-el-cazador?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bvidaextra%2B%2528VidaExtra%2529,vidaextra.com,2014-01-24,===NONE===,Kraven/NP00000/kraven,"<doc uri=http://www.vidaextra.com/accion/el-trailer-de-the-amazing-spider-man-2-lo-protagoniza-kraven-el-cazador?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bvidaextra%2B%2528VidaExtra%2529 website=vidaextra.com date=2014-01-24 source_country=> /el/DA0MS0 /trailer/NCMS000 /de/SPS00 /'/Fe /the/NP00000 /amazing/NP00000 /spider-man/NP00000 /2/Z /'/Fe /lo/PP3CNA00 /protagonizar/VMIP3S0 Kraven  ,  el  cazador",kraven,np00000,kraven,protagoniza,protagonizar,VMIP3S0,lo,lo,PP3CNA00,',',Fe,2,2,Z,Spider-Man,spider-man,NP00000,",",",",Fc,el,el,DA0MS0,cazador,cazador,NCMS000,,,,,,,2014-01-24,2014,2010,PP3CNA00 VMIP3S0 Krave Fc DA0MS0,VMIP3S0 Krave Fc,PP3CNA00 VMIP3S0 Krave,Fe PP3CNA00 VMIP3S0 Krave,Z Fe PP3CNA00 VMIP3S0 Krave,Krave Fc DA0MS0,Krave Fc DA0MS0 NCMS000,,"lo protagonizar Krave , el","protagonizar Krave ,",lo protagonizar Krave,' lo protagonizar Krave,2 ' lo protagonizar Krave,"Krave , el","Krave , el cazador",
http://www.vidaextra.com/accion/el-trailer-de-the-amazing-spider-man-2-lo-protagoniza-kraven-el-cazador?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bvidaextra%2B%2528VidaExtra%2529,vidaextra.com,2014-01-24,===NONE===,Kraven/NP00000/kraven,"Como  siempre  llega  de  la  mano  de  Beenox  y  el  protagonismo  absoluto  recae  en Kraven  ,  el  cazador  .",kraven,np00000,kraven,en,en,SPS00,recae,recaer,VMIP3S0,absoluto,absoluto,AQ0MS0,protagonismo,protagonismo,NCMS000,el,el,DA0MS0,",",",",Fc,el,el,DA0MS0,cazador,cazador,NCMS000,.,.,Fp,,,,2014-01-24,2014,2010,VMIP3S0 SPS00 Krave Fc DA0MS0,SPS00 Krave Fc,VMIP3S0 SPS00 Krave,AQ0MS0 VMIP3S0 SPS00 Krave,NCMS000 AQ0MS0 VMIP3S0 SPS00 Krave,Krave Fc DA0MS0,Krave Fc DA0MS0 NCMS000,Krave Fc DA0MS0 NCMS000 Fp,"recaer en Krave , el","en Krave ,",recaer en Krave,absoluto recaer en Krave,protagonismo absoluto recaer en Krave,"Krave , el","Krave , el cazador","Krave , el cazador ."
http://www.vidaextra.com/accion/el-trailer-de-the-amazing-spider-man-2-lo-protagoniza-kraven-el-cazador?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Bvidaextra%2B%2528VidaExtra%2529,vidaextra.com,2014-01-24,===NONE===,Kraven/NP00000/kraven,Una  decisión  extraña  y  es  que  por  lo  que  deja  entrever  el  vídeo Kraven  nos  adiestrará  de  algún  modo  y  sacará  la  bestia  que  llevamos  dentro  .,kraven,np00000,kraven,vídeo,vídeo,NCMS000,el,el,DA0MS0,entrever,entrever,VMN0000,deja,dejar,VMIP3S0,que,que,PR0CN000,nos,nos,PP1CP000,adiestrará,adiestrar,VMIF3S0,de,de,SPS00,algún,alguno,DI0MS0,modo,modo,NCMS000,2014-01-24,2014,2010,DA0MS0 NCMS000 Krave PP1CP000 VMIF3S0,NCMS000 Krave PP1CP000,DA0MS0 NCMS000 Krave,VMN0000 DA0MS0 NCMS000 Krave,VMIP3S0 VMN0000 DA0MS0 NCMS000 Krave,Krave PP1CP000 VMIF3S0,Krave PP1CP000 VMIF3S0 SPS00,Krave PP1CP000 VMIF3S0 SPS00 DI0MS0,el vídeo Krave nos adiestrar,vídeo Krave nos,el vídeo Krave,entrever el vídeo Krave,dejar entrever el vídeo Krave,Krave nos adiestrar,Krave nos adiestrar de,Krave nos adiestrar de alguno
http://www.abc.es/tecnologia/videojuegos-ps3/20140125/abci-spiderman-amazing-activision-201401251737.html?utm_source=abc&utm_medium=rss&utm_content=uh-rss&utm_campaign=traffic-rss,abc.es,2014-01-25,Spain,Kraven/NP00000/kraven,"Además  ,  presenta  a  uno  de  sus  personajes  principales  : Kraven  el  Cazador  (  también  conocido  como  Sergei  Kravinoff  )  .",kraven,np00000,kraven,:,:,Fd,principales,principal,AQ0CP0,personajes,personaje,NCMP000,sus,su,DP3CP0,de,de,SPS00,el,el,DA0MS0,Cazador,cazador,NP00000,(,(,Fpa,también,también,RG,conocido,conocer,VMP00SM,2014-01-25,2014,2010,AQ0CP0 Fd Krave DA0MS0 NP00000,Fd Krave DA0MS0,AQ0CP0 Fd Krave,NCMP000 AQ0CP0 Fd Krave,DP3CP0 NCMP000 AQ0CP0 Fd Krave,Krave DA0MS0 NP00000,Krave DA0MS0 NP00000 Fpa,Krave DA0MS0 NP00000 Fpa RG,principal : Krave el cazador,: Krave el,principal : Krave,personaje principal : Krave,su personaje principal : Krave,Krave el cazador,Krave el cazador (,Krave el cazador ( también
http://www.configurarequipos.com/actualidad-informatica/8115/the-amazing-spider-man-2-ya-puedes-ver-el-trailer,configurarequipos.com,2014-01-27,===NONE===,Kraven/NP00000/kraven,"También  aparece  en  escena Kraven  ,  el  Cazador  .",kraven,np00000,kraven,escena,escena,NCFS000,en,en,SPS00,aparece,aparecer,VMIP3S0,También,también,RG,,,,",",",",Fc,el,el,DA0MS0,Cazador,cazador,NP00000,.,.,Fp,,,,2014-01-27,2014,2010,SPS00 NCFS000 Krave Fc DA0MS0,NCFS000 Krave Fc,SPS00 NCFS000 Krave,VMIP3S0 SPS00 NCFS000 Krave,RG VMIP3S0 SPS00 NCFS000 Krave,Krave Fc DA0MS0,Krave Fc DA0MS0 NP00000,Krave Fc DA0MS0 NP00000 Fp,"en escena Krave , el","escena Krave ,",en escena Krave,aparecer en escena Krave,también aparecer en escena Krave,"Krave , el","Krave , el cazador","Krave , el cazador ."
http://futbol.as.com/futbol/2014/02/12/primera/1392235013_310732.html,as.com,2014-02-12,Spain,Kravets/NP00000/kravets,"No  tardó  en  igualar  la  contienda  gracias  a  un  gol  de Kravets  ,  recién  salido  en  la  segunda  parte  .",kravets,np00000,kravets,de,de,SPS00,gol,gol,NCMS000,un,uno,DI0MS0,a,a,SPS00,gracias,gracia,NCFP000,",",",",Fc,recién,recién,RG,salido,salir,VMP00SM,en,en,SPS00,la,el,DA0FS0,2014-02-12,2014,2010,NCMS000 SPS00 Krave Fc RG,SPS00 Krave Fc,NCMS000 SPS00 Krave,DI0MS0 NCMS000 SPS00 Krave,SPS00 DI0MS0 NCMS000 SPS00 Krave,Krave Fc RG,Krave Fc RG VMP00SM,Krave Fc RG VMP00SM SPS00,"gol de Krave , recién","de Krave ,",gol de Krave,uno gol de Krave,a uno gol de Krave,"Krave , recién","Krave , recién salir","Krave , recién salir en"
http://www.marca.com/2014/02/12/futbol/equipos/malaga/1392235831.html,marca.com,2014-02-15,Spain,Kravets/NP00000/kravets,"Se  adelantó  El  Hamdaoui  para  el  cuadro  blanquiazul  (  hoy  de  azul  marino  )  ,  pero  dieron  la  vuelta  al  encuentro Kravets  e  Indayé  en  dos  ocasiones  .",kravets,np00000,kravets,encuentro,encuentro,NCMS000,al,a+el,SPS00+DA0MS0,vuelta,vuelta,NCFS000,la,el,DA0FS0,dieron,dar,VMIS3P0,e,y,CC,Indayé,indayé,NP00000,en,en,SPS00,dos,2,Z,ocasiones,ocasión,NCFP000,2014-02-15,2014,2010,SPS00+DA0MS0 NCMS000 Krave CC NP00000,NCMS000 Krave CC,SPS00+DA0MS0 NCMS000 Krave,NCFS000 SPS00+DA0MS0 NCMS000 Krave,DA0FS0 NCFS000 SPS00+DA0MS0 NCMS000 Krave,Krave CC NP00000,Krave CC NP00000 SPS00,Krave CC NP00000 SPS00 Z,a+el encuentro Krave y indayé,encuentro Krave y,a+el encuentro Krave,vuelta a+el encuentro Krave,el vuelta a+el encuentro Krave,Krave y indayé,Krave y indayé en,Krave y indayé en 2
http://www.marca.com/2014/02/12/futbol/equipos/malaga/1392235831.html,marca.com,2014-02-15,Spain,Kravets/NP00000/kravets, Kravets  primero  e  Indayé  después  con  un  doblete  anotaron  para  llevarse  el  partido  .,kravets,np00000,kravets,,,,,,,,,,,,,,,,primero,primero,RG,e,y,CC,Indayé,indayé,NP00000,después,después,RG,con,con,SPS00,2014-02-15,2014,2010,,,,,,Krave RG CC,Krave RG CC NP00000,Krave RG CC NP00000 RG,,,,,,Krave primero y,Krave primero y indayé,Krave primero y indayé después
